	TCGA.38.4625.01A.01R.1206.07	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.ET.A25K.01A.11R.A16R.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.E3.A3E1.01A.11R.A20F.07	TCGA.FE.A237.01A.11R.A16R.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.ET.A3DU.01A.11R.A19O.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.CE.A13K.01A.11R.A10U.07	TCGA.ET.A39S.01A.11R.A19O.07	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.1399T.0126.SM.5KM15	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.QV44.0826.SM.2S1RG	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.144GL.1226.SM.5O9A4	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
TMEM242	114.36	166.73	138.1	136.19	138.1	144.01	142.01	161.02	144.01	127.0	158.79	133.36	131.51	104.42	102.97	149.12	182.55	215.77	264.03	279.14	167.9	198.47	191.67	205.5	305.55	186.4	258.57	166.73	217.27	236.21	214.27	190.34	209.84	165.57	134.3	229.72	223.41	220.32	242.88	199.85	221.86	215.77	255.0	181.28	220.32	130.6	242.88	150.17	182.55	167.9	211.31	197.09	231.32	194.36	180.02	215.77	253.23
TPRKB	0.0	595.34	656.11	521.76	493.56	679.29	785.88	587.13	612.11	571.05	708.18	529.06	656.11	551.56	511.0	486.75	665.29	854.13	961.07	703.28	656.11	532.74	620.67	703.28	748.61	890.44	825.0	595.34	540.19	753.83	748.61	718.08	733.19	753.83	624.99	738.29	555.41	785.88	723.08	660.68	728.11	884.29	988.12	728.11	915.51	620.67	571.05	780.44	651.58	674.59	723.08	674.59	708.18	813.63	738.29	679.29	764.36
TSNAXIP1	0.0	9.34	5.11	3.72	7.94	9.34	5.19	7.57	6.57	3.47	8.85	7.4	6.41	4.94	9.48	14.24	12.18	146.03	53.57	102.97	13.32	12.83	53.19	16.63	59.13	66.18	84.04	34.02	30.56	54.72	50.63	24.81	73.54	49.56	67.59	72.01	39.79	53.19	73.03	18.84	22.59	39.79	72.01	22.92	21.32	3.99	94.67	10.47	13.12	18.43	127.89	39.22	19.39	49.56	95.34	73.54	123.5
TXNDC15	0.0	1487.87	1467.37	1487.87	2148.82	1135.2	1781.89	1340.84	1457.23	1583.71	1605.83	1477.58	1322.37	2485.67	1359.57	1781.89	2209.26	2255.7	3564.78	2739.08	2502.97	2367.9	2520.38	2502.97	4066.71	2434.5	2224.63	1896.65	3081.75	2664.15	2609.3	2119.22	2609.3	2701.35	2032.85	2664.15	2915.45	2816.11	2720.15	2591.27	3303.0	3303.0	3443.31	3124.78	3820.7	1963.57	2384.37	2255.7	2956.17	2758.13	3103.19	2537.92	2777.33	2875.3	2664.15	3614.55	3212.66
VEPH1	0.0	4.9	11.91	6.31	2.84	18.03	19.97	13.03	11.82	12.09	20.56	23.76	3.92	8.65	17.13	19.82	19.39	67.12	155.5	146.03	32.36	37.05	21.47	44.57	122.64	53.19	129.69	23.42	21.16	107.38	76.17	45.53	80.01	53.19	36.79	120.94	69.03	64.34	140.04	36.01	23.93	72.52	82.29	45.53	55.1	46.84	143.01	19.82	15.68	38.67	59.97	62.12	45.85	11.91	81.14	82.29	153.34
WDR17	0.0	9.48	9.27	5.45	16.75	22.43	30.56	19.97	26.86	14.78	29.7	24.46	7.57	9.56	35.25	23.08	26.1	212.78	63.89	126.12	34.02	57.49	103.69	34.26	74.58	137.14	87.65	84.04	46.18	110.43	96.01	52.82	65.72	100.83	40.64	131.51	51.35	72.52	85.22	92.7	35.76	49.21	115.97	32.13	39.5	88.88	96.68	55.1	27.44	66.65	108.9	49.56	17.13	33.06	103.69	82.29	81.71
WDR61	866.07	1059.11	1286.18	909.17	1119.56	1594.73	1037.29	1407.55	1159.07	1111.82	1183.45	1216.75	1225.22	1030.12	1127.35	1044.52	1417.35	1991.0	1883.54	2796.65	1639.59	1594.73	1583.71	1250.98	2090.03	1487.87	1923.14	1457.23	1819.35	1857.6	1369.04	1844.76	1583.71	1769.57	1674.06	1923.14	1388.16	1733.13	1950.0	1819.35	1388.16	1721.16	1709.26	1697.45	1794.29	1540.37	1674.06	1757.34	1745.2	1467.37	1697.45	1651.0	1674.06	1242.34	1757.34	1896.65	1883.54
WDR65	0.0	8.45	8.0	7.28	10.71	9.34	9.41	7.51	6.94	8.25	8.06	10.0	4.03	7.22	14.35	9.27	12.74	38.4	37.85	55.89	15.56	32.36	52.08	24.99	44.89	75.64	19.82	40.93	32.59	39.22	48.87	44.57	24.63	20.86	17.77	73.54	26.47	57.08	34.75	21.01	13.52	16.03	77.79	18.56	36.79	52.08	69.03	23.93	10.71	23.93	40.93	34.75	12.45	9.27	43.32	42.11	38.67
WDR96	0.0	14.67	14.89	19.82	23.42	35.0	28.24	16.75	23.59	19.53	22.59	22.43	13.32	20.26	19.97	32.13	40.93	221.86	161.02	281.09	76.71	67.59	191.67	48.52	158.79	397.93	186.4	101.54	23.08	220.32	115.97	63.45	142.01	260.38	183.82	237.86	72.52	205.5	204.07	87.03	46.5	137.14	212.78	87.65	25.35	57.89	258.57	90.14	18.43	97.36	327.56	85.22	65.26	118.43	246.28	173.85	239.52
ZBTB4	293.07	1199.98	819.3	1051.79	1388.16	1467.37	1104.13	1407.55	1096.5	1135.2	1259.69	1457.23	1096.5	1001.93	1477.58	1437.15	1340.84	1709.26	1844.76	1709.26	1529.73	1407.55	1697.45	1127.35	1769.57	1963.57	1709.26	1447.15	1044.52	1923.14	1733.13	1268.46	1950.0	1806.78	1745.2	1685.71	1896.65	1806.78	1685.71	1242.34	1051.79	2178.83	1639.59	1159.07	1208.34	1721.16	1991.0	1477.58	1051.79	1286.18	1963.57	1111.82	1605.83	1250.98	1794.29	2178.83	1832.01
ZC2HC1C	0.0	137.14	167.9	134.3	132.44	173.85	212.78	194.36	205.5	166.73	172.65	189.02	173.85	152.28	198.47	180.02	271.48	423.61	476.71	507.46	228.13	264.03	246.28	314.17	327.56	547.75	414.87	397.93	281.09	271.48	376.41	180.02	239.52	283.05	152.28	212.78	406.31	279.14	291.04	224.97	400.71	297.17	400.71	363.56	438.59	265.87	234.57	189.02	279.14	403.5	334.46	255.0	275.28	423.61	450.94	215.77	412.0
ZCCHC7	371.22	197.09	214.27	209.84	223.41	212.78	229.72	215.77	241.19	248.0	239.52	217.27	229.72	177.53	220.32	211.31	239.52	351.14	320.8	450.94	223.41	264.03	289.02	251.48	387.02	457.25	368.65	220.32	239.52	312.0	251.48	281.09	341.51	368.65	305.55	303.44	336.79	303.44	329.84	279.14	244.57	279.14	336.79	251.48	325.29	285.03	314.17	234.57	246.28	249.73	356.05	226.54	258.57	371.22	358.54	320.8	361.04
ZDHHC15	0.0	35.0	56.68	61.25	59.55	68.55	45.21	44.89	55.1	55.1	80.57	71.5	64.34	38.4	44.89	48.18	47.17	95.34	134.3	122.64	90.14	73.03	107.38	40.36	87.03	78.89	67.12	105.89	79.45	97.36	85.82	83.45	87.03	74.58	77.25	134.3	96.01	120.1	146.03	73.54	56.28	69.52	80.01	41.22	64.34	78.89	75.11	87.65	41.52	96.68	120.1	61.68	68.07	65.72	91.41	90.77	62.12
ZNF346	78.34	161.02	154.42	147.06	173.85	214.27	205.5	228.13	195.72	167.9	218.79	206.94	161.02	163.28	241.19	167.9	236.21	368.65	429.54	563.18	265.87	273.37	450.94	293.07	363.56	500.46	346.29	493.56	379.04	314.17	314.17	293.07	400.71	353.59	334.46	406.31	381.68	336.79	447.82	239.52	327.56	277.2	246.28	329.84	314.17	253.23	480.04	285.03	329.84	307.69	420.68	366.09	281.09	264.03	403.5	409.15	470.14
ZNF569	0.0	48.52	35.5	27.44	40.36	67.59	65.26	62.56	65.72	38.67	54.72	53.19	49.56	39.5	44.89	64.34	43.32	133.36	154.42	159.9	74.58	69.52	88.26	110.43	140.04	172.65	134.3	76.17	67.59	128.79	99.43	91.41	123.5	116.78	77.79	90.77	109.66	131.51	150.17	61.25	82.29	132.44	177.53	87.65	102.97	63.89	98.04	86.43	60.82	94.67	164.42	85.82	91.41	82.87	112.77	138.1	159.9
ZNF618	0.0	98.73	51.71	53.95	153.34	111.99	96.01	106.63	106.63	77.25	120.1	100.13	61.25	87.65	131.51	122.64	102.25	209.84	194.36	226.54	121.79	198.47	149.12	124.37	148.09	191.67	241.19	185.11	147.06	185.11	202.66	177.53	185.11	220.32	111.99	256.78	211.31	131.51	215.77	161.02	141.02	139.07	135.24	102.97	194.36	125.24	244.57	144.01	111.99	152.28	269.6	199.85	89.51	81.14	176.29	173.85	215.77
