	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A7.A0CJ.01A.21R.A00Z.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.A1.A0SB.01A.11R.A144.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A0DO.11A.22R.A12D.07	TCGA.BH.A0BJ.11A.23R.A089.07	TCGA.E2.A1L7.11A.33R.A144.07	TCGA.BH.A0C0.11A.21R.A089.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.GI.A2C9.11A.22R.A21T.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.T2IS.1526.SM.32QPR	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.DD.AAW2.01A.11R.A41C.07	TCGA.ZS.A9CG.01A.11R.A37K.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.DD.A39W.11A.11R.A213.07	GTEX.Y5LM.0426.SM.4VBRO	GTEX.14AS3.0126.SM.5Q5F4	GTEX.P78B.1326.SM.3P611	GTEX.13PVR.0126.SM.5S2PY	TCGA.38.4625.01A.01R.1206.07
SLC25A21	8.0	6.26	5.82	24.11	7.0	2.07	2.51	76.71	23.76	39.5	69.03	23.59	37.32	20.71	4.78	19.68	20.41	25.72	35.25	44.57	145.02	3.82	31.9	144.01	15.11	103.69	16.63	19.53	7.34	19.25	50.27	24.11	34.26	15.56	31.9	19.68	48.52	11.38	12.18	31.67	83.45	11.73	146.03	87.03	17.64	16.15	61.68	24.99	28.45	31.22	22.1	54.72	11.47	0.0	6.84	0.35	0.74	1.5	10.71	4.54	18.7	15.22	11.47	2.97	7.69	2.03	3.26	16.63	0.0
SPAST	105.89	146.03	209.84	171.45	191.67	102.25	191.67	209.84	201.25	150.17	146.03	214.27	180.02	128.79	98.04	98.73	126.12	137.14	111.21	120.94	205.5	157.68	182.55	164.42	198.47	555.41	109.66	187.71	158.79	173.85	187.71	221.86	187.71	236.21	175.07	172.65	186.4	212.78	112.77	267.73	172.65	285.03	309.83	145.02	180.02	123.5	137.14	108.14	155.5	258.57	165.57	255.0	68.55	56.28	78.34	75.11	41.81	73.03	72.01	80.01	64.8	77.25	78.89	86.43	88.88	103.69	67.12	82.29	0.0
SPIN4	61.68	54.33	68.07	134.3	64.8	80.57	63.0	108.14	43.32	69.03	47.17	52.82	49.21	57.89	43.94	39.22	37.05	54.33	63.45	69.52	12.64	70.01	31.67	17.77	81.71	473.41	40.64	134.3	89.51	72.52	138.1	97.36	99.43	138.1	93.35	120.1	108.9	104.42	37.85	148.09	128.79	81.14	166.73	84.63	117.6	81.71	80.57	38.4	63.89	129.69	55.1	126.12	14.89	20.11	30.78	8.78	10.24	10.96	10.96	12.83	11.04	11.64	9.56	9.27	34.26	24.11	15.0	9.27	0.0
SPPL3	460.44	1008.9	954.43	981.29	967.76	547.75	1175.27	1088.92	1073.91	607.87	830.75	1037.29	1216.75	878.17	813.63	954.43	813.63	988.12	665.29	928.3	796.86	728.11	1081.39	466.88	753.83	1870.53	915.51	1037.29	808.0	915.51	934.76	1023.0	1250.98	1008.9	947.83	878.17	967.76	825.0	723.08	967.76	1051.79	1313.23	1508.65	1066.48	1295.13	629.35	848.22	514.56	395.18	967.76	612.11	1127.35	429.54	381.68	403.5	297.17	426.57	356.05	299.25	381.68	392.44	363.56	363.56	392.44	341.51	358.54	258.57	309.83	571.05
SSPN	139.07	44.57	181.28	141.02	69.52	129.69	144.01	269.6	264.03	244.57	50.98	121.79	183.82	131.51	148.09	81.14	92.05	150.17	67.59	406.31	11.73	264.03	148.09	48.18	64.34	395.18	153.34	775.05	599.49	470.14	934.76	500.46	1023.0	693.58	723.08	476.71	669.92	473.41	283.05	1397.83	1617.0	1286.18	1870.53	825.0	941.27	769.69	493.56	651.58	802.41	753.83	518.15	1073.91	33.3	1.41	4.35	0.0	10.55	0.0	4.06	3.76	4.78	3.23	7.82	1.38	7.34	2.2	0.0	1.68	0.0
TACR1	22.59	8.65	54.33	22.26	3.0	25.72	6.89	23.93	25.91	33.54	1.01	4.78	15.68	30.56	11.21	25.17	4.54	5.06	4.17	30.56	1.77	8.78	3.76	0.36	2.66	176.29	103.69	100.13	120.94	126.12	116.78	55.89	124.37	98.73	166.73	44.57	122.64	224.97	141.02	99.43	44.25	389.72	170.25	58.3	248.0	137.14	60.39	24.46	27.25	115.97	63.0	205.5	2.84	1.23	0.89	0.75	0.0	0.68	1.16	0.0	0.0	0.56	0.0	0.55	0.0	0.3	0.0	0.0	0.0
TBX18	40.93	15.11	56.68	67.59	17.51	51.35	34.75	89.51	62.56	55.89	12.45	10.31	60.39	68.07	40.07	26.86	24.11	38.67	7.4	31.9	9.34	51.35	10.71	6.16	12.64	518.15	53.57	103.69	158.79	56.28	109.66	156.59	122.64	180.02	94.67	30.56	55.1	111.21	58.71	275.28	46.84	180.02	480.04	123.5	57.49	62.56	87.65	65.72	45.53	96.68	20.41	84.63	5.06	13.72	0.65	0.0	4.86	0.54	7.17	1.89	7.17	2.41	3.14	0.75	0.41	1.81	5.19	2.32	0.0
TBX5	16.27	12.09	31.22	43.02	55.49	29.06	35.25	57.89	22.75	32.82	0.45	6.46	33.3	74.58	21.01	24.81	29.06	46.84	8.51	8.38	10.63	26.47	5.36	9.56	10.0	277.2	18.97	42.41	50.63	33.78	30.12	68.07	127.89	40.07	39.22	18.97	11.38	52.08	28.04	127.89	21.63	45.85	93.35	57.49	35.0	9.78	21.94	22.1	8.58	47.84	6.46	80.57	3.14	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0	0.96	0.0	0.0
TFCP2L1	149.12	50.98	105.15	351.14	80.57	99.43	53.19	173.85	218.79	42.71	176.29	295.11	153.34	301.33	195.72	104.42	2.94	36.01	115.16	1721.16	24.81	98.04	19.68	49.21	152.28	2209.26	138.1	723.08	158.79	713.11	305.55	432.53	791.35	185.11	371.22	198.47	164.42	291.04	285.03	277.2	647.07	555.41	74.06	497.0	679.29	483.38	351.14	148.09	186.4	500.46	256.78	318.57	5.59	1.11	2.03	0.62	0.66	3.56	3.23	1.89	0.0	7.0	3.14	0.75	2.53	25.72	4.35	10.47	0.0
THEM5	6.73	0.66	2.73	11.04	2.03	5.36	9.13	2.63	2.66	4.98	7.11	6.16	5.73	4.66	2.03	1.5	8.45	27.44	0.0	16.75	3.89	7.51	0.61	3.63	0.96	51.35	21.32	17.38	37.59	22.92	19.68	16.15	5.73	14.14	13.83	4.98	15.0	9.27	10.16	14.14	27.64	13.22	16.51	16.63	22.92	17.9	16.88	10.0	3.63	12.45	6.62	10.55	4.03	11.91	8.78	2.66	10.39	15.22	0.0	0.0	3.44	2.32	0.0	1.62	0.69	1.64	4.54	7.46	0.0
TMEM163	20.41	253.23	13.12	15.0	23.25	46.5	8.45	36.01	22.43	119.26	16.63	7.57	441.64	19.39	24.81	26.1	18.56	12.93	38.67	82.87	141.02	26.86	8.0	37.32	21.78	305.55	232.94	155.5	145.02	154.42	99.43	74.06	22.75	55.49	29.06	125.24	65.26	41.52	122.64	38.67	11.3	18.84	124.37	40.36	33.78	26.1	76.17	162.14	66.18	47.5	18.16	473.41	14.24	3.23	18.84	3.26	0.0	9.2	4.82	10.88	1.22	2.34	5.28	5.77	12.09	0.0	1.04	4.58	0.0
TMPRSS5	20.26	1.97	2.03	4.86	4.31	11.3	3.89	12.0	1.62	6.52	3.96	2.56	2.27	27.44	8.71	10.0	2.41	5.96	2.92	21.63	4.78	12.55	1.83	6.46	2.61	70.01	11.04	22.1	14.89	15.34	20.71	25.72	14.67	8.19	20.11	22.92	16.27	27.25	16.03	10.79	44.25	66.18	14.45	38.12	112.77	21.63	16.51	4.43	12.09	19.25	7.57	17.0	6.16	4.5	4.66	4.03	2.76	7.0	6.01	7.63	1.97	6.21	8.06	2.71	0.58	4.74	0.67	2.18	0.0
TP53TG3B	0.97	0.0	0.0	0.0	7.88	1.07	3.86	2.73	1.39	0.0	0.0	1.3	0.41	2.92	0.37	0.0	0.0	0.0	0.0	5.92	0.3	0.0	0.0	0.0	0.35	21.78	2.46	6.52	0.0	0.37	2.97	2.66	0.43	1.13	4.35	0.71	5.28	8.58	4.98	1.6	0.64	1.45	0.0	1.08	0.0	1.55	3.47	0.0	0.41	4.58	0.39	2.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRPC1	60.39	9.7	42.41	32.82	11.73	69.52	28.45	69.52	31.22	49.91	7.94	15.68	93.35	50.63	33.3	22.43	20.56	21.47	59.55	74.58	21.47	32.82	9.63	7.63	35.0	55.89	34.75	125.24	99.43	93.35	161.02	76.17	178.77	116.78	133.36	60.39	116.78	128.79	61.25	248.0	279.14	108.9	131.51	153.34	111.99	88.26	97.36	53.57	25.17	181.28	49.56	120.1	13.72	6.89	8.0	0.72	6.57	4.21	7.11	6.57	4.1	3.76	7.51	4.78	2.05	6.36	3.66	5.06	0.0
TSHZ3	95.34	70.51	112.77	98.04	48.52	80.57	88.88	158.79	86.43	156.59	25.54	28.45	137.14	98.73	79.45	55.49	76.17	111.99	27.44	94.01	31.67	98.04	25.72	16.39	36.79	191.67	99.43	164.42	206.94	148.09	156.59	185.11	162.14	141.02	173.85	80.01	126.12	237.86	125.24	258.57	170.25	177.53	466.88	135.24	204.07	94.67	98.04	151.22	80.57	145.02	42.11	204.07	29.27	8.06	8.38	1.07	1.57	3.44	10.47	11.91	2.58	10.08	16.15	10.96	8.32	7.34	9.85	10.79	0.0
VCAN	954.43	660.68	3257.52	2758.13	1175.27	1977.24	2417.67	3794.3	2018.8	4298.64	173.85	669.92	5366.37	2133.97	2485.67	638.15	1467.37	2502.97	336.79	612.11	409.15	3257.52	518.15	173.85	647.07	12853.63	327.56	309.83	1143.1	1104.13	343.89	1313.23	1857.6	567.1	591.22	126.12	258.57	1151.06	934.76	603.67	1167.14	1709.26	2758.13	138.1	703.28	142.01	432.53	7130.55	146.03	1313.23	136.19	796.86	66.18	33.78	43.02	0.96	3.92	7.17	18.56	22.26	7.46	6.06	22.92	16.03	59.13	67.59	35.25	41.22	896.64
VIT	49.21	2.46	40.64	7.82	3.69	24.46	1.36	46.84	12.55	15.91	1.69	2.32	20.86	70.51	24.11	30.34	11.21	4.82	1.38	97.36	6.67	4.74	14.45	8.38	9.78	3982.99	198.47	236.21	466.88	70.01	316.37	346.29	241.19	476.71	221.86	214.27	392.44	748.61	149.12	279.14	420.68	1594.73	182.55	64.34	1159.07	202.66	147.06	299.25	129.69	748.61	281.09	92.7	5.92	0.0	0.61	0.0	0.0	4.28	0.82	0.77	0.0	0.0	0.8	0.0	0.66	2.89	0.25	0.0	0.0
ZNF521	165.57	49.91	234.57	215.77	54.72	162.14	134.3	277.2	164.42	170.25	27.25	1519.15	180.02	307.69	143.01	117.6	87.03	107.38	46.18	182.55	28.65	435.55	46.18	27.44	35.5	555.41	297.17	454.09	718.08	547.75	447.82	511.0	718.08	603.67	463.65	329.84	287.01	470.14	241.19	629.35	346.29	830.75	1467.37	432.53	591.22	343.89	258.57	251.48	287.01	441.64	232.94	518.15	23.08	17.38	8.13	1.97	2.12	3.69	7.69	15.34	6.62	4.94	13.03	10.39	10.31	13.03	13.72	7.82	0.0
ZNF850	11.13	12.18	16.75	18.84	28.45	17.25	15.11	15.45	12.27	13.42	11.91	30.34	11.47	13.72	14.14	9.56	5.36	12.18	8.13	17.64	18.7	10.55	5.06	7.82	14.35	80.57	9.41	29.27	28.86	16.39	33.3	20.26	20.86	22.92	14.56	21.63	17.13	24.99	10.88	18.97	10.55	16.27	41.52	33.06	9.34	5.77	54.72	22.92	4.58	86.43	6.89	27.25	8.45	8.38	7.88	5.59	12.55	2.36	4.7	6.01	2.46	6.46	6.36	7.94	3.53	8.06	4.06	19.53	0.0
