	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	TCGA.CZ.5452.11A.01R.1503.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.B0.5705.11A.01R.1541.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.BQ.5887.11A.01R.1965.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AAE7.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.38.4625.01A.01R.1206.07
TRAM1L1	251.48	236.21	587.13	620.67	674.59	253.23	153.34	854.13	356.05	323.03	162.14	356.05	103.69	438.59	283.05	346.29	412.0	289.02	217.27	133.36	150.17	244.57	182.55	307.69	221.86	1.14	2.58	1.01	2.84	1.85	2.73	1.73	0.59	1.5	0.55	0.0	1.64	0.0
TRIM16	241.19	185.11	147.06	476.71	264.03	327.56	150.17	187.71	236.21	248.0	167.9	223.41	236.21	242.88	158.79	256.78	226.54	186.4	172.65	164.42	166.73	181.28	193.01	209.84	373.81	137.14	122.64	1250.98	187.71	138.1	131.51	114.36	77.25	55.89	59.97	41.22	94.01	0.0
TRIM2	1081.39	1369.04	4419.52	1628.26	4152.18	1617.0	3124.78	6037.61	2209.26	1819.35	921.88	1896.65	642.59	2451.44	1628.26	2434.5	1733.13	1378.57	728.11	902.89	1127.35	1407.55	1143.1	1896.65	1359.57	47.5	123.5	39.79	52.45	41.81	57.08	85.82	142.01	73.54	55.49	85.82	136.19	309.83
TRIM56	256.78	204.07	41.22	320.8	164.42	241.19	215.77	150.17	246.28	242.88	205.5	293.07	119.26	273.37	145.02	368.65	289.02	244.57	98.04	186.4	251.48	334.46	267.73	291.04	248.0	58.3	98.73	62.56	41.22	49.21	96.68	67.59	82.29	46.18	43.32	49.56	90.14	0.0
TSPYL5	387.02	320.8	551.56	674.59	830.75	466.88	293.07	934.76	595.34	447.82	249.73	633.73	165.57	579.04	483.38	583.07	599.49	397.93	246.28	241.19	281.09	432.53	318.57	476.71	551.56	2.43	33.54	4.39	9.93	5.19	12.45	13.42	19.39	14.35	19.11	35.0	10.16	0.0
UBE2E3	1909.85	2224.63	4066.71	2271.4	3146.52	1819.35	2224.63	3928.15	2720.15	2835.7	1794.29	2400.97	2104.58	2835.7	2417.67	2434.5	2609.3	2133.97	2520.38	1617.0	1857.6	2090.03	1844.76	2720.15	1991.0	802.41	1044.52	708.18	995.0	674.59	878.17	836.53	915.51	708.18	981.29	830.75	743.43	0.0
UBN1	332.14	251.48	348.71	363.56	409.15	299.25	406.31	356.05	371.22	291.04	244.57	381.68	212.78	320.8	248.0	353.59	316.37	249.73	175.07	329.84	293.07	314.17	356.05	412.0	450.94	197.09	214.27	163.28	175.07	197.09	262.2	120.1	155.5	154.42	132.44	114.36	117.6	0.0
UMOD	602247.76	443937.41	3178687.03	1318073.06	789181.81	1070607.81	565825.41	1299926.74	292889.12	585779.24	136637.07	434801.29	84109.6	431797.89	422911.59	218912.29	636586.81	502929.67	373305.21	217400.14	234624.45	381149.17	345900.08	641014.63	391864.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
USP25	435.55	518.15	854.13	567.1	808.0	460.44	587.13	848.22	775.05	624.99	392.44	575.03	353.59	728.11	607.87	665.29	647.07	371.22	329.84	332.14	329.84	460.44	384.34	480.04	540.19	185.11	251.48	138.1	215.77	186.4	136.19	149.12	242.88	139.07	105.89	187.71	143.01	0.0
WHSC1L1	444.72	476.71	728.11	507.46	703.28	575.03	642.59	708.18	651.58	575.03	412.0	620.67	376.41	674.59	525.39	665.29	612.11	490.14	361.04	420.68	351.14	466.88	397.93	490.14	480.04	104.42	211.31	90.14	165.57	121.79	126.12	185.11	221.86	156.59	86.43	181.28	190.34	0.0
WLS	3639.7	2777.33	3847.29	7130.55	2720.15	4328.55	3768.09	2915.45	3639.7	3515.68	2956.17	3716.2	2032.85	4210.15	3018.3	3190.46	5183.54	3901.01	2075.59	2271.4	2777.33	2835.7	2895.31	3039.3	2555.58	224.97	441.64	218.79	293.07	190.34	198.47	397.93	275.28	267.73	255.0	258.57	232.94	0.0
WWC2	559.28	521.76	947.83	890.44	1199.98	603.67	884.29	1001.93	1044.52	629.35	441.64	819.3	376.41	775.05	603.67	967.76	967.76	397.93	305.55	493.56	447.82	624.99	616.37	909.17	486.75	120.1	180.02	97.36	120.94	78.34	137.14	154.42	242.88	139.07	60.39	167.9	155.5	77.25
ZADH2	571.05	753.83	759.08	836.53	928.3	830.75	785.88	642.59	753.83	884.29	591.22	902.89	583.07	1037.29	647.07	878.17	878.17	718.08	547.75	713.11	679.29	896.64	660.68	860.08	713.11	366.09	387.02	151.22	476.71	172.65	197.09	318.57	392.44	420.68	371.22	432.53	435.55	223.41
ZBTB8B	0.33	1.08	0.0	1.41	0.89	0.4	0.59	1.1	0.34	0.84	0.37	1.46	0.0	0.36	0.37	0.42	0.34	1.57	0.33	1.06	0.39	0.38	0.39	0.82	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZFYVE26	105.89	113.56	113.56	204.07	182.55	178.77	164.42	147.06	173.85	159.9	120.1	171.45	93.35	177.53	118.43	178.77	152.28	112.77	64.34	115.97	139.07	147.06	155.5	149.12	147.06	68.55	102.25	88.26	49.56	75.64	76.71	38.67	43.02	36.27	52.45	36.79	34.02	0.0
ZHX3	954.43	819.3	1015.93	1088.92	1023.0	571.05	473.41	1250.98	1216.75	1081.39	567.1	1081.39	507.46	1167.14	629.35	1127.35	1135.2	791.35	332.14	620.67	819.3	954.43	647.07	1135.2	1104.13	301.33	279.14	285.03	264.03	177.53	297.17	256.78	366.09	232.94	325.29	281.09	260.38	0.0
ZNF20	58.3	75.64	169.07	73.03	96.68	74.58	127.0	181.28	69.03	92.05	65.26	204.07	111.21	141.02	98.73	128.79	115.97	96.68	44.89	73.54	76.17	52.45	78.34	71.0	71.0	27.84	6.84	16.75	49.56	14.24	20.11	29.48	22.1	9.85	23.59	15.11	29.27	0.0
ZNF44	1023.0	629.35	1498.22	775.05	1594.73	775.05	764.36	1508.65	1119.56	1088.92	403.5	1143.1	403.5	1015.93	1498.22	890.44	967.76	884.29	599.49	551.56	599.49	791.35	507.46	1066.48	728.11	154.42	104.42	79.45	193.01	99.43	182.55	156.59	129.69	94.01	44.57	105.15	82.87	0.0
ZNF552	161.02	143.01	237.86	271.48	212.78	246.28	248.0	251.48	277.2	323.03	130.6	273.37	183.82	249.73	248.0	215.77	183.82	283.05	248.0	255.0	180.02	297.17	215.77	264.03	110.43	58.3	49.91	54.33	61.68	57.89	31.45	63.89	67.12	43.94	37.59	59.97	31.67	0.0
ZNF823	129.69	110.43	142.01	112.77	208.38	141.02	109.66	194.36	142.01	143.01	84.04	220.32	88.88	201.25	150.17	143.01	154.42	143.01	110.43	102.97	81.14	130.6	128.79	94.67	92.7	52.45	50.27	74.58	103.69	55.89	85.82	70.51	62.56	56.68	36.01	70.51	34.75	0.0
ZPBP	6.11	7.11	10.63	3.29	22.59	9.85	5.11	15.91	17.25	2.48	3.59	4.35	3.69	7.94	4.31	3.72	5.73	12.74	2.27	2.1	0.77	8.06	4.9	9.27	9.93	0.0	0.0	0.0	2.14	0.0	0.0	0.0	0.0	0.0	0.0	1.36	0.0	0.0
