	TCGA.E5.A4TZ.01A.11R.A31N.07	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.GU.A42R.01A.11R.A23N.07	TCGA.FJ.A3ZF.01A.11R.A23N.07	TCGA.ZF.A9RL.01A.11R.A38B.07	TCGA.GV.A3QH.01A.11R.A220.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.LT.A5Z6.01A.11R.A28M.07	GTEX.146FQ.1026.SM.5LU8I	GTEX.133LE.0626.SM.5IFFJ	TCGA.KN.8435.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.P4QS.1126.SM.3NMD5	GTEX.1497J.0826.SM.5NQAJ	GTEX.Y5V6.2026.SM.5IFHO	GTEX.12WSG.0826.SM.5EQ5A	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.B0.5402.01A.01R.1503.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.REY6.1226.SM.48FDR	TCGA.60.2716.01A.01R.0851.07	TCGA.BJ.A191.01A.11R.A13Y.07	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1497J.0126.SM.5Q5BK	GTEX.QEL4.0726.SM.3GIJ5	GTEX.SE5C.0726.SM.4BRWY	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.1399U.0326.SM.5P9G5	GTEX.146FR.0326.SM.5SI8U	GTEX.VJYA.0426.SM.3GIJK	GTEX.ZGAY.1026.SM.4WWBR	GTEX.XMK1.0626.SM.4B65A	GTEX.U3ZM.0126.SM.3DB8M	GTEX.11LCK.0526.SM.5A5M9	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW	GTEX.VUSG.0426.SM.3GIKD	GTEX.117YX.1226.SM.5H11S
U2SURP	1697.45	1733.13	2384.37	1977.24	1313.23	1250.98	1487.87	674.59	896.64	1151.06	1143.1	599.49	343.89	435.55	368.65	376.41	299.25	329.84	476.71	387.02	698.41	503.95	1037.29	669.92	536.45	366.09	454.09	775.05	629.35	497.0	521.76	395.18	571.05	438.59	435.55	633.73	381.68	651.58	514.56	583.07	480.04	633.73	642.59	414.87	438.59	376.41	463.65	543.96	642.59	212.78	29.48	503.95	563.18	325.29	341.51	466.88	441.64	412.0	397.93	547.75	555.41	486.75	363.56	371.22	61.25	260.38	297.17	836.53	1242.34	1561.89	896.64	1175.27	1313.23	660.68	1397.83	974.5	1233.75	884.29	1023.0	954.43	748.61	656.11	775.05	928.3	934.76	1111.82	896.64	1088.92	896.64
UPF3B	384.34	264.03	363.56	287.01	395.18	406.31	220.32	139.07	432.53	400.71	463.65	173.85	98.73	130.6	122.64	105.89	72.52	59.55	129.69	71.5	175.07	177.53	183.82	208.38	155.5	92.05	133.36	209.84	173.85	148.09	186.4	93.35	126.12	137.14	98.04	187.71	107.38	142.01	157.68	100.13	134.3	165.57	180.02	128.79	127.0	126.12	148.09	128.79	185.11	54.72	11.3	111.21	129.69	117.6	121.79	108.9	134.3	133.36	117.6	127.89	118.43	82.87	102.97	105.15	8.19	65.26	111.21	334.46	237.86	361.04	325.29	476.71	460.44	237.86	303.44	198.47	363.56	264.03	256.78	264.03	249.73	279.14	246.28	273.37	201.25	341.51	265.87	271.48	273.37
USP39	1286.18	1088.92	1023.0	915.51	1697.45	1023.0	1508.65	1467.37	1208.34	1037.29	1127.35	703.28	769.69	698.41	813.63	860.08	674.59	693.58	525.39	624.99	703.28	759.08	563.18	540.19	603.67	660.68	642.59	802.41	688.78	703.28	791.35	688.78	595.34	738.29	591.22	748.61	647.07	633.73	669.92	703.28	688.78	638.15	728.11	665.29	665.29	684.02	713.11	759.08	718.08	529.06	647.07	674.59	679.29	624.99	642.59	607.87	612.11	591.22	555.41	616.37	638.15	679.29	616.37	660.68	363.56	379.04	166.73	1225.22	995.0	1037.29	896.64	813.63	854.13	878.17	836.53	791.35	866.07	872.1	896.64	954.43	780.44	775.05	728.11	802.41	830.75	928.3	915.51	878.17	974.5
VCPKMT	211.31	178.77	149.12	228.13	135.24	255.0	151.22	135.24	279.14	281.09	208.38	84.63	90.77	128.79	103.69	85.82	51.71	63.89	95.34	59.97	117.6	73.03	67.59	50.63	64.34	78.89	69.03	98.73	98.04	74.58	100.83	72.01	61.25	81.14	61.25	101.54	91.41	94.67	80.57	88.88	59.13	86.43	94.01	105.89	77.79	83.45	64.8	92.7	100.13	53.19	37.32	78.89	76.17	61.68	57.08	83.45	82.87	85.22	73.03	77.25	100.83	72.01	68.07	63.45	37.32	105.89	61.25	180.02	197.09	199.85	147.06	186.4	169.07	141.02	215.77	220.32	153.34	201.25	156.59	195.72	231.32	199.85	103.69	138.1	132.44	132.44	176.29	236.21	157.68
ZDHHC13	651.58	463.65	674.59	563.18	476.71	575.03	764.36	403.5	1651.0	693.58	995.0	275.28	197.09	209.84	253.23	195.72	165.57	228.13	212.78	217.27	325.29	267.73	246.28	256.78	255.0	150.17	190.34	285.03	208.38	279.14	273.37	175.07	205.5	236.21	214.27	218.79	177.53	212.78	206.94	215.77	212.78	283.05	244.57	226.54	220.32	218.79	231.32	289.02	212.78	198.47	71.0	202.66	215.77	165.57	175.07	187.71	209.84	144.01	187.71	215.77	208.38	180.02	172.65	187.71	12.0	63.45	56.68	444.72	363.56	301.33	265.87	376.41	244.57	223.41	265.87	178.77	251.48	260.38	234.57	197.09	231.32	224.97	236.21	228.13	361.04	376.41	246.28	341.51	234.57
ZFC3H1	441.64	1059.11	638.15	1175.27	733.19	525.39	532.74	483.38	642.59	848.22	808.0	232.94	109.66	125.24	135.24	107.38	115.16	94.67	183.82	85.82	232.94	329.84	271.48	371.22	301.33	157.68	145.02	221.86	289.02	115.97	171.45	136.19	155.5	162.14	111.99	218.79	145.02	251.48	135.24	147.06	154.42	221.86	197.09	185.11	165.57	147.06	162.14	134.3	258.57	110.43	39.22	145.02	198.47	125.24	102.97	117.6	166.73	127.0	102.97	161.02	239.52	126.12	129.69	130.6	31.45	111.21	70.01	473.41	769.69	813.63	563.18	769.69	674.59	409.15	607.87	651.58	518.15	412.0	441.64	303.44	470.14	339.14	387.02	483.38	616.37	473.41	323.03	595.34	435.55
ZNF207	2271.4	2090.03	2163.77	3716.2	2224.63	2739.08	3467.27	2502.97	2335.28	3372.43	3491.39	1628.26	1407.55	1561.89	1639.59	1551.09	1001.93	1096.5	1508.65	995.0	1651.0	1794.29	1950.0	1697.45	2075.59	1467.37	1359.57	1794.29	1721.16	1529.73	1757.34	1605.83	1477.58	1477.58	1508.65	1662.49	1628.26	1594.73	1467.37	1467.37	1529.73	1529.73	1745.2	1617.0	1350.18	1508.65	1594.73	1709.26	1628.26	934.76	748.61	1437.15	1697.45	1427.22	1313.23	1259.69	1119.56	1322.37	1340.84	1467.37	1397.83	1519.15	1175.27	1331.57	791.35	748.61	902.89	3589.58	2400.97	2451.44	1923.14	1991.0	2075.59	2004.85	2351.53	1896.65	1757.34	1832.01	1923.14	2193.99	1685.71	1733.13	1857.6	2104.58	1870.53	2148.82	1844.76	2367.9	1651.0
ZNF300	301.33	420.68	329.84	264.03	967.76	392.44	289.02	314.17	397.93	211.31	183.82	56.28	30.34	40.07	44.25	30.78	23.76	20.11	33.3	14.45	111.21	65.72	63.0	108.9	56.68	31.9	30.12	48.52	41.52	45.21	63.0	39.5	40.93	34.02	29.91	37.85	45.21	47.84	25.54	36.79	32.59	47.17	51.35	58.71	38.4	34.51	40.36	39.22	51.71	25.72	3.06	24.81	37.05	19.11	31.22	32.13	37.32	23.59	18.16	43.94	49.91	28.45	30.12	23.93	1.17	6.01	4.98	312.0	412.0	202.66	95.34	143.01	275.28	68.55	379.04	271.48	139.07	239.52	71.5	71.5	81.14	172.65	105.89	110.43	155.5	94.01	65.26	260.38	132.44
ZNF326	361.04	318.57	435.55	420.68	503.95	480.04	423.61	264.03	579.04	543.96	642.59	260.38	153.34	246.28	178.77	212.78	202.66	173.85	256.78	226.54	242.88	195.72	271.48	256.78	126.12	201.25	237.86	312.0	277.2	295.11	316.37	237.86	343.89	244.57	237.86	343.89	194.36	277.2	253.23	239.52	264.03	373.81	316.37	232.94	277.2	229.72	258.57	287.01	314.17	96.68	53.95	180.02	239.52	214.27	226.54	212.78	224.97	195.72	214.27	228.13	231.32	221.86	202.66	209.84	93.35	166.73	99.43	438.59	450.94	555.41	323.03	376.41	521.76	264.03	490.14	325.29	426.57	379.04	409.15	358.54	269.6	305.55	309.83	389.72	417.77	426.57	320.8	414.87	412.0
ZNF681	58.71	71.0	115.97	73.54	239.52	105.89	120.94	96.01	175.07	42.41	73.03	23.76	11.3	12.64	18.43	10.71	4.78	9.2	24.11	12.18	23.93	15.22	47.5	15.91	15.11	9.56	21.94	27.64	20.71	15.0	21.16	17.64	16.63	16.03	14.89	18.29	13.62	20.11	21.78	36.79	12.45	17.13	21.01	21.16	21.16	23.59	26.1	25.17	15.22	6.89	2.18	13.32	16.15	15.91	16.39	11.04	19.53	12.74	11.73	10.88	13.03	11.82	14.67	10.63	0.56	4.46	1.87	47.17	61.68	34.51	21.16	38.12	52.45	21.63	36.01	26.28	38.4	17.51	24.28	21.01	17.77	21.94	11.82	19.68	24.99	42.41	24.28	33.54	31.67
ZNF738	249.73	241.19	651.58	417.77	1561.89	444.72	320.8	532.74	466.88	208.38	231.32	80.57	44.89	46.18	58.3	46.18	48.52	43.02	36.01	47.17	78.34	120.1	53.19	46.5	35.5	36.53	36.53	114.36	63.0	37.85	63.0	54.33	69.52	56.68	52.82	50.98	63.45	49.91	47.5	52.08	63.89	64.34	73.03	69.52	54.72	53.95	65.72	58.3	72.01	67.12	47.17	41.52	62.56	35.76	45.53	37.05	64.34	38.67	33.78	50.63	73.03	43.02	40.93	38.4	6.67	23.25	9.13	348.71	180.02	202.66	114.36	111.21	124.37	84.63	104.42	132.44	110.43	93.35	92.05	67.12	64.34	99.43	65.26	108.9	93.35	146.03	81.71	137.14	115.97
ZSCAN9	221.86	193.01	567.1	563.18	529.06	599.49	460.44	256.78	603.67	204.07	164.42	142.01	104.42	129.69	108.14	112.77	117.6	97.36	148.09	88.26	164.42	221.86	177.53	190.34	231.32	120.94	125.24	199.85	161.02	130.6	199.85	130.6	149.12	137.14	129.69	161.02	126.12	185.11	131.51	153.34	130.6	163.28	161.02	142.01	145.02	127.89	154.42	158.79	183.82	72.52	133.36	150.17	151.22	99.43	112.77	115.16	120.94	88.26	105.89	145.02	175.07	127.89	119.26	100.83	44.25	153.34	59.13	329.84	497.0	299.25	325.29	305.55	373.81	309.83	392.44	237.86	426.57	275.28	241.19	287.01	211.31	309.83	241.19	228.13	269.6	334.46	281.09	339.14	267.73
