	TCGA.BL.A13I.01A.11R.A277.07	TCGA.BL.A13I.01A.11R.A13Y.07	TCGA.XF.AAME.01A.12R.A42T.07	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.A8.A08H.01A.21R.A00Z.07	GTEX.14C38.2626.SM.5RQI4	TCGA.CN.6019.01A.11R.1686.07	TCGA.CJ.4890.01A.01R.1305.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.BW.A5NQ.01A.11R.A27V.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.RG.A7D4.01A.12R.A33R.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.DD.A73A.01A.12R.A32O.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACW.01A.11R.A41C.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.XR.A8TF.01A.11R.A36F.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.CC.A5UE.01A.11R.A28V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.UB.A7MD.01A.12R.A352.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.78.8648.01A.11R.2403.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.ZZPU.0526.SM.5E44U	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.O5YV.0526.SM.2I5GE	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13FLV.0426.SM.5KLZA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	TCGA.60.2709.01A.21R.1820.07	TCGA.18.3411.01A.01R.0980.07	TCGA.66.2737.01A.01R.0980.07	TCGA.43.6773.01A.41R.1949.07	TCGA.77.8007.11A.01R.2187.07	TCGA.34.7107.11A.01R.1949.07
KCTD12	1794.29	866.07	1088.92	1340.84	1781.89	1628.26	444.72	1628.26	1135.2	698.41	1151.06	435.55	318.57	33.78	17.9	185.11	132.44	47.17	122.64	68.07	72.52	78.89	27.64	75.11	65.72	53.57	53.95	27.44	231.32	10.16	16.75	74.06	110.43	25.72	41.22	36.53	409.15	147.06	53.19	7.88	31.0	281.09	39.79	10.39	58.3	27.84	24.28	72.01	57.08	63.89	35.0	48.87	262.2	67.12	33.78	607.87	41.81	94.67	46.5	33.3	175.07	45.85	80.57	53.19	202.66	68.55	80.57	860.08	1015.93	158.79	1250.98	1487.87	423.61	1135.2	708.18	1819.35	1001.93	4123.49	1977.24	2004.85	961.07	366.09	708.18	1073.91	624.99	253.23	463.65	483.38	1135.2	1529.73
KIAA1755	723.08	483.38	217.27	115.16	177.53	19.39	170.25	98.04	31.22	48.87	248.0	67.59	48.18	13.52	3.82	142.01	206.94	11.64	76.71	1.43	52.82	7.4	0.0	24.11	31.45	0.91	20.41	5.68	8.65	3.44	5.82	47.84	5.32	1.81	35.76	4.35	140.04	15.91	67.12	0.82	0.91	43.32	5.59	94.67	36.27	10.08	1.28	3.92	2.01	45.53	4.1	53.57	172.65	33.78	3.26	169.07	1.77	76.71	8.13	10.24	1.64	1.75	52.82	19.11	21.47	32.13	113.56	113.56	94.67	30.34	11.55	18.29	137.14	63.89	88.26	150.17	9.06	113.56	112.77	23.42	38.67	45.85	69.52	79.45	105.89	19.11	40.07	146.03	57.89	97.36
KIRREL	1963.57	624.99	417.77	447.82	723.08	147.06	698.41	819.3	176.29	176.29	423.61	129.69	239.52	23.76	6.16	81.71	87.65	28.24	45.21	17.38	28.45	23.42	13.32	32.36	11.82	19.53	27.25	16.88	48.18	3.53	12.83	100.83	22.59	21.47	44.89	12.64	211.31	69.52	37.05	5.32	22.59	112.77	32.36	14.56	40.64	9.2	11.55	29.27	44.89	16.27	13.62	14.45	95.34	30.56	6.11	149.12	46.18	50.27	16.75	48.87	23.25	17.25	23.59	10.88	30.34	11.82	26.28	674.59	339.14	108.14	251.48	329.84	536.45	651.58	351.14	249.73	98.04	1437.15	941.27	500.46	591.22	285.03	237.86	88.26	426.57	170.25	532.74	400.71	361.04	842.36
LAMB4	73.54	46.84	5.19	1.51	13.72	0.39	8.78	11.82	26.67	15.56	3.35	5.41	9.85	2.32	0.0	4.58	0.96	8.32	0.45	1.36	0.91	1.97	0.54	3.79	0.87	1.38	0.46	0.52	3.82	1.16	0.42	4.1	3.32	0.0	0.46	2.66	2.23	3.32	1.68	0.0	2.63	7.06	0.0	1.23	6.46	2.78	1.55	0.0	3.63	6.73	2.01	2.03	5.82	4.82	1.57	4.54	0.0	6.57	0.27	3.38	0.25	0.0	0.29	0.29	0.39	3.76	0.0	2.92	8.99	0.37	5.92	2.73	15.0	8.25	1.25	9.48	12.55	13.93	16.75	3.82	3.69	14.89	2.36	2.61	2.92	3.29	0.73	7.82	14.89	12.83
LINC00632	0.0	124.37	9.2	10.63	9.78	27.44	14.35	3.32	2.58	11.38	8.45	6.36	9.27	0.0	0.0	0.0	0.0	45.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.69	0.0	0.0	0.0	1.08	0.0	0.0	0.0	0.0	1.38	1.36	0.0	0.0	0.0	0.0	0.0	0.0	7.94	0.52	0.0	3.26	0.0	0.0	5.82	1.95	0.0	466.88	2.41	0.0	1.25	0.0	3.17	6.89	0.0	0.0	0.0	1.91	0.0	0.0	22.92	3.99	0.0	1.95	0.0	8.71	14.35	11.47	2.51	0.0	11.38	8.25	11.04	0.18	1.22	0.84	2.14	8.65	4.54	41.81	6.46	10.71	12.64
LOXL3	269.6	153.34	209.84	166.73	301.33	153.34	201.25	223.41	129.69	129.69	221.86	58.71	133.36	19.25	10.55	55.1	21.16	26.47	26.47	26.1	42.71	21.78	7.0	21.32	22.26	7.46	16.63	14.45	49.56	5.11	10.0	15.68	26.47	11.3	18.43	10.0	55.1	35.76	30.78	4.98	18.29	45.53	7.17	11.64	18.03	15.91	7.22	22.26	10.55	28.04	12.18	29.06	60.82	19.25	11.64	134.3	17.9	48.87	15.91	12.45	40.64	6.06	16.88	19.25	26.86	25.54	21.16	309.83	214.27	25.17	108.14	189.02	406.31	277.2	61.25	228.13	127.89	140.04	198.47	79.45	53.95	348.71	253.23	102.97	191.67	159.9	148.09	133.36	155.5	201.25
LRRC8C	591.22	231.32	167.9	178.77	299.25	162.14	145.02	275.28	66.65	43.32	135.24	41.22	44.25	21.16	10.79	34.26	26.67	19.97	29.7	16.63	22.43	49.21	14.89	18.16	36.27	14.24	13.42	12.45	84.63	7.69	7.22	15.8	24.81	13.22	12.27	12.27	65.26	35.25	13.32	5.68	18.43	46.18	17.38	4.74	22.43	8.78	13.52	28.45	21.01	10.31	13.83	15.0	49.91	19.25	7.69	87.03	16.03	24.63	8.65	17.25	28.04	9.7	15.34	13.93	26.86	12.45	18.03	152.28	123.5	26.67	138.1	204.07	79.45	134.3	114.36	116.78	129.69	195.72	264.03	420.68	127.0	43.32	104.42	195.72	101.54	82.87	96.01	127.89	157.68	242.88
LSAMP	1508.65	813.63	162.14	27.05	40.93	36.53	124.37	14.03	7.17	3.0	6.94	16.63	27.84	0.84	0.0	9.56	6.21	0.0	5.11	0.53	8.13	2.84	0.0	1.93	0.0	1.79	0.49	0.0	9.93	2.2	0.0	3.2	0.56	2.71	0.0	3.29	8.71	3.96	0.0	1.5	0.0	14.45	10.0	0.0	5.82	0.99	8.51	2.25	7.11	6.94	1.99	1.38	10.96	1.66	1.27	14.78	0.47	6.21	0.26	3.69	7.69	0.83	6.52	0.0	6.67	9.06	0.75	297.17	78.34	11.64	76.17	64.34	417.77	454.09	197.09	187.71	53.95	536.45	616.37	595.34	248.0	295.11	262.2	180.02	115.16	28.45	99.43	159.9	180.02	406.31
LXN	5633.22	9945.68	1540.37	1388.16	1721.16	339.14	981.29	1304.15	480.04	414.87	591.22	379.04	123.5	60.39	22.26	149.12	244.57	43.32	229.72	29.27	103.69	106.63	59.55	116.78	48.87	31.0	34.51	19.25	90.14	37.85	16.39	115.97	54.72	43.02	31.67	25.72	679.29	127.89	117.6	11.47	53.57	379.04	36.27	10.55	100.13	23.08	35.5	63.89	22.92	53.57	37.05	28.45	420.68	43.63	29.27	796.86	19.11	76.71	23.59	42.71	157.68	6.36	66.18	26.1	60.39	53.57	28.45	1104.13	723.08	493.56	775.05	525.39	1159.07	3742.05	3103.19	2956.17	414.87	2502.97	2895.31	389.72	318.57	1529.73	295.11	206.94	620.67	163.28	866.07	555.41	1709.26	1088.92
LYVE1	1819.35	1745.2	813.63	172.65	536.45	470.14	115.16	242.88	181.28	36.53	148.09	36.53	202.66	22.59	46.18	12.27	25.54	85.82	12.55	15.68	48.87	78.89	88.26	7.17	5.87	29.7	13.72	4.03	25.72	14.78	13.22	15.45	11.73	25.17	17.9	28.65	79.45	45.53	25.54	14.45	37.05	28.86	71.0	25.35	37.32	2.36	44.25	20.86	30.34	460.44	49.21	242.88	39.79	21.16	10.71	42.11	37.85	244.57	48.52	122.64	854.13	91.41	86.43	591.22	1639.59	144.01	728.11	395.18	480.04	8.0	532.74	647.07	444.72	974.5	2591.27	1963.57	176.29	4869.99	1561.89	1322.37	403.5	656.11	616.37	819.3	80.57	36.53	37.85	269.6	915.51	1073.91
MAP1A	1295.13	483.38	189.02	129.69	412.0	140.04	187.71	120.1	41.81	41.22	115.97	75.11	51.35	4.1	1.0	16.88	16.63	7.51	9.7	2.92	9.34	4.46	1.22	5.59	2.32	2.51	6.26	3.06	6.57	0.61	1.73	10.24	3.59	2.27	8.0	1.01	44.25	10.31	8.65	1.36	2.92	25.91	4.03	1.46	15.68	3.06	2.94	3.32	1.19	2.48	1.06	10.24	24.11	5.54	1.17	32.36	4.9	6.89	0.39	1.36	6.01	0.08	2.41	3.06	8.51	1.08	1.35	84.63	30.56	123.5	26.28	75.11	74.58	486.75	73.03	53.57	13.72	249.73	84.04	81.71	74.06	170.25	53.57	28.45	133.36	81.71	166.73	253.23	63.89	120.1
MARVELD1	1242.34	1096.5	1225.22	842.36	1331.57	151.22	1572.76	974.5	444.72	525.39	947.83	780.44	656.11	24.63	16.51	159.9	111.21	35.5	119.26	35.5	74.06	37.32	18.29	57.89	29.48	20.86	52.45	23.93	70.51	6.36	22.75	101.54	28.45	21.78	77.25	43.32	281.09	96.01	75.64	55.89	19.25	128.79	23.08	20.41	134.3	36.53	18.43	33.78	28.04	32.36	18.56	25.17	191.67	57.49	56.68	346.29	22.92	65.72	19.82	59.55	56.68	40.07	53.57	38.67	66.18	27.64	70.51	1340.84	684.02	206.94	759.08	830.75	1733.13	1662.49	728.11	872.1	947.83	1350.18	1447.15	679.29	1015.93	954.43	941.27	769.69	1151.06	540.19	1119.56	1519.15	848.22	1159.07
MFGE8	16727.26	18431.96	3982.99	3665.02	2319.15	4769.75	4388.98	4095.0	412.0	2758.13	4869.99	1477.58	2816.11	253.23	84.63	808.0	587.13	208.38	884.29	190.34	718.08	237.86	167.9	389.72	320.8	244.57	423.61	189.02	473.41	58.3	305.55	842.36	204.07	271.48	518.15	175.07	1159.07	612.11	802.41	114.36	182.55	1233.75	420.68	159.9	514.56	497.0	249.73	281.09	764.36	525.39	236.21	177.53	1605.83	336.79	587.13	1936.53	269.6	571.05	56.68	198.47	435.55	82.29	177.53	193.01	287.01	206.94	202.66	3491.39	2287.2	1199.98	1721.16	6561.36	7130.55	1583.71	5633.22	1023.0	3847.29	3103.19	3039.3	4802.93	3768.09	3081.75	4239.45	3564.78	3716.2	1477.58	3212.66	4836.35	1950.0	3589.58
MLTK	1674.06	967.76	591.22	500.46	511.0	480.04	299.25	466.88	177.53	162.14	307.69	63.89	54.72	111.21	305.55	249.73	271.48	412.0	384.34	285.03	148.09	113.56	120.1	299.25	136.19	264.03	327.56	309.83	307.69	198.47	183.82	283.05	316.37	146.03	1059.11	113.56	490.14	297.17	251.48	249.73	267.73	316.37	155.5	155.5	173.85	130.6	285.03	133.36	84.04	96.01	82.87	148.09	279.14	251.48	297.17	283.05	387.02	164.42	395.18	420.68	248.0	239.52	139.07	206.94	226.54	228.13	500.46	417.77	417.77	470.14	423.61	473.41	470.14	320.8	1044.52	220.32	220.32	684.02	435.55	1030.12	435.55	198.47	287.01	397.93	285.03	463.65	450.94	470.14	409.15	559.28
MRC2	2816.11	1697.45	3280.18	1844.76	1857.6	363.56	3303.0	1216.75	454.09	426.57	1073.91	253.23	309.83	36.01	11.82	242.88	215.77	74.58	204.07	36.79	105.15	67.59	20.86	57.08	75.11	723.08	25.17	24.63	194.36	6.94	14.56	212.78	42.71	22.26	102.97	24.28	483.38	139.07	130.6	8.19	36.27	201.25	20.11	8.06	138.1	52.82	9.56	38.4	14.78	43.02	22.59	42.11	246.28	76.71	17.38	463.65	18.29	159.9	26.1	242.88	103.69	137.14	89.51	47.84	248.0	33.78	85.22	3847.29	2004.85	1015.93	902.89	733.19	4328.55	4937.99	825.0	1583.71	1151.06	3018.3	4704.07	6607.01	1159.07	3280.18	2956.17	2224.63	1923.14	273.37	1268.46	2178.83	1697.45	3280.18
MSX2	447.82	718.08	190.34	226.54	18.84	26.28	46.5	17.9	7.28	22.26	11.55	27.44	25.54	0.0	0.0	0.8	1.16	0.0	1.01	0.0	0.0	0.0	0.0	0.34	0.36	0.0	0.36	0.0	0.74	0.33	0.0	4.7	0.41	0.35	1.36	0.0	2.2	12.74	4.03	0.32	0.0	3.5	1.58	0.35	0.91	0.27	0.33	0.66	0.0	0.32	0.0	0.29	1.55	0.0	0.27	3.47	1.0	0.65	0.0	1.5	0.0	0.0	0.59	0.0	4.9	0.0	1.48	114.36	8.06	7.11	6.26	5.28	214.27	66.65	10.96	84.63	3.59	26.86	10.31	49.91	17.25	9.13	16.03	0.78	34.02	20.11	120.94	33.78	14.35	19.39
MYOF	2720.15	1250.98	1216.75	1242.34	2075.59	341.51	1561.89	1378.57	974.5	525.39	915.51	267.73	743.43	32.13	17.25	212.78	150.17	158.79	104.42	45.53	107.38	55.49	19.97	45.53	43.94	27.25	29.27	31.22	154.42	14.78	15.91	54.72	53.19	28.86	52.82	15.8	325.29	108.9	52.08	9.27	37.32	161.02	77.25	26.28	51.71	9.85	28.65	49.21	32.82	41.22	31.45	36.27	214.27	50.98	18.29	511.0	34.02	82.29	35.0	44.89	61.25	18.29	48.52	43.02	42.71	41.22	25.17	1059.11	947.83	583.07	688.78	1051.79	2271.4	1844.76	1216.75	379.04	305.55	2701.35	2119.22	981.29	1963.57	1359.57	1359.57	872.1	1081.39	679.29	1066.48	1605.83	988.12	1605.83
NCF4	4607.24	4836.35	872.1	665.29	693.58	6516.03	529.06	679.29	1167.14	854.13	1540.37	423.61	1037.29	60.82	26.86	285.03	178.77	127.0	181.28	120.94	303.44	267.73	74.06	166.73	348.71	15.45	93.35	21.94	575.03	23.59	23.42	90.14	96.01	67.12	173.85	90.77	251.48	111.99	301.33	18.84	53.95	307.69	36.01	28.04	84.63	102.97	55.89	116.78	69.03	183.82	26.86	265.87	262.2	113.56	103.69	708.18	32.13	209.84	289.02	78.89	150.17	43.32	320.8	186.4	172.65	61.68	87.03	1088.92	1191.69	153.34	1561.89	1662.49	470.14	866.07	651.58	1216.75	3742.05	389.72	848.22	674.59	848.22	2004.85	1369.04	480.04	616.37	339.14	414.87	616.37	2004.85	1073.91
NEFM	3690.52	2520.38	93.35	5.41	8.13	150.17	283.05	5.73	118.43	8.13	9.48	5076.84	384.34	0.0	0.0	0.0	0.0	9.34	0.0	0.0	0.6	0.0	0.0	0.56	0.0	0.0	0.0	1.13	2.41	0.0	0.0	3.2	0.0	0.0	44.89	2.14	1.08	6.62	0.0	0.0	0.0	0.0	1.73	0.0	0.0	0.8	0.0	0.0	0.64	0.0	0.0	22.92	0.64	0.0	31.0	2.97	0.56	0.95	0.51	0.54	1.01	0.25	0.85	1.87	0.74	0.0	0.0	3.41	4.24	5.36	0.66	1.39	30.12	242.88	0.0	3.69	0.0	8.71	6.73	3.44	1.17	3.92	5.02	1.35	13.62	34.51	3.56	95.34	4.06	1.2
NKX6-1	53.57	67.12	4.82	5.45	15.0	3.69	10.71	0.83	0.0	1.03	1.27	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.62	8.58	0.0	15.91	0.0	1.55	1.35	0.0	0.64	5.45	0.25	8.0	4.82	0.0	0.24	0.0	3.35	0.0	5.68	3.82	4.98	2.68	0.54	4.17
NOVA1	379.04	379.04	74.06	70.51	191.67	49.21	60.39	105.15	115.97	140.04	147.06	117.6	73.54	6.06	19.97	16.51	6.52	248.0	3.35	1.83	0.0	35.5	3.5	6.06	7.57	476.71	6.36	87.65	24.63	1.19	4.66	59.13	12.36	3.82	67.59	39.79	17.38	50.27	3.5	6.16	0.0	89.51	124.37	1.23	95.34	61.25	66.65	3.26	1.89	53.95	1.69	54.72	19.25	2.18	29.27	14.67	17.9	10.39	9.63	3.89	36.27	29.06	3.38	5.45	12.18	2.61	8.25	10.55	19.68	144.01	9.85	45.85	5.54	95.34	34.75	26.1	7.28	134.3	149.12	36.27	15.45	6.94	28.65	0.13	17.9	75.64	14.03	88.26	30.12	27.05
NRP2	1819.35	323.03	532.74	764.36	872.1	583.07	842.36	1183.45	420.68	241.19	775.05	186.4	327.56	57.08	44.89	104.42	138.1	60.82	89.51	55.89	88.88	65.72	21.78	38.4	32.82	59.97	34.51	18.84	146.03	13.62	10.71	51.71	63.0	31.22	56.68	39.5	211.31	92.7	102.97	13.32	150.17	128.79	100.83	13.32	75.11	16.27	16.27	100.13	28.24	27.05	22.43	49.91	162.14	41.52	12.0	329.84	72.01	158.79	13.32	84.04	223.41	27.84	22.43	78.89	171.45	27.05	95.34	1001.93	629.35	137.14	909.17	1651.0	1628.26	1286.18	941.27	341.51	262.2	1208.34	961.07	583.07	473.41	947.83	738.29	176.29	665.29	223.41	454.09	384.34	616.37	1073.91
ORAI2	1407.55	624.99	371.22	397.93	642.59	100.83	400.71	447.82	567.1	438.59	595.34	507.46	514.56	19.68	16.03	50.63	54.72	89.51	51.71	19.68	63.0	37.85	19.53	39.79	55.89	17.38	18.97	25.54	172.65	6.84	14.78	37.05	26.67	27.64	38.12	19.97	143.01	35.76	47.5	13.42	18.7	119.26	19.11	13.62	52.82	17.64	17.13	32.82	55.1	37.85	24.81	54.33	76.71	21.01	19.11	169.07	13.42	61.25	26.67	13.12	53.19	10.08	20.56	34.26	35.5	67.12	73.03	718.08	239.52	218.79	173.85	441.64	228.13	1277.29	147.06	305.55	389.72	466.88	435.55	457.25	358.54	346.29	264.03	194.36	412.0	223.41	234.57	503.95	312.0	698.41
PDGFD	1073.91	1023.0	271.48	269.6	117.6	45.21	53.95	507.46	60.39	82.87	108.9	101.54	49.91	36.53	52.08	49.56	44.89	21.47	56.68	28.65	26.28	34.51	17.64	57.08	31.45	128.79	23.25	24.28	48.87	37.85	8.0	23.42	51.35	28.04	32.13	39.22	64.8	72.52	20.56	27.05	47.84	65.26	57.49	16.75	52.82	7.4	33.54	106.63	29.7	31.67	44.89	19.68	100.13	47.17	20.11	107.38	32.59	79.45	16.39	134.3	37.59	22.75	26.86	9.2	49.91	50.27	20.86	201.25	56.28	105.15	29.48	17.9	1143.1	52.82	320.8	123.5	93.35	220.32	205.5	33.78	32.13	5.54	132.44	212.78	67.12	21.94	135.24	140.04	44.25	124.37
PLAU	6745.86	6745.86	1896.65	1769.57	1806.78	7230.1	4358.66	1437.15	1529.73	620.67	2209.26	796.86	603.67	53.57	49.56	271.48	231.32	139.07	253.23	109.66	132.44	73.54	63.45	103.69	82.29	50.27	58.71	29.27	217.27	25.35	44.89	103.69	58.3	51.71	54.33	36.27	295.11	72.01	125.24	25.54	47.84	273.37	34.75	39.22	195.72	38.12	40.07	57.89	43.02	79.45	21.16	63.45	305.55	79.45	47.84	532.74	31.22	223.41	127.89	24.28	39.79	33.54	39.22	16.51	32.82	30.78	21.47	3742.05	1561.89	351.14	2075.59	1104.13	1896.65	2502.97	129.69	1104.13	289.02	693.58	1572.76	444.72	579.04	733.19	239.52	84.04	2915.45	1674.06	3303.0	4152.18	1498.22	1437.15
PLEKHO2	1594.73	1111.82	988.12	1583.71	2004.85	1407.55	693.58	1662.49	1143.1	808.0	1963.57	842.36	1199.98	90.14	47.5	305.55	229.72	120.1	329.84	165.57	202.66	183.82	107.38	177.53	173.85	52.08	89.51	52.08	473.41	33.78	109.66	170.25	105.89	72.01	101.54	87.03	414.87	195.72	224.97	27.64	100.13	441.64	85.82	30.78	139.07	99.43	62.56	93.35	127.0	142.01	81.71	103.69	384.34	108.14	170.25	1001.93	92.7	301.33	104.42	144.01	316.37	49.21	81.14	157.68	289.02	142.01	170.25	1397.83	1769.57	211.31	1540.37	1397.83	764.36	2178.83	769.69	896.64	1674.06	1088.92	1242.34	7032.37	693.58	995.0	688.78	872.1	1044.52	353.59	543.96	591.22	1295.13	1923.14
PMP22	1628.26	2319.15	4450.27	2645.74	3349.13	2777.33	4639.29	3257.52	2502.97	1628.26	1883.54	591.22	2004.85	103.69	63.0	376.41	379.04	146.03	291.04	76.17	149.12	154.42	61.68	201.25	107.38	114.36	115.97	50.63	206.94	18.43	40.36	185.11	67.59	163.28	153.34	90.14	796.86	208.38	241.19	28.24	50.98	389.72	68.55	61.68	127.89	79.45	57.49	121.79	63.0	94.67	128.79	107.38	603.67	126.12	70.01	902.89	55.1	255.0	66.18	113.56	142.01	75.11	161.02	58.3	161.02	95.34	68.07	4328.55	4358.66	518.15	3257.52	2591.27	3742.05	1583.71	2816.11	3614.55	1457.23	14971.21	8963.45	7331.05	5517.27	4802.93	2796.65	2133.97	2627.46	1225.22	2271.4	2271.4	4736.79	3928.15
PRKG1	400.71	244.57	92.05	64.34	58.3	58.71	133.36	283.05	31.67	68.07	64.8	12.64	20.11	4.31	2.01	18.84	20.71	7.75	12.83	3.66	6.01	6.52	2.56	6.16	2.58	5.82	9.13	2.92	13.22	0.91	3.06	15.0	5.28	5.63	6.78	5.73	40.36	20.41	8.51	2.34	3.2	27.84	10.24	2.92	11.82	3.23	3.53	8.25	2.01	6.89	3.72	5.73	40.64	6.52	2.89	38.67	8.0	9.93	11.73	11.21	7.94	8.65	15.45	4.39	13.03	10.47	16.03	118.43	79.45	24.28	97.36	135.24	285.03	94.67	403.5	72.52	82.29	182.55	260.38	269.6	119.26	17.25	57.89	98.04	105.15	81.14	122.64	87.03	82.87	186.4
PRNP	7485.11	11664.82	3235.01	2537.92	2032.85	1819.35	2739.08	2367.9	2895.31	1896.65	2451.44	1369.04	1605.83	371.22	161.02	684.02	656.11	813.63	819.3	514.56	555.41	395.18	603.67	460.44	1059.11	1073.91	346.29	775.05	480.04	19.97	318.57	575.03	480.04	52.08	669.92	521.76	909.17	836.53	551.56	26.28	66.65	674.59	140.04	460.44	579.04	373.81	470.14	70.01	599.49	698.41	111.21	743.43	915.51	480.04	860.08	1407.55	540.19	197.09	1175.27	1183.45	507.46	457.25	500.46	967.76	775.05	1617.0	1030.12	1605.83	2163.77	353.59	3103.19	2855.44	1963.57	1059.11	2956.17	1498.22	1015.93	3395.89	1909.85	8901.53	4095.0	432.53	1508.65	2271.4	2287.2	1844.76	2609.3	4450.27	2287.2	2573.36
PRSS23	13776.25	21320.18	4123.49	4010.71	6426.31	1977.24	5183.54	9540.5	1066.48	1605.83	5183.54	1143.1	1572.76	206.94	175.07	607.87	633.73	384.34	620.67	70.51	473.41	283.05	180.02	305.55	133.36	264.03	180.02	201.25	283.05	136.19	64.34	693.58	90.77	371.22	688.78	163.28	2061.24	511.0	507.46	177.53	221.86	934.76	281.09	334.46	351.14	256.78	136.19	289.02	127.89	267.73	172.65	1015.93	1135.2	275.28	1037.29	1268.46	199.85	902.89	164.42	251.48	896.64	264.03	142.01	224.97	236.21	108.9	159.9	2384.37	1561.89	1015.93	1896.65	2935.74	2287.2	6887.62	6652.97	3742.05	884.29	8538.88	6887.62	10014.87	4298.64	1457.23	1870.53	4736.79	3168.41	4639.29	6745.86	2303.12	3303.0	3589.58
PTGER3	493.56	698.41	77.25	135.24	229.72	146.03	291.04	343.89	5.19	9.93	63.0	14.89	1.51	5.36	2.39	14.03	11.21	2.12	4.39	5.73	5.59	0.82	0.65	15.8	1.79	5.32	11.21	14.35	6.78	1.66	11.47	6.57	7.46	6.31	3.69	2.05	12.18	29.06	8.78	6.84	6.89	16.75	52.82	2.89	2.25	0.47	19.97	6.06	5.5	31.67	2.16	5.06	37.59	8.71	0.78	14.56	3.59	26.28	7.94	8.38	0.87	0.69	15.22	2.01	5.32	4.43	2.46	19.25	7.88	1.77	9.63	30.12	81.71	35.25	125.24	59.13	6.78	214.27	71.0	23.93	13.72	15.56	16.51	4.13	19.68	6.21	76.17	14.03	16.88	14.67
