	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.FU.A3WB.01A.11R.A22U.07	TCGA.C5.A1BI.01B.11R.A13Y.07	TCGA.G4.6321.01A.11R.1723.07	TCGA.XP.A8T8.01A.11R.A36D.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R55G.1026.SM.48FDI	GTEX.ZF29.1326.SM.4WWB6	GTEX.XGQ4.1526.SM.4AT6H	GTEX.RU72.0726.SM.46MUW	GTEX.ZLV1.0526.SM.4WWD4	GTEX.T6MO.0526.SM.4DM6R	GTEX.R55C.0826.SM.48FCL	GTEX.11P7K.1326.SM.5BC5G	GTEX.14H4A.1626.SM.5SI69	GTEX.REY6.1326.SM.48FDO	GTEX.11LCK.1726.SM.5S2OQ	GTEX.1399R.0826.SM.5IJEL	GTEX.S4Q7.0626.SM.4AD5M	GTEX.13OVI.2626.SM.5KM4T	GTEX.WFG8.1226.SM.4V6EI	GTEX.TML8.1526.SM.4DXUX	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.139YR.1726.SM.5IFFK	GTEX.QV44.1126.SM.4R1KO	GTEX.XMK1.1326.SM.4B65Q	GTEX.PWCY.0726.SM.48TCS	GTEX.VUSG.1226.SM.4KKZF	GTEX.OXRN.1726.SM.3NM9B	GTEX.Y8E4.1726.SM.5LU9G	GTEX.OIZG.1026.SM.3LK5X	GTEX.X4XY.1726.SM.46MVO	GTEX.14AS3.0626.SM.5QGQD	GTEX.133LE.0626.SM.5IFFJ	GTEX.132AR.2226.SM.5J2NT	GTEX.13OVG.0626.SM.5IFEP	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	GTEX.11O72.1326.SM.5BC5A	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
MYBL2	397.93	1832.01	1143.1	2.86	1605.83	246.28	85.22	4.7	256.78	708.18	74.58	447.82	7.82	63.89	23.25	1175.27	301.33	156.59	170.25	620.67	583.07	44.25	223.41	153.34	98.04	138.1	73.03	473.41	161.02	35.76	185.11	441.64	80.57	258.57	211.31	204.07	466.88	167.9	279.14	191.67	412.0	176.29	73.03	134.3	665.29	37.85	275.28	221.86	262.2	173.85	239.52	470.14	8.92	403.5	728.11	392.44	426.57	384.34	397.93	314.17
NCAPG	185.11	802.41	323.03	4.58	356.05	103.69	46.5	2.97	81.14	34.26	76.71	480.04	24.99	57.89	34.02	305.55	97.36	94.01	55.1	289.02	511.0	40.36	115.16	80.01	59.97	89.51	83.45	265.87	94.67	20.26	63.45	218.79	55.1	121.79	122.64	176.29	265.87	65.26	117.6	65.26	312.0	83.45	49.21	140.04	511.0	39.5	189.02	143.01	119.26	115.16	180.02	191.67	10.08	205.5	241.19	127.89	181.28	198.47	126.12	208.38
NCAPG2	547.75	1096.5	866.07	49.56	808.0	251.48	149.12	66.18	295.11	176.29	323.03	387.02	148.09	217.27	167.9	638.15	103.69	170.25	173.85	483.38	583.07	80.01	190.34	136.19	142.01	157.68	104.42	381.68	123.5	72.01	158.79	406.31	98.04	171.45	158.79	211.31	325.29	158.79	172.65	110.43	353.59	137.14	49.56	157.68	878.17	73.03	264.03	237.86	253.23	118.43	224.97	291.04	71.5	271.48	441.64	180.02	187.71	170.25	226.54	221.86
NCAPH	258.57	780.44	265.87	5.36	2004.85	234.57	50.63	1.46	60.82	88.88	69.52	281.09	19.97	118.43	45.85	583.07	180.02	117.6	113.56	371.22	358.54	53.95	122.64	76.17	73.54	74.58	72.01	260.38	101.54	59.13	78.34	260.38	59.55	142.01	124.37	139.07	285.03	84.04	122.64	43.32	281.09	81.14	31.45	104.42	493.56	28.65	206.94	195.72	135.24	141.02	229.72	281.09	18.84	267.73	412.0	194.36	244.57	206.94	182.55	226.54
NDC1	312.0	503.95	387.02	84.63	275.28	201.25	198.47	84.63	289.02	217.27	312.0	314.17	126.12	194.36	169.07	371.22	157.68	193.01	185.11	384.34	463.65	108.14	209.84	153.34	180.02	150.17	173.85	332.14	145.02	113.56	142.01	285.03	135.24	195.72	181.28	197.09	314.17	178.77	206.94	115.16	309.83	136.19	109.66	164.42	651.58	116.78	226.54	267.73	264.03	198.47	217.27	295.11	53.19	457.25	299.25	336.79	256.78	226.54	267.73	334.46
NDC80	145.02	967.76	669.92	5.82	1963.57	332.14	59.97	9.06	256.78	131.51	80.01	251.48	37.32	182.55	46.5	353.59	63.0	96.01	46.5	309.83	363.56	44.25	103.69	55.1	74.58	72.01	47.84	271.48	98.73	43.63	81.14	236.21	49.56	97.36	105.89	154.42	307.69	74.06	84.63	57.08	343.89	93.35	43.02	123.5	543.96	26.28	193.01	135.24	136.19	128.79	150.17	264.03	7.46	314.17	307.69	97.36	251.48	301.33	151.22	287.01
NEK2	208.38	1008.9	884.29	1.85	656.11	1059.11	12.09	1.81	111.21	13.62	141.02	486.75	6.46	48.87	22.92	165.57	109.66	121.79	61.25	178.77	343.89	35.76	127.0	50.63	63.45	31.67	35.25	171.45	75.64	20.71	64.34	163.28	56.28	112.77	87.03	138.1	208.38	62.56	127.0	47.84	236.21	63.0	35.0	148.09	417.77	36.53	162.14	137.14	123.5	205.5	146.03	183.82	7.34	281.09	305.55	136.19	236.21	236.21	104.42	320.8
NUF2	248.0	830.75	928.3	3.82	1037.29	642.59	14.35	6.57	183.82	16.63	277.2	579.04	27.25	82.87	34.75	167.9	100.83	143.01	110.43	251.48	373.81	64.34	120.94	77.79	76.17	61.25	81.71	248.0	80.57	25.17	81.71	231.32	57.08	135.24	130.6	127.0	269.6	88.26	98.73	69.52	265.87	83.45	80.57	127.89	470.14	28.65	202.66	142.01	131.51	193.01	127.89	204.07	3.2	239.52	323.03	136.19	262.2	175.07	107.38	277.2
NUSAP1	1498.22	4152.18	3039.3	24.46	1304.15	753.83	189.02	4.35	406.31	173.85	289.02	1721.16	132.44	221.86	139.07	1639.59	587.13	525.39	309.83	825.0	1551.09	214.27	490.14	273.37	312.0	271.48	197.09	808.0	332.14	134.3	291.04	703.28	231.32	435.55	403.5	543.96	808.0	356.05	332.14	237.86	1088.92	255.0	142.01	438.59	1583.71	117.6	718.08	595.34	511.0	473.41	450.94	551.56	30.34	1044.52	1331.57	642.59	884.29	854.13	500.46	1191.69
OIP5	183.82	551.56	480.04	6.41	228.13	189.02	23.76	1.66	81.14	40.93	70.51	166.73	22.92	70.51	39.22	271.48	153.34	94.67	48.18	223.41	281.09	34.26	84.04	50.27	45.21	52.82	37.05	176.29	50.63	46.5	54.72	153.34	47.17	78.34	87.65	114.36	195.72	63.45	80.01	47.84	204.07	67.12	21.63	75.64	265.87	45.21	105.89	66.18	88.88	139.07	74.58	103.69	8.19	198.47	255.0	100.83	146.03	152.28	151.22	194.36
ORC1	189.02	289.02	264.03	7.75	273.37	100.13	49.91	5.73	108.9	114.36	88.88	220.32	28.04	51.35	26.67	406.31	67.12	45.21	46.84	169.07	154.42	18.7	60.39	26.28	40.64	34.26	29.7	144.01	43.63	18.56	42.71	127.89	24.63	55.49	44.25	58.71	125.24	43.94	57.49	17.64	111.99	51.35	14.24	40.07	253.23	22.59	88.26	92.7	65.72	69.52	59.13	102.25	2.71	144.01	246.28	43.63	77.25	151.22	106.63	98.04
ORC6	224.97	836.53	476.71	15.8	612.11	176.29	36.79	17.13	150.17	100.83	133.36	125.24	25.17	54.72	34.02	612.11	69.03	84.63	106.63	297.17	400.71	48.87	120.1	102.25	70.01	101.54	87.03	239.52	94.67	46.5	120.1	228.13	83.45	135.24	116.78	145.02	260.38	89.51	146.03	100.13	318.57	72.01	82.87	105.15	426.57	77.79	167.9	121.79	130.6	151.22	111.21	170.25	5.19	144.01	229.72	162.14	148.09	171.45	108.14	150.17
PBK	353.59	423.61	540.19	7.57	759.08	231.32	13.03	2.27	95.34	31.0	226.54	107.38	17.38	61.25	12.83	177.53	129.69	128.79	94.67	269.6	441.64	52.82	150.17	78.89	88.26	98.04	64.34	343.89	95.34	29.91	82.29	217.27	70.01	149.12	140.04	191.67	346.29	95.34	140.04	73.03	351.14	87.03	47.17	153.34	638.15	31.45	195.72	165.57	182.55	264.03	166.73	255.0	10.31	417.77	403.5	226.54	271.48	297.17	187.71	409.15
PCNA	6337.83	11909.94	6887.62	921.88	5292.48	3794.3	1936.53	884.29	2915.45	4607.24	2591.27	4095.0	1745.2	2047.0	1639.59	5517.27	1857.6	1427.22	1369.04	3768.09	4181.07	808.0	1662.49	1250.98	1175.27	1388.16	1073.91	3589.58	1498.22	848.22	1397.83	3060.45	1167.14	1909.85	1963.57	2209.26	4010.71	1457.23	1487.87	1143.1	4239.45	1359.57	583.07	1540.37	5995.9	928.3	2555.58	2816.11	2664.15	2701.35	1977.24	2956.17	384.34	4972.34	5441.3	2935.74	2758.13	2119.22	3235.01	2627.46
PKMYT1	866.07	1909.85	1167.14	32.36	4512.4	358.54	88.88	43.32	67.12	1427.22	633.73	1259.69	79.45	1023.0	176.29	2627.46	262.2	273.37	224.97	1001.93	1066.48	92.05	358.54	181.28	161.02	169.07	170.25	738.29	232.94	126.12	275.28	713.11	248.0	314.17	258.57	295.11	995.0	258.57	397.93	336.79	656.11	403.5	162.14	258.57	1225.22	130.6	420.68	251.48	271.48	166.73	281.09	511.0	17.51	368.65	688.78	379.04	318.57	283.05	329.84	346.29
PLK1	307.69	1721.16	1407.55	53.19	3018.3	493.56	271.48	45.21	432.53	603.67	273.37	733.19	116.78	289.02	144.01	1923.14	314.17	314.17	241.19	1044.52	1044.52	194.36	389.72	209.84	164.42	171.45	293.07	651.58	249.73	81.14	271.48	629.35	231.32	358.54	273.37	312.0	808.0	194.36	429.54	119.26	703.28	295.11	199.85	432.53	1143.1	139.07	547.75	305.55	187.71	275.28	435.55	733.19	19.97	633.73	684.02	92.05	579.04	490.14	265.87	583.07
PLK4	170.25	563.18	423.61	14.24	603.67	258.57	35.0	3.47	175.07	63.45	267.73	473.41	58.3	165.57	33.54	389.72	141.02	115.16	99.43	209.84	299.25	62.56	82.87	82.87	111.21	45.21	67.12	173.85	106.63	70.01	63.0	180.02	70.51	102.97	73.03	129.69	183.82	111.99	117.6	44.57	228.13	66.65	39.22	96.01	343.89	35.76	133.36	100.13	98.04	75.64	144.01	146.03	13.52	204.07	186.4	103.69	194.36	182.55	114.36	205.5
POC1A	406.31	603.67	223.41	53.19	368.65	116.78	66.18	52.45	128.79	221.86	81.14	126.12	61.68	166.73	155.5	277.2	86.43	85.22	68.07	231.32	267.73	44.25	112.77	73.03	56.28	47.84	61.68	202.66	78.34	31.0	59.13	145.02	61.25	73.03	102.97	115.97	193.01	61.25	140.04	47.84	202.66	89.51	80.01	70.51	281.09	66.65	131.51	105.15	100.83	159.9	92.05	197.09	16.27	217.27	232.94	173.85	161.02	171.45	124.37	178.77
POLE2	395.18	571.05	587.13	22.43	417.77	82.87	70.01	50.63	189.02	162.14	212.78	112.77	98.04	150.17	75.11	379.04	109.66	151.22	144.01	309.83	289.02	82.29	145.02	141.02	105.89	127.89	110.43	255.0	108.9	86.43	132.44	301.33	57.08	152.28	132.44	144.01	312.0	124.37	105.89	109.66	285.03	122.64	58.71	98.73	320.8	74.58	241.19	183.82	135.24	152.28	87.65	189.02	26.86	141.02	248.0	138.1	94.67	173.85	88.88	159.9
PRC1	1242.34	3901.01	3372.43	145.02	1870.53	3325.99	332.14	113.56	884.29	1135.2	1191.69	1605.83	186.4	813.63	575.03	3168.41	540.19	688.78	532.74	1487.87	2104.58	351.14	665.29	551.56	334.46	503.95	441.64	1088.92	483.38	309.83	444.72	1135.2	351.14	603.67	660.68	813.63	1378.57	525.39	836.53	470.14	1304.15	500.46	287.01	759.08	1991.0	234.57	1037.29	813.63	733.19	457.25	718.08	1111.82	106.63	954.43	1857.6	723.08	1191.69	1081.39	656.11	1594.73
PRR11	595.34	444.72	543.96	10.71	466.88	135.24	59.55	13.93	163.28	55.49	242.88	305.55	43.02	83.45	84.63	961.07	92.05	167.9	130.6	281.09	379.04	40.93	111.21	54.33	75.11	76.71	90.77	185.11	102.97	27.25	75.64	197.09	46.84	102.25	118.43	143.01	158.79	90.77	127.89	32.13	193.01	91.41	42.11	113.56	476.71	85.82	171.45	157.68	117.6	120.1	218.79	175.07	8.99	409.15	381.68	153.34	269.6	214.27	99.43	275.28
RACGAP1	1417.35	1745.2	1896.65	104.42	1143.1	633.73	555.41	204.07	633.73	536.45	713.11	642.59	371.22	480.04	204.07	1159.07	603.67	521.76	339.14	860.08	1159.07	329.84	454.09	363.56	339.14	356.05	297.17	688.78	457.25	212.78	348.71	703.28	283.05	551.56	473.41	511.0	603.67	397.93	412.0	305.55	808.0	395.18	157.68	476.71	1378.57	301.33	599.49	551.56	591.22	607.87	656.11	693.58	63.0	1001.93	1044.52	713.11	825.0	854.13	679.29	928.3
RAD51	514.56	708.18	551.56	52.45	620.67	212.78	48.52	6.16	124.37	277.2	109.66	400.71	32.82	140.04	75.64	1073.91	72.01	94.67	85.22	246.28	316.37	32.82	149.12	93.35	66.18	82.29	40.36	215.77	76.17	33.06	66.65	244.57	59.55	127.0	109.66	147.06	255.0	83.45	112.77	109.66	265.87	106.63	34.02	81.14	403.5	33.3	162.14	146.03	130.6	123.5	138.1	236.21	13.22	281.09	262.2	163.28	154.42	170.25	158.79	195.72
RFC2	1477.58	2148.82	1277.29	267.73	1151.06	493.56	511.0	397.93	444.72	518.15	813.63	769.69	423.61	825.0	450.94	1001.93	441.64	466.88	503.95	915.51	1183.45	291.04	543.96	441.64	389.72	447.82	406.31	819.3	483.38	307.69	447.82	819.3	417.77	476.71	466.88	563.18	1001.93	493.56	466.88	299.25	921.88	483.38	325.29	387.02	1268.46	262.2	647.07	603.67	679.29	909.17	529.06	842.36	403.5	1111.82	1268.46	629.35	693.58	819.3	941.27	665.29
RNASEH2A	1259.69	2720.15	2148.82	127.0	1991.0	403.5	429.54	301.33	435.55	854.13	373.81	563.18	281.09	529.06	403.5	1037.29	420.68	332.14	249.73	884.29	954.43	159.9	432.53	265.87	191.67	236.21	163.28	669.92	297.17	193.01	305.55	669.92	229.72	409.15	371.22	441.64	872.1	269.6	417.77	271.48	764.36	348.71	201.25	297.17	1059.11	249.73	497.0	483.38	559.28	796.86	483.38	825.0	149.12	988.12	1001.93	493.56	583.07	507.46	607.87	547.75
RRM1	5633.22	1388.16	2451.44	351.14	1295.13	775.05	775.05	769.69	915.51	748.61	974.5	1268.46	738.29	708.18	748.61	1745.2	583.07	764.36	878.17	1477.58	1572.76	457.25	848.22	540.19	718.08	825.0	567.1	1477.58	684.02	567.1	728.11	1359.57	595.34	753.83	743.43	947.83	1369.04	633.73	587.13	325.29	1359.57	620.67	283.05	679.29	2701.35	607.87	1199.98	1322.37	1233.75	872.1	1159.07	1508.65	361.04	1605.83	2935.74	928.3	1199.98	1397.83	1313.23	1963.57
SGOL1	97.36	293.07	118.43	2.39	111.21	126.12	5.32	0.0	135.24	7.06	32.82	82.29	8.71	34.26	16.75	66.18	24.63	43.94	30.78	105.15	181.28	19.25	45.53	32.82	36.53	26.28	33.06	94.01	47.84	10.79	22.75	72.52	25.72	46.5	54.33	73.03	98.73	29.91	43.32	23.59	130.6	42.41	21.94	63.0	176.29	28.04	66.65	55.1	41.81	57.49	63.0	83.45	2.56	106.63	84.04	78.89	101.54	86.43	43.63	129.69
SGOL2	147.06	153.34	132.44	11.3	147.06	133.36	29.06	12.36	113.56	21.16	96.01	125.24	30.12	46.18	48.52	285.03	21.32	61.25	22.75	153.34	182.55	19.68	48.18	27.05	34.51	28.24	30.34	102.97	43.94	17.51	30.56	78.34	24.99	44.25	59.55	58.71	88.26	34.51	38.4	19.25	114.36	39.22	20.26	78.89	214.27	29.48	80.57	83.45	61.25	80.57	89.51	97.36	10.96	153.34	134.3	61.25	105.89	65.72	41.52	88.26
SHCBP1	102.97	387.02	395.18	12.64	575.03	130.6	58.3	7.88	85.82	138.1	220.32	139.07	28.24	61.25	50.27	1167.14	187.71	77.79	55.49	199.85	237.86	29.48	57.89	60.39	46.84	41.22	37.32	158.79	41.22	27.64	38.95	125.24	30.56	75.11	98.04	81.71	181.28	45.21	96.68	51.35	154.42	80.01	31.67	105.89	329.84	41.81	165.57	77.79	93.35	70.51	97.36	126.12	3.5	130.6	151.22	78.89	115.16	102.97	64.8	143.01
SKA1	185.11	348.71	329.84	4.54	89.51	120.94	18.43	3.89	39.22	8.78	60.39	58.71	9.06	37.59	7.4	228.13	43.63	68.07	45.21	166.73	193.01	16.63	62.56	31.0	28.04	34.02	24.28	117.6	53.95	8.32	31.22	96.68	17.64	48.52	37.32	74.06	128.79	26.67	50.63	31.45	120.94	40.07	31.9	45.85	217.27	27.64	81.71	62.56	63.89	53.95	66.18	115.97	4.39	138.1	129.69	80.57	114.36	92.7	65.26	137.14
SKA3	96.68	414.87	271.48	2.25	142.01	723.08	26.47	4.1	25.17	28.65	45.53	90.77	9.63	46.5	36.53	154.42	72.01	57.49	50.98	209.84	273.37	24.28	73.03	58.71	41.52	31.67	44.57	175.07	54.72	18.43	29.91	102.25	28.86	85.82	76.71	100.13	147.06	47.84	80.01	47.17	190.34	66.65	33.3	76.71	351.14	36.53	96.68	108.9	81.14	96.01	78.89	157.68	0.88	173.85	155.5	88.88	141.02	129.69	59.55	189.02
SMC2	373.81	603.67	518.15	60.82	395.18	256.78	94.01	57.08	249.73	85.22	234.57	208.38	95.34	128.79	154.42	194.36	64.8	141.02	127.0	366.09	403.5	70.01	136.19	92.05	106.63	132.44	94.67	295.11	131.51	61.68	114.36	260.38	84.04	175.07	147.06	176.29	249.73	130.6	135.24	62.56	303.44	113.56	51.71	122.64	529.06	67.59	215.77	229.72	226.54	120.1	214.27	229.72	53.57	361.04	429.54	205.5	251.48	180.02	204.07	305.55
SPAG5	332.14	1757.34	1151.06	30.56	1407.55	684.02	242.88	49.21	450.94	275.28	283.05	406.31	140.04	514.56	157.68	2090.03	173.85	253.23	201.25	753.83	909.17	159.9	241.19	208.38	153.34	133.36	191.67	480.04	246.28	98.04	139.07	368.65	181.28	264.03	256.78	293.07	642.59	166.73	376.41	255.0	587.13	183.82	165.57	312.0	775.05	226.54	460.44	271.48	171.45	108.14	246.28	412.0	65.26	363.56	532.74	281.09	486.75	351.14	212.78	406.31
SPC24	339.14	743.43	320.8	15.34	587.13	217.27	88.26	19.25	118.43	143.01	108.9	332.14	61.68	189.02	154.42	297.17	58.71	63.89	36.79	170.25	316.37	30.78	110.43	34.51	53.57	54.33	22.1	172.65	71.5	22.75	53.57	144.01	66.65	64.34	70.51	87.65	244.57	45.21	105.15	37.59	183.82	59.13	39.79	82.29	318.57	27.64	155.5	91.41	45.85	99.43	92.7	167.9	8.19	130.6	236.21	59.55	120.1	159.9	86.43	215.77
SPC25	105.15	376.41	226.54	3.2	450.94	223.41	10.63	0.0	90.77	10.55	29.7	84.63	10.71	24.99	36.79	117.6	28.65	93.35	61.68	234.57	332.14	27.25	91.41	75.64	49.91	76.71	51.71	204.07	68.55	18.16	51.71	180.02	67.12	103.69	95.34	135.24	228.13	67.59	74.06	77.25	260.38	80.57	30.12	104.42	429.54	16.27	143.01	115.97	145.02	143.01	122.64	158.79	8.71	157.68	198.47	137.14	137.14	108.9	115.97	150.17
SUV39H1	86.43	432.53	371.22	46.84	204.07	163.28	156.59	65.26	173.85	232.94	127.89	224.97	123.5	181.28	96.68	170.25	118.43	106.63	131.51	256.78	305.55	77.25	113.56	131.51	76.71	92.05	87.65	185.11	90.14	71.0	89.51	214.27	81.14	121.79	67.12	87.03	264.03	101.54	113.56	94.01	191.67	117.6	53.57	98.73	312.0	63.45	165.57	117.6	111.21	95.34	115.16	186.4	23.59	157.68	146.03	44.89	126.12	140.04	96.01	131.51
TACC3	1447.15	2537.92	819.3	137.14	1594.73	780.44	525.39	44.89	373.81	1044.52	547.75	1313.23	323.03	1437.15	256.78	1127.35	551.56	406.31	217.27	1159.07	1191.69	185.11	395.18	320.8	248.0	206.94	206.94	780.44	305.55	172.65	241.19	660.68	265.87	384.34	353.59	392.44	748.61	301.33	567.1	297.17	1044.52	376.41	183.82	400.71	1286.18	193.01	624.99	384.34	339.14	187.71	403.5	693.58	146.03	656.11	708.18	624.99	665.29	575.03	389.72	579.04
TCF19	599.49	1216.75	1199.98	84.63	813.63	376.41	295.11	66.18	193.01	414.87	220.32	339.14	193.01	189.02	141.02	603.67	295.11	297.17	199.85	435.55	579.04	139.07	264.03	172.65	262.2	102.25	130.6	444.72	305.55	135.24	185.11	389.72	181.28	229.72	206.94	297.17	373.81	189.02	269.6	256.78	470.14	273.37	116.78	229.72	599.49	80.01	291.04	316.37	221.86	256.78	248.0	325.29	53.95	616.37	941.27	260.38	447.82	389.72	379.04	450.94
TIMELESS	579.04	1540.37	866.07	79.45	688.78	246.28	253.23	76.71	543.96	248.0	532.74	507.46	182.55	325.29	172.65	603.67	224.97	208.38	140.04	514.56	616.37	132.44	206.94	185.11	172.65	120.94	178.77	392.44	242.88	145.02	152.28	358.54	135.24	249.73	258.57	279.14	376.41	170.25	351.14	228.13	400.71	195.72	114.36	248.0	612.11	206.94	316.37	269.6	271.48	121.79	229.72	323.03	57.49	237.86	540.19	258.57	244.57	228.13	287.01	226.54
TK1	2976.74	3874.05	2758.13	173.85	6561.36	1088.92	1037.29	307.69	1313.23	2682.69	1844.76	2287.2	656.11	1277.29	1066.48	5633.22	708.18	486.75	343.89	1407.55	1936.53	113.56	642.59	358.54	271.48	283.05	107.38	974.5	429.54	149.12	384.34	1111.82	277.2	591.22	420.68	543.96	1519.15	325.29	551.56	361.04	1397.83	397.93	194.36	297.17	1896.65	137.14	684.02	738.29	928.3	836.53	796.86	1350.18	194.36	1498.22	2287.2	1340.84	1277.29	1135.2	988.12	1066.48
TNFAIP8L1	460.44	253.23	454.09	84.63	748.61	323.03	189.02	153.34	186.4	215.77	202.66	228.13	180.02	387.02	180.02	397.93	132.44	138.1	88.88	153.34	351.14	71.5	186.4	88.88	48.52	59.55	110.43	111.99	93.35	65.26	82.87	150.17	88.26	85.22	105.89	111.21	164.42	69.52	128.79	62.56	182.55	85.82	76.17	125.24	253.23	54.33	133.36	108.14	62.56	44.89	130.6	205.5	201.25	177.53	229.72	242.88	146.03	237.86	122.64	275.28
TOP2A	1225.22	4268.94	2271.4	5.06	1561.89	1167.14	173.85	7.94	547.75	148.09	616.37	825.0	53.19	178.77	208.38	813.63	420.68	764.36	358.54	1250.98	2384.37	329.84	791.35	339.14	409.15	348.71	318.57	1199.98	476.71	217.27	406.31	890.44	348.71	547.75	638.15	961.07	1437.15	397.93	665.29	444.72	1651.0	346.29	336.79	748.61	2520.38	197.09	1015.93	341.51	612.11	647.07	780.44	819.3	41.22	1286.18	1286.18	860.08	1175.27	988.12	525.39	1519.15
TPX2	698.41	1529.73	1350.18	2.71	1167.14	825.0	87.03	6.26	406.31	267.73	316.37	291.04	41.22	223.41	32.59	884.29	420.68	291.04	194.36	775.05	934.76	129.69	295.11	185.11	155.5	177.53	175.07	563.18	248.0	49.21	182.55	536.45	165.57	295.11	291.04	353.59	559.28	193.01	258.57	108.14	629.35	221.86	108.14	353.59	1096.5	94.01	438.59	373.81	295.11	201.25	454.09	599.49	13.32	769.69	819.3	490.14	629.35	607.87	409.15	669.92
TRAIP	101.54	493.56	115.16	17.9	267.73	151.22	53.95	25.91	150.17	139.07	106.63	206.94	63.0	133.36	50.63	94.67	105.89	75.11	65.26	190.34	249.73	43.32	95.34	50.63	41.81	32.13	59.13	100.83	72.01	41.81	56.68	119.26	66.18	84.04	93.35	96.01	162.14	73.54	86.43	61.68	146.03	41.52	55.1	97.36	260.38	57.89	122.64	84.04	61.68	80.57	70.01	120.1	21.63	53.95	120.94	57.89	90.14	94.67	46.5	94.67
TRIP13	395.18	521.76	295.11	14.89	738.29	206.94	68.07	29.27	59.55	95.34	312.0	283.05	28.65	161.02	65.72	591.22	53.57	110.43	111.21	400.71	358.54	33.3	89.51	70.51	33.78	85.82	85.82	262.2	72.52	40.36	84.63	183.82	50.63	119.26	120.94	107.38	237.86	92.05	117.6	64.8	265.87	81.14	40.64	111.21	429.54	42.11	162.14	140.04	131.51	110.43	120.94	195.72	22.92	356.05	457.25	353.59	195.72	140.04	182.55	197.09
TROAP	366.09	1781.89	1447.15	2.73	633.73	536.45	100.13	8.06	389.72	454.09	155.5	559.28	20.26	463.65	19.82	842.36	162.14	264.03	195.72	547.75	1015.93	128.79	277.2	169.07	167.9	111.99	211.31	435.55	162.14	124.37	190.34	406.31	165.57	236.21	194.36	248.0	525.39	204.07	368.65	122.64	563.18	161.02	169.07	251.48	780.44	77.25	371.22	232.94	177.53	366.09	217.27	376.41	13.83	493.56	612.11	244.57	518.15	547.75	237.86	525.39
TTK	208.38	555.41	249.73	1.13	163.28	241.19	20.71	0.0	86.43	19.25	70.01	161.02	13.62	21.47	4.98	113.56	36.79	144.01	83.45	246.28	447.82	63.89	146.03	50.27	75.64	58.71	78.34	212.78	92.05	36.27	82.87	205.5	65.26	109.66	106.63	162.14	234.57	77.25	100.83	63.89	307.69	81.14	43.63	133.36	536.45	44.25	193.01	115.16	118.43	136.19	159.9	177.53	4.21	271.48	267.73	131.51	194.36	239.52	134.3	258.57
TUBG1	1551.09	2997.45	1572.76	723.08	2004.85	1199.98	1286.18	1457.23	981.29	1844.76	1216.75	1111.82	1286.18	1561.89	808.0	2032.85	1286.18	860.08	1059.11	1697.45	1369.04	529.06	836.53	866.07	633.73	454.09	1096.5	1340.84	884.29	551.56	624.99	934.76	463.65	921.88	1183.45	759.08	1498.22	836.53	1001.93	660.68	884.29	921.88	514.56	947.83	1561.89	1030.12	1081.39	1073.91	1081.39	802.41	934.76	1295.13	283.05	1313.23	1709.26	1639.59	1015.93	1340.84	1467.37	1508.65
TYMS	1628.26	4152.18	1551.09	143.01	6935.54	466.88	373.81	116.78	718.08	842.36	351.14	878.17	368.65	624.99	339.14	1208.34	283.05	460.44	341.51	1104.13	1781.89	182.55	450.94	412.0	285.03	305.55	201.25	1233.75	432.53	176.29	438.59	967.76	351.14	529.06	521.76	624.99	1639.59	363.56	665.29	392.44	1388.16	389.72	169.07	420.68	2178.83	101.54	703.28	647.07	743.43	607.87	497.0	909.17	49.56	1304.15	1857.6	703.28	616.37	890.44	660.68	860.08
UBE2C	1651.0	4123.49	3257.52	6.67	1529.73	1572.76	116.78	12.45	559.28	1883.54	223.41	1073.91	23.93	361.04	81.71	1369.04	1088.92	748.61	376.41	1870.53	2451.44	295.11	981.29	463.65	275.28	379.04	571.05	1313.23	486.75	147.06	329.84	1111.82	341.51	684.02	698.41	791.35	1870.53	447.82	796.86	503.95	1519.15	432.53	379.04	693.58	2193.99	253.23	902.89	688.78	575.03	764.36	854.13	1397.83	24.99	1781.89	1437.15	928.3	1427.22	1225.22	860.08	1561.89
