	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.BH.A1FM.11B.23R.A13Q.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11P81.1926.SM.5BC53	GTEX.11ZTT.2326.SM.5EQLG	GTEX.132AR.0826.SM.5EGK6	GTEX.TMMY.0726.SM.33HBE	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.13OVG.1426.SM.5K7VP	GTEX.13W3W.2126.SM.5K7UX	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.13OVI.1026.SM.5L3EM
ZNF230	108.14	79.45	76.71	27.64	96.68	60.39	38.95	98.04	96.68	109.66	49.21	54.72	81.14	50.98	55.89	78.34	51.35	43.94	140.04	64.34	49.21	35.25	80.57	27.25	37.05	131.51	29.27	40.93	51.71	69.52	54.33	47.84	47.5	27.64	13.72	10.16	26.67	105.89
ZNF3	723.08	674.59	514.56	255.0	620.67	403.5	314.17	647.07	748.61	607.87	438.59	483.38	728.11	368.65	447.82	612.11	409.15	420.68	660.68	358.54	429.54	373.81	567.1	299.25	327.56	802.41	473.41	244.57	346.29	555.41	651.58	312.0	269.6	156.59	267.73	211.31	228.13	679.29
ZNF337	392.44	303.44	269.6	162.14	361.04	256.78	182.55	438.59	348.71	356.05	244.57	223.41	460.44	190.34	236.21	457.25	246.28	189.02	587.13	256.78	358.54	175.07	423.61	110.43	255.0	503.95	135.24	138.1	271.48	341.51	312.0	158.79	120.94	55.89	71.0	36.79	40.64	389.72
ZNF350	409.15	262.2	279.14	112.77	327.56	175.07	201.25	329.84	251.48	281.09	239.52	241.19	363.56	199.85	173.85	293.07	152.28	130.6	373.81	159.9	162.14	118.43	414.87	113.56	88.88	447.82	87.03	88.88	83.45	191.67	201.25	143.01	57.08	55.1	50.63	29.27	78.89	463.65
ZNF432	279.14	237.86	180.02	47.84	242.88	148.09	77.79	295.11	258.57	249.73	116.78	167.9	285.03	117.6	144.01	228.13	132.44	88.26	202.66	117.6	95.34	77.79	152.28	49.56	91.41	258.57	90.77	73.03	81.71	142.01	198.47	95.34	85.82	46.18	16.15	12.27	31.67	329.84
ZNF525	305.55	215.77	150.17	62.12	202.66	83.45	55.1	267.73	289.02	234.57	85.22	138.1	262.2	57.89	75.64	183.82	88.26	58.71	265.87	111.21	107.38	88.26	193.01	48.87	78.89	255.0	48.87	73.03	114.36	190.34	125.24	148.09	54.72	7.11	15.0	7.0	22.92	397.93
ZNF529	277.2	223.41	156.59	68.07	198.47	163.28	84.04	244.57	334.46	264.03	136.19	137.14	229.72	98.04	166.73	191.67	142.01	82.29	351.14	147.06	112.77	78.34	204.07	75.11	69.03	212.78	62.12	77.25	103.69	178.77	131.51	109.66	64.8	36.01	40.64	25.72	50.63	343.89
ZNF551	127.89	110.43	63.0	33.78	133.36	50.63	28.86	115.97	195.72	122.64	53.57	68.55	103.69	54.33	63.45	91.41	44.89	32.13	226.54	85.22	66.18	57.08	129.69	24.63	38.67	112.77	30.78	38.67	67.12	127.89	91.41	63.45	28.24	19.97	7.06	12.09	28.24	74.58
ZNF559	476.71	607.87	543.96	260.38	669.92	423.61	316.37	579.04	688.78	587.13	305.55	320.8	759.08	281.09	476.71	679.29	279.14	239.52	1208.34	255.0	346.29	267.73	753.83	159.9	379.04	429.54	107.38	198.47	256.78	595.34	438.59	214.27	215.77	72.52	78.89	75.11	101.54	674.59
ZNF596	164.42	177.53	121.79	34.51	157.68	98.73	59.13	141.02	162.14	152.28	110.43	135.24	165.57	78.89	97.36	149.12	90.14	42.41	106.63	127.89	36.53	24.81	118.43	81.14	44.25	107.38	30.78	40.93	56.28	122.64	109.66	90.77	86.43	16.39	18.16	13.62	17.64	197.09
ZRANB2	2193.99	1857.6	1457.23	575.03	1936.53	1111.82	909.17	1844.76	3212.66	2178.83	1104.13	1295.13	1963.57	941.27	1397.83	1697.45	1313.23	791.35	2090.03	1199.98	769.69	802.41	1617.0	769.69	884.29	1806.78	521.76	660.68	796.86	1104.13	1175.27	813.63	791.35	74.06	356.05	123.5	327.56	2193.99
ZSCAN25	287.01	265.87	169.07	94.67	234.57	159.9	155.5	299.25	363.56	267.73	128.79	191.67	325.29	149.12	177.53	271.48	107.38	147.06	316.37	149.12	150.17	178.77	279.14	98.73	166.73	305.55	146.03	152.28	119.26	153.34	229.72	156.59	111.21	90.14	28.65	35.25	44.57	305.55
