	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.A7.A426.01A.22R.A24H.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.L5.A8NN.01A.11R.A37I.31	TCGA.QK.A6IF.01A.11R.A31N.07	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.RC.A7S9.01A.11R.A33R.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.UB.A7ME.01A.11R.A33J.07	TCGA.UB.A7MF.01A.11R.A33J.07	TCGA.CC.5263.01A.01R.A131.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.GJ.A9DB.01A.11R.A37K.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.FV.A3I0.11A.11R.A22L.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.U3ZN.0226.SM.3DB8D	GTEX.11NV4.1326.SM.5HL6V	GTEX.X4EO.1126.SM.4QARQ	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZPU1.0826.SM.57WG2	GTEX.14AS3.0126.SM.5Q5F4	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.R53T.0326.SM.48FEC	TCGA.49.AAR4.01A.12R.A41B.07	TCGA.49.AAR0.01A.21R.A39D.07	TCGA.V1.A8WV.01A.11R.A37L.07	TCGA.V1.A9OY.01A.11R.A41O.07	TCGA.AX.A2IN.01A.12R.A180.07	TCGA.5S.A9Q8.01A.11R.A40A.07	TCGA.D1.A3DG.01A.11R.A19W.07
STK11IP	444.72	759.08	947.83	791.35	1508.65	277.2	226.54	417.77	417.77	215.77	226.54	376.41	325.29	307.69	403.5	62.56	102.25	74.06	81.71	159.9	43.63	175.07	84.04	156.59	60.82	59.13	108.9	51.71	85.82	163.28	47.17	92.05	62.56	104.42	191.67	70.01	73.03	150.17	163.28	66.65	113.56	262.2	127.89	78.34	90.14	126.12	106.63	156.59	21.63	38.95	112.77	58.71	95.34	928.3	791.35	339.14	329.84	329.84	642.59	423.61
SUGP2	2758.13	1508.65	2018.8	1216.75	1369.04	915.51	1551.09	769.69	1015.93	595.34	1059.11	1242.34	759.08	753.83	1437.15	242.88	236.21	271.48	543.96	521.76	162.14	674.59	312.0	791.35	336.79	170.25	389.72	229.72	486.75	376.41	171.45	476.71	438.59	483.38	463.65	353.59	358.54	543.96	656.11	211.31	612.11	521.76	384.34	293.07	329.84	476.71	486.75	703.28	182.55	299.25	599.49	318.57	183.82	1572.76	1806.78	1594.73	1583.71	2119.22	1991.0	1870.53
SUPT7L	607.87	551.56	974.5	967.76	567.1	529.06	521.76	713.11	466.88	435.55	616.37	915.51	624.99	403.5	785.88	277.2	305.55	343.89	429.54	457.25	275.28	444.72	353.59	500.46	273.37	194.36	343.89	329.84	490.14	289.02	255.0	397.93	351.14	444.72	525.39	301.33	316.37	403.5	470.14	307.69	432.53	463.65	318.57	361.04	397.93	397.93	438.59	511.0	164.42	281.09	466.88	363.56	293.07	1081.39	583.07	669.92	575.03	769.69	656.11	669.92
TAOK2	988.12	1030.12	665.29	693.58	748.61	511.0	480.04	514.56	447.82	703.28	476.71	529.06	511.0	536.45	796.86	187.71	186.4	226.54	185.11	379.04	146.03	348.71	187.71	412.0	215.77	199.85	237.86	187.71	255.0	172.65	214.27	323.03	214.27	220.32	293.07	142.01	234.57	285.03	281.09	202.66	318.57	348.71	285.03	194.36	229.72	237.86	255.0	325.29	79.45	130.6	256.78	208.38	204.07	1008.9	796.86	791.35	647.07	728.11	713.11	642.59
TAZ	1883.54	878.17	1151.06	748.61	759.08	854.13	902.89	595.34	1519.15	679.29	703.28	748.61	860.08	967.76	775.05	229.72	334.46	283.05	316.37	674.59	155.5	460.44	327.56	612.11	279.14	133.36	356.05	281.09	450.94	414.87	162.14	299.25	334.46	376.41	497.0	312.0	384.34	363.56	490.14	190.34	463.65	518.15	273.37	358.54	297.17	351.14	301.33	460.44	166.73	279.14	441.64	334.46	251.48	1437.15	1167.14	974.5	559.28	796.86	988.12	759.08
TBC1D22B	299.25	186.4	193.01	249.73	135.24	152.28	136.19	135.24	84.63	92.7	191.67	206.94	183.82	90.14	237.86	40.93	64.34	63.0	78.89	102.25	23.08	52.45	54.72	94.67	40.93	31.9	45.85	57.89	59.55	58.3	23.76	55.1	69.03	77.25	70.51	50.27	25.72	115.97	67.12	31.0	71.5	61.68	30.12	131.51	72.01	52.08	58.71	59.13	29.27	69.03	63.0	44.89	39.22	223.41	228.13	241.19	239.52	171.45	173.85	221.86
TBCC	332.14	409.15	599.49	518.15	718.08	329.84	470.14	490.14	551.56	551.56	693.58	450.94	718.08	279.14	426.57	170.25	211.31	190.34	146.03	307.69	129.69	287.01	162.14	248.0	237.86	155.5	226.54	171.45	163.28	260.38	205.5	371.22	366.09	301.33	363.56	563.18	339.14	119.26	237.86	166.73	329.84	417.77	237.86	287.01	177.53	145.02	273.37	244.57	74.58	90.77	189.02	229.72	171.45	555.41	529.06	674.59	493.56	607.87	698.41	457.25
THOC1	902.89	1030.12	1378.57	1073.91	1088.92	780.44	651.58	651.58	624.99	518.15	591.22	769.69	616.37	555.41	1051.79	202.66	239.52	256.78	457.25	525.39	260.38	457.25	273.37	688.78	307.69	204.07	384.34	323.03	503.95	277.2	195.72	356.05	303.44	406.31	493.56	208.38	320.8	432.53	454.09	202.66	490.14	490.14	237.86	285.03	371.22	348.71	429.54	575.03	100.13	329.84	591.22	320.8	170.25	967.76	769.69	842.36	743.43	1001.93	1313.23	1111.82
TMEM120B	208.38	144.01	303.44	232.94	141.02	132.44	152.28	98.04	154.42	90.77	93.35	205.5	152.28	95.34	189.02	39.22	74.06	100.13	70.01	154.42	31.0	80.01	42.11	117.6	63.0	24.11	47.84	70.01	81.14	68.55	34.26	88.26	140.04	109.66	187.71	73.03	92.7	53.19	120.94	41.52	124.37	190.34	47.17	63.89	69.52	60.39	69.52	86.43	48.87	63.45	68.55	67.12	35.76	351.14	199.85	339.14	244.57	171.45	397.93	281.09
TOP3B	660.68	334.46	444.72	638.15	591.22	297.17	329.84	255.0	447.82	366.09	361.04	423.61	441.64	327.56	738.29	107.38	84.04	114.36	186.4	521.76	70.01	226.54	130.6	237.86	163.28	74.06	176.29	131.51	195.72	132.44	128.79	108.9	201.25	159.9	255.0	229.72	178.77	226.54	212.78	105.15	239.52	273.37	139.07	167.9	154.42	143.01	154.42	242.88	55.89	87.03	221.86	133.36	195.72	555.41	444.72	438.59	397.93	486.75	476.71	723.08
TRAF2	540.19	684.02	450.94	392.44	1183.45	447.82	486.75	587.13	603.67	400.71	1001.93	866.07	460.44	406.31	629.35	177.53	155.5	163.28	167.9	177.53	70.51	148.09	131.51	177.53	106.63	161.02	140.04	138.1	164.42	130.6	129.69	204.07	271.48	166.73	136.19	159.9	111.21	275.28	141.02	133.36	202.66	145.02	126.12	368.65	172.65	177.53	224.97	114.36	204.07	244.57	205.5	164.42	206.94	358.54	665.29	995.0	435.55	486.75	480.04	1322.37
TRMU	1104.13	633.73	1066.48	995.0	842.36	647.07	802.41	392.44	620.67	633.73	1001.93	830.75	532.74	583.07	785.88	249.73	201.25	249.73	221.86	563.18	237.86	376.41	547.75	463.65	239.52	173.85	215.77	249.73	403.5	186.4	177.53	423.61	242.88	307.69	356.05	262.2	371.22	251.48	493.56	170.25	343.89	540.19	224.97	171.45	323.03	423.61	379.04	291.04	73.03	148.09	343.89	275.28	212.78	1088.92	947.83	995.0	684.02	1437.15	921.88	890.44
TSEN54	2287.2	1304.15	1030.12	1769.57	1250.98	1242.34	1037.29	738.29	2018.8	915.51	842.36	1407.55	842.36	708.18	2018.8	269.6	295.11	336.79	381.68	759.08	133.36	486.75	295.11	928.3	403.5	197.09	384.34	397.93	503.95	218.79	181.28	500.46	320.8	447.82	432.53	307.69	329.84	555.41	872.1	176.29	603.67	629.35	289.02	423.61	368.65	343.89	348.71	454.09	166.73	503.95	595.34	497.0	339.14	1936.53	988.12	1359.57	759.08	1388.16	1628.26	2018.8
TTR	22.1	0.73	77.25	70.01	13.42	41475.31	29124.6	294926.33	39237.98	71219.26	7642.41	4298.64	61146.25	145432.49	8479.89	241220.67	428815.23	1093103.58	546551.29	716197.51	59063.35	1221310.69	585779.24	971597.0	1589343.01	29736.59	489177.0	805764.22	978355.0	1556634.79	573724.06	932018.1	1432396.03	741454.2	857631.47	2247670.86	2068278.89	857631.47	1442359.14	875652.15	453265.5	1318073.06	1196176.45	649962.87	687022.54	1048575.0	1393227.06	2111737.85	958220.73	585779.24	1556634.79	1775752.63	524287.0	3.92	6.46	201.25	9.63	0.0	0.0	0.0
ULK3	1498.22	1081.39	1369.04	1066.48	1225.22	599.49	753.83	460.44	693.58	616.37	529.06	728.11	854.13	981.29	860.08	305.55	248.0	409.15	400.71	629.35	144.01	633.73	412.0	583.07	285.03	244.57	379.04	189.02	301.33	327.56	234.57	392.44	341.51	297.17	353.59	400.71	368.65	514.56	417.77	237.86	647.07	961.07	551.56	353.59	356.05	470.14	403.5	583.07	128.79	279.14	289.02	253.23	346.29	1051.79	651.58	1259.69	1350.18	1143.1	1135.2	988.12
UNK	785.88	703.28	575.03	775.05	947.83	612.11	237.86	414.87	312.0	244.57	323.03	842.36	307.69	371.22	728.11	152.28	232.94	283.05	208.38	194.36	91.41	185.11	223.41	269.6	182.55	100.83	155.5	152.28	253.23	182.55	115.16	176.29	156.59	186.4	271.48	166.73	267.73	190.34	226.54	73.03	366.09	303.44	206.94	204.07	186.4	289.02	309.83	201.25	76.17	177.53	150.17	201.25	96.68	587.13	406.31	559.28	460.44	532.74	329.84	743.43
USF1	2047.0	1819.35	1561.89	1844.76	1950.0	1639.59	1073.91	1350.18	2664.15	1674.06	2915.45	1233.75	1583.71	1088.92	2400.97	587.13	679.29	759.08	791.35	791.35	343.89	934.76	988.12	1159.07	651.58	507.46	656.11	612.11	1001.93	525.39	450.94	842.36	579.04	825.0	738.29	540.19	633.73	860.08	1015.93	409.15	878.17	981.29	703.28	674.59	698.41	884.29	698.41	1015.93	426.57	1268.46	796.86	607.87	314.17	2417.67	2075.59	1167.14	1044.52	2193.99	2287.2	1457.23
USP21	928.3	1066.48	1233.75	1135.2	947.83	713.11	483.38	406.31	830.75	503.95	559.28	1159.07	525.39	356.05	1208.34	167.9	103.69	173.85	201.25	381.68	76.17	197.09	108.9	341.51	191.67	114.36	262.2	156.59	232.94	129.69	142.01	236.21	211.31	231.32	246.28	271.48	187.71	206.94	224.97	123.5	253.23	397.93	149.12	132.44	211.31	150.17	234.57	283.05	53.57	107.38	255.0	198.47	228.13	708.18	775.05	708.18	647.07	1037.29	1268.46	1417.35
UTP6	2148.82	872.1	1909.85	2193.99	1519.15	1697.45	967.76	1561.89	1331.57	1151.06	1135.2	995.0	1151.06	1073.91	1832.01	480.04	703.28	674.59	612.11	825.0	961.07	848.22	591.22	1151.06	656.11	441.64	547.75	660.68	780.44	624.99	414.87	665.29	665.29	660.68	941.27	514.56	612.11	708.18	878.17	473.41	825.0	759.08	480.04	607.87	638.15	688.78	633.73	981.29	291.04	620.67	802.41	660.68	432.53	1769.57	1322.37	1870.53	1059.11	1250.98	2287.2	1350.18
WDR53	376.41	256.78	320.8	348.71	295.11	343.89	287.01	244.57	180.02	218.79	265.87	318.57	180.02	242.88	223.41	105.89	94.67	129.69	104.42	167.9	120.94	232.94	178.77	226.54	158.79	108.9	130.6	108.14	123.5	124.37	102.25	212.78	128.79	146.03	163.28	92.05	125.24	118.43	193.01	141.02	199.85	180.02	147.06	92.05	102.97	120.1	148.09	206.94	38.12	115.97	249.73	125.24	173.85	269.6	336.79	165.57	123.5	373.81	244.57	343.89
ZNF133	651.58	476.71	540.19	518.15	647.07	258.57	209.84	206.94	201.25	275.28	239.52	202.66	214.27	186.4	497.0	77.79	120.1	96.01	141.02	204.07	46.84	155.5	69.03	258.57	98.04	69.03	113.56	84.63	195.72	100.13	84.04	176.29	108.9	211.31	191.67	100.83	111.21	152.28	146.03	72.01	197.09	206.94	114.36	91.41	134.3	75.64	140.04	162.14	42.71	74.58	187.71	164.42	67.59	432.53	403.5	490.14	329.84	329.84	693.58	486.75
ZNF335	470.14	379.04	551.56	511.0	423.61	224.97	167.9	279.14	303.44	281.09	265.87	299.25	258.57	249.73	412.0	91.41	88.26	92.7	81.14	144.01	78.34	147.06	133.36	197.09	114.36	76.71	112.77	95.34	115.97	82.87	77.25	117.6	94.67	129.69	151.22	126.12	140.04	100.83	151.22	71.0	136.19	166.73	107.38	82.87	95.34	117.6	100.83	140.04	42.41	90.14	84.04	73.03	74.06	371.22	409.15	483.38	320.8	229.72	316.37	242.88
ZNF337	420.68	392.44	775.05	454.09	346.29	151.22	124.37	166.73	158.79	206.94	172.65	145.02	209.84	205.5	616.37	56.68	82.29	92.7	120.94	157.68	25.54	120.1	59.55	172.65	81.71	50.63	83.45	72.52	85.22	83.45	45.53	114.36	110.43	112.77	146.03	42.41	114.36	107.38	113.56	73.03	115.97	140.04	63.89	74.58	88.26	80.57	108.14	131.51	26.28	79.45	115.16	96.01	61.25	387.02	271.48	579.04	353.59	273.37	543.96	271.48
ZNF580	1745.2	1259.69	1233.75	1313.23	607.87	529.06	595.34	387.02	470.14	237.86	571.05	432.53	444.72	403.5	1096.5	102.25	173.85	123.5	111.21	336.79	43.32	187.71	145.02	429.54	154.42	104.42	97.36	130.6	251.48	194.36	146.03	293.07	366.09	214.27	249.73	125.24	153.34	161.02	211.31	105.15	197.09	493.56	150.17	239.52	142.01	145.02	130.6	101.54	67.12	95.34	226.54	212.78	87.03	1001.93	878.17	1561.89	1175.27	1225.22	1617.0	607.87
ZNF692	2555.58	2255.7	2591.27	1909.85	1628.26	884.29	1447.15	607.87	1572.76	518.15	723.08	1001.93	1233.75	902.89	2367.9	172.65	262.2	273.37	351.14	633.73	95.34	361.04	231.32	532.74	241.19	76.71	384.34	218.79	476.71	307.69	143.01	271.48	228.13	473.41	432.53	285.03	293.07	318.57	376.41	143.01	373.81	423.61	181.28	293.07	275.28	242.88	316.37	529.06	110.43	153.34	412.0	295.11	180.02	2417.67	1991.0	3515.68	2018.8	1477.58	3614.55	1950.0
ZNF768	1242.34	1883.54	1096.5	1757.34	1037.29	1225.22	1331.57	669.92	941.27	1167.14	988.12	1044.52	974.5	1151.06	1151.06	555.41	791.35	599.49	603.67	941.27	251.48	688.78	486.75	896.64	830.75	267.73	860.08	532.74	733.19	450.94	536.45	669.92	819.3	753.83	769.69	830.75	896.64	514.56	674.59	551.56	884.29	698.41	514.56	836.53	563.18	579.04	575.03	651.58	327.56	400.71	813.63	802.41	796.86	921.88	1159.07	1769.57	1096.5	1388.16	1794.29	934.76
ZNF865	376.41	283.05	325.29	616.37	223.41	175.07	208.38	140.04	195.72	140.04	178.77	198.47	132.44	157.68	466.88	62.56	82.87	84.04	62.56	100.83	25.54	73.54	93.35	128.79	99.43	21.16	43.02	66.18	80.57	83.45	50.98	73.54	88.26	78.34	88.26	104.42	95.34	56.28	78.89	51.35	84.04	117.6	97.36	69.52	50.63	71.5	40.36	88.26	37.32	97.36	95.34	66.65	66.18	316.37	214.27	327.56	193.01	231.32	305.55	249.73
ZSCAN9	551.56	368.65	343.89	363.56	232.94	176.29	264.03	185.11	201.25	204.07	363.56	258.57	303.44	205.5	417.77	67.12	86.43	78.89	107.38	105.15	68.55	148.09	75.64	167.9	63.89	48.87	94.01	51.71	120.1	55.1	59.55	115.97	74.58	94.01	100.83	63.45	117.6	77.25	138.1	69.03	149.12	150.17	90.14	75.11	90.14	90.77	158.79	126.12	21.94	59.55	170.25	124.37	58.71	307.69	379.04	444.72	363.56	339.14	647.07	583.07
