	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.KM.8639.01A.11R.2403.07	GTEX.QLQW.1626.SM.4R1K1	TCGA.B0.5707.01A.11R.1541.07	TCGA.A3.3363.01A.01R.0864.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.CW.5591.01A.01R.1541.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.CZ.5987.11A.01R.1672.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.IA.A83W.01A.11R.A355.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.5P.A9KA.01A.11R.A42S.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.2Z.A9JL.01A.11R.A42S.07	TCGA.DW.7842.01A.11R.A32Z.07	TCGA.B3.3925.01A.02R.1351.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.A4.7734.01A.11R.A32Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.MH.A561.01A.11R.A26U.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.BQ.5883.01A.11R.1592.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.5P.A9K4.01A.11R.A42S.07	TCGA.EV.5903.01A.11R.1592.07	TCGA.SX.A71S.01A.11R.A33Z.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.2Z.A9J3.01A.12R.A38C.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A3I0.01A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YB5E.0326.SM.5IFHU
SEC23IP	144.01	381.68	647.07	389.72	361.04	406.31	624.99	796.86	620.67	297.17	262.2	547.75	376.41	297.17	289.02	426.57	279.14	215.77	373.81	264.03	336.79	323.03	309.83	397.93	463.65	432.53	447.82	559.28	480.04	480.04	432.53	450.94	273.37	366.09	215.77	493.56	185.11	255.0	486.75	277.2	518.15	414.87	366.09	289.02	392.44	450.94	260.38	283.05	314.17	529.06	217.27	497.0	234.57	320.8	115.97	249.73	145.02	339.14
SEC24A	63.89	152.28	305.55	153.34	137.14	275.28	262.2	460.44	323.03	137.14	114.36	218.79	147.06	178.77	134.3	262.2	86.43	51.71	126.12	88.26	142.01	99.43	127.0	148.09	223.41	145.02	134.3	202.66	195.72	232.94	162.14	206.94	86.43	132.44	59.55	223.41	78.34	73.03	239.52	100.83	214.27	148.09	119.26	84.04	94.01	204.07	74.58	73.54	116.78	176.29	52.82	361.04	58.71	104.42	127.0	88.26	172.65	426.57
SEC24C	753.83	878.17	1151.06	902.89	830.75	1250.98	1023.0	848.22	1127.35	500.46	825.0	1135.2	974.5	928.3	947.83	1051.79	836.53	633.73	764.36	842.36	890.44	860.08	759.08	1044.52	1151.06	1044.52	1008.9	1199.98	1015.93	1225.22	961.07	1151.06	791.35	909.17	802.41	1001.93	1051.79	748.61	1208.34	825.0	1044.52	967.76	928.3	713.11	780.44	1378.57	802.41	638.15	902.89	1037.29	896.64	1313.23	679.29	669.92	536.45	819.3	665.29	521.76
SLC25A53	43.02	110.43	90.14	55.49	82.29	115.16	102.97	140.04	144.01	77.79	87.65	146.03	82.29	63.45	84.63	111.99	78.89	59.55	55.89	33.78	79.45	95.34	63.89	119.26	131.51	63.89	55.1	142.01	91.41	125.24	83.45	127.89	49.56	75.11	45.21	140.04	74.58	62.56	119.26	108.9	90.14	83.45	85.22	40.36	100.83	206.94	46.5	53.19	69.52	101.54	33.78	67.59	37.59	47.84	75.11	34.02	64.34	98.73
SLC35A3	104.42	406.31	647.07	166.73	215.77	262.2	387.02	947.83	503.95	293.07	187.71	285.03	206.94	251.48	172.65	293.07	194.36	115.16	180.02	159.9	189.02	214.27	198.47	289.02	303.44	208.38	187.71	255.0	334.46	325.29	248.0	291.04	127.0	215.77	129.69	567.1	74.06	169.07	234.57	145.02	273.37	236.21	187.71	128.79	371.22	358.54	115.97	232.94	180.02	483.38	57.89	293.07	161.02	198.47	173.85	127.0	124.37	291.04
SLC9A6	113.56	204.07	256.78	172.65	162.14	204.07	248.0	363.56	275.28	138.1	146.03	195.72	155.5	115.97	146.03	187.71	116.78	123.5	159.9	128.79	157.68	146.03	108.14	198.47	193.01	182.55	149.12	228.13	187.71	144.01	185.11	121.79	130.6	146.03	95.34	234.57	145.02	140.04	208.38	201.25	178.77	164.42	181.28	107.38	183.82	348.71	180.02	136.19	151.22	206.94	177.53	204.07	83.45	142.01	74.58	94.01	63.45	161.02
SMARCA1	373.81	226.54	1359.57	480.04	305.55	525.39	1001.93	1407.55	1001.93	283.05	301.33	796.86	728.11	547.75	466.88	575.03	426.57	253.23	417.77	351.14	466.88	400.71	470.14	543.96	723.08	532.74	718.08	780.44	830.75	629.35	633.73	591.22	579.04	808.0	373.81	423.61	108.14	426.57	660.68	769.69	616.37	718.08	669.92	351.14	314.17	819.3	339.14	406.31	500.46	579.04	177.53	518.15	470.14	409.15	423.61	85.22	341.51	878.17
SMARCAD1	120.94	224.97	371.22	175.07	353.59	283.05	371.22	728.11	343.89	283.05	175.07	336.79	242.88	206.94	140.04	255.0	152.28	102.97	239.52	96.01	234.57	151.22	262.2	239.52	414.87	277.2	267.73	346.29	325.29	351.14	279.14	356.05	134.3	242.88	180.02	305.55	27.44	138.1	277.2	156.59	228.13	295.11	241.19	162.14	193.01	387.02	113.56	125.24	183.82	226.54	61.68	229.72	83.45	140.04	47.17	154.42	34.26	69.52
SMARCE1	2816.11	2119.22	3982.99	2935.74	4066.71	2193.99	3190.46	2875.3	3060.45	2240.11	2032.85	3955.48	1977.24	3018.3	2997.45	2835.7	3168.41	1950.0	1950.0	1721.16	2119.22	1896.65	2075.59	3874.05	3982.99	2997.45	2875.3	4038.61	5006.93	3257.52	3372.43	3564.78	3081.75	3168.41	1437.15	1963.57	723.08	2004.85	3847.29	2591.27	3235.01	4298.64	3716.2	3039.3	2209.26	3235.01	1498.22	1540.37	2997.45	2119.22	974.5	3395.89	1870.53	1572.76	764.36	2032.85	559.28	2434.5
SMC1A	100.83	283.05	1745.2	373.81	236.21	343.89	738.29	967.76	1023.0	232.94	253.23	718.08	305.55	295.11	177.53	575.03	258.57	226.54	307.69	163.28	264.03	303.44	262.2	466.88	493.56	389.72	275.28	723.08	1127.35	780.44	486.75	866.07	161.02	603.67	114.36	860.08	150.17	190.34	698.41	153.34	629.35	555.41	295.11	215.77	231.32	269.6	181.28	176.29	312.0	423.61	155.5	511.0	85.22	186.4	99.43	303.44	177.53	579.04
SMCR8	7.06	139.07	291.04	74.58	104.42	185.11	244.57	193.01	228.13	80.01	66.65	316.37	70.01	107.38	124.37	172.65	80.57	23.25	103.69	43.32	62.12	59.55	84.63	197.09	376.41	178.77	100.83	271.48	309.83	389.72	119.26	237.86	61.25	128.79	31.67	307.69	91.41	67.12	358.54	45.21	197.09	224.97	108.14	36.53	74.06	159.9	47.17	31.67	128.79	142.01	66.18	138.1	24.81	46.84	20.86	28.04	31.45	37.05
SNX13	106.63	463.65	476.71	232.94	242.88	371.22	497.0	902.89	624.99	299.25	194.36	854.13	224.97	265.87	281.09	305.55	149.12	119.26	277.2	138.1	185.11	173.85	293.07	406.31	500.46	343.89	435.55	603.67	571.05	607.87	237.86	373.81	129.69	201.25	177.53	575.03	43.32	211.31	521.76	195.72	514.56	395.18	309.83	255.0	309.83	316.37	121.79	209.84	392.44	441.64	73.03	327.56	102.25	189.02	120.94	112.77	54.33	217.27
SPP1	961.07	517068.97	184082.4	405683.88	338781.54	654483.73	348306.01	200048.85	263966.36	422911.59	201440.3	290865.98	303217.87	311742.51	402881.61	318292.9	221968.2	68793.23	614902.29	170568.48	212926.09	397335.0	234624.45	208544.12	129266.49	334117.42	363097.14	204252.32	189257.69	408505.64	414208.18	520665.48	234624.45	386469.83	142439.51	358098.26	95286.54	164758.26	301123.38	263966.36	204252.32	184082.4	226632.25	299043.36	822695.06	472513.8	159145.95	241220.67	275175.93	499455.67	84109.6	405683.88	422911.59	153724.82	37.32	320506.81	122.64	951601.81
SPTY2D1	69.03	251.48	500.46	169.07	267.73	241.19	301.33	651.58	373.81	165.57	131.51	384.34	199.85	176.29	236.21	320.8	154.42	87.65	173.85	114.36	183.82	143.01	145.02	299.25	277.2	237.86	255.0	376.41	353.59	301.33	265.87	279.14	165.57	159.9	106.63	329.84	39.5	115.97	356.05	111.21	332.14	267.73	217.27	140.04	183.82	239.52	87.03	129.69	218.79	199.85	102.25	346.29	88.26	134.3	104.42	217.27	72.52	145.02
STX17	72.52	173.85	275.28	135.24	182.55	241.19	301.33	490.14	366.09	191.67	128.79	301.33	166.73	115.97	140.04	253.23	122.64	57.89	167.9	70.51	133.36	119.26	162.14	253.23	305.55	193.01	177.53	301.33	253.23	279.14	191.67	255.0	87.03	166.73	82.29	283.05	96.68	89.51	281.09	103.69	229.72	228.13	229.72	64.34	154.42	229.72	61.68	82.87	159.9	212.78	57.89	221.86	44.57	92.05	72.01	78.89	146.03	186.4
SYNJ2BP	190.34	555.41	559.28	289.02	466.88	256.78	656.11	842.36	612.11	511.0	323.03	532.74	507.46	387.02	217.27	480.04	329.84	267.73	339.14	265.87	332.14	295.11	299.25	483.38	507.46	361.04	368.65	703.28	476.71	547.75	381.68	429.54	305.55	395.18	253.23	723.08	176.29	293.07	486.75	327.56	438.59	392.44	376.41	244.57	480.04	221.86	251.48	341.51	351.14	503.95	186.4	295.11	163.28	325.29	218.79	143.01	181.28	314.17
TGFBRAP1	107.38	332.14	258.57	217.27	146.03	237.86	346.29	265.87	283.05	217.27	198.47	320.8	211.31	177.53	170.25	343.89	167.9	90.77	191.67	202.66	237.86	198.47	271.48	320.8	229.72	305.55	208.38	320.8	334.46	244.57	341.51	228.13	181.28	199.85	127.89	271.48	237.86	157.68	403.5	163.28	293.07	258.57	242.88	144.01	165.57	316.37	197.09	127.0	224.97	273.37	224.97	334.46	105.89	181.28	61.68	130.6	53.57	57.08
TMEM170A	159.9	244.57	221.86	226.54	285.03	320.8	269.6	559.28	318.57	155.5	154.42	299.25	253.23	185.11	248.0	228.13	226.54	99.43	291.04	191.67	173.85	163.28	187.71	241.19	332.14	206.94	264.03	295.11	248.0	480.04	172.65	232.94	165.57	281.09	236.21	351.14	126.12	189.02	258.57	208.38	329.84	251.48	255.0	182.55	265.87	316.37	237.86	205.5	194.36	229.72	158.79	164.42	178.77	264.03	115.16	94.67	128.79	132.44
TMEM182	70.51	129.69	134.3	92.05	163.28	164.42	78.89	260.38	85.22	78.89	54.33	170.25	77.79	115.97	98.04	71.5	79.45	38.4	121.79	71.5	88.88	45.21	73.03	127.0	181.28	111.21	120.94	162.14	115.97	150.17	91.41	106.63	65.26	77.25	33.3	218.79	38.4	68.07	111.99	69.52	122.64	78.89	90.77	66.65	139.07	117.6	48.87	82.29	104.42	189.02	63.45	116.78	55.1	99.43	21.78	84.63	14.14	16.27
TRMT1L	181.28	269.6	529.06	244.57	241.19	211.31	277.2	511.0	353.59	295.11	251.48	285.03	224.97	223.41	165.57	271.48	258.57	130.6	217.27	111.21	226.54	173.85	197.09	258.57	316.37	265.87	226.54	329.84	303.44	348.71	327.56	348.71	180.02	287.01	158.79	358.54	37.85	172.65	279.14	246.28	285.03	229.72	237.86	198.47	312.0	316.37	111.21	147.06	244.57	256.78	73.54	267.73	158.79	167.9	108.14	154.42	66.18	112.77
TROVE2	61.25	180.02	414.87	105.15	242.88	248.0	460.44	656.11	447.82	199.85	124.37	327.56	127.0	115.97	161.02	277.2	162.14	118.43	173.85	84.04	151.22	125.24	117.6	281.09	368.65	232.94	152.28	289.02	281.09	379.04	226.54	265.87	114.36	169.07	74.06	346.29	29.7	83.45	358.54	83.45	275.28	221.86	194.36	84.63	185.11	267.73	64.8	98.73	176.29	231.32	39.79	281.09	70.01	94.01	84.04	108.14	44.25	220.32
TSR1	256.78	237.86	587.13	463.65	412.0	435.55	348.71	476.71	432.53	400.71	273.37	603.67	281.09	460.44	466.88	332.14	379.04	115.16	389.72	361.04	293.07	293.07	314.17	493.56	555.41	457.25	532.74	733.19	543.96	575.03	341.51	368.65	356.05	551.56	253.23	366.09	153.34	366.09	555.41	409.15	463.65	450.94	363.56	389.72	226.54	420.68	260.38	209.84	450.94	343.89	267.73	361.04	287.01	299.25	110.43	314.17	104.42	281.09
TUBGCP5	79.45	161.02	187.71	147.06	158.79	237.86	143.01	246.28	155.5	169.07	121.79	214.27	171.45	153.34	98.73	186.4	116.78	97.36	166.73	97.36	131.51	148.09	190.34	212.78	212.78	191.67	157.68	205.5	202.66	152.28	120.1	189.02	111.99	152.28	155.5	167.9	52.45	134.3	88.26	142.01	123.5	193.01	171.45	148.09	133.36	409.15	52.82	101.54	191.67	178.77	74.58	265.87	82.29	100.13	94.67	147.06	68.07	110.43
UBR1	72.01	148.09	220.32	96.68	120.94	164.42	231.32	507.46	305.55	101.54	94.01	214.27	123.5	97.36	98.04	167.9	102.97	45.85	102.25	61.25	105.89	94.01	126.12	163.28	189.02	120.1	136.19	185.11	211.31	190.34	119.26	114.36	66.18	122.64	71.5	242.88	23.93	80.57	256.78	71.5	186.4	157.68	149.12	69.52	114.36	181.28	77.25	72.52	130.6	221.86	50.27	173.85	48.52	96.68	43.32	162.14	39.79	66.18
UBXN2B	162.14	293.07	271.48	271.48	412.0	559.28	470.14	660.68	473.41	325.29	251.48	532.74	376.41	232.94	211.31	403.5	265.87	201.25	325.29	156.59	303.44	255.0	307.69	406.31	607.87	395.18	348.71	466.88	536.45	441.64	348.71	559.28	301.33	361.04	271.48	384.34	171.45	224.97	420.68	198.47	417.77	426.57	376.41	269.6	301.33	438.59	177.53	258.57	329.84	346.29	176.29	358.54	175.07	201.25	299.25	181.28	102.25	156.59
UHMK1	246.28	532.74	693.58	343.89	387.02	529.06	813.63	1709.26	728.11	341.51	339.14	638.15	325.29	323.03	325.29	470.14	318.57	215.77	356.05	229.72	351.14	269.6	332.14	497.0	684.02	429.54	363.56	571.05	540.19	547.75	435.55	400.71	223.41	339.14	277.2	753.83	136.19	264.03	521.76	269.6	466.88	429.54	371.22	283.05	412.0	703.28	226.54	262.2	389.72	591.22	231.32	417.77	181.28	320.8	221.86	221.86	228.13	332.14
UHRF1BP1	41.22	135.24	198.47	66.18	89.51	175.07	171.45	180.02	164.42	78.89	65.72	180.02	77.79	55.89	110.43	108.14	62.12	42.41	85.22	81.71	71.0	72.52	84.04	138.1	195.72	120.1	128.79	164.42	141.02	121.79	80.01	129.69	61.25	82.29	49.91	237.86	64.8	80.57	132.44	60.39	137.14	115.16	94.01	60.82	84.63	130.6	66.65	46.18	97.36	135.24	69.52	115.16	47.5	65.72	20.26	102.25	18.43	68.07
USP22	974.5	2739.08	2193.99	2032.85	1617.0	1721.16	2555.58	1709.26	1963.57	2004.85	1639.59	3515.68	1870.53	2627.46	2004.85	2004.85	1936.53	591.22	1073.91	1216.75	1651.0	1447.15	1697.45	2090.03	3690.52	2915.45	2468.49	3124.78	3103.19	2855.44	1991.0	2976.74	2133.97	2520.38	1167.14	1977.24	1572.76	1477.58	3190.46	1378.57	1583.71	2855.44	2417.67	1806.78	1313.23	2287.2	1870.53	1369.04	1950.0	1733.13	1498.22	1977.24	1066.48	1651.0	351.14	947.83	406.31	708.18
USP32	173.85	759.08	759.08	412.0	368.65	616.37	688.78	555.41	728.11	497.0	397.93	819.3	381.68	397.93	624.99	507.46	457.25	674.59	470.14	476.71	412.0	438.59	368.65	713.11	753.83	514.56	473.41	764.36	796.86	819.3	497.0	497.0	339.14	620.67	406.31	808.0	371.22	579.04	842.36	376.41	660.68	624.99	612.11	426.57	389.72	384.34	470.14	423.61	500.46	723.08	293.07	480.04	423.61	409.15	295.11	178.77	223.41	511.0
USP37	10.24	28.65	77.79	21.47	41.52	52.82	93.35	201.25	135.24	29.06	36.53	89.51	32.59	35.25	65.26	84.04	29.06	10.96	32.82	12.18	26.28	11.47	25.17	80.57	92.7	50.63	41.22	81.71	85.82	71.5	77.25	43.94	21.47	33.54	17.38	78.89	4.78	11.47	96.01	14.24	63.45	61.25	44.57	14.67	28.45	64.8	8.06	15.45	38.95	48.52	6.36	81.71	9.63	15.22	14.24	16.88	4.24	22.26
USP38	103.69	205.5	384.34	146.03	176.29	212.78	318.57	507.46	346.29	167.9	115.97	265.87	143.01	141.02	194.36	267.73	113.56	102.97	158.79	100.83	172.65	148.09	137.14	223.41	279.14	170.25	206.94	208.38	303.44	221.86	228.13	208.38	119.26	138.1	84.04	273.37	66.18	113.56	305.55	104.42	251.48	232.94	189.02	112.77	154.42	226.54	70.01	105.89	172.65	194.36	77.79	215.77	79.45	122.64	99.43	106.63	105.15	320.8
VPS53	228.13	299.25	267.73	316.37	277.2	460.44	473.41	351.14	351.14	277.2	309.83	521.76	224.97	271.48	417.77	351.14	358.54	53.95	295.11	339.14	193.01	316.37	297.17	493.56	435.55	289.02	400.71	511.0	497.0	551.56	460.44	371.22	246.28	387.02	152.28	486.75	368.65	224.97	547.75	320.8	532.74	351.14	376.41	249.73	209.84	376.41	293.07	165.57	373.81	389.72	221.86	336.79	204.07	348.71	127.0	143.01	154.42	127.0
WDHD1	34.02	39.79	113.56	40.36	52.45	70.01	61.25	162.14	67.12	54.72	33.06	90.77	74.58	62.56	36.27	40.07	45.85	39.22	55.1	36.79	31.9	34.02	53.95	77.79	84.63	77.25	55.1	81.14	68.55	53.95	53.19	75.11	27.44	82.87	35.76	41.52	6.57	39.5	54.72	52.08	63.89	68.55	53.19	111.99	36.27	87.03	26.67	40.93	67.59	67.12	12.0	49.56	27.84	59.97	20.86	41.22	3.79	74.06
WDR31	14.24	60.82	96.68	75.11	86.43	94.67	126.12	79.45	126.12	74.06	59.13	190.34	76.17	62.12	94.67	144.01	71.0	36.79	72.01	73.03	61.68	88.26	77.25	99.43	176.29	124.37	94.01	186.4	140.04	202.66	127.89	136.19	73.03	107.38	66.65	140.04	36.79	87.03	120.94	81.71	85.82	94.67	84.04	57.49	66.65	52.08	70.01	40.36	74.06	110.43	39.22	66.18	32.59	71.5	3.89	14.24	17.9	7.0
XPO4	47.84	97.36	232.94	69.03	87.65	142.01	193.01	297.17	176.29	113.56	68.07	209.84	145.02	116.78	47.5	110.43	52.82	38.4	105.15	52.45	87.03	66.18	98.73	128.79	177.53	124.37	98.04	169.07	142.01	146.03	91.41	139.07	48.18	85.82	59.97	191.67	42.11	63.0	154.42	73.03	172.65	127.89	100.13	54.72	85.82	175.07	45.85	44.25	94.01	127.89	55.1	106.63	33.06	66.18	18.7	35.0	37.32	45.21
ZFAND3	921.88	3349.13	2193.99	1721.16	1388.16	2104.58	2209.26	1977.24	1991.0	1896.65	1191.69	2104.58	1832.01	1757.34	1832.01	1950.0	1651.0	1551.09	1340.84	1208.34	1508.65	1487.87	1388.16	2193.99	1923.14	1519.15	1651.0	2240.11	2271.4	1857.6	2537.92	1963.57	1331.57	1844.76	909.17	2537.92	1674.06	1183.45	2104.58	1143.1	2148.82	1721.16	1757.34	1259.69	1685.71	2224.63	1167.14	1359.57	1832.01	2193.99	1477.58	2119.22	1286.18	1081.39	723.08	2047.0	842.36	1191.69
ZFP91	248.0	607.87	693.58	438.59	633.73	796.86	791.35	1096.5	902.89	473.41	483.38	928.3	563.18	521.76	567.1	808.0	587.13	283.05	339.14	373.81	629.35	450.94	551.56	915.51	842.36	688.78	547.75	785.88	728.11	674.59	1081.39	703.28	463.65	567.1	242.88	825.0	165.57	417.77	733.19	346.29	848.22	603.67	583.07	493.56	476.71	738.29	332.14	376.41	532.74	583.07	316.37	785.88	316.37	567.1	226.54	507.46	212.78	728.11
ZMYND11	483.38	928.3	1037.29	651.58	785.88	819.3	1167.14	1359.57	1508.65	624.99	518.15	1508.65	825.0	624.99	438.59	1015.93	660.68	381.68	612.11	406.31	738.29	616.37	748.61	1331.57	1119.56	890.44	808.0	1268.46	1277.29	842.36	884.29	1001.93	629.35	825.0	476.71	1023.0	221.86	563.18	1088.92	460.44	872.1	1096.5	1044.52	511.0	791.35	995.0	417.77	473.41	775.05	830.75	353.59	796.86	356.05	540.19	164.42	426.57	220.32	447.82
ZNF2	37.85	78.34	62.56	52.45	75.64	62.12	73.54	53.57	75.11	78.34	61.25	78.89	56.28	54.72	44.89	84.63	44.25	31.0	34.26	30.34	42.11	56.68	57.08	71.0	96.01	63.0	49.91	72.01	74.58	51.71	35.25	94.67	55.89	50.98	48.52	59.97	34.02	49.91	74.06	46.84	47.84	63.89	51.35	47.5	57.49	60.82	32.82	36.79	66.65	53.19	57.89	63.89	31.67	34.75	26.86	35.0	9.13	7.28
ZNF28	114.36	189.02	426.57	221.86	253.23	197.09	262.2	497.0	299.25	136.19	142.01	327.56	212.78	236.21	211.31	258.57	232.94	64.34	205.5	154.42	166.73	158.79	155.5	260.38	447.82	269.6	187.71	363.56	325.29	381.68	189.02	260.38	202.66	204.07	147.06	403.5	186.4	165.57	336.79	163.28	295.11	293.07	205.5	137.14	189.02	199.85	156.59	170.25	251.48	197.09	90.14	220.32	113.56	178.77	2.29	137.14	2.18	41.81
ZNF570	16.27	92.05	47.84	60.39	98.73	93.35	106.63	86.43	84.63	45.21	49.56	119.26	87.65	61.25	58.71	103.69	54.72	9.48	60.82	21.47	47.5	40.93	46.5	90.77	96.01	79.45	57.49	138.1	118.43	66.65	83.45	127.0	55.1	59.55	37.85	111.99	11.73	33.78	100.83	25.54	70.51	72.52	72.01	27.44	66.18	81.71	28.04	18.84	77.25	94.67	17.38	98.73	29.06	24.28	3.29	32.59	4.46	26.1
