	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DE.A0Y2.01A.11R.A10U.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EL.A3GS.01A.11R.A20F.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.DE.A0Y3.01B.11R.A10U.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.EL.A4KG.01A.11R.A250.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A3SZ.01A.11R.A22U.07
YAP1	1268.46	1359.57	1322.37	1127.35	2209.26	866.07	669.92	872.1	896.64	1781.89	1268.46	1561.89	1709.26	967.76	679.29	1896.65	1259.69	808.0	780.44	769.69	988.12	1417.35	915.51	1583.71	1991.0	974.5	1268.46	1286.18	780.44	1322.37	1991.0	1883.54	1551.09	819.3	1088.92	1051.79	1183.45
ZC3H14	988.12	775.05	909.17	878.17	1015.93	703.28	503.95	743.43	878.17	1030.12	825.0	866.07	1175.27	808.0	612.11	1066.48	819.3	629.35	830.75	633.73	728.11	819.3	890.44	902.89	1529.73	872.1	733.19	866.07	743.43	928.3	1159.07	1135.2	1030.12	616.37	684.02	802.41	796.86
ZFAND3	1295.13	1167.14	1119.56	1081.39	1427.22	825.0	1001.93	947.83	1216.75	1417.35	1175.27	1447.15	1242.34	1051.79	647.07	1407.55	1199.98	1191.69	890.44	878.17	1030.12	1322.37	1340.84	1268.46	1437.15	1111.82	1242.34	785.88	909.17	1259.69	1427.22	1477.58	1233.75	866.07	1088.92	1208.34	941.27
ZNF106	295.11	253.23	251.48	195.72	409.15	132.44	123.5	177.53	169.07	351.14	223.41	339.14	309.83	186.4	118.43	379.04	217.27	155.5	137.14	108.14	152.28	279.14	151.22	299.25	638.15	191.67	226.54	241.19	146.03	316.37	429.54	353.59	400.71	133.36	199.85	166.73	206.94
ZNF148	211.31	186.4	234.57	193.01	327.56	125.24	99.43	144.01	155.5	314.17	223.41	281.09	264.03	181.28	96.01	329.84	212.78	149.12	153.34	108.14	177.53	226.54	205.5	301.33	483.38	175.07	206.94	193.01	114.36	262.2	373.81	329.84	323.03	125.24	165.57	133.36	173.85
ZNF426	71.0	73.54	70.01	58.3	121.79	37.85	37.85	41.81	47.5	102.25	69.03	81.71	86.43	43.32	26.86	109.66	57.49	40.93	28.24	27.44	42.71	77.25	50.27	99.43	126.12	33.54	53.19	62.56	39.5	80.57	114.36	102.25	122.64	34.02	53.19	53.19	53.95
ZNF507	181.28	180.02	166.73	135.24	244.57	99.43	82.87	102.25	148.09	214.27	118.43	178.77	208.38	103.69	80.01	202.66	155.5	115.16	93.35	119.26	111.99	205.5	120.94	172.65	260.38	123.5	154.42	177.53	109.66	176.29	253.23	153.34	234.57	96.01	169.07	110.43	131.51
ZNF570	43.02	50.63	56.28	33.06	71.5	28.65	31.67	35.0	34.02	59.97	44.89	45.53	56.28	35.76	17.64	84.04	46.18	28.24	18.84	21.63	44.25	52.45	30.34	55.1	84.63	33.54	40.07	46.84	29.06	64.8	82.29	52.45	76.17	20.86	41.81	31.0	33.06
ZNF592	309.83	297.17	295.11	269.6	403.5	215.77	224.97	214.27	223.41	376.41	293.07	366.09	420.68	271.48	191.67	441.64	303.44	199.85	201.25	228.13	244.57	332.14	260.38	346.29	450.94	283.05	303.44	285.03	229.72	281.09	438.59	384.34	348.71	275.28	293.07	264.03	265.87
ZNF616	93.35	77.25	82.29	66.18	112.77	48.87	49.91	41.52	63.89	98.04	83.45	76.17	86.43	56.68	43.32	106.63	74.06	55.49	59.13	48.52	62.56	105.15	56.68	71.5	147.06	57.49	58.3	65.26	58.71	108.9	102.25	70.01	111.21	54.72	56.28	57.49	60.82
ZNF623	157.68	143.01	162.14	121.79	215.77	81.71	85.82	84.63	113.56	198.47	133.36	185.11	190.34	75.11	76.71	226.54	127.0	90.14	68.55	70.51	113.56	170.25	120.94	175.07	232.94	97.36	125.24	148.09	97.36	182.55	220.32	183.82	189.02	96.68	115.16	105.89	128.79
ZNF677	379.04	246.28	334.46	236.21	346.29	178.77	157.68	167.9	237.86	366.09	220.32	307.69	395.18	144.01	193.01	323.03	242.88	144.01	186.4	153.34	194.36	392.44	198.47	323.03	414.87	135.24	262.2	327.56	264.03	327.56	423.61	426.57	361.04	129.69	262.2	229.72	234.57
ZNF791	170.25	140.04	193.01	173.85	303.44	117.6	123.5	130.6	133.36	277.2	172.65	212.78	265.87	141.02	111.99	273.37	159.9	154.42	155.5	104.42	141.02	241.19	141.02	215.77	289.02	163.28	165.57	154.42	148.09	231.32	279.14	264.03	264.03	130.6	146.03	129.69	149.12
ZNF805	26.28	21.32	32.36	23.25	61.68	15.8	11.64	19.53	15.34	43.63	23.93	32.13	39.79	13.93	18.03	60.82	18.84	23.25	18.03	12.27	19.11	37.32	28.24	36.27	49.56	24.99	23.93	23.93	16.39	29.91	49.91	48.52	45.21	12.74	21.94	14.14	16.39
ZXDB	67.12	59.55	83.45	56.28	108.9	44.57	36.01	55.1	59.97	92.05	94.01	91.41	105.15	56.28	40.64	87.65	78.89	51.71	53.19	43.94	53.19	80.01	90.14	82.29	85.82	58.3	66.65	61.25	43.32	70.01	102.97	96.68	86.43	49.56	63.89	46.5	58.71
ZZZ3	414.87	353.59	444.72	341.51	423.61	287.01	202.66	309.83	368.65	454.09	450.94	454.09	454.09	314.17	208.38	384.34	423.61	312.0	353.59	299.25	339.14	441.64	327.56	400.71	460.44	323.03	343.89	361.04	291.04	571.05	497.0	423.61	447.82	256.78	348.71	314.17	314.17
