	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.5519.01A.01R.1580.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7781.11A.01R.2118.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.12BJ1.1226.SM.5LUAE
IL17RD	79.45	27.64	11.55	60.82	85.22	8.65	12.09	42.41	43.32	73.54	28.45	50.27	146.03	51.71	72.52	81.71	58.71	55.89	16.51	23.93	71.5	25.54	20.26	29.91	42.41	31.9	34.51	78.34	53.95	69.03	41.52	79.45	21.78	45.21	31.67	138.1	30.12	63.0	31.22	41.52	96.01	66.65	59.13	52.82	31.0	33.06	193.01	18.97	119.26	39.5	145.02	62.56	21.47	29.48	107.38	30.34	107.38	77.25	23.59	63.89	80.01	33.3	16.27	59.97	25.91	96.68	153.34	186.4	92.7	100.13	199.85	113.56	121.79	85.22	171.45	46.18	71.5	194.36	198.47
IL1RAPL2	0.93	0.22	0.0	0.24	0.6	0.0	0.0	0.55	0.23	1.95	2.01	0.92	1.91	0.56	0.25	1.25	0.57	3.44	0.0	0.24	4.94	0.0	0.0	0.24	0.0	0.24	0.0	2.97	0.0	1.64	0.58	0.0	0.0	1.53	0.0	1.23	0.0	0.57	0.89	0.0	4.43	0.0	0.89	0.59	0.24	0.25	0.0	0.61	3.29	3.72	0.58	0.0	1.85	0.0	1.62	1.75	0.95	8.13	0.23	0.0	0.25	0.58	0.0	0.56	0.0	6.31	2.94	0.57	2.56	0.22	1.66	1.2	0.22	1.6	1.23	0.21	0.87	2.56	2.2
IRF6	967.76	1059.11	808.0	1331.57	1605.83	775.05	753.83	1268.46	1073.91	2255.7	693.58	1551.09	1540.37	902.89	723.08	2004.85	1250.98	420.68	854.13	1159.07	1662.49	775.05	947.83	825.0	928.3	848.22	669.92	1233.75	759.08	780.44	1175.27	684.02	1001.93	1233.75	612.11	1447.15	500.46	1023.0	1350.18	872.1	1135.2	981.29	1073.91	1397.83	981.29	1295.13	1250.98	860.08	2163.77	1081.39	1159.07	723.08	785.88	612.11	1208.34	559.28	1437.15	507.46	981.29	954.43	1183.45	718.08	1457.23	866.07	791.35	1697.45	884.29	1561.89	2018.8	1498.22	947.83	1781.89	1529.73	1331.57	1073.91	1757.34	1651.0	915.51	1225.22
ITPR1	460.44	307.69	46.5	500.46	1175.27	265.87	37.85	329.84	334.46	1870.53	185.11	373.81	567.1	159.9	438.59	665.29	199.85	244.57	105.89	182.55	536.45	173.85	82.29	273.37	267.73	146.03	262.2	197.09	165.57	358.54	307.69	14.35	109.66	228.13	193.01	638.15	64.34	228.13	323.03	267.73	281.09	209.84	253.23	571.05	102.97	307.69	162.14	194.36	587.13	151.22	1096.5	392.44	72.01	447.82	540.19	543.96	743.43	463.65	74.06	214.27	141.02	258.57	53.95	163.28	281.09	764.36	1467.37	642.59	500.46	480.04	1769.57	532.74	473.41	1183.45	1037.29	332.14	708.18	825.0	2193.99
KCTD7	211.31	154.42	81.71	150.17	248.0	119.26	106.63	106.63	119.26	187.71	123.5	140.04	199.85	100.13	172.65	223.41	136.19	155.5	141.02	131.51	193.01	72.52	80.01	105.15	166.73	97.36	122.64	116.78	145.02	150.17	185.11	58.3	81.71	185.11	72.52	265.87	72.01	175.07	99.43	135.24	172.65	114.36	177.53	181.28	115.97	129.69	209.84	127.0	234.57	180.02	271.48	144.01	74.06	147.06	187.71	96.01	180.02	187.71	116.78	139.07	124.37	113.56	138.1	127.89	106.63	251.48	255.0	226.54	229.72	204.07	348.71	176.29	214.27	224.97	291.04	107.38	283.05	242.88	206.94
KDM3B	854.13	547.75	373.81	629.35	1044.52	518.15	500.46	486.75	529.06	785.88	543.96	603.67	825.0	470.14	595.34	738.29	698.41	507.46	536.45	660.68	703.28	423.61	395.18	551.56	638.15	591.22	423.61	764.36	616.37	688.78	738.29	332.14	323.03	647.07	332.14	860.08	480.04	633.73	480.04	525.39	703.28	555.41	713.11	718.08	563.18	381.68	941.27	514.56	738.29	748.61	988.12	651.58	379.04	595.34	743.43	275.28	825.0	791.35	540.19	647.07	603.67	460.44	591.22	483.38	480.04	902.89	854.13	842.36	854.13	698.41	830.75	703.28	728.11	842.36	928.3	503.95	738.29	813.63	1250.98
KDM4A	591.22	334.46	387.02	529.06	733.19	343.89	417.77	379.04	358.54	551.56	463.65	463.65	764.36	384.34	591.22	575.03	432.53	384.34	351.14	616.37	423.61	287.01	409.15	575.03	426.57	497.0	384.34	708.18	620.67	518.15	620.67	307.69	368.65	486.75	307.69	713.11	389.72	525.39	463.65	412.0	616.37	473.41	674.59	551.56	476.71	579.04	603.67	518.15	624.99	476.71	748.61	536.45	376.41	555.41	567.1	420.68	595.34	616.37	460.44	460.44	529.06	368.65	429.54	414.87	438.59	540.19	503.95	551.56	555.41	432.53	503.95	490.14	543.96	575.03	638.15	389.72	500.46	518.15	507.46
KIAA0922	120.94	122.64	45.85	205.5	131.51	65.26	105.89	124.37	140.04	363.56	70.01	134.3	316.37	103.69	94.01	187.71	182.55	100.13	126.12	234.57	121.79	94.67	57.89	80.01	157.68	55.1	72.01	137.14	77.79	129.69	146.03	145.02	121.79	120.94	81.71	209.84	36.79	289.02	182.55	112.77	155.5	125.24	149.12	96.68	81.71	92.7	148.09	105.89	204.07	186.4	117.6	74.58	84.04	100.13	123.5	90.14	195.72	108.9	208.38	105.15	124.37	115.16	101.54	234.57	94.01	130.6	193.01	130.6	117.6	108.14	212.78	161.02	90.14	159.9	253.23	94.67	148.09	197.09	143.01
KLF11	199.85	110.43	45.85	156.59	267.73	91.41	88.26	117.6	120.1	339.14	135.24	129.69	336.79	111.99	197.09	226.54	178.77	141.02	95.34	73.54	124.37	71.5	81.71	72.52	120.1	96.68	70.51	181.28	88.26	185.11	126.12	34.51	49.91	157.68	72.52	228.13	47.84	149.12	147.06	107.38	191.67	115.16	175.07	166.73	68.07	204.07	107.38	103.69	158.79	108.9	265.87	90.77	53.57	143.01	224.97	74.06	316.37	195.72	73.54	170.25	115.97	66.18	71.5	114.36	125.24	368.65	348.71	194.36	258.57	165.57	307.69	116.78	138.1	346.29	260.38	155.5	260.38	229.72	320.8
KLF9	974.5	1037.29	356.05	642.59	1127.35	775.05	426.57	842.36	713.11	1268.46	819.3	559.28	532.74	718.08	723.08	1073.91	490.14	1111.82	595.34	669.92	1277.29	579.04	1697.45	476.71	698.41	525.39	796.86	1216.75	420.68	928.3	1159.07	323.03	351.14	591.22	571.05	624.99	379.04	444.72	529.06	1216.75	1119.56	830.75	759.08	981.29	432.53	392.44	563.18	703.28	785.88	579.04	830.75	759.08	470.14	361.04	1498.22	325.29	1457.23	1151.06	753.83	660.68	366.09	607.87	423.61	420.68	423.61	954.43	1857.6	902.89	1561.89	1508.65	974.5	1066.48	1159.07	1844.76	1088.92	660.68	1651.0	947.83	1397.83
KLHL20	329.84	262.2	104.42	540.19	490.14	99.43	133.36	392.44	244.57	656.11	151.22	353.59	571.05	186.4	208.38	460.44	366.09	273.37	101.54	142.01	353.59	162.14	177.53	237.86	223.41	167.9	197.09	466.88	212.78	241.19	226.54	67.59	169.07	392.44	116.78	559.28	180.02	173.85	190.34	241.19	373.81	206.94	265.87	397.93	166.73	180.02	336.79	221.86	381.68	186.4	334.46	368.65	98.04	229.72	392.44	164.42	384.34	708.18	166.73	193.01	176.29	131.51	228.13	269.6	223.41	363.56	463.65	423.61	514.56	486.75	460.44	303.44	429.54	480.04	567.1	181.28	466.88	423.61	435.55
KLK3	772940.66	881742.8	1345768.59	1005860.33	239554.43	450134.56	1116072.03	1212874.47	845824.19	459592.86	731246.37	887875.81	585779.24	1163466.92	1116072.03	691801.16	794671.01	985160.01	881742.8	1063212.58	1055868.42	623486.02	1255646.43	1187913.85	1093103.58	1139523.1	919186.72	805764.22	881742.8	1327240.99	731246.37	887875.81	1147449.11	925580.18	978355.0	394590.4	1412675.8	1238359.56	1327240.99	1196176.45	851707.37	800198.39	985160.01	839981.65	869603.57	845824.19	805764.22	851707.37	627822.72	1063212.58	378516.38	736332.6	1212874.47	1238359.56	654483.73	985160.01	273275.14	721179.07	1345768.59	938500.81	1472666.19	1229805.58	1019901.63	828417.36	938500.81	198667.0	260332.24	691801.16	391864.76	1019901.63	78476.96	589853.66	794671.01	546551.29	195931.88	1063212.58	554180.87	573724.06	28923.41
KMT2E	808.0	470.14	139.07	476.71	1096.5	253.23	334.46	392.44	460.44	490.14	341.51	454.09	703.28	426.57	426.57	693.58	532.74	540.19	599.49	454.09	511.0	353.59	275.28	361.04	438.59	392.44	297.17	547.75	438.59	438.59	591.22	178.77	158.79	470.14	281.09	796.86	209.84	429.54	329.84	470.14	540.19	363.56	543.96	543.96	351.14	400.71	890.44	373.81	684.02	500.46	860.08	400.71	226.54	384.34	669.92	346.29	743.43	713.11	376.41	660.68	389.72	303.44	457.25	334.46	277.2	1088.92	842.36	802.41	941.27	555.41	890.44	503.95	679.29	718.08	1104.13	376.41	684.02	688.78	1199.98
KPNA6	490.14	363.56	267.73	423.61	551.56	258.57	316.37	387.02	368.65	587.13	297.17	361.04	532.74	339.14	361.04	403.5	395.18	356.05	275.28	373.81	403.5	323.03	249.73	343.89	412.0	316.37	262.2	470.14	409.15	417.77	457.25	218.79	251.48	387.02	199.85	540.19	283.05	423.61	329.84	297.17	511.0	348.71	480.04	432.53	285.03	312.0	599.49	316.37	518.15	343.89	575.03	371.22	258.57	329.84	480.04	316.37	555.41	480.04	309.83	389.72	389.72	301.33	291.04	318.57	301.33	551.56	567.1	514.56	543.96	417.77	607.87	463.65	493.56	579.04	595.34	343.89	470.14	435.55	713.11
LATS2	336.79	158.79	100.13	166.73	275.28	105.15	144.01	234.57	172.65	285.03	221.86	157.68	341.51	291.04	258.57	269.6	149.12	291.04	105.89	130.6	236.21	131.51	148.09	211.31	253.23	123.5	118.43	231.32	126.12	224.97	198.47	66.18	81.71	127.89	201.25	211.31	151.22	145.02	193.01	177.53	353.59	167.9	202.66	173.85	177.53	226.54	208.38	166.73	246.28	135.24	363.56	172.65	120.94	129.69	283.05	106.63	262.2	483.38	159.9	242.88	195.72	94.01	149.12	130.6	170.25	397.93	483.38	206.94	258.57	226.54	318.57	193.01	232.94	348.71	348.71	151.22	291.04	258.57	309.83
LPPR4	10.71	1.07	3.59	9.78	16.88	1.77	1.66	3.44	2.76	21.78	3.82	2.25	17.51	5.19	2.53	7.57	15.0	6.11	6.41	5.87	2.01	0.18	3.56	1.16	3.06	3.47	2.53	15.91	5.15	5.96	4.66	1.33	2.76	4.54	1.66	9.27	1.14	17.38	7.06	3.53	16.63	3.82	12.74	3.32	1.17	4.66	7.0	3.82	15.45	5.77	3.63	1.48	3.47	1.79	7.0	15.8	31.9	13.32	27.25	14.67	4.7	1.55	3.11	4.46	2.89	39.79	14.78	2.32	12.93	2.53	13.93	5.11	3.92	10.24	37.32	3.86	6.84	7.69	4.31
LRP1	1498.22	830.75	454.09	1844.76	1757.34	182.55	170.25	1963.57	764.36	2004.85	764.36	791.35	2303.12	947.83	1159.07	1467.37	1081.39	529.06	791.35	629.35	1175.27	521.76	441.64	759.08	587.13	665.29	473.41	1191.69	571.05	878.17	669.92	100.13	819.3	688.78	616.37	1437.15	679.29	860.08	1175.27	902.89	1639.59	884.29	860.08	1745.2	651.58	981.29	785.88	518.15	1832.01	579.04	2875.3	941.27	429.54	688.78	1685.71	1709.26	1745.2	1407.55	403.5	1015.93	540.19	890.44	532.74	909.17	1066.48	2178.83	2303.12	884.29	1175.27	954.43	2935.74	842.36	808.0	1467.37	1594.73	532.74	1286.18	1832.01	1883.54
MAOB	981.29	373.81	99.43	1697.45	842.36	42.71	147.06	713.11	473.41	3928.15	220.32	961.07	693.58	633.73	1127.35	921.88	381.68	320.8	500.46	264.03	2163.77	532.74	142.01	713.11	447.82	387.02	669.92	738.29	260.38	1304.15	551.56	2.78	616.37	616.37	1088.92	555.41	299.25	463.65	775.05	748.61	599.49	1143.1	486.75	967.76	351.14	412.0	157.68	384.34	1259.69	3820.7	1259.69	444.72	226.54	529.06	599.49	490.14	1794.29	896.64	178.77	253.23	2555.58	1529.73	167.9	323.03	264.03	1487.87	2645.74	1135.2	1119.56	1286.18	3665.02	981.29	1208.34	2351.53	1923.14	1183.45	1977.24	2209.26	6887.62
MAP3K3	532.74	400.71	223.41	368.65	638.15	256.78	223.41	325.29	490.14	420.68	314.17	420.68	497.0	403.5	420.68	473.41	336.79	412.0	406.31	258.57	438.59	301.33	244.57	293.07	381.68	336.79	303.44	371.22	316.37	309.83	346.29	186.4	267.73	432.53	289.02	444.72	231.32	403.5	381.68	343.89	540.19	260.38	412.0	384.34	420.68	500.46	567.1	325.29	607.87	414.87	629.35	348.71	285.03	309.83	389.72	197.09	521.76	429.54	293.07	409.15	379.04	242.88	493.56	493.56	301.33	733.19	780.44	532.74	629.35	460.44	723.08	417.77	543.96	629.35	808.0	336.79	529.06	563.18	599.49
MAP3K5	379.04	728.11	301.33	633.73	1151.06	95.34	218.79	723.08	753.83	1950.0	532.74	343.89	723.08	389.72	493.56	403.5	529.06	1447.15	103.69	135.24	414.87	336.79	162.14	363.56	532.74	175.07	201.25	540.19	320.8	195.72	239.52	379.04	303.44	718.08	206.94	733.19	339.14	808.0	529.06	231.32	525.39	397.93	289.02	698.41	251.48	503.95	435.55	178.77	493.56	1225.22	728.11	291.04	379.04	295.11	633.73	684.02	764.36	665.29	884.29	353.59	536.45	186.4	186.4	392.44	417.77	775.05	642.59	555.41	780.44	543.96	642.59	591.22	514.56	684.02	684.02	476.71	638.15	540.19	738.29
MCTP1	80.57	22.43	21.94	77.79	176.29	17.0	17.38	19.53	44.89	267.73	31.67	31.45	104.42	40.93	34.26	69.03	122.64	89.51	48.18	32.82	13.62	36.53	63.45	15.45	63.0	38.12	22.92	124.37	19.39	87.65	46.84	13.32	14.45	27.84	54.33	134.3	11.3	45.85	96.01	42.71	108.14	44.57	70.01	27.44	30.78	27.84	69.03	20.86	70.51	49.91	81.14	25.35	9.13	24.99	128.79	80.01	127.0	74.58	49.56	55.1	35.76	29.06	55.89	32.13	21.47	172.65	197.09	17.51	92.05	29.48	132.44	52.82	65.72	92.05	241.19	21.47	75.11	90.77	53.57
MED12	511.0	384.34	285.03	444.72	718.08	201.25	271.48	480.04	323.03	476.71	258.57	414.87	559.28	389.72	409.15	521.76	532.74	371.22	269.6	412.0	429.54	264.03	281.09	387.02	400.71	305.55	221.86	503.95	387.02	297.17	395.18	181.28	325.29	432.53	228.13	476.71	339.14	450.94	379.04	438.59	532.74	267.73	403.5	460.44	301.33	403.5	684.02	348.71	514.56	612.11	567.1	426.57	303.44	381.68	387.02	334.46	591.22	503.95	435.55	414.87	403.5	295.11	336.79	275.28	356.05	624.99	599.49	543.96	463.65	435.55	603.67	476.71	426.57	543.96	587.13	329.84	486.75	529.06	457.25
MID1	153.34	55.1	48.52	215.77	470.14	14.89	10.08	78.89	94.67	312.0	139.07	137.14	152.28	132.44	85.82	145.02	258.57	181.28	32.59	50.27	204.07	58.71	31.22	75.11	119.26	37.59	44.57	237.86	74.06	111.99	79.45	52.08	56.68	92.7	59.55	165.57	53.19	169.07	82.87	84.63	95.34	109.66	81.14	171.45	61.68	68.55	226.54	84.63	175.07	130.6	221.86	100.13	68.55	41.81	167.9	305.55	217.27	575.03	176.29	146.03	47.5	63.89	38.95	59.13	119.26	314.17	260.38	226.54	198.47	146.03	334.46	220.32	158.79	226.54	339.14	150.17	161.02	212.78	490.14
MKL2	547.75	211.31	54.72	273.37	703.28	123.5	156.59	169.07	197.09	660.68	165.57	169.07	518.15	115.16	197.09	438.59	295.11	251.48	187.71	194.36	211.31	94.67	131.51	157.68	212.78	193.01	112.77	409.15	273.37	397.93	371.22	52.82	50.98	264.03	101.54	441.64	98.04	237.86	242.88	198.47	532.74	201.25	395.18	305.55	202.66	215.77	503.95	173.85	417.77	232.94	669.92	275.28	69.52	232.94	529.06	108.9	460.44	348.71	123.5	275.28	265.87	134.3	236.21	131.51	116.78	624.99	656.11	406.31	450.94	307.69	532.74	346.29	423.61	547.75	764.36	137.14	387.02	540.19	633.73
MMP24	32.13	9.93	10.96	30.56	36.53	3.96	7.22	17.25	18.43	35.5	6.11	29.7	36.53	24.11	23.59	37.85	18.56	20.86	15.91	8.45	41.81	24.99	6.41	14.03	19.97	7.82	14.03	31.45	19.53	14.45	19.25	6.26	24.46	37.32	31.45	33.06	16.39	26.28	41.81	13.03	130.6	15.68	30.12	40.64	35.76	19.39	12.93	14.35	55.1	23.25	53.19	21.16	10.88	23.42	31.0	8.92	31.67	100.13	7.11	17.0	53.19	19.39	21.01	32.13	7.4	39.5	46.5	46.5	26.1	36.53	71.5	53.57	47.5	39.79	64.8	27.64	20.86	36.53	80.57
MORF4L1	5479.15	4512.4	3874.05	6037.61	5219.6	2701.35	3589.58	4152.18	4123.49	7081.29	3955.48	4836.35	5831.91	3212.66	4639.29	5751.61	4543.8	4639.29	2148.82	3467.27	4802.93	3794.3	3103.19	3901.01	4095.0	3794.3	3372.43	5555.65	4095.0	5995.9	4671.57	2502.97	3768.09	4575.41	3395.89	6294.04	4181.07	4736.79	4607.24	3955.48	6037.61	4736.79	5076.84	5112.16	3349.13	3742.05	6121.9	3419.52	5329.3	4210.15	6250.56	4328.55	3081.75	4671.57	4736.79	4038.61	6887.62	5219.6	3955.48	3955.48	4543.8	4010.71	2485.67	3928.15	4123.49	7130.55	7966.99	5112.16	6935.54	5219.6	8778.97	5403.7	5872.48	7331.05	8247.98	4736.79	7695.57	6561.36	12244.81
MTPN	1508.65	748.61	226.54	934.76	1304.15	571.05	633.73	679.29	638.15	1397.83	591.22	769.69	1313.23	579.04	808.0	1119.56	988.12	941.27	647.07	698.41	866.07	616.37	518.15	723.08	802.41	575.03	447.82	1073.91	733.19	1088.92	1104.13	190.34	246.28	878.17	387.02	1397.83	358.54	759.08	629.35	785.88	1286.18	981.29	1059.11	947.83	579.04	463.65	1350.18	616.37	1268.46	723.08	1331.57	629.35	441.64	599.49	1304.15	555.41	1508.65	1268.46	480.04	836.53	825.0	460.44	543.96	460.44	397.93	1572.76	1697.45	1159.07	1340.84	896.64	1896.65	1096.5	1167.14	1639.59	1923.14	688.78	1322.37	1794.29	3146.52
MVB12B	162.14	78.89	88.26	134.3	262.2	44.57	66.18	105.15	84.04	156.59	140.04	134.3	165.57	152.28	175.07	157.68	108.9	139.07	106.63	82.87	145.02	94.67	68.55	119.26	142.01	74.58	91.41	191.67	137.14	113.56	150.17	82.87	126.12	201.25	66.18	146.03	127.89	169.07	147.06	86.43	199.85	115.16	154.42	99.43	137.14	135.24	92.05	107.38	208.38	134.3	220.32	125.24	105.15	106.63	147.06	89.51	258.57	167.9	111.21	129.69	143.01	65.72	126.12	137.14	115.97	281.09	297.17	212.78	258.57	186.4	368.65	157.68	164.42	237.86	307.69	128.79	195.72	223.41	253.23
NFATC3	376.41	164.42	142.01	185.11	297.17	114.36	180.02	161.02	147.06	361.04	105.89	172.65	314.17	155.5	149.12	228.13	218.79	164.42	191.67	237.86	277.2	133.36	158.79	182.55	221.86	149.12	120.94	271.48	198.47	287.01	323.03	82.87	82.29	170.25	123.5	346.29	83.45	147.06	115.16	156.59	316.37	116.78	269.6	283.05	151.22	173.85	400.71	150.17	316.37	187.71	368.65	242.88	105.89	193.01	318.57	169.07	316.37	287.01	89.51	221.86	258.57	96.68	164.42	136.19	161.02	397.93	381.68	339.14	368.65	242.88	351.14	303.44	307.69	368.65	441.64	175.07	242.88	283.05	607.87
NOS1AP	68.07	18.43	7.46	32.13	75.64	4.06	15.22	16.75	24.81	59.97	28.45	32.13	65.26	14.03	32.82	39.22	26.47	35.25	11.73	27.64	23.42	8.71	9.48	19.11	46.5	20.56	7.4	82.87	26.47	19.82	41.52	17.38	8.25	43.32	9.63	52.82	16.27	80.57	42.71	11.55	139.07	19.68	35.76	46.18	28.65	28.24	84.04	22.1	52.08	76.17	60.82	29.27	20.41	23.25	36.27	10.31	56.68	138.1	40.36	48.87	47.84	10.88	22.1	34.51	21.32	74.06	59.55	41.22	59.13	39.22	36.27	48.87	90.77	63.45	55.49	16.39	48.18	34.02	107.38
NOVA1	62.56	24.81	8.92	87.65	101.54	4.46	13.32	83.45	46.5	131.51	21.16	32.36	78.89	77.79	39.5	91.41	59.55	28.04	17.25	27.64	78.34	47.5	25.91	29.7	39.79	44.25	29.27	62.56	20.71	38.4	14.78	9.34	41.81	46.18	25.91	78.34	36.79	31.9	28.04	41.52	72.52	36.01	19.82	56.68	17.77	33.06	18.16	21.78	46.5	12.45	78.89	32.36	34.26	41.52	67.59	63.45	100.13	217.27	25.54	41.22	14.03	51.35	18.97	33.3	50.98	89.51	75.64	45.53	48.18	35.0	112.77	84.63	64.8	55.49	118.43	48.52	48.18	48.18	226.54
NRP1	616.37	409.15	450.94	733.19	1044.52	98.04	253.23	348.71	323.03	1697.45	387.02	265.87	733.19	503.95	312.0	567.1	708.18	1191.69	295.11	265.87	381.68	329.84	228.13	334.46	684.02	232.94	115.97	1628.26	642.59	353.59	381.68	500.46	236.21	318.57	351.14	780.44	231.32	902.89	728.11	277.2	830.75	358.54	529.06	532.74	265.87	599.49	559.28	297.17	642.59	860.08	848.22	361.04	218.79	211.31	808.0	753.83	947.83	2682.69	1023.0	432.53	981.29	204.07	221.86	273.37	379.04	848.22	1096.5	525.39	447.82	336.79	808.0	366.09	376.41	896.64	1088.92	267.73	503.95	748.61	454.09
NSD1	289.02	169.07	98.04	202.66	571.05	146.03	173.85	211.31	136.19	291.04	199.85	231.32	507.46	167.9	251.48	285.03	248.0	202.66	226.54	197.09	182.55	158.79	142.01	206.94	209.84	136.19	134.3	339.14	231.32	206.94	320.8	159.9	115.97	199.85	100.13	417.77	164.42	234.57	145.02	155.5	297.17	182.55	285.03	223.41	198.47	214.27	403.5	176.29	295.11	249.73	551.56	214.27	150.17	234.57	341.51	176.29	361.04	366.09	194.36	214.27	239.52	117.6	197.09	164.42	164.42	409.15	358.54	303.44	395.18	217.27	414.87	275.28	291.04	334.46	392.44	159.9	265.87	260.38	444.72
NXPE3	141.02	40.07	33.06	81.71	143.01	16.51	25.91	76.17	31.67	134.3	85.22	85.82	123.5	98.04	163.28	110.43	65.26	81.71	31.45	56.68	103.69	47.5	43.02	90.77	96.01	40.93	60.39	102.97	75.64	100.83	77.25	13.62	53.95	88.26	48.87	111.21	37.85	66.18	98.04	81.14	116.78	169.07	83.45	100.83	82.87	55.49	111.99	67.12	124.37	86.43	155.5	78.89	40.36	59.97	102.25	41.22	177.53	126.12	36.53	97.36	75.11	57.89	35.76	59.13	71.0	234.57	279.14	134.3	148.09	131.51	316.37	128.79	109.66	199.85	229.72	77.25	159.9	190.34	353.59
OPTN	651.58	343.89	277.2	507.46	543.96	162.14	195.72	305.55	518.15	785.88	327.56	551.56	718.08	381.68	429.54	748.61	651.58	473.41	269.6	403.5	616.37	236.21	187.71	236.21	193.01	264.03	289.02	547.75	275.28	540.19	373.81	52.45	503.95	679.29	420.68	708.18	260.38	441.64	387.02	591.22	417.77	599.49	346.29	466.88	363.56	444.72	470.14	297.17	775.05	447.82	674.59	417.77	316.37	255.0	525.39	271.48	878.17	356.05	231.32	575.03	198.47	277.2	198.47	376.41	232.94	1313.23	1143.1	825.0	967.76	656.11	1674.06	693.58	620.67	1088.92	1427.22	454.09	974.5	1051.79	1551.09
OSBPL8	457.25	139.07	70.01	157.68	503.95	171.45	144.01	172.65	154.42	480.04	173.85	167.9	406.31	171.45	255.0	239.52	267.73	182.55	117.6	239.52	178.77	153.34	131.51	151.22	167.9	165.57	147.06	392.44	171.45	368.65	351.14	61.25	88.88	185.11	121.79	438.59	89.51	134.3	395.18	190.34	267.73	232.94	301.33	191.67	108.14	120.94	295.11	120.1	327.56	175.07	444.72	224.97	82.87	135.24	429.54	146.03	460.44	723.08	312.0	241.19	149.12	115.16	206.94	148.09	127.89	463.65	587.13	346.29	395.18	201.25	684.02	265.87	309.83	447.82	825.0	194.36	271.48	429.54	825.0
