	GTEX.QDVN.0826.SM.48TZ2	GTEX.RM2N.1926.SM.48FCU	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZAB5.0426.SM.5CVMI	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.12KS4.1326.SM.5LUB3	GTEX.Q734.0326.SM.48U15	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPIC.0926.SM.4IHLV	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.139TT.0726.SM.5K7XW	GTEX.148VI.0226.SM.5RQKA	GTEX.WHSB.0326.SM.5FQSD	GTEX.13O3O.0726.SM.5J1N7	GTEX.12584.1426.SM.5EGJ9	GTEX.13FTZ.0526.SM.5IJCW	GTEX.X5EB.0426.SM.46MVY	GTEX.13N11.0326.SM.5LUA3	GTEX.ZYY3.0926.SM.5E454	GTEX.OOBJ.0526.SM.48TDK	GTEX.OXRN.0526.SM.2I5EN	GTEX.P4QR.1026.SM.2I5GP	GTEX.147F4.0926.SM.5Q5EO	GTEX.V1D1.0826.SM.3P5ZA	GTEX.ZG7Y.1026.SM.4WWDG	GTEX.YB5E.0726.SM.4VDSH	GTEX.X3Y1.0626.SM.3P5YS	GTEX.S33H.0626.SM.2XCBJ	GTEX.O5YV.0526.SM.2I5GE	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13PVQ.0926.SM.5IJFD	GTEX.N7MT.0126.SM.2D7VT	GTEX.11GSP.0726.SM.5986L	GTEX.139T6.0426.SM.5IJEM	GTEX.12696.1026.SM.5FQUV	GTEX.QDT8.0926.SM.32PL2	GTEX.U3ZH.0526.SM.3DB75	GTEX.ZYW4.1526.SM.5SIBA	GTEX.117YW.0526.SM.5H11C	GTEX.PX3G.0526.SM.2I3EM	GTEX.13FLV.0426.SM.5KLZA	GTEX.PLZ4.0726.SM.2TC6Q	GTEX.13QJ3.1026.SM.5QGQU	GTEX.OXRP.0526.SM.2I3EW	GTEX.Q734.0626.SM.2I3EF	GTEX.N7MS.0926.SM.2HMIZ	GTEX.UPIC.0826.SM.3GADQ	GTEX.XPVG.1026.SM.4B64Y	GTEX.SN8G.0926.SM.4DM5I	GTEX.1212Z.1026.SM.5EGJ8	GTEX.145MO.1326.SM.5Q5EF	GTEX.111VG.0726.SM.5GIDC	GTEX.11O72.1326.SM.5BC5A	GTEX.12KS4.0726.SM.5FQSX	GTEX.WK11.0526.SM.3NB3O	GTEX.SIU8.0926.SM.5SI87	GTEX.RTLS.0926.SM.2TF5X	GTEX.WYBS.1126.SM.3NMAM	GTEX.ZYVF.1726.SM.5E443	GTEX.OXRL.0526.SM.2I3EZ	GTEX.OIZG.0526.SM.2HMLF	GTEX.QMR6.1926.SM.32PL9	GTEX.13FHO.1026.SM.5KM1Q	GTEX.11OF3.1126.SM.5986C	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.11NUK.2426.SM.5BC4U	TCGA.AX.A2HD.11A.11R.A32Y.07	TCGA.FL.A1YV.11A.12R.A32Y.07	GTEX.RWS6.1326.SM.47JXB
THAP11	277.2	209.84	432.53	397.93	264.03	529.06	255.0	299.25	470.14	327.56	256.78	363.56	620.67	441.64	679.29	753.83	269.6	201.25	612.11	708.18	674.59	438.59	1044.52	417.77	559.28	248.0	753.83	665.29	723.08	848.22	703.28	743.43	529.06	373.81	674.59	356.05	536.45	647.07	551.56	854.13	563.18	409.15	703.28	366.09	616.37	759.08	521.76	819.3	420.68	679.29	698.41	521.76	323.03	409.15	275.28	409.15	403.5	616.37	334.46	587.13	466.88	457.25	884.29	738.29	426.57	583.07	447.82	403.5	120.1	974.5	1151.06	1143.1
THAP7	559.28	463.65	518.15	511.0	642.59	785.88	514.56	854.13	466.88	575.03	860.08	612.11	624.99	260.38	941.27	669.92	400.71	220.32	665.29	1023.0	890.44	591.22	1242.34	361.04	361.04	366.09	890.44	796.86	1331.57	1233.75	647.07	490.14	543.96	450.94	642.59	376.41	674.59	1277.29	463.65	872.1	660.68	460.44	961.07	358.54	460.44	974.5	629.35	480.04	297.17	769.69	848.22	559.28	305.55	384.34	353.59	329.84	518.15	785.88	260.38	511.0	334.46	483.38	780.44	860.08	463.65	860.08	297.17	221.86	117.6	1119.56	1963.57	2018.8
THEM6	358.54	441.64	283.05	500.46	223.41	246.28	476.71	660.68	371.22	486.75	1073.91	921.88	543.96	138.1	647.07	698.41	59.55	82.87	381.68	514.56	1104.13	195.72	961.07	152.28	287.01	99.43	432.53	460.44	638.15	551.56	567.1	1073.91	532.74	241.19	208.38	241.19	438.59	532.74	185.11	412.0	289.02	241.19	1001.93	151.22	555.41	376.41	307.69	384.34	121.79	718.08	830.75	291.04	202.66	226.54	140.04	110.43	389.72	555.41	236.21	287.01	363.56	536.45	616.37	490.14	131.51	409.15	70.51	153.34	133.36	612.11	493.56	753.83
TMEM203	866.07	684.02	660.68	890.44	438.59	896.64	665.29	808.0	603.67	647.07	819.3	848.22	684.02	297.17	896.64	1015.93	295.11	194.36	713.11	819.3	796.86	567.1	1191.69	607.87	688.78	291.04	890.44	759.08	1001.93	848.22	988.12	836.53	713.11	555.41	842.36	493.56	884.29	860.08	665.29	902.89	723.08	371.22	1059.11	409.15	718.08	921.88	679.29	819.3	387.02	1051.79	764.36	656.11	400.71	567.1	273.37	444.72	679.29	1008.9	356.05	616.37	511.0	728.11	1023.0	848.22	540.19	629.35	314.17	435.55	146.03	1225.22	1519.15	1407.55
TMEM223	351.14	346.29	341.51	529.06	228.13	293.07	358.54	490.14	403.5	353.59	432.53	412.0	366.09	181.28	587.13	511.0	211.31	123.5	371.22	460.44	409.15	242.88	693.58	205.5	325.29	149.12	441.64	514.56	480.04	432.53	503.95	447.82	400.71	273.37	262.2	211.31	406.31	414.87	273.37	305.55	295.11	197.09	529.06	163.28	363.56	432.53	305.55	361.04	145.02	473.41	486.75	277.2	305.55	215.77	205.5	189.02	368.65	466.88	234.57	325.29	351.14	373.81	384.34	470.14	158.79	318.57	198.47	194.36	139.07	591.22	612.11	1119.56
TRPT1	796.86	624.99	583.07	595.34	708.18	860.08	543.96	1551.09	575.03	748.61	1331.57	769.69	703.28	435.55	884.29	599.49	503.95	301.33	559.28	1407.55	1059.11	521.76	1295.13	490.14	547.75	376.41	1127.35	775.05	896.64	1104.13	529.06	551.56	607.87	575.03	764.36	346.29	713.11	1030.12	476.71	1023.0	733.19	595.34	915.51	389.72	698.41	941.27	450.94	603.67	395.18	1674.06	607.87	830.75	679.29	293.07	769.69	329.84	521.76	884.29	486.75	808.0	941.27	1066.48	698.41	540.19	813.63	934.76	237.86	218.79	551.56	896.64	1015.93	967.76
UCK1	275.28	389.72	366.09	780.44	262.2	493.56	409.15	688.78	647.07	316.37	825.0	525.39	511.0	323.03	612.11	748.61	176.29	228.13	460.44	669.92	733.19	303.44	967.76	295.11	507.46	256.78	647.07	599.49	733.19	764.36	514.56	483.38	450.94	583.07	591.22	339.14	679.29	921.88	329.84	620.67	480.04	409.15	915.51	267.73	493.56	642.59	532.74	728.11	441.64	674.59	579.04	376.41	409.15	312.0	293.07	189.02	432.53	743.43	583.07	486.75	493.56	599.49	688.78	679.29	555.41	607.87	307.69	277.2	115.97	743.43	1001.93	1066.48
USP19	579.04	414.87	536.45	595.34	346.29	483.38	551.56	258.57	723.08	507.46	651.58	567.1	441.64	269.6	1023.0	785.88	303.44	195.72	583.07	988.12	866.07	271.48	830.75	346.29	651.58	293.07	878.17	723.08	780.44	1037.29	723.08	693.58	579.04	490.14	941.27	371.22	884.29	909.17	638.15	785.88	591.22	389.72	915.51	447.82	698.41	616.37	651.58	1001.93	373.81	1199.98	813.63	376.41	376.41	476.71	267.73	307.69	450.94	928.3	356.05	718.08	559.28	633.73	1037.29	808.0	656.11	629.35	195.72	343.89	244.57	896.64	902.89	1242.34
VPS37D	36.01	26.28	36.53	43.94	13.22	28.24	46.84	69.03	28.04	37.59	47.17	34.26	55.49	12.0	52.45	42.41	12.0	7.4	56.28	63.0	85.22	22.26	56.68	13.83	18.84	8.38	66.18	10.0	50.27	47.84	21.63	40.36	54.33	13.83	176.29	12.18	32.13	38.4	4.7	42.71	37.32	26.47	72.01	5.19	43.63	82.87	6.78	53.19	4.1	59.97	22.75	23.93	13.32	5.41	18.97	14.35	14.14	96.01	10.39	50.98	88.26	12.09	28.65	26.67	3.44	66.65	13.22	11.3	17.13	454.09	291.04	723.08
VPS72	796.86	486.75	406.31	769.69	175.07	642.59	325.29	518.15	703.28	414.87	500.46	444.72	395.18	368.65	967.76	693.58	297.17	237.86	1111.82	896.64	896.64	470.14	1369.04	813.63	961.07	205.5	1159.07	796.86	896.64	947.83	1191.69	775.05	785.88	647.07	842.36	599.49	753.83	896.64	1417.35	961.07	813.63	438.59	1015.93	403.5	1369.04	1191.69	1119.56	941.27	540.19	1001.93	854.13	830.75	660.68	493.56	579.04	518.15	693.58	1066.48	414.87	1191.69	612.11	780.44	890.44	1127.35	1044.52	878.17	356.05	320.8	289.02	1447.15	1457.23	2240.11
WDR83	150.17	97.36	75.64	191.67	81.71	157.68	145.02	153.34	186.4	162.14	175.07	191.67	94.01	190.34	307.69	218.79	105.15	58.3	218.79	460.44	454.09	125.24	420.68	156.59	251.48	81.71	358.54	228.13	295.11	595.34	186.4	226.54	178.77	183.82	299.25	146.03	271.48	299.25	140.04	358.54	197.09	137.14	397.93	95.34	265.87	244.57	244.57	409.15	172.65	348.71	221.86	211.31	150.17	162.14	145.02	105.15	147.06	356.05	116.78	305.55	169.07	212.78	329.84	228.13	175.07	332.14	167.9	108.14	41.52	426.57	503.95	595.34
XYLT2	156.59	82.29	90.14	189.02	74.06	124.37	120.1	218.79	208.38	147.06	332.14	186.4	185.11	107.38	363.56	341.51	78.89	103.69	341.51	507.46	575.03	133.36	454.09	201.25	366.09	89.51	426.57	303.44	297.17	571.05	414.87	348.71	368.65	297.17	514.56	99.43	343.89	379.04	329.84	473.41	384.34	316.37	638.15	135.24	493.56	395.18	303.44	480.04	214.27	571.05	248.0	256.78	320.8	229.72	223.41	150.17	267.73	563.18	269.6	435.55	642.59	285.03	473.41	376.41	220.32	426.57	85.82	202.66	305.55	620.67	579.04	633.73
ZBTB12	14.14	4.1	4.03	30.56	5.36	21.78	8.19	9.78	80.57	13.52	9.93	21.01	28.24	14.67	90.14	59.97	24.99	25.35	58.71	80.57	53.95	23.25	71.5	26.67	75.11	6.94	92.7	53.57	40.36	84.04	148.09	112.77	54.33	27.64	99.43	24.81	53.19	49.56	38.4	82.29	24.99	23.25	119.26	22.75	50.98	46.18	42.71	178.77	15.91	82.87	35.25	36.01	23.42	12.27	38.95	17.0	20.11	110.43	16.39	36.27	35.5	55.49	70.51	120.94	18.97	42.11	12.36	18.56	0.95	325.29	420.68	860.08
ZBTB3	50.27	23.42	27.64	88.26	17.13	50.27	30.34	75.11	55.89	32.13	57.08	37.05	26.47	37.59	98.04	67.12	33.06	30.78	56.68	119.26	183.82	49.56	147.06	96.68	85.82	17.25	129.69	73.03	145.02	146.03	77.79	94.67	60.39	37.85	124.37	56.68	81.71	81.14	108.14	103.69	39.5	80.01	125.24	19.68	56.28	88.26	74.06	119.26	57.08	110.43	73.54	30.34	51.35	65.72	45.53	45.85	60.82	135.24	59.97	64.8	71.0	112.77	100.13	69.03	53.19	95.34	21.78	30.78	27.44	206.94	152.28	181.28
ZBTB45	96.01	40.64	45.53	87.65	73.03	68.07	86.43	49.56	155.5	80.01	169.07	116.78	51.71	72.01	289.02	241.19	84.63	46.18	143.01	303.44	244.57	99.43	395.18	83.45	129.69	47.5	312.0	265.87	358.54	281.09	173.85	194.36	152.28	123.5	221.86	178.77	267.73	246.28	165.57	221.86	155.5	80.01	384.34	120.94	173.85	209.84	206.94	303.44	68.55	281.09	265.87	100.83	79.45	105.15	68.55	89.51	158.79	234.57	98.04	162.14	132.44	157.68	332.14	214.27	127.89	224.97	62.12	96.68	49.21	490.14	379.04	406.31
ZFP41	52.45	39.5	39.5	92.05	27.05	59.55	40.36	43.32	93.35	100.83	61.25	82.87	22.43	36.53	112.77	108.9	23.08	50.27	69.03	185.11	105.15	38.12	99.43	47.84	53.95	32.82	152.28	122.64	124.37	202.66	98.73	90.14	60.82	50.63	156.59	48.52	123.5	111.99	72.52	115.16	74.58	45.53	182.55	42.41	122.64	82.29	98.04	146.03	49.21	124.37	128.79	76.17	27.44	72.52	60.39	56.28	38.95	165.57	42.41	79.45	63.45	80.01	214.27	116.78	198.47	114.36	36.53	38.12	16.15	176.29	152.28	135.24
ZMAT5	351.14	547.75	366.09	476.71	167.9	507.46	353.59	1059.11	567.1	426.57	909.17	444.72	287.01	214.27	624.99	764.36	185.11	195.72	684.02	733.19	748.61	271.48	1127.35	275.28	507.46	194.36	1030.12	674.59	1304.15	860.08	684.02	547.75	587.13	397.93	503.95	389.72	830.75	780.44	518.15	791.35	500.46	305.55	961.07	265.87	543.96	607.87	435.55	728.11	253.23	1088.92	733.19	503.95	417.77	293.07	289.02	260.38	551.56	791.35	387.02	607.87	460.44	748.61	819.3	785.88	371.22	684.02	246.28	285.03	201.25	1104.13	1051.79	1397.83
ZNF174	87.03	54.33	68.07	109.66	52.45	113.56	60.39	106.63	111.99	94.01	106.63	90.77	82.87	50.63	202.66	151.22	47.17	32.82	147.06	195.72	264.03	81.14	211.31	119.26	138.1	46.5	201.25	142.01	197.09	194.36	211.31	171.45	157.68	133.36	136.19	55.49	138.1	229.72	158.79	209.84	126.12	131.51	204.07	77.79	130.6	161.02	120.1	191.67	95.34	183.82	181.28	79.45	114.36	130.6	63.89	56.28	97.36	167.9	114.36	155.5	90.14	194.36	173.85	125.24	193.01	186.4	55.89	74.58	40.93	242.88	343.89	503.95
ZNF205	153.34	81.71	65.26	129.69	85.22	163.28	99.43	133.36	141.02	99.43	141.02	106.63	128.79	123.5	363.56	218.79	52.45	58.3	273.37	366.09	353.59	119.26	361.04	76.17	182.55	66.65	343.89	255.0	212.78	255.0	356.05	204.07	231.32	173.85	301.33	84.04	214.27	256.78	135.24	293.07	248.0	164.42	316.37	73.54	256.78	260.38	191.67	273.37	211.31	248.0	262.2	205.5	165.57	79.45	101.54	111.99	140.04	438.59	105.89	260.38	193.01	244.57	262.2	346.29	151.22	229.72	57.89	103.69	42.11	633.73	583.07	420.68
ZNF212	76.71	72.52	57.49	130.6	85.82	93.35	85.82	120.1	112.77	92.05	154.42	83.45	92.05	64.8	209.84	134.3	59.97	25.91	162.14	265.87	334.46	68.55	260.38	96.01	134.3	52.82	253.23	159.9	214.27	236.21	180.02	124.37	140.04	69.03	232.94	67.12	180.02	204.07	145.02	262.2	148.09	73.54	253.23	106.63	123.5	165.57	127.0	293.07	78.34	253.23	171.45	78.89	92.7	79.45	67.59	92.05	120.1	260.38	82.29	141.02	120.94	127.89	199.85	180.02	177.53	142.01	71.5	49.21	85.22	269.6	395.18	384.34
ZNF213	30.34	23.25	12.83	71.5	12.93	48.87	25.17	34.75	73.54	19.53	61.68	36.27	7.11	57.49	291.04	228.13	40.07	57.89	162.14	289.02	197.09	96.01	279.14	109.66	180.02	67.12	269.6	202.66	260.38	242.88	206.94	189.02	152.28	121.79	136.19	75.64	214.27	289.02	165.57	262.2	181.28	126.12	279.14	103.69	201.25	172.65	177.53	246.28	68.55	229.72	228.13	135.24	116.78	124.37	76.17	95.34	132.44	279.14	84.63	204.07	112.77	234.57	275.28	186.4	130.6	189.02	36.27	105.15	53.19	262.2	395.18	314.17
ZNF282	130.6	95.34	118.43	154.42	209.84	185.11	149.12	149.12	190.34	195.72	309.83	138.1	118.43	100.13	363.56	265.87	142.01	120.94	221.86	543.96	591.22	126.12	547.75	177.53	248.0	96.68	381.68	336.79	389.72	412.0	301.33	323.03	299.25	154.42	441.64	194.36	253.23	371.22	379.04	483.38	256.78	182.55	470.14	154.42	273.37	299.25	231.32	400.71	178.77	476.71	384.34	144.01	185.11	193.01	133.36	111.99	246.28	480.04	90.77	241.19	224.97	297.17	397.93	417.77	217.27	316.37	72.52	129.69	87.65	571.05	547.75	743.43
ZNF517	66.65	29.48	32.13	76.71	24.28	46.84	49.21	61.25	97.36	40.93	132.44	47.84	16.88	42.41	251.48	169.07	29.27	48.87	115.97	348.71	289.02	52.82	226.54	69.03	111.21	37.59	193.01	98.04	212.78	256.78	119.26	98.73	132.44	116.78	264.03	60.82	151.22	212.78	148.09	236.21	148.09	147.06	248.0	67.59	139.07	194.36	97.36	189.02	73.03	242.88	166.73	90.77	115.97	78.34	80.01	48.87	78.34	334.46	77.79	197.09	75.64	144.01	253.23	143.01	208.38	295.11	24.11	59.13	25.35	373.81	406.31	480.04
ZNF688	214.27	157.68	108.9	244.57	175.07	361.04	142.01	457.25	264.03	256.78	373.81	175.07	381.68	217.27	454.09	441.64	201.25	169.07	441.64	791.35	583.07	195.72	813.63	283.05	441.64	93.35	872.1	325.29	830.75	802.41	397.93	361.04	348.71	258.57	395.18	175.07	353.59	457.25	212.78	612.11	316.37	348.71	674.59	215.77	423.61	684.02	309.83	511.0	320.8	507.46	327.56	400.71	264.03	189.02	303.44	181.28	320.8	656.11	228.13	432.53	273.37	497.0	454.09	473.41	518.15	587.13	133.36	150.17	108.9	665.29	647.07	669.92
ZNF691	128.79	111.21	82.87	158.79	100.83	181.28	119.26	164.42	171.45	96.01	206.94	128.79	85.82	69.03	195.72	155.5	50.63	52.82	223.41	265.87	363.56	71.0	309.83	120.1	185.11	52.82	325.29	204.07	251.48	271.48	217.27	215.77	209.84	80.57	232.94	100.13	189.02	223.41	255.0	301.33	147.06	113.56	237.86	70.51	181.28	218.79	138.1	303.44	64.8	262.2	167.9	128.79	108.9	112.77	64.34	99.43	177.53	267.73	68.55	162.14	142.01	173.85	212.78	153.34	223.41	181.28	38.12	63.89	48.18	366.09	500.46	543.96
ZNF696	55.1	34.26	37.59	70.01	17.38	32.13	50.98	23.42	50.27	47.5	84.63	37.85	13.72	25.17	105.89	48.52	23.08	11.13	66.65	97.36	88.88	29.48	68.55	21.78	41.22	9.34	98.04	64.8	66.18	80.57	73.03	62.56	52.45	26.1	84.63	36.79	70.51	69.52	52.08	69.03	45.21	19.68	100.13	27.64	59.55	65.72	53.19	73.54	21.94	77.79	81.71	29.27	28.65	34.02	13.93	21.16	37.05	122.64	22.75	42.71	28.86	50.63	63.89	49.21	55.49	55.1	11.55	12.55	3.26	122.64	127.0	191.67
ZNF74	16.63	17.64	15.68	68.55	25.91	38.4	17.51	25.35	87.03	30.34	40.64	34.26	75.11	27.44	150.17	120.94	13.12	17.0	68.07	107.38	138.1	40.07	114.36	65.72	117.6	22.43	149.12	110.43	120.1	181.28	199.85	171.45	126.12	70.51	101.54	42.41	89.51	111.21	76.17	169.07	67.59	58.3	194.36	23.25	104.42	96.01	97.36	231.32	51.71	150.17	106.63	86.43	51.35	34.26	52.08	31.9	63.45	166.73	34.51	63.45	73.03	120.1	135.24	111.21	58.3	80.57	22.59	49.56	19.39	187.71	246.28	363.56
ZNF740	130.6	106.63	73.03	166.73	140.04	126.12	134.3	107.38	148.09	158.79	176.29	156.59	92.7	129.69	384.34	395.18	132.44	84.04	202.66	536.45	334.46	131.51	336.79	202.66	242.88	202.66	373.81	265.87	376.41	665.29	214.27	251.48	293.07	320.8	403.5	89.51	389.72	423.61	366.09	435.55	277.2	303.44	450.94	208.38	242.88	244.57	211.31	480.04	307.69	417.77	397.93	171.45	221.86	287.01	202.66	156.59	136.19	381.68	301.33	262.2	224.97	351.14	447.82	320.8	518.15	265.87	153.34	281.09	73.54	493.56	563.18	547.75
