	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.BT.A20X.01A.11R.A16R.07	TCGA.K4.A4AC.01A.21R.A26T.07	TCGA.FD.A43Y.01A.21R.A26T.07	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.XF.A9SH.01A.11R.A39I.07	TCGA.YF.AA3M.01A.11R.A42T.07	TCGA.FD.A5C1.01A.11R.A28M.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.BT.A42E.01A.11R.A23W.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IR.A3LC.01A.11R.A213.07	TCGA.C5.A0TN.01A.21R.A14Y.07	TCGA.C5.A902.01A.11R.A37O.07	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.JX.A3PZ.01A.11R.A32Y.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.EK.A2PL.01A.11R.A18M.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.EK.A2RE.01A.11R.A18M.07	TCGA.VS.A950.01A.11R.A42T.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.L5.A88W.01A.11R.A354.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.CV.5970.01A.11R.1686.07	TCGA.BB.8601.01A.11R.2403.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CQ.7063.01A.11R.2403.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.D6.A4Z9.01A.11R.A24Z.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.C9.A480.01A.12R.A24H.07	TCGA.HD.8634.01A.11R.2403.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.P3.A6T5.01A.11R.A34R.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CR.7394.01A.11R.2016.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.UF.A71E.01A.31R.A34R.07	TCGA.BA.5558.01A.01R.1514.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CQ.A4CD.01A.21R.A24Z.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.CQ.6229.01A.11R.1915.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.7427.01A.11R.2081.07	TCGA.CV.A6JZ.01A.11R.A31N.07	TCGA.CN.A642.01A.12R.A30B.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CQ.A4CA.01A.11R.A24Z.07	TCGA.CV.6952.01A.11R.1915.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CQ.5326.01A.01R.1873.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7423.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CC.A5UD.01A.11R.A28V.07	TCGA.DD.A3A5.01A.11R.A22L.07	GTEX.XV7Q.2426.SM.4BRV8	GTEX.11WQK.2926.SM.5EQKT	TCGA.SL.A6J9.01A.11R.A31O.07	TCGA.N9.A4Q7.01A.11R.A28V.07	TCGA.N8.A4PM.01A.11R.A28V.07
KCTD7	41.81	76.17	332.14	59.13	71.5	83.45	104.42	31.67	58.71	46.84	177.53	46.5	52.82	118.43	193.01	97.36	87.65	38.12	81.71	105.15	55.1	54.72	83.45	90.77	59.97	90.14	172.65	61.68	309.83	373.81	293.07	73.54	351.14	221.86	409.15	82.29	312.0	234.57	120.94	420.68	457.25	201.25	283.05	105.89	629.35	279.14	71.5	346.29	258.57	346.29	318.57	214.27	417.77	251.48	81.71	373.81	258.57	423.61	417.77	392.44	154.42	348.71	400.71	150.17	104.42	195.72	318.57	567.1	651.58	161.02	275.28	128.79	253.23	339.14	146.03	116.78	417.77	249.73	122.64	111.99	466.88	543.96	218.79	234.57	217.27	457.25	142.01	88.26	137.14	426.57	215.77	251.48	186.4	229.72	57.49	295.11	536.45	231.32	102.97	120.94	325.29	314.17	334.46	136.19	234.57	334.46	348.71	171.45	39.5	30.34	237.86	128.79	32.59	45.53	31.45
KIF1B	180.02	124.37	351.14	121.79	96.68	164.42	111.21	104.42	82.87	127.0	353.59	118.43	114.36	206.94	258.57	429.54	246.28	96.68	258.57	151.22	125.24	226.54	218.79	144.01	122.64	267.73	249.73	208.38	460.44	277.2	679.29	130.6	348.71	201.25	334.46	171.45	403.5	379.04	371.22	417.77	417.77	379.04	356.05	199.85	518.15	376.41	193.01	291.04	409.15	447.82	460.44	435.55	251.48	299.25	151.22	358.54	348.71	262.2	607.87	511.0	249.73	414.87	490.14	232.94	181.28	241.19	229.72	529.06	575.03	358.54	438.59	154.42	624.99	397.93	178.77	202.66	429.54	332.14	166.73	273.37	412.0	651.58	406.31	358.54	343.89	620.67	185.11	201.25	400.71	432.53	231.32	305.55	187.71	234.57	281.09	323.03	423.61	518.15	181.28	165.57	400.71	518.15	255.0	237.86	412.0	543.96	507.46	246.28	113.56	155.5	466.88	381.68	141.02	118.43	211.31
KRT17	265802.39	307450.64	425853.18	254974.66	331809.5	363097.14	282912.21	263966.36	184082.4	74243.68	381149.17	258533.99	290865.98	450134.56	472513.8	4953441.24	365622.68	254974.66	320506.81	226632.25	318292.9	462789.59	231394.29	350728.68	408505.64	381149.17	341137.96	402881.61	431797.89	475800.4	258533.99	453265.5	475800.4	408505.64	305326.92	263966.36	971597.0	542775.98	331809.5	485798.0	363097.14	400098.69	368165.8	589853.66	462789.59	428815.23	453265.5	389157.95	431797.89	466008.55	716197.51	701458.36	593956.43	437825.58	428815.23	334117.42	368165.8	343510.77	365622.68	524287.0	524287.0	348306.01	440870.9	251464.33	542775.98	336441.4	402881.61	294926.33	565825.41	645473.24	447025.24	513497.31	368165.8	373305.21	373305.21	370726.6	343510.77	425853.18	336441.4	299043.36	327241.36	397335.0	546551.29	632189.57	334117.42	242898.5	271387.49	273275.14	485798.0	450134.56	350728.68	466008.55	405683.88	443937.41	309589.14	350728.68	425853.18	331809.5	585779.24	400098.69	912837.43	273275.14	417089.23	546551.29	475800.4	258533.99	271387.49	506427.83	246.28	13.52	443937.41	472513.8	638.15	656.11	3190.46
LUZP1	109.66	107.38	226.54	147.06	95.34	241.19	161.02	172.65	96.01	84.63	320.8	131.51	92.05	130.6	208.38	242.88	157.68	150.17	115.16	232.94	133.36	144.01	180.02	136.19	214.27	334.46	234.57	105.89	307.69	193.01	638.15	78.89	318.57	256.78	441.64	170.25	309.83	246.28	466.88	444.72	486.75	363.56	341.51	236.21	363.56	591.22	142.01	426.57	267.73	273.37	368.65	320.8	406.31	314.17	201.25	595.34	551.56	1001.93	473.41	432.53	248.0	463.65	356.05	293.07	242.88	339.14	457.25	476.71	423.61	291.04	387.02	218.79	417.77	518.15	327.56	127.0	647.07	454.09	224.97	438.59	361.04	698.41	373.81	438.59	346.29	693.58	246.28	201.25	500.46	420.68	267.73	384.34	231.32	189.02	217.27	420.68	353.59	595.34	173.85	214.27	351.14	629.35	483.38	351.14	414.87	432.53	392.44	140.04	67.12	24.28	660.68	688.78	60.82	74.06	130.6
MAPK1	395.18	356.05	1167.14	460.44	341.51	559.28	460.44	325.29	239.52	291.04	819.3	379.04	351.14	483.38	1066.48	1044.52	466.88	665.29	521.76	447.82	463.65	775.05	466.88	521.76	575.03	1233.75	974.5	473.41	825.0	665.29	1991.0	1250.98	2075.59	551.56	1216.75	500.46	1340.84	813.63	928.3	1639.59	1832.01	2855.44	1674.06	708.18	2997.45	6250.56	620.67	1477.58	1378.57	1104.13	981.29	708.18	780.44	1088.92	373.81	1936.53	1651.0	1628.26	2520.38	1950.0	785.88	2739.08	1037.29	775.05	679.29	651.58	1191.69	1923.14	1216.75	819.3	1331.57	511.0	1304.15	1286.18	466.88	753.83	981.29	1081.39	507.46	1208.34	1457.23	1832.01	1721.16	1388.16	954.43	1697.45	674.59	486.75	1268.46	1781.89	872.1	1059.11	693.58	2664.15	665.29	1066.48	1529.73	2682.69	351.14	684.02	1191.69	2451.44	1233.75	723.08	974.5	1794.29	1662.49	748.61	309.83	178.77	2417.67	1733.13	155.5	201.25	155.5
MAPK6	490.14	688.78	748.61	748.61	1111.82	842.36	450.94	361.04	384.34	217.27	1628.26	138.1	629.35	470.14	954.43	3589.58	708.18	555.41	470.14	220.32	450.94	693.58	988.12	551.56	490.14	1498.22	988.12	967.76	2935.74	511.0	1340.84	961.07	2935.74	1175.27	1487.87	796.86	2119.22	1628.26	1295.13	2351.53	1936.53	1909.85	1745.2	1594.73	1896.65	1268.46	928.3	1651.0	2468.49	2485.67	1963.57	1733.13	2148.82	1551.09	248.0	2573.36	1794.29	1950.0	3768.09	2090.03	1477.58	2915.45	1487.87	819.3	866.07	563.18	1583.71	2224.63	2163.77	1369.04	1977.24	947.83	1313.23	1313.23	612.11	842.36	2018.8	651.58	521.76	1233.75	1477.58	1540.37	1697.45	1651.0	1378.57	2739.08	612.11	397.93	1388.16	2209.26	1313.23	1806.78	450.94	1088.92	909.17	1551.09	2303.12	1159.07	1208.34	928.3	1832.01	2609.3	2271.4	890.44	3103.19	2287.2	1936.53	1709.26	199.85	397.93	3768.09	2075.59	149.12	314.17	149.12
MFAP3	178.77	148.09	277.2	131.51	195.72	186.4	217.27	137.14	156.59	120.94	327.56	148.09	124.37	115.97	260.38	299.25	173.85	171.45	242.88	181.28	215.77	262.2	153.34	198.47	220.32	417.77	297.17	262.2	248.0	148.09	409.15	202.66	529.06	258.57	301.33	182.55	339.14	239.52	329.84	295.11	463.65	307.69	392.44	183.82	361.04	277.2	150.17	400.71	281.09	293.07	242.88	236.21	371.22	223.41	199.85	457.25	309.83	429.54	559.28	480.04	267.73	414.87	183.82	158.79	172.65	198.47	307.69	547.75	295.11	291.04	429.54	171.45	376.41	336.79	279.14	147.06	291.04	289.02	218.79	206.94	209.84	583.07	320.8	327.56	236.21	381.68	202.66	220.32	277.2	183.82	182.55	392.44	206.94	220.32	231.32	339.14	341.51	318.57	212.78	145.02	301.33	536.45	358.54	289.02	277.2	483.38	429.54	212.78	138.1	102.25	493.56	444.72	90.77	81.14	148.09
MTPN	387.02	647.07	1529.73	536.45	967.76	567.1	629.35	361.04	409.15	265.87	1295.13	351.14	713.11	813.63	1651.0	5751.61	684.02	518.15	629.35	514.56	764.36	389.72	941.27	497.0	438.59	896.64	1397.83	366.09	1407.55	2004.85	2193.99	1467.37	3060.45	890.44	1896.65	733.19	1896.65	1322.37	1457.23	1350.18	2627.46	1369.04	2502.97	669.92	3168.41	2032.85	743.43	1781.89	2255.7	2193.99	1733.13	1407.55	1477.58	1259.69	595.34	1896.65	1769.57	2075.59	4639.29	3614.55	1340.84	2855.44	1167.14	642.59	656.11	1143.1	1508.65	2758.13	2417.67	1242.34	1191.69	665.29	2255.7	1844.76	854.13	785.88	1909.85	1457.23	780.44	587.13	1487.87	2335.28	1250.98	1437.15	2303.12	1950.0	728.11	583.07	2520.38	1819.35	785.88	1467.37	896.64	2047.0	435.55	1487.87	1977.24	1447.15	733.19	775.05	2591.27	2148.82	2075.59	1119.56	1540.37	2816.11	1936.53	1088.92	295.11	152.28	4450.27	1963.57	260.38	220.32	229.72
NCKAP1	563.18	995.0	1977.24	738.29	967.76	1066.48	981.29	665.29	624.99	454.09	2061.24	325.29	967.76	836.53	1651.0	1936.53	1135.2	1322.37	947.83	656.11	890.44	1096.5	1487.87	954.43	733.19	1721.16	1508.65	1175.27	1794.29	1268.46	1769.57	1540.37	1923.14	665.29	1551.09	988.12	1733.13	1447.15	1733.13	1721.16	1757.34	1745.2	1769.57	1467.37	1572.76	1977.24	1225.22	1561.89	1883.54	1561.89	1427.22	1477.58	1340.84	1628.26	808.0	2047.0	1397.83	2061.24	1781.89	1909.85	1143.1	1745.2	1508.65	1199.98	1008.9	1135.2	1540.37	2047.0	1950.0	1519.15	1572.76	813.63	2148.82	1909.85	1135.2	981.29	1819.35	1359.57	848.22	1295.13	1819.35	1651.0	1781.89	1819.35	1529.73	2119.22	854.13	941.27	1781.89	2119.22	1159.07	1781.89	808.0	7589.61	1044.52	1417.35	1963.57	1857.6	1447.15	1044.52	1662.49	3280.18	1844.76	1313.23	1331.57	2720.15	1909.85	1259.69	764.36	320.8	1721.16	2645.74	521.76	346.29	543.96
NFKB1	320.8	312.0	884.29	483.38	215.77	579.04	575.03	371.22	255.0	299.25	341.51	493.56	384.34	708.18	575.03	432.53	708.18	403.5	555.41	518.15	813.63	457.25	579.04	457.25	346.29	638.15	435.55	269.6	808.0	460.44	1044.52	299.25	612.11	521.76	620.67	518.15	518.15	536.45	909.17	698.41	854.13	379.04	633.73	579.04	941.27	860.08	571.05	791.35	511.0	656.11	466.88	351.14	579.04	665.29	301.33	981.29	780.44	733.19	1023.0	728.11	669.92	607.87	674.59	718.08	638.15	718.08	890.44	872.1	547.75	543.96	785.88	480.04	651.58	981.29	463.65	620.67	860.08	791.35	620.67	540.19	470.14	1127.35	361.04	1159.07	743.43	941.27	490.14	587.13	651.58	764.36	412.0	825.0	514.56	651.58	679.29	607.87	738.29	967.76	368.65	356.05	507.46	988.12	890.44	642.59	607.87	961.07	915.51	571.05	279.14	99.43	1437.15	620.67	287.01	483.38	149.12
NRIP1	46.18	143.01	547.75	128.79	169.07	189.02	131.51	181.28	42.71	38.95	406.31	86.43	255.0	205.5	291.04	514.56	90.77	91.41	100.13	53.19	90.77	236.21	209.84	65.26	33.78	303.44	151.22	232.94	277.2	332.14	819.3	198.47	470.14	371.22	647.07	153.34	351.14	426.57	246.28	543.96	728.11	258.57	400.71	154.42	890.44	441.64	130.6	473.41	267.73	351.14	197.09	571.05	271.48	669.92	125.24	463.65	490.14	423.61	525.39	507.46	329.84	361.04	514.56	84.63	92.7	314.17	629.35	718.08	974.5	346.29	486.75	287.01	1268.46	395.18	214.27	400.71	435.55	376.41	205.5	140.04	312.0	688.78	343.89	341.51	358.54	967.76	223.41	159.9	638.15	536.45	503.95	381.68	217.27	305.55	46.18	412.0	514.56	647.07	316.37	104.42	540.19	514.56	366.09	346.29	547.75	941.27	470.14	142.01	106.63	84.63	1369.04	633.73	59.13	59.97	38.12
OTUD4	141.02	128.79	409.15	206.94	127.0	490.14	236.21	152.28	125.24	75.11	285.03	131.51	217.27	269.6	264.03	197.09	289.02	195.72	293.07	199.85	320.8	164.42	351.14	438.59	121.79	323.03	258.57	162.14	387.02	293.07	438.59	164.42	343.89	212.78	460.44	171.45	291.04	356.05	493.56	384.34	409.15	267.73	387.02	229.72	241.19	466.88	178.77	403.5	267.73	409.15	241.19	190.34	371.22	438.59	171.45	432.53	497.0	497.0	423.61	366.09	275.28	371.22	204.07	156.59	309.83	223.41	480.04	603.67	305.55	295.11	543.96	209.84	412.0	361.04	214.27	198.47	361.04	457.25	348.71	177.53	341.51	543.96	237.86	373.81	316.37	665.29	301.33	295.11	371.22	262.2	242.88	379.04	212.78	435.55	186.4	358.54	379.04	476.71	205.5	135.24	194.36	361.04	389.72	473.41	281.09	460.44	529.06	251.48	131.51	66.18	435.55	603.67	141.02	151.22	177.53
PDLIM5	460.44	356.05	1745.2	363.56	327.56	866.07	819.3	334.46	381.68	656.11	265.87	343.89	1096.5	1159.07	848.22	872.1	819.3	409.15	332.14	460.44	753.83	490.14	728.11	915.51	497.0	1051.79	860.08	470.14	1529.73	642.59	1674.06	660.68	1350.18	954.43	1081.39	616.37	2047.0	813.63	915.51	1572.76	2018.8	457.25	1066.48	555.41	2645.74	1540.37	1008.9	1909.85	1745.2	1143.1	902.89	1437.15	988.12	974.5	567.1	2367.9	1529.73	2104.58	2061.24	1639.59	947.83	1259.69	1685.71	567.1	830.75	753.83	981.29	2133.97	1605.83	1397.83	1259.69	785.88	1151.06	1781.89	547.75	928.3	2627.46	1529.73	612.11	1059.11	1487.87	3515.68	890.44	1407.55	1059.11	1883.54	540.19	647.07	1639.59	1127.35	679.29	1143.1	785.88	1059.11	981.29	1313.23	1936.53	1331.57	629.35	470.14	2018.8	1295.13	1015.93	1051.79	802.41	1183.45	1977.24	620.67	493.56	473.41	6079.61	3124.78	220.32	343.89	279.14
RAB5B	361.04	343.89	1378.57	432.53	854.13	406.31	607.87	583.07	316.37	497.0	1119.56	363.56	647.07	397.93	1447.15	4769.75	633.73	679.29	961.07	361.04	723.08	988.12	1073.91	878.17	348.71	1397.83	764.36	808.0	1322.37	848.22	1662.49	947.83	941.27	748.61	1447.15	638.15	1540.37	1427.22	1216.75	1457.23	1806.78	1628.26	1159.07	1295.13	1662.49	854.13	988.12	1233.75	2664.15	1781.89	1508.65	1709.26	1081.39	1268.46	769.69	2090.03	1167.14	1651.0	2351.53	2090.03	1001.93	1417.35	1437.15	583.07	507.46	825.0	1135.2	1991.0	1529.73	1427.22	1286.18	543.96	1417.35	1407.55	902.89	921.88	1639.59	921.88	497.0	555.41	896.64	1832.01	1628.26	1498.22	1467.37	2032.85	728.11	483.38	1359.57	1313.23	860.08	1259.69	718.08	1519.15	890.44	1369.04	1572.76	1191.69	748.61	473.41	1883.54	1508.65	2090.03	1407.55	1250.98	1832.01	2090.03	1208.34	656.11	341.51	2609.3	1806.78	218.79	249.73	429.54
RNF11	612.11	785.88	1685.71	830.75	3372.43	363.56	1008.9	759.08	988.12	518.15	1832.01	540.19	1268.46	718.08	1259.69	3349.13	1104.13	1059.11	559.28	713.11	540.19	743.43	1008.9	563.18	698.41	1819.35	1066.48	748.61	1208.34	842.36	3794.3	1127.35	5147.73	1208.34	1857.6	1030.12	3419.52	2163.77	1350.18	2835.7	2434.5	2240.11	1844.76	1487.87	3419.52	1378.57	854.13	2255.7	3303.0	2591.27	2997.45	3665.02	2319.15	1950.0	703.28	3325.99	2119.22	3060.45	4123.49	4239.45	1896.65	2032.85	2451.44	1457.23	909.17	1104.13	1662.49	3491.39	3491.39	1745.2	2434.5	981.29	2434.5	2148.82	988.12	785.88	2434.5	1183.45	703.28	764.36	2255.7	2777.33	2645.74	2148.82	1991.0	3146.52	780.44	674.59	2047.0	2627.46	1794.29	2367.9	941.27	1388.16	1857.6	2240.11	3168.41	1857.6	1111.82	941.27	4152.18	3467.27	3901.01	1745.2	2555.58	3395.89	3564.78	2255.7	490.14	555.41	2935.74	4481.23	334.46	323.03	379.04
RP11-159G9.5	15.34	11.38	121.79	14.67	12.27	16.75	27.25	12.09	4.78	15.0	62.12	4.43	18.16	5.87	90.77	253.23	28.04	24.28	19.53	16.51	22.1	23.59	22.75	32.82	24.46	47.5	52.82	20.71	57.89	25.72	73.54	48.52	62.12	13.03	83.45	11.47	96.01	48.18	39.22	141.02	139.07	65.26	84.04	23.93	109.66	60.82	29.48	42.11	105.15	84.04	31.9	74.06	62.12	72.01	27.44	108.9	98.04	75.64	125.24	128.79	24.81	74.06	35.5	13.83	16.63	45.53	38.4	199.85	82.87	71.0	148.09	5.19	70.51	102.25	26.47	17.13	69.52	48.87	25.91	28.04	31.0	186.4	59.97	68.55	51.35	148.09	17.64	28.04	132.44	23.76	15.11	37.32	28.86	80.57	6.26	72.52	105.89	89.51	19.53	22.26	80.01	96.01	121.79	71.0	54.72	146.03	173.85	48.87	3.63	4.54	208.38	305.55	10.39	8.0	7.22
SEC24A	127.89	143.01	297.17	74.06	108.14	147.06	109.66	68.07	117.6	66.18	182.55	105.89	126.12	96.68	125.24	406.31	115.97	114.36	105.15	139.07	158.79	140.04	76.71	152.28	129.69	197.09	202.66	121.79	191.67	84.04	343.89	96.68	325.29	256.78	255.0	159.9	262.2	256.78	202.66	291.04	371.22	256.78	332.14	149.12	521.76	231.32	145.02	295.11	185.11	279.14	180.02	314.17	273.37	182.55	111.99	346.29	291.04	271.48	397.93	283.05	224.97	295.11	166.73	75.64	136.19	221.86	199.85	521.76	346.29	236.21	323.03	142.01	435.55	334.46	208.38	88.88	353.59	226.54	156.59	132.44	154.42	612.11	256.78	249.73	256.78	400.71	121.79	138.1	305.55	218.79	191.67	293.07	108.14	187.71	100.83	246.28	348.71	361.04	159.9	83.45	273.37	426.57	182.55	191.67	265.87	466.88	450.94	159.9	74.58	156.59	223.41	674.59	69.52	59.97	76.17
SEC24B	127.0	142.01	460.44	156.59	163.28	189.02	246.28	163.28	120.94	122.64	265.87	100.83	201.25	232.94	406.31	387.02	253.23	139.07	255.0	105.15	246.28	144.01	262.2	185.11	153.34	358.54	253.23	155.5	447.82	289.02	366.09	190.34	351.14	189.02	361.04	208.38	389.72	295.11	327.56	389.72	470.14	204.07	361.04	289.02	583.07	486.75	180.02	409.15	320.8	358.54	234.57	318.57	323.03	403.5	236.21	457.25	366.09	307.69	444.72	429.54	285.03	312.0	329.84	186.4	258.57	316.37	376.41	503.95	529.06	312.0	414.87	214.27	406.31	470.14	173.85	273.37	480.04	400.71	275.28	241.19	295.11	583.07	197.09	490.14	297.17	463.65	229.72	346.29	503.95	325.29	220.32	389.72	214.27	547.75	211.31	339.14	435.55	490.14	287.01	149.12	403.5	379.04	457.25	381.68	279.14	473.41	518.15	242.88	102.97	86.43	417.77	954.43	111.21	139.07	153.34
SERINC5	38.4	46.5	228.13	52.08	72.52	72.01	190.34	93.35	15.11	99.43	85.82	18.03	21.16	38.12	232.94	1233.75	89.51	19.97	56.68	30.56	22.43	137.14	45.85	76.17	10.79	206.94	111.21	62.56	189.02	59.13	429.54	166.73	417.77	132.44	332.14	71.0	470.14	281.09	241.19	400.71	559.28	241.19	409.15	95.34	638.15	409.15	124.37	412.0	551.56	511.0	186.4	258.57	346.29	262.2	100.13	665.29	603.67	995.0	791.35	780.44	133.36	529.06	327.56	69.03	68.07	121.79	246.28	764.36	414.87	260.38	450.94	69.52	301.33	371.22	65.26	156.59	660.68	323.03	50.63	187.71	194.36	591.22	454.09	323.03	387.02	486.75	92.7	46.18	567.1	256.78	129.69	277.2	85.22	587.13	33.54	329.84	264.03	180.02	98.73	74.58	480.04	463.65	457.25	221.86	208.38	476.71	647.07	156.59	39.79	95.34	1175.27	629.35	36.79	15.34	31.67
SGMS2	163.28	109.66	379.04	49.21	124.37	103.69	73.54	178.77	92.05	17.0	181.28	55.89	80.57	327.56	214.27	198.47	217.27	142.01	162.14	91.41	244.57	149.12	102.97	220.32	78.89	307.69	297.17	124.37	241.19	68.07	483.38	88.26	234.57	155.5	232.94	143.01	228.13	163.28	239.52	199.85	358.54	84.63	339.14	120.1	616.37	473.41	96.01	341.51	291.04	156.59	193.01	197.09	228.13	314.17	120.1	483.38	258.57	432.53	397.93	327.56	201.25	241.19	387.02	94.01	229.72	187.71	248.0	248.0	376.41	182.55	258.57	187.71	483.38	220.32	102.97	98.73	379.04	441.64	267.73	112.77	258.57	728.11	265.87	260.38	149.12	221.86	241.19	156.59	346.29	358.54	285.03	152.28	232.94	139.07	83.45	295.11	312.0	595.34	198.47	136.19	277.2	444.72	165.57	191.67	109.66	246.28	358.54	109.66	56.68	51.71	5329.3	1104.13	39.5	44.89	78.34
SHOC2	157.68	253.23	684.02	241.19	329.84	253.23	358.54	190.34	249.73	199.85	260.38	287.01	392.44	228.13	351.14	624.99	332.14	239.52	325.29	148.09	295.11	289.02	406.31	283.05	199.85	473.41	299.25	351.14	371.22	348.71	435.55	262.2	890.44	366.09	381.68	297.17	412.0	400.71	435.55	500.46	387.02	426.57	400.71	318.57	507.46	341.51	334.46	503.95	423.61	397.93	281.09	409.15	450.94	466.88	301.33	483.38	563.18	497.0	563.18	414.87	325.29	368.65	406.31	229.72	255.0	371.22	376.41	642.59	473.41	376.41	473.41	287.01	514.56	511.0	334.46	381.68	379.04	249.73	246.28	206.94	406.31	684.02	368.65	379.04	444.72	521.76	297.17	264.03	435.55	348.71	348.71	432.53	426.57	341.51	332.14	412.0	607.87	444.72	232.94	314.17	447.82	387.02	395.18	363.56	366.09	555.41	583.07	403.5	285.03	241.19	679.29	660.68	223.41	147.06	224.97
SIPA1L2	45.85	209.84	329.84	215.77	409.15	194.36	221.86	65.72	32.82	103.69	170.25	101.54	90.14	143.01	381.68	1073.91	392.44	62.12	72.01	62.12	78.34	129.69	150.17	60.39	21.16	363.56	420.68	119.26	1369.04	825.0	599.49	447.82	199.85	312.0	571.05	119.26	454.09	420.68	61.68	616.37	500.46	287.01	343.89	293.07	224.97	38.12	204.07	463.65	563.18	441.64	185.11	909.17	444.72	173.85	185.11	291.04	291.04	353.59	376.41	400.71	289.02	518.15	289.02	190.34	71.0	178.77	273.37	536.45	299.25	470.14	497.0	130.6	656.11	395.18	120.1	607.87	575.03	181.28	183.82	45.85	381.68	406.31	206.94	231.32	642.59	567.1	90.77	59.97	633.73	181.28	318.57	466.88	56.28	403.5	329.84	255.0	466.88	211.31	373.81	56.28	1183.45	684.02	392.44	103.69	334.46	679.29	368.65	249.73	40.64	35.5	1199.98	318.57	97.36	33.78	107.38
