	GTEX.14C38.2626.SM.5RQI4	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.AACX.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.RG.A7D4.01A.12R.A33R.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.5R.AA1C.01A.11R.A41C.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.CC.A5UE.01A.11R.A28V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4627.11A.01R.1758.07	TCGA.38.4632.11A.01R.1755.07	GTEX.13D11.0326.SM.5LZXX	GTEX.ZZPU.0526.SM.5E44U	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.ZAB4.0626.SM.5CVN3	GTEX.R55G.0826.SM.2TC5U	GTEX.13FLV.0426.SM.5KLZA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.WVJS.0826.SM.4MVNR	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.77.8007.11A.01R.2187.07
MRVI1	106.63	46.84	384.34	68.55	102.97	10.24	56.68	64.34	17.38	39.22	13.83	10.39	4.35	22.43	11.47	21.32	3.5	17.13	15.0	42.71	66.18	11.3	32.36	8.13	28.24	16.51	115.97	21.16	23.42	7.17	16.75	18.16	25.91	134.3	13.62	26.28	5.06	127.89	34.26	33.78	13.62	11.3	25.72	9.34	17.77	7.0	89.51	58.3	232.94	71.5	208.38	376.41	656.11	348.71	283.05	171.45	76.71	38.4	320.8	177.53	454.09	303.44	108.9	341.51	101.54	84.63	112.77	73.03	195.72
MXRA5	27.25	332.14	316.37	16.39	187.71	0.0	57.89	44.25	8.65	67.59	5.02	5.5	3.06	8.78	3.63	1.33	1.1	1.07	2.34	35.5	38.12	2.56	6.89	1.43	12.64	5.02	40.36	4.35	9.7	2.29	1.66	8.92	8.0	63.89	0.97	11.91	0.92	126.12	22.43	47.84	18.97	20.41	10.16	18.03	102.97	35.76	142.01	171.45	177.53	33.3	185.11	51.35	1208.34	836.53	37.32	339.14	10.63	253.23	287.01	115.16	836.53	145.02	346.29	343.89	101.54	98.73	73.54	368.65	197.09
MYOCD	72.52	1.83	25.91	8.92	1.83	0.0	6.73	4.7	0.53	2.94	0.58	0.0	0.0	1.31	0.54	1.08	0.0	0.51	0.87	7.63	4.28	0.54	2.58	0.0	2.25	0.0	8.71	2.43	4.06	0.44	0.0	0.51	0.82	10.24	0.0	5.11	0.0	9.41	0.67	5.11	0.29	0.39	1.39	1.43	0.93	0.36	9.63	9.48	53.57	8.71	19.39	77.25	9.63	18.56	145.02	7.34	7.06	5.15	22.43	29.06	182.55	47.5	3.29	46.18	7.17	11.91	4.94	23.42	21.16
NOTCH3	231.32	145.02	1001.93	209.84	466.88	28.45	409.15	389.72	144.01	291.04	135.24	66.18	57.08	133.36	45.85	96.68	17.77	100.13	92.05	320.8	376.41	115.16	186.4	66.18	224.97	98.04	660.68	190.34	154.42	54.72	92.7	111.99	96.01	656.11	65.26	141.02	34.26	684.02	14.89	47.84	49.21	10.88	53.95	17.51	67.12	39.22	497.0	842.36	674.59	255.0	624.99	753.83	518.15	1104.13	1183.45	633.73	361.04	529.06	1208.34	629.35	1963.57	299.25	995.0	1023.0	212.78	486.75	775.05	909.17	384.34
NRIP2	28.86	60.39	132.44	58.3	105.15	8.99	76.17	69.03	31.9	58.71	16.39	7.69	16.15	29.91	10.16	20.11	5.54	22.92	19.25	35.5	78.34	25.72	21.94	19.68	49.56	24.46	146.03	19.53	34.75	12.55	5.23	9.27	16.51	92.7	19.68	41.52	7.17	109.66	12.09	4.86	26.86	13.83	14.24	15.34	20.41	10.16	34.02	27.25	49.56	22.43	36.27	90.77	41.81	45.21	89.51	46.5	38.67	20.86	58.3	23.76	40.93	30.34	31.45	173.85	38.67	50.98	24.99	42.41	37.32
NTN4	83.45	525.39	624.99	258.57	140.04	77.25	137.14	70.01	114.36	116.78	47.5	21.32	130.6	76.71	91.41	46.18	88.26	85.82	120.94	48.87	212.78	68.55	49.91	96.68	120.1	150.17	150.17	92.7	152.28	77.25	129.69	74.58	50.98	126.12	105.15	173.85	153.34	217.27	289.02	305.55	536.45	158.79	151.22	285.03	693.58	450.94	791.35	88.88	595.34	1857.6	921.88	2224.63	376.41	884.29	1519.15	291.04	1561.89	902.89	447.82	2240.11	2004.85	1081.39	595.34	988.12	4869.99	3124.78	1216.75	713.11	1447.15
OMD	13.12	0.74	68.55	9.34	0.74	0.0	12.74	15.56	0.0	6.73	0.0	0.0	0.0	8.45	1.48	2.1	0.0	0.0	0.0	3.66	18.84	0.39	8.78	0.37	3.29	0.0	6.62	0.0	1.6	0.87	0.0	0.0	0.0	44.89	0.33	3.63	0.0	27.84	0.97	8.38	5.28	8.06	3.99	2.76	3.53	2.73	38.4	25.91	127.89	55.89	30.56	167.9	228.13	62.12	37.85	77.79	56.68	6.11	204.07	19.53	229.72	46.18	1.79	118.43	30.78	153.34	39.22	26.67	44.89
PCDH7	27.64	1.79	74.58	8.78	3.23	0.0	8.38	4.03	1.5	3.56	0.47	13.93	0.52	2.48	1.19	0.0	0.41	0.0	0.0	6.52	6.41	0.0	3.96	0.0	4.06	0.88	7.75	0.41	1.35	2.56	0.0	0.74	0.38	18.7	1.85	1.93	0.36	8.25	0.67	1.25	3.82	2.63	1.23	0.73	25.54	20.26	33.54	11.04	53.57	22.1	36.27	281.09	400.71	77.25	48.52	193.01	0.89	4.62	102.25	43.63	289.02	45.85	10.16	108.14	7.88	12.27	16.03	42.41	49.56
PCDHGA12	20.41	15.0	120.1	36.27	29.91	1.03	21.32	38.4	4.1	19.82	6.62	4.03	1.69	8.65	3.86	5.63	0.6	0.0	2.07	18.7	23.42	3.79	31.45	3.2	16.51	3.32	43.02	3.26	10.79	2.71	0.95	5.59	2.92	27.05	8.32	4.28	1.16	60.82	15.11	24.46	21.01	11.04	19.39	5.41	11.73	15.91	70.01	19.25	153.34	56.28	40.07	49.21	228.13	53.95	323.03	92.05	67.59	111.99	305.55	120.94	417.77	86.43	57.89	341.51	93.35	68.07	297.17	80.01	48.87
PHLDB1	497.0	660.68	1001.93	909.17	514.56	55.1	281.09	299.25	206.94	208.38	64.8	392.44	81.14	114.36	56.68	88.88	62.12	107.38	275.28	343.89	320.8	73.03	130.6	253.23	153.34	96.01	373.81	94.01	246.28	149.12	60.39	92.05	125.24	503.95	47.84	141.02	178.77	567.1	49.21	231.32	156.59	57.89	93.35	46.18	87.03	38.67	1233.75	723.08	995.0	476.71	669.92	921.88	555.41	1313.23	679.29	1359.57	616.37	473.41	1044.52	713.11	1662.49	1216.75	536.45	403.5	819.3	718.08	1191.69	1199.98	769.69
PHYHIP	29.91	63.89	18.84	12.45	18.03	0.61	9.85	6.36	4.74	3.53	1.14	1.33	2.76	4.66	5.73	4.1	6.84	1.38	1.36	2.86	17.13	2.32	1.06	3.76	2.84	1.14	15.56	14.89	7.88	0.53	7.46	8.92	15.34	12.55	0.55	5.82	5.63	25.17	2.05	2.48	12.83	4.35	5.41	3.14	9.06	8.25	18.29	6.78	26.86	12.74	26.1	57.49	55.1	28.04	44.57	23.93	6.57	19.25	37.05	13.93	23.42	28.45	25.72	26.86	5.06	15.8	9.63	10.96	23.42
PLA2G5	14.45	5.59	89.51	14.56	36.79	11.38	149.12	76.71	22.26	70.51	18.7	26.28	26.86	92.7	18.03	48.18	4.1	16.75	6.36	126.12	197.09	24.63	52.08	14.35	96.68	11.3	241.19	59.55	43.94	19.39	26.28	18.16	28.24	157.68	42.41	76.71	5.45	258.57	100.83	89.51	140.04	85.82	99.43	55.1	40.36	42.71	111.21	17.51	426.57	111.21	150.17	158.79	665.29	191.67	103.69	314.17	81.71	66.18	99.43	156.59	117.6	76.17	171.45	316.37	82.87	323.03	90.14	309.83	132.44
PLEKHG5	70.01	73.03	121.79	60.82	76.17	18.43	70.51	71.0	25.35	42.71	19.11	36.53	30.12	37.59	18.97	19.39	6.89	23.42	52.82	63.45	59.13	27.64	49.56	17.13	62.56	23.42	108.9	19.11	42.11	29.48	20.86	35.25	40.93	142.01	29.27	55.1	12.93	80.01	10.0	24.28	40.93	17.51	24.28	22.59	30.12	12.83	172.65	67.59	88.88	56.28	71.5	111.99	74.58	85.22	85.22	182.55	158.79	100.83	346.29	62.56	72.52	85.82	88.26	185.11	105.89	108.14	50.63	190.34	93.35
PMEPA1	3235.01	348.71	703.28	153.34	251.48	4.62	121.79	140.04	37.85	85.82	50.98	23.93	17.13	37.32	28.45	31.9	6.31	27.84	15.34	182.55	242.88	27.64	50.98	27.64	72.52	19.39	237.86	35.25	94.01	28.24	12.83	26.67	15.8	193.01	15.11	34.75	18.56	242.88	14.03	163.28	41.81	12.09	122.64	22.59	33.06	24.99	575.03	620.67	607.87	242.88	303.44	363.56	497.0	1277.29	540.19	1883.54	121.79	769.69	759.08	698.41	1183.45	633.73	679.29	579.04	187.71	351.14	77.25	1313.23	473.41
PODN	156.59	40.64	1001.93	173.85	115.97	3.66	177.53	289.02	27.64	171.45	7.46	22.26	6.46	118.43	12.0	26.86	1.33	9.06	8.19	159.9	297.17	11.47	181.28	18.29	169.07	18.7	212.78	2.68	46.5	23.76	2.51	11.3	4.7	511.0	16.88	101.54	10.63	480.04	85.82	156.59	366.09	122.64	151.22	77.25	152.28	88.26	684.02	303.44	1111.82	412.0	813.63	921.88	3103.19	1104.13	753.83	813.63	262.2	884.29	4512.4	511.0	2485.67	1923.14	303.44	2935.74	318.57	1417.35	665.29	967.76	819.3
PODXL	1001.93	118.43	486.75	242.88	543.96	127.89	379.04	575.03	102.25	343.89	157.68	414.87	68.07	301.33	118.43	159.9	50.63	94.01	88.26	303.44	293.07	71.0	158.79	73.54	246.28	106.63	684.02	148.09	226.54	38.67	62.12	128.79	90.14	651.58	58.3	241.19	29.7	665.29	66.18	61.68	125.24	14.03	63.45	19.97	52.08	35.0	688.78	429.54	1073.91	591.22	1950.0	2451.44	177.53	1104.13	1769.57	287.01	1519.15	1628.26	1359.57	974.5	3212.66	2758.13	267.73	514.56	1304.15	363.56	1159.07	878.17	587.13
PRELP	93.35	68.55	1242.34	291.04	249.73	1.46	150.17	157.68	26.47	80.57	9.13	10.47	8.25	84.63	31.22	32.13	2.32	9.34	11.21	140.04	387.02	7.46	126.12	5.36	95.34	18.43	149.12	5.87	37.32	31.22	2.63	17.77	4.5	583.07	13.32	65.72	2.73	547.75	48.87	206.94	61.25	161.02	115.97	46.5	189.02	163.28	674.59	307.69	1143.1	599.49	151.22	1225.22	2271.4	215.77	2816.11	669.92	2956.17	157.68	1259.69	493.56	3303.0	466.88	314.17	2796.65	525.39	1909.85	2047.0	967.76	571.05
PRKG1	58.71	31.67	64.8	12.64	20.11	1.73	18.84	20.71	7.75	12.83	3.66	7.28	2.56	6.16	2.58	2.92	0.91	3.06	3.03	15.0	19.68	5.63	6.78	2.76	8.51	3.2	27.84	10.24	11.82	3.23	5.59	6.89	5.73	40.64	2.43	6.52	2.89	38.67	11.73	11.21	7.94	8.65	15.45	4.39	13.03	16.03	79.45	24.28	224.97	97.36	73.54	135.24	285.03	94.67	403.5	72.52	82.29	46.84	260.38	120.94	269.6	119.26	17.25	275.28	79.45	57.89	98.04	159.9	82.87
PRR16	47.5	15.68	50.98	6.06	26.86	1.87	53.57	41.81	10.79	59.97	6.89	11.91	3.29	13.12	3.26	19.53	2.58	8.06	9.56	29.7	51.35	5.36	29.48	5.02	9.13	9.7	45.21	10.79	27.25	7.88	11.47	15.56	39.79	130.6	1.22	6.41	4.82	84.04	6.01	38.67	4.78	7.82	6.21	1.85	5.82	0.0	35.76	19.82	144.01	29.48	72.01	46.5	256.78	68.07	127.89	62.12	56.68	71.5	156.59	81.71	111.21	120.94	37.85	146.03	32.13	27.64	94.01	98.73	112.77
PTGIR	134.3	43.94	379.04	87.65	105.15	4.31	118.43	87.65	27.64	78.34	12.74	36.01	5.68	72.52	28.45	13.22	2.34	13.52	30.34	58.71	115.97	11.55	61.25	8.78	92.05	12.18	100.83	16.75	54.72	16.63	3.5	24.28	12.45	167.9	16.39	43.32	14.14	198.47	94.01	289.02	87.65	74.58	84.04	57.89	65.26	34.75	325.29	69.03	780.44	215.77	176.29	190.34	358.54	293.07	239.52	275.28	177.53	166.73	358.54	182.55	1407.55	185.11	175.07	379.04	122.64	95.34	226.54	412.0	325.29
PTPRB	119.26	63.0	140.04	37.05	136.19	19.53	74.58	100.13	61.68	62.56	32.13	62.56	29.27	33.78	17.64	27.05	17.0	11.04	19.39	40.36	76.71	37.85	46.18	8.92	40.93	40.64	164.42	48.52	47.17	6.62	22.43	323.03	67.12	124.37	11.64	48.18	10.96	170.25	70.01	75.11	178.77	50.27	43.32	116.78	108.9	100.83	389.72	82.87	473.41	325.29	583.07	842.36	167.9	149.12	1437.15	802.41	688.78	151.22	244.57	902.89	1037.29	1268.46	183.82	291.04	825.0	785.88	1628.26	417.77	389.72
RCAN2	500.46	73.54	291.04	620.67	381.68	24.28	149.12	170.25	57.49	141.02	15.56	35.0	8.13	60.82	19.97	27.05	7.22	31.45	29.48	91.41	104.42	25.17	178.77	16.27	43.02	17.64	366.09	24.28	33.3	19.82	11.47	21.78	8.32	341.51	13.72	45.21	6.36	234.57	234.57	69.52	21.16	39.79	49.91	363.56	43.02	66.18	325.29	72.52	656.11	173.85	460.44	836.53	2032.85	688.78	2895.31	43.02	295.11	480.04	358.54	297.17	2796.65	651.58	295.11	1104.13	124.37	384.34	381.68	204.07	490.14
RHOJ	185.11	36.01	275.28	33.06	65.72	15.0	69.52	77.25	20.26	47.5	33.06	25.54	47.84	37.32	15.45	22.59	23.08	26.86	40.36	51.35	110.43	27.25	26.1	46.84	57.08	38.12	106.63	36.53	65.26	13.83	27.64	32.13	24.11	127.89	20.26	35.76	13.72	175.07	22.75	19.68	50.27	17.77	30.56	36.79	56.68	25.17	366.09	103.69	417.77	236.21	258.57	361.04	277.2	223.41	271.48	486.75	199.85	177.53	595.34	392.44	406.31	193.01	147.06	529.06	129.69	169.07	124.37	656.11	336.79
SEPT11	521.76	688.78	769.69	403.5	201.25	486.75	476.71	559.28	283.05	343.89	348.71	336.79	305.55	332.14	379.04	291.04	206.94	214.27	693.58	397.93	579.04	412.0	287.01	285.03	199.85	620.67	373.81	285.03	376.41	339.14	260.38	246.28	264.03	466.88	346.29	334.46	397.93	813.63	198.47	289.02	836.53	403.5	361.04	389.72	392.44	638.15	813.63	579.04	1369.04	536.45	2090.03	866.07	1540.37	2178.83	723.08	1651.0	802.41	1001.93	3039.3	1119.56	1936.53	1119.56	718.08	1617.0	909.17	769.69	708.18	2104.58	769.69
SGCA	205.5	20.41	423.61	41.81	104.42	0.0	96.68	53.57	19.39	32.13	5.59	2.66	10.39	66.65	21.94	16.75	1.99	5.45	5.02	115.97	93.35	13.52	32.13	7.06	21.16	7.82	61.68	10.55	26.1	22.26	3.41	24.28	4.7	206.94	2.84	61.25	1.35	149.12	20.71	61.68	30.78	120.1	177.53	3.59	73.54	34.02	392.44	85.82	1119.56	371.22	447.82	438.59	80.01	346.29	1151.06	293.07	633.73	503.95	1208.34	131.51	3081.75	511.0	366.09	5751.61	287.01	157.68	287.01	540.19	406.31
SLC5A4	8.13	1.13	4.62	0.47	2.61	0.99	3.59	6.78	0.0	2.63	2.01	0.0	0.66	2.18	1.87	1.13	0.95	0.54	2.07	3.66	0.93	0.57	3.92	0.0	1.91	1.08	9.06	5.28	2.01	0.0	2.73	0.92	1.22	3.53	0.49	1.01	0.47	4.21	1.5	0.92	2.81	1.33	0.28	0.0	1.19	0.28	17.77	2.58	13.72	10.16	11.47	17.64	1.97	4.17	13.03	20.56	11.38	4.62	21.16	4.31	29.7	11.3	2.43	25.54	9.06	15.34	13.22	30.34	12.64
SLIT2	289.02	19.25	74.58	22.26	6.73	1.51	30.78	48.18	18.16	18.97	4.82	2.48	0.78	12.64	8.78	40.07	0.66	16.03	9.93	15.91	41.22	1.55	37.59	7.0	15.0	3.47	52.08	6.78	7.34	2.56	3.2	3.32	2.05	65.26	2.34	10.0	1.25	63.0	2.86	28.45	5.15	28.04	21.01	0.14	40.64	7.17	343.89	34.26	688.78	277.2	559.28	836.53	119.26	185.11	262.2	186.4	361.04	211.31	819.3	1216.75	1651.0	599.49	101.54	1508.65	376.41	351.14	195.72	713.11	299.25
SLIT3	376.41	53.95	921.88	305.55	356.05	4.78	59.97	46.5	34.51	69.03	16.63	6.94	10.63	35.25	6.84	18.16	2.05	10.55	21.47	43.94	63.0	21.78	36.53	46.5	39.22	17.25	138.1	18.03	40.93	8.19	5.96	5.54	42.41	84.04	15.68	22.43	5.54	127.89	15.34	23.76	10.55	8.58	48.18	12.36	63.89	14.67	397.93	78.89	802.41	287.01	642.59	348.71	688.78	555.41	521.76	215.77	116.78	830.75	2178.83	928.3	5403.7	486.75	361.04	3564.78	329.84	703.28	718.08	1225.22	743.43
SRL	379.04	6.89	8.25	4.46	21.32	1.35	4.9	11.04	0.0	3.38	6.41	0.85	2.12	2.51	0.97	3.0	0.52	2.01	1.64	3.14	2.81	3.82	1.79	0.52	4.39	5.06	8.78	3.63	2.29	0.44	1.93	1.27	1.17	7.17	3.5	3.92	0.44	9.56	0.93	4.82	7.75	1.77	6.16	2.71	7.69	4.06	15.8	2.14	27.44	5.15	21.94	117.6	19.82	19.82	17.9	14.03	13.12	6.62	35.25	34.51	46.84	10.16	29.7	42.71	4.98	17.64	3.26	20.86	15.22
SSC5D	166.73	26.86	136.19	47.17	28.45	0.89	32.59	38.4	6.21	25.54	0.99	5.87	1.51	12.27	4.28	3.17	0.87	0.84	2.86	35.5	33.06	1.68	19.39	3.92	13.12	2.63	24.99	2.63	12.36	3.32	1.14	2.89	1.73	61.68	2.61	9.27	1.03	71.5	7.94	64.34	33.3	29.7	38.4	16.51	62.56	29.06	187.71	94.67	293.07	58.71	87.65	74.58	1498.22	629.35	82.87	656.11	115.97	48.52	1572.76	138.1	476.71	157.68	104.42	441.64	34.75	228.13	325.29	447.82	224.97
ST8SIA6	6.31	1.06	0.8	1.75	0.35	0.0	5.06	3.82	0.0	0.0	0.25	0.0	0.0	0.83	0.22	0.64	0.0	0.0	1.35	0.23	5.15	0.0	0.87	0.0	0.22	0.0	6.94	0.0	0.74	0.0	0.0	0.0	0.0	2.84	0.16	0.89	0.0	8.32	0.0	1.85	5.15	6.89	1.11	2.63	8.99	10.71	32.36	4.13	74.58	57.08	64.34	397.93	30.56	14.14	35.0	100.13	297.17	18.56	10.71	102.97	50.98	54.72	52.08	176.29	54.33	29.48	29.48	65.72	48.52
SUSD5	1.79	4.7	34.75	9.34	6.16	0.49	7.63	4.28	0.49	3.76	0.0	4.62	0.58	0.49	1.28	0.57	0.0	0.0	1.5	7.17	8.32	0.0	6.94	0.0	0.52	1.38	17.9	2.25	2.73	0.72	0.45	0.47	1.71	18.43	0.0	2.81	0.71	18.7	0.0	8.65	3.11	1.28	1.16	0.67	14.03	0.65	8.19	15.34	57.89	11.73	42.41	285.03	63.45	23.76	51.71	3.76	32.13	7.22	37.85	32.36	73.54	59.13	13.22	80.57	6.31	38.12	19.53	3.72	17.0
SYT11	236.21	90.14	246.28	57.89	60.39	8.85	53.95	52.82	19.39	36.01	13.93	46.5	8.51	21.47	27.05	15.34	4.24	6.57	33.3	20.86	47.17	11.91	35.25	19.39	25.54	14.56	71.0	21.78	12.09	6.21	12.36	17.77	19.39	73.54	7.75	20.26	8.38	125.24	9.06	17.25	26.28	5.92	23.42	9.56	38.12	23.42	157.68	90.14	366.09	204.07	138.1	255.0	209.84	346.29	878.17	148.09	206.94	176.29	312.0	195.72	387.02	92.7	112.77	163.28	106.63	156.59	78.34	279.14	191.67
TEK	89.51	26.28	159.9	39.79	161.02	6.16	54.72	102.25	9.34	47.84	27.25	5.23	17.38	26.86	4.74	19.97	7.69	4.58	4.54	25.72	52.08	14.56	25.72	3.76	36.27	24.81	115.16	15.22	19.97	2.1	13.03	12.45	7.75	115.97	5.45	31.0	4.1	113.56	7.57	24.99	154.42	21.78	15.56	62.56	241.19	159.9	255.0	48.87	559.28	334.46	642.59	1397.83	76.17	92.7	733.19	376.41	674.59	379.04	295.11	551.56	1066.48	878.17	57.89	255.0	624.99	269.6	698.41	486.75	287.01
THBD	1909.85	271.48	629.35	125.24	363.56	43.32	92.7	149.12	30.56	72.01	49.21	34.26	17.13	73.54	22.26	39.22	9.13	19.39	35.5	66.18	114.36	27.05	80.01	18.43	56.68	33.06	198.47	19.68	85.82	7.51	7.88	74.06	68.55	209.84	16.75	66.65	9.56	220.32	46.84	166.73	299.25	49.56	72.52	21.32	165.57	75.11	785.88	133.36	1685.71	878.17	854.13	2796.65	587.13	890.44	1870.53	633.73	3235.01	842.36	1487.87	1832.01	8421.31	1059.11	249.73	1225.22	909.17	603.67	1923.14	2537.92	1268.46
TIAM1	98.04	151.22	157.68	37.32	49.91	18.16	58.71	35.76	13.72	29.48	32.13	24.11	17.51	30.56	23.59	38.67	27.44	13.32	35.5	16.27	18.29	15.22	11.91	4.31	32.13	8.38	42.71	25.54	23.76	5.41	10.55	63.89	25.17	36.79	11.3	15.22	31.9	94.67	180.02	105.15	72.52	77.79	68.07	44.89	99.43	79.45	193.01	15.56	86.43	71.5	84.04	248.0	94.67	76.17	22.92	165.57	316.37	65.72	249.73	121.79	98.73	68.55	186.4	189.02	172.65	209.84	127.89	260.38	105.15
TMEM119	420.68	57.49	909.17	239.52	447.82	0.58	139.07	133.36	20.56	100.13	7.63	10.16	6.52	15.34	14.03	2.92	0.56	3.38	17.25	56.28	264.03	5.15	22.59	7.17	33.06	18.43	190.34	3.86	36.79	11.21	4.21	7.4	7.4	146.03	5.45	26.47	4.31	379.04	2.18	22.26	15.56	26.86	66.65	2.94	49.21	13.93	583.07	279.14	1051.79	368.65	651.58	395.18	2520.38	2720.15	358.54	2855.44	255.0	928.3	5219.6	497.0	1359.57	1963.57	2627.46	1359.57	1508.65	1340.84	665.29	1417.35	1322.37
TMEM173	1295.13	503.95	1447.15	444.72	1001.93	96.68	447.82	450.94	119.26	435.55	170.25	229.72	74.58	291.04	169.07	128.79	44.57	58.3	258.57	289.02	414.87	110.43	223.41	77.79	325.29	121.79	612.11	102.25	130.6	59.97	124.37	166.73	100.83	819.3	105.15	205.5	65.72	1023.0	172.65	239.52	356.05	148.09	226.54	134.3	279.14	182.55	2434.5	476.71	3901.01	2090.03	2739.08	2351.53	3614.55	981.29	1225.22	1073.91	2271.4	1407.55	2835.7	1277.29	6887.62	2335.28	1721.16	2627.46	1561.89	2664.15	1313.23	2720.15	2627.46
TSHZ3	102.25	19.97	84.63	15.11	37.59	4.06	22.1	22.75	10.0	15.0	6.31	11.73	3.89	8.32	7.88	4.7	1.91	2.66	13.52	13.83	23.08	4.54	8.19	3.47	11.73	3.59	24.46	7.75	10.08	3.29	3.29	10.47	5.59	39.22	3.44	10.0	3.23	49.21	7.34	9.78	14.89	14.56	9.27	9.85	14.35	9.7	77.79	23.08	59.97	59.13	43.32	52.08	173.85	119.26	122.64	112.77	28.24	42.11	175.07	43.02	255.0	47.17	60.39	119.26	14.14	26.1	56.28	116.78	93.35
TSPAN2	343.89	22.75	165.57	14.78	38.95	2.32	25.91	23.25	2.32	21.63	4.54	6.11	1.03	9.34	8.78	5.54	1.51	1.5	14.24	13.42	26.1	8.99	2.36	37.85	9.93	2.18	64.8	3.26	15.8	3.82	4.28	2.51	0.75	21.47	3.44	6.06	0.0	57.08	3.79	27.84	15.91	6.41	10.47	1.16	8.78	31.9	88.88	51.71	281.09	127.0	366.09	567.1	414.87	183.82	220.32	71.5	62.56	119.26	303.44	137.14	246.28	239.52	129.69	98.73	44.25	40.36	45.53	142.01	163.28
UNC5C	88.88	1.48	8.32	1.36	1.85	0.44	9.48	8.38	1.53	6.01	2.12	1.06	1.85	3.59	1.22	2.2	0.0	0.77	0.75	6.01	8.19	1.57	3.35	1.11	2.73	2.12	10.47	2.16	3.59	0.66	1.06	1.43	2.53	12.74	0.69	2.71	0.36	17.13	2.1	5.73	3.32	2.36	13.42	3.35	7.4	8.99	27.64	16.75	38.4	15.68	24.63	62.56	110.43	108.9	40.07	45.21	13.62	31.22	186.4	46.5	53.95	24.28	12.83	56.28	15.22	21.63	22.1	93.35	37.32
VCAN	981.29	3325.99	1508.65	1397.83	2090.03	2.94	273.37	318.57	325.29	236.21	9.41	260.38	16.51	100.83	22.92	17.9	4.62	3.66	35.0	231.32	376.41	7.69	155.5	265.87	136.19	16.15	438.59	6.01	66.65	17.51	6.01	28.86	15.56	656.11	7.17	65.26	30.56	563.18	193.01	60.39	46.18	3.69	72.01	35.25	31.45	9.7	571.05	567.1	954.43	429.54	1977.24	376.41	2367.9	2367.9	1001.93	954.43	267.73	2090.03	1709.26	1096.5	1359.57	376.41	2255.7	368.65	532.74	271.48	190.34	842.36	1208.34
VEGFC	49.91	141.02	269.6	77.79	255.0	38.67	127.0	159.9	39.22	125.24	24.63	34.26	22.59	96.01	40.36	61.25	18.03	37.05	55.1	101.54	211.31	48.52	38.67	35.25	76.71	31.67	239.52	59.97	117.6	25.54	17.9	47.5	48.52	212.78	25.72	77.79	25.91	206.94	64.8	42.71	19.97	40.07	45.21	28.45	45.53	45.85	162.14	114.36	186.4	138.1	159.9	146.03	193.01	176.29	221.86	117.6	155.5	211.31	161.02	215.77	1183.45	108.14	73.54	295.11	126.12	67.59	154.42	521.76	204.07
