	TCGA.DM.A28G.01A.11R.A16W.07	TCGA.KN.8419.01A.11R.2315.07	TCGA.KM.8438.01A.11R.2315.07	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KO.8405.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KM.8441.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	GTEX.QDVN.1626.SM.48TZC	GTEX.Y5V6.2026.SM.5IFHO	TCGA.B0.5117.01A.01R.1420.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.B8.4621.01A.01R.1503.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.GL.A9DE.01A.11R.A37K.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.UZ.A9PO.01A.11R.A38C.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.A4.8517.01A.11R.2404.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.R5.A805.01A.11R.A36D.31	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.D7.A4Z0.01A.22R.A251.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.VQ.A94U.01A.12R.A414.31	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.E8.A417.01A.21R.A23N.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.EL.A3T3.01A.11R.A22L.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.FY.A3BL.01A.11R.A19O.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.E8.A419.01A.11R.A23N.07	TCGA.EL.A3ZT.01A.12R.A23N.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.EM.A2CM.01A.11R.A180.07	GTEX.Y3I4.0226.SM.4TT27	GTEX.14AS3.0226.SM.5Q5B6	GTEX.PWOO.0926.SM.2I3EC	GTEX.V1D1.0926.SM.4JBHQ
PHOSPHO2	97.36	50.63	24.11	59.55	70.51	41.81	37.32	40.36	46.18	85.82	42.71	77.25	64.8	97.36	80.01	138.1	36.27	63.89	37.85	58.71	138.1	87.65	49.56	45.21	110.43	65.26	22.1	44.89	69.52	40.64	104.42	75.64	241.19	67.59	60.82	80.01	80.01	45.53	110.43	119.26	82.87	90.77	170.25	84.63	99.43	177.53	99.43	81.14	102.25	64.34	122.64	115.16	123.5	146.03	111.21	105.89	130.6	83.45	40.64	108.14	80.01	54.33	100.83	105.15	67.59	94.01	114.36	57.89	105.89	144.01	212.78	127.89	214.27
PI4KB	753.83	769.69	764.36	890.44	928.3	1191.69	813.63	1081.39	819.3	620.67	723.08	1081.39	830.75	1051.79	802.41	713.11	743.43	679.29	348.71	698.41	1059.11	1001.93	748.61	571.05	848.22	928.3	571.05	620.67	769.69	698.41	543.96	743.43	616.37	665.29	718.08	738.29	915.51	575.03	738.29	769.69	1081.39	890.44	759.08	1286.18	669.92	1331.57	1340.84	1208.34	1143.1	981.29	1417.35	1088.92	1397.83	1104.13	1151.06	1369.04	1662.49	1295.13	1081.39	1378.57	1104.13	934.76	1259.69	1167.14	1295.13	1313.23	1277.29	1191.69	1143.1	1651.0	1950.0	1662.49	2434.5
PIBF1	356.05	194.36	137.14	136.19	65.72	214.27	92.05	64.34	127.89	100.13	77.79	176.29	51.35	226.54	148.09	113.56	169.07	299.25	158.79	173.85	279.14	163.28	132.44	70.51	167.9	343.89	249.73	198.47	24.99	102.97	157.68	193.01	170.25	142.01	167.9	84.63	191.67	88.26	177.53	194.36	312.0	379.04	291.04	435.55	148.09	314.17	246.28	112.77	426.57	283.05	291.04	325.29	314.17	246.28	271.48	463.65	353.59	435.55	698.41	267.73	287.01	236.21	253.23	339.14	423.61	384.34	343.89	183.82	366.09	400.71	283.05	348.71	320.8
PIGL	759.08	164.42	178.77	161.02	131.51	295.11	253.23	299.25	239.52	258.57	186.4	198.47	212.78	211.31	185.11	176.29	323.03	587.13	99.43	312.0	371.22	320.8	358.54	244.57	236.21	698.41	110.43	299.25	176.29	441.64	205.5	226.54	283.05	161.02	224.97	376.41	291.04	314.17	432.53	376.41	642.59	473.41	607.87	447.82	334.46	571.05	551.56	255.0	713.11	796.86	1143.1	583.07	995.0	497.0	587.13	633.73	591.22	836.53	215.77	642.59	486.75	698.41	878.17	866.07	1508.65	928.3	473.41	289.02	470.14	454.09	679.29	500.46	583.07
PLA2G4B	189.02	8.65	51.35	46.18	21.78	47.84	129.69	125.24	84.04	49.91	105.15	47.5	127.0	31.0	16.88	11.82	164.42	21.47	39.22	41.22	94.01	86.43	51.71	8.25	81.71	201.25	31.45	21.94	18.03	49.56	42.41	24.46	18.29	44.89	25.54	40.93	76.71	28.24	273.37	115.16	255.0	172.65	275.28	353.59	336.79	251.48	81.71	102.97	127.0	100.13	283.05	163.28	307.69	78.89	181.28	532.74	182.55	384.34	121.79	287.01	183.82	59.55	72.52	309.83	454.09	403.5	97.36	28.24	279.14	320.8	583.07	497.0	679.29
PLA2G6	583.07	571.05	289.02	197.09	152.28	334.46	536.45	642.59	579.04	376.41	497.0	149.12	397.93	181.28	447.82	147.06	620.67	217.27	43.94	241.19	295.11	551.56	255.0	119.26	248.0	2271.4	205.5	237.86	146.03	218.79	249.73	156.59	111.21	163.28	110.43	323.03	244.57	237.86	361.04	255.0	624.99	698.41	802.41	1208.34	329.84	775.05	346.29	229.72	1008.9	454.09	1745.2	854.13	1508.65	563.18	1191.69	1487.87	967.76	1467.37	532.74	928.3	656.11	450.94	769.69	1617.0	3515.68	1883.54	490.14	251.48	575.03	2255.7	3690.52	1388.16	3982.99
PLEKHH1	1378.57	221.86	379.04	363.56	158.79	269.6	483.38	665.29	397.93	334.46	616.37	232.94	529.06	232.94	231.32	182.55	660.68	109.66	87.03	305.55	171.45	239.52	212.78	201.25	466.88	1088.92	180.02	708.18	199.85	295.11	246.28	248.0	339.14	248.0	132.44	395.18	108.9	251.48	241.19	447.82	480.04	633.73	738.29	1417.35	353.59	2148.82	1167.14	480.04	1208.34	2104.58	2591.27	1304.15	2701.35	2133.97	2468.49	2400.97	1447.15	1119.56	389.72	1709.26	3081.75	669.92	2875.3	1617.0	2303.12	1529.73	1896.65	1159.07	1519.15	3955.48	2075.59	4802.93	5183.54
PLXNB1	3372.43	457.25	603.67	651.58	363.56	1427.22	209.84	753.83	629.35	595.34	94.01	878.17	620.67	1313.23	1199.98	1151.06	547.75	3124.78	470.14	1909.85	1769.57	2178.83	1977.24	2163.77	1709.26	10084.54	1407.55	1757.34	1208.34	1572.76	1378.57	3103.19	1191.69	1769.57	1135.2	2209.26	2875.3	2997.45	902.89	1191.69	1487.87	1250.98	2895.31	3280.18	450.94	2555.58	915.51	1870.53	2468.49	1059.11	2816.11	1769.57	2682.69	1407.55	1936.53	3081.75	2875.3	5183.54	1685.71	3303.0	1806.78	1066.48	1963.57	3742.05	7280.4	3794.3	1950.0	836.53	2956.17	2119.22	3395.89	2133.97	3124.78
PNISR	2758.13	819.3	400.71	500.46	325.29	866.07	480.04	341.51	518.15	688.78	406.31	620.67	351.14	743.43	486.75	457.25	698.41	543.96	463.65	543.96	1242.34	1417.35	457.25	205.5	629.35	2367.9	647.07	511.0	190.34	547.75	406.31	514.56	518.15	363.56	341.51	629.35	836.53	409.15	1119.56	2047.0	4066.71	2224.63	3395.89	3928.15	921.88	2664.15	2104.58	1151.06	2485.67	1857.6	4268.94	2255.7	3540.14	1331.57	1977.24	3168.41	2163.77	2573.36	1594.73	2351.53	1167.14	1388.16	1437.15	3168.41	4972.34	3467.27	1295.13	1225.22	2255.7	2287.2	5913.33	2163.77	4095.0
POGZ	842.36	248.0	228.13	275.28	204.07	361.04	220.32	215.77	291.04	229.72	356.05	409.15	212.78	423.61	251.48	373.81	314.17	316.37	327.56	363.56	733.19	723.08	231.32	166.73	293.07	1250.98	211.31	334.46	169.07	381.68	237.86	358.54	232.94	232.94	167.9	392.44	414.87	229.72	441.64	934.76	1397.83	890.44	825.0	1757.34	532.74	947.83	599.49	525.39	1059.11	559.28	1359.57	616.37	974.5	620.67	698.41	830.75	1242.34	830.75	819.3	928.3	500.46	426.57	669.92	1143.1	1936.53	1225.22	638.15	334.46	759.08	1015.93	1844.76	1331.57	1883.54
PPIL4	518.15	307.69	269.6	348.71	173.85	368.65	224.97	156.59	236.21	348.71	199.85	490.14	193.01	454.09	253.23	384.34	239.52	267.73	536.45	269.6	406.31	426.57	260.38	149.12	283.05	295.11	275.28	275.28	100.83	223.41	251.48	256.78	267.73	275.28	255.0	279.14	379.04	199.85	339.14	447.82	518.15	389.72	551.56	525.39	262.2	529.06	463.65	329.84	674.59	351.14	665.29	579.04	423.61	466.88	423.61	500.46	470.14	571.05	733.19	575.03	343.89	376.41	368.65	525.39	575.03	571.05	450.94	403.5	521.76	674.59	713.11	426.57	738.29
PPP2R3B	163.28	57.08	76.71	74.58	58.71	134.3	94.01	134.3	85.82	51.71	50.63	78.89	126.12	43.32	59.13	30.12	141.02	70.01	35.76	42.41	56.28	68.55	81.71	62.12	22.59	151.22	34.75	55.49	34.75	39.5	171.45	41.52	96.01	50.63	113.56	48.18	73.03	75.64	177.53	46.84	103.69	69.03	118.43	151.22	80.57	183.82	145.02	80.01	140.04	202.66	117.6	53.19	140.04	60.39	97.36	271.48	131.51	146.03	86.43	154.42	167.9	166.73	228.13	204.07	269.6	253.23	76.17	123.5	293.07	137.14	265.87	158.79	205.5
PPWD1	769.69	177.53	147.06	295.11	176.29	253.23	273.37	147.06	232.94	343.89	163.28	218.79	269.6	258.57	239.52	183.82	432.53	253.23	226.54	218.79	825.0	387.02	154.42	102.97	265.87	587.13	121.79	181.28	202.66	229.72	148.09	185.11	256.78	185.11	120.1	248.0	281.09	215.77	351.14	579.04	1407.55	563.18	587.13	1023.0	409.15	555.41	429.54	303.44	583.07	490.14	866.07	414.87	579.04	387.02	490.14	595.34	543.96	563.18	551.56	559.28	323.03	412.0	470.14	753.83	915.51	854.13	305.55	336.79	612.11	909.17	1295.13	708.18	1199.98
PRPF3	1081.39	287.01	183.82	198.47	171.45	343.89	236.21	299.25	366.09	293.07	193.01	285.03	249.73	316.37	187.71	172.65	381.68	246.28	297.17	275.28	1225.22	616.37	356.05	158.79	387.02	1277.29	376.41	320.8	193.01	325.29	264.03	255.0	341.51	316.37	204.07	403.5	318.57	366.09	866.07	791.35	1628.26	728.11	967.76	1477.58	470.14	1073.91	703.28	476.71	921.88	921.88	1135.2	884.29	1175.27	571.05	698.41	961.07	854.13	1191.69	802.41	780.44	684.02	718.08	775.05	1259.69	1572.76	1242.34	616.37	571.05	848.22	1259.69	1519.15	1397.83	2104.58
RAD52	256.78	57.08	52.82	42.71	50.98	141.02	55.49	84.04	57.89	70.01	83.45	75.64	60.82	114.36	99.43	142.01	164.42	130.6	50.27	267.73	500.46	165.57	182.55	94.67	166.73	647.07	54.72	86.43	74.58	208.38	40.64	177.53	91.41	94.67	46.84	212.78	116.78	253.23	159.9	248.0	341.51	244.57	271.48	366.09	130.6	285.03	133.36	220.32	206.94	224.97	406.31	178.77	202.66	176.29	205.5	224.97	325.29	395.18	206.94	392.44	169.07	249.73	256.78	283.05	728.11	318.57	152.28	94.67	248.0	395.18	836.53	599.49	529.06
RBM5	2485.67	567.1	435.55	791.35	414.87	775.05	665.29	486.75	884.29	909.17	624.99	703.28	825.0	718.08	583.07	583.07	1295.13	954.43	536.45	884.29	1819.35	1594.73	1008.9	397.93	909.17	3820.7	438.59	551.56	497.0	753.83	713.11	830.75	591.22	780.44	417.77	872.1	836.53	1199.98	1498.22	1832.01	3395.89	2018.8	2148.82	2434.5	1191.69	2627.46	1369.04	896.64	2240.11	1662.49	3491.39	1594.73	2682.69	1639.59	2004.85	2502.97	2163.77	3212.66	1628.26	2075.59	1359.57	1286.18	1745.2	3146.52	4268.94	3303.0	1313.23	1286.18	2224.63	2682.69	5006.93	3081.75	4736.79
RCOR3	591.22	275.28	205.5	351.14	249.73	435.55	187.71	202.66	220.32	248.0	218.79	547.75	183.82	607.87	490.14	409.15	271.48	323.03	318.57	432.53	693.58	599.49	264.03	307.69	536.45	595.34	297.17	457.25	239.52	373.81	395.18	366.09	356.05	277.2	348.71	490.14	473.41	289.02	426.57	555.41	884.29	532.74	529.06	1208.34	417.77	884.29	878.17	743.43	836.53	825.0	1030.12	934.76	802.41	848.22	884.29	848.22	1088.92	764.36	651.58	1037.29	543.96	679.29	780.44	802.41	1191.69	791.35	660.68	547.75	909.17	825.0	1233.75	928.3	1127.35
RNF214	327.56	320.8	329.84	366.09	176.29	403.5	176.29	339.14	248.0	316.37	237.86	389.72	323.03	414.87	269.6	341.51	353.59	400.71	248.0	237.86	417.77	351.14	295.11	253.23	318.57	343.89	206.94	420.68	241.19	256.78	255.0	339.14	249.73	244.57	277.2	299.25	275.28	228.13	353.59	293.07	368.65	336.79	318.57	444.72	397.93	483.38	518.15	463.65	303.44	346.29	466.88	339.14	373.81	373.81	332.14	447.82	379.04	555.41	346.29	387.02	303.44	406.31	281.09	384.34	551.56	441.64	314.17	332.14	438.59	511.0	599.49	511.0	665.29
RNPC3	591.22	165.57	140.04	112.77	163.28	262.2	231.32	56.28	162.14	341.51	262.2	226.54	116.78	297.17	136.19	169.07	244.57	260.38	110.43	147.06	392.44	376.41	199.85	38.4	158.79	698.41	96.68	127.89	85.82	132.44	183.82	194.36	234.57	127.0	95.34	172.65	301.33	96.01	206.94	348.71	633.73	366.09	684.02	480.04	218.79	559.28	314.17	438.59	848.22	518.15	1259.69	559.28	775.05	373.81	384.34	785.88	633.73	753.83	400.71	684.02	318.57	780.44	497.0	1167.14	2148.82	974.5	363.56	460.44	356.05	532.74	1135.2	547.75	947.83
RP11-1212A22.4	2319.15	438.59	571.05	141.02	684.02	555.41	1259.69	825.0	718.08	890.44	312.0	260.38	780.44	187.71	221.86	244.57	2609.3	743.43	77.79	381.68	1457.23	733.19	669.92	244.57	660.68	1617.0	743.43	172.65	163.28	316.37	343.89	536.45	518.15	217.27	273.37	651.58	358.54	486.75	759.08	309.83	1437.15	279.14	1143.1	915.51	540.19	1605.83	836.53	503.95	1340.84	1059.11	995.0	981.29	1909.85	1135.2	896.64	1233.75	1008.9	1259.69	967.76	1407.55	1096.5	1417.35	802.41	1467.37	3190.46	1832.01	738.29	802.41	1151.06	921.88	3190.46	2335.28	2664.15
RSRC2	1721.16	1819.35	928.3	1378.57	995.0	1233.75	1001.93	591.22	848.22	1104.13	1119.56	1467.37	830.75	1477.58	764.36	915.51	1183.45	1044.52	647.07	1037.29	1175.27	1417.35	620.67	872.1	1111.82	1216.75	723.08	1088.92	435.55	1322.37	1175.27	764.36	909.17	854.13	802.41	1183.45	1111.82	974.5	947.83	1508.65	1639.59	1388.16	1923.14	1697.45	651.58	1819.35	1143.1	1111.82	1685.71	1191.69	2148.82	1639.59	1457.23	1259.69	1286.18	1467.37	1487.87	1447.15	1674.06	1304.15	848.22	1250.98	1322.37	1794.29	1977.24	1870.53	1199.98	934.76	1477.58	1605.83	2163.77	1963.57	2303.12
RWDD3	674.59	195.72	190.34	166.73	195.72	432.53	162.14	291.04	215.77	177.53	175.07	426.57	167.9	486.75	256.78	211.31	193.01	237.86	450.94	220.32	500.46	435.55	251.48	177.53	305.55	435.55	265.87	334.46	242.88	285.03	246.28	224.97	460.44	295.11	262.2	314.17	297.17	327.56	567.1	246.28	543.96	327.56	633.73	591.22	329.84	429.54	583.07	291.04	603.67	514.56	563.18	450.94	500.46	343.89	435.55	620.67	409.15	603.67	500.46	454.09	358.54	470.14	341.51	540.19	571.05	507.46	346.29	486.75	497.0	547.75	764.36	503.95	743.43
SEC63	1628.26	318.57	262.2	361.04	356.05	656.11	297.17	318.57	420.68	420.68	269.6	559.28	316.37	599.49	587.13	518.15	417.77	295.11	1498.22	575.03	1001.93	708.18	358.54	339.14	607.87	591.22	669.92	728.11	363.56	571.05	698.41	403.5	555.41	454.09	629.35	503.95	785.88	579.04	1819.35	1498.22	1819.35	1259.69	1498.22	1721.16	884.29	1369.04	1467.37	1519.15	1583.71	1119.56	1359.57	1457.23	1697.45	1628.26	1030.12	1870.53	1259.69	1769.57	1745.2	1268.46	974.5	921.88	1167.14	1437.15	1950.0	1369.04	1923.14	848.22	1457.23	1096.5	1369.04	1331.57	1059.11
SECISBP2	1037.29	708.18	921.88	674.59	420.68	283.05	733.19	493.56	825.0	884.29	974.5	703.28	775.05	612.11	423.61	441.64	802.41	447.82	229.72	470.14	808.0	769.69	406.31	316.37	629.35	890.44	253.23	356.05	289.02	470.14	476.71	480.04	555.41	395.18	316.37	429.54	559.28	371.22	470.14	759.08	1127.35	872.1	607.87	633.73	376.41	974.5	785.88	543.96	759.08	780.44	1111.82	884.29	902.89	1015.93	830.75	808.0	866.07	825.0	441.64	928.3	878.17	540.19	1127.35	921.88	902.89	808.0	633.73	507.46	954.43	1081.39	1277.29	825.0	1467.37
SLC25A27	1001.93	28.65	41.81	71.5	30.78	214.27	89.51	53.57	161.02	198.47	30.56	144.01	135.24	98.73	98.04	24.99	363.56	106.63	75.11	132.44	273.37	361.04	81.71	38.12	68.07	656.11	49.21	28.65	41.81	148.09	57.89	84.04	70.51	43.02	21.47	148.09	146.03	94.01	183.82	105.89	389.72	180.02	409.15	559.28	45.53	591.22	127.0	82.87	423.61	575.03	728.11	373.81	1159.07	387.02	269.6	921.88	647.07	1175.27	124.37	579.04	176.29	67.59	303.44	759.08	2018.8	1119.56	229.72	62.56	780.44	473.41	2384.37	819.3	1685.71
SMAD6	297.17	48.87	96.01	43.63	190.34	43.32	119.26	260.38	76.17	78.34	162.14	50.63	143.01	65.72	113.56	244.57	185.11	209.84	87.03	55.89	28.24	318.57	40.64	27.05	57.89	202.66	40.07	67.12	63.89	81.71	50.27	31.9	57.89	23.93	80.57	144.01	125.24	16.15	182.55	693.58	262.2	435.55	412.0	387.02	426.57	518.15	303.44	384.34	423.61	204.07	275.28	529.06	480.04	660.68	616.37	860.08	262.2	563.18	241.19	426.57	656.11	271.48	743.43	379.04	607.87	679.29	379.04	212.78	503.95	1561.89	327.56	473.41	327.56
SRSF4	2224.63	1015.93	866.07	1023.0	896.64	1529.73	612.11	529.06	995.0	785.88	759.08	1277.29	624.99	1259.69	921.88	813.63	909.17	703.28	995.0	1175.27	934.76	1529.73	819.3	748.61	1143.1	2319.15	1051.79	1127.35	728.11	1088.92	1051.79	909.17	1199.98	909.17	915.51	1167.14	1001.93	1073.91	1540.37	1277.29	1923.14	1583.71	1806.78	2032.85	1023.0	3081.75	1487.87	1397.83	2061.24	1467.37	2645.74	1870.53	2271.4	1397.83	1936.53	2384.37	2240.11	2047.0	1844.76	1781.89	1104.13	1295.13	1508.65	2485.67	3081.75	2701.35	1745.2	1397.83	2384.37	2004.85	1977.24	1896.65	2520.38
SUPT7L	616.37	277.2	248.0	341.51	373.81	563.18	217.27	175.07	361.04	353.59	221.86	612.11	256.78	642.59	406.31	353.59	339.14	318.57	518.15	547.75	759.08	559.28	802.41	406.31	473.41	1008.9	384.34	563.18	463.65	483.38	450.94	540.19	1151.06	532.74	420.68	417.77	529.06	476.71	693.58	511.0	738.29	555.41	854.13	753.83	341.51	753.83	447.82	547.75	743.43	356.05	775.05	571.05	791.35	575.03	612.11	934.76	595.34	764.36	656.11	595.34	366.09	353.59	381.68	954.43	1030.12	921.88	595.34	368.65	848.22	769.69	813.63	866.07	1008.9
SYF2	2075.59	1199.98	1167.14	1457.23	1191.69	1437.15	1081.39	723.08	1059.11	1111.82	1037.29	1286.18	819.3	1268.46	1242.34	1167.14	1073.91	974.5	1477.58	981.29	1051.79	1529.73	1088.92	947.83	1685.71	1104.13	1769.57	1745.2	1030.12	1199.98	1304.15	1030.12	1757.34	1369.04	1369.04	1250.98	1745.2	1208.34	1561.89	1037.29	1844.76	1594.73	3039.3	2417.67	2075.59	2451.44	1594.73	1457.23	2682.69	1857.6	3303.0	2032.85	2193.99	1519.15	1857.6	2133.97	2209.26	2133.97	3124.78	2591.27	1417.35	1304.15	1359.57	2319.15	2351.53	2627.46	1936.53	1769.57	2319.15	1857.6	2351.53	1721.16	1639.59
TAF6L	329.84	163.28	194.36	162.14	169.07	363.56	130.6	264.03	232.94	258.57	237.86	221.86	295.11	267.73	381.68	343.89	215.77	384.34	74.06	232.94	373.81	320.8	275.28	242.88	406.31	473.41	180.02	242.88	341.51	277.2	307.69	285.03	297.17	327.56	320.8	368.65	346.29	303.44	358.54	214.27	289.02	343.89	351.14	480.04	229.72	688.78	444.72	212.78	414.87	500.46	518.15	376.41	656.11	387.02	624.99	555.41	532.74	447.82	218.79	423.61	432.53	507.46	376.41	616.37	688.78	583.07	400.71	289.02	579.04	583.07	575.03	536.45	896.64
TANC1	323.03	157.68	195.72	226.54	329.84	130.6	173.85	130.6	124.37	193.01	194.36	269.6	115.97	281.09	193.01	189.02	186.4	139.07	221.86	130.6	162.14	409.15	125.24	94.67	148.09	211.31	61.25	115.97	102.25	115.97	106.63	155.5	85.22	104.42	94.01	144.01	231.32	113.56	212.78	329.84	217.27	438.59	242.88	289.02	172.65	395.18	371.22	358.54	769.69	255.0	607.87	253.23	358.54	387.02	486.75	463.65	493.56	854.13	567.1	414.87	215.77	156.59	307.69	769.69	1242.34	603.67	299.25	239.52	283.05	490.14	420.68	316.37	379.04
TANK	713.11	1745.2	351.14	503.95	579.04	567.1	285.03	231.32	616.37	389.72	348.71	486.75	253.23	551.56	316.37	371.22	420.68	417.77	941.27	579.04	848.22	647.07	660.68	460.44	551.56	583.07	361.04	312.0	389.72	595.34	444.72	587.13	616.37	423.61	665.29	503.95	629.35	441.64	808.0	1331.57	1233.75	1277.29	1111.82	603.67	616.37	1066.48	435.55	503.95	1340.84	486.75	1295.13	1233.75	1073.91	688.78	967.76	1151.06	1104.13	967.76	1447.15	1250.98	438.59	559.28	507.46	1216.75	1059.11	1127.35	1023.0	500.46	941.27	674.59	1119.56	825.0	1073.91
TMEM80	559.28	698.41	441.64	759.08	543.96	769.69	460.44	713.11	587.13	718.08	242.88	525.39	339.14	514.56	688.78	438.59	718.08	909.17	202.66	368.65	536.45	753.83	358.54	353.59	743.43	656.11	591.22	656.11	417.77	514.56	441.64	351.14	329.84	253.23	325.29	429.54	579.04	353.59	603.67	486.75	583.07	483.38	325.29	583.07	624.99	743.43	718.08	490.14	684.02	830.75	981.29	878.17	1551.09	1208.34	708.18	1359.57	1104.13	759.08	454.09	1151.06	1388.16	981.29	733.19	723.08	995.0	954.43	981.29	559.28	679.29	1721.16	1769.57	1721.16	2133.97
TRIM52	299.25	127.0	127.89	82.29	172.65	239.52	251.48	138.1	161.02	327.56	147.06	96.68	283.05	224.97	117.6	133.36	397.93	234.57	115.16	148.09	291.04	293.07	156.59	57.08	193.01	414.87	88.88	121.79	92.7	111.99	162.14	177.53	110.43	125.24	86.43	126.12	147.06	132.44	181.28	201.25	511.0	172.65	258.57	366.09	135.24	384.34	170.25	163.28	295.11	336.79	423.61	267.73	384.34	231.32	295.11	351.14	299.25	248.0	204.07	291.04	303.44	279.14	532.74	332.14	497.0	348.71	279.14	173.85	260.38	473.41	703.28	612.11	703.28
TRIT1	525.39	115.16	95.34	91.41	107.38	198.47	105.15	93.35	107.38	124.37	115.97	189.02	98.73	220.32	209.84	172.65	129.69	189.02	271.48	221.86	218.79	305.55	181.28	206.94	320.8	366.09	226.54	215.77	205.5	197.09	265.87	166.73	275.28	265.87	202.66	265.87	281.09	316.37	265.87	211.31	287.01	182.55	356.05	429.54	248.0	414.87	277.2	329.84	287.01	348.71	423.61	406.31	412.0	406.31	329.84	435.55	309.83	323.03	271.48	366.09	260.38	275.28	381.68	343.89	454.09	379.04	348.71	295.11	392.44	525.39	599.49	529.06	713.11
TSSK3	57.08	5.02	6.01	8.25	10.88	10.96	10.79	15.91	8.78	3.92	12.93	7.51	4.66	19.82	10.16	7.17	15.91	8.25	4.31	18.29	30.56	20.86	16.51	17.13	29.48	40.93	21.47	6.57	4.21	13.72	24.63	5.59	6.57	8.32	4.66	17.0	39.5	17.25	23.25	36.01	112.77	50.98	113.56	138.1	11.21	81.71	25.35	14.24	41.52	52.45	87.65	29.91	73.54	10.16	45.21	63.45	80.57	105.89	14.03	57.89	32.82	13.72	158.79	46.5	88.88	69.03	34.51	10.39	61.68	44.25	128.79	69.52	93.35
TTC32	358.54	277.2	145.02	101.54	409.15	246.28	153.34	101.54	75.64	163.28	138.1	209.84	108.9	218.79	164.42	87.65	170.25	249.73	131.51	175.07	470.14	265.87	140.04	82.29	202.66	571.05	123.5	183.82	70.51	185.11	177.53	277.2	117.6	104.42	108.14	201.25	242.88	193.01	226.54	197.09	358.54	255.0	529.06	309.83	76.17	366.09	131.51	242.88	358.54	275.28	698.41	432.53	435.55	332.14	320.8	486.75	373.81	346.29	301.33	660.68	327.56	176.29	503.95	358.54	503.95	438.59	327.56	158.79	493.56	507.46	878.17	299.25	902.89
TTF1	273.37	140.04	239.52	131.51	164.42	283.05	236.21	112.77	195.72	223.41	154.42	165.57	221.86	208.38	138.1	126.12	320.8	97.36	152.28	253.23	341.51	190.34	206.94	146.03	178.77	237.86	165.57	255.0	87.65	176.29	132.44	176.29	246.28	159.9	141.02	204.07	194.36	161.02	175.07	248.0	242.88	169.07	447.82	223.41	173.85	287.01	185.11	141.02	314.17	177.53	368.65	269.6	353.59	303.44	248.0	346.29	269.6	309.83	297.17	387.02	271.48	181.28	249.73	273.37	293.07	309.83	249.73	186.4	269.6	426.57	486.75	426.57	454.09
TTLL3	1794.29	101.54	116.78	186.4	145.02	211.31	199.85	267.73	339.14	273.37	156.59	176.29	214.27	242.88	166.73	84.63	379.04	728.11	113.56	376.41	1191.69	490.14	318.57	183.82	387.02	4575.41	281.09	218.79	113.56	301.33	187.71	341.51	264.03	229.72	151.22	351.14	314.17	289.02	426.57	366.09	1233.75	412.0	769.69	688.78	165.57	813.63	647.07	429.54	941.27	400.71	1233.75	500.46	896.64	466.88	612.11	1143.1	688.78	1757.34	403.5	753.83	361.04	796.86	420.68	2004.85	2796.65	1857.6	327.56	392.44	769.69	583.07	1277.29	848.22	1617.0
