	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.DD.AAD2.01A.11R.A41C.07	TCGA.ED.A8O5.01A.11R.A36F.07	TCGA.RC.A6M5.01A.11R.A32O.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.2V.A95S.01A.11R.A37K.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.ES.A2HT.11A.11R.A180.07	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A114.11A.12R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.QDVN.0826.SM.48TZ2	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Z9EW.0426.SM.5CVM9	GTEX.13FTW.1126.SM.5J2NV	GTEX.UTHO.2426.SM.4JBHD	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.WQUQ.1926.SM.4OOSA	GTEX.145MF.0826.SM.5QGQA	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.13NZ9.1326.SM.5MR3V	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPIC.0926.SM.4IHLV	GTEX.UPK5.1426.SM.4JBHH	GTEX.RWSA.1426.SM.47JXA	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.WHSB.0326.SM.5FQSD	GTEX.13NYS.1626.SM.5J2MU	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.13FTZ.0526.SM.5IJCW	GTEX.ZYY3.0926.SM.5E454	GTEX.OXRN.0526.SM.2I5EN	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZG7Y.1026.SM.4WWDG	GTEX.13O3P.1026.SM.5N9E7	GTEX.11EI6.0826.SM.5985V	GTEX.O5YV.0526.SM.2I5GE	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13PVQ.0926.SM.5IJFD	GTEX.131YS.0926.SM.5IJB9	GTEX.OXRO.0326.SM.33HBM	GTEX.13YAN.1026.SM.5O9CF	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.N7MT.0126.SM.2D7VT	GTEX.139T6.0426.SM.5IJEM	GTEX.R55G.0826.SM.2TC5U	GTEX.QDT8.0926.SM.32PL2	GTEX.U3ZH.0526.SM.3DB75	GTEX.1477Z.0626.SM.5NQB7	GTEX.ZYW4.1526.SM.5SIBA	GTEX.117YW.0526.SM.5H11C	GTEX.11ZUS.0126.SM.5EQM5	GTEX.PLZ4.0726.SM.2TC6Q	GTEX.13QJ3.1026.SM.5QGQU	GTEX.12ZZW.0926.SM.5LZUD	GTEX.13JVG.1426.SM.5MR4W	GTEX.OXRP.0526.SM.2I3EW	GTEX.N7MS.0926.SM.2HMIZ	GTEX.XPVG.1026.SM.4B64Y	GTEX.SN8G.0926.SM.4DM5I	GTEX.1212Z.1026.SM.5EGJ8	GTEX.X261.1026.SM.3NMDL	GTEX.111VG.0726.SM.5GIDC	GTEX.11O72.1326.SM.5BC5A	GTEX.12KS4.0726.SM.5FQSX	GTEX.RTLS.0926.SM.2TF5X	GTEX.WYBS.1126.SM.3NMAM	GTEX.ZYVF.1726.SM.5E443	GTEX.146FH.1226.SM.5NQB6	GTEX.11DZ1.0426.SM.5H11A	GTEX.NPJ8.0326.SM.2D7VV	GTEX.QMR6.1926.SM.32PL9	GTEX.13FHO.1026.SM.5KM1Q
MAP4K5	73.54	86.43	135.24	112.77	155.5	166.73	178.77	145.02	129.69	40.93	108.9	90.77	122.64	99.43	138.1	88.88	90.77	251.48	64.8	114.36	180.02	77.25	283.05	147.06	143.01	68.55	73.54	172.65	110.43	120.1	197.09	149.12	115.16	146.03	62.56	206.94	100.83	116.78	69.03	132.44	99.43	74.06	106.63	299.25	607.87	473.41	638.15	559.28	406.31	497.0	339.14	444.72	490.14	417.77	444.72	490.14	988.12	1322.37	559.28	507.46	651.58	273.37	332.14	748.61	463.65	514.56	780.44	791.35	808.0	307.69	376.41	669.92	551.56	343.89	476.71	381.68	283.05	728.11	417.77	559.28	587.13	258.57	536.45	366.09	361.04	303.44	599.49	265.87	684.02	400.71
MED13L	74.06	48.18	96.68	104.42	221.86	146.03	127.0	126.12	120.94	49.91	115.97	101.54	205.5	67.12	135.24	111.21	157.68	226.54	89.51	153.34	228.13	104.42	269.6	163.28	93.35	74.58	61.68	86.43	49.56	133.36	146.03	135.24	111.21	109.66	58.3	217.27	71.5	136.19	96.68	102.25	120.94	148.09	157.68	647.07	595.34	358.54	476.71	669.92	693.58	872.1	356.05	353.59	587.13	403.5	607.87	591.22	872.1	555.41	785.88	438.59	1268.46	387.02	420.68	902.89	521.76	514.56	656.11	669.92	713.11	587.13	358.54	688.78	332.14	454.09	1008.9	688.78	277.2	802.41	476.71	579.04	703.28	201.25	902.89	514.56	409.15	332.14	450.94	414.87	854.13	363.56
MFSD6	46.5	92.05	68.07	104.42	269.6	145.02	209.84	281.09	150.17	12.27	73.54	29.06	37.59	23.25	77.25	28.04	8.32	88.88	21.47	29.91	59.13	80.57	178.77	59.13	39.5	40.64	28.45	111.99	62.12	41.81	24.28	46.84	46.5	97.36	26.67	94.01	24.81	72.52	58.3	37.85	14.24	34.02	33.54	1388.16	450.94	253.23	928.3	460.44	967.76	563.18	713.11	521.76	616.37	473.41	403.5	403.5	1143.1	1199.98	830.75	1175.27	808.0	500.46	808.0	759.08	511.0	1088.92	571.05	351.14	819.3	1051.79	1044.52	1066.48	432.53	403.5	438.59	1304.15	463.65	507.46	830.75	366.09	255.0	341.51	921.88	417.77	842.36	830.75	514.56	283.05	934.76	836.53
MYO9A	12.64	16.75	25.54	15.8	19.68	40.36	43.32	16.75	15.45	12.93	18.7	22.1	47.17	14.56	40.64	23.08	10.16	26.67	23.08	38.67	44.57	15.91	41.22	45.53	18.43	34.02	8.92	10.24	19.39	27.44	89.51	65.72	43.32	35.25	16.27	27.05	9.27	23.93	11.21	35.0	25.17	11.47	24.28	256.78	157.68	81.14	297.17	154.42	204.07	366.09	215.77	140.04	241.19	226.54	151.22	105.89	463.65	316.37	182.55	400.71	457.25	193.01	389.72	435.55	343.89	201.25	194.36	205.5	409.15	205.5	224.97	223.41	108.9	318.57	379.04	271.48	126.12	258.57	194.36	242.88	195.72	132.44	395.18	139.07	234.57	172.65	144.01	346.29	161.02	166.73
MYZAP	0.33	6.46	0.0	11.64	9.85	10.16	21.63	4.06	1.35	20.41	17.9	11.47	48.87	21.94	41.22	12.45	2.63	21.47	47.17	17.38	29.27	37.32	47.17	73.03	28.04	0.0	11.82	14.45	0.0	12.93	6.57	7.11	11.47	92.05	29.7	59.55	13.62	22.26	20.71	30.78	17.77	23.25	33.78	1104.13	358.54	31.9	2451.44	5.77	684.02	1304.15	1111.82	738.29	808.0	412.0	595.34	156.59	5219.6	2816.11	941.27	3443.31	1605.83	669.92	616.37	540.19	1127.35	2271.4	1111.82	221.86	607.87	961.07	954.43	3820.7	262.2	105.15	1819.35	1950.0	403.5	567.1	1733.13	348.71	738.29	303.44	718.08	497.0	409.15	1259.69	947.83	147.06	543.96	532.74
NEBL	14.24	19.39	6.21	59.55	6.16	19.25	3.53	5.36	28.45	9.41	11.64	21.94	32.82	27.25	82.29	7.75	9.78	123.5	13.22	8.13	9.13	38.12	108.14	71.5	102.97	22.75	3.79	8.99	9.41	11.55	95.34	5.32	14.45	20.11	320.8	31.0	0.79	6.46	5.68	14.89	26.47	36.53	6.67	3372.43	872.1	224.97	591.22	1167.14	1216.75	361.04	1467.37	131.51	796.86	571.05	651.58	486.75	3467.27	1757.34	748.61	1487.87	1397.83	1277.29	1437.15	1350.18	1313.23	473.41	199.85	323.03	1295.13	688.78	1175.27	1923.14	447.82	181.28	769.69	1427.22	954.43	1135.2	587.13	872.1	1378.57	1175.27	1191.69	1159.07	743.43	1066.48	647.07	647.07	1250.98	954.43
NEXN	63.0	57.89	42.71	80.57	15.34	180.02	19.53	29.48	16.75	15.45	65.72	38.4	53.95	34.26	60.82	35.25	43.63	473.41	74.58	117.6	74.06	84.63	361.04	127.89	120.1	27.05	29.27	13.03	28.65	21.16	45.85	23.93	58.3	161.02	36.27	85.22	5.77	88.26	9.63	23.59	52.82	59.13	27.44	967.76	476.71	607.87	599.49	242.88	371.22	392.44	1191.69	251.48	514.56	500.46	595.34	309.83	559.28	409.15	236.21	521.76	1119.56	1350.18	728.11	713.11	612.11	1175.27	1127.35	169.07	351.14	854.13	1159.07	884.29	185.11	1030.12	441.64	830.75	414.87	258.57	1769.57	281.09	1066.48	457.25	1030.12	669.92	669.92	791.35	379.04	607.87	780.44	212.78
NF1	105.15	82.29	140.04	113.56	176.29	146.03	142.01	100.13	65.72	52.08	116.78	119.26	159.9	89.51	178.77	118.43	105.15	237.86	104.42	133.36	173.85	84.63	190.34	143.01	120.94	63.0	94.01	120.94	50.63	89.51	161.02	125.24	119.26	141.02	77.25	162.14	212.78	166.73	66.65	127.0	87.03	158.79	153.34	277.2	412.0	248.0	214.27	368.65	301.33	316.37	150.17	242.88	356.05	198.47	231.32	409.15	293.07	279.14	289.02	237.86	376.41	159.9	191.67	318.57	258.57	293.07	277.2	591.22	384.34	175.07	181.28	379.04	220.32	183.82	748.61	226.54	193.01	555.41	182.55	497.0	339.14	130.6	271.48	244.57	194.36	144.01	387.02	158.79	198.47	223.41
NUMB	507.46	563.18	633.73	612.11	934.76	802.41	738.29	571.05	447.82	454.09	624.99	629.35	693.58	603.67	733.19	612.11	603.67	651.58	412.0	463.65	674.59	500.46	921.88	921.88	748.61	616.37	420.68	262.2	612.11	353.59	890.44	896.64	802.41	848.22	624.99	718.08	785.88	543.96	483.38	679.29	299.25	583.07	698.41	1104.13	1359.57	884.29	1697.45	1059.11	2240.11	1477.58	1259.69	2240.11	2224.63	860.08	921.88	2075.59	2485.67	2701.35	1844.76	2240.11	1685.71	1135.2	1073.91	2400.97	1794.29	2367.9	1477.58	2004.85	1781.89	1551.09	2004.85	1806.78	1519.15	934.76	2591.27	1467.37	961.07	2555.58	1467.37	1757.34	2555.58	1023.0	1963.57	1331.57	1259.69	1639.59	1551.09	1135.2	2133.97	1883.54
OLFML2A	28.65	175.07	25.72	92.7	126.12	181.28	20.11	36.79	42.41	6.16	8.32	9.41	5.06	8.58	13.03	11.64	1.11	7.17	9.41	4.54	14.14	5.41	12.45	33.3	24.99	2.14	7.63	1.28	8.78	7.17	11.91	4.21	20.26	36.53	11.21	18.03	7.17	10.47	1.87	9.7	35.76	6.31	8.92	441.64	106.63	54.72	808.0	896.64	285.03	65.26	253.23	332.14	232.94	167.9	221.86	127.0	1745.2	98.73	136.19	743.43	275.28	406.31	181.28	1242.34	460.44	316.37	514.56	559.28	1073.91	264.03	536.45	599.49	218.79	69.03	860.08	215.77	684.02	713.11	616.37	387.02	429.54	183.82	1268.46	127.0	854.13	162.14	100.83	148.09	718.08	703.28
PHACTR2	51.71	46.84	170.25	92.05	52.08	166.73	137.14	106.63	27.64	20.56	103.69	54.72	218.79	96.01	206.94	66.65	61.25	231.32	105.15	409.15	115.16	90.77	121.79	63.45	105.15	98.73	33.54	470.14	301.33	124.37	122.64	24.46	137.14	166.73	65.26	96.01	84.04	133.36	45.21	155.5	125.24	125.24	368.65	599.49	316.37	389.72	825.0	476.71	860.08	607.87	409.15	642.59	1015.93	420.68	379.04	599.49	1417.35	1073.91	483.38	974.5	974.5	297.17	547.75	854.13	723.08	620.67	503.95	954.43	1119.56	463.65	540.19	412.0	414.87	532.74	1242.34	339.14	660.68	819.3	1001.93	713.11	896.64	379.04	669.92	389.72	563.18	341.51	476.71	470.14	616.37	450.94
PHF2	120.94	146.03	89.51	158.79	368.65	178.77	229.72	195.72	180.02	124.37	164.42	153.34	187.71	132.44	183.82	130.6	121.79	228.13	117.6	147.06	127.0	143.01	371.22	154.42	172.65	98.04	105.15	125.24	166.73	169.07	186.4	172.65	295.11	287.01	98.04	165.57	228.13	117.6	176.29	156.59	389.72	120.94	176.29	543.96	860.08	256.78	612.11	483.38	842.36	854.13	473.41	616.37	902.89	447.82	379.04	559.28	866.07	836.53	679.29	941.27	486.75	366.09	353.59	551.56	780.44	819.3	551.56	1127.35	1233.75	403.5	688.78	915.51	583.07	454.09	624.99	525.39	444.72	669.92	656.11	1066.48	967.76	341.51	802.41	379.04	497.0	612.11	490.14	595.34	514.56	718.08
PHIP	40.93	74.58	25.54	50.98	91.41	50.63	89.51	82.29	79.45	9.63	52.82	46.84	69.03	34.51	76.71	40.64	40.07	84.04	42.71	27.84	75.11	36.27	77.25	82.87	93.35	15.68	24.28	27.84	27.84	58.3	46.18	53.57	41.81	80.57	32.13	62.12	53.19	71.5	44.89	55.49	27.64	46.18	52.82	120.1	307.69	151.22	251.48	244.57	255.0	285.03	148.09	180.02	293.07	159.9	205.5	206.94	432.53	387.02	212.78	289.02	346.29	132.44	163.28	567.1	376.41	237.86	236.21	348.71	441.64	157.68	152.28	314.17	164.42	167.9	299.25	177.53	102.25	299.25	178.77	387.02	295.11	92.7	371.22	191.67	262.2	162.14	253.23	123.5	366.09	260.38
PLCE1	17.77	28.86	7.22	33.06	24.81	42.11	11.21	12.09	23.93	4.54	14.35	11.13	16.15	9.7	22.1	6.26	1.55	10.63	6.73	11.38	4.98	5.19	45.53	18.84	20.56	8.38	6.52	7.88	18.03	8.51	9.93	9.27	20.41	19.11	15.91	26.47	7.22	5.45	8.19	4.94	7.22	18.97	9.41	223.41	441.64	90.77	902.89	163.28	336.79	163.28	114.36	237.86	518.15	189.02	287.01	214.27	703.28	441.64	454.09	785.88	291.04	206.94	94.67	177.53	260.38	285.03	307.69	371.22	493.56	417.77	343.89	299.25	825.0	314.17	967.76	166.73	361.04	239.52	473.41	305.55	277.2	68.55	493.56	217.27	301.33	244.57	267.73	312.0	289.02	497.0
PLEKHA1	236.21	325.29	351.14	371.22	764.36	348.71	432.53	381.68	206.94	206.94	460.44	480.04	559.28	343.89	507.46	444.72	591.22	728.11	267.73	575.03	486.75	239.52	432.53	441.64	376.41	384.34	314.17	2075.59	381.68	366.09	403.5	444.72	470.14	470.14	285.03	397.93	684.02	339.14	341.51	466.88	384.34	285.03	674.59	616.37	813.63	336.79	1023.0	819.3	848.22	642.59	647.07	629.35	1233.75	587.13	579.04	738.29	2701.35	1359.57	551.56	1745.2	884.29	441.64	647.07	775.05	791.35	1286.18	896.64	995.0	1111.82	543.96	1268.46	921.88	872.1	540.19	1594.73	928.3	669.92	1359.57	961.07	1519.15	1340.84	432.53	1259.69	366.09	444.72	775.05	848.22	381.68	830.75	629.35
POGK	131.51	194.36	115.16	182.55	423.61	116.78	332.14	277.2	258.57	89.51	220.32	125.24	217.27	117.6	170.25	109.66	150.17	638.15	161.02	323.03	351.14	100.13	395.18	224.97	143.01	126.12	64.34	314.17	244.57	182.55	145.02	186.4	220.32	158.79	85.82	301.33	149.12	149.12	198.47	204.07	175.07	157.68	255.0	679.29	567.1	242.88	389.72	457.25	567.1	551.56	1073.91	473.41	457.25	679.29	363.56	279.14	536.45	796.86	395.18	674.59	518.15	575.03	988.12	417.77	607.87	679.29	387.02	281.09	438.59	429.54	503.95	599.49	336.79	866.07	547.75	854.13	463.65	361.04	638.15	356.05	497.0	447.82	511.0	295.11	529.06	698.41	389.72	476.71	633.73	303.44
PPFIBP1	80.57	127.89	209.84	157.68	291.04	231.32	204.07	76.17	128.79	104.42	158.79	195.72	265.87	140.04	251.48	215.77	161.02	234.57	182.55	414.87	299.25	223.41	713.11	435.55	277.2	161.02	176.29	195.72	144.01	348.71	363.56	289.02	202.66	603.67	143.01	273.37	59.55	361.04	147.06	229.72	221.86	320.8	209.84	665.29	915.51	693.58	1096.5	1242.34	2193.99	1268.46	988.12	1427.22	1561.89	733.19	723.08	595.34	1662.49	1427.22	647.07	1216.75	3419.52	708.18	567.1	1268.46	743.43	693.58	1594.73	1721.16	2351.53	1295.13	1467.37	842.36	954.43	884.29	2627.46	679.29	420.68	1697.45	1242.34	1870.53	3081.75	559.28	2255.7	860.08	872.1	575.03	665.29	688.78	1286.18	713.11
PRKCE	351.14	48.52	26.86	42.71	38.67	43.94	79.45	25.91	30.34	76.71	121.79	33.54	54.72	679.29	234.57	29.27	49.91	130.6	66.65	131.51	164.42	63.0	40.93	48.87	152.28	99.43	20.56	46.18	28.04	231.32	35.76	23.42	164.42	63.0	116.78	59.13	83.45	81.14	51.71	98.73	62.12	108.14	124.37	423.61	432.53	129.69	473.41	256.78	1073.91	1806.78	967.76	1111.82	780.44	334.46	281.09	392.44	934.76	1175.27	1467.37	521.76	420.68	239.52	753.83	660.68	198.47	1167.14	567.1	435.55	607.87	454.09	629.35	785.88	967.76	351.14	607.87	796.86	444.72	567.1	1059.11	941.27	872.1	587.13	651.58	612.11	559.28	1104.13	514.56	164.42	532.74	599.49
PRKCH	55.89	217.27	95.34	156.59	133.36	303.44	113.56	264.03	120.1	82.29	111.99	78.89	154.42	115.97	239.52	96.01	40.64	187.71	148.09	285.03	147.06	112.77	183.82	208.38	115.16	67.12	75.11	49.56	153.34	56.68	156.59	138.1	53.19	260.38	133.36	152.28	53.95	158.79	54.33	205.5	135.24	154.42	141.02	1208.34	928.3	346.29	1331.57	947.83	934.76	656.11	651.58	1051.79	825.0	718.08	708.18	941.27	1417.35	1487.87	830.75	1388.16	2609.3	703.28	579.04	1268.46	703.28	1008.9	1008.9	775.05	1059.11	1617.0	1417.35	791.35	703.28	915.51	1896.65	848.22	1369.04	1417.35	1487.87	928.3	1883.54	656.11	1427.22	808.0	583.07	728.11	941.27	559.28	1519.15	872.1
PRKD3	89.51	61.68	104.42	87.65	163.28	136.19	162.14	93.35	55.89	39.5	116.78	126.12	131.51	70.51	129.69	94.67	84.63	128.79	68.55	162.14	164.42	78.34	212.78	182.55	100.83	89.51	56.68	130.6	102.25	88.88	165.57	115.97	90.77	145.02	76.71	239.52	127.0	121.79	88.88	178.77	104.42	156.59	189.02	348.71	743.43	318.57	376.41	543.96	486.75	389.72	241.19	251.48	656.11	441.64	444.72	493.56	1051.79	733.19	435.55	532.74	902.89	221.86	242.88	660.68	490.14	540.19	476.71	988.12	579.04	366.09	514.56	438.59	312.0	358.54	543.96	392.44	275.28	551.56	444.72	435.55	616.37	215.77	414.87	262.2	244.57	312.0	575.03	260.38	571.05	493.56
PTK2	836.53	543.96	400.71	1295.13	854.13	684.02	769.69	896.64	525.39	314.17	521.76	379.04	543.96	395.18	532.74	373.81	371.22	454.09	241.19	291.04	579.04	368.65	928.3	633.73	669.92	287.01	358.54	314.17	327.56	217.27	638.15	463.65	293.07	638.15	429.54	503.95	429.54	490.14	246.28	483.38	392.44	417.77	490.14	1023.0	1304.15	995.0	2240.11	1519.15	1467.37	1519.15	872.1	878.17	1359.57	1119.56	961.07	1529.73	2627.46	2485.67	1950.0	2148.82	2468.49	860.08	1030.12	1304.15	1427.22	2032.85	1794.29	1594.73	2032.85	1628.26	2240.11	2240.11	1617.0	1183.45	2417.67	1151.06	1551.09	1674.06	1991.0	1923.14	1806.78	836.53	1977.24	921.88	1175.27	1304.15	1819.35	909.17	934.76	1233.75
PTPN21	94.67	25.91	60.82	57.08	155.5	57.89	88.88	49.56	28.65	48.52	98.04	94.67	138.1	63.45	113.56	88.88	122.64	119.26	152.28	64.8	87.03	98.04	138.1	143.01	176.29	46.84	93.35	31.0	74.06	77.25	84.63	108.9	93.35	106.63	104.42	144.01	109.66	151.22	100.83	87.65	140.04	120.1	105.15	759.08	299.25	215.77	988.12	307.69	555.41	346.29	819.3	341.51	1225.22	329.84	309.83	406.31	1769.57	759.08	423.61	1427.22	624.99	563.18	532.74	486.75	656.11	878.17	551.56	490.14	775.05	343.89	1143.1	1286.18	334.46	547.75	1359.57	819.3	253.23	607.87	656.11	1127.35	607.87	348.71	753.83	287.01	665.29	629.35	454.09	341.51	543.96	295.11
PTPRB	48.87	84.04	90.77	84.04	98.73	255.0	40.64	22.59	8.85	43.94	63.45	82.87	142.01	76.71	157.68	90.77	76.71	181.28	165.57	361.04	293.07	303.44	260.38	148.09	45.85	62.12	50.27	43.02	94.01	193.01	84.04	83.45	78.89	432.53	76.71	100.83	27.05	343.89	99.43	153.34	77.25	158.79	73.54	2193.99	2148.82	167.9	902.89	493.56	1923.14	1437.15	896.64	1757.34	669.92	1030.12	244.57	1135.2	2573.36	3081.75	1119.56	1191.69	1685.71	567.1	902.89	4298.64	543.96	1832.01	651.58	1088.92	1508.65	624.99	738.29	1081.39	336.79	246.28	2104.58	1540.37	351.14	1250.98	1605.83	791.35	764.36	381.68	1191.69	620.67	866.07	703.28	981.29	1088.92	2163.77	1340.84
PUM1	249.73	301.33	291.04	358.54	571.05	412.0	612.11	343.89	269.6	228.13	336.79	387.02	507.46	289.02	470.14	318.57	376.41	318.57	334.46	287.01	351.14	251.48	454.09	507.46	536.45	262.2	336.79	223.41	217.27	334.46	429.54	457.25	450.94	314.17	417.77	518.15	497.0	389.72	361.04	305.55	262.2	281.09	389.72	753.83	612.11	708.18	688.78	1151.06	567.1	1008.9	620.67	476.71	607.87	693.58	708.18	529.06	1183.45	934.76	1135.2	651.58	1250.98	511.0	796.86	915.51	866.07	603.67	688.78	708.18	995.0	612.11	450.94	967.76	480.04	679.29	813.63	733.19	420.68	896.64	525.39	813.63	718.08	334.46	967.76	525.39	525.39	480.04	934.76	361.04	629.35	703.28
RABGAP1	122.64	150.17	100.83	175.07	307.69	224.97	267.73	135.24	158.79	98.73	155.5	133.36	163.28	102.25	195.72	120.1	87.65	220.32	231.32	113.56	119.26	195.72	159.9	205.5	123.5	90.77	148.09	128.79	139.07	159.9	152.28	186.4	100.83	124.37	89.51	251.48	132.44	204.07	193.01	98.73	88.26	218.79	211.31	813.63	571.05	395.18	551.56	305.55	271.48	603.67	571.05	323.03	429.54	476.71	426.57	426.57	961.07	426.57	836.53	860.08	1030.12	708.18	633.73	878.17	698.41	460.44	575.03	312.0	748.61	476.71	629.35	656.11	251.48	511.0	473.41	679.29	381.68	529.06	555.41	343.89	414.87	301.33	684.02	480.04	470.14	470.14	417.77	291.04	679.29	414.87
RAI2	36.27	115.16	23.25	98.73	47.5	145.02	18.84	27.84	13.22	44.89	79.45	52.08	83.45	48.87	75.11	50.27	71.0	368.65	172.65	89.51	110.43	105.15	2047.0	109.66	127.0	57.49	28.45	16.51	85.22	22.26	101.54	32.13	191.67	82.87	99.43	232.94	56.28	136.19	34.26	66.65	51.35	109.66	49.91	1340.84	1651.0	1295.13	651.58	323.03	532.74	1143.1	808.0	612.11	1143.1	693.58	728.11	438.59	1066.48	934.76	2032.85	967.76	2104.58	669.92	587.13	525.39	450.94	1529.73	1508.65	703.28	988.12	1233.75	1457.23	3589.58	500.46	796.86	450.94	1529.73	1508.65	251.48	1883.54	518.15	503.95	217.27	1127.35	480.04	974.5	1639.59	2895.31	669.92	2319.15	1119.56
RALA	256.78	376.41	244.57	366.09	423.61	320.8	258.57	470.14	244.57	146.03	329.84	260.38	299.25	231.32	334.46	232.94	351.14	518.15	241.19	287.01	260.38	283.05	447.82	329.84	389.72	185.11	180.02	285.03	314.17	194.36	221.86	211.31	258.57	346.29	234.57	463.65	262.2	228.13	204.07	279.14	147.06	275.28	221.86	878.17	941.27	748.61	1685.71	890.44	1051.79	1331.57	909.17	1340.84	830.75	1023.0	1104.13	954.43	2255.7	2319.15	909.17	1651.0	819.3	819.3	1242.34	1447.15	819.3	1674.06	1015.93	854.13	981.29	941.27	1295.13	1037.29	988.12	915.51	1457.23	1359.57	928.3	1191.69	2319.15	988.12	1519.15	1369.04	1059.11	738.29	1119.56	1844.76	733.19	708.18	733.19	1359.57
RALGAPB	100.13	127.89	79.45	143.01	312.0	180.02	149.12	136.19	112.77	63.45	124.37	100.13	141.02	87.65	153.34	102.97	79.45	187.71	108.9	108.9	126.12	99.43	157.68	111.21	186.4	115.97	59.55	149.12	93.35	120.1	87.65	80.57	139.07	149.12	74.58	134.3	98.73	153.34	90.77	137.14	223.41	116.78	101.54	239.52	258.57	218.79	507.46	234.57	314.17	320.8	316.37	307.69	234.57	323.03	246.28	395.18	595.34	486.75	320.8	466.88	420.68	269.6	283.05	981.29	571.05	603.67	426.57	444.72	356.05	346.29	327.56	323.03	336.79	384.34	473.41	409.15	202.66	595.34	387.02	406.31	307.69	283.05	373.81	283.05	301.33	307.69	343.89	205.5	447.82	358.54
RASAL2	25.72	35.76	25.17	61.68	147.06	85.22	66.18	20.41	18.84	12.74	28.04	22.75	42.71	22.59	39.22	16.75	12.55	78.34	31.45	71.0	50.27	71.0	117.6	54.33	22.26	34.26	13.42	10.63	18.29	13.32	32.36	19.39	40.64	111.99	19.25	111.21	23.08	47.5	17.64	46.84	25.54	50.27	50.27	237.86	141.02	61.25	226.54	281.09	232.94	139.07	182.55	139.07	246.28	163.28	158.79	363.56	521.76	251.48	193.01	303.44	387.02	142.01	155.5	303.44	206.94	218.79	486.75	336.79	417.77	154.42	143.01	236.21	155.5	186.4	460.44	281.09	107.38	688.78	244.57	332.14	242.88	127.0	264.03	125.24	155.5	148.09	198.47	110.43	231.32	165.57
RASSF8	38.67	40.07	27.84	49.91	41.22	61.68	115.97	27.84	60.82	13.93	44.57	34.75	59.13	39.79	59.13	44.25	69.03	97.36	27.84	72.52	113.56	38.12	162.14	50.27	109.66	4.82	23.08	124.37	25.91	69.03	28.65	41.52	49.91	103.69	29.7	43.02	33.54	42.71	9.48	41.22	224.97	69.52	33.3	297.17	409.15	177.53	426.57	928.3	444.72	518.15	400.71	239.52	447.82	285.03	214.27	297.17	703.28	423.61	307.69	620.67	540.19	94.01	454.09	540.19	253.23	785.88	384.34	521.76	547.75	198.47	503.95	583.07	283.05	599.49	579.04	723.08	361.04	363.56	728.11	1417.35	603.67	167.9	543.96	85.82	244.57	414.87	420.68	96.01	514.56	297.17
RERE	237.86	389.72	244.57	476.71	583.07	599.49	483.38	285.03	244.57	232.94	305.55	299.25	397.93	183.82	327.56	265.87	194.36	373.81	518.15	236.21	177.53	295.11	860.08	363.56	140.04	237.86	144.01	80.01	226.54	181.28	190.34	271.48	420.68	264.03	128.79	438.59	466.88	265.87	518.15	318.57	265.87	316.37	348.71	1259.69	1104.13	928.3	961.07	660.68	476.71	1030.12	1709.26	540.19	780.44	967.76	486.75	633.73	1605.83	825.0	1104.13	890.44	1295.13	1259.69	718.08	961.07	1183.45	1096.5	954.43	872.1	1540.37	934.76	1119.56	1340.84	283.05	1015.93	995.0	1208.34	607.87	698.41	1167.14	547.75	759.08	353.59	941.27	830.75	723.08	1008.9	1159.07	860.08	1159.07	769.69
