	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.A2.A3XW.01A.11R.A239.07	GTEX.NPJ8.2026.SM.3TW91	GTEX.S4Q7.0526.SM.4AD5N	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KN.8428.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.N7MS.1626.SM.3LK5F	GTEX.13OW6.1826.SM.5N9F9	GTEX.1497J.0826.SM.5NQAJ	GTEX.12WSG.0826.SM.5EQ5A	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CZ.5984.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.SX.A7SU.01A.11R.A36F.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.7051.11A.02R.1965.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.13YAN.1026.SM.5O9CF	GTEX.12ZZW.0926.SM.5LZUD	GTEX.12WSA.1026.SM.5EGHN	TCGA.DJ.A1QL.01A.11R.A14Y.07	TCGA.FY.A40M.01A.11R.A23N.07	TCGA.BJ.A191.01A.11R.A13Y.07	TCGA.BJ.A2NA.11A.11R.A19O.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.13OVJ.0626.SM.5J2O2	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1497J.0126.SM.5Q5BK	GTEX.QEL4.0726.SM.3GIJ5	GTEX.11EI6.0726.SM.59866	GTEX.11DZ1.2726.SM.5A5KH	GTEX.SE5C.0726.SM.4BRWY	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.1399U.0326.SM.5P9G5	GTEX.146FR.0326.SM.5SI8U	GTEX.11TTK.0826.SM.5N9EG	GTEX.ZGAY.1026.SM.4WWBR	GTEX.OXRK.0626.SM.2HMJ5	GTEX.XMK1.0626.SM.4B65A	GTEX.U3ZM.0126.SM.3DB8M	GTEX.11LCK.0526.SM.5A5M9	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.X8HC.0726.SM.46MWG	GTEX.1211K.0726.SM.5FQUW	GTEX.117YX.1226.SM.5H11S
SUCLA2	511.0	417.77	223.41	409.15	656.11	1508.65	1561.89	1286.18	1697.45	1233.75	1268.46	1617.0	3257.52	1561.89	941.27	2627.46	1806.78	1628.26	1286.18	647.07	1427.22	934.76	271.48	1844.76	1923.14	1572.76	1519.15	1427.22	1369.04	1498.22	1674.06	1757.34	1819.35	1529.73	1909.85	1721.16	1757.34	1685.71	1721.16	1674.06	1498.22	1605.83	1832.01	1529.73	1662.49	1819.35	1369.04	1685.71	1457.23	417.77	373.81	1508.65	1369.04	1259.69	1781.89	1340.84	1529.73	1143.1	1208.34	1529.73	1519.15	1605.83	1191.69	1191.69	1304.15	1617.0	511.0	371.22	579.04	438.59	540.19	603.67	624.99	825.0	961.07	669.92	551.56	890.44	759.08	764.36	1030.12	759.08	878.17	616.37	872.1	830.75	718.08	1015.93	713.11	764.36	813.63	909.17	723.08	941.27	612.11	1015.93	463.65	780.44	954.43
SUCLG2	454.09	159.9	371.22	301.33	921.88	3212.66	2502.97	2209.26	4268.94	2915.45	2875.3	3395.89	8963.45	2777.33	2148.82	6516.03	3690.52	2645.74	2875.3	679.29	1639.59	796.86	521.76	3589.58	4152.18	2758.13	2573.36	2816.11	2976.74	2609.3	3515.68	3639.7	3639.7	3081.75	3639.7	4152.18	4481.23	3742.05	3742.05	3103.19	3039.3	2976.74	3491.39	3372.43	3443.31	3955.48	2682.69	3349.13	2573.36	624.99	642.59	2555.58	2739.08	3060.45	4419.52	2796.65	3349.13	1870.53	2855.44	3874.05	2935.74	4328.55	2895.31	2400.97	3081.75	3690.52	2061.24	896.64	1225.22	1183.45	583.07	511.0	587.13	836.53	1023.0	813.63	947.83	967.76	860.08	860.08	1015.93	896.64	878.17	743.43	1023.0	896.64	775.05	928.3	1066.48	928.3	647.07	884.29	669.92	698.41	743.43	1008.9	563.18	723.08	1030.12
TBC1D19	69.03	38.67	36.79	106.63	88.88	323.03	251.48	253.23	363.56	323.03	239.52	327.56	555.41	229.72	226.54	551.56	379.04	301.33	136.19	167.9	190.34	348.71	58.71	473.41	441.64	341.51	253.23	239.52	291.04	316.37	426.57	384.34	403.5	406.31	406.31	395.18	429.54	366.09	373.81	334.46	379.04	389.72	532.74	307.69	423.61	297.17	289.02	409.15	403.5	70.51	77.79	248.0	214.27	351.14	420.68	244.57	351.14	281.09	202.66	363.56	403.5	414.87	265.87	279.14	316.37	371.22	37.85	47.5	96.68	64.8	88.88	97.36	165.57	128.79	154.42	77.25	139.07	136.19	154.42	161.02	165.57	144.01	173.85	135.24	157.68	152.28	113.56	199.85	146.03	97.36	143.01	153.34	128.79	189.02	92.7	182.55	111.99	103.69	140.04
TFAM	173.85	183.82	131.51	198.47	392.44	703.28	620.67	529.06	728.11	579.04	616.37	723.08	1378.57	423.61	373.81	1350.18	529.06	500.46	616.37	208.38	368.65	518.15	177.53	642.59	713.11	603.67	679.29	629.35	486.75	563.18	559.28	775.05	620.67	651.58	825.0	587.13	780.44	703.28	728.11	647.07	665.29	660.68	624.99	665.29	703.28	633.73	483.38	656.11	651.58	142.01	62.12	555.41	571.05	473.41	559.28	532.74	521.76	521.76	497.0	536.45	559.28	607.87	514.56	620.67	511.0	503.95	314.17	195.72	269.6	283.05	241.19	309.83	400.71	358.54	551.56	305.55	287.01	473.41	409.15	373.81	371.22	463.65	339.14	423.61	438.59	339.14	490.14	583.07	318.57	348.71	387.02	493.56	397.93	500.46	447.82	551.56	301.33	567.1	395.18
TFB2M	244.57	134.3	167.9	182.55	229.72	450.94	500.46	406.31	733.19	457.25	414.87	620.67	902.89	414.87	305.55	759.08	463.65	500.46	420.68	221.86	267.73	343.89	150.17	567.1	511.0	379.04	454.09	371.22	395.18	441.64	511.0	497.0	551.56	521.76	503.95	665.29	753.83	457.25	507.46	457.25	435.55	497.0	656.11	476.71	514.56	450.94	460.44	473.41	432.53	117.6	239.52	518.15	432.53	426.57	579.04	417.77	450.94	316.37	366.09	525.39	518.15	583.07	447.82	435.55	426.57	473.41	262.2	96.01	142.01	150.17	267.73	301.33	329.84	279.14	361.04	285.03	285.03	329.84	318.57	267.73	351.14	236.21	208.38	332.14	336.79	271.48	312.0	346.29	314.17	381.68	299.25	346.29	297.17	241.19	356.05	412.0	212.78	246.28	417.77
TMEM14A	579.04	414.87	363.56	348.71	221.86	947.83	1073.91	896.64	2104.58	988.12	1183.45	1417.35	2193.99	825.0	764.36	1769.57	1447.15	1135.2	723.08	1340.84	1199.98	1388.16	579.04	1467.37	1059.11	808.0	1044.52	819.3	941.27	934.76	1216.75	1096.5	1143.1	1340.84	1051.79	1745.2	947.83	1008.9	1008.9	974.5	1096.5	1183.45	1662.49	1066.48	1167.14	954.43	928.3	1191.69	1135.2	343.89	669.92	1242.34	1159.07	947.83	1111.82	842.36	1008.9	708.18	848.22	1259.69	1175.27	995.0	915.51	775.05	1104.13	1096.5	769.69	279.14	551.56	656.11	376.41	423.61	738.29	759.08	733.19	293.07	441.64	587.13	493.56	674.59	669.92	591.22	1008.9	813.63	543.96	848.22	624.99	738.29	665.29	688.78	688.78	656.11	599.49	708.18	532.74	703.28	381.68	493.56	738.29
TMEM192	127.0	124.37	102.97	128.79	307.69	1066.48	802.41	620.67	1457.23	947.83	738.29	1111.82	1350.18	1304.15	599.49	1023.0	1233.75	1111.82	1225.22	532.74	389.72	1051.79	89.51	1350.18	1313.23	866.07	708.18	842.36	842.36	947.83	1781.89	1427.22	1159.07	1081.39	1135.2	1167.14	1733.13	967.76	1191.69	928.3	872.1	1044.52	1417.35	1088.92	1175.27	961.07	669.92	1081.39	1304.15	208.38	343.89	791.35	1008.9	915.51	1340.84	842.36	1313.23	633.73	921.88	1259.69	1216.75	1487.87	1008.9	1044.52	1111.82	1487.87	325.29	197.09	226.54	293.07	180.02	211.31	275.28	341.51	571.05	236.21	341.51	638.15	507.46	540.19	389.72	466.88	417.77	540.19	547.75	323.03	381.68	587.13	368.65	587.13	348.71	521.76	473.41	435.55	409.15	490.14	191.67	665.29	629.35
TMLHE	244.57	177.53	146.03	104.42	144.01	348.71	371.22	444.72	409.15	417.77	343.89	521.76	669.92	363.56	351.14	647.07	567.1	309.83	432.53	336.79	397.93	361.04	285.03	373.81	441.64	384.34	412.0	420.68	293.07	376.41	480.04	400.71	435.55	483.38	599.49	353.59	669.92	420.68	571.05	571.05	387.02	429.54	432.53	450.94	343.89	429.54	389.72	392.44	514.56	208.38	293.07	287.01	339.14	348.71	435.55	353.59	466.88	336.79	463.65	507.46	397.93	447.82	353.59	444.72	395.18	444.72	325.29	178.77	406.31	105.89	186.4	153.34	208.38	215.77	228.13	246.28	265.87	242.88	242.88	232.94	312.0	318.57	224.97	223.41	244.57	220.32	185.11	271.48	239.52	183.82	221.86	190.34	181.28	293.07	218.79	264.03	253.23	228.13	209.84
TOM1L1	224.97	642.59	318.57	234.57	500.46	1963.57	2287.2	2255.7	2976.74	2018.8	1963.57	2956.17	5329.3	1378.57	2018.8	5555.65	3190.46	1896.65	1651.0	1991.0	1286.18	1313.23	521.76	2468.49	2720.15	2193.99	1977.24	2104.58	2224.63	2104.58	2240.11	2573.36	2591.27	1936.53	2520.38	2777.33	2682.69	2520.38	2271.4	2209.26	1909.85	2609.3	3349.13	2240.11	2240.11	2303.12	1551.09	2148.82	2240.11	995.0	373.81	1963.57	2061.24	1709.26	2434.5	1733.13	2119.22	1870.53	1781.89	2193.99	2209.26	2255.7	2133.97	1685.71	1977.24	2240.11	642.59	599.49	417.77	872.1	775.05	748.61	872.1	1001.93	1119.56	884.29	884.29	1088.92	1697.45	902.89	1015.93	1662.49	1151.06	1167.14	1096.5	1639.59	878.17	1519.15	1331.57	1001.93	878.17	878.17	909.17	1286.18	836.53	1119.56	780.44	759.08	1051.79
TRUB1	211.31	162.14	77.25	90.77	107.38	379.04	384.34	384.34	473.41	332.14	363.56	429.54	665.29	275.28	239.52	688.78	486.75	403.5	514.56	142.01	409.15	381.68	124.37	503.95	441.64	460.44	406.31	426.57	403.5	438.59	457.25	450.94	435.55	358.54	414.87	493.56	476.71	412.0	432.53	454.09	368.65	429.54	514.56	397.93	583.07	412.0	387.02	457.25	371.22	135.24	151.22	361.04	353.59	332.14	356.05	314.17	361.04	309.83	303.44	299.25	325.29	379.04	312.0	356.05	320.8	358.54	124.37	124.37	156.59	161.02	162.14	228.13	223.41	224.97	285.03	159.9	226.54	251.48	218.79	273.37	228.13	248.0	221.86	217.27	217.27	265.87	239.52	267.73	212.78	293.07	145.02	271.48	194.36	255.0	214.27	273.37	214.27	211.31	318.57
TSN	384.34	490.14	540.19	457.25	651.58	1081.39	988.12	947.83	1044.52	1051.79	954.43	1088.92	1508.65	698.41	616.37	1304.15	995.0	1008.9	1331.57	616.37	785.88	1277.29	769.69	974.5	1001.93	1143.1	1151.06	1008.9	1119.56	1191.69	967.76	1096.5	890.44	1111.82	1051.79	961.07	1037.29	1081.39	1183.45	1051.79	1001.93	1073.91	1151.06	981.29	1277.29	1008.9	974.5	1119.56	988.12	423.61	490.14	1066.48	974.5	866.07	902.89	909.17	1023.0	915.51	872.1	802.41	896.64	1030.12	860.08	988.12	902.89	954.43	447.82	432.53	684.02	669.92	529.06	665.29	656.11	748.61	934.76	503.95	656.11	848.22	684.02	825.0	703.28	733.19	463.65	620.67	651.58	679.29	890.44	819.3	532.74	775.05	785.88	954.43	660.68	748.61	514.56	866.07	521.76	884.29	854.13
TSNAX	507.46	297.17	248.0	248.0	412.0	854.13	854.13	780.44	1191.69	802.41	866.07	1127.35	1378.57	612.11	460.44	1143.1	1073.91	896.64	1066.48	334.46	665.29	981.29	291.04	928.3	941.27	947.83	915.51	819.3	909.17	988.12	902.89	1037.29	928.3	915.51	954.43	1037.29	1119.56	981.29	909.17	967.76	878.17	1059.11	1051.79	819.3	1111.82	934.76	775.05	915.51	830.75	297.17	129.69	842.36	802.41	780.44	896.64	728.11	764.36	703.28	698.41	825.0	759.08	902.89	748.61	819.3	642.59	764.36	231.32	748.61	587.13	703.28	417.77	395.18	397.93	551.56	651.58	447.82	684.02	656.11	525.39	540.19	647.07	529.06	525.39	412.0	536.45	591.22	669.92	647.07	435.55	651.58	384.34	698.41	555.41	738.29	698.41	748.61	583.07	825.0	624.99
