	GTEX.12BJ1.1426.SM.5BC5Q	GTEX.1211K.1026.SM.5EQ4B	GTEX.S4Q7.0526.SM.4AD5N	TCGA.KN.8435.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.1399S.0526.SM.5IJG8	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	GTEX.1497J.0726.SM.5Q5D1	TCGA.DJ.A1QL.01A.11R.A14Y.07	TCGA.BJ.A2NA.11A.11R.A19O.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.148VJ.0726.SM.5LU8J	GTEX.11P81.0126.SM.5HL5Y	GTEX.SE5C.0726.SM.4BRWY	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.1399U.0326.SM.5P9G5	GTEX.11TTK.0826.SM.5N9EG	GTEX.ZGAY.1026.SM.4WWBR	GTEX.XMK1.0626.SM.4B65A	GTEX.U3ZM.0126.SM.3DB8M	GTEX.11LCK.0526.SM.5A5M9	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.X8HC.0726.SM.46MWG	GTEX.1211K.0726.SM.5FQUW
SLC36A2	0.28	1.0	1.51	1044.52	2682.69	1407.55	1628.26	239.52	2835.7	2915.45	1540.37	2468.49	1991.0	1605.83	3349.13	2591.27	2351.53	2468.49	1605.83	3103.19	2520.38	1467.37	1733.13	3280.18	2367.9	2018.8	4239.45	2209.26	3349.13	3847.29	3665.02	2485.67	1991.0	4123.49	3280.18	0.15	0.0	0.0	0.0	0.35	0.37	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.34	0.35	0.73	0.57	0.0	0.0	0.0
SLC47A2	2.63	2.58	2.29	1896.65	1119.56	2451.44	909.17	656.11	2434.5	1233.75	769.69	688.78	909.17	1651.0	3614.55	2287.2	1697.45	1870.53	759.08	2627.46	1369.04	1498.22	2367.9	2609.3	1259.69	2351.53	2163.77	2075.59	2835.7	2178.83	2367.9	1781.89	3060.45	1277.29	2193.99	0.77	8.06	6.89	3.14	3.96	0.71	2.68	1.85	7.51	8.13	3.26	5.23	3.69	5.36	11.82	2.92	4.82	0.12	1.85	2.73	9.85
SLC4A4	65.72	40.07	46.5	2645.74	2148.82	2061.24	1781.89	583.07	4095.0	3081.75	1519.15	1963.57	1757.34	2384.37	5112.16	2758.13	3768.09	4836.35	3372.43	3081.75	2319.15	2367.9	3491.39	3955.48	2004.85	3039.3	4671.57	2591.27	4736.79	4704.07	5594.3	2104.58	3982.99	3665.02	4066.71	616.37	229.72	395.18	1008.9	116.78	587.13	1359.57	24.99	412.0	961.07	647.07	387.02	571.05	651.58	607.87	314.17	444.72	164.42	698.41	172.65	348.71
SLC5A11	3.56	1.08	9.41	156.59	277.2	137.14	139.07	23.93	392.44	151.22	80.57	100.83	49.91	25.17	339.14	156.59	249.73	242.88	275.28	309.83	101.54	25.35	145.02	241.19	320.8	125.24	205.5	490.14	256.78	295.11	312.0	204.07	112.77	361.04	397.93	6.31	1.53	8.06	4.03	0.42	0.44	4.9	4.24	3.03	0.62	0.42	0.2	4.98	0.88	3.11	0.84	9.34	1.31	0.41	0.0	0.43
SLC5A12	0.24	0.73	1.58	3614.55	6037.61	3081.75	3564.78	532.74	6652.97	5633.22	2701.35	2777.33	2739.08	4769.75	8840.04	6250.56	6294.04	8778.97	5183.54	6561.36	4210.15	4066.71	6381.92	7485.11	4388.98	4575.41	9025.81	4869.99	8191.0	9740.98	8078.22	4972.34	6607.01	6294.04	8658.09	4.78	1.79	0.0	0.77	0.71	0.43	0.42	3.23	0.0	0.0	0.11	3.0	0.11	0.42	1.6	0.4	2.34	1.77	0.1	8.71	3.03
SLC5A2	13.72	5.06	12.45	2367.9	2303.12	2384.37	1135.2	366.09	2537.92	1709.26	1015.93	2032.85	1008.9	2004.85	2224.63	1583.71	2319.15	2004.85	1457.23	2573.36	1936.53	3303.0	902.89	2384.37	2178.83	2319.15	4388.98	1950.0	5006.93	2875.3	4010.71	2502.97	2855.44	3395.89	2997.45	3.29	9.93	31.45	17.9	13.52	28.65	9.34	16.27	39.5	21.63	27.44	9.48	46.5	7.17	27.64	4.78	11.04	17.64	12.18	5.73	8.0
SLC6A13	4.58	0.39	3.99	2627.46	5183.54	2758.13	22072.07	432.53	4607.24	4450.27	3081.75	3280.18	2758.13	2997.45	5329.3	4607.24	5711.87	4639.29	4010.71	4152.18	3564.78	2255.7	3847.29	4268.94	3303.0	2976.74	6037.61	4181.07	5791.62	5329.3	4419.52	5041.77	3768.09	7589.61	4038.61	435.55	381.68	215.77	414.87	198.47	361.04	293.07	435.55	193.01	403.5	293.07	521.76	476.71	295.11	112.77	197.09	63.0	928.3	500.46	1447.15	384.34
SLC7A13	0.0	0.0	0.0	279.14	532.74	189.02	228.13	14.56	656.11	406.31	19.25	34.26	49.56	49.91	825.0	507.46	1037.29	1427.22	389.72	941.27	62.12	3.38	256.78	81.14	583.07	129.69	591.22	808.0	890.44	547.75	738.29	363.56	113.56	157.68	289.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC7A7	511.0	204.07	400.71	5441.3	8538.88	5006.93	9279.58	1923.14	13872.08	11267.44	5517.27	4268.94	6250.56	8078.22	8247.98	7695.57	11035.54	7485.11	4512.4	9474.59	7642.41	5913.33	6294.04	8778.97	5479.15	6840.04	10440.2	6561.36	8421.31	14663.09	7966.99	6699.25	4972.34	9673.69	9409.14	647.07	94.67	232.94	77.25	129.69	279.14	149.12	90.77	199.85	143.01	109.66	185.11	59.55	239.52	67.12	125.24	229.72	187.71	249.73	299.25	100.13
SLC7A9	7.46	3.06	12.09	2485.67	4181.07	1745.2	2895.31	95.34	4010.71	1977.24	1183.45	1096.5	1331.57	1529.73	3639.7	2061.24	2384.37	3491.39	1991.0	3639.7	2537.92	1081.39	2047.0	2645.74	2935.74	2287.2	3515.68	3103.19	5041.77	3124.78	3124.78	2032.85	2400.97	5366.37	5183.54	435.55	15.22	21.94	13.42	17.38	39.79	21.01	13.32	48.87	12.93	66.18	14.78	22.59	37.05	24.81	19.11	28.24	26.67	22.75	15.56	19.53
SMIM20	988.12	813.63	785.88	1199.98	2520.38	1304.15	2835.7	813.63	1594.73	1167.14	1340.84	1304.15	1467.37	1023.0	1331.57	1359.57	1977.24	1104.13	1225.22	1950.0	1295.13	884.29	1304.15	1250.98	1268.46	1191.69	1313.23	1277.29	1233.75	1407.55	1111.82	1191.69	988.12	1259.69	1135.2	954.43	884.29	1322.37	974.5	1088.92	1104.13	1001.93	532.74	1044.52	995.0	1216.75	769.69	1477.58	1008.9	1059.11	988.12	1044.52	934.76	866.07	629.35	1104.13
SNX29	258.57	237.86	199.85	688.78	307.69	587.13	1407.55	521.76	1073.91	1199.98	579.04	669.92	633.73	529.06	708.18	669.92	612.11	974.5	896.64	656.11	785.88	441.64	656.11	759.08	483.38	679.29	703.28	764.36	713.11	819.3	1023.0	651.58	743.43	796.86	796.86	26.1	159.9	221.86	197.09	146.03	157.68	205.5	75.64	143.01	191.67	194.36	183.82	205.5	149.12	172.65	215.77	205.5	134.3	234.57	147.06	201.25
SOX6	5.82	14.35	11.91	329.84	169.07	264.03	688.78	153.34	312.0	376.41	244.57	336.79	283.05	226.54	371.22	297.17	248.0	384.34	301.33	281.09	262.2	258.57	289.02	327.56	220.32	269.6	241.19	251.48	285.03	248.0	341.51	234.57	346.29	256.78	262.2	124.37	63.89	33.3	46.5	66.18	48.52	85.82	24.99	43.63	105.15	64.34	33.78	55.89	75.64	55.89	42.71	66.18	35.5	46.5	26.86	42.41
SUCLA2	947.83	718.08	656.11	1508.65	1697.45	1233.75	3257.52	890.44	1844.76	1923.14	1519.15	1427.22	1369.04	1498.22	1674.06	1819.35	1721.16	1757.34	1721.16	1832.01	1819.35	1369.04	1685.71	1457.23	1369.04	1259.69	1781.89	1529.73	1529.73	1519.15	1605.83	1191.69	1191.69	1304.15	1617.0	511.0	540.19	825.0	961.07	551.56	890.44	759.08	447.82	764.36	872.1	830.75	718.08	713.11	764.36	909.17	723.08	941.27	612.11	1015.93	463.65	780.44
TATDN3	395.18	343.89	353.59	460.44	819.3	412.0	665.29	381.68	466.88	521.76	486.75	529.06	500.46	466.88	417.77	507.46	483.38	447.82	599.49	642.59	521.76	454.09	521.76	460.44	493.56	420.68	500.46	371.22	395.18	426.57	497.0	476.71	447.82	356.05	403.5	199.85	208.38	307.69	275.28	351.14	271.48	301.33	277.2	264.03	297.17	277.2	318.57	320.8	312.0	356.05	169.07	285.03	269.6	275.28	258.57	299.25
TBC1D19	137.14	74.06	88.88	323.03	363.56	323.03	555.41	209.84	473.41	441.64	253.23	239.52	291.04	316.37	426.57	403.5	395.18	429.54	373.81	532.74	297.17	289.02	409.15	403.5	214.27	351.14	420.68	351.14	363.56	403.5	414.87	265.87	279.14	316.37	371.22	37.85	88.88	128.79	154.42	139.07	136.19	154.42	73.03	161.02	157.68	152.28	113.56	146.03	97.36	153.34	128.79	189.02	92.7	182.55	111.99	103.69
TLN2	72.52	123.5	136.19	1594.73	1073.91	1477.58	4038.61	1001.93	1572.76	1909.85	1059.11	854.13	1268.46	1259.69	1857.6	2090.03	1561.89	2090.03	1923.14	2075.59	1167.14	896.64	921.88	1529.73	1583.71	1832.01	2018.8	1896.65	2796.65	2209.26	3018.3	1268.46	1733.13	3901.01	2895.31	387.02	620.67	336.79	796.86	106.63	395.18	406.31	52.45	297.17	743.43	237.86	483.38	167.9	417.77	299.25	575.03	896.64	312.0	392.44	197.09	616.37
TMEM174	0.0	0.8	0.0	3303.0	6164.49	3212.66	4836.35	178.77	3614.55	3847.29	2018.8	2400.97	2434.5	1594.73	6337.83	4358.66	4736.79	5366.37	4123.49	6337.83	3280.18	1540.37	3564.78	3212.66	3467.27	3690.52	5954.47	5183.54	5255.91	6079.61	7966.99	3419.52	2434.5	5831.91	6516.03	0.0	2.61	4.35	5.45	4.21	7.11	8.38	0.0	0.0	5.63	10.08	2.94	1.77	8.19	2.58	4.98	13.42	10.79	4.66	4.78	8.32
TMEM192	297.17	316.37	307.69	1066.48	1457.23	947.83	1350.18	476.71	1350.18	1313.23	708.18	842.36	842.36	947.83	1781.89	1159.07	1167.14	1733.13	1191.69	1417.35	961.07	669.92	1081.39	1304.15	1008.9	915.51	1340.84	1313.23	1259.69	1216.75	1487.87	1008.9	1044.52	1111.82	1487.87	325.29	180.02	341.51	571.05	341.51	638.15	507.46	194.36	540.19	547.75	323.03	381.68	368.65	587.13	521.76	473.41	435.55	409.15	490.14	191.67	665.29
TMEM207	0.0	0.0	0.0	373.81	1977.24	90.77	129.69	70.51	231.32	743.43	444.72	435.55	514.56	253.23	211.31	563.18	693.58	444.72	813.63	518.15	271.48	126.12	277.2	351.14	902.89	29.7	301.33	703.28	381.68	220.32	395.18	249.73	78.34	111.21	327.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMEM52B	0.0	0.0	0.42	5255.91	7180.15	6294.04	12160.22	1268.46	4607.24	7911.95	12943.04	8840.04	7485.11	3303.0	3690.52	7966.99	3955.48	7331.05	9673.69	3280.18	6887.62	5219.6	5329.3	7537.18	11035.54	2956.17	6887.62	4512.4	5555.65	6935.54	7433.4	6250.56	4152.18	7180.15	6652.97	0.67	1.04	5.15	1.51	0.0	6.01	0.0	2.46	0.0	2.46	0.0	0.0	2.01	4.24	0.0	0.0	4.74	0.0	1.95	8.71	0.96
TOM1L1	389.72	373.81	500.46	1963.57	2976.74	2018.8	5329.3	928.3	2468.49	2720.15	1977.24	2104.58	2224.63	2104.58	2240.11	2591.27	2777.33	2682.69	2271.4	3349.13	2303.12	1551.09	2148.82	2240.11	2061.24	1709.26	2434.5	2119.22	2193.99	2209.26	2255.7	2133.97	1685.71	1977.24	2240.11	642.59	775.05	1001.93	1119.56	884.29	1088.92	1697.45	718.08	902.89	1096.5	1639.59	878.17	1331.57	1001.93	878.17	909.17	1286.18	836.53	1119.56	780.44	759.08
TREH	13.03	10.47	4.54	432.53	1151.06	279.14	1233.75	44.57	1037.29	825.0	98.73	281.09	371.22	441.64	1397.83	669.92	500.46	1151.06	1015.93	961.07	255.0	218.79	205.5	507.46	633.73	483.38	1313.23	1081.39	1037.29	1286.18	1044.52	878.17	547.75	1208.34	854.13	147.06	1.89	11.64	21.78	3.35	1.75	2.46	6.31	3.08	26.86	6.21	8.65	9.7	11.38	4.28	2.84	4.28	18.29	15.8	3.63	13.12
TRIM6	26.1	18.43	22.92	656.11	785.88	1066.48	2133.97	151.22	1111.82	595.34	830.75	567.1	147.06	223.41	1388.16	423.61	1233.75	1259.69	1388.16	981.29	148.09	217.27	708.18	346.29	204.07	320.8	1519.15	441.64	529.06	1487.87	1498.22	1159.07	616.37	599.49	139.07	84.63	128.79	121.79	195.72	69.52	201.25	100.13	98.73	178.77	221.86	114.36	57.49	93.35	101.54	135.24	92.7	164.42	145.02	209.84	100.83	40.07
TRPM3	8.58	2.86	12.55	229.72	218.79	215.77	679.29	28.45	343.89	368.65	251.48	271.48	244.57	187.71	283.05	289.02	239.52	500.46	356.05	406.31	208.38	128.79	204.07	312.0	234.57	242.88	231.32	295.11	320.8	281.09	384.34	303.44	172.65	309.83	323.03	1.41	22.92	20.71	37.32	29.91	44.57	36.53	6.46	85.82	72.01	96.01	10.16	23.42	5.73	14.89	13.03	6.89	5.28	22.75	10.63	5.28
TSPAN33	202.66	202.66	165.57	3665.02	2400.97	4066.71	8901.53	1487.87	5329.3	3690.52	3820.7	4210.15	3794.3	3768.09	4575.41	4869.99	4298.64	4607.24	5076.84	3716.2	5219.6	2976.74	2875.3	3955.48	3372.43	4328.55	7331.05	5479.15	6294.04	4639.29	6792.79	4239.45	4268.94	4607.24	6561.36	275.28	262.2	629.35	703.28	127.89	323.03	277.2	25.17	376.41	316.37	651.58	80.01	351.14	633.73	193.01	473.41	221.86	175.07	106.63	171.45	173.85
USP2	186.4	164.42	409.15	1651.0	1088.92	1733.13	1250.98	915.51	2468.49	2835.7	1447.15	813.63	718.08	698.41	2032.85	2855.44	2367.9	759.08	1733.13	1572.76	1143.1	1143.1	384.34	941.27	3235.01	1015.93	2573.36	1191.69	2255.7	2367.9	3146.52	1844.76	1199.98	1561.89	1844.76	256.78	212.78	84.63	130.6	27.05	76.17	76.17	37.85	127.0	183.82	61.25	115.16	57.49	189.02	171.45	90.77	114.36	133.36	85.22	26.47	149.12
XPNPEP2	450.94	190.34	285.03	4038.61	4671.57	4152.18	4481.23	400.71	6037.61	6983.79	3081.75	3325.99	3515.68	2777.33	6607.01	6887.62	7642.41	11424.74	5954.47	7130.55	4937.99	3742.05	5041.77	8598.28	6294.04	5441.3	10154.69	5831.91	9945.68	11267.44	11112.3	6294.04	4972.34	10225.32	10959.3	1268.46	3.29	9.06	12.18	7.94	15.56	11.3	6.62	21.63	2.81	32.82	9.56	8.99	30.12	1.07	18.16	40.36	7.0	18.03	18.97	5.11
ZMYND12	15.91	7.82	8.25	248.0	684.02	236.21	1331.57	108.9	414.87	320.8	242.88	223.41	260.38	214.27	309.83	346.29	356.05	314.17	336.79	603.67	248.0	212.78	262.2	260.38	389.72	253.23	381.68	387.02	265.87	314.17	332.14	307.69	189.02	281.09	309.83	30.78	154.42	199.85	153.34	194.36	159.9	145.02	41.81	158.79	209.84	183.82	109.66	283.05	164.42	173.85	127.89	163.28	65.26	135.24	85.82	208.38
