	GTEX.WZTO.0426.SM.3NM99	GTEX.11WQC.0626.SM.5EQMF	GTEX.131XW.1126.SM.5EGK4	GTEX.117YW.0526.SM.5H11C	GTEX.13O3Q.0526.SM.5KM18	GTEX.N7MS.0926.SM.2HMIZ	GTEX.Q2AG.1026.SM.33HBW	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.ET.A25N.01A.11R.A16R.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYW4.1126.SM.5SI99	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.148VJ.0726.SM.5LU8J	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.139UW.0126.SM.5KM1B	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.YF7O.0726.SM.4W213	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.RTLS.0626.SM.5SI7Z	GTEX.13D11.0226.SM.5LZXL	GTEX.13OVI.0826.SM.5KLZ8	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.13O3P.0726.SM.5J2OM
NDUFB7	2609.3	1135.2	1540.37	2664.15	2119.22	1477.58	1183.45	4152.18	3257.52	4543.8	4268.94	10225.32	5954.47	3901.01	6294.04	7382.04	7589.61	8778.97	5403.7	7180.15	4802.93	3467.27	3589.58	7230.1	4512.4	7081.29	8658.09	7331.05	2271.4	10014.87	2682.69	8479.89	7857.29	6381.92	7642.41	4152.18	7589.61	7589.61	5831.91	9215.48	9876.98	6037.61	9740.98	3443.31	13215.02	7130.55	7695.57	11664.82	9540.5	6652.97	6652.97	5255.91	11035.54	6471.02	10225.32	4512.4	6079.61	13399.51	7911.95	10014.87	4181.07	8840.04	4419.52	2758.13	6471.02	8078.22	7537.18	8363.13	5006.93	8305.36	7911.95	3235.01
NDUFC1	2224.63	1378.57	1199.98	2520.38	2148.82	1208.34	1832.01	4419.52	3982.99	4095.0	4038.61	10084.54	8022.41	4038.61	5403.7	6337.83	4066.71	6983.79	4869.99	9215.48	4268.94	4450.27	5954.47	4543.8	4268.94	4802.93	6516.03	4268.94	4268.94	5255.91	3564.78	5041.77	4736.79	5292.48	5517.27	4038.61	6887.62	6381.92	5594.3	5076.84	7130.55	4704.07	5995.9	4152.18	7433.4	4802.93	4836.35	8421.31	6164.49	5594.3	5517.27	4298.64	6607.01	5403.7	8901.53	4639.29	4607.24	6426.31	6079.61	6250.56	3212.66	7911.95	3874.05	4802.93	5479.15	5329.3	5751.61	7966.99	5329.3	6607.01	7589.61	3955.48
NDUFC2	2468.49	1709.26	2400.97	2520.38	2178.83	1819.35	1286.18	8840.04	5255.91	6887.62	5954.47	13215.02	10733.74	6561.36	9474.59	10959.3	10808.41	10440.2	6207.38	11992.79	8191.0	4802.93	5995.9	11267.44	8247.98	8421.31	14361.31	11745.96	6207.38	14971.21	4358.66	11035.54	12415.75	6745.86	8598.28	6164.49	8078.22	8598.28	11584.24	13968.57	12160.22	9344.14	15180.22	8538.88	16045.82	11035.54	11345.82	20310.37	15285.81	8718.32	9151.82	8778.97	15075.35	9409.14	16045.82	9945.68	11189.6	18950.18	13681.08	11504.21	5366.37	14361.31	8191.0	6426.31	9740.98	9945.68	8718.32	13215.02	6652.97	10659.59	9876.98	5112.16
NDUFS6	830.75	389.72	759.08	616.37	638.15	723.08	277.2	836.53	819.3	947.83	780.44	1909.85	1388.16	896.64	1295.13	1909.85	1651.0	1923.14	1135.2	1583.71	1250.98	813.63	802.41	1628.26	974.5	1313.23	1697.45	1781.89	688.78	2555.58	769.69	1540.37	1639.59	1233.75	1359.57	791.35	1259.69	1388.16	1304.15	2075.59	1295.13	1561.89	2627.46	1127.35	2573.36	1477.58	1909.85	2367.9	2271.4	1350.18	1437.15	1359.57	2163.77	1498.22	2573.36	1331.57	1417.35	2520.38	1819.35	2591.27	836.53	1709.26	974.5	620.67	1295.13	1963.57	1397.83	1662.49	842.36	1437.15	1551.09	819.3
NUCB2	1923.14	1030.12	2224.63	1819.35	1340.84	1331.57	2193.99	3124.78	1001.93	2133.97	2682.69	4388.98	4358.66	2004.85	3395.89	2758.13	3190.46	6561.36	2627.46	5183.54	2855.44	1331.57	4066.71	2682.69	1745.2	1447.15	5672.41	2875.3	1896.65	4181.07	884.29	3303.0	2956.17	2434.5	2384.37	2032.85	2502.97	3257.52	4066.71	2384.37	4152.18	2133.97	3690.52	2271.4	1896.65	2367.9	3280.18	5594.3	8247.98	2739.08	2018.8	2976.74	3540.14	2997.45	3847.29	3081.75	7081.29	6164.49	4937.99	7433.4	1340.84	3325.99	1037.29	2758.13	2609.3	2758.13	2434.5	3928.15	3690.52	2384.37	5872.48	2075.59
OGDH	1540.37	954.43	928.3	1594.73	1088.92	1583.71	1104.13	1721.16	1199.98	2004.85	1159.07	2303.12	2075.59	1183.45	2193.99	2816.11	3060.45	2303.12	1936.53	1674.06	1745.2	775.05	1407.55	2240.11	1242.34	2609.3	2209.26	3303.0	1477.58	4181.07	567.1	3257.52	2224.63	1781.89	1733.13	1477.58	1268.46	1936.53	2193.99	2502.97	2434.5	1781.89	2935.74	1457.23	3349.13	2555.58	2956.17	2148.82	3257.52	2047.0	2255.7	2133.97	3018.3	1870.53	2193.99	2609.3	2537.92	2075.59	2976.74	2895.31	1127.35	2739.08	1268.46	1487.87	2255.7	3235.01	1991.0	2061.24	1529.73	1832.01	2240.11	1286.18
PARK7	3716.2	3564.78	4298.64	4388.98	3395.89	4123.49	3039.3	7280.4	5633.22	7642.41	7911.95	16611.71	12943.04	5791.62	10296.45	11424.74	11189.6	14867.79	7537.18	14867.79	8963.45	6699.25	7032.37	10585.95	8022.41	8191.0	11664.82	11745.96	6652.97	15607.02	4388.98	9673.69	12853.63	8479.89	9025.81	6164.49	9474.59	10883.59	10014.87	14663.09	11827.67	8598.28	14361.31	6652.97	13872.08	11424.74	12502.12	13681.08	13215.02	7230.1	9606.86	10585.95	13681.08	9808.75	14663.09	9409.14	9876.98	14163.58	11424.74	12076.21	5594.3	13215.02	7433.4	7280.4	9673.69	13681.08	8778.97	11992.79	9215.48	10368.08	11745.96	6037.61
PGD	1259.69	1143.1	1111.82	1950.0	1359.57	1417.35	995.0	2664.15	1685.71	2682.69	1857.6	3372.43	3190.46	2119.22	2976.74	3081.75	4328.55	2682.69	2335.28	2664.15	2502.97	1417.35	2287.2	4937.99	2224.63	2367.9	2976.74	3847.29	2777.33	5954.47	1208.34	2645.74	2997.45	3190.46	2520.38	1794.29	2400.97	2664.15	4328.55	5329.3	3190.46	3794.3	4802.93	2133.97	2520.38	3081.75	3614.55	4388.98	4210.15	2255.7	2777.33	3212.66	3491.39	2287.2	3349.13	3665.02	5006.93	5076.84	3372.43	4512.4	1427.22	3212.66	1923.14	2133.97	3039.3	3614.55	2468.49	2720.15	2645.74	2485.67	2701.35	1519.15
PHB	2163.77	1023.0	1388.16	1159.07	1159.07	1936.53	1388.16	2384.37	2520.38	3039.3	2739.08	3901.01	3564.78	1936.53	3081.75	3564.78	3124.78	4066.71	2739.08	3303.0	2664.15	1963.57	2796.65	3257.52	2664.15	2976.74	3419.52	3820.7	2004.85	4419.52	1447.15	3235.01	3372.43	3303.0	3280.18	2400.97	2997.45	3303.0	3540.14	3690.52	3372.43	2855.44	4388.98	2573.36	3564.78	3515.68	4481.23	3540.14	3768.09	2555.58	3039.3	3168.41	3982.99	2875.3	3614.55	3190.46	3491.39	3768.09	3665.02	3820.7	2193.99	3901.01	2104.58	2573.36	3190.46	3589.58	3467.27	3419.52	2555.58	3372.43	3742.05	2032.85
PLEKHJ1	1030.12	693.58	660.68	808.0	1127.35	1135.2	854.13	1023.0	503.95	1529.73	796.86	3190.46	1417.35	3491.39	3039.3	4836.35	4038.61	2224.63	1417.35	1540.37	2335.28	909.17	1923.14	2255.7	1044.52	2915.45	3820.7	2537.92	1467.37	4152.18	1111.82	2468.49	1819.35	1467.37	1388.16	2485.67	1508.65	1437.15	1806.78	2739.08	2351.53	2502.97	2777.33	1277.29	5006.93	2090.03	2758.13	4152.18	3794.3	1883.54	2502.97	1794.29	2895.31	1088.92	3690.52	2119.22	3039.3	3614.55	3639.7	4388.98	866.07	4543.8	1259.69	1259.69	2018.8	3515.68	2271.4	5292.48	2555.58	1896.65	2485.67	1225.22
POLDIP2	698.41	612.11	713.11	759.08	620.67	656.11	551.56	1286.18	1081.39	1127.35	1242.34	1617.0	1662.49	860.08	1605.83	1605.83	1529.73	1529.73	934.76	1277.29	1167.14	1066.48	1088.92	1651.0	981.29	1487.87	1594.73	1662.49	981.29	1950.0	1001.93	1529.73	1662.49	1313.23	1378.57	974.5	1242.34	1242.34	1427.22	1832.01	1477.58	1477.58	1721.16	981.29	1721.16	1583.71	1794.29	1806.78	1685.71	1175.27	1407.55	1540.37	1745.2	1242.34	2047.0	1594.73	1529.73	2148.82	1685.71	1628.26	1051.79	2018.8	1208.34	1023.0	1407.55	1832.01	1359.57	1519.15	1295.13	1388.16	1447.15	796.86
POLR2G	708.18	780.44	947.83	909.17	884.29	819.3	1044.52	1369.04	1015.93	1378.57	2193.99	3018.3	2417.67	974.5	2209.26	1977.24	1651.0	2335.28	1662.49	2209.26	988.12	1651.0	1191.69	1896.65	1304.15	1896.65	1963.57	1794.29	854.13	2090.03	1277.29	1806.78	2224.63	2061.24	2520.38	1313.23	1883.54	2209.26	1950.0	2148.82	2434.5	1977.24	2061.24	1508.65	1794.29	1617.0	1806.78	1909.85	1923.14	1819.35	2255.7	1639.59	2367.9	1757.34	2485.67	1781.89	1417.35	2104.58	1651.0	2520.38	1709.26	2591.27	1769.57	1519.15	1883.54	1769.57	1806.78	1757.34	1806.78	2209.26	2502.97	1242.34
POP4	423.61	521.76	521.76	490.14	612.11	450.94	384.34	1322.37	1183.45	1259.69	1529.73	1709.26	1628.26	884.29	1551.09	1870.53	1857.6	1662.49	1295.13	1427.22	1066.48	1159.07	1030.12	1806.78	1397.83	1685.71	1733.13	1583.71	902.89	1950.0	1199.98	1832.01	1857.6	1447.15	1457.23	1457.23	1594.73	1340.84	1709.26	1769.57	1594.73	1745.2	1745.2	1313.23	1857.6	1540.37	1794.29	1733.13	2240.11	1259.69	1745.2	1769.57	1963.57	1242.34	1991.0	1639.59	1551.09	1757.34	1806.78	1819.35	1225.22	2075.59	1208.34	1331.57	1662.49	1697.45	1639.59	1268.46	1477.58	1427.22	1674.06	1143.1
PPIF	559.28	1081.39	500.46	543.96	1340.84	1044.52	1111.82	638.15	285.03	647.07	518.15	1519.15	1242.34	551.56	1167.14	1628.26	1350.18	866.07	954.43	660.68	748.61	426.57	1037.29	1233.75	329.84	1208.34	1127.35	1322.37	1111.82	2997.45	616.37	1167.14	1143.1	679.29	647.07	660.68	718.08	665.29	1457.23	1322.37	688.78	878.17	1963.57	665.29	1487.87	947.83	1044.52	1529.73	2271.4	738.29	878.17	791.35	1044.52	866.07	1977.24	1540.37	1081.39	1051.79	1259.69	2319.15	400.71	2148.82	688.78	511.0	718.08	2485.67	1487.87	1051.79	921.88	967.76	1359.57	532.74
PPIL1	195.72	181.28	115.16	185.11	180.02	248.0	166.73	470.14	409.15	297.17	665.29	1216.75	872.1	211.31	764.36	872.1	981.29	860.08	460.44	775.05	291.04	295.11	684.02	595.34	368.65	575.03	1487.87	698.41	341.51	1127.35	151.22	693.58	1059.11	406.31	551.56	409.15	423.61	633.73	1159.07	1467.37	595.34	603.67	928.3	406.31	1081.39	674.59	1388.16	1331.57	1457.23	417.77	547.75	514.56	915.51	579.04	1617.0	743.43	1143.1	1437.15	802.41	1340.84	249.73	1059.11	339.14	323.03	629.35	928.3	575.03	674.59	669.92	532.74	928.3	346.29
PRADC1	212.78	162.14	242.88	279.14	150.17	177.53	159.9	341.51	293.07	277.2	368.65	928.3	718.08	223.41	708.18	698.41	674.59	703.28	287.01	842.36	285.03	208.38	295.11	547.75	265.87	698.41	915.51	669.92	137.14	1250.98	187.71	808.0	796.86	733.19	555.41	343.89	518.15	620.67	521.76	967.76	848.22	486.75	878.17	281.09	1233.75	599.49	698.41	1216.75	1059.11	417.77	638.15	414.87	1051.79	473.41	1208.34	575.03	693.58	1073.91	780.44	1250.98	299.25	995.0	307.69	332.14	591.22	1081.39	463.65	981.29	432.53	579.04	669.92	209.84
PRDX3	1225.22	902.89	1216.75	1477.58	1066.48	808.0	1733.13	3928.15	2816.11	3325.99	3395.89	6079.61	5954.47	2645.74	4736.79	4181.07	4181.07	5711.87	3847.29	6164.49	3768.09	2997.45	3212.66	4123.49	3742.05	3614.55	4903.87	4358.66	3039.3	4639.29	2335.28	4298.64	4152.18	3443.31	3564.78	3190.46	3540.14	4152.18	4388.98	4575.41	5041.77	3589.58	4937.99	3190.46	4358.66	4066.71	3665.02	6079.61	5441.3	3280.18	3443.31	4095.0	4836.35	4095.0	4972.34	3847.29	4769.75	5329.3	5183.54	4328.55	2664.15	5479.15	3146.52	3443.31	4972.34	4802.93	4268.94	4736.79	4328.55	3928.15	5672.41	2835.7
PSMB6	2384.37	1467.37	1617.0	1628.26	2287.2	1977.24	1407.55	2367.9	2319.15	2209.26	2271.4	3901.01	3190.46	2627.46	3419.52	3665.02	3901.01	3955.48	2555.58	3303.0	2555.58	2018.8	2664.15	3467.27	2485.67	3395.89	4066.71	3901.01	2209.26	5366.37	1870.53	3540.14	3716.2	2627.46	3257.52	2287.2	3257.52	3349.13	3768.09	5292.48	3467.27	3419.52	4802.93	2468.49	5041.77	3768.09	4736.79	5041.77	4639.29	2485.67	3349.13	3419.52	5441.3	3060.45	5255.91	3665.02	3928.15	5112.16	3443.31	5183.54	2018.8	4419.52	2451.44	2133.97	3349.13	3742.05	3146.52	3768.09	2835.7	3190.46	3235.01	1883.54
PSMB7	1594.73	723.08	1457.23	1857.6	1457.23	1662.49	1015.93	2104.58	2485.67	2209.26	2555.58	3325.99	3280.18	2255.7	2485.67	3372.43	2855.44	3349.13	2319.15	2796.65	1923.14	2720.15	2178.83	3372.43	2271.4	2664.15	2935.74	2875.3	2255.7	3742.05	2119.22	2997.45	3325.99	2591.27	3060.45	2104.58	2997.45	2777.33	2758.13	3665.02	3280.18	3349.13	3491.39	2319.15	3515.68	2701.35	3665.02	3665.02	3742.05	2664.15	2997.45	2976.74	3564.78	2502.97	3928.15	3325.99	2835.7	3928.15	3190.46	4210.15	2485.67	3614.55	2384.37	2520.38	2645.74	3146.52	2682.69	2875.3	2875.3	2976.74	3103.19	1697.45
RABL5	457.25	189.02	287.01	305.55	273.37	285.03	435.55	1313.23	1051.79	1051.79	1151.06	1844.76	1745.2	669.92	1233.75	1417.35	967.76	1674.06	1457.23	1662.49	1044.52	974.5	1073.91	1225.22	1378.57	1135.2	1304.15	1199.98	775.05	1167.14	476.71	1369.04	1143.1	1594.73	1208.34	884.29	1417.35	1529.73	1388.16	1175.27	1617.0	1015.93	1304.15	848.22	1159.07	1331.57	1250.98	1477.58	1159.07	1127.35	1487.87	1322.37	1467.37	1183.45	1427.22	1143.1	1143.1	1447.15	1427.22	1191.69	836.53	1721.16	1183.45	1175.27	1119.56	1023.0	1127.35	1447.15	1457.23	1447.15	1551.09	743.43
RPA3	454.09	246.28	239.52	265.87	269.6	275.28	346.29	507.46	493.56	591.22	1111.82	1216.75	1088.92	595.34	620.67	647.07	748.61	1175.27	753.83	1183.45	591.22	708.18	733.19	679.29	854.13	633.73	748.61	708.18	486.75	866.07	406.31	1015.93	825.0	679.29	764.36	497.0	1044.52	587.13	723.08	909.17	1350.18	708.18	830.75	674.59	1119.56	688.78	738.29	1498.22	1183.45	642.59	620.67	624.99	1081.39	836.53	954.43	713.11	642.59	1143.1	995.0	1037.29	555.41	1250.98	518.15	1008.9	988.12	808.0	1088.92	941.27	612.11	902.89	1104.13	753.83
RPL26L1	346.29	279.14	273.37	285.03	309.83	226.54	329.84	679.29	612.11	728.11	808.0	1540.37	1208.34	620.67	896.64	1066.48	848.22	1268.46	775.05	1167.14	575.03	518.15	708.18	1037.29	612.11	1030.12	1340.84	961.07	620.67	1378.57	514.56	995.0	1322.37	896.64	866.07	688.78	967.76	890.44	1096.5	1467.37	1151.06	928.3	1159.07	587.13	1487.87	941.27	1407.55	1369.04	1561.89	748.61	961.07	808.0	1183.45	941.27	1340.84	1015.93	909.17	1388.16	1135.2	1540.37	620.67	1208.34	748.61	669.92	974.5	1175.27	974.5	1135.2	947.83	954.43	1295.13	457.25
RPP25L	190.34	140.04	194.36	260.38	167.9	131.51	199.85	507.46	358.54	599.49	660.68	860.08	775.05	305.55	733.19	733.19	669.92	698.41	532.74	463.65	444.72	490.14	698.41	665.29	547.75	1037.29	780.44	830.75	392.44	780.44	412.0	878.17	703.28	848.22	733.19	693.58	651.58	559.28	988.12	954.43	780.44	688.78	884.29	346.29	796.86	713.11	909.17	1066.48	733.19	595.34	802.41	555.41	1044.52	497.0	1073.91	674.59	738.29	743.43	733.19	813.63	507.46	954.43	633.73	693.58	738.29	808.0	651.58	703.28	616.37	769.69	633.73	381.68
RUVBL1	423.61	633.73	470.14	341.51	237.86	381.68	307.69	460.44	493.56	473.41	540.19	775.05	567.1	346.29	514.56	638.15	660.68	708.18	567.1	612.11	353.59	356.05	503.95	629.35	426.57	651.58	665.29	647.07	341.51	928.3	281.09	674.59	738.29	490.14	567.1	591.22	417.77	603.67	679.29	753.83	612.11	571.05	780.44	490.14	651.58	616.37	872.1	612.11	759.08	473.41	529.06	563.18	738.29	728.11	802.41	651.58	563.18	579.04	551.56	819.3	470.14	708.18	356.05	511.0	638.15	708.18	665.29	486.75	525.39	521.76	624.99	483.38
SDHAF2	429.54	460.44	555.41	476.71	384.34	435.55	379.04	934.76	896.64	915.51	1111.82	1388.16	1175.27	934.76	1183.45	961.07	1183.45	1199.98	825.0	1023.0	633.73	728.11	1015.93	1175.27	909.17	1001.93	1519.15	961.07	819.3	1250.98	785.88	1199.98	1359.57	954.43	1023.0	961.07	1143.1	1023.0	1151.06	1350.18	1498.22	1417.35	1551.09	947.83	1250.98	1295.13	1277.29	1674.06	1304.15	775.05	1250.98	1350.18	1508.65	842.36	1561.89	1437.15	1008.9	1709.26	1250.98	1313.23	884.29	1594.73	1059.11	753.83	1242.34	1331.57	1151.06	1331.57	1359.57	1030.12	1183.45	791.35
SHMT1	309.83	164.42	336.79	153.34	193.01	158.79	312.0	928.3	743.43	1073.91	947.83	1127.35	1721.16	669.92	1674.06	1304.15	1359.57	1167.14	1304.15	1286.18	1001.93	708.18	559.28	1529.73	1359.57	915.51	1259.69	1331.57	334.46	1477.58	693.58	1519.15	1508.65	1096.5	1407.55	748.61	728.11	1044.52	1685.71	1508.65	1286.18	915.51	1769.57	1119.56	1540.37	1909.85	1277.29	2287.2	1709.26	1250.98	1378.57	1250.98	1769.57	1388.16	967.76	902.89	1447.15	1757.34	1561.89	1277.29	872.1	1561.89	1427.22	928.3	1909.85	1639.59	1111.82	1437.15	836.53	1651.0	1216.75	583.07
SNRPD3	1277.29	854.13	1037.29	698.41	830.75	713.11	612.11	1674.06	1721.16	2061.24	2224.63	4181.07	3395.89	1662.49	1709.26	3124.78	1950.0	3820.7	2193.99	3325.99	1977.24	1963.57	2209.26	2835.7	2104.58	2133.97	1909.85	2047.0	2018.8	2384.37	1617.0	2502.97	2287.2	2520.38	2537.92	2090.03	2777.33	2796.65	3039.3	2835.7	3018.3	2047.0	3124.78	2163.77	2485.67	2520.38	3018.3	2047.0	2468.49	2664.15	3372.43	2573.36	2758.13	2520.38	2664.15	2224.63	1832.01	2018.8	2502.97	2384.37	1769.57	2591.27	1605.83	2224.63	2271.4	2224.63	2400.97	3103.19	1685.71	2915.45	2976.74	1733.13
SURF1	775.05	579.04	587.13	708.18	536.45	872.1	511.0	1572.76	941.27	1313.23	1369.04	2645.74	2400.97	791.35	1963.57	1594.73	1617.0	1870.53	1304.15	2163.77	1427.22	1540.37	1313.23	1378.57	1508.65	1950.0	1883.54	1417.35	995.0	1529.73	974.5	1870.53	1605.83	1857.6	1896.65	1216.75	2178.83	2287.2	1870.53	2335.28	1963.57	1583.71	2240.11	941.27	2090.03	1208.34	1883.54	1781.89	1733.13	1757.34	2032.85	1268.46	1583.71	1583.71	1883.54	1561.89	1437.15	2224.63	1870.53	1605.83	1331.57	2303.12	1225.22	1617.0	1936.53	1388.16	1794.29	2451.44	1340.84	2178.83	1551.09	967.76
TG	22.1	14.89	28.45	13.12	26.67	35.76	24.46	945028.61	180294.02	945028.61	1264380.15	1393227.06	2068278.89	1012856.65	1452391.55	2247670.86	2126426.15	1751305.3	1273174.62	2375828.71	2111737.85	668235.84	1204496.53	1611529.43	1308968.45	1739208.14	1634025.56	1838374.44	857631.47	1997825.68	190574.09	1984025.69	1997825.68	1984025.69	1355129.16	839981.65	2986448.72	1567462.05	2025714.3	1318073.06	2425749.94	1402917.72	1929772.37	875652.15	1943195.01	1727194.55	1355129.16	2636147.11	2263304.65	1229805.58	1775752.63	2111737.85	1108362.75	1691649.38	811368.76	1668359.93	1800541.22	3178687.03	3886391.01	1116072.03	428815.23	1645391.11	811368.76	1155430.26	1622738.51	2263304.65	1535204.12	2672946.37	1514068.5	1864037.21	1634025.56	237899.7
TIMM17B	1059.11	409.15	674.59	665.29	825.0	848.22	563.18	769.69	620.67	928.3	909.17	2047.0	947.83	684.02	1437.15	1151.06	1143.1	1769.57	1304.15	1605.83	1819.35	1037.29	1467.37	825.0	1023.0	1909.85	1216.75	1286.18	1008.9	1844.76	878.17	1467.37	1832.01	1340.84	1697.45	884.29	1529.73	1378.57	1883.54	2468.49	2591.27	1417.35	1477.58	1051.79	1745.2	1540.37	2178.83	2816.11	1191.69	1127.35	1359.57	1081.39	1857.6	1191.69	2520.38	1096.5	1175.27	2537.92	1119.56	1331.57	759.08	1977.24	1529.73	684.02	1331.57	1073.91	1225.22	2104.58	1397.83	1286.18	1794.29	728.11
TIMM22	121.79	135.24	120.1	100.83	105.89	121.79	91.41	169.07	107.38	223.41	202.66	334.46	301.33	195.72	215.77	248.0	208.38	273.37	176.29	249.73	158.79	147.06	153.34	204.07	185.11	228.13	236.21	253.23	149.12	218.79	147.06	232.94	231.32	267.73	244.57	190.34	183.82	265.87	265.87	273.37	253.23	221.86	260.38	208.38	236.21	220.32	256.78	264.03	229.72	204.07	223.41	217.27	293.07	183.82	265.87	236.21	215.77	258.57	206.94	229.72	159.9	289.02	157.68	195.72	224.97	237.86	218.79	255.0	226.54	258.57	295.11	164.42
TIMM8B	529.06	389.72	403.5	384.34	301.33	403.5	307.69	698.41	769.69	669.92	1015.93	1508.65	1167.14	547.75	780.44	1175.27	1030.12	1151.06	665.29	1001.93	599.49	612.11	738.29	1183.45	571.05	954.43	1216.75	967.76	559.28	1447.15	529.06	1295.13	1159.07	947.83	1023.0	651.58	902.89	995.0	1037.29	1397.83	1066.48	954.43	1286.18	514.56	1923.14	884.29	1519.15	1397.83	1551.09	813.63	1175.27	890.44	1407.55	808.0	1378.57	934.76	878.17	1628.26	1277.29	1651.0	633.73	1529.73	764.36	587.13	954.43	1159.07	819.3	1143.1	848.22	1001.93	1030.12	563.18
TMEM14C	2271.4	1135.2	1697.45	2502.97	1044.52	1159.07	2004.85	2758.13	2816.11	2915.45	3419.52	4607.24	4869.99	2335.28	3467.27	3349.13	2915.45	3982.99	2720.15	5147.73	2591.27	2956.17	2451.44	3540.14	3349.13	3235.01	3665.02	2875.3	2255.7	2956.17	2209.26	3928.15	3349.13	3564.78	3515.68	2664.15	4298.64	4010.71	3395.89	3419.52	5255.91	2895.31	3794.3	2664.15	3847.29	3540.14	2835.7	4268.94	3349.13	3168.41	3060.45	3039.3	3982.99	3190.46	4095.0	3349.13	3372.43	3874.05	3820.7	2777.33	2468.49	4328.55	2915.45	3257.52	3794.3	3146.52	3491.39	4543.8	3742.05	3716.2	4239.45	2537.92
TXN2	1135.2	981.29	1066.48	1340.84	974.5	1199.98	1044.52	2163.77	1605.83	1936.53	2032.85	3372.43	2976.74	1561.89	2875.3	2739.08	2720.15	3257.52	2032.85	2335.28	2163.77	1844.76	1936.53	2591.27	1950.0	3039.3	2609.3	3103.19	1551.09	3419.52	1073.91	3081.75	2573.36	3146.52	2573.36	1832.01	2627.46	2895.31	3060.45	3280.18	3235.01	2777.33	3060.45	1651.0	2875.3	2701.35	3060.45	3372.43	2895.31	2090.03	2720.15	2384.37	3081.75	2104.58	3349.13	2417.67	2758.13	3716.2	2502.97	2796.65	1477.58	3190.46	1936.53	2351.53	2875.3	2855.44	2485.67	3467.27	2148.82	2627.46	2976.74	1313.23
TXNDC17	1259.69	384.34	629.35	802.41	567.1	583.07	819.3	1447.15	1551.09	1216.75	1216.75	3443.31	2209.26	1059.11	1781.89	2271.4	1745.2	2520.38	1540.37	2384.37	1208.34	1199.98	1583.71	2178.83	1417.35	1583.71	2645.74	1651.0	1233.75	3325.99	921.88	1794.29	2400.97	1268.46	1378.57	1529.73	1909.85	1781.89	1909.85	2758.13	2255.7	1639.59	2627.46	1111.82	4607.24	1572.76	2739.08	3081.75	3874.05	1617.0	2018.8	1963.57	2956.17	1769.57	3467.27	1794.29	1498.22	3039.3	2485.67	3280.18	1208.34	3467.27	1639.59	1268.46	1909.85	2075.59	1628.26	2520.38	1697.45	1977.24	2451.44	1151.06
