	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.A2.A0EP.01A.52R.A22U.07	TCGA.A2.A0T5.01A.21R.A084.07	TCGA.B6.A0IQ.01A.11R.A034.07	TCGA.BH.A0B9.01A.11R.A056.07	TCGA.E2.A15J.01A.11R.A12P.07	TCGA.B6.A0X0.01A.21R.A115.07	TCGA.BH.A0E0.01A.11R.A056.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.A8.A08H.01A.21R.A00Z.07	TCGA.AA.3675.01A.02R.0905.07	TCGA.AZ.6606.01A.11R.1839.07	TCGA.ZR.A9CJ.01B.11R.A38D.31	TCGA.D6.6827.01A.11R.1915.07	TCGA.2Z.A9JI.01A.11R.A42S.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZAB5.0426.SM.5CVMI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.R53T.0326.SM.48FEC	TCGA.86.8076.01A.31R.2241.07	TCGA.78.7162.01A.21R.2066.07	TCGA.55.6983.01A.11R.1949.07	TCGA.78.7158.01A.11R.2039.07	TCGA.37.A5EN.01A.21R.A26W.07	TCGA.AF.2693.01A.02R.1736.07	TCGA.E6.A2P9.01A.11R.A19W.07	TCGA.A5.AB3J.01A.11R.A40A.07
RPS27A	38164.99	52135.28	54727.32	59887.86	93974.69	48307.85	52135.28	90773.53	33922.56	37639.55	73221.53	42054.3	33922.56	80125.95	67377.47	20881.4	39785.74	15715.58	24153.43	15499.21	15075.35	18304.63	17437.64	11992.79	14971.21	15824.9	16843.62	9808.75	22692.63	24490.61	20593.91	12764.83	9945.68	16960.78	13586.57	21026.65	16045.82	15715.58	18819.27	10154.69	11189.6	28525.2	26431.04	17437.64	18689.27	8778.97	22225.61	18689.27	14065.74	64186.29	27363.16	45386.27	50011.46	65082.31	57847.82	37639.55	53973.86
RPS29	239554.43	123144.13	147462.67	118949.35	161367.56	132900.7	164758.26	131982.68	79572.48	110983.6	212926.09	77934.88	84694.64	171754.88	88291.3	56265.94	88291.3	79022.82	90773.53	53601.03	62865.33	42054.3	46339.95	36864.92	56657.31	33224.42	54349.29	41763.8	73730.83	45072.75	59063.35	46019.85	25530.66	49666.0	58655.36	89523.81	67846.12	23820.89	58655.36	32540.65	28132.47	68793.23	84694.64	36106.23	64186.29	31215.04	57051.4	66912.05	38430.46	155870.75	102125.66	111755.56	147462.67	115696.65	127486.83	108699.57	138544.47
RPS3	79022.82	74243.68	158046.64	121448.75	202841.44	112532.89	246289.25	265802.39	57847.82	75803.72	156954.93	82951.62	154794.07	282912.21	51062.33	28723.62	48643.87	14663.09	28525.2	12502.12	13399.51	10959.3	12676.65	9876.98	16496.96	13033.07	21026.65	14065.74	14663.09	27363.16	19082.0	18819.27	11035.54	19754.96	18950.18	23330.64	17317.18	13123.73	19214.73	11504.21	13586.57	24660.96	26431.04	18819.27	25354.3	10959.3	21026.65	20593.91	13306.94	104271.56	75280.1	95286.54	153724.82	74243.68	79022.82	103551.29	114897.47
RPS3A	106462.55	73221.53	137587.47	64632.75	236256.4	107203.06	135693.24	105727.15	50011.46	69753.56	162489.97	47974.16	38966.94	144427.91	54727.32	33455.53	49322.93	27553.49	31650.8	19348.38	18950.18	35609.13	21026.65	22072.07	22072.07	20737.16	20593.91	19618.49	23656.34	28525.2	22692.63	19754.96	18304.63	25887.07	21026.65	21172.91	16157.44	11035.54	26800.01	17558.94	18819.27	29531.18	26431.04	15934.98	30361.44	16157.44	28132.47	21172.91	23820.89	99333.0	56657.31	88291.3	113315.62	42054.3	50709.61	84694.64	76330.98
RPS4X	73221.53	50011.46	95949.32	32767.0	65535.0	87075.75	116501.39	72715.74	38697.77	40062.48	52863.07	36864.92	28328.16	70727.3	37901.36	29943.43	28328.16	13681.08	14765.09	11992.79	19082.0	28923.41	11424.74	8840.04	12415.75	11909.94	9344.14	20881.4	13033.07	14065.74	12943.04	21919.61	10733.74	14971.21	22850.48	18431.96	21026.65	7280.4	15607.02	12589.08	12244.81	31215.04	11424.74	9215.48	12676.65	8598.28	15180.22	12853.63	22225.61	46662.28	29531.18	44761.41	52497.92	28923.41	36864.92	66912.05	60304.42
RPS5	60304.42	31432.17	57847.82	45386.27	104996.83	53973.86	62865.33	22535.88	29531.18	28723.62	79022.82	40904.3	24153.43	97965.44	24321.43	12589.08	29124.6	11584.24	16157.44	9409.14	10084.54	10959.3	10225.32	7230.1	14361.31	8363.13	12853.63	7695.57	14765.09	14163.58	17317.18	11112.3	7911.95	13123.73	11827.67	15499.21	10659.59	10959.3	13399.51	7130.55	8247.98	22380.2	24490.61	14461.21	14663.09	6164.49	17078.76	18689.27	11112.3	55107.99	24490.61	36357.37	52135.28	92040.7	38697.77	43537.38	35363.15
RPS6	77934.88	86474.27	164758.26	150561.19	303217.87	120609.84	142439.51	198667.0	60304.42	63742.91	181548.07	80125.95	47974.16	149521.18	70238.75	39237.98	80683.28	24660.96	36864.92	18819.27	19754.96	26067.14	20170.07	14663.09	31870.96	18689.27	22225.61	18052.61	32315.87	36106.23	34158.52	25708.25	16960.78	35856.82	25179.16	31650.8	20451.65	24660.96	29327.18	16843.62	20593.91	37901.36	35118.87	20170.07	32540.65	15285.81	34158.52	27174.14	25708.25	122293.5	62865.33	77396.54	122293.5	50359.33	111755.56	118949.35	111755.56
RPS7	42641.37	37639.55	55877.28	71714.63	126606.21	43236.64	42641.37	135693.24	24832.5	35118.87	87681.42	43236.64	38966.94	81809.59	61146.25	20881.4	32092.64	21768.19	26986.43	16045.82	12244.81	14065.74	12244.81	10659.59	16960.78	14163.58	14461.21	13492.72	21172.91	20170.07	19214.73	13776.25	9088.59	17317.18	12244.81	22692.63	16383.0	18304.63	14765.09	10440.2	13776.25	25354.3	30361.44	13215.02	20451.65	10440.2	19348.38	16496.96	13776.25	58250.19	34396.12	38697.77	57847.82	46662.28	61146.25	57051.4	60304.42
RPS8	72715.74	59887.86	100023.92	77934.88	126606.21	87075.75	95286.54	118127.7	40904.3	47642.77	90146.51	41763.8	47642.77	85876.94	45386.27	23009.42	44145.15	16843.62	24832.5	14561.8	13033.07	14663.09	12589.08	11992.79	20593.91	11664.82	19482.97	11664.82	21172.91	22380.2	21617.82	16496.96	10883.59	20310.37	13681.08	18689.27	15499.21	12853.63	20310.37	10296.45	14561.8	29124.6	23330.64	14867.79	21320.18	10959.3	22225.61	19214.73	16727.26	77934.88	50359.33	59887.86	84109.6	39510.91	56265.94	82378.63	86474.27
RPS9	37639.55	49666.0	59474.18	51775.15	88905.42	46986.85	66912.05	44145.15	37379.55	40341.14	83528.61	42937.97	24153.43	95286.54	52497.92	32092.64	38164.99	21919.61	28132.47	19618.49	22850.48	12589.08	14262.1	15715.58	21320.18	13492.72	23820.89	17558.94	21768.19	21919.61	24153.43	21468.49	13123.73	18304.63	19214.73	29943.43	17558.94	21617.82	24153.43	14867.79	19892.37	27745.15	33455.53	28723.62	24153.43	16157.44	21617.82	25530.66	18178.19	75803.72	41188.81	59474.18	73730.83	31650.8	42641.37	66449.85	68318.04
RPSA	81244.48	38697.77	51775.15	47642.77	60723.88	43537.38	66449.85	37379.55	37121.34	39785.74	71714.63	47313.67	42346.82	71714.63	33922.56	12502.12	26248.46	11664.82	22380.2	11112.3	8718.32	11112.3	9088.59	7331.05	14971.21	7537.18	20593.91	7032.37	17317.18	15715.58	20881.4	13872.08	5112.16	13123.73	12160.22	16045.82	13776.25	14561.8	10883.59	5517.27	7081.29	20170.07	24321.43	10225.32	15715.58	7537.18	20310.37	14361.31	8305.36	58655.36	32994.92	37121.34	70727.3	36106.23	57448.23	58655.36	44145.15
SH3BP5L	403.5	387.02	587.13	866.07	460.44	579.04	796.86	483.38	395.18	379.04	559.28	575.03	567.1	1286.18	591.22	253.23	205.5	153.34	180.02	95.34	172.65	85.22	158.79	215.77	162.14	271.48	361.04	220.32	164.42	291.04	133.36	329.84	211.31	193.01	190.34	136.19	166.73	295.11	142.01	189.02	171.45	111.21	221.86	105.89	248.0	249.73	206.94	118.43	260.38	529.06	392.44	500.46	616.37	647.07	309.83	890.44	567.1
SNRPD2	13123.73	7857.29	13586.57	15180.22	13399.51	9215.48	11827.67	22072.07	8718.32	9606.86	11189.6	10440.2	8421.31	15607.02	8598.28	4419.52	7180.15	4066.71	4736.79	3372.43	4298.64	2895.31	2468.49	3540.14	4607.24	2627.46	3060.45	3847.29	3847.29	5006.93	3467.27	5672.41	2335.28	3212.66	3955.48	3742.05	4802.93	3257.52	2682.69	2835.7	2720.15	4298.64	3589.58	2645.74	4123.49	2739.08	3874.05	2720.15	2895.31	9673.69	5672.41	8363.13	9344.14	7537.18	10368.08	10225.32	9344.14
TMEM183A	1628.26	1111.82	2287.2	1832.01	5479.15	2090.03	2004.85	1059.11	1111.82	1066.48	2956.17	2032.85	1037.29	2224.63	890.44	624.99	928.3	884.29	688.78	860.08	466.88	743.43	909.17	842.36	665.29	909.17	669.92	780.44	813.63	624.99	607.87	723.08	830.75	669.92	629.35	718.08	808.0	460.44	693.58	921.88	571.05	902.89	497.0	514.56	660.68	791.35	780.44	872.1	1119.56	1519.15	1143.1	1477.58	1857.6	1551.09	1529.73	2104.58	1286.18
TMEM209	483.38	198.47	356.05	205.5	206.94	348.71	289.02	358.54	211.31	265.87	159.9	158.79	159.9	409.15	303.44	115.97	239.52	195.72	112.77	143.01	81.71	318.57	204.07	150.17	116.78	129.69	60.82	183.82	89.51	59.13	123.5	75.11	114.36	171.45	156.59	164.42	193.01	67.59	96.01	122.64	121.79	181.28	111.21	56.28	109.66	130.6	165.57	55.49	132.44	204.07	273.37	305.55	287.01	271.48	239.52	212.78	353.59
TOMM20	5112.16	2163.77	8305.36	6079.61	3874.05	8078.22	6935.54	4239.45	1819.35	2384.37	6983.79	3589.58	2224.63	7081.29	3847.29	1697.45	3372.43	2367.9	2271.4	1883.54	1313.23	1977.24	1936.53	1015.93	1757.34	2047.0	1561.89	1628.26	1923.14	2018.8	1819.35	1674.06	1233.75	1519.15	1477.58	1529.73	2193.99	1277.29	1044.52	1295.13	1407.55	1594.73	1477.58	1991.0	1111.82	981.29	2178.83	1583.71	2303.12	5366.37	3257.52	3820.7	7695.57	3716.2	3168.41	3716.2	3874.05
TSNAX	941.27	616.37	1081.39	764.36	738.29	1277.29	825.0	480.04	543.96	769.69	1037.29	718.08	679.29	1977.24	575.03	283.05	457.25	339.14	320.8	540.19	277.2	669.92	466.88	327.56	351.14	392.44	124.37	441.64	271.48	260.38	218.79	126.12	336.79	486.75	417.77	265.87	525.39	255.0	346.29	241.19	438.59	476.71	255.0	255.0	271.48	309.83	368.65	190.34	242.88	921.88	995.0	928.3	1030.12	769.69	599.49	934.76	693.58
UQCRH	7857.29	6652.97	9540.5	21026.65	23169.48	7589.61	8479.89	21026.65	6935.54	6840.04	14765.09	12076.21	8901.53	23656.34	10084.54	5041.77	5441.3	3614.55	6337.83	4481.23	3395.89	4388.98	5872.48	6337.83	7966.99	6207.38	4972.34	4836.35	4010.71	5112.16	4181.07	5711.87	4450.27	5255.91	5076.84	4869.99	5441.3	4010.71	4769.75	5183.54	4095.0	5041.77	5954.47	3491.39	5791.62	4388.98	5872.48	5076.84	7433.4	10225.32	7433.4	7537.18	10512.82	7485.11	10512.82	13033.07	11112.3
ZNF212	251.48	195.72	171.45	353.59	253.23	150.17	228.13	325.29	248.0	154.42	144.01	152.28	287.01	361.04	221.86	130.6	76.71	88.26	115.16	72.52	130.6	82.29	57.49	141.02	56.28	130.6	123.5	117.6	85.82	93.35	85.82	137.14	100.83	92.05	92.05	116.78	73.03	71.5	101.54	122.64	145.02	75.11	121.79	49.56	92.05	115.16	83.45	92.05	115.16	217.27	214.27	220.32	231.32	297.17	197.09	387.02	351.14
ZNF398	164.42	96.01	146.03	167.9	110.43	165.57	163.28	297.17	134.3	140.04	98.04	115.97	84.04	248.0	78.34	87.03	66.65	55.89	40.07	40.64	49.91	66.18	66.65	59.97	30.12	62.56	50.98	81.14	59.13	54.72	58.3	50.27	63.45	82.29	41.52	76.17	49.56	31.9	67.59	54.33	56.28	61.68	43.32	15.68	40.07	75.11	44.25	73.54	70.01	120.94	138.1	167.9	137.14	134.3	138.1	173.85	218.79
ZNF669	98.73	70.01	149.12	229.72	100.83	143.01	176.29	73.54	76.17	93.35	151.22	110.43	62.12	312.0	74.58	48.52	52.82	108.14	9.7	41.81	17.25	31.0	57.89	43.94	68.07	35.25	29.7	29.06	68.07	70.01	11.3	28.86	31.0	34.75	20.26	25.35	80.57	21.32	39.22	10.08	32.13	37.32	9.93	22.75	28.45	22.26	9.34	36.53	36.27	105.15	91.41	147.06	201.25	71.5	67.12	175.07	89.51
ZNF672	551.56	575.03	791.35	764.36	559.28	713.11	738.29	563.18	511.0	441.64	723.08	599.49	376.41	961.07	551.56	325.29	595.34	348.71	291.04	420.68	295.11	170.25	351.14	301.33	329.84	277.2	503.95	307.69	583.07	555.41	327.56	336.79	299.25	279.14	256.78	299.25	376.41	497.0	234.57	273.37	241.19	320.8	316.37	307.69	234.57	314.17	277.2	480.04	348.71	988.12	529.06	988.12	941.27	583.07	353.59	1073.91	665.29
ZNF777	262.2	206.94	242.88	334.46	277.2	220.32	273.37	447.82	234.57	167.9	215.77	182.55	201.25	363.56	153.34	138.1	215.77	127.0	159.9	169.07	157.68	123.5	127.89	150.17	105.15	126.12	130.6	195.72	125.24	128.79	194.36	143.01	173.85	183.82	123.5	136.19	193.01	81.14	125.24	183.82	185.11	194.36	103.69	67.59	163.28	158.79	114.36	182.55	195.72	223.41	181.28	285.03	260.38	334.46	180.02	297.17	314.17
ZNF786	137.14	83.45	121.79	146.03	148.09	113.56	169.07	223.41	119.26	78.89	105.89	94.67	64.8	194.36	73.03	54.72	46.18	55.49	30.34	34.51	43.63	45.85	37.59	60.39	24.11	50.63	35.5	54.72	28.04	34.75	55.49	54.72	34.02	37.05	42.41	50.63	31.22	34.75	42.41	46.5	31.9	48.18	47.5	11.91	29.48	48.18	36.53	67.12	74.06	96.01	71.0	145.02	114.36	152.28	90.77	190.34	141.02
