	GTEX.13G51.2126.SM.5IJD9	GTEX.YJ8O.1426.SM.5PNV9	GTEX.139TS.2226.SM.5J2N1	GTEX.131YS.2926.SM.5EGKI	GTEX.ZPU1.1726.SM.4WWFV	GTEX.ZYFG.1826.SM.5GZWX	GTEX.Y8LW.1226.SM.4WWDP	GTEX.R55G.1226.SM.48FDC	GTEX.1212Z.1826.SM.5FQSH	GTEX.14E6E.1726.SM.5S2R6	GTEX.11ZTT.1626.SM.5EQKR	GTEX.117XS.2226.SM.5GIE1	GTEX.ZTSS.1226.SM.51MSZ	GTEX.ZP4G.1526.SM.57WE5	GTEX.13CF2.1826.SM.5N9GK	GTEX.OXRL.1426.SM.3NM9E	GTEX.11P81.1426.SM.5P9JN	GTEX.WHPG.1626.SM.4M1ZL	GTEX.X15G.1526.SM.4PQZM	GTEX.YECK.2826.SM.5IFHF	GTEX.13O21.2426.SM.5MR4A	GTEX.147JS.2626.SM.5S2UX	GTEX.11P7K.1826.SM.5HL5A	GTEX.1399R.2126.SM.5K7WZ	GTEX.1399U.2226.SM.5KLZI	GTEX.11EMC.1426.SM.5N9E4	GTEX.11ZVC.2126.SM.5EGJ1	GTEX.11GS4.1826.SM.5HL4T	GTEX.13OW6.2226.SM.5N9FL	GTEX.139UW.2326.SM.5KM1Y	GTEX.ZT9W.1726.SM.51MS3	GTEX.ZVT2.1726.SM.51MRO	GTEX.11GSP.1626.SM.5986N	GTEX.12ZZX.2726.SM.5N9FT	GTEX.ZDTS.2726.SM.5L3E2	GTEX.132NY.2726.SM.5PNY2	GTEX.ZPCL.1626.SM.57WGC	GTEX.12WSJ.0826.SM.5PNWV	GTEX.YJ8O.0326.SM.5RQJW	GTEX.Y111.1826.SM.4SOIR	GTEX.13OVL.2726.SM.5J2MP	GTEX.Y111.1726.SM.4SOIQ	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.T6MN.1526.SM.4DM5P	GTEX.13QJ3.1826.SM.5S2PT	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.WZTO.1526.SM.4PQYQ	TCGA.AK.3447.01A.01R.1766.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.Y9LG.1826.SM.4VBQC	GTEX.11TUW.2126.SM.5GU7B	GTEX.13CF2.2426.SM.5LZYL	GTEX.QXCU.1926.SM.48FE4	GTEX.R55G.1626.SM.48FF4
TPCN2	260.38	403.5	414.87	334.46	303.44	376.41	273.37	173.85	420.68	249.73	368.65	271.48	178.77	318.57	368.65	295.11	281.09	316.37	409.15	435.55	151.22	444.72	329.84	231.32	244.57	454.09	406.31	327.56	511.0	486.75	228.13	256.78	305.55	293.07	260.38	339.14	176.29	265.87	620.67	995.0	1044.52	1183.45	693.58	733.19	1096.5	607.87	1037.29	884.29	878.17	555.41	41.22	135.24	194.36	171.45	115.97	223.41	156.59
TTC13	195.72	242.88	197.09	208.38	159.9	185.11	162.14	429.54	275.28	183.82	191.67	197.09	143.01	248.0	275.28	220.32	146.03	166.73	172.65	185.11	395.18	231.32	146.03	157.68	102.97	289.02	239.52	211.31	316.37	135.24	169.07	194.36	186.4	215.77	95.34	205.5	152.28	144.01	426.57	334.46	309.83	368.65	379.04	409.15	567.1	403.5	417.77	389.72	497.0	314.17	16.51	107.38	73.03	116.78	125.24	121.79	105.15
TTC31	343.89	583.07	571.05	559.28	486.75	426.57	299.25	426.57	624.99	371.22	368.65	447.82	221.86	480.04	532.74	406.31	454.09	457.25	599.49	532.74	438.59	514.56	376.41	384.34	283.05	500.46	460.44	438.59	728.11	348.71	249.73	265.87	441.64	486.75	269.6	417.77	351.14	234.57	612.11	660.68	688.78	693.58	595.34	674.59	629.35	633.73	651.58	587.13	738.29	647.07	30.78	285.03	253.23	156.59	167.9	214.27	195.72
TTC7A	529.06	723.08	769.69	713.11	329.84	279.14	303.44	483.38	429.54	283.05	417.77	642.59	145.02	228.13	718.08	312.0	316.37	269.6	423.61	660.68	312.0	693.58	226.54	318.57	145.02	974.5	660.68	567.1	612.11	403.5	133.36	211.31	674.59	555.41	848.22	738.29	187.71	205.5	603.67	679.29	518.15	684.02	591.22	651.58	780.44	688.78	703.28	954.43	669.92	674.59	79.45	148.09	157.68	197.09	273.37	387.02	162.14
TTLL3	454.09	1286.18	1417.35	1066.48	536.45	616.37	264.03	371.22	1135.2	229.72	293.07	753.83	231.32	507.46	1015.93	447.82	351.14	660.68	1340.84	1583.71	387.02	1199.98	249.73	334.46	178.77	825.0	616.37	860.08	1498.22	698.41	301.33	351.14	854.13	1199.98	341.51	866.07	242.88	379.04	2573.36	3257.52	2417.67	3280.18	2682.69	3303.0	2796.65	2434.5	2777.33	2417.67	3847.29	3564.78	54.72	693.58	599.49	381.68	262.2	246.28	273.37
UBAP2	271.48	429.54	409.15	329.84	287.01	327.56	271.48	301.33	361.04	267.73	323.03	376.41	209.84	279.14	327.56	332.14	305.55	267.73	356.05	316.37	521.76	406.31	287.01	241.19	185.11	351.14	412.0	339.14	563.18	224.97	264.03	249.73	329.84	329.84	171.45	384.34	232.94	281.09	403.5	438.59	480.04	384.34	384.34	460.44	381.68	507.46	571.05	329.84	397.93	483.38	26.86	387.02	341.51	325.29	555.41	332.14	273.37
ULK3	647.07	1073.91	1119.56	1159.07	866.07	497.0	733.19	1709.26	1037.29	486.75	674.59	934.76	583.07	769.69	1277.29	733.19	583.07	693.58	909.17	1030.12	1745.2	1001.93	503.95	684.02	567.1	981.29	1051.79	848.22	1259.69	713.11	647.07	679.29	698.41	878.17	466.88	981.29	563.18	612.11	1023.0	1242.34	941.27	1313.23	902.89	1268.46	1304.15	1059.11	1023.0	1111.82	1183.45	1030.12	669.92	796.86	633.73	603.67	607.87	909.17	269.6
UQCC1	967.76	1143.1	1088.92	921.88	941.27	921.88	813.63	733.19	1359.57	848.22	738.29	1437.15	543.96	759.08	1651.0	624.99	612.11	674.59	1199.98	928.3	860.08	1151.06	607.87	825.0	454.09	1088.92	954.43	796.86	1250.98	902.89	684.02	684.02	1561.89	1143.1	400.71	748.61	521.76	620.67	1051.79	1277.29	1191.69	1191.69	1286.18	1529.73	1378.57	1437.15	1127.35	1407.55	1233.75	1286.18	743.43	607.87	441.64	325.29	1322.37	460.44	463.65
VPS13B	217.27	299.25	226.54	265.87	283.05	303.44	204.07	170.25	251.48	236.21	242.88	262.2	140.04	339.14	291.04	260.38	234.57	303.44	209.84	277.2	205.5	249.73	208.38	224.97	167.9	253.23	197.09	260.38	305.55	224.97	171.45	237.86	193.01	237.86	130.6	187.71	183.82	134.3	371.22	454.09	305.55	371.22	323.03	363.56	384.34	332.14	397.93	283.05	420.68	381.68	68.55	163.28	256.78	161.02	132.44	232.94	248.0
WDR59	470.14	679.29	759.08	579.04	493.56	429.54	392.44	409.15	612.11	371.22	312.0	688.78	267.73	387.02	753.83	397.93	363.56	444.72	579.04	624.99	476.71	698.41	351.14	426.57	293.07	599.49	466.88	500.46	769.69	406.31	318.57	303.44	616.37	579.04	312.0	559.28	366.09	287.01	890.44	860.08	941.27	947.83	902.89	1127.35	954.43	860.08	796.86	866.07	928.3	981.29	89.51	595.34	529.06	497.0	400.71	406.31	371.22
ZMIZ2	1191.69	1605.83	1781.89	1359.57	785.88	915.51	642.59	1051.79	1233.75	547.75	902.89	1096.5	368.65	848.22	1378.57	1023.0	669.92	974.5	1417.35	1508.65	1233.75	1295.13	642.59	551.56	358.54	1467.37	1397.83	1073.91	1709.26	1015.93	483.38	521.76	1359.57	1096.5	684.02	1015.93	518.15	503.95	2664.15	2855.44	2720.15	3103.19	2591.27	3018.3	2895.31	2720.15	2591.27	2335.28	2855.44	2997.45	169.07	1350.18	769.69	1167.14	536.45	638.15	575.03
ZNF404	115.16	173.85	147.06	147.06	62.12	58.71	94.01	29.27	214.27	66.65	35.0	191.67	66.65	59.97	208.38	73.54	52.08	88.88	140.04	129.69	30.12	171.45	40.64	94.67	37.59	158.79	118.43	158.79	156.59	69.03	56.28	52.08	81.14	138.1	73.03	100.83	62.12	81.14	275.28	371.22	271.48	547.75	182.55	395.18	332.14	253.23	368.65	237.86	246.28	265.87	100.83	131.51	107.38	49.56	19.11	9.93	45.53
ZNF684	102.97	163.28	115.97	92.7	47.17	87.65	64.34	88.26	125.24	74.06	75.64	92.7	64.34	99.43	127.89	61.68	42.71	74.58	77.25	67.59	119.26	100.13	50.63	74.58	37.59	145.02	100.83	71.0	147.06	52.82	75.11	100.13	80.57	111.21	72.01	112.77	55.49	63.0	106.63	145.02	162.14	163.28	224.97	204.07	154.42	117.6	145.02	162.14	154.42	163.28	201.25	69.52	46.18	35.5	35.5	52.08	61.68
