	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.YJ.A8SW.01A.11R.A37L.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.FP.8209.01A.11R.2343.13	TCGA.BR.8384.01A.21R.2402.13	TCGA.IN.AB1X.11A.21R.A39E.31	TCGA.IN.AB1V.11A.11R.A414.31
TMEM129	941.27	825.0	1662.49	967.76	775.05	1388.16	1135.2	1066.48	1127.35	1286.18	947.83	1242.34	1037.29	995.0	743.43	414.87	633.73	1175.27	1225.22	854.13	1304.15	830.75	1498.22	947.83	1073.91	708.18	1295.13	1199.98	1378.57	1044.52	551.56	679.29	791.35	1447.15	1457.23	1159.07	836.53	1340.84	1233.75	1175.27	1259.69	1059.11	1359.57	825.0	785.88	1143.1	961.07	878.17	890.44	679.29	941.27	785.88	476.71	583.07
TMEM187	301.33	281.09	563.18	273.37	165.57	291.04	438.59	341.51	293.07	376.41	293.07	441.64	514.56	403.5	171.45	264.03	111.21	432.53	332.14	312.0	253.23	256.78	361.04	379.04	373.81	229.72	684.02	307.69	211.31	281.09	224.97	289.02	262.2	277.2	366.09	423.61	283.05	287.01	285.03	314.17	450.94	339.14	444.72	379.04	251.48	356.05	366.09	256.78	497.0	133.36	265.87	189.02	92.05	121.79
TMEM214	2303.12	2591.27	2739.08	2520.38	2018.8	2240.11	2485.67	2502.97	2537.92	2104.58	2209.26	2997.45	2609.3	3039.3	1883.54	2240.11	1529.73	2895.31	2816.11	1628.26	2997.45	2287.2	2255.7	2351.53	2855.44	1662.49	2384.37	2976.74	2287.2	2591.27	2997.45	2032.85	2485.67	2739.08	2739.08	2319.15	2061.24	3280.18	2796.65	2976.74	3257.52	2682.69	2485.67	2319.15	1769.57	2351.53	1909.85	1757.34	2701.35	1322.37	1628.26	1447.15	1250.98	1447.15
TMEM219	2976.74	3614.55	6294.04	3794.3	2701.35	4639.29	5594.3	4836.35	4769.75	3039.3	3564.78	6207.38	5479.15	6337.83	3540.14	3039.3	2645.74	4639.29	5329.3	3955.48	3794.3	3901.01	5594.3	4095.0	6381.92	2816.11	7433.4	4328.55	4210.15	4836.35	2537.92	3690.52	3018.3	5292.48	6079.61	3768.09	3168.41	4937.99	3982.99	5366.37	4903.87	5183.54	3874.05	4543.8	2796.65	5183.54	3982.99	3103.19	6887.62	1896.65	1977.24	2555.58	1551.09	1721.16
TMEM223	395.18	497.0	836.53	703.28	435.55	665.29	854.13	713.11	708.18	529.06	521.76	902.89	595.34	808.0	368.65	409.15	231.32	540.19	397.93	603.67	660.68	540.19	728.11	665.29	872.1	420.68	1015.93	642.59	529.06	785.88	503.95	470.14	551.56	802.41	954.43	738.29	490.14	896.64	713.11	848.22	532.74	842.36	647.07	620.67	409.15	780.44	629.35	454.09	902.89	327.56	336.79	309.83	237.86	212.78
TUFM	2956.17	3874.05	8598.28	3874.05	2319.15	4903.87	4836.35	4836.35	5555.65	3491.39	3212.66	5791.62	3901.01	5292.48	3146.52	2720.15	4358.66	5366.37	5041.77	2855.44	3928.15	3794.3	7382.04	3614.55	7130.55	2915.45	5913.33	4450.27	5006.93	4802.93	2835.7	3060.45	2976.74	4010.71	7857.29	4095.0	3018.3	6935.54	3794.3	4972.34	4671.57	5995.9	6037.61	2997.45	2468.49	4123.49	2835.7	2875.3	5594.3	1447.15	1427.22	1662.49	2701.35	2591.27
UFC1	3564.78	3491.39	4704.07	4038.61	3235.01	4066.71	4671.57	4239.45	4123.49	2915.45	3982.99	3146.52	4095.0	4152.18	3589.58	3190.46	2255.7	4736.79	4268.94	3690.52	3303.0	3901.01	5006.93	3716.2	5594.3	3212.66	4298.64	4607.24	4239.45	4268.94	3235.01	3742.05	3372.43	3955.48	4481.23	4210.15	3443.31	4450.27	3491.39	4010.71	3639.7	3847.29	4671.57	3928.15	3039.3	3982.99	3349.13	3257.52	5183.54	1896.65	1508.65	2163.77	2047.0	1745.2
UQCC2	2287.2	2032.85	4903.87	2682.69	2178.83	3103.19	2976.74	2935.74	4095.0	3060.45	1857.6	4010.71	2796.65	3103.19	1662.49	2075.59	1250.98	3325.99	3443.31	1457.23	2664.15	2875.3	4937.99	2609.3	4937.99	1745.2	4802.93	2555.58	2573.36	4543.8	1508.65	2400.97	2032.85	2664.15	6792.79	3212.66	1674.06	4972.34	2555.58	2915.45	3325.99	3124.78	4419.52	2148.82	1819.35	2573.36	2209.26	1977.24	4038.61	848.22	483.38	607.87	1015.93	836.53
VKORC1	1674.06	1639.59	3768.09	1991.0	1304.15	2090.03	2520.38	2255.7	2319.15	2061.24	2090.03	2701.35	2061.24	3124.78	1487.87	1143.1	1651.0	2520.38	2682.69	1819.35	2090.03	2319.15	3190.46	1721.16	2855.44	1519.15	3124.78	2417.67	2193.99	2319.15	1529.73	1781.89	1617.0	2400.97	2935.74	2004.85	1685.71	2875.3	2468.49	2193.99	2319.15	2664.15	2468.49	2271.4	2271.4	2367.9	2367.9	1977.24	3325.99	2018.8	1870.53	2061.24	890.44	947.83
WRNIP1	974.5	921.88	1127.35	1259.69	1030.12	928.3	1159.07	1073.91	1322.37	1259.69	967.76	1259.69	1250.98	921.88	1044.52	981.29	981.29	1286.18	988.12	1183.45	1304.15	1111.82	1183.45	928.3	1183.45	642.59	1225.22	1359.57	1388.16	1216.75	995.0	884.29	825.0	1467.37	1350.18	1250.98	941.27	1359.57	830.75	1697.45	1119.56	1225.22	1233.75	890.44	830.75	974.5	872.1	934.76	1088.92	511.0	642.59	813.63	791.35	854.13
YIPF2	1498.22	1896.65	2468.49	1721.16	1350.18	1572.76	2032.85	1870.53	1628.26	1519.15	1605.83	2047.0	1896.65	1781.89	1044.52	1721.16	1151.06	2032.85	1794.29	1225.22	1651.0	1286.18	1909.85	1733.13	2004.85	1127.35	2739.08	2119.22	1639.59	1662.49	1427.22	1096.5	1427.22	2240.11	2148.82	2090.03	1378.57	2400.97	2075.59	2502.97	2451.44	1572.76	2090.03	1794.29	1286.18	1628.26	1551.09	1331.57	2004.85	571.05	764.36	764.36	848.22	775.05
