	TCGA.44.2657.11A.01R.1758.07	TCGA.49.4512.11A.01R.1858.07	TCGA.55.6983.11A.01R.1949.07	GTEX.139TT.0726.SM.5K7XW	GTEX.YF7O.0626.SM.4W21R	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.11DXZ.0726.SM.5N9C4	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.11NSD.0326.SM.5A5LS	GTEX.S7SE.0926.SM.2XCD6	GTEX.147F4.0926.SM.5Q5EO	GTEX.WZTO.0426.SM.3NM99	GTEX.ZT9X.0326.SM.51MTE	GTEX.X585.1026.SM.46MW6	GTEX.147JS.1226.SM.5RQK4	GTEX.V1D1.0826.SM.3P5ZA	GTEX.TML8.0326.SM.4GICN	GTEX.14E7W.1326.SM.5RQIV	GTEX.RWSA.1126.SM.2XCAZ	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.12696.1026.SM.5FQUV	GTEX.ZDXO.1326.SM.57WBS	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.PX3G.0526.SM.2I3EM	GTEX.OHPL.0526.SM.3NM8U	GTEX.13FLV.0426.SM.5KLZA	GTEX.WRHU.0226.SM.3MJFV	GTEX.13VXU.2726.SM.5LU4N	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.11NUK.0826.SM.5HL4U	GTEX.13OW6.0826.SM.5L3GA	GTEX.145MF.0726.SM.5Q5BT	GTEX.145MO.1326.SM.5Q5EF	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.PLZ6.0426.SM.5IFK2	GTEX.ZYT6.0526.SM.5GIEA	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.ZPIC.0626.SM.57WDY	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.VJYA.0326.SM.3GAEX	GTEX.T2IS.0526.SM.32QP9	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.144GO.0226.SM.5LUB1	GTEX.WYVS.0526.SM.3NM9W	GTEX.131XH.0426.SM.5DUWU	TCGA.77.7337.11A.01R.2045.07	TCGA.56.8309.11A.01R.2296.07
SNRPC	2796.65	2915.45	2032.85	934.76	4095.0	2434.5	928.3	1806.78	2047.0	3982.99	2417.67	2485.67	1950.0	629.35	1208.34	4575.41	2004.85	2075.59	2997.45	3665.02	1143.1	1909.85	808.0	1551.09	2555.58	1159.07	684.02	1519.15	3564.78	2915.45	1286.18	1519.15	733.19	2627.46	1936.53	1709.26	2018.8	1794.29	2645.74	1183.45	4181.07	3280.18	2591.27	3491.39	2255.7	3168.41	3443.31	2664.15	2627.46	2384.37	1037.29	1397.83	775.05	1350.18	1498.22	1111.82	928.3	3955.48	1066.48	2163.77	2573.36
SNX11	591.22	665.29	429.54	229.72	525.39	470.14	208.38	395.18	490.14	521.76	361.04	480.04	454.09	181.28	220.32	693.58	387.02	483.38	703.28	540.19	220.32	329.84	262.2	334.46	575.03	231.32	164.42	260.38	674.59	579.04	273.37	285.03	314.17	490.14	387.02	329.84	285.03	320.8	532.74	291.04	518.15	595.34	511.0	624.99	483.38	480.04	733.19	438.59	480.04	493.56	232.94	209.84	239.52	256.78	279.14	249.73	297.17	470.14	215.77	454.09	447.82
SPRYD4	204.07	221.86	166.73	67.12	281.09	193.01	84.63	149.12	143.01	373.81	120.94	177.53	198.47	48.87	52.08	334.46	156.59	132.44	234.57	251.48	150.17	165.57	51.71	130.6	176.29	102.25	71.5	123.5	381.68	190.34	138.1	66.65	61.25	217.27	193.01	164.42	199.85	157.68	199.85	122.64	299.25	202.66	136.19	283.05	209.84	289.02	323.03	176.29	211.31	198.47	181.28	81.14	39.5	105.15	73.54	98.73	55.1	256.78	76.71	150.17	194.36
TACO1	417.77	476.71	309.83	110.43	420.68	299.25	129.69	223.41	258.57	480.04	299.25	392.44	384.34	70.51	129.69	486.75	339.14	325.29	447.82	409.15	124.37	295.11	95.34	182.55	389.72	157.68	94.01	202.66	532.74	368.65	175.07	171.45	107.38	447.82	256.78	289.02	262.2	244.57	336.79	150.17	441.64	409.15	381.68	463.65	389.72	406.31	457.25	351.14	376.41	403.5	128.79	118.43	85.22	209.84	211.31	117.6	104.42	406.31	127.0	327.56	361.04
TIMM8B	1250.98	3280.18	909.17	454.09	1819.35	954.43	466.88	1806.78	1037.29	2061.24	1250.98	1225.22	941.27	273.37	529.06	3820.7	595.34	1268.46	1757.34	1159.07	384.34	579.04	400.71	941.27	941.27	518.15	323.03	532.74	2133.97	1427.22	164.42	412.0	387.02	1167.14	567.1	825.0	616.37	830.75	1059.11	540.19	2319.15	1477.58	1268.46	2018.8	921.88	1388.16	1628.26	1487.87	1286.18	947.83	429.54	540.19	414.87	518.15	587.13	395.18	339.14	2032.85	511.0	915.51	1008.9
TMEM261	848.22	1794.29	642.59	187.71	723.08	947.83	242.88	1088.92	708.18	1437.15	830.75	1175.27	379.04	339.14	432.53	1111.82	406.31	769.69	909.17	1066.48	486.75	267.73	493.56	525.39	764.36	612.11	361.04	624.99	1639.59	684.02	260.38	361.04	348.71	884.29	1233.75	466.88	764.36	603.67	928.3	463.65	1936.53	1096.5	1304.15	1529.73	620.67	723.08	854.13	540.19	941.27	713.11	529.06	406.31	303.44	603.67	633.73	603.67	260.38	967.76	785.88	571.05	728.11
TOR2A	624.99	224.97	426.57	163.28	507.46	366.09	193.01	376.41	384.34	555.41	305.55	555.41	351.14	100.83	155.5	728.11	309.83	409.15	500.46	476.71	205.5	228.13	122.64	267.73	438.59	195.72	134.3	262.2	642.59	543.96	260.38	167.9	138.1	656.11	409.15	271.48	267.73	186.4	414.87	299.25	629.35	435.55	339.14	547.75	438.59	624.99	387.02	559.28	299.25	629.35	181.28	131.51	138.1	320.8	211.31	164.42	135.24	559.28	159.9	339.14	429.54
TRAPPC2L	1662.49	3515.68	1350.18	808.0	2485.67	1769.57	571.05	1508.65	1175.27	2720.15	1685.71	1685.71	1304.15	543.96	674.59	3018.3	928.3	1268.46	2367.9	2032.85	961.07	688.78	638.15	796.86	2104.58	1225.22	379.04	981.29	3325.99	1832.01	808.0	915.51	567.1	2502.97	1781.89	1066.48	1059.11	1159.07	1529.73	860.08	2573.36	2209.26	1059.11	2682.69	1498.22	1923.14	2224.63	2047.0	1572.76	1662.49	607.87	854.13	447.82	1407.55	1037.29	890.44	435.55	1397.83	1008.9	1519.15	1498.22
TRNAU1AP	647.07	909.17	559.28	211.31	860.08	819.3	167.9	559.28	536.45	1674.06	571.05	743.43	616.37	205.5	441.64	775.05	406.31	412.0	961.07	830.75	273.37	361.04	638.15	379.04	698.41	205.5	102.25	500.46	1397.83	620.67	208.38	373.81	395.18	764.36	444.72	457.25	713.11	325.29	1487.87	275.28	1583.71	759.08	802.41	679.29	791.35	764.36	1331.57	825.0	941.27	1991.0	529.06	432.53	206.94	518.15	246.28	281.09	476.71	1143.1	629.35	599.49	769.69
TRUB2	507.46	559.28	353.59	131.51	493.56	376.41	155.5	246.28	281.09	669.92	384.34	417.77	356.05	88.26	171.45	591.22	323.03	358.54	486.75	450.94	134.3	283.05	100.83	191.67	480.04	166.73	95.34	241.19	532.74	497.0	149.12	217.27	115.16	490.14	285.03	361.04	314.17	256.78	412.0	197.09	511.0	376.41	363.56	540.19	447.82	547.75	540.19	384.34	457.25	466.88	154.42	136.19	115.97	299.25	187.71	153.34	141.02	493.56	150.17	299.25	363.56
TWF2	1697.45	1605.83	1225.22	656.11	1991.0	1721.16	543.96	1529.73	1427.22	1923.14	2018.8	1594.73	1605.83	363.56	866.07	3742.05	1397.83	1883.54	2627.46	2032.85	780.44	381.68	915.51	1250.98	2193.99	854.13	967.76	612.11	2758.13	2255.7	842.36	866.07	444.72	1447.15	1721.16	808.0	785.88	1081.39	1508.65	1498.22	2032.85	1721.16	1350.18	1745.2	1508.65	1745.2	1769.57	2335.28	1447.15	1896.65	884.29	842.36	525.39	825.0	1304.15	1378.57	693.58	2351.53	575.03	1001.93	1605.83
TXN2	2240.11	2739.08	1781.89	1104.13	2485.67	1674.06	607.87	1111.82	1583.71	2720.15	1519.15	1896.65	1359.57	708.18	1135.2	3325.99	1583.71	1151.06	2485.67	2271.4	981.29	934.76	802.41	1304.15	1757.34	1407.55	1378.57	1369.04	2976.74	1896.65	1127.35	988.12	743.43	1991.0	1794.29	995.0	1242.34	1250.98	1769.57	1167.14	3190.46	2209.26	1709.26	2682.69	2303.12	1883.54	2816.11	1832.01	1745.2	2104.58	1030.12	1225.22	759.08	1350.18	1167.14	1322.37	595.34	2816.11	1277.29	1498.22	1583.71
TXNDC17	2645.74	6294.04	3103.19	1159.07	5329.3	2664.15	1119.56	3614.55	2240.11	11827.67	4066.71	2956.17	1498.22	713.11	1259.69	9945.68	1250.98	3212.66	3742.05	4095.0	896.64	1111.82	633.73	1651.0	1832.01	775.05	490.14	1295.13	4869.99	3665.02	466.88	1561.89	647.07	3928.15	1594.73	2915.45	3039.3	2090.03	5479.15	981.29	5711.87	2335.28	2739.08	4607.24	2367.9	3419.52	4419.52	2384.37	2485.67	2119.22	928.3	974.5	866.07	1268.46	1950.0	1191.69	813.63	12076.21	1268.46	2193.99	2367.9
VPS25	1397.83	1662.49	1259.69	356.05	1685.71	1369.04	674.59	890.44	796.86	1857.6	1519.15	1225.22	1183.45	392.44	518.15	2075.59	988.12	1023.0	1651.0	1733.13	633.73	1008.9	435.55	802.41	1437.15	872.1	511.0	961.07	1909.85	1519.15	616.37	854.13	450.94	1697.45	1096.5	1096.5	1242.34	967.76	1427.22	624.99	2004.85	1519.15	1250.98	1909.85	1697.45	1551.09	2133.97	1183.45	1709.26	1498.22	595.34	511.0	249.73	1037.29	780.44	624.99	417.77	1857.6	764.36	1151.06	1417.35
WDR18	567.1	514.56	647.07	251.48	780.44	426.57	163.28	470.14	444.72	1023.0	813.63	866.07	928.3	229.72	339.14	896.64	536.45	493.56	674.59	579.04	215.77	309.83	220.32	392.44	366.09	283.05	299.25	194.36	808.0	441.64	269.6	285.03	348.71	629.35	435.55	450.94	297.17	567.1	406.31	366.09	647.07	633.73	470.14	1250.98	607.87	620.67	348.71	1286.18	521.76	703.28	361.04	218.79	183.82	228.13	246.28	171.45	271.48	698.41	417.77	329.84	559.28
ZDHHC12	1561.89	1350.18	1135.2	497.0	1936.53	1015.93	224.97	698.41	1015.93	2434.5	1104.13	1427.22	967.76	208.38	497.0	1832.01	1001.93	830.75	1417.35	1685.71	476.71	400.71	358.54	476.71	1088.92	629.35	264.03	698.41	2303.12	1407.55	555.41	612.11	299.25	1963.57	902.89	669.92	733.19	633.73	1378.57	669.92	2367.9	1208.34	1119.56	2047.0	1963.57	1529.73	1407.55	1143.1	1066.48	1628.26	497.0	503.95	221.86	733.19	665.29	486.75	285.03	1594.73	441.64	1073.91	1167.14
ZNF511	825.0	1369.04	665.29	493.56	1081.39	775.05	305.55	595.34	679.29	1030.12	785.88	830.75	995.0	395.18	830.75	1340.84	921.88	638.15	988.12	909.17	343.89	353.59	1119.56	633.73	909.17	466.88	688.78	483.38	921.88	567.1	325.29	540.19	423.61	728.11	540.19	368.65	638.15	638.15	301.33	532.74	813.63	961.07	775.05	775.05	651.58	723.08	1617.0	988.12	813.63	1127.35	543.96	358.54	490.14	688.78	441.64	429.54	379.04	830.75	599.49	607.87	603.67
