	TCGA.C4.A0F0.01A.12R.A10U.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.12WSJ.0826.SM.5PNWV	GTEX.12C56.1226.SM.5FQSU	GTEX.V1D1.1026.SM.4JBHE	GTEX.11P7K.1326.SM.5BC5G	GTEX.X3Y1.1326.SM.4PQZB	GTEX.13OVI.2626.SM.5KM4T	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.ZVT2.1326.SM.5E45H	GTEX.U3ZM.0526.SM.4DXTB	GTEX.11P81.0826.SM.5P9GR	GTEX.131XG.1026.SM.5GCMX	GTEX.QV44.1126.SM.4R1KO	GTEX.14AS3.0626.SM.5QGQD	TCGA.MZ.A7D7.01A.21R.A34R.07	TCGA.BA.4074.01A.01R.1436.07	TCGA.CV.5966.01A.11R.1686.07	TCGA.CV.7089.01A.11R.2016.07	TCGA.BA.4075.01A.01R.1436.07	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.CV.7423.11A.01R.2081.07	TCGA.CV.7250.11A.01R.2016.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.35.4122.01A.01R.1107.07	TCGA.38.4629.01A.02R.1206.07	TCGA.33.4589.01A.01R.1443.07	TCGA.37.3783.01A.01R.1201.07	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZT9W.2126.SM.51MSF
RAB3D	100.13	1651.0	138.1	271.48	915.51	909.17	511.0	713.11	480.04	536.45	967.76	555.41	293.07	218.79	1159.07	251.48	1388.16	884.29	1388.16	1199.98	1175.27	941.27	988.12	813.63	1259.69	1167.14	988.12	928.3	228.13	78.34	97.36	483.38	190.34	555.41	164.42	708.18	674.59	486.75	336.79	2351.53	85.82	108.14	140.04	242.88	1519.15	387.02	825.0	1242.34
RAET1E	6.46	309589.14	73.03	4769.75	15824.9	1175.27	7537.18	5112.16	9215.48	3235.01	33922.56	7180.15	2796.65	56.68	18431.96	8.78	1143.1	1794.29	2163.77	1572.76	1561.89	1175.27	1519.15	1477.58	1127.35	1651.0	1304.15	1769.57	500.46	139.07	180.02	1088.92	24.63	1331.57	802.41	518.15	961.07	3614.55	0.0	0.07	28.24	41.81	30.78	260.38	17197.56	5872.48	10084.54	9409.14
RALGPS1	16.63	231.32	32.59	155.5	125.24	36.27	163.28	70.01	81.71	55.49	117.6	108.9	118.43	35.76	180.02	35.5	316.37	397.93	358.54	343.89	417.77	212.78	301.33	293.07	215.77	269.6	299.25	197.09	28.45	90.77	13.03	54.72	27.05	156.59	82.87	64.34	100.83	96.68	0.0	0.57	55.1	38.4	10.47	20.41	123.5	44.89	155.5	53.19
RDH13	389.72	6037.61	148.09	961.07	921.88	493.56	1369.04	728.11	595.34	500.46	1388.16	1662.49	915.51	265.87	1551.09	318.57	1819.35	2061.24	1572.76	1572.76	1477.58	2351.53	1628.26	1407.55	1369.04	1340.84	1529.73	1909.85	384.34	169.07	242.88	616.37	466.88	571.05	543.96	500.46	684.02	759.08	0.0	0.58	212.78	181.28	128.79	323.03	547.75	476.71	1143.1	603.67
RECQL5	253.23	1685.71	599.49	780.44	2224.63	181.28	974.5	1051.79	1437.15	954.43	3820.7	2417.67	1540.37	414.87	2816.11	267.73	1819.35	2351.53	1794.29	2645.74	2664.15	2119.22	2209.26	1832.01	1498.22	1950.0	2193.99	1857.6	293.07	140.04	226.54	684.02	100.13	1350.18	273.37	460.44	674.59	651.58	0.0	0.59	156.59	289.02	132.44	612.11	1477.58	432.53	1066.48	669.92
RP1-130H16.18	0.0	237.86	6.11	36.79	248.0	42.11	92.05	67.12	127.0	74.06	153.34	29.48	41.81	42.11	236.21	22.43	81.14	142.01	158.79	96.68	57.89	107.38	118.43	141.02	67.12	159.9	69.03	30.78	9.06	10.24	3.5	33.3	11.47	6.89	4.13	47.17	25.35	85.82	0.0	0.26	0.0	12.64	5.63	9.85	153.34	45.21	96.01	96.68
RP11-1407O15.2	135.24	860.08	97.36	890.44	909.17	775.05	1159.07	708.18	878.17	796.86	1096.5	830.75	1159.07	470.14	1015.93	241.19	1023.0	1662.49	1594.73	616.37	1143.1	775.05	981.29	1015.93	890.44	896.64	947.83	1208.34	265.87	107.38	81.14	226.54	96.01	384.34	303.44	275.28	379.04	287.01	0.0	1.0	83.45	130.6	39.22	159.9	432.53	267.73	583.07	236.21
RREB1	84.63	1225.22	77.25	503.95	796.86	848.22	941.27	490.14	507.46	647.07	947.83	780.44	684.02	423.61	884.29	94.01	753.83	708.18	848.22	813.63	854.13	624.99	567.1	759.08	769.69	612.11	713.11	796.86	100.83	40.36	91.41	480.04	52.08	490.14	444.72	371.22	543.96	195.72	133.36	555.41	58.71	111.21	38.95	94.67	1242.34	1191.69	974.5	575.03
SECISBP2L	59.55	277.2	32.82	221.86	265.87	108.9	297.17	148.09	264.03	214.27	336.79	237.86	248.0	131.51	395.18	113.56	563.18	343.89	743.43	348.71	551.56	733.19	595.34	514.56	318.57	591.22	866.07	603.67	104.42	83.45	47.5	159.9	55.49	329.84	202.66	96.01	242.88	293.07	0.0	0.11	98.73	82.87	33.54	63.89	148.09	146.03	137.14	164.42
SH3D21	11.38	656.11	98.04	246.28	555.41	1081.39	612.11	559.28	536.45	420.68	497.0	1250.98	373.81	154.42	656.11	20.71	267.73	371.22	368.65	392.44	981.29	204.07	285.03	258.57	255.0	228.13	189.02	152.28	158.79	61.25	108.14	170.25	63.45	189.02	167.9	78.34	99.43	70.51	0.0	0.68	51.35	100.13	19.25	65.26	43.63	66.18	90.14	30.78
SHPK	138.1	409.15	127.89	118.43	206.94	224.97	129.69	181.28	182.55	193.01	149.12	159.9	111.99	109.66	224.97	70.51	237.86	297.17	253.23	303.44	341.51	191.67	224.97	275.28	193.01	273.37	177.53	231.32	130.6	80.01	115.16	121.79	214.27	187.71	75.64	136.19	150.17	218.79	0.0	0.39	111.21	214.27	251.48	65.72	224.97	132.44	258.57	164.42
SHPRH	37.32	34.51	11.3	73.54	68.55	52.08	125.24	47.17	91.41	91.41	71.0	63.45	67.12	78.89	70.51	21.32	125.24	121.79	111.21	123.5	96.01	94.01	101.54	98.04	126.12	129.69	105.15	92.7	39.5	41.81	24.11	32.59	19.82	112.77	49.91	45.53	64.34	57.08	0.0	0.46	17.0	26.86	11.3	64.8	77.25	49.91	31.9	24.63
SLC22A13	0.92	3.29	0.38	1.77	4.86	3.35	8.06	5.92	2.92	1.28	2.73	3.26	3.14	5.63	8.78	0.0	2.81	7.28	0.45	6.57	1.17	6.57	6.41	3.76	6.11	5.02	8.92	8.85	1.48	0.0	0.33	0.78	0.96	1.91	2.01	0.44	0.0	0.46	0.0	0.11	0.0	0.0	0.0	0.0	1.19	0.97	0.31	0.31
SLC7A8	64.8	575.03	381.68	358.54	753.83	473.41	669.92	1268.46	708.18	896.64	967.76	525.39	373.81	825.0	1088.92	521.76	2255.7	1508.65	1781.89	1819.35	2047.0	1806.78	1331.57	1397.83	1407.55	1896.65	1417.35	1529.73	587.13	473.41	1151.06	1104.13	616.37	1199.98	409.15	693.58	579.04	738.29	358.54	329.84	164.42	191.67	1030.12	164.42	1250.98	249.73	802.41	2319.15
SLTM	316.37	1015.93	595.34	1359.57	988.12	708.18	1572.76	872.1	1781.89	1572.76	1233.75	1119.56	1477.58	764.36	1051.79	616.37	1936.53	1950.0	1896.65	2720.15	1936.53	1806.78	2319.15	1572.76	2271.4	2303.12	2271.4	2303.12	571.05	246.28	638.15	884.29	234.57	1757.34	713.11	934.76	878.17	769.69	0.0	1.03	231.32	409.15	275.28	460.44	1594.73	723.08	1447.15	1175.27
SP1	303.44	1437.15	273.37	791.35	981.29	490.14	1175.27	473.41	934.76	1015.93	1088.92	1175.27	872.1	567.1	1242.34	172.65	1225.22	1268.46	1127.35	1651.0	1313.23	1191.69	1001.93	1044.52	1111.82	1259.69	1781.89	1051.79	212.78	190.34	314.17	497.0	198.47	769.69	397.93	486.75	785.88	540.19	395.18	256.78	204.07	258.57	145.02	277.2	718.08	466.88	1030.12	486.75
SPDYE2	1.87	6.78	6.62	23.08	31.9	5.87	81.71	16.63	38.4	57.89	15.45	43.32	17.25	38.95	21.32	1.01	20.41	69.52	65.72	81.71	25.54	45.85	34.75	26.1	60.82	31.9	32.82	44.57	2.2	3.08	7.51	0.0	4.98	12.18	6.62	3.82	6.67	3.99	0.0	0.28	8.0	7.94	2.16	10.24	6.26	4.06	16.39	0.0
SPG11	287.01	1340.84	351.14	728.11	743.43	500.46	947.83	447.82	819.3	723.08	785.88	587.13	708.18	587.13	728.11	463.65	981.29	1225.22	1111.82	1159.07	1015.93	679.29	1001.93	753.83	1037.29	860.08	1037.29	988.12	616.37	341.51	228.13	435.55	271.48	753.83	579.04	660.68	629.35	490.14	0.0	0.88	303.44	497.0	295.11	426.57	703.28	579.04	532.74	441.64
SREBF2	507.46	2573.36	1127.35	1781.89	2537.92	1037.29	1651.0	2032.85	1819.35	1794.29	2485.67	1709.26	1896.65	1605.83	2555.58	728.11	3235.01	3257.52	2758.13	3665.02	2816.11	2271.4	2935.74	2047.0	3018.3	2835.7	2555.58	2047.0	769.69	426.57	813.63	1295.13	412.0	2255.7	1151.06	1583.71	1963.57	1135.2	1096.5	279.14	273.37	733.19	450.94	567.1	2609.3	2384.37	2777.33	1467.37
STOX2	1.25	395.18	4.13	43.02	55.89	27.05	44.25	43.02	57.89	42.11	63.0	43.63	23.93	26.67	87.03	7.57	176.29	224.97	178.77	262.2	139.07	127.89	136.19	117.6	186.4	180.02	159.9	114.36	17.13	5.96	4.17	27.64	5.36	90.77	46.5	57.89	56.68	31.9	0.0	0.36	8.45	12.27	3.26	12.93	105.15	21.78	75.64	99.43
STRBP	387.02	1051.79	265.87	521.76	381.68	87.03	575.03	265.87	395.18	303.44	490.14	414.87	366.09	104.42	540.19	139.07	764.36	603.67	708.18	791.35	629.35	842.36	813.63	665.29	743.43	713.11	674.59	723.08	237.86	147.06	146.03	351.14	123.5	441.64	198.47	320.8	444.72	579.04	206.94	108.9	148.09	158.79	150.17	162.14	647.07	189.02	543.96	339.14
SYNRG	108.14	285.03	92.05	246.28	323.03	201.25	371.22	218.79	285.03	264.03	381.68	332.14	307.69	239.52	297.17	71.5	563.18	571.05	555.41	392.44	366.09	703.28	376.41	503.95	490.14	575.03	595.34	500.46	115.97	86.43	141.02	223.41	77.79	336.79	224.97	183.82	251.48	234.57	105.15	120.94	141.02	214.27	76.71	106.63	334.46	191.67	320.8	194.36
TBC1D10A	145.02	3742.05	447.82	651.58	1467.37	808.0	884.29	1519.15	1175.27	1081.39	1561.89	988.12	967.76	679.29	1883.54	633.73	1304.15	1437.15	1233.75	1350.18	1059.11	1295.13	1008.9	1216.75	1225.22	988.12	1127.35	1030.12	1081.39	1081.39	312.0	718.08	723.08	836.53	441.64	981.29	718.08	1199.98	0.0	0.69	444.72	563.18	896.64	759.08	1508.65	1519.15	1745.2	1674.06
TBC1D3	10.88	603.67	17.51	387.02	406.31	256.78	128.79	299.25	265.87	96.68	327.56	77.79	414.87	70.01	341.51	50.27	273.37	511.0	435.55	72.01	229.72	231.32	159.9	281.09	351.14	226.54	193.01	190.34	130.6	22.59	20.26	113.56	27.05	74.58	63.0	63.45	66.18	90.14	0.0	0.67	15.11	76.71	14.14	59.55	149.12	91.41	299.25	140.04
TBC1D8	48.52	241.19	65.72	490.14	348.71	232.94	447.82	206.94	387.02	348.71	283.05	323.03	329.84	241.19	271.48	123.5	759.08	921.88	728.11	733.19	1674.06	395.18	1030.12	536.45	470.14	791.35	460.44	420.68	180.02	124.37	108.9	193.01	80.57	307.69	343.89	234.57	320.8	124.37	0.0	0.51	78.89	71.0	88.88	135.24	444.72	176.29	403.5	234.57
TET2	18.29	258.57	36.53	226.54	236.21	141.02	444.72	137.14	273.37	269.6	289.02	246.28	241.19	232.94	265.87	25.35	275.28	275.28	303.44	267.73	246.28	267.73	279.14	226.54	329.84	255.0	318.57	314.17	71.5	71.5	17.0	130.6	37.59	293.07	111.21	98.04	169.07	190.34	0.0	0.47	36.01	51.35	32.82	94.67	423.61	143.01	303.44	178.77
TIAM1	21.47	2255.7	23.25	961.07	1819.35	708.18	1674.06	1295.13	1233.75	1081.39	2061.24	1529.73	866.07	796.86	2303.12	41.22	896.64	854.13	1233.75	854.13	791.35	830.75	848.22	934.76	947.83	928.3	688.78	708.18	152.28	161.02	52.45	521.76	15.8	738.29	642.59	438.59	571.05	343.89	86.43	50.98	41.81	55.89	31.22	67.12	2384.37	2591.27	1561.89	2075.59
TM7SF2	23.59	51417.5	94.67	638.15	1051.79	23.42	703.28	518.15	457.25	395.18	2075.59	1044.52	567.1	21.16	1378.57	253.23	2351.53	1674.06	1857.6	2133.97	1697.45	1896.65	1572.76	1378.57	1674.06	1508.65	1143.1	1259.69	334.46	150.17	52.45	693.58	253.23	1697.45	463.65	1081.39	775.05	2335.28	0.0	0.0	206.94	521.76	75.11	130.6	4704.07	775.05	5555.65	5479.15
TMEM164	301.33	551.56	133.36	587.13	307.69	371.22	353.59	175.07	291.04	329.84	273.37	287.01	217.27	152.28	283.05	66.18	507.46	409.15	500.46	521.76	503.95	476.71	563.18	444.72	525.39	511.0	395.18	525.39	106.63	112.77	170.25	297.17	84.63	366.09	309.83	262.2	361.04	176.29	0.0	0.0	158.79	202.66	67.59	127.89	314.17	223.41	336.79	236.21
TMEM246	211.31	2148.82	8.0	239.52	246.28	166.73	279.14	189.02	231.32	153.34	267.73	229.72	221.86	156.59	341.51	185.11	454.09	536.45	507.46	540.19	507.46	551.56	521.76	387.02	503.95	571.05	591.22	368.65	173.85	98.73	82.29	164.42	232.94	289.02	127.0	215.77	316.37	341.51	0.0	0.46	18.84	175.07	12.0	94.67	995.0	379.04	651.58	1175.27
TMEM79	44.25	17317.18	112.77	7433.4	16157.44	5403.7	7280.4	18052.61	8191.0	6294.04	27174.14	12764.83	4543.8	1519.15	29531.18	65.26	2956.17	3515.68	3614.55	3190.46	3443.31	3716.2	3372.43	3928.15	3614.55	3212.66	3303.0	4123.49	796.86	241.19	127.89	2627.46	223.41	4066.71	1991.0	2367.9	2417.67	3742.05	0.0	0.42	173.85	141.02	660.68	1175.27	22535.88	4972.34	15392.14	14867.79
TMTC2	30.56	417.77	46.84	126.12	146.03	53.19	151.22	58.71	169.07	152.28	132.44	104.42	204.07	45.85	177.53	29.91	325.29	476.71	503.95	316.37	412.0	305.55	346.29	336.79	435.55	389.72	384.34	297.17	69.52	34.51	13.03	82.29	24.99	193.01	78.34	112.77	166.73	121.79	0.0	0.45	64.34	55.1	38.67	32.36	211.31	135.24	88.26	121.79
TRAPPC10	183.82	197.09	149.12	285.03	412.0	301.33	429.54	318.57	356.05	323.03	343.89	307.69	297.17	316.37	397.93	105.89	368.65	460.44	497.0	463.65	435.55	346.29	529.06	384.34	447.82	603.67	497.0	417.77	90.14	116.78	185.11	239.52	92.05	412.0	226.54	212.78	332.14	167.9	231.32	87.03	123.5	232.94	67.59	214.27	379.04	353.59	339.14	165.57
TRMT44	106.63	348.71	97.36	371.22	441.64	195.72	253.23	395.18	371.22	376.41	733.19	638.15	299.25	120.94	780.44	108.14	497.0	642.59	684.02	514.56	540.19	543.96	476.71	660.68	441.64	595.34	387.02	543.96	101.54	56.68	156.59	236.21	78.89	279.14	110.43	287.01	293.07	507.46	0.0	0.45	95.34	87.65	80.57	66.65	361.04	277.2	426.57	373.81
TST	346.29	15180.22	529.06	2148.82	1674.06	961.07	1015.93	1359.57	802.41	860.08	1457.23	1896.65	1529.73	267.73	1977.24	796.86	2224.63	2061.24	2645.74	3081.75	3325.99	3395.89	2855.44	2816.11	2520.38	2555.58	3372.43	2627.46	1819.35	312.0	575.03	1378.57	1023.0	2047.0	1191.69	1605.83	1923.14	4512.4	0.0	0.0	1427.22	660.68	2119.22	435.55	5479.15	2367.9	8840.04	11992.79
TTC39A	3.11	1378.57	11.04	267.73	205.5	65.72	126.12	281.09	125.24	55.89	182.55	242.88	107.38	65.26	251.48	22.1	633.73	780.44	934.76	954.43	1051.79	638.15	500.46	633.73	842.36	660.68	511.0	836.53	96.01	195.72	6.31	262.2	17.0	339.14	215.77	244.57	486.75	466.88	0.0	0.0	1447.15	226.54	68.07	190.34	409.15	120.1	305.55	248.0
TTLL12	1183.45	7537.18	1030.12	1617.0	5076.84	2209.26	1295.13	2434.5	3690.52	2224.63	7081.29	5479.15	1870.53	884.29	7130.55	293.07	2777.33	3372.43	2875.3	4639.29	2796.65	2935.74	2664.15	3146.52	3060.45	2591.27	3325.99	2875.3	890.44	1896.65	674.59	1697.45	616.37	2163.77	878.17	1963.57	2400.97	2209.26	1832.01	182.55	470.14	1191.69	748.61	813.63	6561.36	3820.7	6652.97	4802.93
TXK	3.38	59.13	1.03	43.02	14.35	3.5	62.12	38.95	27.64	11.04	53.57	36.01	52.82	7.34	57.49	5.45	43.63	53.57	69.52	65.72	18.29	48.52	61.25	45.21	33.54	59.97	56.68	44.57	10.88	2.58	4.43	14.14	1.5	37.59	6.36	10.47	15.45	10.96	0.0	0.41	36.27	7.28	2.43	14.03	9.85	7.11	17.64	5.63
USP54	64.8	708.18	48.87	571.05	540.19	155.5	693.58	366.09	503.95	454.09	753.83	665.29	466.88	145.02	909.17	316.37	981.29	1008.9	1216.75	902.89	1081.39	878.17	1037.29	791.35	1037.29	1225.22	1023.0	1397.83	106.63	40.36	105.89	316.37	57.89	684.02	267.73	234.57	466.88	500.46	0.0	0.32	140.04	170.25	31.45	63.45	246.28	190.34	236.21	205.5
USP8	295.11	503.95	412.0	493.56	490.14	384.34	688.78	417.77	651.58	543.96	470.14	412.0	503.95	466.88	503.95	303.44	728.11	603.67	738.29	656.11	684.02	555.41	718.08	819.3	620.67	825.0	836.53	629.35	457.25	529.06	248.0	409.15	327.56	547.75	348.71	432.53	521.76	480.04	0.0	0.64	356.05	269.6	237.86	356.05	587.13	525.39	470.14	884.29
VARS2	229.72	878.17	262.2	775.05	1286.18	591.22	665.29	884.29	890.44	599.49	2451.44	674.59	351.14	423.61	1572.76	253.23	928.3	836.53	1151.06	1191.69	1008.9	1617.0	1457.23	1081.39	764.36	1674.06	1001.93	947.83	234.57	177.53	371.22	295.11	361.04	435.55	368.65	450.94	466.88	563.18	0.0	0.64	563.18	460.44	198.47	186.4	679.29	470.14	723.08	753.83
VPS13D	223.41	921.88	218.79	733.19	791.35	457.25	753.83	536.45	738.29	669.92	902.89	660.68	599.49	384.34	1183.45	339.14	1008.9	1208.34	1233.75	1233.75	1437.15	1304.15	1369.04	1135.2	872.1	1529.73	1529.73	1001.93	197.09	75.11	221.86	493.56	94.01	890.44	633.73	764.36	638.15	376.41	144.01	90.77	57.08	145.02	77.79	77.25	1378.57	620.67	878.17	1233.75
WDFY2	128.79	397.93	87.65	195.72	281.09	397.93	309.83	236.21	309.83	209.84	301.33	177.53	161.02	309.83	265.87	90.77	444.72	603.67	420.68	406.31	543.96	348.71	435.55	371.22	454.09	536.45	283.05	373.81	229.72	137.14	212.78	205.5	178.77	346.29	136.19	275.28	202.66	99.43	0.0	0.62	68.07	82.87	169.07	137.14	738.29	339.14	400.71	334.46
WDR55	406.31	281.09	316.37	444.72	441.64	470.14	444.72	463.65	334.46	341.51	379.04	511.0	480.04	341.51	409.15	205.5	529.06	563.18	429.54	525.39	460.44	473.41	571.05	473.41	470.14	500.46	466.88	500.46	177.53	135.24	346.29	351.14	209.84	320.8	262.2	299.25	343.89	295.11	293.07	1051.79	289.02	271.48	129.69	264.03	316.37	318.57	361.04	285.03
WHAMM	36.01	138.1	59.55	209.84	206.94	163.28	224.97	154.42	226.54	205.5	218.79	190.34	267.73	133.36	201.25	76.71	206.94	237.86	206.94	234.57	189.02	314.17	273.37	242.88	199.85	232.94	269.6	206.94	63.89	44.25	71.5	121.79	94.67	145.02	143.01	145.02	178.77	131.51	63.0	221.86	29.91	60.39	12.36	62.12	92.05	94.01	130.6	99.43
ZBED6	20.11	54.72	4.74	94.67	115.97	95.34	228.13	72.01	156.59	140.04	108.14	100.83	110.43	70.51	99.43	9.27	162.14	177.53	166.73	177.53	146.03	156.59	171.45	187.71	138.1	303.44	226.54	130.6	20.41	5.11	17.77	53.95	19.82	150.17	61.25	30.34	80.01	38.67	0.0	0.39	6.01	14.45	1.6	11.13	67.59	36.01	43.63	8.25
ZBTB5	177.53	511.0	143.01	262.2	392.44	285.03	591.22	260.38	514.56	400.71	587.13	320.8	191.67	115.97	802.41	81.71	435.55	447.82	444.72	400.71	371.22	432.53	379.04	460.44	529.06	486.75	486.75	503.95	127.0	93.35	206.94	177.53	118.43	351.14	144.01	221.86	183.82	297.17	0.0	0.4	154.42	61.68	124.37	187.71	665.29	256.78	1233.75	567.1
ZDHHC21	11.64	376.41	32.13	285.03	181.28	92.05	341.51	150.17	214.27	236.21	318.57	234.57	190.34	92.05	264.03	31.22	223.41	307.69	351.14	229.72	269.6	221.86	281.09	283.05	339.14	297.17	361.04	412.0	88.88	41.22	18.16	100.13	14.56	201.25	101.54	72.52	198.47	226.54	0.0	0.58	77.79	40.64	32.36	43.63	780.44	409.15	336.79	514.56
ZMYND8	125.24	1572.76	95.34	579.04	409.15	153.34	409.15	293.07	420.68	579.04	486.75	476.71	466.88	389.72	289.02	450.94	607.87	503.95	567.1	620.67	629.35	603.67	476.71	412.0	497.0	575.03	620.67	426.57	177.53	125.24	155.5	289.02	120.94	285.03	152.28	190.34	249.73	186.4	214.27	228.13	111.21	121.79	53.19	123.5	177.53	148.09	229.72	152.28
ZNF440	41.52	2664.15	55.1	267.73	236.21	98.73	400.71	141.02	98.04	147.06	239.52	277.2	220.32	131.51	232.94	38.4	397.93	423.61	269.6	346.29	417.77	212.78	389.72	194.36	376.41	361.04	353.59	244.57	218.79	287.01	51.35	127.89	159.9	217.27	102.97	141.02	166.73	183.82	0.0	0.31	55.89	35.0	37.59	180.02	493.56	297.17	241.19	127.89
ZNF681	15.56	497.0	0.46	16.63	13.72	0.67	7.63	10.24	20.56	13.83	24.81	21.63	11.91	0.66	34.26	5.54	51.71	80.01	115.97	71.0	85.22	100.13	50.63	66.18	96.01	89.51	136.19	53.57	13.12	6.67	2.53	16.15	8.32	89.51	9.41	30.34	24.11	34.51	0.0	0.17	38.95	21.16	2.76	4.62	55.89	39.5	40.64	29.91
ZNF710	108.9	638.15	307.69	409.15	511.0	301.33	511.0	507.46	334.46	356.05	684.02	836.53	612.11	395.18	536.45	114.36	532.74	866.07	579.04	536.45	559.28	693.58	595.34	616.37	703.28	525.39	567.1	902.89	187.71	72.01	353.59	409.15	115.97	518.15	500.46	483.38	518.15	287.01	0.0	0.69	202.66	244.57	108.9	287.01	575.03	392.44	497.0	521.76
ZNF852	8.58	10.55	7.51	15.56	23.08	16.75	30.34	10.71	17.64	16.27	19.39	18.29	19.11	10.71	23.08	28.04	44.89	52.82	40.93	54.72	31.9	45.85	47.84	24.99	40.93	44.89	41.22	45.85	8.99	14.56	7.88	14.67	14.45	22.59	11.73	22.92	16.39	15.34	0.0	0.33	13.22	10.71	4.98	7.4	7.28	13.62	16.39	5.87
