	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.60.2715.01A.01R.0851.07	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.EL.A3GR.01A.21R.A206.07	TCGA.DO.A1JZ.01A.11R.A13Y.07	TCGA.CE.A485.01A.11R.A23W.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A1QQ.01A.11R.A14Y.07	TCGA.J8.A3O2.01A.11R.A23N.07	TCGA.J8.A3O0.01A.11R.A21D.07	TCGA.DJ.A3V9.01A.11R.A23N.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A3ZS.01A.12R.A23N.07	TCGA.H2.A3RH.01A.11R.A220.07	TCGA.FY.A4B3.01A.11R.A23W.07	TCGA.EL.A3CL.01A.11R.A19O.07	TCGA.DJ.A4UQ.01A.11R.A250.07	TCGA.ET.A3BV.01A.11R.A19O.07	TCGA.FY.A3I4.01A.11R.A21D.07	TCGA.A5.A1OH.01A.21R.A22K.07
RAPGEF6	37.32	39.22	100.13	39.22	36.27	48.52	37.85	20.86	37.59	21.94	42.71	43.94	253.23	66.18	40.93	34.26	71.0	27.44	37.32	24.28	44.25	25.91	12.74	30.12	27.05	41.81	35.0	38.67	90.77	86.43	145.02	138.1	118.43	283.05	82.87	71.5	186.4	81.14	82.87	68.55	64.34	72.01	95.34	76.71	55.1	69.03	72.01	88.26	63.89	56.28
RCC1	224.97	214.27	172.65	403.5	164.42	316.37	275.28	813.63	231.32	384.34	371.22	215.77	277.2	301.33	242.88	409.15	343.89	253.23	341.51	228.13	387.02	262.2	190.34	208.38	275.28	353.59	423.61	0.0	0.05	769.69	1104.13	305.55	403.5	674.59	412.0	470.14	660.68	703.28	435.55	420.68	656.11	417.77	423.61	275.28	656.11	511.0	497.0	934.76	511.0	961.07
RP11-347C12.3	0.09	5.23	13.83	6.06	4.24	0.48	17.51	5.02	10.39	0.0	3.96	7.82	3.32	3.47	4.03	0.0	0.06	5.5	0.99	10.88	11.38	0.05	7.4	6.73	2.25	6.41	7.11	0.0	0.36	38.4	36.79	102.97	78.89	287.01	145.02	180.02	76.71	264.03	57.89	62.56	29.48	165.57	63.0	50.98	71.5	114.36	96.01	169.07	53.19	92.05
RPS10-NUDT3	232.94	140.04	124.37	166.73	111.99	193.01	293.07	202.66	249.73	287.01	189.02	241.19	176.29	287.01	301.33	231.32	212.78	202.66	297.17	361.04	232.94	223.41	228.13	96.01	169.07	135.24	212.78	0.0	0.0	603.67	320.8	283.05	497.0	1001.93	232.94	518.15	316.37	728.11	414.87	466.88	406.31	336.79	336.79	351.14	260.38	181.28	275.28	295.11	381.68	665.29
SCN4B	2.58	10.79	14.24	8.78	16.03	0.85	34.02	9.85	8.78	8.65	9.56	14.03	16.27	1.73	13.03	0.77	3.96	8.13	2.58	15.91	1.71	4.28	2.36	5.59	5.59	10.96	10.55	0.0	0.0	169.07	55.49	71.0	156.59	866.07	403.5	108.14	92.05	158.79	255.0	202.66	63.45	289.02	152.28	108.14	162.14	141.02	189.02	215.77	269.6	14.14
SCRT2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	2.32	0.39	0.0	37.59	0.0	1.55	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	1.5
SEMA4D	46.84	109.66	20.11	40.93	63.0	12.83	113.56	44.89	29.91	107.38	35.76	78.34	55.89	33.3	73.03	19.68	37.85	29.48	4.5	105.89	47.17	24.63	36.01	41.52	65.72	34.51	33.06	0.0	0.68	571.05	454.09	575.03	525.39	830.75	389.72	351.14	412.0	387.02	497.0	384.34	384.34	417.77	595.34	921.88	358.54	529.06	450.94	251.48	497.0	327.56
SHISA6	0.0	1.03	1.03	1.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06	0.0	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	2.29	0.0	0.0	0.0	0.01	1.01	38.67	24.99	503.95	1457.23	84.04	341.51	112.77	237.86	403.5	218.79	400.71	72.01	72.01	205.5	194.36	104.42	74.06	63.45	305.55	70.01
SLCO5A1	0.33	10.88	2.34	2.43	1.46	0.88	1.68	1.39	1.69	0.27	6.11	0.0	0.88	2.27	1.85	0.0	4.13	4.43	3.0	0.0	4.46	0.28	0.38	6.94	0.29	0.88	0.77	0.0	0.16	14.89	24.99	15.45	1.19	44.57	1.45	6.89	0.59	5.19	1.45	3.82	13.12	1.43	5.87	0.0	2.2	0.27	0.27	7.88	1.51	30.34
SLIT3	43.94	20.11	33.54	20.11	20.26	33.3	148.09	17.0	35.0	62.56	7.69	68.55	34.26	16.27	29.7	6.06	6.46	22.26	20.41	63.89	8.99	29.48	2.2	35.76	28.65	22.26	14.67	0.0	0.53	587.13	217.27	470.14	603.67	2835.7	954.43	2148.82	995.0	1233.75	1167.14	1242.34	1242.34	1066.48	743.43	1151.06	356.05	974.5	947.83	438.59	796.86	1487.87
SLX4	10.88	26.86	13.93	12.0	22.92	10.71	27.05	20.56	18.7	8.65	14.45	27.44	19.11	18.56	11.64	29.48	15.0	8.92	11.13	25.17	18.56	16.15	4.24	21.32	21.32	21.47	23.42	0.0	0.39	59.97	78.34	72.52	50.63	57.08	57.08	40.36	41.81	35.0	45.21	50.98	32.36	52.82	45.85	48.52	24.99	54.72	40.93	59.55	54.72	39.22
SMAD9	6.94	8.13	13.52	5.28	21.94	7.34	21.78	9.63	14.14	40.93	0.2	11.21	11.13	7.4	7.88	18.29	3.17	3.11	16.51	10.55	4.31	11.21	0.33	9.7	24.81	6.89	12.0	0.0	0.29	57.49	76.71	457.25	351.14	1135.2	153.34	305.55	269.6	366.09	651.58	205.5	202.66	96.68	182.55	435.55	172.65	285.03	246.28	76.71	218.79	80.57
SMARCD3	17.77	169.07	64.8	16.63	66.18	10.71	144.01	35.76	36.01	265.87	40.36	49.21	127.0	33.78	94.67	56.68	11.38	114.36	26.86	56.68	18.29	35.0	31.22	65.72	64.8	74.58	40.07	0.0	1.04	921.88	708.18	878.17	651.58	2400.97	1508.65	1561.89	1088.92	1304.15	1769.57	1286.18	1015.93	1870.53	1561.89	1832.01	941.27	1183.45	1674.06	1104.13	1259.69	884.29
SOGA1	19.53	20.11	17.13	16.27	16.63	8.45	34.26	8.85	15.45	22.59	10.08	16.88	31.22	8.92	21.32	6.52	8.06	8.06	10.96	27.84	16.27	3.29	3.66	13.52	15.0	18.43	8.78	0.0	0.59	264.03	353.59	305.55	629.35	1250.98	285.03	281.09	490.14	220.32	791.35	209.84	363.56	217.27	197.09	414.87	283.05	493.56	236.21	277.2	514.56	161.02
SOGA3	0.56	1.28	0.0	0.59	1.16	0.0	4.7	0.0	0.0	1.1	0.55	0.0	4.21	0.0	0.0	0.48	0.51	0.54	0.0	0.59	0.0	7.22	0.0	0.0	0.0	1.19	0.0	0.0	0.0	7.51	26.67	14.14	45.21	84.63	25.17	128.79	25.35	48.52	19.97	55.1	80.01	37.05	23.76	13.22	21.78	27.05	31.45	40.93	15.68	4.82
SPATA12	0.0	4.94	0.0	0.0	2.53	0.0	0.0	0.0	1.19	0.97	0.0	7.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01	1.06	2.23	0.0	0.0	7.69	4.39	5.96	6.36	5.68	2.66	8.06	4.21	3.86	1.73	1.69	1.99	2.01	2.01	0.72	2.86	2.56	1.07	4.86	2.78	6.52
SPATA19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.14	0.0	10.08	30.12	1.41	0.0	4.43	0.45	3.72	1.69	0.0	0.44	6.31	0.4	4.54	1.35	5.23	4.1	4.24	1.14
SPRED2	220.32	178.77	376.41	395.18	279.14	397.93	248.0	177.53	182.55	154.42	291.04	202.66	231.32	275.28	162.14	438.59	348.71	205.5	197.09	403.5	246.28	197.09	303.44	271.48	361.04	178.77	381.68	603.67	665.29	490.14	764.36	406.31	723.08	1242.34	791.35	688.78	764.36	497.0	521.76	624.99	896.64	595.34	511.0	819.3	514.56	511.0	674.59	521.76	555.41	521.76
SPTAN1	463.65	624.99	420.68	616.37	587.13	463.65	703.28	414.87	698.41	476.71	540.19	603.67	896.64	559.28	583.07	429.54	587.13	480.04	559.28	620.67	536.45	397.93	229.72	665.29	454.09	633.73	591.22	0.0	0.72	1199.98	1628.26	2047.0	2319.15	3190.46	2319.15	2627.46	3190.46	1709.26	2148.82	2682.69	2384.37	2777.33	1923.14	1923.14	1639.59	2777.33	2178.83	2240.11	2895.31	2004.85
SPTBN5	18.97	18.03	1.73	4.43	5.06	5.41	13.12	21.32	13.52	20.71	19.11	8.58	5.77	3.66	20.26	9.48	2.46	33.78	1.2	15.45	38.4	74.06	0.74	7.34	30.56	7.51	7.17	0.0	0.55	43.32	78.89	18.56	27.64	144.01	122.64	23.42	28.45	36.27	81.71	77.79	36.79	105.15	80.01	83.45	59.97	43.02	50.63	34.02	42.71	43.02
STK32A	1.1	2.73	8.65	0.25	27.05	0.0	9.63	38.95	1.73	1.79	0.2	1.71	2.48	0.21	1.33	0.0	1.41	1.06	0.21	2.81	0.0	1.36	0.0	1.57	4.54	1.97	0.44	0.0	0.39	19.68	50.63	53.95	769.69	1427.22	854.13	915.51	603.67	518.15	518.15	616.37	775.05	860.08	450.94	571.05	1023.0	463.65	620.67	334.46	543.96	35.25
SYNGR4	8.32	4.5	0.0	6.46	1.57	0.0	2.32	0.0	0.0	0.0	6.57	7.0	0.0	0.0	5.59	2.46	1.55	1.62	2.76	2.32	9.93	0.0	7.17	6.62	0.0	2.12	4.74	0.0	0.12	3.32	5.68	1.36	0.0	53.19	1.97	5.59	6.11	3.26	13.22	3.86	17.38	1.31	2.58	6.84	0.71	2.78	1.91	2.94	1.43	15.22
SYT11	8.06	24.81	24.28	30.78	30.56	18.16	55.89	8.85	15.56	33.78	11.38	40.36	23.76	11.47	24.28	8.65	13.22	13.32	8.78	38.12	10.63	8.32	4.1	14.35	15.34	18.16	23.42	0.0	0.47	156.59	178.77	457.25	90.77	237.86	159.9	409.15	165.57	193.01	126.12	171.45	128.79	159.9	128.79	63.0	94.67	514.56	86.43	214.27	104.42	89.51
TIAM1	26.1	82.29	53.57	52.82	81.14	41.81	102.97	40.93	79.45	96.68	24.11	147.06	37.85	75.11	41.52	110.43	41.22	27.64	67.12	99.43	32.36	40.64	19.97	55.89	79.45	27.44	79.45	86.43	50.98	187.71	54.72	89.51	819.3	1313.23	361.04	1369.04	599.49	808.0	251.48	688.78	529.06	620.67	346.29	253.23	406.31	1208.34	329.84	363.56	414.87	154.42
TLDC2	2.89	30.12	8.38	1.77	16.27	10.63	15.11	13.72	10.16	15.91	17.25	10.39	36.79	2.68	12.36	17.64	3.11	10.55	5.82	17.9	1.46	9.06	2.63	12.83	15.56	6.21	0.47	0.0	0.73	112.77	723.08	70.51	148.09	915.51	111.21	157.68	75.11	97.36	217.27	57.08	129.69	90.77	118.43	199.85	75.64	141.02	64.34	74.06	124.37	51.35
TMEM229B	110.43	33.54	28.65	9.7	44.57	32.82	30.34	8.71	66.65	36.79	3.89	43.32	34.75	19.25	69.52	2.25	12.83	7.34	9.13	50.98	8.99	19.68	4.31	25.54	57.08	29.06	43.63	0.0	0.0	118.43	40.07	107.38	108.14	896.64	115.16	172.65	150.17	153.34	579.04	130.6	204.07	211.31	157.68	248.0	73.54	144.01	185.11	114.36	187.71	10.47
TMEM255A	1.11	6.89	17.25	3.86	21.94	6.36	87.65	0.0	1.17	3.2	1.1	22.75	8.06	0.0	1.25	4.43	4.7	1.08	1.11	20.11	2.25	2.05	3.96	1.1	3.35	6.36	10.16	0.0	0.0	82.29	9.41	194.36	19.97	115.16	122.64	30.56	20.86	30.78	38.67	19.39	49.21	90.77	26.28	31.45	18.84	22.59	31.45	84.63	9.56	40.07
TMPRSS12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	2.39	2.51	1.13	3.47	1.1	1.08	0.36	3.41	0.35	5.32	1.79	1.83	1.08	2.43	0.0	2.89	1.45	1.2	0.37	0.0
TNNI3	0.0	32.82	46.84	14.89	4.62	17.51	4.17	0.64	0.35	0.3	1.11	0.0	16.51	2.16	0.0	5.19	3.38	10.88	7.17	0.0	0.72	0.01	4.39	0.0	2.01	2.73	0.0	0.0	0.64	88.88	197.09	21.32	8.25	624.99	69.03	101.54	22.1	19.68	24.28	30.78	82.29	62.56	62.56	28.65	14.03	7.06	18.56	19.68	9.2	1923.14
TNNT1	9.13	31.22	55.49	80.01	25.91	17.64	50.98	13.32	8.71	8.25	3.38	116.78	43.02	21.63	30.56	3.63	8.58	17.25	0.21	0.03	0.54	0.85	15.45	17.77	35.25	0.72	0.0	0.0	0.73	309.83	129.69	17.51	73.03	6426.31	23.93	25.35	20.56	55.89	68.07	170.25	281.09	34.75	128.79	25.72	69.03	10.96	36.01	80.01	113.56	6250.56
TP53I3	134.3	738.29	191.67	204.07	88.88	258.57	135.24	295.11	159.9	232.94	555.41	98.73	941.27	231.32	674.59	88.88	447.82	256.78	71.5	277.2	521.76	414.87	102.97	441.64	325.29	460.44	246.28	0.0	0.41	872.1	551.56	392.44	1059.11	1757.34	1378.57	1233.75	995.0	1183.45	1051.79	1143.1	1037.29	1119.56	1088.92	1350.18	1175.27	1151.06	1457.23	1896.65	1378.57	1651.0
TRPV3	8.45	52.45	6.89	25.35	17.0	3.79	12.83	29.7	3.08	1.27	16.39	29.7	6.36	3.44	0.0	1.0	15.56	3.92	2.32	1.3	0.0	2.29	0.78	8.99	16.88	4.06	44.89	0.0	0.53	42.11	26.1	21.94	24.99	61.25	14.35	17.9	14.45	16.03	48.87	24.11	30.12	18.7	21.32	29.91	17.51	40.36	17.38	13.72	12.18	17.38
UBQLN3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62	0.0	4.24	0.0	0.0	0.0	1.08	0.0	1.07	0.0	0.0	1.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UPK3A	8.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	13.42	21.94	83.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.08	0.0	0.0	0.0	0.0	70.51	514.56	12.93	1.97	49.91	7.63	165.57	40.93	12.93	10.39	25.54	28.86	14.24	5.59	24.63	12.93	22.59	4.35	0.0	18.56	14.35	18.84	18.56
WDFY2	74.58	36.53	102.25	88.88	67.59	73.03	68.07	65.72	55.49	71.0	148.09	58.3	80.01	108.14	56.68	93.35	81.71	69.03	65.26	67.12	69.52	78.89	47.17	102.97	66.65	149.12	55.1	0.0	0.62	206.94	104.42	112.77	154.42	285.03	183.82	164.42	150.17	162.14	178.77	164.42	167.9	163.28	149.12	197.09	162.14	133.36	145.02	115.97	153.34	132.44
WFDC13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	3.92	3.44	2.01	2.66	0.34	1.3	1.0	1.31	5.5	0.33	0.32	0.33	0.0	0.61	0.0	0.0	0.33	0.0	0.35	0.0
ZIK1	10.0	13.93	4.39	18.84	0.61	8.38	65.26	1.62	44.57	3.56	7.82	8.51	6.46	7.88	7.17	1.57	0.6	8.65	1.95	6.41	27.05	0.11	0.84	17.13	3.76	31.9	1.48	0.0	0.3	50.27	17.0	52.82	96.68	171.45	90.14	104.42	180.02	87.65	105.15	92.05	56.28	85.22	74.06	101.54	77.25	122.64	79.45	115.16	65.72	149.12
ZMIZ1	366.09	264.03	224.97	323.03	195.72	218.79	178.77	157.68	165.57	285.03	473.41	185.11	283.05	198.47	267.73	470.14	450.94	190.34	206.94	182.55	327.56	420.68	127.89	291.04	177.53	215.77	82.87	224.97	114.36	902.89	1037.29	1498.22	2133.97	2935.74	1119.56	1208.34	2133.97	1096.5	947.83	1183.45	708.18	1008.9	1159.07	921.88	1151.06	1175.27	1250.98	1030.12	1662.49	890.44
ZNF142	60.39	76.71	38.67	52.82	60.82	33.78	50.63	37.85	33.78	53.19	118.43	36.01	62.56	59.97	94.67	73.03	125.24	29.7	35.0	45.21	91.41	32.59	15.8	84.04	48.18	53.95	53.57	0.0	0.53	215.77	728.11	400.71	194.36	277.2	201.25	170.25	239.52	162.14	149.12	201.25	147.06	189.02	182.55	180.02	141.02	182.55	223.41	194.36	239.52	152.28
ZNF157	0.0	0.0	0.0	0.0	1.07	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	1.22	2.46	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.39	4.17	4.24	3.38	11.73	6.73	6.31	3.96	4.5	8.0	1.16	2.58	3.82	4.46	4.13	3.17	5.23	4.39	2.66	1.89	7.51
ZNF558	76.71	94.67	115.16	100.13	98.73	32.82	104.42	162.14	84.04	74.58	50.98	120.1	41.22	59.55	86.43	87.65	82.87	127.0	95.34	92.05	76.17	114.36	23.42	92.05	118.43	92.7	75.11	0.0	0.78	242.88	363.56	289.02	395.18	529.06	447.82	356.05	417.77	392.44	346.29	414.87	303.44	423.61	457.25	457.25	291.04	314.17	318.57	318.57	314.17	353.59
ZNF560	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	43.63	0.0	0.08	0.78	95.34	4.43	32.36	87.65	14.89	81.71	55.89	34.02	54.72	13.42	50.63	15.34	2.03	36.79	11.13	49.91	2.34	7.94	26.1	3.14
ZNF774	11.21	4.86	9.41	8.38	25.17	32.82	34.02	25.35	33.78	12.55	3.92	27.64	15.11	42.11	15.68	8.65	17.77	5.73	19.82	24.63	3.56	9.27	9.06	7.82	20.26	5.96	18.84	0.0	0.0	38.4	94.01	35.76	49.91	128.79	65.72	96.68	53.95	85.82	61.25	106.63	84.63	79.45	43.32	119.26	52.45	39.79	88.88	49.91	56.28	20.26
