	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.12ZZY.0826.SM.5EQMT	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.WY7C.0226.SM.3NB37	GTEX.139YR.1226.SM.5IFEU	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.V955.0426.SM.3GAEL	GTEX.OOBK.2626.SM.2HMKY	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12WSD.0926.SM.5GCNL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
GMFB	363.56	376.41	346.29	269.6	368.65	341.51	316.37	289.02	262.2	429.54	356.05	283.05	307.69	285.03	332.14	283.05	242.88	325.29	205.5	269.6	348.71	281.09	309.83	281.09	231.32	329.84	307.69	348.71	206.94	473.41	607.87	703.28	473.41	358.54	400.71	429.54	497.0	473.41	409.15	339.14	540.19	287.01	540.19	647.07	571.05	392.44	379.04	511.0	336.79	612.11	316.37	423.61	497.0	414.87	348.71	256.78	543.96	454.09	339.14	429.54	387.02	435.55	473.41	551.56	373.81	460.44	559.28	759.08	341.51	358.54	412.0	444.72	536.45	435.55	329.84	629.35	327.56	559.28	412.0	447.82	441.64	426.57	450.94	723.08	543.96	297.17	457.25	251.48	607.87	389.72	395.18	353.59	503.95	521.76	332.14	503.95	371.22	400.71
GULP1	82.29	23.25	27.25	22.1	38.4	37.05	49.56	59.55	53.95	24.11	50.27	36.53	122.64	23.59	37.85	61.68	47.5	31.0	55.1	17.51	40.64	68.07	50.98	40.64	23.42	62.12	66.65	20.26	33.54	246.28	567.1	303.44	934.76	108.9	599.49	48.87	139.07	450.94	293.07	159.9	791.35	63.0	262.2	902.89	141.02	521.76	728.11	178.77	181.28	220.32	397.93	107.38	429.54	226.54	189.02	450.94	842.36	583.07	177.53	616.37	209.84	275.28	248.0	438.59	339.14	403.5	473.41	796.86	303.44	40.36	392.44	241.19	429.54	155.5	53.95	1277.29	158.79	480.04	145.02	154.42	307.69	228.13	500.46	135.24	281.09	81.14	164.42	119.26	718.08	199.85	237.86	305.55	146.03	115.16	253.23	532.74	139.07	220.32
HMGXB4	181.28	153.34	127.0	133.36	139.07	100.13	112.77	133.36	134.3	134.3	104.42	84.63	108.9	108.14	131.51	122.64	108.9	142.01	87.03	86.43	128.79	132.44	120.94	121.79	108.9	152.28	121.79	138.1	91.41	246.28	381.68	303.44	217.27	124.37	255.0	124.37	142.01	212.78	209.84	262.2	212.78	178.77	193.01	389.72	197.09	244.57	191.67	183.82	173.85	141.02	191.67	175.07	208.38	157.68	178.77	218.79	316.37	248.0	205.5	236.21	187.71	193.01	194.36	343.89	202.66	275.28	244.57	323.03	153.34	127.89	221.86	209.84	249.73	214.27	150.17	262.2	135.24	221.86	158.79	176.29	241.19	199.85	234.57	237.86	189.02	96.68	151.22	145.02	265.87	152.28	199.85	229.72	95.34	182.55	176.29	217.27	161.02	217.27
KIAA1328	108.14	96.68	89.51	84.63	63.45	119.26	94.67	63.0	50.98	40.36	88.26	44.57	62.56	68.07	92.05	68.07	71.0	82.29	70.51	55.1	68.07	80.57	87.03	64.8	48.87	100.13	64.34	46.5	37.05	155.5	171.45	202.66	141.02	108.14	133.36	90.14	92.05	94.01	134.3	194.36	120.94	112.77	163.28	163.28	103.69	226.54	147.06	90.14	104.42	109.66	101.54	85.22	111.99	102.25	118.43	111.21	181.28	130.6	121.79	139.07	104.42	150.17	132.44	127.0	103.69	109.66	108.9	152.28	120.1	94.67	122.64	134.3	129.69	123.5	75.64	186.4	94.01	155.5	82.29	134.3	214.27	152.28	151.22	96.01	167.9	119.26	100.13	77.25	228.13	158.79	116.78	120.1	111.99	73.03	115.97	143.01	115.97	115.16
LANCL1	299.25	307.69	307.69	224.97	346.29	346.29	291.04	303.44	204.07	267.73	312.0	275.28	289.02	267.73	295.11	299.25	212.78	260.38	204.07	171.45	289.02	275.28	291.04	287.01	185.11	305.55	248.0	260.38	134.3	547.75	567.1	612.11	575.03	281.09	432.53	348.71	356.05	384.34	503.95	361.04	540.19	226.54	389.72	753.83	376.41	438.59	457.25	395.18	376.41	447.82	381.68	307.69	521.76	454.09	409.15	397.93	551.56	497.0	379.04	400.71	426.57	466.88	363.56	547.75	361.04	536.45	454.09	825.0	323.03	285.03	450.94	389.72	543.96	555.41	334.46	450.94	356.05	457.25	351.14	373.81	490.14	339.14	417.77	432.53	400.71	258.57	339.14	341.51	575.03	435.55	392.44	406.31	348.71	323.03	392.44	457.25	376.41	414.87
LRRC40	90.14	99.43	92.7	77.25	82.87	108.14	95.34	102.97	49.91	67.59	98.73	93.35	111.21	109.66	91.41	92.05	69.52	97.36	49.56	68.07	105.89	94.01	100.83	105.89	65.72	105.15	84.04	74.06	50.98	171.45	218.79	158.79	180.02	105.89	138.1	169.07	164.42	177.53	121.79	140.04	156.59	81.71	142.01	256.78	176.29	178.77	135.24	163.28	134.3	183.82	109.66	132.44	171.45	139.07	147.06	108.9	195.72	136.19	136.19	119.26	116.78	118.43	167.9	158.79	153.34	173.85	158.79	239.52	112.77	140.04	155.5	147.06	159.9	162.14	113.56	260.38	170.25	143.01	171.45	143.01	186.4	158.79	121.79	185.11	145.02	155.5	157.68	141.02	140.04	165.57	127.89	167.9	108.9	102.97	152.28	137.14	166.73	137.14
LRRCC1	136.19	132.44	163.28	96.68	75.64	143.01	135.24	148.09	81.71	68.55	84.04	146.03	131.51	94.01	115.97	67.12	92.7	175.07	66.65	66.65	108.9	84.04	150.17	80.01	146.03	166.73	125.24	73.54	120.94	356.05	295.11	244.57	441.64	171.45	279.14	170.25	183.82	217.27	381.68	269.6	486.75	159.9	297.17	518.15	172.65	241.19	414.87	206.94	169.07	204.07	217.27	137.14	490.14	289.02	197.09	358.54	353.59	392.44	291.04	389.72	267.73	339.14	197.09	417.77	229.72	248.0	305.55	457.25	255.0	159.9	429.54	169.07	441.64	220.32	147.06	514.56	163.28	295.11	209.84	229.72	237.86	186.4	253.23	187.71	265.87	156.59	199.85	181.28	353.59	318.57	190.34	285.03	295.11	211.31	356.05	392.44	236.21	381.68
MATR3	3716.2	3820.7	3955.48	3146.52	3124.78	3928.15	3303.0	3820.7	2555.58	2739.08	3467.27	2758.13	2777.33	3955.48	3190.46	2976.74	2997.45	3303.0	2997.45	2835.7	3847.29	3060.45	4239.45	3901.01	3039.3	4095.0	3280.18	3018.3	2777.33	6983.79	6792.79	6745.86	6561.36	3060.45	5366.37	4481.23	4543.8	5006.93	4836.35	5995.9	5403.7	5219.6	4869.99	7331.05	4769.75	5255.91	4512.4	4095.0	4328.55	4972.34	5147.73	4010.71	4639.29	5366.37	4481.23	3794.3	6207.38	5076.84	4769.75	4639.29	5711.87	4152.18	4512.4	5076.84	4769.75	5006.93	5872.48	8421.31	4181.07	3081.75	4388.98	4671.57	5329.3	6561.36	4607.24	7331.05	3303.0	6037.61	4123.49	4972.34	5872.48	4704.07	6652.97	5479.15	5555.65	3303.0	4298.64	4066.71	5366.37	4937.99	4671.57	5633.22	3874.05	3564.78	5041.77	5112.16	4836.35	5479.15
MBNL2	426.57	426.57	353.59	341.51	336.79	429.54	361.04	366.09	214.27	232.94	346.29	237.86	325.29	358.54	281.09	239.52	244.57	329.84	248.0	281.09	432.53	395.18	444.72	409.15	406.31	466.88	323.03	348.71	154.42	947.83	1073.91	928.3	1066.48	486.75	915.51	551.56	688.78	830.75	1066.48	842.36	780.44	518.15	802.41	1529.73	660.68	1208.34	660.68	599.49	571.05	860.08	532.74	423.61	785.88	665.29	470.14	587.13	1081.39	961.07	438.59	679.29	775.05	660.68	587.13	567.1	633.73	780.44	866.07	896.64	480.04	457.25	723.08	708.18	1037.29	780.44	583.07	1295.13	624.99	988.12	633.73	529.06	1143.1	633.73	693.58	638.15	884.29	728.11	503.95	547.75	1088.92	872.1	780.44	728.11	493.56	684.02	536.45	674.59	836.53	748.61
METTL8	57.49	64.34	76.17	46.5	63.89	53.57	61.68	55.1	42.11	42.11	77.25	55.49	70.51	36.79	49.91	59.55	60.39	76.17	60.39	51.35	43.32	48.87	61.25	71.0	71.0	53.19	48.18	60.39	40.64	167.9	153.34	150.17	127.89	88.26	119.26	102.25	86.43	159.9	100.83	107.38	151.22	75.11	117.6	186.4	115.16	82.29	74.06	85.22	82.87	127.89	138.1	119.26	98.04	85.22	119.26	98.73	246.28	126.12	89.51	145.02	117.6	78.34	100.13	127.0	111.99	101.54	156.59	157.68	90.77	106.63	70.01	77.25	131.51	165.57	115.16	115.97	65.72	104.42	105.89	117.6	131.51	61.25	138.1	120.94	84.04	70.01	71.0	80.01	128.79	78.89	120.94	107.38	61.68	94.01	53.57	111.21	87.65	75.11
MRE11A	102.25	88.26	155.5	80.57	102.97	115.97	81.71	109.66	67.12	71.5	96.01	57.89	78.89	101.54	126.12	68.55	73.54	116.78	66.18	51.71	86.43	79.45	100.13	96.68	89.51	104.42	95.34	75.64	73.03	269.6	217.27	244.57	154.42	85.82	178.77	139.07	191.67	155.5	177.53	176.29	191.67	93.35	144.01	316.37	115.16	248.0	116.78	181.28	162.14	163.28	186.4	183.82	143.01	193.01	175.07	173.85	223.41	209.84	154.42	172.65	209.84	148.09	197.09	155.5	132.44	218.79	246.28	182.55	171.45	157.68	122.64	182.55	76.17	314.17	158.79	226.54	146.03	185.11	205.5	223.41	175.07	167.9	142.01	221.86	133.36	97.36	187.71	130.6	220.32	189.02	212.78	211.31	147.06	150.17	153.34	142.01	124.37	109.66
N4BP2	34.75	48.18	50.98	26.47	25.91	52.08	34.26	34.51	15.11	25.35	28.04	23.93	30.34	21.63	35.76	27.64	28.86	48.18	13.03	18.03	44.57	43.94	50.63	32.13	35.25	39.5	38.12	24.63	14.24	144.01	171.45	148.09	126.12	43.02	120.94	49.91	80.57	90.14	92.05	234.57	79.45	107.38	144.01	194.36	69.52	101.54	81.71	77.79	108.9	123.5	86.43	56.68	78.89	96.68	105.15	78.89	187.71	66.65	67.59	82.29	103.69	108.9	110.43	78.34	66.18	122.64	110.43	229.72	55.1	46.18	83.45	74.06	90.77	110.43	89.51	157.68	76.17	128.79	96.01	116.78	165.57	76.17	150.17	118.43	211.31	58.71	76.71	47.17	125.24	129.69	74.06	90.77	47.5	53.95	67.59	138.1	113.56	90.14
NAA15	136.19	119.26	125.24	104.42	102.97	145.02	118.43	107.38	96.68	100.83	124.37	100.83	121.79	124.37	90.77	118.43	100.83	111.99	108.9	115.97	127.89	102.25	126.12	102.97	111.99	135.24	117.6	119.26	87.03	265.87	265.87	332.14	223.41	133.36	177.53	181.28	163.28	204.07	185.11	232.94	232.94	161.02	229.72	267.73	163.28	170.25	176.29	125.24	155.5	204.07	159.9	159.9	194.36	159.9	167.9	156.59	249.73	198.47	145.02	183.82	231.32	132.44	161.02	202.66	186.4	161.02	239.52	307.69	183.82	164.42	187.71	167.9	204.07	194.36	209.84	320.8	149.12	228.13	194.36	152.28	209.84	177.53	162.14	287.01	202.66	128.79	141.02	129.69	197.09	153.34	167.9	217.27	148.09	162.14	127.0	218.79	198.47	212.78
NBN	265.87	256.78	228.13	212.78	185.11	297.17	269.6	237.86	194.36	147.06	244.57	204.07	221.86	241.19	211.31	251.48	197.09	265.87	175.07	202.66	271.48	279.14	283.05	221.86	316.37	264.03	194.36	255.0	187.71	532.74	718.08	366.09	559.28	291.04	493.56	403.5	575.03	463.65	483.38	575.03	486.75	555.41	423.61	748.61	379.04	521.76	417.77	400.71	483.38	521.76	384.34	457.25	473.41	497.0	463.65	281.09	521.76	463.65	265.87	423.61	493.56	454.09	450.94	507.46	384.34	529.06	490.14	764.36	251.48	363.56	395.18	493.56	497.0	483.38	429.54	651.58	429.54	463.65	435.55	406.31	466.88	441.64	463.65	624.99	555.41	351.14	403.5	351.14	327.56	486.75	480.04	514.56	307.69	251.48	329.84	470.14	423.61	397.93
NCOA1	153.34	166.73	108.14	173.85	147.06	180.02	134.3	125.24	99.43	69.03	140.04	94.01	149.12	85.82	76.17	162.14	133.36	148.09	127.89	152.28	144.01	111.21	175.07	165.57	153.34	132.44	111.21	163.28	119.26	285.03	293.07	403.5	389.72	135.24	223.41	221.86	183.82	265.87	289.02	327.56	358.54	312.0	293.07	234.57	267.73	249.73	275.28	187.71	201.25	171.45	253.23	123.5	412.0	237.86	182.55	318.57	426.57	316.37	224.97	371.22	248.0	318.57	212.78	271.48	193.01	190.34	248.0	356.05	215.77	137.14	336.79	215.77	301.33	208.38	220.32	395.18	119.26	260.38	157.68	242.88	293.07	208.38	221.86	339.14	204.07	102.97	143.01	173.85	318.57	214.27	232.94	293.07	140.04	165.57	244.57	363.56	229.72	269.6
NEDD1	115.16	113.56	141.02	71.0	105.89	124.37	114.36	119.26	61.25	96.01	120.1	81.14	93.35	102.25	90.14	83.45	97.36	105.15	63.0	80.57	120.1	120.94	125.24	127.89	99.43	104.42	102.97	105.89	70.51	220.32	281.09	224.97	281.09	109.66	201.25	135.24	146.03	162.14	182.55	187.71	214.27	91.41	178.77	426.57	150.17	204.07	146.03	115.97	126.12	205.5	208.38	141.02	190.34	182.55	201.25	129.69	205.5	190.34	108.14	173.85	183.82	166.73	166.73	197.09	135.24	171.45	265.87	318.57	134.3	96.01	152.28	155.5	172.65	295.11	132.44	275.28	145.02	191.67	193.01	148.09	197.09	180.02	191.67	218.79	147.06	126.12	126.12	146.03	176.29	189.02	164.42	163.28	144.01	158.79	135.24	231.32	186.4	137.14
NEK1	82.87	98.73	76.71	65.26	67.59	106.63	71.0	80.01	57.49	63.89	70.01	69.03	76.71	64.34	67.59	66.65	64.8	98.04	61.68	62.56	88.88	73.54	91.41	65.26	81.14	98.04	82.87	79.45	69.03	195.72	165.57	220.32	231.32	103.69	221.86	155.5	178.77	163.28	173.85	194.36	255.0	116.78	198.47	303.44	151.22	148.09	182.55	120.1	143.01	185.11	166.73	159.9	218.79	190.34	135.24	187.71	237.86	236.21	119.26	164.42	158.79	226.54	143.01	202.66	159.9	201.25	244.57	301.33	165.57	112.77	170.25	148.09	201.25	206.94	166.73	215.77	136.19	190.34	130.6	171.45	172.65	136.19	181.28	170.25	165.57	119.26	134.3	117.6	201.25	158.79	161.02	154.42	164.42	143.01	158.79	223.41	165.57	239.52
NEK4	215.77	267.73	293.07	156.59	218.79	214.27	194.36	209.84	129.69	211.31	224.97	172.65	159.9	169.07	202.66	139.07	186.4	217.27	175.07	151.22	237.86	180.02	289.02	226.54	220.32	229.72	260.38	223.41	138.1	400.71	403.5	395.18	387.02	211.31	309.83	265.87	309.83	397.93	395.18	409.15	246.28	262.2	325.29	454.09	206.94	368.65	291.04	255.0	295.11	353.59	403.5	299.25	384.34	220.32	277.2	289.02	403.5	371.22	303.44	301.33	351.14	291.04	224.97	289.02	260.38	332.14	379.04	543.96	264.03	255.0	323.03	356.05	332.14	387.02	351.14	400.71	314.17	406.31	341.51	253.23	358.54	264.03	397.93	305.55	301.33	187.71	316.37	273.37	327.56	332.14	353.59	332.14	258.57	295.11	325.29	460.44	346.29	329.84
NEK7	299.25	260.38	291.04	251.48	301.33	281.09	305.55	334.46	165.57	258.57	334.46	277.2	264.03	363.56	297.17	211.31	260.38	285.03	197.09	181.28	316.37	332.14	351.14	236.21	176.29	323.03	202.66	277.2	158.79	567.1	909.17	684.02	660.68	429.54	540.19	358.54	373.81	457.25	529.06	500.46	629.35	441.64	633.73	1015.93	463.65	825.0	500.46	457.25	406.31	514.56	287.01	287.01	620.67	368.65	387.02	403.5	759.08	620.67	447.82	518.15	392.44	389.72	460.44	518.15	381.68	633.73	525.39	854.13	532.74	351.14	514.56	414.87	559.28	486.75	264.03	836.53	320.8	567.1	303.44	389.72	629.35	493.56	483.38	486.75	432.53	316.37	429.54	353.59	718.08	463.65	409.15	511.0	406.31	403.5	384.34	503.95	450.94	503.95
NR3C1	309.83	332.14	283.05	246.28	295.11	242.88	295.11	381.68	202.66	217.27	343.89	285.03	253.23	348.71	273.37	246.28	267.73	343.89	220.32	323.03	305.55	348.71	379.04	483.38	414.87	426.57	244.57	327.56	312.0	743.43	521.76	629.35	802.41	307.69	525.39	356.05	395.18	514.56	497.0	591.22	669.92	246.28	559.28	660.68	441.64	384.34	713.11	368.65	444.72	483.38	389.72	301.33	780.44	507.46	400.71	607.87	1037.29	759.08	289.02	665.29	638.15	547.75	473.41	688.78	454.09	473.41	660.68	854.13	309.83	353.59	587.13	379.04	688.78	490.14	441.64	884.29	368.65	599.49	346.29	348.71	624.99	351.14	441.64	483.38	429.54	358.54	406.31	426.57	470.14	466.88	384.34	603.67	323.03	332.14	599.49	665.29	466.88	583.07
OAT	1088.92	967.76	1216.75	813.63	1066.48	1167.14	1183.45	1088.92	872.1	967.76	1242.34	1175.27	1119.56	878.17	860.08	941.27	1208.34	1081.39	733.19	1030.12	1378.57	1066.48	1331.57	1259.69	1295.13	1073.91	1096.5	902.89	1081.39	2209.26	2319.15	2178.83	2555.58	1540.37	1950.0	1685.71	1769.57	2061.24	1923.14	1498.22	2240.11	961.07	1963.57	2875.3	1806.78	1233.75	1498.22	1487.87	1304.15	1757.34	1427.22	1977.24	2468.49	1936.53	1857.6	1594.73	2451.44	2384.37	1304.15	1909.85	1628.26	1896.65	1295.13	2209.26	1991.0	1857.6	2367.9	2976.74	1457.23	1059.11	2178.83	1870.53	1769.57	2119.22	1487.87	2591.27	2209.26	1745.2	2047.0	1388.16	1685.71	1709.26	1769.57	2004.85	1794.29	1605.83	1487.87	2004.85	1883.54	1733.13	1572.76	1936.53	2148.82	1250.98	1529.73	1794.29	1870.53	1806.78
OPHN1	38.4	48.18	51.35	17.51	37.85	52.45	33.54	32.13	20.11	42.11	32.59	33.06	27.64	23.76	41.81	16.27	20.26	38.12	25.17	18.97	41.52	38.67	41.81	37.05	26.28	41.22	35.5	34.51	31.67	113.56	112.77	164.42	122.64	39.22	100.13	48.18	51.35	83.45	98.04	90.77	62.56	50.27	85.82	132.44	51.71	87.03	99.43	46.5	87.03	84.63	99.43	48.18	88.88	85.82	75.11	76.71	162.14	85.22	62.56	113.56	87.03	79.45	75.11	107.38	68.55	107.38	122.64	127.89	50.98	44.89	46.18	69.03	98.73	137.14	58.71	105.15	66.65	120.1	65.26	105.15	136.19	61.25	105.15	67.59	102.97	48.18	48.18	47.5	104.42	70.01	80.57	105.89	60.39	34.02	76.17	91.41	57.08	84.63
OSBPL8	153.34	148.09	163.28	138.1	159.9	142.01	141.02	161.02	106.63	155.5	175.07	162.14	135.24	142.01	125.24	122.64	144.01	165.57	92.7	103.69	158.79	149.12	171.45	169.07	132.44	169.07	127.0	167.9	105.89	323.03	361.04	423.61	312.0	123.5	224.97	157.68	183.82	329.84	267.73	285.03	297.17	180.02	217.27	435.55	260.38	323.03	162.14	224.97	206.94	199.85	171.45	155.5	248.0	177.53	212.78	217.27	348.71	218.79	237.86	231.32	215.77	197.09	232.94	248.0	178.77	287.01	420.68	366.09	211.31	146.03	155.5	232.94	297.17	246.28	157.68	480.04	130.6	275.28	133.36	249.73	267.73	218.79	242.88	297.17	189.02	132.44	231.32	127.0	389.72	223.41	214.27	237.86	229.72	194.36	156.59	269.6	237.86	175.07
PACRGL	285.03	309.83	291.04	297.17	262.2	325.29	234.57	307.69	183.82	209.84	248.0	182.55	232.94	295.11	264.03	277.2	212.78	346.29	215.77	175.07	303.44	265.87	258.57	214.27	212.78	323.03	253.23	223.41	239.52	460.44	656.11	728.11	511.0	363.56	420.68	291.04	403.5	346.29	460.44	525.39	395.18	423.61	511.0	457.25	381.68	400.71	490.14	339.14	351.14	346.29	450.94	351.14	514.56	351.14	457.25	329.84	575.03	373.81	314.17	332.14	329.84	389.72	521.76	441.64	363.56	346.29	414.87	651.58	400.71	249.73	373.81	379.04	441.64	493.56	309.83	473.41	392.44	599.49	361.04	414.87	579.04	518.15	497.0	400.71	381.68	318.57	438.59	256.78	379.04	368.65	389.72	423.61	271.48	307.69	423.61	366.09	395.18	429.54
PAPD5	117.6	122.64	105.15	120.1	97.36	108.14	108.9	132.44	75.11	97.36	120.1	123.5	101.54	147.06	105.15	118.43	116.78	107.38	78.89	82.87	109.66	128.79	143.01	166.73	92.05	152.28	100.13	110.43	137.14	229.72	223.41	187.71	221.86	120.94	178.77	133.36	143.01	163.28	182.55	226.54	211.31	118.43	173.85	271.48	121.79	202.66	171.45	136.19	158.79	193.01	133.36	143.01	177.53	141.02	159.9	155.5	255.0	166.73	110.43	195.72	182.55	176.29	127.0	177.53	146.03	185.11	239.52	265.87	141.02	137.14	149.12	128.79	218.79	214.27	136.19	287.01	154.42	195.72	164.42	127.0	212.78	130.6	175.07	159.9	194.36	128.79	137.14	152.28	190.34	141.02	139.07	212.78	138.1	132.44	165.57	187.71	157.68	182.55
PARD3B	96.68	94.67	85.82	77.25	93.35	101.54	102.97	105.15	72.01	66.65	88.88	45.53	50.63	71.0	92.05	51.71	52.82	56.68	71.0	51.35	80.01	89.51	104.42	31.9	40.36	94.67	78.89	66.65	30.12	149.12	170.25	149.12	171.45	116.78	165.57	101.54	105.89	144.01	172.65	167.9	223.41	107.38	150.17	164.42	97.36	195.72	129.69	87.03	112.77	115.97	100.13	63.0	228.13	120.94	118.43	164.42	251.48	267.73	130.6	212.78	102.25	170.25	111.99	199.85	122.64	134.3	138.1	194.36	148.09	57.49	153.34	151.22	162.14	191.67	67.12	197.09	82.87	177.53	66.65	106.63	171.45	162.14	138.1	120.1	106.63	88.88	95.34	94.67	157.68	151.22	120.94	115.16	116.78	82.87	112.77	158.79	156.59	164.42
PCMTD1	514.56	656.11	603.67	358.54	525.39	660.68	511.0	567.1	246.28	403.5	624.99	470.14	684.02	417.77	450.94	327.56	361.04	693.58	277.2	447.82	616.37	514.56	669.92	698.41	1030.12	791.35	543.96	503.95	536.45	1781.89	1819.35	1350.18	1832.01	521.76	1175.27	813.63	1037.29	1073.91	1467.37	1594.73	1583.71	878.17	1030.12	2367.9	896.64	1447.15	1477.58	995.0	813.63	1216.75	995.0	780.44	1216.75	1051.79	961.07	1008.9	2255.7	1233.75	743.43	1359.57	1407.55	961.07	848.22	1844.76	860.08	1487.87	1605.83	2645.74	620.67	915.51	872.1	1001.93	1066.48	1963.57	728.11	2573.36	921.88	2018.8	921.88	974.5	1242.34	1008.9	1896.65	1081.39	1417.35	460.44	1119.56	819.3	1757.34	860.08	1259.69	1519.15	1015.93	825.0	1081.39	1617.0	1044.52	1427.22
PHF3	463.65	423.61	483.38	291.04	307.69	423.61	358.54	420.68	262.2	275.28	353.59	221.86	237.86	343.89	363.56	277.2	277.2	348.71	291.04	269.6	351.14	373.81	450.94	318.57	164.42	417.77	334.46	353.59	199.85	967.76	780.44	902.89	884.29	332.14	647.07	450.94	507.46	551.56	607.87	961.07	748.61	934.76	540.19	819.3	563.18	1059.11	536.45	476.71	547.75	435.55	599.49	346.29	616.37	521.76	591.22	669.92	748.61	780.44	500.46	656.11	629.35	651.58	547.75	603.67	503.95	599.49	802.41	915.51	642.59	356.05	612.11	583.07	599.49	616.37	460.44	1023.0	251.48	764.36	392.44	567.1	848.22	642.59	514.56	579.04	555.41	358.54	521.76	346.29	890.44	688.78	521.76	603.67	466.88	490.14	473.41	587.13	591.22	587.13
