	GTEX.Y9LG.1526.SM.4WWDR	GTEX.11LCK.2026.SM.5A5MA	GTEX.1211K.1726.SM.5FQUJ	GTEX.XBEW.1926.SM.4SOJO	GTEX.13O21.2426.SM.5MR4A	GTEX.13QBU.1826.SM.5IJG3	GTEX.ZPIC.2226.SM.57WDX	GTEX.14DAR.1526.SM.5RQIX	GTEX.Y3IK.1826.SM.4WWDS	GTEX.11VI4.1526.SM.5EQKC	GTEX.ZT9W.1826.SM.51MQX	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	TCGA.KL.8335.01A.11R.2315.07	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KL.8332.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KN.8430.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.BP.4989.01A.01R.1334.07	TCGA.A3.3324.01A.02R.1325.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A3.3313.01A.02R.1325.07	TCGA.CJ.4884.01A.01R.1305.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.B9.4617.01A.01R.1193.07	GTEX.131XF.1026.SM.5BC6A	TCGA.BR.8682.01A.11R.2402.13	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.CD.8534.01A.11R.2343.13	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.8384.01A.21R.2402.13	TCGA.BR.8483.01A.31R.2402.13	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.WFON.1126.SM.4LVMA	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3O9.01A.11R.A220.07
SMARCAL1	204.07	236.21	217.27	185.11	212.78	171.45	239.52	198.47	248.0	223.41	170.25	229.72	277.2	96.01	194.36	206.94	147.06	117.6	167.9	118.43	177.53	97.36	170.25	334.46	175.07	149.12	149.12	162.14	149.12	346.29	320.8	384.34	244.57	297.17	56.28	293.07	353.59	178.77	265.87	246.28	249.73	279.14	229.72	236.21	206.94	236.21	212.78	312.0	295.11	279.14	236.21	236.21	264.03	316.37	237.86	133.36
SOCS5	120.94	100.83	92.05	125.24	100.83	102.97	115.97	108.14	111.21	134.3	94.01	246.28	258.57	90.77	156.59	120.94	56.68	71.5	60.82	107.38	64.34	59.55	56.28	269.6	65.26	94.67	102.25	57.89	74.58	307.69	301.33	289.02	466.88	255.0	40.64	220.32	206.94	106.63	221.86	293.07	80.01	309.83	320.8	334.46	603.67	138.1	267.73	441.64	497.0	220.32	483.38	127.0	161.02	214.27	221.86	130.6
SRGAP2	226.54	209.84	239.52	264.03	111.99	130.6	127.0	138.1	175.07	336.79	126.12	769.69	961.07	181.28	149.12	208.38	133.36	299.25	136.19	384.34	327.56	119.26	98.04	595.34	109.66	232.94	334.46	201.25	262.2	928.3	1066.48	1191.69	1044.52	1008.9	57.89	547.75	872.1	480.04	1427.22	915.51	303.44	1066.48	423.61	563.18	563.18	429.54	679.29	651.58	860.08	460.44	441.64	242.88	303.44	536.45	941.27	454.09
SYDE1	68.07	85.82	72.52	152.28	42.71	50.98	41.22	59.55	94.67	128.79	50.63	616.37	579.04	50.63	52.82	27.64	37.59	82.87	40.36	132.44	77.79	76.17	49.91	98.04	52.82	88.88	101.54	63.89	141.02	551.56	351.14	466.88	780.44	525.39	22.1	309.83	281.09	107.38	291.04	169.07	231.32	591.22	316.37	497.0	836.53	152.28	154.42	836.53	684.02	159.9	915.51	112.77	199.85	172.65	228.13	159.9
SYT11	61.68	73.03	81.14	106.63	19.82	54.72	36.53	30.78	102.25	152.28	18.03	295.11	406.31	43.63	37.32	21.63	8.13	39.79	12.18	71.0	56.28	31.22	68.55	121.79	16.63	45.85	81.14	33.06	81.14	289.02	301.33	258.57	371.22	211.31	22.26	113.56	215.77	126.12	141.02	209.84	66.65	387.02	295.11	450.94	836.53	59.55	156.59	571.05	665.29	75.64	629.35	57.08	121.79	92.05	217.27	81.14
TAF1B	61.68	65.26	86.43	66.65	43.32	75.11	77.25	46.5	69.03	120.1	43.32	88.88	131.51	51.35	153.34	115.16	79.45	46.84	76.71	90.77	100.83	57.89	50.63	236.21	60.39	87.65	94.67	79.45	100.13	170.25	199.85	226.54	194.36	190.34	39.5	182.55	285.03	131.51	231.32	249.73	128.79	175.07	198.47	172.65	178.77	127.0	258.57	236.21	258.57	244.57	128.79	116.78	130.6	187.71	165.57	81.71
TAOK1	115.97	125.24	138.1	136.19	87.65	116.78	120.94	105.89	113.56	182.55	83.45	220.32	281.09	120.1	209.84	103.69	73.03	76.71	120.94	148.09	116.78	105.15	80.01	291.04	88.26	102.25	215.77	124.37	105.15	231.32	249.73	376.41	265.87	218.79	45.85	665.29	236.21	202.66	279.14	368.65	186.4	267.73	486.75	305.55	521.76	218.79	312.0	368.65	476.71	193.01	500.46	130.6	130.6	285.03	209.84	120.1
TBCK	187.71	256.78	218.79	237.86	260.38	182.55	214.27	231.32	255.0	229.72	139.07	269.6	511.0	237.86	246.28	239.52	186.4	152.28	229.72	281.09	279.14	152.28	163.28	381.68	159.9	204.07	208.38	163.28	212.78	336.79	525.39	301.33	525.39	260.38	96.68	376.41	343.89	429.54	420.68	454.09	403.5	180.02	358.54	351.14	529.06	260.38	246.28	373.81	397.93	258.57	438.59	295.11	293.07	229.72	371.22	153.34
THY1	417.77	264.03	180.02	466.88	41.52	201.25	67.59	63.89	490.14	366.09	108.9	2520.38	1605.83	743.43	934.76	665.29	967.76	1088.92	669.92	1529.73	1551.09	1733.13	1208.34	1233.75	1331.57	2047.0	1857.6	934.76	3540.14	10225.32	4481.23	4328.55	11189.6	8840.04	381.68	1572.76	4328.55	2875.3	4358.66	6121.9	423.61	198.47	3190.46	1529.73	4736.79	1175.27	1216.75	5255.91	4358.66	1096.5	1447.15	181.28	397.93	2104.58	10808.41	1304.15
TIGD4	2.16	1.41	2.63	5.82	1.23	0.56	3.0	2.43	5.63	5.32	2.86	7.06	8.0	3.82	3.53	6.16	1.58	0.93	4.13	4.43	6.52	2.56	2.81	7.17	3.89	2.71	5.92	2.81	5.23	7.82	40.36	22.59	9.63	14.56	0.75	21.94	13.42	3.06	15.22	14.89	14.35	4.78	11.64	3.96	11.38	5.54	19.68	5.41	1.85	7.46	6.16	5.06	2.68	14.89	11.21	6.36
TMEM123	1477.58	1143.1	1508.65	1561.89	1605.83	1378.57	1685.71	2133.97	1651.0	2255.7	896.64	1001.93	1104.13	2351.53	3103.19	1191.69	551.56	1340.84	454.09	4388.98	1540.37	842.36	1088.92	2119.22	753.83	1519.15	2573.36	808.0	1639.59	2591.27	1508.65	7331.05	1806.78	3467.27	3018.3	8421.31	4298.64	1104.13	3168.41	3665.02	1508.65	4607.24	3395.89	2701.35	4481.23	2739.08	5555.65	2875.3	4704.07	4038.61	3794.3	2319.15	2417.67	1769.57	2895.31	1015.93
TNFAIP1	353.59	379.04	356.05	332.14	258.57	353.59	316.37	309.83	373.81	384.34	353.59	764.36	559.28	287.01	518.15	281.09	234.57	532.74	353.59	638.15	429.54	454.09	312.0	688.78	305.55	392.44	529.06	363.56	454.09	1051.79	543.96	896.64	738.29	988.12	122.64	785.88	684.02	460.44	723.08	698.41	967.76	1191.69	854.13	412.0	759.08	813.63	708.18	647.07	896.64	579.04	483.38	521.76	483.38	651.58	693.58	603.67
TNFSF14	15.45	23.42	10.79	12.74	3.17	4.74	14.14	15.45	25.72	12.18	13.62	17.64	39.22	2.23	3.69	5.92	2.51	9.63	0.45	4.62	12.55	1.36	4.62	4.98	2.46	13.22	6.16	5.87	3.5	93.35	397.93	88.88	860.08	575.03	0.0	49.91	110.43	3.2	9.2	2.29	8.51	32.59	84.04	242.88	76.71	25.91	47.5	89.51	69.03	22.59	36.53	14.67	14.14	14.03	25.91	12.55
TNKS2	299.25	244.57	273.37	221.86	231.32	242.88	218.79	206.94	181.28	368.65	173.85	312.0	312.0	172.65	420.68	120.1	90.14	130.6	159.9	202.66	159.9	260.38	100.83	403.5	133.36	178.77	295.11	154.42	127.0	325.29	406.31	518.15	384.34	327.56	77.79	473.41	423.61	283.05	371.22	414.87	166.73	536.45	660.68	476.71	543.96	384.34	483.38	529.06	591.22	275.28	490.14	412.0	248.0	493.56	301.33	221.86
TNRC6C	41.52	36.53	53.57	48.52	33.06	29.48	35.5	43.63	32.36	75.11	16.15	287.01	295.11	90.77	44.57	22.1	27.84	39.5	46.18	43.94	51.35	29.06	32.59	50.98	48.87	45.21	41.22	35.5	45.53	92.05	105.15	84.63	189.02	65.26	1.95	97.36	63.45	52.08	115.97	133.36	41.81	121.79	269.6	267.73	249.73	115.16	194.36	334.46	366.09	138.1	305.55	63.89	66.18	116.78	76.17	35.76
TRIM6	9.41	15.11	10.16	30.34	12.0	7.22	10.55	10.31	12.27	22.1	5.15	84.63	85.22	11.21	4.9	0.97	1.22	29.91	10.08	4.9	19.39	2.61	6.52	27.84	5.15	8.25	14.03	20.41	11.13	150.17	139.07	303.44	85.82	191.67	2.71	182.55	120.94	55.1	567.1	234.57	112.77	33.78	33.06	51.71	131.51	9.06	27.44	74.58	91.41	40.93	88.26	15.8	14.89	47.17	151.22	20.11
TRO	47.17	37.85	21.94	62.12	8.51	10.96	10.71	20.26	46.84	31.0	19.39	273.37	629.35	28.04	11.21	7.06	53.95	9.78	88.26	19.82	27.25	11.73	37.05	229.72	22.59	16.75	38.4	30.34	46.5	74.06	547.75	47.84	273.37	253.23	0.46	180.02	61.68	94.01	177.53	98.04	186.4	56.28	140.04	161.02	334.46	59.97	47.5	232.94	346.29	55.1	218.79	39.79	48.18	187.71	163.28	43.02
TRPC1	23.08	23.25	26.47	46.18	12.64	17.0	10.79	17.38	22.1	41.52	10.71	287.01	305.55	13.83	49.91	85.82	31.9	14.67	49.91	24.11	75.11	3.5	27.05	41.81	34.51	31.9	70.01	120.94	42.71	101.54	147.06	121.79	255.0	147.06	6.62	214.27	127.0	45.53	91.41	72.52	107.38	81.71	88.26	142.01	248.0	12.36	50.98	169.07	212.78	42.41	255.0	14.45	41.52	68.55	82.87	41.52
TUBG2	115.16	138.1	127.89	228.13	74.06	81.14	74.58	102.97	163.28	171.45	92.05	1030.12	1277.29	309.83	195.72	420.68	242.88	872.1	447.82	199.85	217.27	351.14	356.05	669.92	366.09	293.07	265.87	314.17	358.54	368.65	733.19	567.1	830.75	532.74	112.77	780.44	412.0	309.83	493.56	529.06	438.59	480.04	320.8	718.08	1059.11	133.36	325.29	708.18	525.39	595.34	1151.06	679.29	457.25	723.08	486.75	285.03
TULP3	138.1	153.34	159.9	208.38	139.07	153.34	109.66	118.43	139.07	212.78	106.63	353.59	563.18	113.56	115.16	82.87	92.05	108.9	103.69	96.68	117.6	96.68	75.11	679.29	132.44	98.04	117.6	99.43	127.0	457.25	483.38	860.08	583.07	791.35	24.46	497.0	529.06	173.85	395.18	420.68	753.83	277.2	473.41	638.15	1044.52	371.22	417.77	791.35	753.83	325.29	1001.93	258.57	287.01	237.86	371.22	140.04
UBE2Z	1059.11	1044.52	954.43	884.29	1044.52	1066.48	1159.07	1088.92	1081.39	1104.13	890.44	961.07	1143.1	785.88	866.07	529.06	470.14	860.08	830.75	890.44	698.41	708.18	941.27	854.13	748.61	665.29	796.86	669.92	684.02	1242.34	1498.22	1963.57	1457.23	1594.73	400.71	2004.85	1583.71	1044.52	1295.13	1104.13	1225.22	1001.93	1397.83	1225.22	1023.0	1277.29	1407.55	1191.69	1498.22	1059.11	941.27	902.89	848.22	1127.35	1111.82	713.11
UBXN7	100.13	87.03	106.63	102.25	122.64	95.34	87.03	111.21	72.52	146.03	60.82	102.97	167.9	117.6	115.16	68.55	68.07	31.9	102.25	108.9	116.78	82.87	90.77	111.21	96.68	85.22	134.3	99.43	99.43	136.19	156.59	154.42	148.09	138.1	15.45	221.86	127.0	161.02	158.79	221.86	108.9	197.09	256.78	215.77	249.73	147.06	212.78	301.33	291.04	186.4	281.09	167.9	110.43	191.67	146.03	81.14
WDR35	24.11	24.11	33.3	44.57	16.15	33.3	24.99	18.16	28.04	49.91	10.08	98.73	157.68	27.05	79.45	45.85	18.56	22.59	36.01	17.9	35.25	25.54	16.75	100.13	32.82	20.41	53.19	27.44	31.0	115.16	172.65	228.13	108.9	224.97	9.27	166.73	149.12	65.72	171.45	198.47	131.51	120.94	111.99	163.28	255.0	94.01	109.66	176.29	236.21	138.1	275.28	46.18	40.36	143.01	95.34	44.25
ZBTB14	197.09	166.73	185.11	172.65	181.28	189.02	197.09	183.82	130.6	214.27	96.68	162.14	194.36	111.99	81.71	150.17	50.98	56.28	108.9	111.99	114.36	105.15	77.79	202.66	121.79	108.14	132.44	106.63	117.6	159.9	269.6	293.07	229.72	251.48	38.95	209.84	205.5	151.22	226.54	209.84	136.19	253.23	293.07	236.21	325.29	157.68	205.5	264.03	303.44	158.79	287.01	144.01	158.79	138.1	153.34	90.77
ZDHHC17	161.02	155.5	185.11	154.42	116.78	126.12	106.63	143.01	135.24	242.88	62.56	525.39	633.73	159.9	155.5	117.6	122.64	60.82	158.79	167.9	181.28	177.53	128.79	175.07	163.28	158.79	271.48	149.12	197.09	273.37	525.39	470.14	518.15	457.25	23.93	363.56	470.14	285.03	297.17	262.2	173.85	208.38	486.75	466.88	575.03	180.02	336.79	575.03	551.56	253.23	713.11	223.41	137.14	299.25	291.04	186.4
ZEB1	74.58	118.43	80.57	183.82	39.79	71.0	55.1	63.0	157.68	158.79	37.05	595.34	775.05	75.11	102.97	58.3	32.13	47.17	40.36	214.27	125.24	75.11	47.5	89.51	42.41	87.65	140.04	50.98	134.3	633.73	441.64	429.54	511.0	303.44	23.25	318.57	285.03	171.45	285.03	283.05	82.87	624.99	860.08	1322.37	3614.55	228.13	381.68	1639.59	2104.58	251.48	3325.99	126.12	253.23	279.14	567.1	190.34
ZEB2	178.77	211.31	251.48	368.65	76.17	138.1	114.36	98.04	194.36	587.13	101.54	921.88	1508.65	94.01	80.01	42.11	35.25	88.88	19.25	125.24	129.69	82.87	55.1	122.64	45.85	124.37	186.4	87.03	204.07	674.59	1044.52	836.53	1594.73	775.05	19.25	500.46	674.59	211.31	587.13	432.53	149.12	728.11	753.83	679.29	567.1	226.54	397.93	866.07	947.83	149.12	995.0	152.28	420.68	256.78	521.76	281.09
ZHX2	120.1	114.36	127.89	185.11	68.07	85.82	120.1	91.41	113.56	164.42	79.45	275.28	303.44	162.14	88.88	16.15	120.1	96.01	217.27	144.01	183.82	21.01	145.02	178.77	211.31	148.09	88.88	164.42	76.17	403.5	204.07	320.8	329.84	341.51	7.88	323.03	343.89	185.11	273.37	289.02	260.38	353.59	323.03	397.93	258.57	212.78	316.37	299.25	318.57	70.01	327.56	73.03	175.07	336.79	493.56	150.17
ZKSCAN8	130.6	136.19	201.25	161.02	109.66	146.03	102.97	131.51	81.71	164.42	71.5	141.02	211.31	84.63	113.56	49.56	60.82	37.59	90.77	74.58	94.67	54.33	53.95	180.02	84.04	76.17	111.99	78.89	94.67	221.86	279.14	287.01	260.38	224.97	8.19	409.15	157.68	152.28	212.78	191.67	127.89	178.77	353.59	450.94	551.56	163.28	363.56	429.54	460.44	195.72	532.74	180.02	88.26	224.97	208.38	108.14
ZMYM4	241.19	183.82	253.23	217.27	178.77	159.9	215.77	150.17	172.65	281.09	164.42	260.38	351.14	159.9	198.47	128.79	98.73	68.55	135.24	158.79	169.07	123.5	105.15	376.41	105.89	139.07	181.28	128.79	175.07	287.01	329.84	473.41	392.44	358.54	39.79	299.25	358.54	251.48	403.5	426.57	265.87	435.55	381.68	384.34	547.75	403.5	575.03	473.41	463.65	287.01	432.53	244.57	167.9	432.53	346.29	244.57
ZMYM6NB	684.02	693.58	738.29	651.58	567.1	624.99	629.35	583.07	1135.2	961.07	497.0	967.76	1175.27	426.57	457.25	148.09	142.01	406.31	269.6	277.2	612.11	327.56	299.25	1059.11	236.21	460.44	381.68	412.0	334.46	1268.46	1498.22	1457.23	1066.48	1551.09	587.13	497.0	1561.89	493.56	915.51	1135.2	426.57	1350.18	743.43	1437.15	791.35	684.02	1259.69	825.0	813.63	967.76	813.63	674.59	808.0	1208.34	1151.06	642.59
ZNF182	77.79	84.04	96.68	92.7	80.01	79.45	59.97	77.25	33.78	83.45	44.89	88.26	177.53	74.58	88.26	48.18	63.0	55.1	96.68	60.82	95.34	71.0	69.03	84.04	89.51	92.7	102.97	85.22	102.25	80.01	177.53	127.0	186.4	115.97	15.68	98.04	90.14	130.6	76.17	73.54	88.88	88.26	118.43	155.5	126.12	94.67	138.1	118.43	93.35	185.11	100.13	90.77	73.54	131.51	119.26	87.65
ZNF25	58.71	60.39	55.89	90.14	40.07	52.08	43.32	43.63	54.33	86.43	32.36	199.85	264.03	43.02	80.57	36.53	33.54	34.02	33.78	37.05	36.79	78.89	26.67	144.01	30.56	34.51	65.26	31.45	43.32	181.28	204.07	260.38	273.37	217.27	49.91	98.73	166.73	87.65	194.36	166.73	92.05	260.38	170.25	229.72	583.07	50.63	91.41	301.33	379.04	93.35	447.82	61.68	118.43	152.28	166.73	83.45
ZNF34	64.34	83.45	63.0	111.21	50.98	64.34	45.85	58.71	78.89	71.5	43.02	159.9	177.53	68.07	80.01	58.3	63.45	64.34	62.12	96.68	67.59	46.18	67.12	106.63	98.04	82.87	92.7	37.32	97.36	187.71	125.24	103.69	242.88	83.45	31.45	122.64	78.34	71.5	116.78	139.07	75.11	251.48	153.34	183.82	246.28	48.18	109.66	211.31	239.52	173.85	332.14	98.73	120.94	132.44	195.72	75.11
ZNF37A	68.07	81.71	104.42	89.51	63.0	83.45	62.12	65.26	96.68	78.89	48.87	211.31	356.05	68.55	117.6	72.01	56.68	34.75	74.06	84.63	129.69	93.35	70.01	191.67	77.79	134.3	80.01	59.97	109.66	176.29	293.07	260.38	295.11	169.07	77.25	267.73	170.25	217.27	146.03	145.02	122.64	108.9	275.28	226.54	299.25	172.65	320.8	255.0	291.04	312.0	358.54	171.45	127.89	171.45	134.3	67.12
ZNF449	39.22	63.0	76.71	62.12	30.78	59.97	39.22	44.25	38.4	67.59	28.24	156.59	98.73	30.34	42.71	33.78	33.78	70.51	37.05	65.72	36.01	43.94	22.92	87.65	30.56	30.34	47.5	37.59	73.03	109.66	150.17	130.6	185.11	109.66	18.56	187.71	136.19	74.58	81.14	48.52	88.26	103.69	127.0	155.5	281.09	78.34	108.14	161.02	204.07	95.34	177.53	97.36	37.32	120.1	84.63	71.5
ZNF594	15.45	29.27	38.12	38.95	27.64	17.51	23.93	26.67	25.72	40.36	8.65	29.06	78.89	43.63	22.1	16.51	19.53	17.51	32.36	25.91	38.4	15.8	23.42	60.39	33.06	24.46	42.11	30.56	24.46	58.71	130.6	82.29	143.01	51.71	3.14	169.07	45.21	57.08	75.11	65.72	43.94	40.07	75.11	114.36	112.77	36.01	115.97	107.38	98.73	87.03	109.66	31.45	31.0	85.22	56.68	27.64
ZNF624	37.59	23.08	27.25	24.81	37.05	34.51	38.67	42.71	29.7	45.21	26.67	44.57	45.85	11.47	36.53	13.32	15.91	9.78	18.7	18.03	20.56	18.84	12.45	61.25	23.42	20.11	33.06	14.56	22.43	48.87	51.35	55.1	51.71	52.82	3.82	60.82	48.18	27.84	53.57	64.34	49.21	40.36	43.63	40.93	57.89	31.67	59.97	49.21	40.07	24.11	50.98	25.35	44.57	34.26	51.71	9.63
ZNF641	129.69	180.02	194.36	177.53	96.01	131.51	79.45	98.04	102.25	191.67	69.52	208.38	325.29	134.3	117.6	69.03	57.89	64.8	127.89	127.89	97.36	70.51	83.45	242.88	102.97	73.54	155.5	95.34	113.56	234.57	316.37	287.01	373.81	217.27	35.0	287.01	239.52	201.25	271.48	212.78	115.16	285.03	244.57	260.38	366.09	148.09	314.17	291.04	384.34	193.01	269.6	194.36	111.99	314.17	148.09	202.66
