	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.RM2N.1926.SM.48FCU	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZPU1.0826.SM.57WG2	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZE7O.0826.SM.57WCP	TCGA.V1.A9ZR.01A.11R.A41O.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.VN.A88I.01A.11R.A352.07	TCGA.HC.A9TE.01A.11R.A41O.07	TCGA.YL.A8SK.01B.21R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.EJ.A7NH.01A.12R.A33R.07	GTEX.13NZ9.1126.SM.5MR37	GTEX.13VXT.1626.SM.5IJES
SNRNP70	5479.15	5292.48	1081.39	2090.03	836.53	2485.67	733.19	1397.83	1135.2	1437.15	2075.59	4481.23	2351.53	1044.52	3395.89	1617.0	3395.89	2119.22	2047.0	2163.77	3235.01	3614.55	1697.45	2573.36	3103.19	2627.46	3190.46	4903.87	1745.2	1757.34	2895.31	2682.69	2627.46	3467.27	1277.29	2104.58	3018.3	2075.59	0.0	1.13	5219.6	4769.75	8191.0	7642.41	9279.58	8901.53	8022.41	8658.09	7485.11	8421.31
SRRM2	9088.59	10585.95	3716.2	3280.18	1991.0	4066.71	2796.65	4671.57	3419.52	4937.99	4575.41	12329.98	5751.61	3564.78	7280.4	3039.3	9540.5	3146.52	5183.54	3349.13	7695.57	8778.97	6250.56	5672.41	7032.37	5006.93	9344.14	8479.89	3325.99	2555.58	6037.61	6037.61	6887.62	10084.54	1963.57	6792.79	6561.36	3419.52	5555.65	20737.16	9808.75	13033.07	13215.02	11424.74	13033.07	17927.91	14867.79	13968.57	17558.94	18431.96
SRRM5	13.03	8.65	4.46	2.78	1.06	4.9	0.32	1.95	3.47	3.06	4.5	13.32	6.67	4.7	14.24	3.56	8.92	4.82	6.52	4.9	6.73	12.18	9.06	9.78	8.71	8.13	9.13	22.59	7.63	3.5	4.82	3.66	9.34	10.08	0.17	3.66	6.73	9.34	0.0	0.37	19.82	28.45	23.08	24.63	36.27	35.0	49.21	30.56	34.02	11.13
STAP1	6.21	44.57	2.71	1.17	6.26	18.16	0.0	4.82	1.48	0.87	2.56	2.01	0.0	8.99	3.69	5.82	16.63	5.96	2.92	23.76	1.91	19.82	5.92	1.43	23.08	4.17	11.04	5.36	8.0	32.82	4.94	6.06	5.28	3.69	3.08	18.84	5.63	0.0	0.0	0.12	343.89	6.73	100.13	177.53	24.11	6.11	31.22	10.47	460.44	30.56
SZT2	275.28	152.28	123.5	106.63	47.84	110.43	81.71	116.78	101.54	103.69	138.1	215.77	128.79	97.36	169.07	112.77	195.72	106.63	132.44	136.19	187.71	183.82	125.24	148.09	209.84	110.43	169.07	241.19	150.17	131.51	140.04	137.14	125.24	142.01	67.12	87.03	145.02	129.69	0.0	0.84	289.02	275.28	260.38	283.05	379.04	361.04	277.2	368.65	426.57	460.44
TAF1C	616.37	351.14	167.9	194.36	99.43	305.55	115.16	180.02	127.0	148.09	155.5	733.19	353.59	111.99	334.46	209.84	480.04	248.0	234.57	255.0	348.71	429.54	218.79	273.37	269.6	339.14	307.69	423.61	343.89	232.94	376.41	334.46	438.59	507.46	138.1	197.09	246.28	189.02	368.65	212.78	547.75	603.67	651.58	1001.93	633.73	1044.52	688.78	1151.06	1397.83	1487.87
TESPA1	53.95	89.51	6.21	2.63	0.75	28.04	3.14	8.13	1.2	5.28	19.25	47.84	28.04	7.57	22.1	17.64	78.34	11.91	7.69	34.51	15.8	15.91	8.06	8.0	64.34	36.27	27.84	36.01	46.18	21.32	14.45	3.82	62.12	20.86	12.55	4.17	45.21	10.79	0.0	0.22	647.07	38.12	92.7	59.55	84.04	17.9	25.91	27.84	525.39	59.55
THBS3	1008.9	1081.39	131.51	164.42	38.67	208.38	56.68	90.77	103.69	70.01	197.09	723.08	244.57	55.49	575.03	205.5	438.59	202.66	195.72	265.87	607.87	480.04	202.66	212.78	305.55	299.25	435.55	332.14	172.65	208.38	267.73	178.77	271.48	329.84	103.69	136.19	376.41	215.77	0.0	0.93	1127.35	1030.12	629.35	1030.12	1857.6	1073.91	1001.93	723.08	769.69	1369.04
THOC1	532.74	624.99	151.22	239.52	140.04	256.78	157.68	154.42	260.38	161.02	381.68	688.78	307.69	204.07	529.06	323.03	503.95	277.2	303.44	220.32	406.31	493.56	208.38	320.8	454.09	269.6	490.14	490.14	373.81	285.03	371.22	348.71	429.54	575.03	100.13	329.84	591.22	320.8	0.0	0.85	748.61	769.69	713.11	669.92	764.36	915.51	860.08	909.17	872.1	842.36
TTC6	134.3	218.79	42.41	21.78	14.67	74.58	17.38	23.25	55.89	45.21	115.16	161.02	80.57	38.4	180.02	70.51	150.17	18.16	63.89	57.89	92.05	159.9	68.07	44.57	137.14	74.58	157.68	121.79	114.36	50.27	80.57	89.51	75.64	61.25	31.9	87.03	182.55	136.19	0.0	0.16	392.44	395.18	679.29	287.01	780.44	713.11	1015.93	2061.24	0.38	0.6
TTLL3	555.41	341.51	58.71	85.82	43.63	154.42	26.86	33.3	45.85	21.78	74.06	358.54	80.01	28.65	221.86	135.24	153.34	85.22	78.34	147.06	180.02	173.85	81.14	155.5	197.09	144.01	260.38	256.78	193.01	108.14	153.34	137.14	172.65	198.47	39.5	151.22	166.73	94.67	0.0	1.08	2537.92	995.0	1044.52	1322.37	1437.15	1225.22	1286.18	1216.75	1216.75	1923.14
TUBGCP6	808.0	587.13	151.22	258.57	80.57	234.57	90.14	191.67	125.24	133.36	221.86	629.35	312.0	115.97	400.71	177.53	497.0	283.05	325.29	248.0	389.72	473.41	262.2	301.33	371.22	289.02	463.65	612.11	275.28	239.52	221.86	275.28	301.33	441.64	141.02	258.57	346.29	202.66	0.0	1.22	1159.07	808.0	1051.79	988.12	713.11	1208.34	1111.82	1304.15	1268.46	1242.34
TYSND1	353.59	532.74	199.85	120.1	155.5	239.52	134.3	96.68	84.04	81.14	291.04	305.55	273.37	55.1	299.25	197.09	256.78	265.87	177.53	260.38	281.09	211.31	293.07	248.0	244.57	234.57	265.87	305.55	130.6	267.73	226.54	146.03	197.09	157.68	146.03	106.63	289.02	271.48	314.17	295.11	299.25	511.0	559.28	395.18	366.09	332.14	438.59	466.88	426.57	368.65
U2AF1L4	571.05	941.27	356.05	414.87	95.34	264.03	137.14	239.52	204.07	262.2	616.37	629.35	356.05	173.85	723.08	348.71	743.43	518.15	299.25	283.05	633.73	579.04	412.0	329.84	665.29	297.17	441.64	529.06	264.03	283.05	483.38	441.64	587.13	791.35	303.44	384.34	529.06	387.02	483.38	954.43	830.75	708.18	723.08	934.76	665.29	748.61	642.59	836.53	1104.13	2537.92
UCK1	708.18	748.61	753.83	703.28	521.76	642.59	525.39	389.72	343.89	366.09	995.0	884.29	848.22	414.87	1044.52	728.11	890.44	684.02	802.41	830.75	830.75	830.75	633.73	872.1	1001.93	808.0	934.76	1096.5	688.78	624.99	813.63	529.06	836.53	738.29	473.41	309.83	1119.56	902.89	0.0	0.59	934.76	866.07	854.13	1135.2	1059.11	785.88	884.29	974.5	1127.35	1216.75
UCKL1	1096.5	1159.07	406.31	587.13	187.71	607.87	273.37	264.03	299.25	267.73	371.22	981.29	665.29	291.04	866.07	483.38	830.75	460.44	532.74	483.38	748.61	1015.93	693.58	860.08	738.29	684.02	808.0	1001.93	536.45	540.19	612.11	718.08	616.37	842.36	297.17	486.75	753.83	536.45	1111.82	567.1	1208.34	1268.46	1059.11	1119.56	1151.06	1191.69	1417.35	1519.15	1286.18	1519.15
WDR27	368.65	167.9	37.32	81.14	33.54	63.45	29.48	37.05	63.45	43.94	114.36	403.5	135.24	28.65	255.0	58.71	241.19	146.03	130.6	120.94	226.54	212.78	113.56	156.59	198.47	197.09	180.02	256.78	111.99	95.34	232.94	150.17	202.66	281.09	40.07	62.56	220.32	111.99	0.0	1.04	1183.45	651.58	567.1	633.73	497.0	753.83	703.28	738.29	780.44	536.45
WDR83	301.33	395.18	186.4	112.77	92.7	214.27	90.77	97.36	69.03	75.64	177.53	389.72	226.54	88.26	204.07	170.25	256.78	189.02	175.07	153.34	246.28	232.94	125.24	166.73	204.07	197.09	163.28	265.87	153.34	209.84	187.71	139.07	204.07	295.11	80.57	113.56	173.85	177.53	0.0	0.51	486.75	551.56	450.94	454.09	848.22	441.64	470.14	532.74	551.56	764.36
XAB2	981.29	1151.06	521.76	587.13	293.07	612.11	406.31	351.14	275.28	395.18	314.17	995.0	647.07	287.01	808.0	409.15	854.13	507.46	454.09	514.56	713.11	693.58	532.74	591.22	642.59	665.29	688.78	884.29	547.75	647.07	559.28	536.45	497.0	753.83	406.31	536.45	728.11	438.59	0.0	0.85	1268.46	1359.57	1286.18	1259.69	1519.15	1277.29	1313.23	1508.65	1175.27	2061.24
YPEL3	2367.9	2271.4	928.3	1143.1	1037.29	1498.22	1081.39	764.36	376.41	728.11	1073.91	2351.53	1508.65	559.28	2468.49	995.0	2319.15	1447.15	1794.29	2018.8	2303.12	1896.65	2148.82	703.28	1331.57	2701.35	1628.26	1844.76	1467.37	1639.59	1617.0	1322.37	1519.15	1733.13	1674.06	1044.52	1963.57	1191.69	0.0	0.6	6471.02	3742.05	2468.49	3794.3	2451.44	2502.97	2855.44	2537.92	3146.52	4543.8
ZMIZ2	1417.35	1073.91	249.73	371.22	103.69	289.02	144.01	287.01	234.57	164.42	518.15	896.64	368.65	146.03	599.49	348.71	759.08	334.46	551.56	314.17	633.73	669.92	420.68	642.59	738.29	373.81	642.59	819.3	368.65	432.53	444.72	480.04	432.53	688.78	164.42	381.68	547.75	397.93	0.0	1.2	1923.14	1477.58	1605.83	1583.71	2032.85	1594.73	1950.0	2163.77	2520.38	1781.89
ZNF133	239.52	201.25	72.52	120.1	30.78	96.01	52.82	57.49	46.84	44.57	121.79	258.57	98.04	69.03	191.67	84.63	195.72	100.13	108.9	149.12	211.31	191.67	100.83	111.21	146.03	134.3	197.09	206.94	121.79	91.41	134.3	75.64	140.04	162.14	42.71	74.58	187.71	164.42	0.0	0.46	400.71	497.0	325.29	406.31	536.45	420.68	400.71	447.82	444.72	743.43
ZNF212	215.77	241.19	117.6	91.41	57.08	149.12	53.57	72.52	82.29	57.49	173.85	194.36	140.04	88.26	204.07	141.02	190.34	105.89	178.77	133.36	165.57	158.79	113.56	171.45	217.27	132.44	191.67	249.73	120.1	193.01	141.02	120.94	166.73	186.4	49.56	94.67	212.78	165.57	0.0	0.0	289.02	356.05	277.2	234.57	417.77	314.17	343.89	371.22	289.02	389.72
ZNF23	163.28	83.45	70.01	108.14	32.13	72.01	41.22	41.22	78.89	60.82	110.43	161.02	90.77	67.12	147.06	71.5	92.7	77.25	158.79	71.5	112.77	157.68	58.71	99.43	136.19	98.73	147.06	185.11	86.43	66.18	70.51	93.35	108.9	142.01	47.5	71.0	144.01	134.3	0.0	0.28	432.53	204.07	149.12	215.77	175.07	154.42	166.73	150.17	212.78	305.55
ZNF251	358.54	275.28	49.91	100.83	22.1	70.01	26.67	33.54	42.41	27.84	136.19	218.79	102.25	34.02	157.68	67.12	157.68	91.41	110.43	81.14	155.5	154.42	60.39	126.12	104.42	126.12	138.1	198.47	82.87	93.35	96.68	89.51	122.64	151.22	27.84	45.85	143.01	138.1	0.0	0.77	420.68	551.56	373.81	376.41	518.15	395.18	599.49	400.71	423.61	713.11
ZNF276	500.46	392.44	133.36	193.01	68.55	175.07	60.82	181.28	76.17	116.78	186.4	543.96	189.02	124.37	297.17	167.9	371.22	142.01	223.41	186.4	275.28	320.8	232.94	334.46	376.41	212.78	444.72	435.55	209.84	153.34	236.21	229.72	265.87	336.79	137.14	307.69	283.05	221.86	0.0	1.0	620.67	536.45	599.49	674.59	480.04	587.13	660.68	656.11	1250.98	603.67
ZNF362	423.61	260.38	130.6	124.37	85.82	144.01	66.18	92.05	107.38	70.51	152.28	343.89	194.36	68.55	224.97	161.02	246.28	162.14	234.57	180.02	236.21	277.2	138.1	236.21	283.05	246.28	277.2	285.03	162.14	177.53	178.77	115.16	205.5	267.73	81.14	136.19	237.86	183.82	0.0	0.27	808.0	988.12	490.14	753.83	571.05	723.08	607.87	656.11	476.71	1030.12
ZNF444	988.12	1794.29	896.64	902.89	420.68	1015.93	532.74	473.41	381.68	642.59	1268.46	1819.35	1059.11	368.65	1519.15	1304.15	1322.37	1059.11	1427.22	1208.34	1286.18	1529.73	967.76	1250.98	1662.49	1242.34	1088.92	1477.58	830.75	1175.27	1199.98	1143.1	928.3	1135.2	669.92	703.28	1407.55	1242.34	0.0	0.54	1806.78	1340.84	967.76	1119.56	1233.75	848.22	1242.34	1250.98	728.11	1529.73
ZNF579	206.94	339.14	63.0	77.25	50.63	52.08	26.86	72.01	25.54	44.25	136.19	223.41	117.6	29.7	157.68	107.38	190.34	124.37	205.5	94.01	105.89	258.57	170.25	197.09	111.21	141.02	170.25	314.17	68.07	139.07	83.45	87.65	111.99	197.09	29.7	85.22	118.43	103.69	0.0	0.74	314.17	334.46	341.51	400.71	351.14	348.71	463.65	454.09	420.68	669.92
ZNF653	251.48	224.97	127.0	82.29	90.14	102.97	83.45	112.77	112.77	140.04	121.79	205.5	106.63	92.05	231.32	205.5	215.77	71.5	103.69	78.89	155.5	149.12	106.63	130.6	162.14	105.15	161.02	142.01	122.64	86.43	86.43	140.04	96.68	166.73	77.79	126.12	231.32	111.21	0.0	0.12	325.29	212.78	275.28	289.02	309.83	348.71	234.57	237.86	285.03	389.72
ZNF691	262.2	167.9	129.69	147.06	55.49	152.28	117.6	111.21	134.3	82.87	231.32	381.68	175.07	116.78	301.33	162.14	231.32	166.73	195.72	260.38	205.5	198.47	149.12	231.32	285.03	202.66	258.57	312.0	164.42	173.85	183.82	137.14	180.02	218.79	75.11	67.59	256.78	193.01	0.0	0.0	277.2	389.72	320.8	387.02	353.59	283.05	368.65	343.89	389.72	567.1
ZNF692	848.22	1572.76	96.01	262.2	58.71	273.37	120.94	111.21	95.34	93.35	293.07	532.74	241.19	76.71	521.76	218.79	476.71	307.69	228.13	329.84	473.41	432.53	285.03	293.07	376.41	283.05	373.81	423.61	251.48	293.07	275.28	242.88	316.37	529.06	110.43	153.34	412.0	295.11	0.0	1.11	1427.22	2434.5	2609.3	1870.53	2485.67	2018.8	3467.27	2720.15	1378.57	1467.37
ZNF76	854.13	591.22	244.57	297.17	178.77	351.14	175.07	190.34	197.09	162.14	395.18	713.11	332.14	212.78	543.96	295.11	543.96	316.37	379.04	297.17	486.75	525.39	323.03	447.82	503.95	412.0	521.76	595.34	301.33	281.09	457.25	371.22	603.67	599.49	226.54	262.2	438.59	312.0	0.0	0.78	1044.52	890.44	934.76	961.07	896.64	934.76	915.51	1135.2	1769.57	1111.82
ZNF780B	113.56	144.01	37.32	66.65	37.32	50.98	19.25	33.78	57.49	40.93	66.65	129.69	80.01	27.64	64.34	47.84	127.0	75.64	62.56	59.97	63.0	157.68	33.06	122.64	99.43	135.24	123.5	90.14	65.26	80.01	69.03	40.93	89.51	90.14	33.3	10.79	73.03	65.72	38.67	45.21	199.85	108.9	122.64	96.01	144.01	147.06	154.42	120.1	239.52	351.14
ZNF784	211.31	281.09	141.02	187.71	76.71	116.78	67.12	90.77	73.54	88.88	181.28	307.69	154.42	71.0	156.59	142.01	183.82	163.28	175.07	156.59	325.29	309.83	143.01	262.2	209.84	217.27	223.41	406.31	92.05	164.42	130.6	112.77	172.65	221.86	98.73	110.43	171.45	152.28	0.0	0.0	251.48	255.0	289.02	267.73	183.82	327.56	314.17	356.05	159.9	525.39
ZNF839	341.51	397.93	115.16	140.04	57.89	183.82	65.72	106.63	96.01	57.49	186.4	323.03	142.01	70.01	316.37	151.22	265.87	158.79	199.85	202.66	234.57	314.17	161.02	212.78	244.57	181.28	248.0	327.56	187.71	136.19	209.84	169.07	182.55	189.02	84.63	108.9	195.72	187.71	0.0	0.36	503.95	543.96	373.81	329.84	343.89	450.94	435.55	429.54	373.81	674.59
ZSWIM8	3039.3	3564.78	1073.91	1572.76	660.68	1183.45	1066.48	1295.13	1216.75	1295.13	1963.57	4038.61	1733.13	1135.2	3372.43	1529.73	3060.45	1437.15	1721.16	1870.53	2796.65	2855.44	1757.34	1561.89	2520.38	1551.09	2502.97	2816.11	1685.71	1794.29	1733.13	1572.76	1883.54	2351.53	1008.9	2032.85	3081.75	1870.53	674.59	842.36	2032.85	2163.77	2758.13	2609.3	2609.3	2417.67	2555.58	3168.41	3540.14	3820.7
