	GTEX.132AR.0826.SM.5EGK6	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.CR.7369.01A.11R.2132.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.BA.5152.01A.02R.1873.07	TCGA.CV.5971.01A.11R.1686.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.BA.5558.01A.01R.1514.07	TCGA.CR.7386.01A.11R.2016.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.6939.11A.01R.1915.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8426.01A.11R.2315.07	TCGA.B8.A54E.01A.11R.A266.07	TCGA.B8.4621.01A.01R.1503.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.B4.5835.01A.11R.1672.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.DW.7841.01A.11R.A32Z.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.A57E.01A.11R.A26U.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.A4.7732.01A.11R.2139.07	TCGA.SX.A7SO.01A.11R.A355.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.B9.A5W7.01A.11R.A31O.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.UZ.A9PV.01A.11R.A42S.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.BQ.5875.01A.11R.1592.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.B3.A6W5.01A.12R.A33Z.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.SX.A71V.01A.11R.A33Z.07	TCGA.B9.7268.01A.11R.A32Z.07	TCGA.J7.6720.01A.11R.2139.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.A5W9.01A.11R.A28H.07	TCGA.A4.8516.01A.11R.2404.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.SX.A7SU.01A.11R.A36F.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.Y8.A8RY.01A.11R.A37K.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.DZ.6133.01A.11R.1965.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.J7.8537.01A.11R.2404.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.GL.A9DD.01A.11R.A37K.07	TCGA.IA.A40X.01A.11R.A24Z.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.DW.7837.01A.11R.2139.07	TCGA.B9.5155.01A.01R.1592.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.UZ.A9PX.01A.11R.A42S.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.B9.A8YH.01A.11R.A37K.07	TCGA.SX.A71U.01A.12R.A33Z.07	TCGA.SX.A7SP.01A.11R.A355.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.G7.7501.01A.11R.2204.07	TCGA.5P.A9K6.01A.11R.A42S.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.Y8.A8S0.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.63.5128.01A.01R.1443.07	GTEX.13NYC.2626.SM.5K7VN	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	TCGA.CD.5799.01A.11R.1602.13	TCGA.F1.6177.01A.11R.1802.13	TCGA.BR.7715.01A.11R.2055.13	TCGA.CG.5726.01A.11R.1602.13	TCGA.CG.4441.01A.01R.1802.13	TCGA.BR.6566.01A.11R.1802.13	TCGA.R5.A7ZR.01A.11R.A354.31	TCGA.CD.5813.01A.11R.1602.13	TCGA.D7.6528.01A.11R.1802.13	GTEX.117YW.2226.SM.5N9DB	GTEX.1399T.0126.SM.5KM15
LRTOMT	217.27	218.79	58.3	108.9	74.58	182.55	172.65	44.89	76.71	80.01	113.56	53.57	157.68	161.02	389.72	72.01	275.28	289.02	376.41	106.63	450.94	358.54	182.55	285.03	273.37	476.71	194.36	285.03	466.88	373.81	620.67	406.31	346.29	438.59	450.94	228.13	476.71	307.69	503.95	473.41	381.68	269.6	460.44	158.79	236.21	264.03	212.78	307.69	447.82	480.04	236.21	371.22	209.84	583.07	356.05	400.71	638.15	327.56	426.57	262.2	447.82	633.73	389.72	417.77	249.73	215.77	358.54	536.45	444.72	237.86	389.72	226.54	239.52	226.54	403.5	283.05	406.31	301.33	177.53	251.48	123.5	246.28	273.37	283.05	423.61	277.2	325.29	518.15	249.73	571.05	521.76	318.57	486.75	389.72	258.57	122.64	473.41	336.79	111.99	269.6	312.0	334.46	346.29	283.05	275.28	417.77	239.52	211.31	514.56	49.21	318.57	163.28	152.28	132.44	146.03	102.97	152.28	127.89	152.28	211.31	137.14	95.34	170.25	148.09	139.07	127.89	426.57
MAATS1	9.56	16.39	1.08	0.74	1.22	37.05	5.82	0.0	1.55	5.73	5.54	4.9	23.42	5.96	9.48	59.55	132.44	37.59	260.38	38.67	70.51	256.78	100.13	195.72	78.89	187.71	75.64	159.9	366.09	65.72	231.32	115.16	152.28	327.56	234.57	14.24	167.9	145.02	221.86	178.77	1183.45	86.43	336.79	109.66	109.66	57.89	202.66	265.87	154.42	118.43	111.99	208.38	40.07	242.88	178.77	73.03	111.21	86.43	198.47	84.04	152.28	518.15	163.28	281.09	60.39	26.67	88.88	214.27	84.63	47.5	198.47	127.0	67.59	81.71	356.05	116.78	392.44	125.24	13.12	26.86	45.21	80.01	53.19	173.85	136.19	112.77	173.85	208.38	199.85	281.09	190.34	123.5	312.0	241.19	164.42	19.25	248.0	260.38	27.05	111.21	55.49	128.79	96.01	161.02	66.65	373.81	57.08	93.35	206.94	0.0	0.32	35.76	9.56	7.46	26.67	12.27	10.88	0.0	6.89	155.5	16.15	2.16	52.82	10.96	3.72	56.28	470.14
MAP3K1	115.16	139.07	265.87	320.8	620.67	181.28	129.69	246.28	205.5	237.86	81.71	152.28	193.01	205.5	412.0	217.27	271.48	223.41	507.46	183.82	279.14	884.29	186.4	186.4	348.71	237.86	98.73	518.15	1066.48	164.42	1159.07	303.44	532.74	674.59	291.04	139.07	307.69	277.2	607.87	525.39	775.05	177.53	303.44	77.79	463.65	239.52	473.41	215.77	463.65	521.76	204.07	567.1	173.85	497.0	423.61	332.14	314.17	126.12	441.64	423.61	387.02	629.35	256.78	1037.29	273.37	204.07	769.69	633.73	967.76	193.01	361.04	201.25	476.71	209.84	476.71	301.33	587.13	234.57	65.72	133.36	514.56	189.02	145.02	336.79	470.14	95.34	591.22	532.74	305.55	1081.39	780.44	221.86	406.31	529.06	218.79	130.6	336.79	371.22	215.77	112.77	231.32	624.99	318.57	232.94	189.02	420.68	409.15	239.52	612.11	111.99	111.21	339.14	81.14	132.44	96.01	206.94	95.34	161.02	130.6	82.87	239.52	90.77	208.38	144.01	221.86	79.45	289.02
MDH1B	7.51	16.63	5.68	2.14	4.98	5.87	2.58	2.53	0.49	4.5	10.47	7.94	21.47	10.71	2.1	51.71	87.65	18.16	229.72	5.45	112.77	181.28	72.52	87.03	115.16	155.5	23.59	56.28	271.48	64.34	167.9	105.89	59.55	246.28	108.14	25.54	143.01	94.67	120.1	176.29	314.17	57.08	258.57	7.63	66.18	39.5	93.35	140.04	83.45	70.01	120.1	94.01	41.81	90.77	116.78	96.01	162.14	74.58	145.02	110.43	85.82	151.22	108.14	237.86	13.03	33.78	114.36	218.79	68.07	24.46	114.36	45.85	16.75	45.85	348.71	40.64	128.79	68.07	7.51	53.19	29.06	68.55	32.59	81.71	115.16	57.89	84.63	55.1	109.66	124.37	201.25	74.06	199.85	147.06	96.01	5.54	70.51	260.38	34.26	53.57	20.71	105.89	120.94	105.15	85.82	226.54	41.52	57.89	171.45	0.0	0.0	3.59	25.91	17.64	12.36	30.78	9.06	2.73	15.56	18.29	5.23	1.93	10.55	6.62	3.44	6.11	320.8
MORN2	507.46	341.51	351.14	351.14	376.41	532.74	450.94	447.82	221.86	435.55	318.57	373.81	417.77	275.28	218.79	1127.35	1167.14	684.02	890.44	698.41	1651.0	1388.16	1151.06	2255.7	684.02	2997.45	698.41	878.17	2240.11	1572.76	2209.26	1572.76	866.07	1175.27	1757.34	647.07	1477.58	1467.37	1662.49	1870.53	2303.12	947.83	2915.45	1268.46	1487.87	1407.55	728.11	1685.71	981.29	2609.3	1088.92	921.88	848.22	1628.26	1378.57	1242.34	2004.85	1350.18	1208.34	1037.29	1697.45	1427.22	1685.71	1467.37	764.36	890.44	785.88	1551.09	836.53	1340.84	1066.48	738.29	842.36	981.29	2104.58	1304.15	1407.55	1183.45	743.43	1167.14	836.53	1467.37	1104.13	1096.5	1674.06	738.29	1896.65	1167.14	2451.44	1151.06	2119.22	1605.83	1397.83	1572.76	1037.29	988.12	2335.28	1605.83	743.43	1331.57	981.29	2193.99	1551.09	2520.38	1259.69	1277.29	902.89	1477.58	1304.15	0.0	0.0	189.02	253.23	368.65	232.94	320.8	703.28	217.27	633.73	336.79	283.05	255.0	339.14	384.34	226.54	94.01	1594.73
MORN5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35	0.0	0.0	6.01	0.0	3.66	2.86	0.0	19.11	147.06	4.82	40.36	2.66	64.34	198.47	135.24	246.28	92.05	483.38	46.84	62.56	309.83	26.47	271.48	127.0	93.35	351.14	303.44	31.9	299.25	159.9	28.04	258.57	327.56	38.67	309.83	149.12	212.78	175.07	43.63	150.17	155.5	291.04	217.27	94.01	24.28	358.54	76.17	260.38	170.25	39.5	264.03	102.97	400.71	49.56	204.07	96.01	10.47	45.53	161.02	249.73	62.12	14.78	173.85	76.17	54.33	112.77	463.65	118.43	291.04	204.07	18.43	34.51	1.03	215.77	68.55	193.01	49.21	92.7	189.02	248.0	234.57	152.28	186.4	96.01	99.43	332.14	75.64	5.41	295.11	376.41	18.97	38.12	19.68	15.56	214.27	518.15	56.28	267.73	17.64	135.24	251.48	0.0	0.0	7.22	0.0	0.0	5.82	0.0	0.0	0.0	11.21	0.0	0.0	1.22	0.0	3.92	1.43	72.52	6.11
MROH7	3.11	3.08	4.66	1.87	1.38	3.29	16.51	2.84	0.83	0.0	14.67	0.0	6.94	45.85	66.18	114.36	23.08	5.5	38.4	10.79	16.63	29.48	40.93	183.82	187.71	128.79	5.59	2.48	139.07	239.52	76.71	123.5	43.63	228.13	155.5	27.25	117.6	137.14	20.56	191.67	441.64	42.41	125.24	41.22	5.41	10.55	25.72	30.12	53.19	5.15	57.08	130.6	8.45	3.59	218.79	26.86	73.54	19.53	143.01	20.71	40.07	241.19	275.28	58.3	8.0	9.85	6.11	291.04	16.75	44.25	80.01	20.11	17.51	3.47	58.71	37.85	47.17	24.11	11.47	26.47	5.36	62.56	5.19	70.51	283.05	23.08	66.18	31.0	64.34	35.0	120.94	117.6	163.28	72.52	64.34	11.3	97.36	64.34	73.54	127.0	66.18	57.89	77.79	15.91	7.06	97.36	46.5	35.5	56.28	0.0	0.54	19.97	8.65	12.09	4.21	14.89	2.07	40.07	7.11	7.88	4.17	2.18	3.66	8.51	9.78	12.45	607.87
MROH7-TTC4	2.32	1.81	2.81	1.01	1.91	3.47	9.48	1.89	2.14	3.0	10.31	2.25	4.06	3.96	5.77	26.86	5.73	0.0	9.27	1.75	2.56	4.9	13.72	63.45	56.28	19.53	0.0	2.07	23.76	36.53	12.74	36.79	5.73	65.26	36.27	10.96	23.93	23.25	3.56	33.54	105.15	9.93	37.32	11.21	2.86	0.75	6.06	6.94	16.63	2.53	14.89	43.02	3.96	4.13	50.63	6.11	9.48	6.89	39.22	2.51	22.1	62.12	136.19	13.62	2.27	0.96	4.1	58.71	7.4	13.12	11.91	5.96	4.35	1.71	8.65	5.92	18.84	21.01	0.0	7.11	1.77	13.83	3.26	19.53	59.55	3.82	13.62	18.16	21.16	9.63	43.94	38.12	28.65	21.01	14.14	1.89	14.03	17.77	8.51	13.32	11.13	12.27	12.55	9.41	0.0	13.22	9.93	6.41	14.89	0.0	0.06	0.95	3.0	6.16	3.32	9.63	3.38	3.59	1.22	0.0	1.19	1.89	3.72	0.0	1.58	3.63	88.88
NAT14	164.42	173.85	195.72	339.14	181.28	169.07	244.57	50.98	358.54	293.07	56.68	75.11	146.03	503.95	1051.79	71.5	830.75	616.37	753.83	85.82	665.29	1519.15	599.49	981.29	1551.09	1674.06	336.79	89.51	1397.83	412.0	1540.37	1617.0	1277.29	1605.83	1991.0	674.59	1350.18	1388.16	441.64	1397.83	1175.27	1023.0	1277.29	454.09	947.83	1304.15	381.68	915.51	1008.9	785.88	995.0	1277.29	819.3	1104.13	967.76	1457.23	679.29	164.42	872.1	1008.9	665.29	651.58	1388.16	1268.46	336.79	503.95	688.78	1617.0	928.3	633.73	679.29	555.41	1250.98	571.05	1104.13	813.63	1617.0	679.29	460.44	423.61	629.35	890.44	915.51	961.07	1143.1	819.3	813.63	1015.93	656.11	890.44	1096.5	733.19	791.35	1498.22	642.59	414.87	941.27	1844.76	178.77	1378.57	2018.8	642.59	902.89	1583.71	2240.11	2645.74	387.02	921.88	2018.8	0.0	0.33	176.29	135.24	159.9	100.83	131.51	301.33	100.83	406.31	120.94	327.56	262.2	332.14	400.71	81.71	68.55	620.67
NINL	214.27	72.52	109.66	25.54	60.39	42.41	81.14	38.4	72.52	51.35	35.25	19.53	46.18	366.09	242.88	389.72	214.27	105.89	514.56	98.73	571.05	406.31	295.11	486.75	842.36	674.59	423.61	12.0	376.41	723.08	567.1	381.68	447.82	884.29	638.15	728.11	426.57	567.1	460.44	368.65	961.07	343.89	525.39	450.94	248.0	199.85	514.56	733.19	470.14	208.38	414.87	435.55	348.71	896.64	318.57	486.75	555.41	432.53	409.15	368.65	343.89	723.08	414.87	432.53	368.65	269.6	454.09	500.46	620.67	351.14	493.56	281.09	351.14	218.79	884.29	267.73	486.75	414.87	220.32	381.68	208.38	371.22	295.11	348.71	258.57	387.02	260.38	293.07	450.94	460.44	237.86	525.39	660.68	536.45	514.56	163.28	441.64	551.56	435.55	480.04	551.56	417.77	567.1	303.44	293.07	612.11	241.19	265.87	503.95	0.0	0.57	150.17	81.14	89.51	108.9	87.03	32.82	15.34	339.14	30.78	133.36	11.91	123.5	128.79	246.28	156.59	392.44
NME9	5.77	4.35	4.28	0.62	2.36	6.26	17.77	0.62	1.38	2.07	18.84	0.0	12.27	1.5	3.69	4.31	110.43	1.55	44.89	5.41	75.64	127.89	35.5	121.79	1340.84	140.04	10.31	36.79	158.79	17.38	159.9	57.89	65.26	105.89	106.63	26.86	80.57	77.79	57.08	63.45	151.22	23.08	191.67	15.56	37.59	49.21	46.84	107.38	42.11	75.11	74.58	83.45	7.4	146.03	102.97	14.14	77.25	24.28	120.1	46.5	95.34	68.07	75.11	114.36	7.4	17.64	44.89	141.02	33.54	19.25	104.42	35.25	19.53	72.01	62.12	32.36	103.69	63.45	3.38	4.86	9.93	24.28	17.64	88.26	35.76	71.5	110.43	99.43	80.01	125.24	72.01	38.12	163.28	147.06	70.51	13.12	128.79	96.68	14.03	32.36	24.81	20.56	32.82	117.6	31.67	158.79	51.71	38.67	44.57	0.0	0.08	6.41	3.03	12.83	6.21	1.62	5.63	5.5	18.7	8.32	7.11	1.25	15.11	5.19	3.56	13.62	49.91
NPHP1	70.51	88.88	21.63	31.67	10.16	50.63	153.34	34.02	9.93	32.82	136.19	24.11	153.34	151.22	52.82	121.79	208.38	150.17	327.56	102.97	320.8	277.2	248.0	260.38	295.11	497.0	103.69	156.59	366.09	166.73	351.14	224.97	166.73	271.48	318.57	149.12	320.8	236.21	334.46	327.56	688.78	178.77	435.55	127.0	256.78	141.02	176.29	301.33	189.02	305.55	269.6	198.47	97.36	281.09	279.14	187.71	348.71	231.32	279.14	232.94	318.57	384.34	253.23	316.37	149.12	88.88	215.77	279.14	204.07	141.02	316.37	125.24	71.0	229.72	309.83	246.28	314.17	260.38	52.08	152.28	175.07	165.57	173.85	178.77	271.48	164.42	223.41	127.0	307.69	297.17	287.01	215.77	297.17	283.05	212.78	126.12	417.77	444.72	132.44	163.28	163.28	373.81	211.31	336.79	180.02	339.14	175.07	142.01	320.8	0.0	0.03	41.22	143.01	176.29	171.45	507.46	148.09	7.46	145.02	92.7	76.71	24.63	84.63	56.28	38.95	7.0	320.8
NUDT13	58.3	68.07	6.84	16.03	9.56	12.93	22.26	10.71	6.78	14.89	36.53	10.0	23.93	31.45	68.07	33.78	36.27	48.52	76.71	18.43	42.11	58.71	60.39	185.11	135.24	80.57	55.1	2.36	66.18	52.08	121.79	65.72	34.51	212.78	126.12	46.18	83.45	76.71	69.52	94.01	150.17	90.77	94.01	23.08	69.52	53.19	94.01	145.02	59.13	53.57	59.97	61.25	26.67	111.21	118.43	59.55	134.3	59.55	118.43	64.8	123.5	142.01	74.58	170.25	60.39	33.06	87.65	137.14	66.65	29.27	61.68	12.55	71.5	85.22	136.19	78.89	125.24	49.91	25.54	18.16	25.35	86.43	24.46	77.25	41.52	63.89	45.53	72.52	52.82	108.14	105.89	47.84	109.66	24.99	103.69	19.25	96.68	94.67	23.42	38.12	37.32	28.86	94.67	81.14	24.81	133.36	38.67	35.25	124.37	0.0	0.17	11.21	24.63	2.46	10.47	46.18	31.22	71.5	69.52	65.26	59.55	28.04	36.79	29.06	47.17	7.4	66.18
OSCP1	100.13	110.43	105.89	54.33	75.64	198.47	116.78	88.26	57.08	143.01	96.68	109.66	220.32	182.55	185.11	406.31	543.96	193.01	273.37	164.42	723.08	587.13	563.18	780.44	656.11	1001.93	346.29	417.77	825.0	454.09	909.17	679.29	583.07	591.22	848.22	387.02	713.11	723.08	255.0	909.17	607.87	206.94	624.99	521.76	312.0	638.15	197.09	507.46	769.69	836.53	483.38	423.61	536.45	947.83	713.11	713.11	271.48	503.95	612.11	624.99	854.13	368.65	660.68	669.92	318.57	414.87	543.96	575.03	591.22	460.44	500.46	500.46	389.72	426.57	703.28	241.19	320.8	343.89	470.14	441.64	208.38	679.29	518.15	607.87	703.28	444.72	620.67	708.18	616.37	718.08	688.78	642.59	733.19	848.22	656.11	211.31	764.36	599.49	432.53	432.53	260.38	447.82	713.11	693.58	309.83	591.22	595.34	454.09	796.86	0.0	0.0	70.51	96.68	120.1	83.45	102.97	145.02	67.59	96.01	133.36	149.12	67.59	100.83	221.86	67.12	49.91	525.39
PCDP1	12.36	12.09	2.39	0.0	0.83	0.38	12.27	1.2	0.4	1.31	3.89	1.48	8.13	14.14	46.18	87.65	417.77	202.66	273.37	99.43	202.66	283.05	341.51	332.14	305.55	518.15	67.59	291.04	483.38	121.79	629.35	332.14	181.28	215.77	358.54	157.68	381.68	293.07	363.56	567.1	688.78	194.36	532.74	129.69	232.94	187.71	86.43	417.77	275.28	356.05	329.84	244.57	64.8	267.73	301.33	194.36	194.36	204.07	341.51	271.48	529.06	563.18	211.31	289.02	169.07	111.99	164.42	417.77	232.94	35.76	426.57	149.12	156.59	156.59	206.94	190.34	371.22	241.19	57.08	53.57	71.5	159.9	66.18	246.28	205.5	127.89	392.44	316.37	486.75	379.04	291.04	194.36	353.59	366.09	205.5	93.35	334.46	540.19	57.89	190.34	99.43	180.02	224.97	356.05	231.32	368.65	248.0	206.94	307.69	0.0	0.21	16.75	1.71	3.96	0.0	5.45	20.86	3.76	6.73	4.78	22.26	0.0	100.13	3.38	3.44	36.79	281.09
PCSK4	15.91	9.93	4.98	4.78	14.03	10.0	6.21	6.52	6.01	4.7	11.13	8.38	12.18	115.97	92.05	54.33	90.77	45.53	195.72	24.46	100.13	206.94	105.15	185.11	191.67	209.84	41.52	172.65	236.21	125.24	299.25	147.06	140.04	480.04	426.57	44.25	309.83	187.71	212.78	283.05	473.41	106.63	246.28	132.44	251.48	94.01	148.09	201.25	169.07	88.26	135.24	348.71	94.01	231.32	150.17	246.28	334.46	52.45	283.05	128.79	150.17	426.57	232.94	403.5	41.22	52.08	130.6	480.04	220.32	53.57	147.06	90.14	165.57	102.97	400.71	199.85	511.0	307.69	55.89	74.58	43.63	198.47	82.29	211.31	112.77	186.4	111.99	169.07	185.11	253.23	258.57	120.94	251.48	426.57	190.34	40.36	297.17	251.48	55.49	90.14	102.97	75.11	146.03	212.78	218.79	559.28	148.09	70.51	281.09	0.0	0.51	31.9	8.71	6.89	18.43	4.06	31.45	133.36	52.45	52.08	126.12	67.12	27.44	60.82	69.52	5.28	281.09
PIFO	47.5	8.78	5.5	9.06	9.93	27.84	7.57	14.45	3.56	6.84	16.63	30.34	66.18	7.34	33.06	616.37	583.07	297.17	303.44	229.72	579.04	759.08	620.67	460.44	769.69	813.63	246.28	70.01	1023.0	366.09	995.0	599.49	361.04	271.48	802.41	223.41	460.44	500.46	239.52	624.99	473.41	130.6	555.41	318.57	309.83	518.15	161.02	414.87	460.44	511.0	412.0	423.61	241.19	1081.39	559.28	836.53	169.07	373.81	417.77	872.1	915.51	312.0	376.41	387.02	161.02	470.14	435.55	563.18	381.68	371.22	341.51	358.54	447.82	343.89	483.38	169.07	297.17	218.79	381.68	258.57	299.25	733.19	819.3	500.46	785.88	420.68	665.29	403.5	775.05	493.56	607.87	961.07	432.53	928.3	400.71	384.34	454.09	329.84	426.57	435.55	406.31	366.09	688.78	738.29	599.49	289.02	579.04	616.37	587.13	0.0	0.0	5.96	17.9	14.03	59.97	17.0	47.17	0.0	287.01	16.63	62.12	8.38	106.63	71.0	9.63	47.17	616.37
PIH1D2	100.13	22.43	20.41	26.86	19.82	26.67	40.07	18.16	15.91	19.82	22.1	25.35	24.99	13.52	13.72	62.56	130.6	84.63	242.88	62.12	309.83	186.4	132.44	208.38	373.81	234.57	73.03	151.22	371.22	88.26	293.07	121.79	132.44	236.21	164.42	138.1	177.53	143.01	183.82	232.94	242.88	98.73	228.13	164.42	91.41	105.15	69.52	143.01	158.79	191.67	127.0	146.03	91.41	283.05	199.85	165.57	149.12	142.01	221.86	128.79	293.07	183.82	133.36	166.73	75.11	65.26	171.45	156.59	161.02	80.01	135.24	125.24	106.63	111.21	241.19	141.02	209.84	177.53	13.22	98.73	28.86	145.02	92.05	120.94	197.09	103.69	129.69	193.01	181.28	176.29	202.66	103.69	134.3	195.72	140.04	18.84	231.32	181.28	34.75	87.65	109.66	137.14	162.14	182.55	181.28	180.02	82.29	134.3	215.77	0.0	0.0	4.5	17.13	37.05	29.91	57.89	28.65	15.68	19.53	49.21	32.13	11.73	21.47	8.45	40.07	3.17	307.69
PKHD1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.7	0.46	0.0	0.0	0.52	28.45	22.75	218.79	13.52	105.89	27.44	119.26	473.41	93.35	202.66	78.89	182.55	140.04	36.01	642.59	242.88	309.83	293.07	325.29	543.96	503.95	35.76	220.32	147.06	147.06	403.5	1066.48	45.21	332.14	101.54	244.57	84.63	136.19	221.86	371.22	211.31	239.52	291.04	42.71	368.65	316.37	127.0	384.34	164.42	483.38	102.25	450.94	218.79	348.71	432.53	64.34	25.35	392.44	403.5	521.76	135.24	555.41	389.72	43.32	204.07	616.37	124.37	607.87	232.94	24.63	81.71	72.52	74.58	32.82	287.01	297.17	102.97	325.29	412.0	273.37	587.13	403.5	229.72	511.0	239.52	195.72	3.69	291.04	273.37	97.36	183.82	205.5	133.36	126.12	108.14	45.53	336.79	72.01	124.37	511.0	0.0	0.0	3.23	1.93	9.06	0.54	0.66	0.91	15.45	17.51	4.54	16.88	1.57	17.64	1.03	0.85	2.05	0.71
PLEKHH2	24.11	85.82	71.5	17.51	12.64	7.17	13.22	6.52	5.59	32.13	21.94	11.73	24.46	41.52	14.78	6.57	409.15	38.4	343.89	7.88	162.14	1268.46	262.2	2303.12	25.17	638.15	47.5	111.99	2875.3	202.66	825.0	389.72	743.43	1001.93	1183.45	80.01	575.03	285.03	3515.68	514.56	4836.35	10.79	1388.16	53.19	237.86	81.14	642.59	603.67	599.49	314.17	339.14	1286.18	26.28	921.88	854.13	267.73	583.07	183.82	872.1	400.71	366.09	4038.61	753.83	2148.82	16.75	10.16	293.07	1991.0	277.2	23.42	1304.15	309.83	197.09	177.53	1331.57	567.1	1225.22	400.71	4.58	56.28	35.5	177.53	16.51	420.68	173.85	144.01	961.07	753.83	909.17	1685.71	540.19	301.33	2032.85	507.46	258.57	36.53	1151.06	521.76	25.72	43.94	50.63	175.07	397.93	234.57	76.17	1044.52	87.03	224.97	1059.11	0.0	0.47	17.77	84.63	24.28	77.79	42.11	13.12	3.59	38.67	21.01	64.34	6.16	48.87	73.54	7.34	120.94	166.73
POLI	397.93	486.75	183.82	82.87	85.22	102.97	159.9	42.41	54.72	72.01	92.7	74.58	182.55	323.03	236.21	309.83	155.5	175.07	400.71	134.3	341.51	447.82	209.84	423.61	166.73	281.09	113.56	336.79	547.75	220.32	392.44	273.37	309.83	718.08	400.71	271.48	307.69	373.81	417.77	356.05	808.0	162.14	229.72	131.51	104.42	96.01	281.09	253.23	202.66	194.36	201.25	463.65	108.9	387.02	265.87	264.03	295.11	244.57	389.72	145.02	397.93	320.8	397.93	665.29	253.23	90.14	265.87	450.94	318.57	164.42	307.69	212.78	336.79	211.31	780.44	356.05	387.02	277.2	18.43	209.84	110.43	256.78	165.57	379.04	258.57	133.36	307.69	432.53	256.78	591.22	429.54	348.71	384.34	444.72	316.37	109.66	387.02	406.31	205.5	164.42	279.14	420.68	325.29	241.19	204.07	753.83	191.67	258.57	529.06	0.0	0.53	186.4	170.25	113.56	149.12	98.04	72.01	239.52	136.19	155.5	275.28	84.63	149.12	108.9	131.51	36.27	974.5
