	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.E7.A7PW.01A.11R.A352.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.DK.A6AW.01A.11R.A30C.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.DK.AA6P.01A.11R.A39I.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.DK.A3IL.01A.11R.A20F.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.E9.A1RE.01A.11R.A157.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.E9.A22D.01A.11R.A157.07	TCGA.C8.A12U.01A.11R.A115.07	TCGA.E2.A1IE.01A.11R.A13Q.07	TCGA.A2.A1FX.01A.11R.A13Q.07	TCGA.OL.A66H.01A.11R.A29R.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.B6.A408.01A.12R.A24H.07	TCGA.C8.A1HN.01A.11R.A137.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.A8.A092.01A.11R.A00Z.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A07Z.01A.11R.A00Z.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.A7.A0D9.01A.31R.A056.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.EW.A1P6.01A.11R.A144.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.D8.A1JD.01A.11R.A13Q.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.EW.A1PA.01A.11R.A144.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.A7.A3IZ.01A.11R.A213.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.A2.A0CT.01A.31R.A056.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.PL.A8LX.01A.11R.A41B.07	TCGA.AR.A255.01A.11R.A169.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.E9.A22B.01A.11R.A157.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.AR.A2LL.01A.11R.A180.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A2.A4S0.01A.21R.A266.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.BH.A1F5.01A.12R.A13Q.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.AR.A24V.01A.21R.A169.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A7.A3RF.01A.11R.A22K.07	TCGA.C8.A1HG.01A.11R.A137.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.AN.A0FF.01A.11R.A034.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.BH.A0H7.01A.13R.A056.07	TCGA.BH.A18L.01A.32R.A12D.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.D8.A1X5.01A.11R.A14D.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	GTEX.14AS3.1626.SM.5S2OY	TCGA.KL.8328.01A.11R.2315.07	TCGA.KO.8408.01A.11R.2315.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.11ZUS.2526.SM.59872	GTEX.13N11.0926.SM.5IJG2	TCGA.AX.A3G4.01A.11R.A213.07	TCGA.EO.A3AV.01A.12R.A19W.07	TCGA.D1.A3DG.01A.11R.A19W.07
TMEM68	218.79	323.03	287.01	450.94	327.56	186.4	191.67	339.14	187.71	215.77	486.75	256.78	88.26	733.19	688.78	718.08	2133.97	423.61	947.83	371.22	1963.57	460.44	307.69	435.55	417.77	854.13	295.11	599.49	500.46	802.41	336.79	466.88	323.03	2739.08	423.61	463.65	753.83	974.5	353.59	928.3	147.06	348.71	878.17	961.07	289.02	769.69	567.1	595.34	490.14	503.95	287.01	366.09	397.93	441.64	432.53	603.67	480.04	674.59	231.32	878.17	1605.83	708.18	1073.91	1561.89	525.39	620.67	470.14	988.12	400.71	511.0	521.76	275.28	1685.71	466.88	420.68	591.22	1844.76	273.37	426.57	1685.71	450.94	395.18	808.0	587.13	406.31	376.41	392.44	860.08	769.69	264.03	297.17	791.35	384.34	884.29	384.34	1529.73	412.0	802.41	567.1	490.14	536.45	836.53	320.8	287.01	253.23	1467.37	376.41	356.05	316.37	571.05	373.81	397.93	808.0	1896.65	1208.34	1769.57	164.42	454.09	529.06	825.0	571.05	518.15	575.03	299.25	327.56	180.02	155.5	111.99	90.77	249.73	193.01	202.66	314.17
TPD52	915.51	511.0	819.3	769.69	674.59	206.94	2287.2	1008.9	579.04	884.29	1151.06	447.82	540.19	6561.36	9409.14	4639.29	6935.54	2434.5	10014.87	7280.4	24660.96	5112.16	4298.64	5517.27	5711.87	10808.41	1909.85	14065.74	6250.56	15715.58	4328.55	4639.29	6250.56	17197.56	2720.15	15607.02	5954.47	4038.61	5791.62	15934.98	3060.45	5751.61	26431.04	12764.83	4268.94	13306.94	4481.23	5594.3	8598.28	6561.36	4704.07	3419.52	16269.83	7695.57	5329.3	3820.7	4419.52	1369.04	5329.3	1883.54	22072.07	8718.32	12076.21	22380.2	22072.07	7130.55	2133.97	16157.44	6164.49	2758.13	8840.04	3303.0	6983.79	7803.01	3491.39	6207.38	10512.82	4152.18	9808.75	14867.79	4328.55	1806.78	4481.23	8778.97	11345.82	4239.45	3639.7	7857.29	9474.59	2758.13	3614.55	14461.21	3349.13	12943.04	5594.3	10883.59	3124.78	8840.04	4736.79	11035.54	8840.04	11112.3	4210.15	8598.28	6381.92	16383.0	6652.97	3257.52	2915.45	7433.4	5183.54	3124.78	12076.21	25887.07	9151.82	32315.87	796.86	5183.54	6699.25	13215.02	5006.93	5711.87	1819.35	808.0	1268.46	1051.79	389.72	454.09	323.03	902.89	769.69	934.76	567.1
TRAM1	890.44	915.51	1605.83	1359.57	1096.5	796.86	733.19	1322.37	1950.0	1340.84	1721.16	915.51	638.15	3564.78	3303.0	3212.66	6426.31	2119.22	6983.79	5954.47	9344.14	3491.39	1331.57	1359.57	1923.14	10659.59	2224.63	2319.15	2645.74	4639.29	1674.06	2255.7	2319.15	14262.1	1977.24	6471.02	5147.73	5594.3	2255.7	7032.37	1088.92	4575.41	9279.58	5672.41	2061.24	4836.35	3212.66	4481.23	4903.87	2520.38	2627.46	1844.76	3742.05	3235.01	2935.74	3955.48	3325.99	4575.41	4607.24	4836.35	10959.3	3257.52	6037.61	9540.5	6294.04	4543.8	1857.6	10084.54	3419.52	3018.3	2997.45	2417.67	8078.22	2032.85	4038.61	3190.46	8658.09	1639.59	5995.9	7966.99	2520.38	1857.6	5006.93	4937.99	2591.27	3280.18	2537.92	3540.14	5366.37	1733.13	1769.57	4010.71	1709.26	7032.37	4769.75	9474.59	2119.22	6207.38	3168.41	5913.33	3540.14	4736.79	2627.46	2485.67	1844.76	6164.49	2609.3	2193.99	2287.2	2591.27	1977.24	1936.53	3349.13	12329.98	9606.86	8538.88	703.28	2018.8	2351.53	4639.29	3716.2	3235.01	1870.53	1519.15	967.76	981.29	642.59	1104.13	896.64	890.44	1322.37	3018.3	928.3
TRIQK	127.89	149.12	157.68	303.44	244.57	66.18	176.29	183.82	198.47	111.99	217.27	186.4	139.07	473.41	759.08	693.58	1378.57	371.22	718.08	587.13	1781.89	981.29	381.68	395.18	167.9	559.28	258.57	1066.48	669.92	620.67	199.85	400.71	384.34	1437.15	432.53	1259.69	329.84	830.75	454.09	1286.18	281.09	591.22	813.63	1331.57	133.36	366.09	708.18	1159.07	1583.71	713.11	241.19	132.44	860.08	620.67	371.22	723.08	551.56	1167.14	224.97	1233.75	728.11	947.83	1721.16	1216.75	1104.13	764.36	514.56	2351.53	620.67	518.15	599.49	679.29	1037.29	551.56	353.59	423.61	1313.23	493.56	441.64	1286.18	279.14	323.03	514.56	902.89	239.52	647.07	457.25	674.59	603.67	547.75	346.29	607.87	392.44	1081.39	896.64	2163.77	435.55	1073.91	1081.39	1030.12	444.72	1015.93	575.03	830.75	318.57	819.3	518.15	248.0	753.83	341.51	334.46	476.71	607.87	2739.08	1427.22	1447.15	69.03	587.13	547.75	651.58	599.49	563.18	299.25	185.11	81.14	206.94	185.11	157.68	232.94	211.31	105.15	57.49	81.71
UBE2W	161.02	152.28	163.28	166.73	138.1	91.41	176.29	212.78	143.01	325.29	260.38	115.16	73.03	587.13	497.0	293.07	769.69	253.23	633.73	587.13	1044.52	629.35	316.37	363.56	329.84	921.88	307.69	470.14	389.72	555.41	201.25	253.23	212.78	1388.16	395.18	1498.22	624.99	567.1	323.03	830.75	248.0	356.05	785.88	708.18	206.94	642.59	379.04	540.19	769.69	447.82	224.97	199.85	473.41	507.46	312.0	532.74	486.75	346.29	708.18	791.35	830.75	470.14	947.83	836.53	921.88	603.67	476.71	1030.12	376.41	412.0	363.56	239.52	902.89	244.57	684.02	414.87	1104.13	258.57	551.56	1167.14	371.22	289.02	603.67	514.56	309.83	314.17	305.55	647.07	796.86	361.04	273.37	684.02	336.79	802.41	507.46	1594.73	381.68	660.68	447.82	1199.98	688.78	423.61	397.93	470.14	195.72	842.36	301.33	343.89	256.78	426.57	316.37	438.59	796.86	1111.82	1151.06	1096.5	64.8	366.09	423.61	656.11	441.64	332.14	251.48	217.27	229.72	95.34	127.0	107.38	186.4	128.79	115.16	152.28	133.36
UBXN2B	146.03	170.25	193.01	163.28	139.07	137.14	108.9	231.32	95.34	122.64	423.61	141.02	48.18	674.59	536.45	511.0	848.22	253.23	616.37	371.22	1674.06	470.14	256.78	334.46	299.25	559.28	212.78	318.57	353.59	633.73	197.09	244.57	336.79	1733.13	320.8	320.8	547.75	713.11	283.05	1127.35	153.34	323.03	1135.2	802.41	162.14	854.13	336.79	559.28	567.1	320.8	351.14	256.78	361.04	371.22	409.15	297.17	525.39	361.04	163.28	563.18	769.69	295.11	872.1	1304.15	723.08	429.54	329.84	1015.93	226.54	514.56	414.87	187.71	651.58	353.59	395.18	429.54	1119.56	255.0	708.18	1167.14	406.31	189.02	389.72	309.83	414.87	299.25	379.04	466.88	825.0	269.6	228.13	567.1	363.56	463.65	239.52	1119.56	470.14	607.87	414.87	397.93	579.04	551.56	356.05	307.69	228.13	995.0	325.29	351.14	303.44	260.38	262.2	305.55	624.99	1023.0	547.75	934.76	96.01	320.8	713.11	647.07	507.46	366.09	309.83	253.23	253.23	195.72	299.25	102.25	493.56	164.42	141.02	152.28	255.0
USO1	679.29	532.74	629.35	796.86	775.05	607.87	848.22	684.02	656.11	497.0	1268.46	532.74	656.11	1977.24	1519.15	1617.0	1674.06	1111.82	1191.69	941.27	2777.33	854.13	708.18	896.64	1167.14	1322.37	2400.97	981.29	902.89	1250.98	1111.82	995.0	1143.1	1844.76	674.59	1519.15	1806.78	1551.09	1023.0	1159.07	1427.22	1467.37	1651.0	1216.75	878.17	1208.34	1088.92	1721.16	941.27	890.44	1051.79	802.41	1991.0	1216.75	1066.48	967.76	902.89	884.29	1304.15	1896.65	2303.12	1159.07	1561.89	1407.55	1697.45	1721.16	1208.34	1936.53	1628.26	1051.79	1487.87	1397.83	1781.89	2895.31	1685.71	890.44	1529.73	748.61	1216.75	1605.83	1781.89	579.04	1277.29	1617.0	1008.9	1561.89	1143.1	1819.35	1167.14	808.0	1191.69	1447.15	1104.13	2997.45	1322.37	1151.06	1037.29	1322.37	909.17	1159.07	1447.15	1044.52	1268.46	866.07	1605.83	1286.18	1721.16	1208.34	1721.16	1199.98	1407.55	791.35	1437.15	2609.3	1388.16	1286.18	403.5	1477.58	1216.75	1757.34	1037.29	1023.0	921.88	1127.35	796.86	406.31	312.0	264.03	665.29	764.36	629.35	759.08	275.28
UTP23	432.53	166.73	202.66	249.73	128.79	131.51	158.79	249.73	144.01	361.04	379.04	171.45	72.01	595.34	426.57	470.14	723.08	177.53	698.41	540.19	1096.5	384.34	334.46	295.11	273.37	785.88	249.73	312.0	339.14	825.0	155.5	167.9	336.79	2609.3	387.02	1551.09	733.19	579.04	260.38	1135.2	193.01	409.15	830.75	902.89	198.47	660.68	218.79	563.18	518.15	555.41	395.18	217.27	633.73	466.88	283.05	381.68	429.54	848.22	361.04	967.76	813.63	414.87	915.51	1081.39	599.49	802.41	435.55	1001.93	511.0	269.6	607.87	733.19	902.89	426.57	223.41	432.53	842.36	444.72	1001.93	1081.39	454.09	215.77	503.95	656.11	329.84	295.11	325.29	620.67	579.04	291.04	267.73	620.67	301.33	688.78	665.29	947.83	327.56	941.27	780.44	518.15	500.46	633.73	583.07	289.02	232.94	1023.0	279.14	305.55	226.54	543.96	177.53	293.07	753.83	1529.73	967.76	1832.01	82.29	392.44	323.03	1340.84	438.59	476.71	293.07	166.73	145.02	327.56	67.12	50.27	142.01	120.94	170.25	161.02	137.14
VCPIP1	31.45	85.82	70.01	68.55	51.71	28.65	94.01	88.88	44.57	102.97	201.25	41.52	40.36	271.48	127.89	232.94	356.05	77.79	271.48	226.54	441.64	236.21	96.68	129.69	119.26	384.34	111.21	165.57	154.42	221.86	79.45	76.71	82.29	486.75	100.83	463.65	241.19	279.14	124.37	441.64	66.18	198.47	447.82	195.72	71.0	301.33	129.69	220.32	295.11	194.36	150.17	108.14	149.12	161.02	151.22	178.77	202.66	525.39	157.68	202.66	348.71	143.01	423.61	567.1	318.57	234.57	101.54	275.28	143.01	167.9	145.02	117.6	332.14	140.04	158.79	165.57	348.71	69.03	273.37	279.14	118.43	110.43	236.21	229.72	120.1	85.82	100.13	339.14	305.55	100.83	73.54	271.48	97.36	309.83	204.07	486.75	152.28	262.2	166.73	301.33	289.02	218.79	176.29	155.5	60.39	575.03	121.79	141.02	115.16	134.3	90.77	122.64	327.56	476.71	351.14	441.64	36.01	106.63	155.5	363.56	186.4	129.69	40.64	108.14	68.55	42.11	38.4	30.56	56.28	56.68	49.56	49.56	42.71
WWP1	189.02	307.69	293.07	493.56	503.95	147.06	426.57	336.79	199.85	336.79	373.81	248.0	185.11	3124.78	3820.7	1551.09	3982.99	1191.69	1909.85	4639.29	14461.21	5366.37	1397.83	2271.4	2915.45	8658.09	1037.29	1844.76	2451.44	1950.0	1015.93	1407.55	915.51	16727.26	1030.12	1313.23	3280.18	5791.62	2133.97	2895.31	638.15	1268.46	5711.87	5913.33	1001.93	4010.71	2502.97	3212.66	2758.13	1697.45	1199.98	1674.06	3982.99	2451.44	1508.65	2664.15	2061.24	928.3	1806.78	6935.54	3491.39	3124.78	5041.77	4450.27	3540.14	3928.15	1437.15	3168.41	1639.59	2915.45	1331.57	802.41	8479.89	1685.71	3325.99	1651.0	4543.8	1467.37	1950.0	5954.47	1304.15	1832.01	3491.39	6207.38	1844.76	2047.0	1119.56	3124.78	3235.01	1127.35	842.36	5292.48	595.34	5711.87	3395.89	9808.75	2209.26	5913.33	5041.77	6935.54	2956.17	2032.85	1551.09	2627.46	775.05	3955.48	1378.57	1477.58	1208.34	2451.44	1417.35	1769.57	4512.4	9540.5	15607.02	6745.86	759.08	1151.06	1498.22	3039.3	2502.97	1923.14	379.04	753.83	511.0	368.65	483.38	521.76	435.55	444.72	195.72	138.1	332.14
YTHDF3	169.07	348.71	251.48	361.04	191.67	122.64	173.85	341.51	181.28	248.0	595.34	139.07	162.14	743.43	785.88	633.73	1572.76	366.09	748.61	785.88	1685.71	791.35	351.14	417.77	480.04	1175.27	339.14	563.18	507.46	769.69	376.41	417.77	358.54	2018.8	403.5	493.56	995.0	947.83	429.54	1685.71	312.0	703.28	1233.75	753.83	262.2	1001.93	511.0	848.22	1088.92	454.09	400.71	325.29	595.34	583.07	624.99	575.03	688.78	255.0	193.01	981.29	1437.15	518.15	1151.06	1883.54	1295.13	791.35	514.56	1286.18	543.96	595.34	688.78	392.44	1447.15	624.99	547.75	612.11	1259.69	281.09	1151.06	1583.71	595.34	460.44	872.1	684.02	486.75	486.75	450.94	848.22	974.5	312.0	363.56	988.12	420.68	836.53	665.29	1529.73	612.11	902.89	480.04	591.22	713.11	703.28	603.67	334.46	273.37	1208.34	525.39	540.19	438.59	414.87	336.79	387.02	1397.83	2148.82	1498.22	1447.15	136.19	412.0	412.0	1073.91	525.39	426.57	379.04	575.03	567.1	232.94	215.77	275.28	384.34	381.68	305.55	204.07	289.02
ZNF623	60.82	191.67	127.89	128.79	82.29	93.35	78.34	93.35	53.95	153.34	258.57	90.14	88.88	529.06	450.94	343.89	1096.5	232.94	454.09	348.71	1023.0	432.53	361.04	297.17	262.2	447.82	239.52	199.85	325.29	384.34	80.57	121.79	185.11	743.43	226.54	470.14	543.96	389.72	193.01	1104.13	81.71	323.03	693.58	579.04	133.36	470.14	229.72	353.59	392.44	432.53	195.72	162.14	497.0	414.87	204.07	358.54	248.0	312.0	285.03	1167.14	723.08	363.56	748.61	1104.13	684.02	403.5	450.94	902.89	497.0	351.14	361.04	483.38	591.22	420.68	314.17	417.77	579.04	163.28	387.02	743.43	297.17	111.99	679.29	358.54	253.23	202.66	199.85	651.58	607.87	212.78	137.14	403.5	205.5	435.55	703.28	507.46	318.57	518.15	748.61	642.59	371.22	551.56	198.47	265.87	140.04	450.94	181.28	231.32	138.1	507.46	190.34	283.05	400.71	1378.57	791.35	1397.83	116.78	234.57	314.17	591.22	379.04	223.41	182.55	136.19	112.77	77.25	41.22	26.86	32.13	76.71	151.22	78.34	173.85
ZNF7	265.87	507.46	366.09	470.14	373.81	348.71	241.19	343.89	348.71	373.81	447.82	426.57	289.02	848.22	753.83	532.74	890.44	536.45	915.51	642.59	1359.57	414.87	967.76	713.11	444.72	785.88	426.57	490.14	511.0	759.08	307.69	454.09	351.14	1268.46	543.96	1023.0	665.29	507.46	406.31	1199.98	186.4	450.94	1119.56	921.88	204.07	633.73	480.04	514.56	759.08	813.63	429.54	435.55	738.29	665.29	387.02	579.04	688.78	633.73	591.22	1498.22	802.41	612.11	1167.14	1540.37	890.44	486.75	688.78	802.41	1096.5	521.76	463.65	551.56	698.41	595.34	353.59	698.41	1199.98	493.56	551.56	669.92	423.61	463.65	1088.92	525.39	438.59	381.68	629.35	723.08	1073.91	536.45	283.05	748.61	395.18	587.13	884.29	629.35	441.64	624.99	1159.07	665.29	567.1	934.76	457.25	836.53	293.07	967.76	267.73	376.41	457.25	830.75	366.09	547.75	511.0	1322.37	785.88	1427.22	336.79	392.44	620.67	808.0	642.59	559.28	249.73	251.48	323.03	348.71	232.94	156.59	234.57	217.27	441.64	161.02	373.81
