	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.11DXZ.0126.SM.5EGGY	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.R53T.0326.SM.48FEC	TCGA.CH.5765.01A.11R.1580.07	TCGA.CH.5766.01A.11R.1580.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.EJ.7330.01A.11R.2118.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YJ.A8SW.01A.11R.A37L.07	TCGA.J4.A83J.01A.11R.A36G.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.G9.7521.01A.11R.2263.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.CH.5751.01A.11R.1580.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.CH.5738.01A.11R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.2A.A8VT.01A.11R.A37L.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.CH.5791.01A.11R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.U3ZM.0926.SM.4DXSW	GTEX.YB5E.1826.SM.5IFI4	GTEX.NFK9.2226.SM.3MJGP	TCGA.VQ.A8E2.01A.11R.A36D.31
ZNF160	140.04	87.65	226.54	75.11	24.81	120.94	123.5	89.51	182.55	96.68	167.9	127.0	167.9	39.22	169.07	38.12	133.36	83.45	193.01	68.07	53.57	80.01	236.21	100.83	72.01	283.05	93.35	181.28	102.25	143.01	100.13	178.77	104.42	56.28	59.55	115.16	147.06	66.65	130.6	105.89	132.44	165.57	135.24	150.17	108.14	190.34	693.58	111.99	89.51	37.85	147.06	96.68	90.14	35.0	26.67	255.0	341.51	466.88	363.56	412.0	346.29	366.09	327.56	339.14	356.05	271.48	221.86	532.74	223.41	384.34	211.31	325.29	379.04	529.06	366.09	303.44	387.02	435.55	397.93	279.14	209.84	253.23	332.14	307.69	332.14	285.03	236.21	291.04	246.28	301.33
ZNF217	135.24	190.34	253.23	154.42	65.26	157.68	228.13	226.54	239.52	133.36	343.89	195.72	169.07	131.51	389.72	204.07	212.78	409.15	173.85	101.54	172.65	209.84	142.01	217.27	256.78	115.97	208.38	146.03	242.88	214.27	318.57	316.37	132.44	89.51	397.93	183.82	163.28	117.6	255.0	189.02	202.66	299.25	231.32	195.72	293.07	103.69	152.28	193.01	211.31	140.04	283.05	191.67	183.82	392.44	189.02	1277.29	1322.37	1437.15	928.3	1313.23	1175.27	1286.18	486.75	1233.75	981.29	476.71	463.65	1286.18	1008.9	703.28	612.11	813.63	1127.35	1950.0	1183.45	934.76	802.41	1950.0	1191.69	1242.34	733.19	684.02	417.77	638.15	525.39	318.57	287.01	368.65	480.04	748.61
ZNF304	28.04	34.51	48.18	23.08	20.86	37.85	19.68	38.12	56.28	26.47	33.78	27.44	73.03	14.45	48.87	38.4	38.95	23.42	47.84	32.13	43.02	57.49	22.92	28.86	14.35	25.35	25.72	45.85	21.32	19.97	27.25	38.67	27.64	10.0	45.21	38.12	25.72	28.24	22.59	38.67	60.82	21.47	28.45	28.86	38.67	52.08	120.1	36.79	24.63	21.47	40.36	19.97	24.99	20.56	24.11	199.85	173.85	212.78	145.02	239.52	163.28	181.28	144.01	170.25	186.4	119.26	100.13	215.77	105.15	106.63	145.02	146.03	195.72	206.94	183.82	120.94	159.9	197.09	251.48	162.14	177.53	124.37	129.69	162.14	157.68	94.67	220.32	194.36	94.01	132.44
ZNF322	55.89	78.34	75.64	41.52	26.86	84.63	54.33	84.63	106.63	44.57	102.97	60.39	185.11	63.89	143.01	76.71	55.49	80.57	107.38	55.1	197.09	70.51	149.12	38.12	123.5	63.89	66.65	178.77	57.89	62.56	74.06	140.04	49.56	98.04	108.9	72.52	108.14	72.52	60.82	67.59	63.89	148.09	36.01	110.43	53.19	122.64	71.0	71.0	63.45	33.78	95.34	81.14	81.14	81.14	194.36	432.53	457.25	579.04	353.59	591.22	514.56	571.05	325.29	351.14	493.56	336.79	224.97	271.48	162.14	420.68	241.19	389.72	403.5	591.22	497.0	291.04	547.75	371.22	518.15	1407.55	289.02	199.85	221.86	559.28	412.0	194.36	241.19	260.38	262.2	373.81
ZNF346	71.0	80.01	80.57	77.25	69.52	96.68	85.82	81.71	97.36	73.54	67.59	66.65	99.43	75.64	94.67	71.0	71.5	60.39	121.79	66.65	78.89	41.81	55.1	63.0	52.08	45.85	87.03	60.82	106.63	94.67	100.13	130.6	68.07	106.63	77.79	60.39	108.9	58.3	70.01	136.19	47.5	90.77	94.01	55.89	100.13	57.08	115.16	54.33	76.17	37.05	39.22	75.11	67.59	68.55	77.79	264.03	217.27	246.28	223.41	204.07	191.67	267.73	204.07	187.71	202.66	221.86	204.07	403.5	153.34	187.71	193.01	171.45	220.32	167.9	209.84	178.77	332.14	255.0	232.94	217.27	202.66	215.77	217.27	187.71	229.72	208.38	186.4	205.5	187.71	312.0
ZNF507	64.34	81.71	114.36	52.45	30.12	71.0	66.18	78.34	94.67	56.28	108.9	65.72	76.71	25.91	93.35	40.93	59.55	80.57	131.51	43.63	112.77	67.59	68.55	46.5	89.51	85.82	50.27	69.03	59.97	56.28	28.45	85.22	92.7	57.89	48.52	76.17	66.18	52.82	64.8	84.63	104.42	96.68	49.21	149.12	115.97	60.82	78.34	66.65	61.68	33.78	77.25	55.89	55.1	55.89	67.12	241.19	224.97	346.29	285.03	277.2	285.03	285.03	172.65	258.57	323.03	142.01	154.42	392.44	134.3	199.85	166.73	134.3	242.88	265.87	236.21	194.36	198.47	262.2	297.17	190.34	145.02	140.04	163.28	189.02	204.07	209.84	135.24	180.02	231.32	275.28
ZNF548	60.82	108.14	158.79	54.33	53.19	92.05	55.1	128.79	115.97	54.33	79.45	68.07	202.66	33.3	78.34	50.27	122.64	25.72	161.02	85.82	45.53	80.57	46.5	62.56	40.64	84.63	81.71	107.38	43.02	69.52	39.79	52.82	55.49	74.06	75.11	73.03	60.82	47.84	54.33	92.7	94.01	113.56	65.26	59.97	111.21	91.41	318.57	73.03	74.06	70.01	72.52	39.5	74.06	33.06	50.63	214.27	277.2	269.6	183.82	234.57	195.72	255.0	171.45	223.41	251.48	140.04	129.69	256.78	148.09	195.72	171.45	214.27	224.97	303.44	197.09	187.71	237.86	325.29	239.52	194.36	152.28	194.36	172.65	166.73	191.67	119.26	173.85	165.57	143.01	343.89
ZNF708	16.27	11.55	47.17	9.78	7.34	22.1	13.22	36.79	33.3	11.3	36.79	17.13	55.1	15.91	41.52	15.34	13.83	25.35	34.75	10.79	65.72	99.43	35.5	8.0	20.11	18.43	4.82	40.93	8.78	25.17	10.08	44.57	7.28	32.59	36.53	31.67	30.34	21.78	23.76	23.93	13.93	50.98	9.56	34.26	33.06	49.91	25.17	31.22	30.12	14.14	14.14	18.03	21.16	3.08	18.84	231.32	232.94	283.05	169.07	287.01	194.36	258.57	141.02	228.13	236.21	99.43	143.01	162.14	120.1	204.07	132.44	95.34	189.02	281.09	248.0	195.72	159.9	226.54	231.32	170.25	104.42	85.22	101.54	214.27	146.03	120.1	144.01	173.85	110.43	147.06
ZNF776	68.07	83.45	97.36	46.84	35.0	77.79	38.4	71.5	92.7	40.93	66.18	49.56	111.99	34.02	63.45	48.52	82.29	74.58	114.36	100.13	85.82	75.11	125.24	41.81	52.08	69.52	116.78	73.54	50.63	80.01	56.28	89.51	39.5	99.43	92.7	74.06	43.94	64.8	49.91	69.52	51.35	64.8	32.59	56.28	169.07	94.01	39.22	35.5	96.01	40.64	60.82	75.11	63.0	30.34	81.14	253.23	236.21	493.56	293.07	309.83	297.17	325.29	244.57	273.37	312.0	260.38	201.25	457.25	202.66	356.05	186.4	232.94	202.66	387.02	351.14	223.41	312.0	336.79	312.0	376.41	244.57	169.07	165.57	299.25	295.11	241.19	244.57	199.85	212.78	234.57
ZNF841	33.54	25.72	55.89	22.92	12.93	37.05	40.36	36.27	51.71	30.12	41.52	27.84	60.39	15.68	28.45	31.0	27.05	14.14	111.99	19.97	51.35	27.64	15.91	22.1	16.63	23.59	19.97	11.21	28.24	43.94	33.06	36.01	19.82	23.76	15.45	14.78	13.52	13.32	13.12	53.57	16.03	138.1	42.71	24.46	40.93	11.3	53.57	24.46	60.39	13.22	18.56	15.22	14.67	15.91	17.25	332.14	376.41	327.56	171.45	318.57	221.86	295.11	186.4	403.5	312.0	162.14	177.53	669.92	172.65	177.53	115.16	182.55	236.21	343.89	336.79	241.19	218.79	295.11	332.14	220.32	102.97	122.64	183.82	193.01	154.42	149.12	135.24	173.85	103.69	255.0
