	TCGA.DD.A119.11A.11R.A131.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.RM2N.1926.SM.48FCU	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZPU1.0826.SM.57WG2	GTEX.144GM.1326.SM.5LU5E	GTEX.ZF29.2026.SM.4WWB7	GTEX.R53T.0326.SM.48FEC	TCGA.BJ.A45C.01A.11R.A23W.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.EL.A4KD.01A.11R.A250.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.E3.A3DZ.01A.11R.A20F.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.CE.A3MD.01A.11R.A20F.07	TCGA.BJ.A28S.01A.11R.A19O.07	TCGA.EM.A22K.01A.11R.A180.07	GTEX.Y111.1926.SM.4SOIS	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZQ.0626.SM.59HJU	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.WFG8.0426.SM.3GILD	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13FTW.0626.SM.5IFEX
TSC2	583.07	205.5	343.89	571.05	314.17	275.28	420.68	525.39	575.03	2701.35	2701.35	2163.77	1923.14	1794.29	1628.26	1870.53	2061.24	2148.82	1977.24	2224.63	1561.89	2468.49	1331.57	2004.85	1572.76	1378.57	1685.71	1540.37	1769.57	1508.65	2193.99	1030.12	1259.69	2591.27	2335.28	1331.57	2047.0	1529.73	1909.85	1685.71	1427.22	1685.71	1143.1	2434.5	2032.85	2224.63	2224.63	2061.24	1819.35	2032.85	1331.57	2163.77	1857.6	1977.24	1721.16	1909.85	1540.37	1561.89	1529.73	2468.49	2004.85	1331.57	2287.2	1096.5	1757.34	1508.65	1447.15	2682.69	1628.26	1806.78	1119.56	1662.49	1950.0	1561.89	2591.27	1832.01	1519.15	1304.15
TTLL3	52.08	43.63	26.86	33.3	45.85	28.65	73.54	44.89	55.49	1498.22	1359.57	1233.75	1457.23	1167.14	1135.2	1950.0	1199.98	1008.9	1073.91	1059.11	981.29	1167.14	603.67	1662.49	583.07	500.46	819.3	500.46	743.43	708.18	1066.48	470.14	612.11	1250.98	728.11	490.14	669.92	457.25	941.27	679.29	497.0	579.04	232.94	1268.46	1216.75	1594.73	1127.35	647.07	1111.82	961.07	358.54	1066.48	674.59	1015.93	603.67	981.29	293.07	500.46	432.53	1709.26	684.02	620.67	915.51	480.04	684.02	332.14	525.39	1909.85	450.94	647.07	503.95	511.0	1023.0	1081.39	1030.12	748.61	426.57	293.07
UBQLNL	5.19	1.41	1.04	1.83	1.5	0.66	0.21	0.0	6.21	17.25	16.27	26.28	21.16	13.52	49.21	50.98	21.01	16.63	40.36	17.13	13.32	18.43	10.55	29.48	9.48	5.77	8.99	5.28	7.88	12.55	20.41	8.65	10.47	17.25	10.71	14.56	10.39	11.64	12.83	17.64	4.35	9.41	7.22	10.88	14.35	9.2	16.51	14.03	10.08	8.25	8.06	17.13	12.09	14.14	6.73	25.54	13.12	8.85	11.3	17.25	8.0	3.56	16.51	10.39	10.08	11.91	5.96	24.99	6.41	9.7	8.32	7.22	12.93	6.67	9.78	10.55	21.94	8.92
UCN	4.82	1.79	12.0	8.32	5.87	1.16	10.79	3.66	10.24	86.43	109.66	102.25	64.34	69.52	49.56	80.01	55.89	117.6	96.01	33.78	121.79	54.33	8.99	20.41	16.27	7.34	16.39	9.41	18.7	20.26	11.55	2.16	11.04	17.77	33.78	19.53	12.0	6.62	10.16	14.45	4.43	33.54	3.38	38.67	59.97	19.53	17.13	13.52	6.41	7.69	16.63	18.03	21.32	16.15	11.73	14.56	23.25	15.8	13.42	24.46	12.64	15.56	9.78	8.25	5.23	9.13	15.34	66.18	15.22	3.06	15.56	7.06	15.68	19.68	13.22	4.46	12.09	3.79
VAMP1	74.58	38.12	72.52	43.32	49.21	28.86	17.9	37.59	85.82	708.18	1685.71	1183.45	1023.0	2104.58	1191.69	1051.79	775.05	1519.15	1350.18	1832.01	1378.57	1119.56	289.02	1199.98	224.97	854.13	521.76	226.54	540.19	775.05	1037.29	217.27	229.72	708.18	454.09	358.54	291.04	291.04	356.05	563.18	164.42	525.39	500.46	813.63	1259.69	190.34	486.75	473.41	595.34	651.58	275.28	830.75	320.8	414.87	199.85	785.88	258.57	368.65	651.58	819.3	414.87	171.45	376.41	159.9	275.28	432.53	417.77	718.08	279.14	305.55	486.75	603.67	647.07	460.44	896.64	341.51	299.25	246.28
VIP	1.91	1.66	2.29	6.36	4.03	3.5	1.51	0.16	2.05	39.5	13.12	21.94	70.51	34.75	28.45	37.59	44.89	23.76	54.72	22.1	31.0	42.71	14.14	36.79	8.71	10.63	9.78	9.13	4.98	24.11	17.38	24.28	11.64	50.98	16.15	17.9	27.25	6.31	26.86	12.45	6.89	12.74	1.53	15.34	26.86	4.28	25.54	18.43	24.28	18.16	3.99	17.64	21.47	22.26	7.4	26.1	6.01	26.28	14.56	20.71	3.44	6.36	16.03	3.89	18.97	6.78	8.85	32.82	10.79	7.75	9.93	12.36	18.84	25.91	22.1	18.7	23.42	5.54
ZDHHC8	255.0	62.56	39.22	127.89	43.32	108.9	212.78	93.35	497.0	1286.18	563.18	1313.23	1167.14	708.18	624.99	848.22	860.08	674.59	825.0	988.12	1208.34	934.76	679.29	1151.06	703.28	665.29	791.35	836.53	819.3	848.22	1015.93	536.45	559.28	974.5	769.69	743.43	974.5	785.88	974.5	753.83	616.37	954.43	642.59	1023.0	1216.75	902.89	1081.39	785.88	743.43	995.0	669.92	1059.11	934.76	878.17	713.11	947.83	718.08	665.29	813.63	1001.93	743.43	656.11	825.0	571.05	860.08	612.11	748.61	842.36	759.08	796.86	414.87	866.07	825.0	974.5	1066.48	1037.29	909.17	575.03
ZMIZ2	303.44	103.69	144.01	287.01	234.57	146.03	277.2	253.23	223.41	2573.36	2796.65	2090.03	2739.08	2255.7	2004.85	3039.3	2451.44	2255.7	2367.9	2976.74	1605.83	2555.58	1388.16	2701.35	1697.45	1594.73	1909.85	1437.15	1617.0	1359.57	2104.58	934.76	1250.98	2591.27	2104.58	1331.57	1870.53	1447.15	1896.65	2193.99	1583.71	1662.49	1135.2	2591.27	2591.27	2468.49	1883.54	1709.26	2047.0	2178.83	1259.69	2627.46	1561.89	1963.57	1806.78	2148.82	1487.87	1304.15	1572.76	3018.3	1819.35	1733.13	2609.3	1250.98	1561.89	1286.18	1806.78	2855.44	1233.75	2004.85	1135.2	1498.22	2224.63	1781.89	2835.7	1628.26	1322.37	1250.98
ZNF341	25.54	9.85	29.48	13.32	15.8	7.94	10.24	12.09	40.36	139.07	78.89	90.14	105.89	94.67	71.5	100.13	108.9	107.38	154.42	81.14	84.04	83.45	42.41	98.73	51.35	45.85	48.87	51.35	73.03	63.89	64.8	62.56	34.75	74.06	77.25	77.79	77.25	57.89	63.0	73.03	37.59	48.87	46.5	67.59	84.63	43.94	69.52	76.71	68.55	85.22	43.02	93.35	68.55	61.25	49.21	67.59	72.52	58.3	67.12	66.65	47.5	42.41	61.68	54.33	60.82	53.57	42.71	88.88	60.82	46.84	51.35	50.63	76.71	55.89	73.03	64.34	62.56	40.36
ZNF692	143.01	58.71	120.94	111.21	95.34	76.71	185.11	51.35	180.02	1870.53	1175.27	1151.06	1685.71	1331.57	1487.87	1447.15	1225.22	1073.91	1378.57	1427.22	1216.75	1051.79	540.19	1369.04	764.36	371.22	748.61	503.95	698.41	603.67	753.83	591.22	236.21	1277.29	743.43	748.61	830.75	638.15	708.18	679.29	356.05	591.22	305.55	915.51	1191.69	934.76	896.64	796.86	684.02	764.36	483.38	1467.37	941.27	759.08	473.41	928.3	603.67	842.36	872.1	1242.34	595.34	389.72	909.17	334.46	842.36	642.59	450.94	1561.89	624.99	536.45	314.17	543.96	967.76	941.27	1208.34	521.76	688.78	363.56
