	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.MR.A520.01A.11R.A266.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.CC.A5UE.01A.11R.A28V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.12WSG.0626.SM.5FQTQ	GTEX.1399R.1226.SM.5P9GF	GTEX.R53T.0326.SM.48FEC	TCGA.78.8648.01A.11R.2403.07	TCGA.38.4626.01A.01R.1206.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.12WSG.0326.SM.5FQU3	GTEX.13D11.0326.SM.5LZXX	GTEX.ZZPU.0526.SM.5E44U	GTEX.11NSD.0326.SM.5A5LS	GTEX.QV44.0926.SM.2S1RH	GTEX.13OW5.0726.SM.5KLZK	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.V1D1.0826.SM.3P5ZA	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.ZAB4.0626.SM.5CVN3	GTEX.139T6.0426.SM.5IJEM	GTEX.ZAB5.0626.SM.5PNVB	GTEX.P78B.0926.SM.2I5FA	GTEX.PWOO.0726.SM.2I3EB	GTEX.WH7G.0726.SM.3NMBM	GTEX.Y8E4.0526.SM.4V6GC	GTEX.WVJS.0826.SM.4MVNR	GTEX.131XE.0726.SM.5HL9K	GTEX.11P81.0226.SM.5HL5M	GTEX.146FH.1226.SM.5NQB6	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.77.8007.11A.01R.2187.07
NMUR1	13.62	23.42	4.31	15.45	9.63	15.11	11.47	5.87	4.86	5.32	4.62	2.66	0.43	3.76	3.82	1.95	4.17	18.43	1.16	8.32	4.46	3.17	11.3	2.25	6.11	6.36	4.86	2.29	2.14	2.2	3.96	3.66	3.63	7.46	6.06	12.0	16.27	5.73	10.0	12.09	13.32	18.03	16.88	9.13	9.13	32.36	7.17	41.22	47.5	115.16	56.68	69.03	114.36	11.55	108.9	30.12	28.04	297.17	116.78	22.43	59.13	82.87	171.45	159.9	16.39	86.43	231.32	158.79	98.04	73.54	154.42	65.72	55.89	35.25	107.38	29.06
NXPE3	138.1	205.5	65.26	138.1	57.89	134.3	59.55	29.27	22.1	11.13	22.26	9.06	73.03	13.72	18.97	14.24	16.88	29.7	12.93	19.82	16.63	3.96	22.43	8.99	14.35	17.64	13.42	97.36	16.27	1.06	9.48	9.85	18.16	65.26	5.02	15.56	65.72	14.35	15.34	11.38	48.18	31.9	35.25	255.0	166.73	156.59	251.48	139.07	186.4	381.68	209.84	356.05	529.06	429.54	114.36	165.57	256.78	186.4	211.31	191.67	563.18	163.28	540.19	208.38	55.89	295.11	299.25	112.77	339.14	241.19	397.93	96.01	63.89	232.94	346.29	236.21
NYAP2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	2.61	1.41	4.31	0.18	0.3	0.29	4.1	11.3	2.81	9.13	5.28	11.55	1.31	13.52	8.06	4.31	16.03	4.94	5.5	4.58	9.34	6.11	2.03	2.58	14.24	1.16	47.17	5.92	3.44	6.73	0.65	8.85	5.63
PCDH12	33.54	237.86	16.03	32.59	60.39	26.67	27.44	96.68	144.01	26.86	89.51	62.12	50.27	57.49	81.14	72.01	85.22	70.01	23.08	58.3	64.34	43.02	67.12	20.71	95.34	59.97	108.9	54.33	52.08	18.56	73.03	62.12	16.15	141.02	17.38	21.01	73.54	24.46	19.68	32.59	57.49	109.66	54.72	214.27	177.53	314.17	95.34	165.57	143.01	457.25	69.52	156.59	476.71	153.34	198.47	351.14	267.73	521.76	260.38	403.5	348.71	244.57	525.39	536.45	84.63	438.59	376.41	181.28	665.29	285.03	708.18	211.31	115.97	91.41	571.05	220.32
PDE1C	13.72	13.12	2.78	10.08	4.5	18.16	2.1	8.13	5.54	4.06	1.97	4.06	1.41	14.24	5.32	0.78	4.39	8.45	1.85	5.28	1.62	4.13	0.0	1.89	4.78	1.36	2.05	5.87	4.03	0.0	1.85	3.79	0.92	6.41	6.67	7.0	1.13	0.0	0.66	0.0	0.0	0.95	0.04	40.64	30.78	46.18	10.88	34.26	32.82	175.07	31.9	22.26	106.63	22.26	84.63	87.65	110.43	52.82	22.92	51.35	70.01	84.04	224.97	96.68	9.2	35.25	134.3	110.43	258.57	87.65	229.72	42.71	23.59	55.89	146.03	50.63
PHACTR3	28.65	11.38	0.0	4.13	34.26	23.25	5.11	1.83	2.18	0.0	1.19	0.49	0.0	0.47	1.28	0.0	0.8	0.0	0.0	2.76	1.62	0.45	1.93	0.0	1.25	1.03	1.62	0.43	0.0	0.0	0.0	0.0	0.0	2.92	12.36	8.0	6.89	7.94	11.73	11.38	19.39	18.16	4.46	45.21	76.17	35.5	0.0	78.34	115.16	1008.9	11.04	57.49	255.0	12.27	432.53	13.03	71.5	127.0	90.14	21.16	115.16	674.59	144.01	137.14	0.23	234.57	56.68	409.15	389.72	31.67	305.55	529.06	323.03	31.67	262.2	129.69
PKNOX2	4.06	40.93	0.4	13.52	22.26	0.39	71.0	9.48	11.21	2.12	4.39	1.06	4.28	1.85	3.14	1.6	9.7	5.45	0.0	1.25	9.27	1.77	8.58	0.92	8.99	3.66	10.31	1.68	15.45	1.41	2.34	4.58	0.78	18.7	9.78	6.57	5.19	12.09	10.71	2.51	13.03	6.67	4.17	94.67	92.05	121.79	7.17	111.21	76.17	521.76	111.21	70.01	146.03	62.12	381.68	19.53	195.72	363.56	106.63	60.39	182.55	175.07	348.71	173.85	64.8	105.15	212.78	281.09	426.57	78.89	249.73	95.34	115.16	186.4	529.06	136.19
POC5	181.28	135.24	107.38	110.43	48.87	139.07	97.36	90.14	100.13	149.12	100.13	55.49	201.25	89.51	104.42	103.69	75.11	134.3	66.18	127.0	90.77	109.66	113.56	82.87	131.51	45.53	91.41	103.69	80.57	121.79	129.69	124.37	109.66	136.19	38.12	78.89	90.77	62.56	23.08	63.45	183.82	66.65	44.25	111.99	110.43	148.09	102.25	127.89	108.14	173.85	145.02	205.5	170.25	159.9	183.82	131.51	187.71	191.67	165.57	119.26	165.57	173.85	204.07	211.31	147.06	199.85	205.5	195.72	181.28	191.67	191.67	159.9	189.02	88.88	171.45	158.79
PPP1R17	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73	0.0	0.0	3.47	3.72	5.68	1.38	3.35	3.76	0.0	1.33	0.99	1.31	9.34	0.0	4.43	0.0	3.99	2.18	1.85	3.89	0.97	4.86	0.0	2.43	10.47	6.31	2.84	0.0	4.39	1.31	1.95
PPP2R3C	454.09	642.59	221.86	267.73	193.01	353.59	241.19	571.05	426.57	406.31	497.0	366.09	607.87	320.8	353.59	358.54	353.59	363.56	343.89	476.71	356.05	249.73	361.04	476.71	329.84	353.59	473.41	293.07	629.35	417.77	454.09	376.41	466.88	718.08	269.6	157.68	285.03	281.09	273.37	185.11	429.54	193.01	291.04	599.49	642.59	808.0	412.0	1023.0	1143.1	603.67	759.08	1015.93	575.03	1127.35	1151.06	848.22	1508.65	1313.23	1208.34	764.36	764.36	497.0	738.29	928.3	1044.52	842.36	825.0	1286.18	1001.93	591.22	1191.69	796.86	796.86	384.34	1447.15	1066.48
PRKCB	98.04	172.65	33.3	59.97	49.91	157.68	65.72	37.59	25.17	13.03	38.4	11.64	35.76	10.39	46.18	13.32	16.39	74.06	1.23	105.15	15.45	7.46	2.84	6.67	24.11	10.24	18.84	15.11	23.42	5.06	12.83	8.38	3.92	131.51	31.9	9.34	64.8	16.27	115.16	43.63	51.35	78.89	47.17	206.94	167.9	152.28	476.71	251.48	95.34	466.88	224.97	106.63	142.01	397.93	221.86	204.07	480.04	320.8	131.51	559.28	275.28	190.34	325.29	146.03	134.3	73.03	147.06	132.44	438.59	144.01	339.14	141.02	194.36	161.02	237.86	182.55
PRRG3	2.92	8.32	0.39	2.25	0.38	1.83	0.68	0.0	3.96	0.49	0.49	1.83	7.57	4.9	1.77	4.62	3.41	2.36	3.26	3.56	10.71	0.0	4.62	0.0	5.23	1.1	2.48	12.09	9.41	4.5	4.24	3.99	0.0	9.7	1.35	0.0	0.0	0.0	0.0	2.03	1.19	0.4	1.39	59.55	14.24	14.14	3.89	8.06	2.07	63.45	9.85	1.28	2.2	7.94	44.57	31.9	47.17	22.75	3.35	4.06	73.54	11.73	56.28	57.49	10.63	0.87	49.21	9.85	2.01	28.65	13.12	5.11	10.96	4.43	45.53	10.16
PTPLAD2	181.28	218.79	102.25	110.43	105.15	115.97	170.25	50.27	32.59	28.24	38.12	16.63	80.01	19.39	31.9	17.0	21.63	64.34	18.16	62.56	14.14	9.56	14.03	15.8	19.25	17.51	31.9	9.06	13.62	24.11	19.82	21.01	8.58	133.36	20.26	9.78	31.67	18.84	28.24	28.65	31.67	33.3	26.47	189.02	171.45	202.66	28.86	329.84	334.46	231.32	312.0	320.8	532.74	312.0	599.49	320.8	348.71	536.45	420.68	166.73	343.89	389.72	660.68	525.39	343.89	376.41	244.57	698.41	559.28	669.92	575.03	242.88	327.56	237.86	483.38	320.8
PTPN7	183.82	279.14	48.87	127.89	122.64	249.73	133.36	113.56	73.03	53.95	122.64	41.81	119.26	33.54	195.72	34.02	63.45	287.01	10.31	134.3	33.06	21.47	20.71	39.22	53.95	19.53	60.39	9.06	25.54	25.17	27.25	38.4	30.12	332.14	31.9	29.91	20.26	82.29	102.97	18.7	29.48	22.59	7.51	466.88	186.4	297.17	45.53	143.01	101.54	532.74	124.37	103.69	127.0	236.21	177.53	23.59	389.72	860.08	126.12	130.6	246.28	126.12	343.89	113.56	226.54	105.89	339.14	156.59	206.94	258.57	172.65	55.1	146.03	318.57	244.57	323.03
PWWP2A	153.34	113.56	55.49	87.65	24.99	128.79	48.87	138.1	93.35	139.07	93.35	123.5	106.63	128.79	83.45	127.89	79.45	194.36	134.3	103.69	138.1	80.01	78.89	143.01	217.27	108.9	90.77	128.79	194.36	98.04	138.1	124.37	95.34	116.78	130.6	114.36	62.12	80.01	98.04	111.99	128.79	72.52	80.01	162.14	191.67	208.38	103.69	164.42	139.07	279.14	249.73	269.6	291.04	241.19	172.65	194.36	312.0	289.02	234.57	185.11	150.17	170.25	295.11	353.59	186.4	226.54	320.8	194.36	358.54	297.17	206.94	189.02	256.78	122.64	255.0	181.28
RAB23	80.57	202.66	51.71	68.55	12.74	60.39	63.89	42.71	46.18	70.01	43.94	24.11	22.92	51.35	60.82	23.59	26.28	98.04	41.81	63.0	61.68	12.55	41.22	62.12	81.71	49.21	35.76	93.35	55.49	27.44	32.82	64.34	67.12	71.0	45.53	16.51	42.11	25.91	30.78	51.71	21.47	35.25	71.5	450.94	152.28	131.51	74.06	155.5	115.16	447.82	197.09	206.94	202.66	289.02	303.44	314.17	195.72	126.12	96.68	186.4	293.07	148.09	417.77	305.55	65.26	178.77	183.82	325.29	305.55	283.05	281.09	90.14	101.54	83.45	341.51	177.53
RABGGTA	791.35	669.92	808.0	860.08	738.29	651.58	555.41	651.58	435.55	435.55	444.72	287.01	693.58	454.09	638.15	633.73	612.11	947.83	629.35	463.65	493.56	444.72	620.67	753.83	620.67	503.95	775.05	426.57	309.83	480.04	723.08	656.11	432.53	563.18	397.93	529.06	825.0	297.17	332.14	423.61	660.68	287.01	295.11	759.08	860.08	981.29	271.48	595.34	1216.75	961.07	688.78	647.07	1059.11	1183.45	1259.69	379.04	1794.29	1540.37	1407.55	1023.0	813.63	819.3	1073.91	1883.54	1417.35	1066.48	1111.82	1498.22	785.88	954.43	743.43	967.76	1551.09	808.0	1191.69	733.19
RAMP2	283.05	1628.26	211.31	346.29	1477.58	289.02	409.15	866.07	1295.13	140.04	1008.9	409.15	500.46	612.11	521.76	277.2	684.02	329.84	260.38	121.79	669.92	444.72	343.89	3303.0	435.55	289.02	802.41	291.04	723.08	114.36	281.09	503.95	108.9	1757.34	223.41	150.17	1304.15	169.07	218.79	249.73	878.17	587.13	295.11	1870.53	954.43	3212.66	612.11	2935.74	3515.68	6337.83	2367.9	6121.9	8658.09	1769.57	4543.8	4704.07	4575.41	11035.54	7966.99	2915.45	4328.55	3639.7	9344.14	10440.2	1477.58	6250.56	6840.04	4543.8	9876.98	5913.33	12943.04	1936.53	2335.28	1322.37	10959.3	3280.18
RAPGEF5	98.04	214.27	28.45	59.97	56.68	151.22	68.07	221.86	231.32	91.41	131.51	104.42	39.5	325.29	53.57	95.34	120.94	155.5	71.0	155.5	153.34	97.36	100.83	52.45	217.27	154.42	93.35	107.38	139.07	43.63	70.51	101.54	139.07	295.11	126.12	146.03	129.69	59.13	124.37	81.14	466.88	58.3	95.34	343.89	642.59	575.03	187.71	466.88	356.05	1135.2	289.02	483.38	830.75	241.19	961.07	759.08	575.03	457.25	540.19	412.0	547.75	860.08	723.08	642.59	149.12	583.07	438.59	571.05	819.3	633.73	703.28	669.92	299.25	753.83	674.59	432.53
RARG	165.57	283.05	43.32	108.9	151.22	89.51	169.07	85.22	111.99	59.13	73.03	29.7	18.7	59.97	114.36	39.5	69.52	85.82	35.0	61.25	78.34	26.28	38.12	80.57	105.89	29.91	63.89	53.57	97.36	17.0	47.84	69.52	36.79	185.11	22.43	59.13	84.63	35.0	72.01	29.7	44.89	77.79	69.03	575.03	500.46	521.76	228.13	181.28	293.07	579.04	336.79	334.46	713.11	642.59	599.49	363.56	718.08	830.75	239.52	312.0	540.19	366.09	1030.12	748.61	400.71	351.14	967.76	854.13	759.08	836.53	1183.45	132.44	511.0	78.89	547.75	371.22
RBM23	769.69	928.3	511.0	785.88	802.41	1030.12	1008.9	743.43	507.46	718.08	547.75	642.59	353.59	511.0	902.89	432.53	341.51	267.73	902.89	269.6	521.76	381.68	703.28	551.56	612.11	748.61	591.22	775.05	371.22	178.77	575.03	389.72	500.46	660.68	733.19	318.57	279.14	802.41	555.41	651.58	656.11	733.19	669.92	1127.35	1143.1	981.29	753.83	896.64	1175.27	1359.57	1378.57	1369.04	1594.73	1540.37	1331.57	1378.57	1143.1	1427.22	1313.23	1295.13	1023.0	1498.22	1950.0	1437.15	1167.14	941.27	1268.46	1388.16	1745.2	1617.0	1685.71	1159.07	1250.98	718.08	1277.29	825.0
REM1	8.13	49.21	2.73	31.22	28.45	5.92	3.72	31.9	19.68	3.63	24.11	2.16	0.0	18.03	17.51	4.39	12.55	9.41	10.39	4.17	24.99	4.98	15.45	5.06	10.55	22.59	27.84	8.32	6.26	3.26	2.61	16.27	2.23	44.89	1.73	6.21	5.45	13.83	12.74	0.38	9.63	8.92	2.71	115.16	30.56	90.77	36.53	29.91	63.0	115.16	40.36	51.71	78.34	140.04	141.02	40.07	126.12	122.64	136.19	25.54	309.83	239.52	123.5	159.9	33.06	96.68	90.14	157.68	77.79	136.19	120.94	32.36	61.68	49.91	117.6	61.68
RFXAP	40.07	59.13	24.81	26.67	24.28	24.63	30.34	31.45	19.53	15.8	34.02	11.3	23.93	17.51	25.72	48.52	21.16	40.93	37.59	33.3	8.32	37.85	8.0	32.13	28.04	20.26	12.45	53.95	27.05	15.11	30.78	63.89	16.27	41.22	27.44	31.45	34.75	14.78	27.84	18.29	16.88	13.32	20.56	55.49	75.11	73.03	63.89	75.64	74.06	94.01	102.97	126.12	90.14	67.59	38.12	61.68	152.28	100.83	146.03	69.03	132.44	103.69	85.22	125.24	58.71	128.79	175.07	102.25	127.89	121.79	75.11	89.51	108.9	75.64	127.0	100.13
RHOJ	36.01	275.28	12.83	33.06	65.72	25.35	81.14	69.52	77.25	20.26	47.5	33.06	25.54	64.8	49.21	47.84	37.32	66.65	26.86	40.36	51.35	27.25	26.1	46.84	74.58	52.45	57.08	36.53	65.26	13.83	32.13	35.76	13.72	175.07	22.75	19.68	50.27	17.77	30.56	36.79	59.55	56.68	25.17	368.65	273.37	366.09	103.69	236.21	162.14	583.07	258.57	361.04	441.64	223.41	447.82	271.48	486.75	353.59	199.85	177.53	595.34	309.83	884.29	412.0	147.06	237.86	414.87	529.06	842.36	473.41	688.78	129.69	169.07	124.37	656.11	336.79
RIN1	239.52	92.05	87.65	104.42	100.83	142.01	187.71	56.68	42.11	156.59	28.86	21.94	87.65	49.91	28.86	30.34	44.25	63.89	13.42	21.94	74.58	64.8	17.51	115.97	64.8	16.03	36.79	15.8	17.0	46.5	28.45	24.99	51.35	80.57	21.78	13.83	89.51	6.26	21.47	31.67	81.71	11.55	26.86	226.54	218.79	181.28	24.99	80.57	191.67	460.44	140.04	117.6	71.5	323.03	314.17	82.29	559.28	381.68	214.27	187.71	125.24	127.89	134.3	126.12	229.72	70.51	356.05	202.66	583.07	148.09	567.1	120.94	120.94	33.3	285.03	131.51
RP11-1055B8.7	51.35	94.01	31.67	38.4	47.5	27.84	21.78	67.59	43.63	14.89	30.34	30.12	24.81	72.01	39.5	54.33	14.67	24.46	49.91	21.16	58.71	55.89	50.98	75.64	108.14	47.5	55.49	70.51	110.43	28.86	123.5	90.77	30.12	55.1	22.59	12.45	28.04	38.4	25.54	48.87	11.73	64.8	20.56	151.22	197.09	187.71	50.63	42.71	74.58	325.29	74.58	127.89	205.5	161.02	159.9	74.58	118.43	231.32	98.04	28.86	166.73	143.01	241.19	180.02	134.3	82.87	279.14	129.69	241.19	159.9	291.04	94.01	124.37	137.14	165.57	88.26
RP11-146D12.2	9.7	1.31	0.0	0.0	1.91	0.78	0.0	0.0	1.17	1.48	0.0	1.14	0.0	6.11	2.63	1.79	9.85	4.24	3.53	1.38	2.56	3.41	0.0	8.13	3.56	4.9	2.53	6.41	1.75	3.38	23.08	33.3	1.53	2.84	17.0	4.58	4.9	4.58	3.72	7.63	1.5	3.96	1.45	8.19	10.0	18.29	0.0	12.74	11.47	35.25	9.27	18.03	26.47	6.21	16.39	45.85	20.71	16.27	11.55	49.21	7.82	24.11	44.89	27.44	0.42	21.94	21.32	2.81	52.08	21.78	61.68	0.68	13.62	60.39	19.11	30.56
RP11-830F9.6	2.94	11.73	3.89	1.83	8.45	0.75	0.0	2.84	3.2	0.84	1.23	1.38	1.46	1.33	2.63	0.54	2.73	1.22	1.16	2.23	4.17	0.45	0.45	0.43	2.56	1.07	1.3	1.93	2.16	0.37	2.61	1.69	0.37	10.0	3.86	0.0	2.56	1.06	2.48	1.39	4.17	0.79	0.0	8.45	10.88	16.88	3.29	10.55	10.71	15.45	13.22	30.12	16.39	9.2	14.89	22.1	14.03	26.86	35.25	9.63	10.79	23.25	15.34	11.55	8.99	35.0	15.11	17.25	26.1	13.32	37.59	8.92	18.43	9.48	13.22	6.41
RTKN2	6.89	8.32	1.53	4.94	2.18	5.82	3.32	3.11	5.19	5.28	9.27	1.17	50.27	3.26	10.0	14.03	2.63	24.46	3.56	43.02	11.55	35.0	9.06	38.12	6.41	0.79	4.39	19.97	53.57	9.13	6.67	3.96	35.76	17.9	0.0	0.0	5.06	0.64	2.29	3.47	0.0	3.26	0.56	43.32	87.03	1096.5	49.21	170.25	299.25	1662.49	220.32	2573.36	2777.33	202.66	285.03	339.14	1233.75	896.64	1551.09	486.75	713.11	1175.27	4210.15	2224.63	343.89	1832.01	2573.36	1551.09	1066.48	1832.01	2090.03	909.17	1331.57	1322.37	1529.73	271.48
RXRG	1.1	1.25	0.0	1.81	5.45	0.0	0.34	6.46	25.54	40.93	6.52	1.39	2.43	0.0	56.28	11.04	9.34	3.38	0.0	0.0	45.21	3.82	2.03	2.23	38.12	0.0	12.64	132.44	12.27	0.42	14.89	144.01	0.0	14.78	6.26	7.4	4.35	15.45	55.89	0.0	13.42	87.03	97.36	16.75	37.59	38.95	1.06	69.03	70.01	102.97	172.65	90.77	500.46	85.82	30.78	36.53	137.14	242.88	96.01	58.3	150.17	265.87	1037.29	291.04	53.57	507.46	260.38	202.66	186.4	176.29	409.15	26.1	81.71	63.89	466.88	105.15
S1PR2	30.34	73.03	6.46	40.64	43.32	60.82	24.81	95.34	65.26	27.05	45.53	98.73	30.78	131.51	24.11	84.63	65.26	82.87	21.63	102.97	49.21	16.63	41.52	12.83	44.57	18.29	71.0	4.58	7.22	5.28	2.29	16.39	16.75	61.25	5.96	30.34	21.32	22.59	17.25	33.06	72.01	52.82	69.03	195.72	186.4	107.38	16.15	104.42	116.78	237.86	423.61	143.01	214.27	136.19	102.97	172.65	105.15	82.87	64.34	232.94	279.14	147.06	129.69	133.36	59.13	113.56	90.14	84.63	162.14	307.69	361.04	103.69	91.41	65.26	163.28	173.85
SCNN1B	16.03	125.24	1.51	19.68	12.18	5.73	3.63	33.78	6.26	11.73	30.56	12.83	6.73	14.67	32.82	26.47	12.55	19.53	19.53	13.93	49.91	1.64	2.01	0.0	14.56	2.97	37.85	1.91	2.43	14.78	3.53	3.2	29.91	8.06	3.29	5.68	10.79	9.63	11.64	3.5	9.7	8.58	1.08	514.56	848.22	909.17	796.86	693.58	775.05	305.55	1870.53	2796.65	4152.18	32.13	1340.84	2777.33	309.83	197.09	651.58	258.57	559.28	1651.0	1259.69	947.83	1340.84	2351.53	493.56	1819.35	363.56	2075.59	2468.49	3639.7	1304.15	733.19	1551.09	753.83
SERPINB6	3515.68	4268.94	2119.22	2133.97	3124.78	2609.3	3716.2	1359.57	1397.83	2271.4	1936.53	836.53	1757.34	1059.11	1561.89	947.83	1322.37	1561.89	1674.06	947.83	1340.84	1250.98	1685.71	1225.22	1350.18	1015.93	1950.0	1721.16	684.02	1963.57	2796.65	1529.73	1709.26	2555.58	1015.93	624.99	2032.85	616.37	1088.92	1277.29	1896.65	1233.75	866.07	2915.45	3060.45	3955.48	2835.7	3820.7	5006.93	3874.05	3768.09	4704.07	5366.37	3168.41	10883.59	2537.92	4671.57	6471.02	8718.32	2090.03	2777.33	5041.77	5183.54	6164.49	6652.97	5147.73	6887.62	5791.62	7589.61	5006.93	6337.83	2645.74	4450.27	2976.74	4903.87	4298.64
SERTM1	0.0	1.64	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53	1.83	30.56	0.2	10.24	20.86	507.46	55.1	107.38	616.37	11.64	33.3	17.13	59.13	27.25	53.57	56.68	37.59	142.01	435.55	154.42	17.51	142.01	162.14	164.42	31.0	57.49	587.13	171.45	99.43	13.12	152.28	13.93
SH2D3C	123.5	521.76	59.13	149.12	351.14	157.68	114.36	212.78	249.73	73.54	218.79	127.89	105.89	137.14	159.9	147.06	147.06	215.77	80.01	95.34	202.66	92.05	108.14	53.57	164.42	150.17	251.48	88.88	134.3	38.95	107.38	127.89	55.89	392.44	66.18	47.5	142.01	66.65	75.64	98.73	86.43	117.6	67.12	490.14	473.41	651.58	164.42	575.03	796.86	1477.58	460.44	796.86	2367.9	295.11	381.68	802.41	759.08	1487.87	1437.15	796.86	303.44	1233.75	1685.71	1757.34	253.23	1088.92	1721.16	802.41	2682.69	775.05	3820.7	679.29	665.29	753.83	1208.34	624.99
SHROOM4	30.56	70.01	16.75	31.0	44.25	57.89	32.36	19.82	22.59	8.45	12.27	10.79	9.34	16.03	11.73	7.0	15.0	18.16	6.11	12.09	15.34	6.26	9.78	37.05	31.0	10.88	13.32	17.25	17.38	2.12	10.08	15.22	3.66	47.84	4.62	5.73	12.27	3.41	3.17	11.21	8.38	14.03	5.68	140.04	223.41	223.41	34.02	152.28	126.12	848.22	204.07	264.03	339.14	137.14	262.2	253.23	70.51	269.6	64.34	204.07	215.77	134.3	316.37	395.18	51.35	289.02	334.46	97.36	135.24	281.09	1286.18	454.09	152.28	226.54	221.86	169.07
SLC10A7	82.87	69.52	57.89	46.84	56.28	105.15	51.71	108.14	76.71	80.57	68.55	67.59	42.41	85.22	78.89	66.18	52.82	139.07	80.57	118.43	93.35	35.25	53.19	39.22	94.67	67.59	59.13	65.26	52.08	24.99	65.72	76.17	58.3	80.57	100.13	67.12	45.21	56.68	55.89	67.12	135.24	57.49	70.01	145.02	215.77	114.36	66.18	157.68	131.51	134.3	201.25	181.28	232.94	150.17	118.43	126.12	221.86	156.59	91.41	82.87	297.17	194.36	163.28	144.01	63.0	139.07	142.01	104.42	209.84	178.77	224.97	189.02	114.36	121.79	143.01	149.12
SLFN11	318.57	429.54	69.03	115.97	105.89	223.41	135.24	97.36	89.51	37.85	68.55	29.48	212.78	59.13	66.65	26.47	43.63	141.02	17.9	100.83	37.59	17.77	28.45	13.93	73.54	45.53	35.76	39.5	214.27	8.45	43.63	40.36	13.93	271.48	23.08	21.63	70.01	46.5	48.18	35.0	62.12	71.0	46.5	808.0	620.67	620.67	242.88	417.77	1008.9	583.07	1350.18	988.12	1936.53	2061.24	1277.29	669.92	503.95	2178.83	1304.15	896.64	1936.53	476.71	3540.14	1733.13	703.28	684.02	1216.75	769.69	1923.14	1639.59	866.07	660.68	1073.91	406.31	1397.83	674.59
