	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.DK.A3IT.01A.31R.A20F.07	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.2F.A9KQ.01A.11R.A38B.07	TCGA.G2.A3IE.01A.11R.A20F.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.DK.A6B2.01A.11R.A30C.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.XF.A8HD.01A.11R.A36F.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.FD.A6TK.01A.42R.A33J.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.FD.A6TC.01A.21R.A33J.07	TCGA.GC.A3BM.01A.11R.A22U.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.XF.A8HH.01A.11R.A38B.07	TCGA.FD.A62O.01A.11R.A30C.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.BT.A20T.01A.11R.A14Y.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.4Z.AA7Y.01A.11R.A39I.07	TCGA.E7.A7DU.01A.11R.A32O.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13FTW.1126.SM.5J2NV	GTEX.YEC4.0826.SM.5P9FV	GTEX.ZF29.2026.SM.4WWB7	GTEX.1497J.0726.SM.5Q5D1	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.OOBK.0526.SM.2HMJJ	GTEX.Y5LM.0726.SM.4VBRP	GTEX.145LT.0326.SM.5LUAD	GTEX.S4Z8.0426.SM.3K2AH	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZT9X.0326.SM.51MTE	GTEX.SNOS.0426.SM.32PMH	GTEX.139YR.0926.SM.5LZYB	GTEX.QDVJ.0926.SM.2I5FU	GTEX.R55G.0826.SM.2TC5U	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.QESD.0626.SM.2I5G4	GTEX.132QS.0726.SM.5IJE9	GTEX.ZTPG.0926.SM.5O99H	GTEX.PWOO.0726.SM.2I3EB	GTEX.11TT1.1626.SM.5EQL7	GTEX.Y9LG.0526.SM.4VBRY	GTEX.1211K.0826.SM.5FQUP	GTEX.RUSQ.0626.SM.2TF5V	GTEX.11LCK.0426.SM.5A5M8	GTEX.W5X1.0426.SM.3GILB	GTEX.1399T.0126.SM.5KM15	GTEX.12584.0826.SM.5FQSK	GTEX.ZVT3.0726.SM.5GICN	GTEX.WHSB.1626.SM.3LK6J	GTEX.WYJK.1626.SM.3NM9J	GTEX.RU72.0126.SM.2TF6Z	GTEX.12ZZY.0826.SM.5EQMT	GTEX.117YW.0126.SM.5EGGN	GTEX.11DXZ.0926.SM.5N9CG	GTEX.Y8E4.0126.SM.4VBQ2	GTEX.13O1R.0826.SM.5J2MB	GTEX.11NUK.1026.SM.5HL5J	GTEX.13112.0326.SM.5P9IW	GTEX.UJMC.0326.SM.3GAE2
ZNF500	122.64	101.54	81.71	143.01	95.34	100.83	110.43	142.01	127.0	50.27	126.12	146.03	79.45	81.14	133.36	93.35	178.77	224.97	165.57	170.25	161.02	77.79	99.43	97.36	138.1	136.19	138.1	143.01	241.19	309.83	48.52	43.02	69.03	47.5	29.48	46.5	70.01	64.34	47.5	52.82	30.34	0.0	0.41	105.15	101.54	72.52	133.36	92.7	73.03	136.19	100.13	112.77	138.1	204.07	131.51	239.52	87.65	64.34	129.69	73.03	103.69	104.42	151.22	107.38	125.24	301.33	191.67	226.54	242.88	264.03	232.94	295.11	234.57	262.2	264.03	199.85	269.6	314.17	212.78
ZNF506	271.48	141.02	81.14	395.18	299.25	234.57	457.25	429.54	253.23	177.53	145.02	318.57	343.89	113.56	208.38	150.17	77.25	279.14	191.67	320.8	303.44	178.77	74.06	414.87	242.88	218.79	208.38	351.14	444.72	320.8	25.35	30.56	18.03	22.26	29.06	21.47	61.68	4.82	9.48	18.97	23.25	0.0	0.53	58.3	108.14	138.1	73.54	118.43	71.0	60.39	77.25	92.7	88.88	185.11	127.89	109.66	76.71	136.19	97.36	90.77	85.22	112.77	121.79	115.97	660.68	366.09	480.04	343.89	376.41	373.81	603.67	432.53	423.61	438.59	438.59	212.78	334.46	426.57	403.5
ZNF565	100.13	50.63	47.5	57.89	45.21	94.01	117.6	110.43	82.29	90.14	63.0	43.63	63.45	62.56	59.97	47.5	62.12	107.38	64.34	86.43	72.52	81.71	28.04	130.6	75.64	81.71	43.02	77.79	70.01	215.77	25.17	36.27	31.9	37.32	15.34	16.88	21.78	23.42	43.02	37.05	21.78	0.0	0.33	41.81	53.19	49.21	59.13	36.01	54.33	65.72	47.5	46.84	40.93	20.11	84.63	78.34	48.18	53.95	48.87	62.12	46.84	59.13	80.01	53.57	121.79	100.13	143.01	96.01	81.14	84.63	91.41	121.79	77.79	108.14	91.41	49.56	96.01	113.56	93.35
ZNF567	75.64	73.54	54.72	70.01	34.26	104.42	239.52	107.38	90.14	105.15	63.45	54.72	98.04	105.89	61.68	70.51	94.67	120.1	72.52	145.02	93.35	78.89	70.51	139.07	102.97	80.01	74.06	58.71	96.01	217.27	55.1	46.18	50.27	44.89	19.25	31.45	28.45	45.53	24.11	39.5	30.34	0.0	0.39	17.38	37.32	65.72	102.97	35.25	44.57	57.89	48.52	59.55	83.45	50.98	75.64	54.33	83.45	77.25	41.81	50.63	105.89	64.34	84.04	62.56	137.14	111.99	137.14	81.71	82.29	185.11	108.14	146.03	63.45	127.0	144.01	101.54	127.0	162.14	156.59
ZNF571	71.5	40.93	23.42	70.51	32.36	66.65	176.29	100.83	57.89	46.18	40.64	59.97	70.51	47.17	68.55	72.01	74.06	132.44	64.8	91.41	39.22	78.34	24.11	148.09	79.45	76.17	46.84	86.43	122.64	198.47	13.42	25.35	15.91	18.43	8.71	7.69	21.32	16.39	8.32	21.32	30.56	0.0	0.29	34.26	42.41	46.5	59.97	21.01	33.3	49.21	18.56	35.76	16.51	33.78	50.63	42.71	44.25	38.67	39.22	33.54	54.72	26.47	75.64	54.72	221.86	164.42	151.22	157.68	112.77	190.34	147.06	164.42	123.5	144.01	190.34	85.22	169.07	130.6	148.09
ZNF572	19.53	39.5	25.91	26.67	23.08	24.81	46.5	27.25	20.11	19.39	11.21	23.08	24.81	20.56	29.91	26.28	26.47	43.94	31.22	40.36	38.12	12.74	9.7	73.03	15.11	6.78	9.48	26.47	32.36	90.77	2.53	4.5	3.5	6.62	0.87	2.07	2.81	4.43	2.89	5.82	1.48	0.0	0.04	8.58	14.56	8.99	23.25	10.47	18.97	20.26	7.4	8.85	27.64	11.04	18.29	9.85	8.0	6.84	13.72	14.67	22.43	8.99	15.8	15.34	80.57	40.93	43.94	16.75	44.57	50.27	33.3	52.08	14.78	70.51	80.01	20.26	42.71	34.51	44.89
ZNF585B	120.94	94.01	37.05	111.99	92.05	85.82	255.0	142.01	149.12	100.13	79.45	110.43	100.13	69.52	105.89	71.5	111.21	214.27	147.06	131.51	111.99	64.34	42.71	149.12	94.01	135.24	98.73	107.38	273.37	211.31	16.63	9.78	35.25	38.12	18.7	14.14	52.08	15.45	17.0	55.49	10.79	0.0	0.35	46.5	109.66	78.89	98.04	20.71	59.13	161.02	52.45	68.55	98.04	32.59	63.45	151.22	64.34	68.55	62.56	94.01	108.14	92.7	84.63	120.1	332.14	239.52	301.33	223.41	287.01	258.57	224.97	262.2	189.02	327.56	334.46	165.57	217.27	273.37	323.03
ZNF605	80.57	73.54	14.45	178.77	115.97	85.22	212.78	62.12	102.97	47.5	59.97	48.87	64.8	29.27	59.13	63.0	73.54	135.24	100.83	166.73	106.63	80.57	36.01	158.79	60.82	70.51	53.95	61.68	124.37	191.67	8.45	12.0	27.05	21.78	5.73	25.17	17.13	24.99	8.13	25.91	9.7	0.0	0.61	58.3	33.06	55.89	73.54	16.88	47.84	63.89	32.13	61.25	49.91	24.81	50.27	56.68	39.22	29.06	76.71	59.13	54.72	55.89	54.33	93.35	303.44	244.57	209.84	205.5	201.25	214.27	165.57	186.4	158.79	199.85	265.87	127.0	191.67	221.86	323.03
ZNF607	68.07	37.32	20.26	53.57	59.97	83.45	211.31	82.87	66.65	73.54	42.41	57.89	62.56	75.64	59.13	71.5	58.71	110.43	49.21	85.22	64.34	65.26	37.32	83.45	37.05	75.11	49.21	103.69	127.0	141.02	2.03	2.16	4.13	7.06	4.82	2.84	2.97	0.67	1.38	6.62	1.93	0.0	0.4	38.95	28.45	39.79	45.53	11.38	21.01	24.81	31.67	27.05	12.83	6.89	15.45	27.84	20.11	13.83	28.65	22.59	36.01	33.06	31.9	35.25	154.42	102.97	132.44	98.73	120.1	120.94	94.01	115.16	90.14	132.44	133.36	51.35	105.89	120.94	127.89
ZNF638	2976.74	1388.16	1477.58	1561.89	2319.15	1794.29	1909.85	2287.2	1806.78	1457.23	1721.16	2119.22	2271.4	1709.26	2061.24	1844.76	1757.34	1685.71	1857.6	2664.15	1721.16	2351.53	1487.87	3018.3	2400.97	1417.35	1199.98	2240.11	2485.67	2468.49	417.77	896.64	1286.18	1127.35	796.86	954.43	1015.93	1119.56	941.27	1111.82	780.44	0.0	0.84	638.15	995.0	1159.07	954.43	536.45	1081.39	1143.1	954.43	669.92	848.22	1015.93	1167.14	890.44	825.0	988.12	1242.34	890.44	878.17	1250.98	1208.34	1111.82	3257.52	2502.97	3443.31	2758.13	1977.24	2133.97	2502.97	2255.7	2148.82	2271.4	3168.41	1639.59	2701.35	2367.9	2895.31
ZNF687	476.71	312.0	171.45	285.03	848.22	295.11	476.71	511.0	974.5	351.14	277.2	438.59	287.01	181.28	429.54	248.0	612.11	480.04	457.25	226.54	397.93	476.71	281.09	543.96	525.39	339.14	303.44	441.64	339.14	466.88	164.42	117.6	118.43	144.01	125.24	166.73	220.32	117.6	271.48	202.66	36.27	0.0	0.57	301.33	153.34	269.6	202.66	206.94	194.36	241.19	135.24	325.29	269.6	346.29	167.9	409.15	299.25	195.72	279.14	205.5	180.02	264.03	204.07	198.47	325.29	351.14	242.88	361.04	438.59	316.37	339.14	297.17	395.18	463.65	417.77	417.77	366.09	384.34	409.15
ZNF709	55.49	17.77	12.83	57.49	44.89	38.67	49.21	29.27	33.3	12.45	16.75	20.26	26.1	11.55	27.64	15.68	53.19	44.89	29.48	26.28	33.54	43.02	11.3	35.5	20.86	30.34	14.35	29.91	107.38	165.57	1.35	5.41	4.54	3.32	3.26	5.28	4.82	1.11	2.32	5.45	2.89	0.0	0.17	14.78	15.91	17.25	25.91	16.39	20.71	17.13	6.41	10.31	20.26	26.47	11.38	27.64	12.18	19.11	15.91	8.92	7.69	26.28	27.05	19.39	130.6	82.29	90.14	75.64	50.63	84.63	71.0	79.45	78.34	92.05	134.3	38.95	53.57	85.22	140.04
ZNF736	88.88	53.19	46.18	82.29	95.34	135.24	258.57	105.15	67.59	52.08	26.1	49.91	128.79	41.52	113.56	38.67	81.71	144.01	108.9	147.06	65.26	81.14	32.59	256.78	45.53	67.12	49.21	121.79	450.94	441.64	8.06	10.0	9.85	25.17	5.15	5.54	8.65	12.45	17.9	14.89	8.25	92.05	64.8	43.32	46.5	26.47	49.91	24.81	67.12	27.25	43.94	47.5	85.82	45.53	107.38	33.06	30.56	42.41	37.32	64.34	103.69	40.93	27.64	126.12	343.89	248.0	287.01	224.97	239.52	155.5	199.85	267.73	275.28	281.09	346.29	127.89	256.78	217.27	206.94
ZNF785	128.79	79.45	87.03	115.16	547.75	52.08	228.13	244.57	133.36	64.8	113.56	116.78	89.51	78.34	126.12	98.04	152.28	281.09	112.77	187.71	175.07	84.63	46.5	429.54	127.89	122.64	107.38	155.5	202.66	371.22	16.75	34.75	27.25	17.64	17.13	20.56	12.74	25.72	26.86	37.32	13.72	0.0	0.62	87.03	48.52	53.19	63.0	83.45	66.65	97.36	60.39	72.01	98.04	66.65	70.01	164.42	67.59	96.01	106.63	96.68	75.11	60.39	154.42	80.01	215.77	156.59	214.27	118.43	185.11	215.77	301.33	208.38	170.25	209.84	214.27	167.9	175.07	215.77	220.32
ZNF793	147.06	32.13	6.57	57.49	60.82	74.58	193.01	81.14	94.67	56.68	55.89	46.84	83.45	39.5	98.04	62.12	82.29	136.19	67.59	100.13	81.14	100.83	25.17	143.01	46.18	67.12	50.27	104.42	37.59	115.97	0.89	0.93	5.36	4.13	0.01	0.02	2.76	1.11	0.0	5.36	1.33	0.0	0.54	17.51	11.3	27.25	49.91	8.58	10.88	28.65	4.24	18.7	21.16	15.56	34.26	20.71	11.73	42.41	15.8	20.86	41.52	24.81	57.49	46.5	361.04	218.79	291.04	199.85	167.9	161.02	262.2	248.0	336.79	232.94	264.03	98.73	228.13	242.88	262.2
ZNF830	224.97	161.02	287.01	198.47	303.44	283.05	348.71	591.22	175.07	215.77	444.72	279.14	165.57	212.78	281.09	246.28	384.34	414.87	305.55	283.05	376.41	285.03	217.27	363.56	366.09	329.84	190.34	275.28	429.54	543.96	144.01	224.97	209.84	211.31	164.42	159.9	127.0	173.85	190.34	163.28	67.59	0.0	0.0	325.29	287.01	441.64	363.56	182.55	493.56	450.94	309.83	366.09	293.07	151.22	454.09	500.46	435.55	358.54	239.52	361.04	381.68	403.5	376.41	503.95	466.88	599.49	466.88	457.25	389.72	518.15	511.0	470.14	409.15	470.14	567.1	356.05	536.45	532.74	563.18
ZNF84	327.56	209.84	248.0	674.59	447.82	379.04	785.88	264.03	265.87	133.36	191.67	181.28	435.55	228.13	209.84	194.36	395.18	397.93	307.69	295.11	356.05	273.37	162.14	575.03	206.94	371.22	260.38	323.03	417.77	638.15	44.25	81.71	101.54	88.88	38.95	63.89	53.57	90.14	63.89	125.24	65.72	0.0	0.64	146.03	166.73	152.28	264.03	102.97	132.44	189.02	164.42	198.47	159.9	108.9	236.21	194.36	176.29	132.44	158.79	224.97	255.0	158.79	241.19	281.09	738.29	567.1	638.15	493.56	476.71	379.04	540.19	483.38	486.75	466.88	836.53	332.14	536.45	536.45	460.44
ZSCAN32	198.47	123.5	167.9	242.88	161.02	182.55	169.07	237.86	197.09	117.6	109.66	180.02	153.34	74.58	234.57	171.45	193.01	429.54	194.36	241.19	193.01	228.13	118.43	193.01	260.38	215.77	185.11	180.02	214.27	295.11	72.01	113.56	98.73	100.13	79.45	89.51	94.01	120.1	153.34	128.79	77.79	0.0	0.0	223.41	242.88	194.36	246.28	91.41	223.41	267.73	119.26	185.11	189.02	147.06	218.79	361.04	234.57	177.53	138.1	226.54	248.0	283.05	197.09	220.32	525.39	295.11	327.56	206.94	275.28	325.29	231.32	309.83	244.57	323.03	384.34	229.72	307.69	332.14	303.44
