	GTEX.U3ZN.0226.SM.3DB8D	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.CE.A482.01A.11R.A23W.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.ET.A4KQ.01A.12R.A250.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.EL.A3ZP.01A.11R.A23N.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.FY.A40K.01A.11R.A23N.07	TCGA.EL.A4KD.01A.11R.A250.07	TCGA.DE.A3KN.01A.11R.A20F.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.DJ.A3UM.01A.11R.A22L.07	TCGA.DJ.A4V0.01A.11R.A250.07	TCGA.DJ.A3UV.01A.11R.A22L.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.CE.A481.01A.21R.A23W.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.FK.A3SB.01A.11R.A22L.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.FY.A3I4.01A.11R.A21D.07	TCGA.CE.A13K.01A.11R.A10U.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.EL.A3T8.01A.21R.A22L.07	TCGA.BJ.A45G.01A.11R.A23W.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OIZI.0726.SM.2XCEI	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.V955.0426.SM.3GAEL	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
PLXDC1	16.51	395.18	1277.29	329.84	291.04	785.88	426.57	559.28	397.93	279.14	307.69	246.28	275.28	1059.11	607.87	256.78	423.61	244.57	262.2	848.22	341.51	412.0	753.83	265.87	341.51	571.05	320.8	473.41	486.75	327.56	314.17	563.18	277.2	37.59	38.4	56.28	56.28	39.22	39.5	42.11	49.21	61.25	35.25	244.57	27.44	64.34	140.04	57.08	33.54	63.45	40.36	38.12	89.51	193.01	118.43	172.65	101.54	45.21	127.0	36.01	74.06	53.95	134.3	20.26	165.57	46.18	26.47	64.8	85.82	23.08	59.13	67.59	22.1	29.27	40.64	112.77	45.85	47.17	143.01	94.01	75.11	108.9	70.01	71.0
PLXNB2	743.43	10084.54	9540.5	9540.5	6699.25	7485.11	8778.97	8538.88	6079.61	3614.55	7857.29	3190.46	7382.04	7130.55	8247.98	5633.22	9740.98	9279.58	5479.15	5913.33	5219.6	5791.62	8840.04	6699.25	3901.01	7966.99	5329.3	8778.97	9344.14	4388.98	6607.01	8247.98	6250.56	2537.92	2758.13	2701.35	3742.05	2573.36	2956.17	4038.61	3372.43	2701.35	6426.31	3303.0	2976.74	2997.45	4328.55	5041.77	2739.08	4152.18	2178.83	3768.09	2400.97	4736.79	4239.45	4152.18	2400.97	2335.28	4575.41	3060.45	2384.37	2895.31	3768.09	3168.41	3039.3	2434.5	3103.19	2061.24	3847.29	4481.23	3349.13	2367.9	3901.01	4010.71	3190.46	3540.14	4512.4	2591.27	5183.54	3690.52	4268.94	3820.7	2875.3	3820.7
PLXND1	708.18	4836.35	5441.3	5292.48	3443.31	5913.33	5255.91	6207.38	3639.7	2485.67	4481.23	3280.18	5403.7	6337.83	5183.54	3690.52	5403.7	4671.57	3372.43	5366.37	3212.66	4575.41	4481.23	3257.52	3820.7	5403.7	3124.78	4802.93	5555.65	4869.99	3768.09	6471.02	2816.11	603.67	1498.22	1369.04	961.07	1340.84	1617.0	1250.98	1111.82	1023.0	371.22	1674.06	698.41	1498.22	2591.27	1477.58	1322.37	1081.39	1208.34	1322.37	1651.0	1757.34	723.08	1477.58	2090.03	1127.35	1745.2	1001.93	629.35	1950.0	1709.26	915.51	1286.18	947.83	872.1	1397.83	915.51	607.87	1143.1	1096.5	854.13	674.59	928.3	1487.87	928.3	1233.75	1175.27	607.87	1709.26	1059.11	1151.06	2047.0
PPP1R13L	50.63	1104.13	1594.73	1870.53	713.11	1037.29	1487.87	1605.83	819.3	1388.16	1628.26	665.29	1322.37	813.63	1167.14	1008.9	1191.69	1617.0	1066.48	1498.22	808.0	854.13	961.07	947.83	1044.52	1216.75	728.11	1697.45	1167.14	981.29	1295.13	1572.76	941.27	476.71	463.65	403.5	587.13	638.15	775.05	540.19	384.34	356.05	866.07	603.67	511.0	703.28	447.82	651.58	595.34	642.59	480.04	713.11	954.43	616.37	775.05	348.71	476.71	400.71	674.59	480.04	325.29	825.0	511.0	647.07	579.04	1081.39	674.59	470.14	624.99	780.44	470.14	808.0	825.0	607.87	567.1	591.22	547.75	518.15	825.0	1167.14	591.22	547.75	638.15	633.73
PPP1R14B	620.67	3491.39	3564.78	2537.92	1757.34	1628.26	2739.08	4181.07	2148.82	1806.78	2400.97	1651.0	1757.34	2777.33	3419.52	1745.2	2209.26	2104.58	2004.85	2777.33	2434.5	1819.35	2591.27	2133.97	1977.24	1977.24	1605.83	2935.74	2555.58	2335.28	3081.75	2485.67	1529.73	387.02	1628.26	1023.0	1167.14	1159.07	1769.57	921.88	842.36	387.02	1023.0	1572.76	909.17	1340.84	902.89	1119.56	2468.49	1051.79	3124.78	2271.4	1268.46	1088.92	890.44	1023.0	1259.69	1388.16	1322.37	1662.49	483.38	4512.4	1551.09	1023.0	988.12	860.08	2004.85	2875.3	825.0	1208.34	974.5	1277.29	1857.6	2193.99	1427.22	1427.22	848.22	1467.37	2303.12	872.1	830.75	1023.0	1427.22	1350.18
PTK6	0.22	14.45	17.77	6.84	3.69	10.16	7.63	21.01	3.32	5.68	9.93	6.94	7.82	7.57	11.82	6.46	9.56	7.11	7.51	6.57	4.7	12.83	12.18	3.26	2.53	4.03	4.21	5.54	9.34	2.56	3.72	6.11	3.23	1.13	3.23	2.07	2.12	2.81	2.86	3.26	3.23	0.84	1.62	2.43	0.57	4.1	1.23	1.83	2.81	3.86	1.53	1.36	4.58	5.77	4.39	4.82	2.14	3.99	3.08	1.89	5.92	6.94	3.63	1.08	2.16	0.8	1.58	0.35	1.6	1.62	1.85	3.29	0.58	0.0	1.41	5.45	0.6	1.13	3.08	3.17	3.69	1.51	4.54	4.21
PTP4A3	48.52	1617.0	2997.45	2758.13	934.76	2303.12	2004.85	2609.3	1572.76	1806.78	1199.98	1359.57	1508.65	3491.39	2417.67	1331.57	1745.2	1697.45	1313.23	1721.16	915.51	1208.34	1617.0	1183.45	1651.0	3018.3	2075.59	1674.06	2351.53	1617.0	1340.84	2627.46	1397.83	99.43	384.34	237.86	309.83	353.59	476.71	206.94	205.5	307.69	161.02	423.61	186.4	435.55	277.2	332.14	563.18	387.02	490.14	764.36	429.54	221.86	253.23	166.73	218.79	457.25	287.01	497.0	105.15	1709.26	423.61	583.07	249.73	170.25	325.29	536.45	314.17	563.18	299.25	575.03	260.38	423.61	361.04	490.14	316.37	373.81	234.57	291.04	251.48	190.34	514.56	297.17
PUSL1	74.06	325.29	255.0	320.8	204.07	215.77	334.46	341.51	260.38	199.85	237.86	201.25	299.25	309.83	258.57	166.73	277.2	320.8	242.88	237.86	287.01	198.47	265.87	293.07	177.53	260.38	191.67	320.8	260.38	197.09	244.57	256.78	241.19	55.89	162.14	113.56	185.11	173.85	201.25	144.01	162.14	66.65	193.01	189.02	137.14	125.24	170.25	309.83	253.23	193.01	197.09	221.86	248.0	189.02	170.25	181.28	156.59	248.0	124.37	205.5	80.57	260.38	182.55	195.72	144.01	84.63	226.54	224.97	220.32	149.12	186.4	148.09	148.09	277.2	185.11	231.32	224.97	195.72	180.02	111.21	199.85	237.86	191.67	177.53
RARA	348.71	1111.82	1119.56	1030.12	753.83	1191.69	878.17	1030.12	909.17	674.59	872.1	563.18	902.89	896.64	1487.87	698.41	909.17	1001.93	738.29	934.76	819.3	555.41	1081.39	543.96	759.08	967.76	738.29	1250.98	1359.57	848.22	941.27	1277.29	603.67	318.57	587.13	406.31	395.18	397.93	480.04	454.09	543.96	323.03	435.55	473.41	229.72	480.04	454.09	575.03	285.03	309.83	387.02	507.46	503.95	480.04	406.31	575.03	420.68	457.25	287.01	872.1	239.52	348.71	444.72	511.0	403.5	231.32	255.0	327.56	406.31	473.41	616.37	738.29	262.2	376.41	253.23	435.55	363.56	341.51	400.71	563.18	412.0	486.75	381.68	327.56
RARG	50.27	878.17	1127.35	1059.11	674.59	967.76	1242.34	1378.57	665.29	669.92	1051.79	679.29	1199.98	1073.91	974.5	769.69	1096.5	1242.34	866.07	848.22	490.14	543.96	1030.12	708.18	866.07	954.43	713.11	1628.26	1151.06	988.12	1159.07	1498.22	830.75	389.72	400.71	381.68	348.71	595.34	507.46	595.34	529.06	305.55	358.54	642.59	260.38	417.77	934.76	583.07	514.56	299.25	299.25	638.15	441.64	981.29	361.04	503.95	532.74	348.71	629.35	346.29	314.17	638.15	780.44	450.94	764.36	384.34	493.56	366.09	353.59	366.09	387.02	447.82	265.87	255.0	323.03	703.28	460.44	264.03	540.19	497.0	1008.9	759.08	318.57	728.11
RGL3	97.36	3564.78	7911.95	4972.34	4181.07	5329.3	5831.91	7081.29	7130.55	7485.11	4607.24	4575.41	7966.99	5913.33	6337.83	4298.64	3928.15	4512.4	4038.61	4152.18	6121.9	3928.15	7749.1	6887.62	4512.4	4210.15	3742.05	3742.05	5147.73	5441.3	4095.0	5594.3	5076.84	2075.59	1757.34	1151.06	2287.2	2047.0	3303.0	1909.85	2417.67	988.12	3639.7	2451.44	1044.52	1628.26	3103.19	3039.3	1794.29	3168.41	2193.99	2004.85	2351.53	2271.4	3515.68	1977.24	2956.17	1819.35	2090.03	1639.59	1844.76	3303.0	1844.76	2075.59	1844.76	2591.27	2255.7	1909.85	2591.27	2047.0	3303.0	1551.09	2915.45	1896.65	2935.74	1268.46	2209.26	2758.13	2835.7	1991.0	2915.45	1806.78	2047.0	2502.97
RGS3	854.13	1950.0	1832.01	2209.26	1417.35	1487.87	1697.45	2193.99	1519.15	1388.16	1250.98	1119.56	1447.15	2367.9	2609.3	1417.35	1498.22	1250.98	1199.98	1662.49	1331.57	1088.92	1674.06	1350.18	1551.09	1183.45	1250.98	1639.59	2335.28	2104.58	1313.23	1572.76	1199.98	400.71	759.08	595.34	612.11	1617.0	1143.1	353.59	483.38	486.75	211.31	1081.39	543.96	915.51	728.11	1008.9	1331.57	660.68	1037.29	1159.07	872.1	493.56	460.44	518.15	723.08	915.51	497.0	915.51	301.33	1119.56	669.92	995.0	656.11	684.02	1127.35	1199.98	896.64	1059.11	759.08	1119.56	718.08	954.43	825.0	854.13	599.49	1081.39	1096.5	808.0	599.49	463.65	775.05	860.08
RHBDF1	37.05	1437.15	1651.0	1519.15	1286.18	1477.58	1295.13	1508.65	1359.57	1135.2	921.88	890.44	780.44	1757.34	1794.29	1023.0	1127.35	1487.87	1135.2	1313.23	1350.18	748.61	1674.06	1467.37	1242.34	791.35	909.17	1397.83	1819.35	954.43	954.43	981.29	1313.23	473.41	384.34	403.5	575.03	890.44	854.13	493.56	432.53	356.05	1151.06	909.17	289.02	878.17	559.28	555.41	379.04	529.06	616.37	612.11	529.06	575.03	633.73	738.29	353.59	426.57	500.46	454.09	329.84	825.0	571.05	830.75	591.22	441.64	802.41	540.19	660.68	603.67	1008.9	507.46	620.67	559.28	543.96	497.0	665.29	579.04	616.37	656.11	890.44	493.56	463.65	493.56
RIN1	16.27	242.88	358.54	258.57	80.57	187.71	318.57	438.59	100.13	58.3	303.44	60.39	336.79	223.41	264.03	113.56	242.88	295.11	159.9	208.38	87.03	85.82	237.86	137.14	64.34	291.04	55.1	303.44	273.37	80.57	248.0	265.87	76.71	14.35	27.44	32.59	25.54	46.84	45.85	29.7	43.02	20.86	8.85	49.56	5.23	45.85	76.71	45.21	24.11	27.25	21.47	28.86	33.3	72.52	35.5	38.67	42.71	46.18	19.39	25.17	16.63	37.59	53.95	15.34	53.95	12.64	9.48	42.11	23.59	11.55	32.36	13.32	16.15	25.35	18.03	29.91	24.46	25.91	35.0	21.78	47.5	16.27	23.42	44.25
SAMD1	88.88	974.5	860.08	1159.07	743.43	819.3	1081.39	884.29	629.35	934.76	961.07	607.87	967.76	723.08	753.83	638.15	947.83	1216.75	688.78	775.05	733.19	748.61	775.05	647.07	660.68	995.0	748.61	1216.75	866.07	759.08	848.22	981.29	842.36	182.55	567.1	547.75	412.0	289.02	483.38	320.8	518.15	138.1	547.75	343.89	320.8	295.11	447.82	486.75	591.22	426.57	429.54	490.14	366.09	460.44	289.02	463.65	567.1	444.72	343.89	460.44	193.01	656.11	435.55	309.83	417.77	329.84	629.35	473.41	291.04	368.65	289.02	325.29	500.46	476.71	361.04	633.73	387.02	368.65	656.11	420.68	483.38	457.25	547.75	514.56
SEMA4C	149.12	759.08	1096.5	941.27	547.75	718.08	743.43	1111.82	647.07	733.19	842.36	476.71	1030.12	728.11	1037.29	500.46	836.53	921.88	624.99	703.28	507.46	432.53	1073.91	575.03	595.34	981.29	514.56	624.99	1286.18	718.08	713.11	1175.27	595.34	172.65	283.05	236.21	262.2	232.94	236.21	267.73	395.18	223.41	289.02	587.13	148.09	366.09	414.87	351.14	197.09	295.11	283.05	289.02	314.17	400.71	392.44	403.5	387.02	248.0	260.38	229.72	158.79	224.97	470.14	264.03	307.69	147.06	152.28	249.73	269.6	293.07	486.75	450.94	198.47	132.44	166.73	339.14	269.6	190.34	366.09	366.09	312.0	376.41	193.01	241.19
SIRT6	71.0	791.35	780.44	842.36	555.41	559.28	703.28	836.53	607.87	555.41	571.05	507.46	547.75	759.08	629.35	559.28	532.74	567.1	543.96	633.73	563.18	638.15	688.78	651.58	540.19	551.56	460.44	607.87	651.58	514.56	579.04	603.67	529.06	244.57	366.09	356.05	420.68	409.15	438.59	329.84	381.68	305.55	248.0	457.25	249.73	397.93	423.61	466.88	358.54	483.38	429.54	447.82	387.02	412.0	466.88	346.29	400.71	381.68	397.93	343.89	327.56	429.54	432.53	363.56	336.79	273.37	470.14	384.34	412.0	361.04	291.04	316.37	346.29	403.5	389.72	503.95	435.55	486.75	435.55	307.69	432.53	332.14	325.29	441.64
SLC39A13	138.1	1183.45	1407.55	1304.15	1081.39	1096.5	1225.22	1651.0	1015.93	1096.5	961.07	921.88	1175.27	1508.65	1277.29	1051.79	1081.39	1388.16	1216.75	1242.34	1417.35	1051.79	1457.23	1417.35	1066.48	1286.18	819.3	1883.54	1304.15	947.83	1167.14	1340.84	981.29	470.14	684.02	651.58	909.17	1259.69	1191.69	896.64	780.44	529.06	896.64	1225.22	511.0	1051.79	941.27	1066.48	1073.91	1111.82	1233.75	988.12	981.29	813.63	884.29	974.5	703.28	947.83	842.36	921.88	483.38	1159.07	995.0	1159.07	848.22	551.56	1259.69	1104.13	974.5	988.12	1023.0	909.17	1159.07	1175.27	934.76	921.88	921.88	961.07	995.0	796.86	974.5	866.07	884.29	988.12
SREBF1	3874.05	2163.77	6607.01	3395.89	2701.35	2645.74	1936.53	5219.6	2400.97	2701.35	2240.11	1233.75	3690.52	4328.55	3103.19	1639.59	3060.45	2835.7	2163.77	3564.78	4512.4	1977.24	4802.93	2777.33	2178.83	3146.52	2018.8	4038.61	6652.97	1369.04	1991.0	2895.31	1883.54	624.99	703.28	748.61	547.75	1208.34	1427.22	684.02	819.3	507.46	1757.34	1001.93	202.66	1044.52	1225.22	1551.09	1059.11	1127.35	679.29	1225.22	854.13	1551.09	642.59	1268.46	830.75	1378.57	1066.48	988.12	624.99	1208.34	1111.82	947.83	703.28	753.83	511.0	1572.76	1331.57	1059.11	1143.1	1119.56	669.92	743.43	909.17	802.41	934.76	674.59	1745.2	1008.9	981.29	1037.29	1467.37	559.28
SSBP4	189.02	3540.14	2739.08	3303.0	1977.24	1806.78	2796.65	2701.35	2573.36	2075.59	2520.38	1977.24	2271.4	2935.74	2777.33	1551.09	2451.44	2335.28	2178.83	1909.85	2224.63	2018.8	2915.45	2061.24	1936.53	2502.97	1923.14	2573.36	2976.74	2303.12	2400.97	1794.29	2133.97	363.56	896.64	981.29	785.88	775.05	825.0	1001.93	1216.75	454.09	928.3	1819.35	438.59	860.08	1331.57	1096.5	860.08	866.07	890.44	1250.98	842.36	1457.23	1277.29	1407.55	1015.93	1081.39	1127.35	860.08	457.25	1242.34	1628.26	854.13	1073.91	660.68	1030.12	878.17	848.22	842.36	1216.75	842.36	620.67	802.41	934.76	1037.29	684.02	902.89	1250.98	954.43	1313.23	1127.35	902.89	1369.04
SSH3	125.24	1529.73	1417.35	1378.57	947.83	1127.35	1313.23	1529.73	1001.93	1561.89	1369.04	915.51	1268.46	1286.18	1388.16	1008.9	1183.45	1397.83	1037.29	1175.27	1216.75	890.44	1268.46	1216.75	1081.39	1331.57	921.88	1407.55	1233.75	1044.52	1151.06	1208.34	1001.93	603.67	567.1	547.75	830.75	848.22	733.19	567.1	420.68	551.56	981.29	698.41	305.55	612.11	723.08	872.1	591.22	493.56	633.73	738.29	633.73	842.36	928.3	470.14	842.36	665.29	642.59	595.34	368.65	1001.93	743.43	674.59	551.56	483.38	633.73	629.35	808.0	825.0	713.11	669.92	642.59	769.69	723.08	775.05	890.44	583.07	825.0	500.46	967.76	665.29	563.18	656.11
STRN4	197.09	1551.09	1519.15	1378.57	1340.84	1216.75	1233.75	1617.0	1104.13	1350.18	1159.07	1277.29	1322.37	1457.23	1447.15	1073.91	1295.13	1331.57	1111.82	1359.57	1208.34	1143.1	1295.13	1331.57	1191.69	1350.18	1001.93	1519.15	1378.57	1183.45	1066.48	1388.16	1175.27	529.06	909.17	759.08	878.17	915.51	947.83	780.44	796.86	547.75	878.17	884.29	674.59	890.44	884.29	1044.52	915.51	1044.52	928.3	954.43	915.51	954.43	743.43	934.76	1008.9	1037.29	902.89	921.88	665.29	872.1	854.13	967.76	872.1	669.92	947.83	836.53	872.1	941.27	1127.35	854.13	848.22	890.44	780.44	1008.9	830.75	954.43	872.1	896.64	1008.9	872.1	921.88	954.43
SYTL1	7.57	2417.67	2520.38	1745.2	890.44	1119.56	1909.85	2591.27	1457.23	1295.13	854.13	1059.11	1096.5	2018.8	1561.89	1225.22	1457.23	1457.23	1295.13	1447.15	1923.14	974.5	2004.85	842.36	748.61	1407.55	559.28	1781.89	1605.83	1001.93	1529.73	1397.83	1286.18	70.01	320.8	297.17	218.79	99.43	339.14	283.05	217.27	90.14	275.28	540.19	187.71	217.27	473.41	312.0	547.75	267.73	353.59	295.11	271.48	403.5	651.58	417.77	312.0	264.03	571.05	273.37	172.65	384.34	438.59	540.19	279.14	341.51	325.29	325.29	186.4	346.29	616.37	297.17	303.44	191.67	146.03	454.09	483.38	111.21	759.08	223.41	426.57	206.94	199.85	231.32
TDRD10	8.78	285.03	256.78	583.07	332.14	536.45	483.38	301.33	232.94	202.66	260.38	253.23	532.74	444.72	420.68	327.56	246.28	353.59	256.78	264.03	312.0	251.48	454.09	412.0	371.22	327.56	155.5	571.05	221.86	329.84	293.07	571.05	297.17	131.51	68.55	69.03	81.14	148.09	105.15	88.88	106.63	78.34	124.37	120.1	90.77	75.11	204.07	126.12	128.79	76.71	76.17	96.01	88.26	153.34	190.34	150.17	120.94	67.59	113.56	103.69	55.1	198.47	112.77	85.82	75.11	99.43	153.34	105.15	59.13	48.18	64.34	127.89	204.07	152.28	96.01	62.56	133.36	68.55	155.5	162.14	133.36	61.25	111.21	176.29
TET3	24.46	87.65	151.22	76.71	74.06	134.3	81.71	119.26	78.89	86.43	97.36	60.82	158.79	99.43	100.13	83.45	89.51	94.67	89.51	111.99	73.03	63.0	138.1	79.45	86.43	82.29	69.03	133.36	133.36	110.43	91.41	126.12	62.56	53.19	47.84	34.26	56.28	61.68	52.08	27.44	25.91	54.72	35.76	48.52	56.28	67.59	40.36	61.25	55.49	85.22	49.91	56.68	53.19	27.64	37.32	43.63	57.89	53.19	26.28	51.35	51.35	46.5	22.59	64.8	51.35	60.39	41.52	63.45	73.03	64.8	66.18	70.51	70.51	28.65	51.71	43.94	76.17	65.72	20.41	30.34	49.21	38.4	42.71	26.47
TG	59.55	402881.61	301123.38	301123.38	654483.73	386469.83	425853.18	400098.69	900270.11	1085552.95	353168.2	1123834.93	280957.98	469249.9	309589.14	687022.54	417089.23	322736.12	565825.41	513497.31	887875.81	985160.01	307450.64	932018.1	1085552.95	408505.64	1147449.11	303217.87	220434.95	1026995.62	623486.02	290865.98	606436.73	682276.92	1364554.84	2068278.89	1452391.55	2247670.86	2126426.15	1751305.3	2375828.71	524287.0	2111737.85	1611529.43	1204496.53	1611529.43	1622738.51	1739208.14	1634025.56	1838374.44	1997825.68	1984025.69	1997825.68	1984025.69	2986448.72	1567462.05	2025714.3	1318073.06	2425749.94	1929772.37	992012.34	1943195.01	1622738.51	1727194.55	1589343.01	1100706.72	2636147.11	2263304.65	1775752.63	2111737.85	1691649.38	1668359.93	1800541.22	3178687.03	3886391.01	1645391.11	1622738.51	2263304.65	2672946.37	1514068.5	1864037.21	1634025.56	1402917.72	1482909.4
TGFB1I1	110.43	1662.49	1709.26	1295.13	1199.98	1685.71	1709.26	1769.57	967.76	1216.75	1286.18	825.0	1030.12	1457.23	1639.59	813.63	1183.45	1447.15	708.18	1540.37	1183.45	703.28	1583.71	974.5	1001.93	1322.37	583.07	1923.14	2163.77	842.36	1397.83	1697.45	854.13	271.48	395.18	607.87	429.54	343.89	454.09	486.75	435.55	251.48	454.09	878.17	346.29	543.96	450.94	473.41	460.44	293.07	297.17	571.05	432.53	563.18	514.56	718.08	444.72	329.84	480.04	368.65	343.89	406.31	497.0	320.8	473.41	366.09	293.07	285.03	339.14	397.93	497.0	346.29	281.09	327.56	236.21	567.1	334.46	277.2	656.11	575.03	529.06	480.04	295.11	575.03
TMC6	96.68	3168.41	3124.78	2591.27	1216.75	1427.22	2193.99	2739.08	884.29	1015.93	1870.53	872.1	2956.17	1991.0	3257.52	1427.22	3060.45	2720.15	2163.77	1819.35	1617.0	713.11	3325.99	1073.91	1073.91	2915.45	808.0	1781.89	2758.13	1721.16	1883.54	2502.97	1051.79	85.82	262.2	246.28	114.36	164.42	246.28	180.02	239.52	115.16	191.67	429.54	36.53	285.03	384.34	194.36	167.9	403.5	273.37	291.04	185.11	624.99	195.72	353.59	371.22	169.07	387.02	334.46	127.0	525.39	279.14	237.86	403.5	137.14	157.68	371.22	142.01	127.89	234.57	389.72	46.84	94.01	113.56	186.4	142.01	157.68	307.69	185.11	366.09	133.36	176.29	351.14
TMC7	2.32	35.0	70.01	39.79	29.48	59.55	27.44	53.19	48.87	23.08	21.01	21.94	19.97	39.22	34.75	33.06	39.5	32.13	25.72	48.52	37.05	26.47	47.5	51.35	41.22	44.89	33.3	33.54	41.52	49.91	25.54	40.07	30.34	9.27	6.41	19.97	12.27	6.78	12.09	19.53	37.59	17.13	2.89	26.86	12.83	14.89	38.67	9.13	14.24	5.68	8.32	10.79	10.55	13.32	9.56	18.29	14.89	4.86	6.84	7.34	6.06	24.46	16.03	8.0	19.39	16.15	12.09	11.73	4.66	11.13	27.25	7.0	8.38	5.96	10.71	17.0	12.36	8.51	8.25	12.27	18.03	12.83	9.93	30.34
TMEM173	226.54	5366.37	3716.2	4210.15	1991.0	2133.97	2935.74	3768.09	1397.83	1304.15	1378.57	1378.57	1857.6	3847.29	6561.36	3212.66	3716.2	2335.28	2502.97	3716.2	1857.6	1477.58	4736.79	1794.29	1721.16	3280.18	1143.1	3280.18	4010.71	1617.0	2451.44	3081.75	2178.83	368.65	371.22	825.0	423.61	647.07	540.19	483.38	571.05	559.28	107.38	525.39	341.51	612.11	1081.39	429.54	633.73	376.41	381.68	902.89	497.0	967.76	607.87	981.29	624.99	320.8	665.29	470.14	264.03	595.34	1417.35	325.29	928.3	493.56	186.4	587.13	493.56	384.34	476.71	961.07	209.84	267.73	403.5	884.29	423.61	432.53	591.22	152.28	860.08	480.04	490.14	825.0
TMEM234	88.26	830.75	1191.69	1001.93	791.35	1059.11	1030.12	1111.82	1167.14	1277.29	934.76	1001.93	1167.14	1216.75	1037.29	842.36	854.13	813.63	718.08	764.36	928.3	1030.12	1199.98	1143.1	954.43	988.12	915.51	759.08	1088.92	1030.12	854.13	884.29	981.29	633.73	441.64	450.94	497.0	854.13	884.29	599.49	400.71	693.58	813.63	947.83	406.31	521.76	693.58	967.76	511.0	665.29	651.58	679.29	612.11	547.75	718.08	575.03	414.87	409.15	713.11	521.76	540.19	915.51	616.37	688.78	759.08	603.67	547.75	525.39	633.73	532.74	703.28	511.0	665.29	470.14	909.17	441.64	684.02	454.09	674.59	551.56	759.08	493.56	638.15	642.59
TNKS1BP1	1199.98	3018.3	2895.31	3419.52	3280.18	3794.3	3467.27	3716.2	2468.49	2645.74	2451.44	2255.7	2816.11	3060.45	3515.68	2537.92	2271.4	3419.52	2417.67	3124.78	3212.66	2502.97	3018.3	4298.64	3168.41	2627.46	3081.75	3419.52	3820.7	3235.01	2956.17	3018.3	2997.45	1233.75	2018.8	1508.65	1697.45	2816.11	2451.44	1437.15	1378.57	1628.26	1794.29	1709.26	1088.92	2591.27	1233.75	2609.3	2351.53	1819.35	2367.9	2502.97	2104.58	1540.37	1540.37	1628.26	1519.15	1651.0	1685.71	1844.76	1407.55	3212.66	1350.18	2209.26	1304.15	1963.57	2255.7	1844.76	2609.3	2451.44	1950.0	2451.44	1340.84	1896.65	2502.97	2104.58	1870.53	1832.01	1936.53	1963.57	2148.82	1662.49	1950.0	2004.85
