	GTEX.WFON.1426.SM.4LVMT	GTEX.U3ZH.1326.SM.4DXSF	GTEX.13G51.2126.SM.5IJD9	GTEX.139TS.2226.SM.5J2N1	GTEX.ZPU1.1726.SM.4WWFV	GTEX.ZYFG.1826.SM.5GZWX	GTEX.Y9LG.1526.SM.4WWDR	GTEX.R55G.1226.SM.48FDC	GTEX.1212Z.1826.SM.5FQSH	GTEX.WYVS.1126.SM.4SOJX	GTEX.11ZTT.1626.SM.5EQKR	GTEX.117XS.2226.SM.5GIE1	GTEX.13CF2.1826.SM.5N9GK	GTEX.OXRL.1426.SM.3NM9E	GTEX.ZYFC.2626.SM.5NQ6S	GTEX.WHPG.1626.SM.4M1ZL	GTEX.X15G.1526.SM.4PQZM	GTEX.P4PP.1426.SM.3NM9L	GTEX.13111.1926.SM.5GCOL	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.147JS.2626.SM.5S2UX	GTEX.1122O.1526.SM.5N9CL	GTEX.OHPM.1426.SM.3TW8Y	GTEX.1399U.2226.SM.5KLZI	GTEX.XPVG.1826.SM.4B64X	GTEX.11DXZ.1726.SM.5H12M	GTEX.11P81.1126.SM.5GU5G	GTEX.11GS4.1826.SM.5HL4T	GTEX.139UW.2326.SM.5KM1Y	GTEX.14DAR.1526.SM.5RQIX	GTEX.13QBU.2026.SM.5KLZB	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZT9W.1726.SM.51MS3	GTEX.ZVT2.1726.SM.51MRO	GTEX.11GSP.1626.SM.5986N	GTEX.12ZZX.2726.SM.5N9FT	GTEX.ZDTS.2726.SM.5L3E2	GTEX.PX3G.1426.SM.48U1J	GTEX.132NY.2726.SM.5PNY2	GTEX.QEL4.1926.SM.4R1JI	GTEX.ZPCL.1626.SM.57WGC	GTEX.O5YW.1426.SM.3MJHF	GTEX.12WSJ.0826.SM.5PNWV	GTEX.1212Z.2026.SM.5N9EA	TCGA.KM.8438.01A.11R.2315.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9NI.01A.11R.A41O.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.ZUA1.2826.SM.59HLE	GTEX.Y9LG.1826.SM.4VBQC	GTEX.13CF2.2426.SM.5LZYL	GTEX.Y5V6.1326.SM.4VDTF	TCGA.BJ.A291.01A.11R.A16R.07
TRPM7	217.27	381.68	234.57	190.34	281.09	281.09	283.05	346.29	283.05	318.57	255.0	217.27	248.0	289.02	346.29	287.01	166.73	339.14	234.57	267.73	279.14	256.78	358.54	332.14	110.43	256.78	318.57	341.51	249.73	159.9	312.0	256.78	239.52	237.86	234.57	220.32	166.73	117.6	316.37	172.65	400.71	194.36	332.14	107.38	133.36	234.57	52.45	85.22	46.84	120.1	72.01	157.68	98.04	99.43	151.22	130.6	234.57	199.85	269.6	126.12	120.1	126.12
TSSK4	30.12	61.68	28.86	24.63	53.95	49.56	96.01	26.86	22.26	44.89	53.95	7.69	33.54	35.5	69.03	25.17	38.95	60.39	75.64	41.52	47.5	31.22	55.1	35.5	18.29	80.57	87.03	47.5	27.44	11.47	56.28	47.17	52.45	21.94	16.75	42.11	22.59	9.78	62.12	32.13	47.84	5.63	44.57	15.22	23.76	14.03	0.82	1.14	3.82	20.71	10.24	11.47	10.39	2.68	7.82	10.0	16.88	5.96	20.71	3.08	6.67	18.97
UBE4A	242.88	521.76	248.0	248.0	371.22	368.65	312.0	392.44	275.28	392.44	389.72	236.21	249.73	384.34	273.37	358.54	220.32	466.88	567.1	267.73	387.02	269.6	466.88	346.29	223.41	260.38	454.09	463.65	256.78	180.02	339.14	336.79	325.29	251.48	232.94	186.4	182.55	175.07	392.44	237.86	395.18	244.57	397.93	100.83	177.53	239.52	91.41	141.02	163.28	153.34	88.88	208.38	144.01	115.97	115.16	148.09	256.78	234.57	470.14	173.85	176.29	185.11
UBR2	312.0	435.55	299.25	221.86	260.38	397.93	299.25	379.04	316.37	486.75	343.89	297.17	269.6	316.37	351.14	303.44	229.72	441.64	406.31	376.41	412.0	249.73	500.46	353.59	158.79	293.07	387.02	417.77	299.25	316.37	381.68	457.25	381.68	251.48	295.11	283.05	287.01	156.59	320.8	258.57	353.59	195.72	450.94	115.16	204.07	137.14	52.45	92.05	121.79	162.14	108.14	202.66	127.0	132.44	154.42	177.53	181.28	154.42	343.89	164.42	191.67	183.82
USP42	71.5	157.68	106.63	92.05	144.01	171.45	105.15	107.38	118.43	142.01	129.69	116.78	92.05	134.3	133.36	126.12	80.01	117.6	151.22	63.0	102.25	155.5	117.6	113.56	83.45	85.82	116.78	159.9	116.78	120.1	111.99	102.97	87.65	100.13	108.14	91.41	128.79	69.52	163.28	90.14	120.94	115.16	125.24	49.91	89.51	108.14	28.65	46.84	38.67	77.25	52.45	85.82	90.77	84.63	102.25	104.42	67.59	98.73	96.01	66.18	112.77	68.07
XPO4	49.21	176.29	99.43	55.89	122.64	138.1	109.66	63.0	120.1	159.9	149.12	72.52	102.25	141.02	150.17	149.12	98.73	121.79	214.27	59.13	73.54	84.04	72.01	59.97	46.18	99.43	84.63	158.79	99.43	68.07	103.69	176.29	94.01	55.1	80.01	71.5	59.55	43.63	134.3	85.22	111.99	52.08	123.5	37.05	51.71	65.72	42.41	34.02	37.32	39.79	39.5	52.82	46.84	43.02	49.91	49.21	63.45	62.56	142.01	470.14	66.18	47.5
XRN1	115.16	264.03	138.1	96.01	186.4	181.28	161.02	157.68	141.02	214.27	173.85	156.59	141.02	147.06	212.78	178.77	82.87	285.03	275.28	194.36	251.48	132.44	348.71	142.01	69.52	116.78	256.78	253.23	122.64	190.34	208.38	285.03	190.34	120.1	132.44	162.14	105.89	97.36	202.66	102.25	206.94	100.13	246.28	31.9	69.52	100.83	81.71	65.26	43.02	65.26	39.79	120.1	59.13	74.58	101.54	90.77	143.01	113.56	248.0	102.97	120.94	61.68
ZBED6	10.31	94.01	33.54	36.53	76.71	57.49	30.34	33.54	41.22	102.25	66.18	75.64	23.76	17.64	55.49	29.91	18.97	61.68	58.71	27.25	44.57	97.36	54.33	53.19	9.93	41.22	43.94	114.36	26.1	25.17	41.81	58.71	24.81	2.36	2.76	67.12	33.06	20.86	87.03	31.67	90.77	21.16	132.44	9.27	23.76	17.38	0.4	4.1	6.67	2.92	1.83	12.64	2.1	1.1	3.79	7.57	30.34	4.82	68.55	26.1	17.51	24.81
ZNF852	31.67	67.12	34.02	29.27	53.95	62.12	49.56	32.59	55.89	53.19	56.28	37.85	55.49	27.64	74.06	29.91	25.17	53.19	45.53	33.06	19.39	31.45	37.85	37.85	27.05	49.21	78.89	50.98	31.67	39.79	49.21	44.25	43.02	20.11	32.36	51.71	38.12	16.75	55.89	29.7	85.82	22.43	74.06	28.04	28.45	26.28	14.24	24.81	11.04	17.9	19.82	18.97	15.91	24.63	27.84	22.26	53.19	40.07	52.45	13.03	36.27	12.83
ZSCAN29	166.73	291.04	164.42	149.12	332.14	260.38	205.5	232.94	163.28	305.55	277.2	140.04	198.47	208.38	202.66	237.86	154.42	264.03	265.87	182.55	241.19	173.85	287.01	208.38	131.51	320.8	283.05	242.88	142.01	115.97	234.57	209.84	212.78	176.29	223.41	139.07	141.02	110.43	312.0	121.79	279.14	158.79	275.28	67.12	105.89	139.07	15.45	77.79	41.22	69.03	59.97	134.3	82.29	92.7	102.97	100.13	132.44	104.42	178.77	67.12	195.72	105.89
