	TCGA.XF.A8HG.01A.11R.A36F.07	GTEX.14BMV.2426.SM.5S2PP	GTEX.XBEW.1926.SM.4SOJO	TCGA.KM.8477.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.BP.5178.01A.01R.1426.07	TCGA.CJ.4901.01A.01R.1426.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.BP.4989.01A.01R.1334.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.BQ.5889.01A.11R.1592.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.DD.A39Z.11A.21R.A213.07	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.145LU.1326.SM.5LU9N	GTEX.SJXC.1226.SM.4DM78	GTEX.13QJC.0726.SM.5RQJK	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.HC.A9TE.01A.11R.A41O.07	TCGA.KK.A59Z.01A.12R.A26U.07	TCGA.BR.4187.01A.01R.1131.13	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.BR.6563.01A.13R.2055.13	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	TCGA.EL.A3H5.01A.11R.A206.07	GTEX.Y3I4.0226.SM.4TT27	GTEX.111VG.0526.SM.5N9BW
OLFML3	57.89	2627.46	555.41	134.3	193.01	56.28	2047.0	143.01	220.32	860.08	297.17	1963.57	708.18	555.41	1023.0	518.15	718.08	140.04	1977.24	490.14	221.86	1191.69	137.14	575.03	194.36	137.14	698.41	10.88	19.11	438.59	339.14	217.27	115.16	1096.5	1605.83	928.3	101.54	84.04	723.08	738.29	825.0	1030.12	3467.27	1208.34	1936.53	1551.09	532.74	2451.44	356.05	1001.93
PALD1	13.32	111.21	61.25	55.1	18.03	32.59	183.82	57.08	118.43	57.89	105.15	246.28	332.14	297.17	267.73	381.68	435.55	18.97	450.94	76.71	27.44	78.34	123.5	417.77	65.26	144.01	42.41	9.78	26.86	19.97	7.57	14.24	8.85	63.0	20.56	10.88	17.64	0.45	14.03	5.11	104.42	71.5	144.01	334.46	232.94	177.53	84.63	164.42	264.03	183.82
PCDHGC3	10.0	967.76	177.53	44.89	43.94	46.84	50.27	49.21	69.03	61.25	104.42	525.39	435.55	575.03	303.44	297.17	791.35	12.09	595.34	209.84	115.16	293.07	231.32	323.03	392.44	251.48	148.09	7.94	94.01	64.8	41.52	4.39	10.79	303.44	165.57	93.35	13.93	65.26	81.14	59.13	241.19	381.68	884.29	327.56	503.95	753.83	236.21	684.02	119.26	361.04
PIK3R5	11.82	77.79	157.68	26.47	2.05	3.03	58.3	35.76	11.73	7.11	13.83	193.01	297.17	123.5	457.25	363.56	195.72	5.92	165.57	12.64	17.64	47.84	193.01	239.52	86.43	87.65	11.3	6.41	11.13	16.27	36.79	22.43	18.43	139.07	57.89	39.79	39.5	51.71	37.32	20.71	82.87	49.21	126.12	271.48	198.47	173.85	70.01	76.17	27.84	279.14
PILRA	21.78	111.99	100.83	109.66	19.97	17.64	239.52	164.42	205.5	59.97	40.64	769.69	780.44	460.44	1008.9	775.05	414.87	76.71	490.14	105.15	127.0	187.71	748.61	521.76	343.89	215.77	95.34	51.35	80.01	23.25	127.0	139.07	105.15	162.14	104.42	119.26	82.87	231.32	454.09	98.04	361.04	269.6	1167.14	195.72	587.13	118.43	45.21	289.02	86.43	181.28
PLEK	21.63	591.22	224.97	67.12	4.46	6.41	185.11	81.14	19.11	50.98	87.03	215.77	1135.2	253.23	1143.1	842.36	551.56	10.88	429.54	41.52	82.87	285.03	460.44	555.41	264.03	186.4	22.59	13.03	48.18	48.52	138.1	114.36	88.88	583.07	198.47	107.38	73.03	109.66	159.9	59.97	239.52	151.22	612.11	825.0	397.93	121.79	83.45	248.0	115.16	743.43
PLEKHO1	139.07	3168.41	1051.79	248.0	95.34	78.89	674.59	346.29	295.11	423.61	684.02	1159.07	2976.74	1322.37	2119.22	2573.36	1674.06	76.17	2573.36	384.34	264.03	426.57	1167.14	5112.16	988.12	525.39	147.06	63.45	80.57	264.03	202.66	299.25	180.02	1119.56	329.84	327.56	206.94	231.32	450.94	134.3	1963.57	1583.71	2319.15	6745.86	2240.11	2875.3	775.05	902.89	728.11	3467.27
PLXDC2	29.91	1059.11	59.13	74.06	105.15	62.12	381.68	101.54	209.84	246.28	79.45	417.77	571.05	532.74	638.15	607.87	603.67	112.77	366.09	258.57	255.0	738.29	457.25	656.11	423.61	412.0	215.77	7.0	10.39	28.65	17.51	8.45	7.69	87.65	55.89	42.41	36.27	11.21	64.8	21.63	244.57	180.02	1151.06	217.27	684.02	642.59	273.37	995.0	191.67	275.28
PLXNC1	11.38	90.77	87.65	24.28	61.25	32.82	226.54	75.11	99.43	51.35	12.0	197.09	312.0	66.18	255.0	181.28	187.71	6.62	129.69	77.25	33.54	178.77	155.5	130.6	75.64	110.43	38.12	7.17	156.59	8.19	12.45	8.78	19.25	35.0	21.47	9.56	11.55	21.63	7.63	40.93	65.26	40.36	318.57	176.29	166.73	108.9	67.12	417.77	19.82	780.44
PREX1	269.6	414.87	368.65	193.01	96.68	66.18	297.17	155.5	206.94	147.06	148.09	633.73	842.36	785.88	785.88	575.03	684.02	76.71	547.75	242.88	164.42	260.38	329.84	915.51	258.57	220.32	172.65	16.03	73.03	62.12	63.89	79.45	59.97	265.87	129.69	44.89	120.94	90.14	78.34	37.32	480.04	169.07	463.65	450.94	536.45	363.56	346.29	476.71	551.56	476.71
PTAFR	38.67	127.89	73.03	36.53	18.03	15.22	90.14	44.25	23.93	65.72	67.12	244.57	343.89	98.73	249.73	283.05	237.86	5.82	127.89	71.5	48.52	148.09	228.13	389.72	122.64	97.36	14.35	5.96	4.35	8.32	15.11	9.56	9.41	136.19	7.11	6.31	35.25	14.45	17.64	8.65	78.89	42.71	279.14	151.22	258.57	72.01	108.9	163.28	23.25	170.25
PTGS1	7.94	571.05	316.37	48.52	7.88	53.19	273.37	70.01	387.02	314.17	72.52	381.68	1950.0	309.83	190.34	656.11	329.84	7.63	1096.5	128.79	327.56	226.54	170.25	118.43	50.63	87.03	314.17	3.79	2.63	7.28	7.22	30.12	10.47	130.6	12.55	13.42	3.14	12.74	59.13	14.89	438.59	162.14	518.15	414.87	307.69	1467.37	237.86	113.56	40.64	180.02
RASSF2	87.65	251.48	130.6	49.56	12.55	9.78	68.07	35.0	14.67	19.25	127.0	414.87	493.56	237.86	500.46	271.48	480.04	6.67	543.96	55.49	50.63	150.17	129.69	248.0	91.41	77.79	29.27	7.22	14.78	20.41	17.25	11.04	17.51	115.16	58.71	23.76	29.91	34.75	22.43	22.92	157.68	249.73	450.94	669.92	373.81	258.57	77.25	182.55	83.45	301.33
RFTN2	10.55	131.51	18.97	20.86	35.5	19.68	46.18	15.56	73.03	37.32	87.03	45.85	70.01	142.01	58.71	118.43	62.12	95.34	64.8	16.03	31.67	53.57	24.81	37.05	22.75	26.28	48.52	3.53	20.11	12.93	9.34	34.02	7.28	75.64	37.85	13.83	10.31	8.06	38.12	46.5	74.06	49.21	144.01	55.1	94.01	84.04	52.82	158.79	49.91	75.11
RGS18	2.76	76.71	46.84	8.45	0.4	2.1	34.02	7.51	6.78	10.55	13.32	113.56	181.28	74.06	172.65	67.59	121.79	8.38	96.68	6.52	19.11	199.85	74.06	115.16	32.82	37.85	5.28	2.94	1.83	14.03	29.48	41.52	8.51	85.82	53.19	30.78	9.48	26.47	28.04	15.11	32.59	15.45	271.48	45.21	83.45	113.56	35.25	60.82	21.01	74.58
RHOG	872.1	1896.65	1208.34	848.22	748.61	438.59	1583.71	1551.09	466.88	555.41	941.27	2240.11	2816.11	1844.76	2119.22	1745.2	2018.8	884.29	1950.0	780.44	743.43	947.83	1498.22	4239.45	1572.76	1127.35	633.73	583.07	884.29	629.35	559.28	493.56	483.38	981.29	414.87	483.38	1277.29	1088.92	612.11	420.68	1447.15	1199.98	2255.7	2875.3	2520.38	2240.11	1909.85	1397.83	669.92	1268.46
RHOJ	10.63	612.11	81.14	53.19	70.01	35.76	191.67	73.03	106.63	135.24	285.03	232.94	366.09	633.73	249.73	371.22	543.96	27.44	476.71	98.73	118.43	143.01	37.85	171.45	70.51	47.5	166.73	23.08	28.04	20.71	15.91	12.0	11.3	97.36	25.17	14.78	13.42	9.78	28.24	19.53	180.02	221.86	540.19	417.77	301.33	346.29	173.85	438.59	285.03	379.04
RIMBP3C	0.39	3.5	5.11	0.88	1.19	2.07	3.26	0.47	0.0	0.0	2.86	2.97	5.96	2.29	12.09	8.78	8.38	0.0	2.25	0.0	1.66	2.81	1.93	5.32	2.68	3.32	0.4	0.39	0.8	0.54	5.23	0.77	0.75	0.0	0.85	1.75	0.0	0.0	0.0	0.78	4.78	5.32	0.0	5.96	3.32	2.81	2.56	2.86	0.0	6.46
RIN3	81.14	432.53	392.44	76.17	38.95	45.85	138.1	111.21	120.94	142.01	49.56	563.18	638.15	525.39	511.0	343.89	397.93	22.43	420.68	146.03	81.71	169.07	275.28	954.43	205.5	295.11	87.65	170.25	264.03	314.17	435.55	267.73	563.18	587.13	514.56	432.53	480.04	361.04	327.56	334.46	154.42	164.42	587.13	836.53	603.67	571.05	291.04	262.2	201.25	353.59
RNASE6	105.15	497.0	507.46	125.24	9.63	30.34	733.19	170.25	77.25	140.04	28.45	1594.73	1199.98	612.11	1088.92	426.57	660.68	90.77	674.59	153.34	212.78	1233.75	764.36	967.76	438.59	743.43	52.08	20.11	26.28	43.02	30.12	79.45	16.39	214.27	47.84	62.12	190.34	23.59	82.29	68.55	429.54	193.01	2061.24	2178.83	1397.83	825.0	473.41	314.17	136.19	320.8
RP2	126.12	262.2	142.01	103.69	100.83	120.94	199.85	120.94	178.77	117.6	108.14	273.37	353.59	209.84	265.87	214.27	325.29	171.45	332.14	167.9	156.59	334.46	182.55	175.07	148.09	143.01	123.5	31.67	135.24	92.7	39.5	92.05	127.89	132.44	143.01	50.98	195.72	152.28	118.43	120.94	198.47	113.56	293.07	158.79	239.52	212.78	121.79	135.24	88.26	181.28
SCG2	2.36	1529.73	95.34	4.1	5.28	1.31	2.43	14.35	0.0	1.23	9.41	269.6	31.9	29.06	73.03	199.85	33.3	0.42	120.1	38.4	2.97	12.64	3.2	33.06	23.93	9.7	9.06	0.0	0.72	0.79	0.0	0.0	6.89	0.0	3.86	0.0	0.04	9.85	1.93	16.75	82.87	15.8	189.02	256.78	112.77	348.71	17.25	93.35	40.36	10.55
SELPLG	27.44	305.55	178.77	133.36	4.78	22.92	305.55	131.51	36.53	52.82	45.21	656.11	1111.82	620.67	878.17	624.99	748.61	40.36	470.14	111.99	111.21	358.54	599.49	1015.93	441.64	255.0	30.78	12.18	25.54	47.84	48.18	48.52	40.64	262.2	66.65	28.04	59.55	97.36	38.95	31.67	358.54	161.02	441.64	532.74	769.69	283.05	251.48	426.57	69.03	587.13
SFT2D2	117.6	239.52	190.34	91.41	94.01	131.51	111.21	112.77	195.72	128.79	105.15	312.0	256.78	228.13	412.0	363.56	423.61	55.1	202.66	223.41	241.19	255.0	234.57	251.48	208.38	260.38	190.34	208.38	291.04	161.02	132.44	123.5	220.32	186.4	129.69	143.01	256.78	123.5	118.43	105.89	231.32	149.12	457.25	332.14	363.56	189.02	214.27	226.54	180.02	221.86
SIGLEC10	14.56	60.82	218.79	40.36	1.55	7.06	135.24	51.35	7.63	13.72	7.57	403.5	583.07	193.01	307.69	156.59	295.11	12.64	435.55	16.27	9.7	80.57	100.83	441.64	61.25	87.03	2.86	2.32	1.31	14.56	11.38	15.91	9.78	88.88	7.88	25.91	93.35	21.78	21.16	18.43	102.97	42.71	387.02	872.1	273.37	198.47	53.19	63.89	77.25	82.87
SIGLEC5	3.96	15.68	14.78	0.0	0.4	0.0	19.82	7.11	7.82	4.86	18.16	18.84	15.34	16.27	21.01	17.77	19.68	0.0	5.45	2.07	8.38	13.03	20.26	27.25	4.5	8.65	4.1	0.36	1.53	0.6	5.82	9.27	2.68	22.75	8.85	2.68	4.13	0.0	0.0	2.18	4.28	3.23	67.59	42.71	59.97	22.43	17.25	22.75	6.36	33.06
SIGLEC7	8.65	21.94	28.24	15.68	1.6	2.12	53.19	31.45	5.82	2.86	13.93	172.65	211.31	70.51	214.27	167.9	94.67	7.75	108.9	17.0	59.13	44.89	190.34	108.9	78.34	72.52	12.74	5.87	14.24	37.05	30.12	43.32	38.67	204.07	63.45	69.03	56.28	22.75	135.24	62.56	40.64	29.27	199.85	53.95	74.58	48.18	14.24	49.21	13.72	38.12
SIGLEC9	13.32	36.27	47.84	21.78	2.46	1.31	58.71	38.4	4.31	5.82	16.27	166.73	156.59	65.26	214.27	148.09	110.43	3.17	117.6	12.55	16.63	55.49	129.69	236.21	60.82	35.5	8.32	1.48	3.56	13.32	4.28	10.71	26.28	129.69	43.94	13.42	71.5	23.25	31.67	17.38	51.71	30.34	104.42	42.41	105.89	45.53	27.05	54.33	22.92	41.81
SIRPB2	11.47	27.64	38.4	20.86	2.05	3.44	36.53	26.47	8.71	3.66	10.47	102.97	161.02	62.56	150.17	212.78	127.0	0.82	94.67	10.88	17.9	49.91	63.0	93.35	31.22	33.54	2.53	0.68	4.78	2.34	9.63	9.93	4.31	37.05	2.53	9.78	18.7	9.78	11.64	3.2	41.81	8.99	218.79	50.63	84.04	60.39	17.25	87.03	26.67	80.01
SLA	400.71	131.51	249.73	49.91	41.81	9.06	118.43	62.56	82.29	46.18	52.82	947.83	693.58	318.57	1295.13	493.56	373.81	23.93	346.29	80.01	63.0	353.59	231.32	896.64	177.53	279.14	35.0	10.24	32.59	29.91	39.5	88.26	20.41	115.97	95.34	88.26	187.71	327.56	47.84	31.67	169.07	84.04	529.06	1127.35	674.59	412.0	199.85	493.56	629.35	435.55
SLC1A3	113.56	26.1	41.22	10.39	4.86	3.41	77.79	25.91	5.77	11.73	38.95	305.55	320.8	149.12	656.11	358.54	223.41	7.4	167.9	52.82	37.32	88.26	305.55	187.71	88.26	214.27	12.83	12.83	16.39	8.92	2.2	9.13	13.72	16.88	38.12	3.66	98.04	62.12	2.86	10.47	63.45	78.34	119.26	128.79	191.67	400.71	89.51	111.99	39.22	95.34
SLC35F1	0.0	123.5	15.8	3.11	4.39	2.1	4.7	2.36	6.11	6.73	13.83	6.41	18.29	81.71	8.78	36.01	14.24	1.93	31.22	11.04	6.67	10.55	0.4	2.86	3.14	0.97	13.03	0.0	0.0	1.23	0.88	0.0	0.71	8.92	1.99	0.22	0.0	0.21	0.3	0.24	3.72	13.32	28.65	52.45	17.64	27.05	9.13	21.78	6.11	25.54
SLFN12	7.17	130.6	45.53	29.27	12.55	37.05	29.91	33.54	90.14	76.17	43.32	151.22	223.41	104.42	334.46	190.34	223.41	7.46	139.07	52.08	100.83	146.03	64.34	69.03	46.18	38.12	42.71	2.07	10.55	6.21	1.68	19.68	7.06	56.68	34.26	8.92	4.9	10.39	25.72	9.78	32.82	18.43	177.53	115.97	165.57	88.88	13.22	226.54	144.01	297.17
SMARCAL1	202.66	339.14	185.11	194.36	143.01	167.9	177.53	162.14	253.23	303.44	132.44	343.89	555.41	346.29	320.8	244.57	297.17	56.28	336.79	256.78	307.69	232.94	236.21	249.73	223.41	211.31	253.23	214.27	123.5	105.15	56.68	99.43	120.1	119.26	116.78	173.85	110.43	33.3	158.79	127.89	325.29	253.23	414.87	236.21	264.03	177.53	264.03	237.86	318.57	256.78
SMIM10	66.65	376.41	109.66	20.41	25.91	21.32	112.77	53.57	47.5	106.63	67.59	226.54	183.82	454.09	241.19	441.64	346.29	12.18	417.77	142.01	128.79	154.42	38.67	115.97	105.15	22.43	87.65	5.11	10.55	33.54	25.72	11.64	7.28	69.52	73.03	16.51	25.72	17.51	19.97	20.26	186.4	139.07	285.03	287.01	223.41	297.17	182.55	206.94	209.84	303.44
SOWAHD	14.78	41.81	65.72	8.06	12.83	39.22	38.67	24.11	2.43	23.59	7.46	67.12	72.01	29.7	80.01	47.5	104.42	3.89	80.01	4.98	10.96	12.27	47.17	78.89	49.91	23.93	4.54	1.75	1.95	4.5	0.0	1.75	3.41	18.29	5.02	2.84	2.68	5.54	1.99	3.5	21.32	5.68	24.81	90.14	87.65	17.25	43.94	4.06	2.1	50.27
SPI1	87.65	848.22	620.67	201.25	202.66	87.65	759.08	511.0	39.5	112.77	190.34	1199.98	1896.65	759.08	2104.58	1857.6	1427.22	68.07	1447.15	104.42	182.55	397.93	1447.15	3280.18	1044.52	587.13	71.5	46.5	53.95	124.37	113.56	136.19	73.03	728.11	273.37	73.03	332.14	356.05	264.03	53.57	579.04	429.54	1295.13	1135.2	1529.73	802.41	397.93	669.92	255.0	1757.34
ST8SIA4	7.06	209.84	44.25	28.65	17.64	7.22	69.03	23.25	26.86	10.71	4.86	147.06	283.05	218.79	376.41	176.29	295.11	5.45	189.02	48.87	13.42	73.03	54.72	115.16	31.45	24.99	7.82	6.46	7.46	5.63	43.94	17.9	13.03	74.58	23.42	11.3	17.13	15.11	10.79	5.41	50.98	33.3	152.28	144.01	102.25	93.35	31.22	171.45	36.01	158.79
STK10	133.36	283.05	423.61	119.26	79.45	79.45	193.01	115.97	127.0	89.51	124.37	366.09	802.41	525.39	947.83	884.29	579.04	44.25	674.59	143.01	122.64	186.4	397.93	708.18	267.73	228.13	109.66	50.27	95.34	82.29	156.59	100.13	65.72	323.03	165.57	120.1	157.68	129.69	110.43	87.03	241.19	170.25	293.07	1037.29	559.28	248.0	159.9	287.01	271.48	607.87
TBXAS1	38.12	248.0	303.44	197.09	164.42	108.9	371.22	470.14	67.12	143.01	180.02	1167.14	974.5	532.74	981.29	607.87	780.44	157.68	813.63	158.79	248.0	373.81	698.41	954.43	371.22	412.0	123.5	30.12	49.91	48.18	93.35	84.63	113.56	297.17	78.34	45.53	172.65	63.45	102.25	57.08	251.48	890.44	507.46	241.19	698.41	718.08	191.67	242.88	82.29	224.97
TCF4	22.43	854.13	172.65	137.14	82.29	41.22	206.94	81.14	279.14	127.0	708.18	376.41	571.05	1277.29	454.09	603.67	660.68	19.39	466.88	221.86	152.28	447.82	80.01	224.97	100.83	63.0	249.73	20.71	33.54	40.93	41.22	49.21	22.1	128.79	111.21	33.78	20.56	16.03	78.34	55.1	239.52	256.78	902.89	620.67	603.67	733.19	285.03	974.5	454.09	743.43
THEMIS2	156.59	346.29	532.74	211.31	31.45	56.28	358.54	287.01	74.58	96.68	142.01	1594.73	1216.75	409.15	1023.0	764.36	669.92	35.76	723.08	112.77	82.87	417.77	909.17	1427.22	260.38	579.04	40.64	20.26	62.12	81.71	137.14	86.43	74.06	346.29	249.73	89.51	128.79	128.79	130.6	47.5	269.6	271.48	941.27	312.0	878.17	921.88	214.27	738.29	366.09	1991.0
TLR1	5.15	103.69	64.8	50.27	9.48	14.89	58.3	32.13	55.49	118.43	28.04	129.69	392.44	91.41	295.11	130.6	256.78	3.82	162.14	61.68	122.64	256.78	107.38	162.14	68.55	80.57	139.07	30.56	31.45	49.91	24.81	10.16	25.35	157.68	62.56	50.27	15.34	27.64	53.57	33.78	45.21	58.3	341.51	221.86	115.16	95.34	28.45	67.59	17.38	137.14
TLR2	54.33	27.84	32.36	144.01	144.01	35.5	212.78	70.51	25.17	36.27	71.0	583.07	476.71	134.3	441.64	323.03	392.44	36.79	305.55	38.67	98.04	173.85	189.02	327.56	106.63	157.68	58.71	1.23	96.01	55.89	13.93	15.8	6.26	87.65	21.16	4.43	64.34	134.3	15.68	17.9	58.71	37.59	363.56	96.01	173.85	120.1	31.45	156.59	54.72	351.14
TLR7	3.5	65.72	11.64	18.03	0.39	1.66	55.49	11.64	2.12	16.03	4.46	43.32	109.66	37.05	119.26	46.5	155.5	3.79	72.52	7.63	34.75	80.01	53.19	35.5	22.92	26.86	4.82	0.49	0.56	1.31	2.07	1.87	3.32	9.41	1.99	0.0	1.77	1.81	8.13	3.41	22.92	25.91	161.02	41.81	48.52	11.64	4.5	10.0	3.59	57.08
TLR8	0.41	20.11	12.36	5.32	3.56	0.0	6.11	5.68	1.11	3.86	4.74	44.57	154.42	19.39	69.52	67.59	76.17	1.93	49.21	4.46	11.64	42.41	34.26	49.21	10.71	18.03	1.22	0.55	0.96	0.99	3.17	5.54	6.36	24.28	5.02	3.63	3.44	8.06	3.17	0.0	11.64	5.54	150.17	13.22	27.64	9.48	9.34	19.97	8.51	23.59
TNFAIP8L2	14.56	136.19	197.09	25.17	4.66	8.25	148.09	66.65	7.06	35.25	18.29	193.01	460.44	291.04	486.75	473.41	387.02	22.75	327.56	7.75	50.63	153.34	320.8	583.07	193.01	117.6	10.55	7.69	18.56	45.85	19.97	41.81	43.32	169.07	40.07	28.45	72.01	32.13	52.08	34.02	153.34	39.79	158.79	348.71	204.07	84.63	48.52	182.55	70.51	171.45
TPM4	1639.59	9025.81	3515.68	848.22	642.59	902.89	1819.35	819.3	4239.45	2090.03	4903.87	4903.87	5751.61	5041.77	6935.54	11189.6	5555.65	218.79	5751.61	4419.52	2816.11	5041.77	2104.58	6840.04	2895.31	2591.27	3716.2	214.27	1378.57	500.46	368.65	299.25	384.34	1331.57	1819.35	536.45	825.0	532.74	1721.16	743.43	5672.41	5791.62	15180.22	6607.01	8778.97	8901.53	3928.15	11745.96	1857.6	3467.27
TYROBP	540.19	5076.84	1923.14	1151.06	141.02	271.48	4575.41	2915.45	325.29	1127.35	651.58	12160.22	13306.94	6840.04	20593.91	11909.94	9808.75	1745.2	10585.95	470.14	703.28	4066.71	13033.07	16496.96	7911.95	4512.4	466.88	389.72	503.95	872.1	1023.0	1427.22	684.02	6207.38	1628.26	1519.15	2720.15	1359.57	1832.01	723.08	2875.3	2417.67	11345.82	4152.18	9945.68	6426.31	1583.71	4038.61	796.86	6337.83
VASH1	45.85	212.78	115.16	82.29	114.36	110.43	273.37	119.26	56.28	46.5	61.25	287.01	473.41	403.5	842.36	785.88	802.41	17.38	693.58	89.51	62.56	85.22	195.72	480.04	108.14	186.4	84.04	16.88	33.06	37.32	27.64	35.0	28.45	116.78	34.02	27.05	29.7	4.94	46.84	24.28	156.59	141.02	194.36	181.28	271.48	159.9	130.6	281.09	187.71	470.14
VNN2	0.82	211.31	97.36	32.36	6.52	0.89	19.97	19.11	29.27	55.89	18.03	139.07	780.44	123.5	221.86	256.78	111.21	16.39	101.54	24.46	40.93	158.79	191.67	156.59	53.57	100.13	30.12	5.11	244.57	66.18	19.68	20.56	10.63	129.69	59.13	7.11	8.13	68.07	39.5	32.82	38.12	75.64	366.09	249.73	59.97	127.0	43.32	49.21	26.47	209.84
VOPP1	860.08	1199.98	1259.69	563.18	1594.73	928.3	1044.52	890.44	791.35	947.83	1447.15	1769.57	2255.7	1322.37	2047.0	1447.15	2090.03	764.36	1304.15	1096.5	1498.22	1388.16	1304.15	2485.67	1015.93	1745.2	1175.27	195.72	599.49	351.14	134.3	476.71	444.72	507.46	314.17	205.5	466.88	796.86	329.84	269.6	1519.15	1159.07	1447.15	1081.39	1733.13	1369.04	842.36	1208.34	555.41	1225.22
WAS	29.91	228.13	309.83	66.18	6.52	15.34	186.4	98.04	43.63	43.63	33.06	759.08	921.88	353.59	1037.29	571.05	536.45	9.06	607.87	100.83	55.89	208.38	444.72	1175.27	267.73	269.6	38.12	31.45	36.27	71.5	167.9	100.13	57.89	493.56	157.68	95.34	105.89	154.42	140.04	51.71	299.25	125.24	595.34	1277.29	665.29	231.32	198.47	236.21	70.01	902.89
WDFY4	5.92	74.06	78.89	26.1	4.86	6.84	98.73	26.28	94.67	23.93	10.47	198.47	251.48	74.06	275.28	309.83	150.17	1.97	134.3	11.64	30.78	91.41	242.88	275.28	120.94	73.03	12.0	1.43	2.32	12.64	4.39	17.9	2.94	30.34	68.55	8.0	10.55	12.55	14.67	8.32	96.01	44.25	127.89	500.46	248.0	93.35	55.1	119.26	20.26	301.33
ZKSCAN4	69.03	74.06	115.16	35.25	42.41	39.5	50.63	38.12	63.0	71.0	29.06	41.22	95.34	74.58	117.6	130.6	120.1	15.56	70.01	76.17	77.79	92.7	80.01	59.97	48.18	40.36	69.03	108.9	74.06	35.76	32.59	35.25	46.5	94.01	31.0	37.32	29.7	21.32	53.19	39.5	69.52	70.01	84.63	88.88	73.03	58.3	51.71	108.9	111.99	97.36
