	TCGA.BH.A1EU.01A.11R.A137.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.BP.5178.01A.01R.1426.07	TCGA.A3.A8OV.01A.11R.A37O.07	TCGA.CW.6088.01A.11R.1672.07	TCGA.B0.5812.01A.11R.1672.07	TCGA.BP.5186.01A.01R.1426.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.5694.01A.11R.1541.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.BP.4330.01A.01R.1289.07	TCGA.CZ.4857.01A.01R.1305.07	TCGA.CZ.5987.01A.11R.1672.07	TCGA.B2.A4SR.01A.11R.A266.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.A3.3378.01A.02R.1325.07	TCGA.CZ.5458.01A.01R.1503.07	TCGA.BP.5174.01A.01R.1426.07	TCGA.A3.3347.01A.02R.1325.07	TCGA.B0.4690.01A.01R.1277.07	TCGA.BP.5199.01A.01R.1426.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.4161.01A.02R.1325.07	TCGA.B8.4154.01A.01R.1188.07	TCGA.BP.4169.01A.02R.1289.07	TCGA.B0.4827.01A.02R.1420.07	TCGA.CZ.5459.01A.01R.1503.07	TCGA.CZ.5988.01A.11R.1672.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.MW.A4EC.01A.11R.A266.07	TCGA.BP.4991.01A.01R.1334.07	TCGA.B2.5633.01A.01R.1541.07	TCGA.CJ.4870.01A.01R.1305.07	TCGA.AK.3444.01A.02R.1325.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.3Z.A93Z.01A.11R.A37O.07	TCGA.B8.A7U6.01A.12R.A37O.07	TCGA.B8.4143.01A.01R.1188.07	TCGA.A3.A8OU.01A.11R.A37O.07	TCGA.CJ.6030.01A.11R.1672.07	TCGA.AK.3434.01A.02R.1277.07	TCGA.A3.3387.01A.01R.1541.07	TCGA.CJ.4892.01A.01R.1305.07	TCGA.A3.A8OW.01A.11R.A37O.07	TCGA.AK.3461.01A.02R.1277.07	TCGA.CZ.5460.01A.01R.1503.07	TCGA.BP.5184.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.BP.4327.01A.01R.1289.07	TCGA.B0.5696.01A.11R.1541.07	TCGA.B0.4828.01A.01R.1277.07	TCGA.B0.5110.01A.01R.1420.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.B0.4823.01A.02R.1420.07	TCGA.A3.3376.01A.02R.1420.07	TCGA.AK.3428.01A.02R.1277.07	TCGA.B0.5703.01A.11R.1541.07	TCGA.BP.4354.01A.02R.1289.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.BP.4759.01A.01R.1289.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.DV.5566.01A.01R.1541.07	TCGA.B0.5113.01A.01R.1420.07	TCGA.BP.4353.01A.02R.1289.07	TCGA.BP.4349.01A.01R.1289.07	TCGA.BP.4162.01A.02R.1325.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.B0.5115.01A.01R.1420.07	TCGA.BP.5007.01A.01R.1334.07	TCGA.AK.3455.01A.01R.0864.07	TCGA.B0.4838.01A.01R.1305.07	TCGA.BP.4347.01A.01R.1289.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.B0.4703.01A.01R.1277.07	TCGA.A3.3367.01A.02R.1420.07	TCGA.CJ.4872.01A.01R.1305.07	TCGA.B8.5552.01B.11R.1672.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.BP.4163.01A.02R.1325.07	TCGA.A3.3351.01A.02R.1325.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.BP.5181.01A.01R.1426.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.B8.4151.01A.01R.1188.07	TCGA.BP.4165.01A.02R.1289.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.B0.4714.01A.01R.1277.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.BP.5183.01A.01R.1426.07	TCGA.BP.4789.01A.01R.1305.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.CJ.4639.01A.02R.1325.07	TCGA.CZ.5451.01A.01R.1503.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.BP.4998.01A.01R.1334.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.MM.A563.01A.11R.A266.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.CZ.5466.01A.01R.1503.07	TCGA.B0.5692.01A.11R.1541.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.B0.4810.01A.01R.1503.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.BP.5196.01A.01R.1426.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07
OTUD4	480.04	915.51	197.09	205.5	162.14	486.75	435.55	381.68	211.31	334.46	432.53	329.84	392.44	343.89	406.31	332.14	454.09	314.17	152.28	551.56	473.41	381.68	195.72	423.61	205.5	426.57	285.03	198.47	476.71	226.54	323.03	218.79	209.84	660.68	540.19	198.47	291.04	144.01	470.14	265.87	157.68	301.33	303.44	217.27	389.72	231.32	420.68	283.05	320.8	587.13	273.37	271.48	327.56	283.05	193.01	309.83	493.56	164.42	329.84	547.75	438.59	312.0	579.04	334.46	175.07	267.73	264.03	384.34	457.25	301.33	463.65	334.46	423.61	193.01	329.84	323.03	231.32	587.13	379.04	229.72	301.33	460.44	253.23	339.14	507.46	256.78	389.72	470.14	53.95	255.0	223.41	248.0	229.72	220.32	249.73	260.38	361.04	241.19	175.07	409.15	363.56	460.44	293.07	307.69	536.45	265.87	231.32	356.05	198.47	275.28	152.28	299.25	281.09	281.09	241.19	255.0	183.82	318.57	336.79	212.78	189.02	256.78	120.94	51.71	91.41	61.68	102.97
PBRM1	848.22	1397.83	314.17	76.17	90.14	303.44	318.57	221.86	100.13	169.07	265.87	262.2	218.79	98.73	316.37	133.36	244.57	176.29	70.01	264.03	332.14	199.85	63.45	264.03	82.29	293.07	209.84	113.56	301.33	51.35	111.99	48.87	116.78	384.34	387.02	113.56	194.36	64.34	309.83	129.69	112.77	149.12	183.82	96.68	164.42	143.01	186.4	138.1	208.38	260.38	115.16	155.5	102.25	128.79	75.64	101.54	305.55	71.0	202.66	483.38	123.5	149.12	303.44	220.32	119.26	107.38	92.05	249.73	309.83	147.06	271.48	137.14	258.57	54.33	214.27	162.14	112.77	198.47	234.57	112.77	139.07	260.38	220.32	211.31	423.61	117.6	193.01	299.25	29.27	167.9	90.77	165.57	59.97	114.36	154.42	85.82	153.34	158.79	119.26	339.14	312.0	323.03	169.07	129.69	299.25	115.97	111.21	164.42	90.77	164.42	54.33	153.34	105.15	128.79	170.25	150.17	61.68	223.41	140.04	103.69	100.83	127.0	30.12	48.87	45.85	77.25	59.55
PIKFYVE	353.59	329.84	63.89	62.12	89.51	275.28	177.53	150.17	69.03	92.05	143.01	182.55	178.77	100.13	244.57	117.6	251.48	145.02	75.64	197.09	156.59	141.02	81.14	223.41	66.18	185.11	100.83	96.01	148.09	56.68	94.01	82.87	90.14	234.57	217.27	59.97	176.29	54.33	199.85	79.45	98.04	90.14	127.0	99.43	149.12	110.43	182.55	112.77	153.34	158.79	120.1	116.78	90.77	92.05	66.65	106.63	224.97	101.54	110.43	258.57	96.01	113.56	242.88	112.77	63.89	60.82	81.71	262.2	212.78	129.69	241.19	109.66	217.27	75.64	138.1	137.14	115.97	186.4	220.32	92.05	79.45	172.65	169.07	142.01	212.78	102.25	120.1	214.27	12.45	92.7	82.87	71.0	72.52	64.8	148.09	98.04	125.24	102.25	130.6	193.01	146.03	211.31	144.01	111.99	190.34	94.01	76.71	87.65	65.26	117.6	69.52	125.24	90.77	102.25	100.13	104.42	70.01	173.85	117.6	88.26	60.39	121.79	62.12	32.36	27.25	42.41	28.86
POGLUT1	293.07	373.81	138.1	236.21	70.51	251.48	346.29	191.67	279.14	202.66	253.23	249.73	289.02	172.65	242.88	211.31	457.25	237.86	148.09	267.73	327.56	202.66	253.23	279.14	194.36	334.46	232.94	140.04	260.38	183.82	218.79	177.53	111.21	303.44	309.83	199.85	211.31	114.36	285.03	186.4	127.0	178.77	260.38	187.71	255.0	297.17	281.09	176.29	218.79	209.84	211.31	180.02	181.28	256.78	199.85	206.94	244.57	275.28	156.59	312.0	209.84	111.21	262.2	130.6	171.45	158.79	198.47	301.33	237.86	267.73	218.79	232.94	221.86	194.36	343.89	244.57	197.09	237.86	244.57	166.73	251.48	309.83	178.77	309.83	279.14	389.72	201.25	287.01	73.54	206.94	150.17	343.89	186.4	169.07	205.5	224.97	209.84	140.04	214.27	260.38	301.33	234.57	145.02	167.9	273.37	241.19	170.25	248.0	181.28	221.86	236.21	151.22	140.04	231.32	153.34	194.36	199.85	329.84	289.02	205.5	211.31	249.73	94.01	72.52	105.15	87.03	53.95
PURB	497.0	785.88	348.71	144.01	285.03	417.77	555.41	356.05	226.54	303.44	287.01	314.17	438.59	236.21	336.79	256.78	379.04	214.27	155.5	387.02	532.74	371.22	149.12	332.14	241.19	403.5	234.57	199.85	295.11	148.09	201.25	323.03	267.73	490.14	503.95	271.48	417.77	265.87	361.04	197.09	273.37	361.04	291.04	262.2	204.07	209.84	376.41	232.94	303.44	414.87	258.57	327.56	301.33	221.86	217.27	264.03	543.96	193.01	301.33	397.93	356.05	361.04	371.22	199.85	234.57	236.21	307.69	514.56	220.32	297.17	587.13	264.03	339.14	145.02	303.44	283.05	175.07	536.45	361.04	239.52	285.03	299.25	283.05	339.14	414.87	251.48	234.57	376.41	33.3	211.31	242.88	283.05	253.23	214.27	220.32	229.72	373.81	341.51	277.2	551.56	287.01	381.68	262.2	316.37	371.22	236.21	155.5	239.52	182.55	215.77	215.77	283.05	193.01	255.0	341.51	249.73	152.28	351.14	223.41	220.32	187.71	262.2	117.6	46.5	118.43	96.68	37.32
QTRTD1	438.59	423.61	96.68	130.6	84.63	281.09	221.86	208.38	191.67	172.65	262.2	239.52	273.37	113.56	275.28	178.77	237.86	170.25	151.22	305.55	318.57	156.59	122.64	234.57	88.88	283.05	183.82	114.36	262.2	84.63	148.09	119.26	126.12	211.31	193.01	152.28	193.01	80.57	237.86	154.42	92.05	171.45	251.48	141.02	236.21	121.79	258.57	117.6	229.72	180.02	199.85	226.54	154.42	185.11	127.0	109.66	299.25	171.45	137.14	289.02	152.28	121.79	312.0	169.07	122.64	107.38	187.71	264.03	277.2	224.97	248.0	163.28	204.07	111.99	226.54	185.11	143.01	248.0	204.07	157.68	199.85	232.94	166.73	237.86	271.48	208.38	334.46	221.86	26.86	173.85	112.77	166.73	120.1	151.22	194.36	153.34	186.4	126.12	180.02	255.0	253.23	214.27	109.66	147.06	307.69	176.29	161.02	171.45	131.51	166.73	183.82	191.67	158.79	121.79	180.02	187.71	135.24	283.05	143.01	145.02	122.64	190.34	74.58	85.82	119.26	57.89	52.82
R3HDM1	490.14	387.02	260.38	163.28	132.44	265.87	249.73	187.71	175.07	209.84	293.07	269.6	297.17	206.94	303.44	166.73	356.05	193.01	204.07	353.59	429.54	289.02	167.9	305.55	137.14	353.59	223.41	194.36	299.25	178.77	228.13	197.09	159.9	285.03	299.25	155.5	305.55	127.89	260.38	194.36	202.66	157.68	320.8	163.28	295.11	180.02	291.04	195.72	195.72	279.14	197.09	194.36	220.32	220.32	120.94	156.59	265.87	211.31	186.4	295.11	214.27	226.54	279.14	197.09	228.13	231.32	182.55	285.03	366.09	217.27	297.17	232.94	297.17	163.28	244.57	218.79	170.25	271.48	441.64	171.45	205.5	341.51	241.19	228.13	297.17	305.55	226.54	271.48	61.25	248.0	183.82	187.71	148.09	187.71	265.87	201.25	246.28	209.84	223.41	256.78	303.44	271.48	185.11	181.28	332.14	195.72	190.34	149.12	178.77	218.79	423.61	223.41	199.85	186.4	208.38	244.57	236.21	376.41	275.28	204.07	226.54	253.23	95.34	84.63	117.6	96.68	50.63
RAB3GAP2	587.13	579.04	180.02	139.07	102.25	397.93	305.55	303.44	167.9	234.57	332.14	341.51	327.56	201.25	299.25	218.79	318.57	271.48	148.09	316.37	327.56	283.05	143.01	423.61	201.25	277.2	187.71	204.07	353.59	156.59	293.07	195.72	178.77	371.22	392.44	212.78	255.0	114.36	248.0	157.68	134.3	197.09	341.51	197.09	251.48	218.79	299.25	229.72	258.57	323.03	177.53	249.73	205.5	226.54	132.44	209.84	343.89	132.44	241.19	327.56	279.14	148.09	417.77	299.25	197.09	140.04	172.65	366.09	353.59	253.23	312.0	265.87	253.23	177.53	368.65	271.48	351.14	314.17	283.05	182.55	190.34	289.02	361.04	291.04	301.33	197.09	303.44	392.44	136.19	249.73	126.12	267.73	214.27	186.4	295.11	169.07	251.48	228.13	204.07	343.89	309.83	406.31	269.6	275.28	361.04	191.67	159.9	244.57	162.14	193.01	178.77	173.85	175.07	234.57	260.38	229.72	175.07	423.61	204.07	178.77	135.24	218.79	118.43	36.01	130.6	75.11	35.5
RAB8B	713.11	1159.07	61.68	363.56	194.36	656.11	651.58	361.04	325.29	397.93	532.74	532.74	426.57	444.72	432.53	387.02	698.41	363.56	149.12	633.73	669.92	450.94	314.17	620.67	450.94	629.35	348.71	234.57	518.15	373.81	420.68	301.33	199.85	669.92	587.13	260.38	332.14	197.09	708.18	297.17	191.67	244.57	260.38	248.0	521.76	381.68	473.41	318.57	332.14	470.14	327.56	426.57	283.05	226.54	224.97	258.57	444.72	173.85	406.31	698.41	713.11	329.84	1769.57	395.18	361.04	361.04	309.83	651.58	738.29	285.03	612.11	279.14	748.61	271.48	351.14	358.54	400.71	616.37	463.65	189.02	316.37	444.72	595.34	417.77	571.05	291.04	423.61	579.04	80.01	441.64	255.0	426.57	255.0	229.72	237.86	303.44	297.17	314.17	346.29	629.35	457.25	503.95	397.93	423.61	728.11	314.17	285.03	540.19	353.59	303.44	293.07	323.03	376.41	287.01	336.79	234.57	384.34	607.87	320.8	124.37	195.72	242.88	151.22	84.04	50.98	47.84	40.07
RALGAPB	808.0	1030.12	325.29	191.67	190.34	444.72	339.14	309.83	234.57	234.57	318.57	381.68	457.25	241.19	412.0	277.2	432.53	244.57	178.77	444.72	392.44	334.46	279.14	389.72	133.36	395.18	231.32	215.77	379.04	182.55	237.86	253.23	183.82	397.93	353.59	217.27	303.44	147.06	327.56	197.09	201.25	211.31	303.44	214.27	293.07	267.73	303.44	258.57	275.28	406.31	260.38	249.73	262.2	289.02	166.73	314.17	423.61	214.27	260.38	447.82	299.25	285.03	336.79	281.09	181.28	295.11	194.36	470.14	457.25	323.03	387.02	287.01	414.87	211.31	343.89	273.37	223.41	409.15	392.44	224.97	194.36	343.89	339.14	309.83	384.34	206.94	289.02	409.15	108.9	234.57	172.65	285.03	182.55	224.97	387.02	236.21	389.72	231.32	241.19	363.56	376.41	379.04	255.0	353.59	450.94	291.04	201.25	237.86	189.02	251.48	161.02	223.41	205.5	258.57	246.28	267.73	176.29	361.04	267.73	241.19	251.48	264.03	137.14	90.77	182.55	100.13	63.45
RAP2C	961.07	384.34	258.57	305.55	249.73	384.34	412.0	265.87	400.71	264.03	460.44	420.68	521.76	312.0	493.56	289.02	490.14	392.44	145.02	738.29	620.67	447.82	332.14	490.14	379.04	642.59	271.48	226.54	412.0	221.86	361.04	283.05	287.01	447.82	356.05	204.07	285.03	169.07	525.39	295.11	195.72	277.2	555.41	234.57	368.65	291.04	483.38	363.56	307.69	435.55	334.46	275.28	356.05	291.04	232.94	269.6	518.15	262.2	403.5	423.61	660.68	314.17	669.92	460.44	197.09	466.88	271.48	486.75	518.15	283.05	473.41	420.68	490.14	152.28	323.03	299.25	497.0	473.41	426.57	248.0	295.11	511.0	392.44	460.44	387.02	371.22	262.2	493.56	264.03	242.88	307.69	463.65	329.84	255.0	387.02	373.81	547.75	248.0	289.02	356.05	529.06	420.68	265.87	669.92	483.38	346.29	295.11	353.59	180.02	314.17	473.41	265.87	281.09	269.6	289.02	356.05	189.02	473.41	414.87	201.25	277.2	318.57	154.42	94.01	127.89	356.05	248.0
RB1	921.88	1857.6	1350.18	612.11	620.67	1286.18	1143.1	854.13	470.14	642.59	842.36	848.22	703.28	854.13	967.76	718.08	1819.35	819.3	775.05	1259.69	1159.07	723.08	532.74	1167.14	1001.93	1023.0	947.83	529.06	1066.48	1127.35	1183.45	309.83	583.07	1066.48	1359.57	872.1	1023.0	406.31	1081.39	791.35	480.04	603.67	674.59	543.96	1561.89	743.43	1733.13	583.07	616.37	947.83	698.41	1073.91	825.0	490.14	679.29	665.29	1104.13	567.1	1008.9	1151.06	1051.79	718.08	2104.58	1051.79	525.39	514.56	961.07	1059.11	1286.18	688.78	1059.11	547.75	1350.18	679.29	780.44	743.43	836.53	1044.52	1037.29	647.07	521.76	1008.9	1313.23	1030.12	1001.93	802.41	1388.16	1225.22	218.79	1030.12	457.25	738.29	728.11	470.14	551.56	854.13	620.67	808.0	1073.91	1001.93	860.08	684.02	1066.48	808.0	1268.46	575.03	928.3	1250.98	802.41	651.58	567.1	728.11	775.05	543.96	665.29	579.04	567.1	1023.0	651.58	769.69	329.84	665.29	246.28	108.14	170.25	46.18	72.01
RBM26	703.28	1304.15	366.09	206.94	323.03	543.96	450.94	435.55	209.84	371.22	476.71	450.94	438.59	343.89	665.29	563.18	555.41	320.8	297.17	406.31	420.68	536.45	339.14	567.1	258.57	514.56	348.71	269.6	480.04	244.57	329.84	181.28	373.81	563.18	460.44	221.86	307.69	186.4	444.72	368.65	267.73	318.57	493.56	332.14	423.61	420.68	450.94	438.59	493.56	518.15	334.46	363.56	373.81	503.95	228.13	551.56	543.96	295.11	264.03	547.75	262.2	346.29	395.18	532.74	212.78	187.71	291.04	444.72	454.09	450.94	406.31	571.05	563.18	301.33	532.74	368.65	441.64	497.0	450.94	323.03	283.05	463.65	521.76	476.71	490.14	389.72	511.0	587.13	98.73	346.29	231.32	273.37	318.57	353.59	529.06	351.14	599.49	316.37	389.72	426.57	480.04	529.06	267.73	199.85	423.61	334.46	334.46	299.25	239.52	450.94	209.84	198.47	320.8	688.78	334.46	486.75	218.79	555.41	454.09	555.41	323.03	473.41	170.25	34.51	181.28	82.29	31.9
RECQL	941.27	819.3	208.38	547.75	332.14	974.5	759.08	536.45	551.56	450.94	743.43	638.15	954.43	660.68	842.36	412.0	764.36	536.45	275.28	884.29	1277.29	476.71	291.04	698.41	381.68	769.69	417.77	441.64	921.88	426.57	384.34	547.75	403.5	753.83	733.19	435.55	438.59	246.28	703.28	454.09	325.29	511.0	563.18	438.59	647.07	389.72	921.88	301.33	587.13	612.11	454.09	525.39	423.61	356.05	466.88	379.04	733.19	397.93	612.11	693.58	607.87	511.0	825.0	902.89	348.71	563.18	511.0	909.17	808.0	444.72	902.89	363.56	679.29	423.61	503.95	503.95	460.44	723.08	591.22	518.15	381.68	934.76	769.69	693.58	759.08	384.34	753.83	733.19	57.08	559.28	366.09	688.78	353.59	262.2	289.02	346.29	316.37	356.05	603.67	753.83	753.83	647.07	583.07	738.29	669.92	293.07	351.14	775.05	309.83	447.82	532.74	503.95	363.56	297.17	454.09	384.34	305.55	583.07	384.34	279.14	239.52	607.87	181.28	48.87	176.29	66.18	34.51
RFX7	371.22	346.29	158.79	69.52	50.63	167.9	140.04	101.54	72.01	96.01	115.16	163.28	128.79	104.42	142.01	72.52	206.94	107.38	54.33	195.72	186.4	136.19	98.73	164.42	58.3	154.42	142.01	67.59	158.79	84.63	109.66	106.63	64.34	183.82	209.84	60.39	94.01	35.5	157.68	71.5	45.85	56.68	156.59	70.51	161.02	74.58	176.29	81.14	90.77	93.35	80.01	99.43	75.64	87.65	54.72	59.97	149.12	50.98	89.51	242.88	80.01	101.54	166.73	125.24	71.0	75.11	74.58	166.73	205.5	81.71	122.64	106.63	158.79	57.08	133.36	92.7	63.45	152.28	152.28	62.12	70.51	159.9	144.01	108.9	154.42	83.45	147.06	176.29	12.27	88.88	77.25	98.73	53.19	62.12	105.15	86.43	88.88	78.34	116.78	158.79	180.02	167.9	91.41	120.94	195.72	82.29	98.04	91.41	68.55	86.43	79.45	87.03	87.65	86.43	88.88	108.14	61.25	148.09	87.65	79.45	57.49	140.04	35.25	13.93	34.02	18.43	17.51
RIF1	473.41	764.36	55.49	74.06	96.68	327.56	204.07	172.65	95.34	120.1	178.77	228.13	236.21	162.14	199.85	134.3	187.71	189.02	113.56	256.78	275.28	158.79	83.45	279.14	81.14	198.47	107.38	161.02	249.73	109.66	143.01	87.03	117.6	260.38	277.2	95.34	193.01	64.34	206.94	107.38	107.38	130.6	237.86	115.97	206.94	126.12	220.32	133.36	140.04	226.54	181.28	146.03	127.0	111.99	84.63	182.55	275.28	93.35	149.12	231.32	156.59	208.38	279.14	180.02	94.01	88.26	124.37	366.09	229.72	127.89	291.04	120.94	285.03	82.87	182.55	148.09	100.83	237.86	237.86	133.36	107.38	223.41	241.19	172.65	224.97	105.89	164.42	283.05	17.77	161.02	92.05	191.67	92.7	93.35	164.42	91.41	152.28	143.01	123.5	215.77	187.71	241.19	141.02	146.03	255.0	96.68	94.67	119.26	68.07	137.14	88.88	111.21	125.24	182.55	153.34	162.14	78.89	148.09	120.94	135.24	109.66	137.14	40.36	8.51	45.85	39.79	14.03
RIPK1	583.07	529.06	289.02	490.14	444.72	603.67	571.05	490.14	361.04	412.0	444.72	536.45	480.04	336.79	603.67	497.0	521.76	547.75	457.25	616.37	563.18	454.09	414.87	543.96	334.46	629.35	559.28	423.61	620.67	265.87	493.56	470.14	447.82	514.56	473.41	384.34	518.15	503.95	497.0	403.5	420.68	629.35	397.93	409.15	536.45	325.29	529.06	483.38	500.46	511.0	476.71	444.72	417.77	289.02	397.93	432.53	642.59	381.68	571.05	532.74	555.41	616.37	551.56	341.51	389.72	366.09	559.28	579.04	490.14	490.14	575.03	521.76	503.95	470.14	466.88	397.93	463.65	579.04	579.04	447.82	473.41	490.14	466.88	457.25	571.05	400.71	532.74	555.41	60.82	389.72	480.04	612.11	384.34	392.44	297.17	454.09	447.82	414.87	470.14	507.46	624.99	507.46	470.14	429.54	525.39	406.31	470.14	514.56	450.94	343.89	242.88	444.72	447.82	473.41	435.55	429.54	283.05	403.5	473.41	457.25	356.05	500.46	167.9	260.38	105.89	305.55	234.57
ROCK1	713.11	954.43	128.79	183.82	201.25	607.87	480.04	412.0	201.25	273.37	432.53	540.19	341.51	258.57	555.41	387.02	426.57	320.8	193.01	403.5	403.5	426.57	143.01	368.65	150.17	567.1	178.77	239.52	356.05	170.25	202.66	119.26	226.54	551.56	559.28	218.79	269.6	146.03	486.75	152.28	208.38	353.59	414.87	220.32	329.84	318.57	423.61	316.37	400.71	616.37	241.19	361.04	221.86	269.6	169.07	239.52	507.46	147.06	320.8	647.07	271.48	339.14	575.03	457.25	231.32	166.73	212.78	579.04	571.05	371.22	476.71	236.21	444.72	187.71	403.5	395.18	209.84	473.41	387.02	187.71	218.79	476.71	480.04	389.72	532.74	220.32	400.71	507.46	56.28	236.21	193.01	291.04	175.07	251.48	457.25	260.38	316.37	236.21	229.72	620.67	518.15	511.0	264.03	251.48	579.04	255.0	226.54	277.2	214.27	295.11	117.6	251.48	214.27	341.51	307.69	267.73	154.42	429.54	256.78	191.67	221.86	275.28	57.89	14.78	64.8	75.11	31.0
RPS6KB1	470.14	1037.29	607.87	229.72	224.97	406.31	368.65	291.04	271.48	325.29	351.14	371.22	376.41	312.0	403.5	314.17	420.68	297.17	198.47	438.59	363.56	435.55	220.32	373.81	171.45	429.54	309.83	318.57	366.09	228.13	221.86	295.11	260.38	435.55	409.15	318.57	246.28	202.66	379.04	346.29	246.28	265.87	423.61	283.05	400.71	346.29	392.44	295.11	358.54	429.54	307.69	275.28	323.03	351.14	320.8	287.01	409.15	221.86	289.02	403.5	241.19	325.29	395.18	373.81	234.57	346.29	269.6	381.68	511.0	307.69	353.59	329.84	301.33	198.47	371.22	299.25	217.27	358.54	320.8	277.2	373.81	373.81	346.29	318.57	363.56	348.71	395.18	432.53	82.87	256.78	279.14	273.37	212.78	260.38	361.04	262.2	389.72	351.14	293.07	314.17	395.18	371.22	334.46	384.34	376.41	325.29	314.17	206.94	224.97	332.14	277.2	271.48	279.14	397.93	246.28	325.29	178.77	297.17	281.09	532.74	258.57	281.09	277.2	85.22	132.44	195.72	70.51
RPS6KC1	336.79	1183.45	75.64	84.04	61.25	180.02	170.25	117.6	129.69	108.9	181.28	159.9	152.28	110.43	170.25	111.21	193.01	130.6	100.13	264.03	244.57	152.28	115.97	199.85	102.25	189.02	123.5	92.7	185.11	96.01	157.68	139.07	101.54	172.65	154.42	94.67	121.79	86.43	172.65	119.26	111.99	112.77	189.02	88.88	172.65	111.21	176.29	115.97	126.12	193.01	104.42	128.79	107.38	127.89	102.97	100.83	194.36	102.25	123.5	199.85	137.14	81.71	373.81	108.14	95.34	140.04	95.34	151.22	176.29	125.24	151.22	191.67	215.77	112.77	169.07	118.43	126.12	176.29	180.02	106.63	104.42	198.47	133.36	151.22	180.02	143.01	151.22	180.02	9.7	118.43	108.14	132.44	110.43	96.68	99.43	106.63	124.37	111.99	115.97	169.07	201.25	185.11	118.43	144.01	163.28	118.43	112.77	107.38	111.21	152.28	130.6	103.69	94.01	115.16	102.25	149.12	94.67	246.28	136.19	75.64	102.97	167.9	55.1	49.56	54.33	59.13	53.19
RRP1B	387.02	420.68	214.27	195.72	161.02	251.48	244.57	229.72	177.53	176.29	277.2	205.5	244.57	201.25	209.84	154.42	248.0	127.0	119.26	316.37	381.68	232.94	237.86	205.5	94.67	264.03	189.02	178.77	189.02	185.11	205.5	214.27	157.68	229.72	255.0	169.07	180.02	175.07	201.25	191.67	175.07	154.42	183.82	157.68	228.13	180.02	209.84	167.9	197.09	256.78	177.53	187.71	226.54	209.84	148.09	193.01	265.87	131.51	239.52	260.38	178.77	267.73	253.23	218.79	256.78	269.6	187.71	287.01	256.78	178.77	197.09	189.02	262.2	115.97	187.71	204.07	120.1	242.88	231.32	161.02	283.05	214.27	189.02	191.67	262.2	244.57	172.65	220.32	16.63	175.07	124.37	253.23	125.24	152.28	170.25	182.55	176.29	224.97	170.25	242.88	232.94	217.27	180.02	234.57	209.84	127.0	148.09	151.22	152.28	161.02	231.32	147.06	172.65	161.02	159.9	189.02	229.72	295.11	193.01	172.65	142.01	217.27	112.77	128.79	92.05	178.77	231.32
