	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.AR.A24O.01A.11R.A169.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.A8.A08P.01A.11R.A00Z.07	TCGA.AO.A0JF.01A.11R.A056.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.E2.A1IG.01A.11R.A144.07	TCGA.EW.A1J1.01A.11R.A13Q.07	TCGA.E9.A22D.01A.11R.A157.07	TCGA.C8.A12U.01A.11R.A115.07	TCGA.AN.A0XT.01A.11R.A109.07	TCGA.D8.A1JI.01A.11R.A13Q.07	TCGA.E2.A1IE.01A.11R.A13Q.07	TCGA.OL.A66H.01A.11R.A29R.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.E9.A22A.01A.11R.A157.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.BH.A0EI.01A.11R.A115.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A8.A07Z.01A.11R.A00Z.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.AO.A0JG.01A.31R.A084.07	TCGA.AC.A7VB.01A.11R.A352.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A10A.01A.21R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.A7.A0D9.01A.31R.A056.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.A8.A09K.01A.11R.A00Z.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.EW.A1OX.01A.11R.A144.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.D8.A1JP.01A.11R.A13Q.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.PL.A8LX.01A.11R.A41B.07	TCGA.BH.A1EO.01A.11R.A137.07	TCGA.AO.A12C.01A.11R.A10J.07	TCGA.B6.A2IU.01A.32R.A18M.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.D8.A146.01A.31R.A115.07	TCGA.E9.A22B.01A.11R.A157.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.A2.A0SY.01A.31R.A084.07	TCGA.BH.A0C3.01A.21R.A12P.07	TCGA.A2.A25B.01A.11R.A169.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.E2.A15A.01A.11R.A12D.07	TCGA.A7.A26J.01A.11R.A169.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.E2.A10F.01A.11R.A10J.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.AR.A24V.01A.21R.A169.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A7.A3RF.01A.11R.A22K.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.BH.A0AU.01A.11R.A12P.07	TCGA.A8.A07P.01A.11R.A00Z.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.AO.A03P.01A.11R.A00Z.07	TCGA.AN.A0XW.01A.11R.A109.07	TCGA.E2.A15H.01A.11R.A12D.07	TCGA.AR.A24S.01A.11R.A169.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.D8.A1X9.01A.12R.A157.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.B6.A0X5.01A.21R.A109.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.E9.A1NI.01A.11R.A14D.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.ZPU1.2326.SM.57WEP
TCF4	825.0	289.02	152.28	159.9	181.28	299.25	460.44	1277.29	161.02	1540.37	332.14	1008.9	218.79	228.13	156.59	141.02	429.54	251.48	191.67	81.71	514.56	166.73	205.5	135.24	33.54	145.02	825.0	217.27	166.73	420.68	693.58	348.71	1008.9	115.97	507.46	130.6	236.21	301.33	389.72	417.77	173.85	791.35	102.25	395.18	91.41	947.83	620.67	346.29	607.87	135.24	785.88	273.37	167.9	102.97	1044.52	400.71	521.76	141.02	511.0	139.07	358.54	1529.73	866.07	211.31	119.26	346.29	543.96	195.72	432.53	205.5	447.82	201.25	115.16	1477.58	819.3	167.9	406.31	206.94	234.57	249.73	612.11	438.59	107.38	358.54	358.54	603.67	1167.14	414.87	69.03	237.86	417.77	620.67	149.12	603.67	743.43	1167.14	684.02	183.82	285.03	279.14	161.02	236.21	96.01	96.01	285.03	698.41	303.44	283.05	129.69	12.83	217.27	947.83	269.6	738.29	387.02	603.67	381.68	90.14	70.51	88.88	29.48	320.8	555.41	64.34	130.6
TMEM200A	447.82	43.94	53.19	54.33	71.5	90.77	83.45	197.09	36.53	239.52	112.77	186.4	80.01	64.34	26.28	43.63	228.13	75.64	79.45	19.25	77.25	44.25	44.25	46.84	9.06	34.75	159.9	46.18	17.51	53.95	215.77	80.01	175.07	21.78	88.88	23.59	63.89	60.82	36.79	103.69	12.83	105.15	20.11	96.68	19.82	150.17	159.9	102.97	103.69	31.9	128.79	81.14	56.68	25.54	169.07	145.02	115.97	47.5	87.03	29.91	129.69	199.85	190.34	53.95	8.45	85.82	241.19	98.73	195.72	58.3	67.59	56.68	13.32	237.86	217.27	29.7	110.43	55.1	87.65	127.89	212.78	147.06	28.24	48.52	60.82	161.02	183.82	135.24	5.59	73.54	146.03	140.04	15.45	103.69	189.02	214.27	356.05	31.9	92.7	62.56	35.25	88.26	22.92	33.78	46.5	163.28	63.45	101.54	8.0	1.22	63.89	180.02	94.67	151.22	102.25	177.53	156.59	29.7	13.93	7.63	6.26	43.02	129.69	9.13	21.63
TRAM2	279.14	170.25	155.5	157.68	158.79	212.78	289.02	559.28	172.65	507.46	239.52	454.09	106.63	412.0	135.24	111.99	299.25	151.22	150.17	180.02	224.97	113.56	197.09	145.02	143.01	194.36	269.6	171.45	156.59	262.2	264.03	323.03	376.41	136.19	293.07	130.6	265.87	167.9	170.25	197.09	77.79	392.44	273.37	269.6	116.78	423.61	392.44	180.02	371.22	320.8	237.86	293.07	135.24	186.4	327.56	297.17	226.54	153.34	267.73	141.02	215.77	688.78	420.68	152.28	173.85	264.03	301.33	348.71	299.25	157.68	297.17	153.34	209.84	587.13	351.14	100.13	218.79	211.31	147.06	256.78	441.64	181.28	143.01	178.77	212.78	228.13	392.44	244.57	85.22	182.55	356.05	426.57	181.28	325.29	314.17	493.56	426.57	283.05	271.48	265.87	199.85	159.9	110.43	109.66	194.36	223.41	204.07	173.85	114.36	204.07	163.28	483.38	194.36	432.53	206.94	356.05	279.14	384.34	146.03	96.01	98.73	164.42	217.27	19.11	46.84
TSPAN18	163.28	191.67	37.85	183.82	65.72	146.03	221.86	543.96	163.28	555.41	156.59	480.04	136.19	190.34	70.51	71.0	220.32	69.03	66.18	47.5	277.2	106.63	166.73	108.9	33.3	103.69	149.12	61.25	154.42	161.02	312.0	144.01	191.67	82.29	239.52	80.01	120.1	124.37	148.09	170.25	95.34	279.14	76.17	204.07	45.21	371.22	283.05	177.53	314.17	114.36	229.72	189.02	69.03	39.22	341.51	143.01	124.37	70.51	176.29	42.41	91.41	497.0	312.0	98.73	109.66	140.04	264.03	106.63	301.33	85.22	289.02	132.44	146.03	368.65	412.0	100.13	150.17	76.71	120.1	133.36	236.21	194.36	69.03	248.0	269.6	148.09	373.81	123.5	37.32	70.51	129.69	193.01	94.01	244.57	158.79	371.22	287.01	85.82	103.69	87.65	181.28	94.01	61.68	93.35	181.28	163.28	134.3	163.28	103.69	8.58	155.5	395.18	158.79	199.85	76.17	144.01	162.14	43.02	31.9	64.8	10.71	147.06	223.41	4.82	56.28
VGLL3	76.71	24.28	17.25	36.79	10.47	44.89	57.89	249.73	13.03	125.24	61.68	163.28	21.16	64.8	11.82	11.21	84.63	18.84	8.92	6.78	24.46	9.93	15.8	29.48	1.19	14.24	54.33	12.55	8.38	27.84	98.73	46.5	40.93	15.68	32.36	5.63	37.59	25.35	15.91	35.76	3.44	47.17	8.19	57.89	11.64	111.99	70.51	11.3	67.59	10.96	110.43	47.5	12.74	6.06	98.04	42.41	22.59	28.65	58.3	6.84	40.93	215.77	63.89	25.54	6.01	27.84	80.01	13.72	43.32	31.67	55.49	12.0	7.11	201.25	76.17	10.63	44.25	18.97	38.12	23.25	64.34	61.68	13.72	40.07	65.72	77.25	158.79	124.37	0.77	24.81	63.45	44.25	5.11	51.35	74.06	214.27	150.17	6.84	29.48	43.02	17.51	33.3	9.85	14.56	49.91	83.45	25.35	45.85	14.45	0.39	14.89	123.5	26.86	183.82	40.93	112.77	36.79	18.56	7.28	3.17	1.6	30.12	35.76	1.62	10.96
VSTM4	182.55	57.08	53.19	60.39	32.36	109.66	142.01	269.6	49.91	395.18	57.08	231.32	37.85	92.05	36.27	21.78	114.36	40.93	39.22	12.18	71.5	28.86	67.59	29.27	3.08	45.21	139.07	42.71	98.04	103.69	101.54	71.5	195.72	21.47	108.14	41.52	47.84	120.94	67.59	76.17	12.93	113.56	31.9	82.29	21.47	239.52	202.66	81.71	101.54	48.18	126.12	70.51	47.17	16.88	178.77	114.36	68.55	39.22	132.44	22.75	91.41	320.8	217.27	102.97	21.01	63.0	214.27	53.95	139.07	45.21	163.28	31.0	37.05	244.57	246.28	37.59	39.22	36.79	107.38	92.05	142.01	93.35	31.22	146.03	102.25	113.56	271.48	50.98	8.65	66.65	80.01	204.07	19.39	83.45	199.85	229.72	177.53	51.71	69.03	63.0	46.5	70.51	16.75	26.86	48.52	136.19	74.06	68.55	29.06	2.46	31.67	122.64	112.77	134.3	84.63	112.77	49.21	19.53	11.91	10.71	1.91	42.71	104.42	6.11	37.85
ZC3H12B	10.08	2.73	1.58	2.43	5.02	3.86	4.94	11.73	2.29	12.93	4.46	7.57	1.5	7.69	2.1	1.39	4.66	2.36	1.27	0.92	7.75	0.64	1.87	1.5	1.07	3.82	9.85	3.32	25.17	4.46	6.06	2.01	11.21	1.83	6.52	0.66	2.07	2.23	5.36	3.23	3.2	6.06	2.56	4.43	0.59	8.13	7.22	3.53	5.02	3.14	5.77	4.31	3.17	1.46	9.2	3.69	2.76	2.03	5.28	8.0	6.67	12.93	7.82	2.27	1.23	2.81	8.19	5.82	8.45	2.12	3.82	2.68	1.33	10.96	8.0	1.58	5.15	1.07	2.81	4.7	8.06	3.26	0.92	2.03	4.1	4.46	11.38	4.54	0.99	3.59	7.57	5.87	2.61	5.36	7.28	11.38	8.71	3.14	2.84	3.0	5.36	5.28	2.68	0.97	1.81	7.22	2.68	4.03	0.89	5.02	3.29	6.73	6.31	8.92	3.44	4.86	5.32	2.71	1.07	0.92	2.32	2.03	4.62	0.64	0.49
ZEB1	389.72	163.28	134.3	135.24	111.99	214.27	205.5	733.19	125.24	748.61	190.34	503.95	137.14	158.79	103.69	75.11	277.2	181.28	117.6	54.72	248.0	99.43	150.17	74.06	12.64	92.7	518.15	170.25	72.52	264.03	325.29	208.38	463.65	82.29	332.14	46.84	166.73	218.79	249.73	185.11	89.51	361.04	82.29	194.36	45.21	460.44	392.44	211.31	323.03	123.5	301.33	190.34	145.02	54.33	373.81	329.84	279.14	98.04	307.69	135.24	218.79	791.35	571.05	120.94	85.82	191.67	325.29	116.78	271.48	120.1	185.11	172.65	79.45	674.59	599.49	120.1	281.09	120.94	186.4	182.55	395.18	262.2	63.89	211.31	177.53	293.07	708.18	256.78	22.92	153.34	255.0	470.14	87.03	265.87	334.46	674.59	423.61	130.6	115.97	153.34	163.28	165.57	57.08	56.68	161.02	353.59	125.24	186.4	60.39	10.55	130.6	346.29	172.65	403.5	177.53	329.84	241.19	63.45	33.54	78.34	15.45	167.9	248.0	4.7	28.04
ZEB2	314.17	267.73	133.36	146.03	98.04	180.02	271.48	728.11	102.25	511.0	387.02	679.29	102.97	258.57	121.79	111.99	208.38	175.07	211.31	84.63	214.27	102.97	118.43	267.73	46.5	103.69	473.41	138.1	127.0	171.45	314.17	264.03	279.14	151.22	348.71	103.69	130.6	96.68	180.02	351.14	96.68	395.18	66.65	186.4	97.36	392.44	327.56	153.34	457.25	69.52	212.78	190.34	108.14	81.14	334.46	212.78	267.73	131.51	170.25	143.01	234.57	454.09	356.05	157.68	52.45	224.97	275.28	126.12	237.86	157.68	285.03	159.9	153.34	669.92	316.37	99.43	180.02	153.34	368.65	170.25	379.04	293.07	93.35	158.79	208.38	248.0	743.43	279.14	44.89	151.22	214.27	301.33	102.97	320.8	395.18	511.0	444.72	88.88	115.97	162.14	148.09	161.02	55.1	96.68	246.28	229.72	152.28	136.19	134.3	14.67	143.01	497.0	110.43	748.61	176.29	373.81	265.87	76.17	45.21	55.49	87.65	166.73	228.13	63.45	111.21
ZFHX4	41.52	17.9	7.28	12.09	44.25	24.46	25.54	105.89	5.63	122.64	18.97	76.71	25.91	29.27	12.74	21.47	69.52	18.29	17.13	36.27	10.24	4.35	21.63	5.15	1.14	11.47	42.71	8.0	5.36	31.0	58.71	53.19	80.01	4.94	32.36	5.15	18.29	12.64	32.36	27.64	1.39	41.81	2.39	32.13	5.19	80.57	38.67	17.51	30.34	10.08	57.49	31.0	77.79	5.32	86.43	30.56	32.36	30.12	45.53	4.5	24.63	165.57	78.34	21.01	8.58	17.25	38.12	16.75	38.12	9.85	12.55	8.71	2.07	107.38	68.07	14.67	26.67	25.91	30.34	16.88	58.3	30.34	9.56	16.63	27.44	41.81	116.78	37.32	3.32	38.4	40.93	56.68	7.22	22.26	54.33	96.01	72.01	21.32	23.76	23.93	22.59	23.08	5.19	3.92	13.52	81.71	41.22	21.78	5.87	3.23	12.74	66.65	33.54	45.85	15.0	50.27	16.63	10.24	1.51	11.3	3.59	9.85	28.86	7.82	5.54
ZFPM2	59.97	22.43	11.21	23.42	17.77	44.89	55.1	144.01	18.7	209.84	43.94	111.99	22.26	30.56	10.88	18.97	94.67	23.25	22.26	6.78	40.93	11.38	23.93	14.78	2.53	17.64	54.33	17.38	16.63	38.95	152.28	31.0	103.69	13.22	46.5	10.63	29.06	21.63	59.97	59.13	7.0	59.55	10.16	46.84	8.13	59.97	70.01	23.59	60.82	11.82	108.14	53.19	16.75	13.52	162.14	44.89	41.81	24.63	80.01	9.63	32.82	279.14	99.43	25.54	9.06	34.51	64.8	23.59	75.64	38.67	32.36	17.9	5.77	162.14	92.7	22.26	50.27	16.51	39.5	28.86	96.68	55.49	12.74	27.25	53.19	80.57	131.51	62.12	4.35	35.76	49.21	57.49	9.63	53.57	118.43	242.88	119.26	14.89	42.71	18.16	19.53	27.64	10.96	10.63	17.25	103.69	26.47	46.18	7.17	2.43	28.86	112.77	33.3	71.0	67.59	65.26	75.11	15.8	5.82	7.69	2.18	20.11	55.89	2.32	25.35
