	GTEX.139TS.2226.SM.5J2N1	GTEX.Z93S.2626.SM.57WBX	GTEX.11EI6.2626.SM.5PNVT	GTEX.132NY.2026.SM.5L3FM	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A88I.01A.11R.A352.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6384.01A.11R.1789.07	TCGA.HC.7233.01A.11R.2118.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.7752.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZZ64.0926.SM.5E44L	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.12C56.1326.SM.5FQSV	GTEX.13FTW.1226.SM.5LZZ1	GTEX.WZTO.0926.SM.4PQZ3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.ZTX8.1026.SM.5EGHD	TCGA.E8.A3X7.01A.11R.A22U.07	GTEX.WI4N.2426.SM.4OOSC
RALGAPB	195.72	162.14	232.94	212.78	171.45	197.09	63.45	318.57	642.59	251.48	728.11	368.65	759.08	441.64	802.41	620.67	444.72	769.69	500.46	441.64	373.81	679.29	738.29	414.87	356.05	403.5	642.59	708.18	688.78	638.15	575.03	381.68	277.2	299.25	540.19	607.87	647.07	371.22	476.71	429.54	395.18	373.81	429.54	559.28	406.31	297.17	264.03	334.46	379.04	363.56	518.15	473.41	457.25	454.09	518.15	738.29	629.35	490.14	540.19	358.54	473.41	878.17	423.61	387.02	339.14	241.19	100.13
RANBP2	208.38	212.78	285.03	265.87	249.73	269.6	84.63	595.34	1127.35	312.0	1111.82	511.0	1359.57	775.05	1066.48	1583.71	854.13	1259.69	775.05	703.28	460.44	1477.58	1397.83	532.74	450.94	723.08	1977.24	967.76	1268.46	981.29	1023.0	579.04	460.44	417.77	941.27	1167.14	1037.29	480.04	1167.14	466.88	559.28	336.79	490.14	733.19	503.95	361.04	221.86	435.55	373.81	444.72	642.59	540.19	503.95	511.0	511.0	651.58	1191.69	764.36	866.07	381.68	473.41	642.59	483.38	339.14	470.14	237.86	236.21
RAPGEF6	60.39	54.33	57.49	74.06	43.02	90.14	14.14	81.14	198.47	69.03	191.67	85.22	228.13	134.3	205.5	150.17	161.02	183.82	148.09	101.54	78.89	199.85	178.77	81.14	53.95	103.69	157.68	279.14	186.4	138.1	134.3	85.22	84.63	59.13	156.59	195.72	166.73	89.51	182.55	81.71	96.01	80.01	84.63	152.28	118.43	56.68	76.71	65.72	123.5	67.59	119.26	109.66	115.97	83.45	72.52	110.43	132.44	133.36	119.26	72.52	93.35	161.02	72.52	61.25	65.72	31.45	44.57
RBM12	273.37	239.52	305.55	269.6	244.57	273.37	107.38	669.92	860.08	297.17	1037.29	400.71	1051.79	642.59	1059.11	1001.93	967.76	1088.92	665.29	738.29	551.56	896.64	934.76	642.59	543.96	563.18	954.43	1508.65	988.12	848.22	1313.23	438.59	429.54	473.41	941.27	974.5	1073.91	444.72	1023.0	511.0	486.75	543.96	450.94	860.08	660.68	264.03	503.95	353.59	698.41	583.07	764.36	1001.93	854.13	587.13	438.59	571.05	1030.12	825.0	1066.48	363.56	1104.13	1183.45	808.0	332.14	723.08	189.02	236.21
RBM27	99.43	149.12	131.51	105.15	67.12	128.79	22.26	208.38	334.46	126.12	320.8	153.34	351.14	181.28	307.69	312.0	301.33	376.41	162.14	178.77	148.09	435.55	339.14	187.71	143.01	194.36	267.73	389.72	346.29	281.09	251.48	180.02	167.9	124.37	281.09	297.17	320.8	150.17	307.69	141.02	173.85	151.22	123.5	289.02	221.86	171.45	170.25	159.9	221.86	152.28	244.57	177.53	194.36	149.12	186.4	201.25	371.22	231.32	301.33	148.09	178.77	256.78	173.85	103.69	248.0	93.35	60.82
RFFL	293.07	412.0	358.54	194.36	159.9	193.01	244.57	583.07	743.43	309.83	718.08	536.45	830.75	435.55	1008.9	753.83	674.59	764.36	547.75	536.45	414.87	651.58	854.13	486.75	493.56	642.59	830.75	796.86	902.89	607.87	713.11	529.06	480.04	366.09	872.1	854.13	679.29	511.0	616.37	511.0	587.13	567.1	529.06	629.35	540.19	289.02	429.54	441.64	607.87	441.64	647.07	543.96	423.61	483.38	575.03	629.35	536.45	651.58	579.04	420.68	532.74	599.49	620.67	476.71	521.76	283.05	166.73
RPL7L1	583.07	624.99	703.28	620.67	450.94	441.64	514.56	1870.53	1832.01	988.12	1605.83	1508.65	1697.45	2018.8	1721.16	1662.49	2119.22	2075.59	1467.37	1498.22	1359.57	1674.06	1977.24	1477.58	1350.18	1662.49	1896.65	1936.53	1857.6	1685.71	1572.76	1551.09	1437.15	1225.22	2303.12	1794.29	1498.22	1508.65	2255.7	1388.16	1369.04	1388.16	1313.23	1551.09	1378.57	995.0	1487.87	1151.06	1709.26	1008.9	1540.37	1340.84	1250.98	1519.15	1216.75	1417.35	1709.26	1437.15	1617.0	1457.23	1378.57	1250.98	1397.83	934.76	1427.22	708.18	397.93
RPS6KA6	11.91	25.17	25.72	6.73	6.52	5.92	2.53	38.12	163.28	22.1	189.02	45.21	182.55	98.04	169.07	143.01	100.83	195.72	91.41	79.45	35.5	246.28	151.22	54.72	34.75	78.34	133.36	140.04	194.36	110.43	106.63	69.52	27.44	20.11	130.6	140.04	154.42	49.56	154.42	68.55	59.97	41.81	42.71	111.21	71.5	23.93	41.81	31.45	106.63	32.59	116.78	90.14	72.52	62.12	67.12	138.1	145.02	136.19	162.14	81.14	73.03	92.05	82.87	65.26	73.54	9.48	11.3
RRP15	86.43	115.16	98.73	100.83	77.25	81.71	59.97	162.14	209.84	120.94	186.4	116.78	236.21	144.01	193.01	202.66	273.37	187.71	161.02	154.42	150.17	223.41	183.82	170.25	137.14	130.6	249.73	201.25	260.38	150.17	181.28	143.01	158.79	166.73	239.52	180.02	229.72	152.28	283.05	105.15	121.79	98.04	78.89	195.72	173.85	111.99	206.94	88.26	172.65	108.14	185.11	147.06	193.01	142.01	111.21	176.29	182.55	105.15	253.23	84.63	167.9	107.38	140.04	55.1	162.14	121.79	33.78
SART3	414.87	289.02	470.14	525.39	363.56	371.22	178.77	633.73	848.22	624.99	638.15	629.35	629.35	753.83	684.02	743.43	796.86	665.29	660.68	733.19	703.28	674.59	638.15	591.22	497.0	638.15	500.46	651.58	624.99	521.76	612.11	624.99	591.22	587.13	684.02	607.87	607.87	620.67	974.5	633.73	616.37	521.76	463.65	698.41	684.02	529.06	327.56	518.15	432.53	514.56	629.35	660.68	599.49	540.19	579.04	684.02	941.27	665.29	890.44	463.65	603.67	802.41	432.53	543.96	551.56	483.38	348.71
SCAF11	429.54	387.02	420.68	373.81	327.56	444.72	117.6	825.0	813.63	551.56	1051.79	511.0	1127.35	878.17	1167.14	1044.52	896.64	1081.39	813.63	819.3	642.59	1104.13	1104.13	738.29	466.88	825.0	1008.9	1119.56	1081.39	825.0	981.29	525.39	629.35	642.59	1044.52	988.12	915.51	616.37	1096.5	607.87	733.19	624.99	612.11	988.12	708.18	460.44	599.49	473.41	830.75	587.13	825.0	796.86	860.08	708.18	728.11	743.43	981.29	708.18	884.29	555.41	808.0	854.13	529.06	486.75	551.56	400.71	237.86
SCAF8	226.54	260.38	236.21	248.0	187.71	275.28	101.54	363.56	575.03	275.28	616.37	356.05	620.67	438.59	587.13	540.19	447.82	612.11	346.29	423.61	356.05	603.67	559.28	409.15	329.84	441.64	514.56	1167.14	599.49	480.04	473.41	358.54	253.23	303.44	529.06	563.18	579.04	325.29	603.67	320.8	429.54	320.8	366.09	575.03	447.82	283.05	271.48	346.29	387.02	332.14	497.0	460.44	463.65	373.81	358.54	454.09	497.0	571.05	642.59	273.37	480.04	624.99	332.14	267.73	312.0	194.36	172.65
SEC23IP	221.86	316.37	289.02	244.57	204.07	223.41	145.02	607.87	995.0	309.83	836.53	525.39	1216.75	591.22	547.75	954.43	733.19	1044.52	567.1	642.59	543.96	813.63	928.3	543.96	387.02	493.56	866.07	1295.13	825.0	764.36	848.22	529.06	486.75	490.14	884.29	785.88	796.86	536.45	878.17	454.09	493.56	543.96	470.14	674.59	540.19	303.44	466.88	379.04	547.75	463.65	612.11	575.03	518.15	525.39	559.28	543.96	753.83	785.88	743.43	381.68	684.02	656.11	559.28	348.71	500.46	186.4	115.97
SEC24A	100.13	109.66	118.43	135.24	91.41	126.12	172.65	212.78	450.94	105.15	366.09	175.07	555.41	226.54	392.44	361.04	389.72	353.59	215.77	237.86	173.85	412.0	457.25	178.77	132.44	221.86	336.79	457.25	444.72	361.04	389.72	159.9	171.45	122.64	379.04	432.53	332.14	167.9	371.22	206.94	205.5	190.34	163.28	291.04	217.27	120.1	156.59	166.73	267.73	176.29	287.01	236.21	231.32	193.01	135.24	190.34	403.5	244.57	392.44	142.01	218.79	267.73	209.84	122.64	253.23	73.54	141.02
SELRC1	125.24	114.36	108.9	74.06	97.36	92.7	120.1	136.19	133.36	119.26	187.71	110.43	183.82	165.57	202.66	208.38	273.37	190.34	128.79	120.1	129.69	226.54	180.02	165.57	125.24	146.03	195.72	193.01	234.57	125.24	152.28	84.04	182.55	105.89	221.86	206.94	135.24	120.94	264.03	105.15	120.1	148.09	69.52	166.73	157.68	81.71	120.1	110.43	176.29	86.43	128.79	118.43	121.79	141.02	102.25	124.37	180.02	147.06	187.71	103.69	125.24	103.69	98.04	63.45	162.14	141.02	62.56
SENP2	277.2	236.21	387.02	231.32	194.36	224.97	180.02	269.6	483.38	256.78	457.25	236.21	409.15	371.22	503.95	392.44	426.57	463.65	387.02	320.8	329.84	500.46	441.64	353.59	309.83	373.81	463.65	547.75	293.07	507.46	500.46	329.84	277.2	239.52	400.71	620.67	503.95	320.8	571.05	329.84	348.71	242.88	208.38	543.96	426.57	258.57	303.44	246.28	500.46	329.84	438.59	438.59	476.71	339.14	406.31	429.54	540.19	595.34	500.46	295.11	356.05	624.99	249.73	307.69	305.55	217.27	143.01
SERINC5	146.03	132.44	142.01	29.7	29.91	64.34	186.4	303.44	1242.34	122.64	2061.24	287.01	2609.3	1617.0	1991.0	2018.8	1870.53	1477.58	684.02	1088.92	414.87	2351.53	2609.3	343.89	438.59	536.45	1769.57	2004.85	2520.38	1111.82	2018.8	633.73	309.83	206.94	2997.45	1721.16	1923.14	334.46	1369.04	384.34	595.34	457.25	289.02	1127.35	802.41	97.36	307.69	223.41	780.44	363.56	1143.1	1015.93	743.43	511.0	384.34	1175.27	785.88	769.69	1508.65	473.41	1417.35	1447.15	473.41	743.43	1304.15	24.99	48.52
SERPINE3	6.31	8.78	4.78	4.5	3.66	6.06	1.46	11.38	23.42	6.84	15.68	10.71	20.86	12.55	19.82	19.68	15.11	32.13	13.83	11.91	11.21	16.51	26.86	12.45	9.85	11.21	17.64	19.97	27.44	15.8	20.26	8.71	6.16	5.87	21.32	18.29	22.92	14.14	12.74	11.38	11.13	5.19	11.13	23.08	17.25	9.93	18.29	10.08	15.8	9.06	19.68	8.32	14.78	14.45	13.22	12.74	15.91	22.26	21.32	7.94	17.9	10.55	10.47	3.41	29.27	7.06	9.56
SET	2351.53	3614.55	3257.52	1697.45	1674.06	2240.11	1096.5	4152.18	6792.79	3847.29	5995.9	3820.7	5751.61	4152.18	4575.41	5006.93	4769.75	6250.56	3928.15	3589.58	3982.99	7331.05	6207.38	3768.09	3742.05	4095.0	7230.1	4575.41	6037.61	5041.77	4543.8	4802.93	3349.13	3564.78	4769.75	5329.3	5672.41	3874.05	6426.31	2758.13	3395.89	3349.13	3303.0	4607.24	3419.52	4095.0	2935.74	3325.99	3467.27	3491.39	4038.61	3515.68	4298.64	3515.68	3146.52	3372.43	5555.65	3768.09	4671.57	3103.19	3955.48	3467.27	3419.52	2148.82	4607.24	3419.52	3325.99
SLC30A7	102.97	91.41	115.97	117.6	73.03	111.21	55.89	217.27	366.09	108.9	379.04	161.02	470.14	234.57	373.81	332.14	353.59	334.46	206.94	185.11	167.9	414.87	395.18	158.79	141.02	185.11	361.04	414.87	423.61	323.03	346.29	191.67	157.68	134.3	332.14	366.09	301.33	180.02	406.31	176.29	172.65	218.79	182.55	275.28	202.66	100.83	231.32	161.02	285.03	138.1	265.87	194.36	228.13	170.25	170.25	255.0	269.6	218.79	242.88	144.01	201.25	271.48	182.55	116.78	153.34	110.43	95.34
SLC7A11	2.48	3.69	2.41	4.5	1.25	5.63	0.0	7.82	23.93	9.56	43.32	20.41	31.0	36.53	34.02	20.26	45.85	68.55	14.67	16.51	13.52	92.7	48.52	17.9	15.11	82.87	89.51	59.13	79.45	28.86	55.49	15.91	15.34	10.31	27.25	40.36	42.71	20.41	59.97	16.39	14.03	32.13	17.51	20.56	22.26	3.29	6.73	5.11	34.26	9.13	11.55	11.73	38.95	17.51	12.83	16.39	9.7	23.42	33.78	20.11	26.47	9.56	7.69	7.82	9.27	6.16	3.66
SMARCA5	373.81	329.84	435.55	343.89	316.37	316.37	50.63	444.72	780.44	353.59	733.19	387.02	785.88	698.41	669.92	599.49	511.0	802.41	521.76	547.75	660.68	753.83	743.43	497.0	318.57	450.94	679.29	547.75	954.43	555.41	629.35	470.14	285.03	466.88	647.07	669.92	780.44	473.41	693.58	309.83	466.88	327.56	507.46	638.15	389.72	368.65	376.41	341.51	480.04	426.57	536.45	457.25	525.39	463.65	366.09	417.77	583.07	532.74	616.37	255.0	567.1	718.08	429.54	400.71	473.41	493.56	135.24
SMC1A	231.32	253.23	262.2	220.32	173.85	201.25	177.53	236.21	684.02	253.23	733.19	231.32	624.99	406.31	848.22	607.87	660.68	764.36	423.61	366.09	320.8	808.0	713.11	307.69	265.87	358.54	525.39	785.88	743.43	583.07	688.78	316.37	242.88	172.65	638.15	660.68	753.83	258.57	616.37	299.25	403.5	209.84	202.66	693.58	483.38	246.28	158.79	305.55	223.41	417.77	624.99	612.11	450.94	353.59	379.04	507.46	819.3	420.68	785.88	283.05	698.41	463.65	293.07	206.94	575.03	141.02	220.32
SPTY2D1	84.04	115.16	102.25	107.38	82.29	119.26	72.52	234.57	450.94	106.63	470.14	193.01	470.14	223.41	435.55	406.31	312.0	361.04	236.21	226.54	194.36	447.82	429.54	205.5	175.07	218.79	376.41	633.73	444.72	336.79	417.77	202.66	209.84	164.42	423.61	361.04	325.29	194.36	435.55	211.31	177.53	199.85	152.28	279.14	220.32	117.6	220.32	169.07	351.14	211.31	277.2	318.57	289.02	260.38	198.47	223.41	314.17	297.17	327.56	195.72	332.14	291.04	262.2	152.28	253.23	76.17	52.82
SS18	414.87	412.0	414.87	503.95	353.59	536.45	332.14	836.53	1304.15	813.63	1594.73	813.63	1183.45	1066.48	1286.18	1119.56	1135.2	1313.23	1135.2	1127.35	954.43	1199.98	1259.69	1023.0	878.17	1151.06	1030.12	928.3	1304.15	1407.55	1295.13	825.0	651.58	713.11	1059.11	1208.34	1175.27	1015.93	1175.27	1066.48	1135.2	866.07	1059.11	1259.69	866.07	764.36	698.41	836.53	1030.12	941.27	1127.35	1191.69	1199.98	1216.75	1111.82	1340.84	1225.22	1159.07	1199.98	842.36	1225.22	1639.59	785.88	775.05	909.17	575.03	379.04
STX17	147.06	172.65	248.0	170.25	111.99	204.07	146.03	253.23	555.41	183.82	460.44	205.5	486.75	323.03	500.46	341.51	409.15	432.53	368.65	273.37	241.19	514.56	450.94	277.2	169.07	291.04	423.61	500.46	521.76	384.34	417.77	198.47	220.32	153.34	368.65	400.71	381.68	237.86	403.5	212.78	285.03	226.54	208.38	366.09	351.14	181.28	256.78	180.02	358.54	180.02	361.04	312.0	358.54	289.02	256.78	444.72	395.18	438.59	438.59	256.78	301.33	466.88	275.28	234.57	277.2	83.45	142.01
SUCO	157.68	141.02	209.84	158.79	99.43	150.17	41.52	307.69	563.18	224.97	674.59	287.01	651.58	384.34	525.39	414.87	423.61	559.28	329.84	334.46	303.44	579.04	529.06	316.37	237.86	325.29	518.15	518.15	583.07	529.06	563.18	281.09	239.52	244.57	514.56	543.96	532.74	299.25	559.28	297.17	329.84	384.34	291.04	454.09	381.68	211.31	358.54	258.57	511.0	262.2	397.93	341.51	384.34	291.04	299.25	339.14	473.41	503.95	483.38	363.56	507.46	397.93	460.44	246.28	267.73	170.25	47.5
TCEB3	301.33	241.19	287.01	303.44	275.28	271.48	329.84	497.0	575.03	295.11	579.04	493.56	595.34	444.72	633.73	616.37	656.11	571.05	438.59	529.06	441.64	603.67	555.41	447.82	447.82	438.59	543.96	802.41	651.58	507.46	567.1	435.55	514.56	450.94	616.37	579.04	571.05	473.41	708.18	470.14	392.44	503.95	429.54	559.28	483.38	320.8	358.54	473.41	470.14	379.04	521.76	441.64	389.72	400.71	414.87	450.94	493.56	529.06	518.15	470.14	447.82	543.96	575.03	351.14	432.53	262.2	271.48
TDG	312.0	258.57	283.05	269.6	241.19	242.88	87.65	289.02	426.57	237.86	403.5	262.2	507.46	329.84	412.0	341.51	299.25	426.57	341.51	255.0	246.28	441.64	463.65	371.22	208.38	265.87	358.54	392.44	466.88	320.8	384.34	214.27	267.73	214.27	395.18	409.15	379.04	251.48	688.78	173.85	251.48	205.5	293.07	295.11	241.19	197.09	265.87	224.97	387.02	175.07	234.57	262.2	351.14	255.0	226.54	297.17	248.0	201.25	249.73	187.71	180.02	327.56	182.55	163.28	149.12	158.79	248.0
TFAM	220.32	318.57	208.38	163.28	115.16	161.02	114.36	400.71	571.05	236.21	708.18	346.29	718.08	555.41	616.37	547.75	651.58	748.61	457.25	409.15	343.89	728.11	759.08	361.04	234.57	389.72	660.68	665.29	836.53	507.46	579.04	403.5	291.04	279.14	595.34	728.11	575.03	293.07	651.58	271.48	387.02	312.0	211.31	559.28	480.04	228.13	551.56	258.57	743.43	267.73	480.04	441.64	392.44	384.34	287.01	423.61	651.58	426.57	684.02	353.59	587.13	583.07	373.81	215.77	381.68	187.71	72.01
TGFBRAP1	148.09	161.02	144.01	220.32	148.09	161.02	53.57	265.87	376.41	190.34	346.29	176.29	346.29	334.46	417.77	381.68	267.73	389.72	218.79	303.44	221.86	381.68	384.34	218.79	262.2	264.03	363.56	334.46	480.04	343.89	277.2	231.32	185.11	195.72	483.38	447.82	323.03	202.66	363.56	246.28	248.0	169.07	215.77	293.07	246.28	162.14	114.36	208.38	190.34	231.32	299.25	267.73	246.28	234.57	279.14	320.8	409.15	275.28	303.44	265.87	249.73	332.14	241.19	218.79	260.38	143.01	90.14
TMEM123	1594.73	1977.24	2335.28	1081.39	769.69	1199.98	1457.23	1936.53	5954.47	1794.29	7032.37	2855.44	5791.62	3419.52	4388.98	5403.7	3794.3	5112.16	2451.44	2351.53	2090.03	6426.31	6121.9	1721.16	1674.06	2758.13	4543.8	4388.98	6516.03	3257.52	3257.52	2645.74	1498.22	1674.06	5517.27	5041.77	5441.3	1950.0	5633.22	1685.71	2178.83	2193.99	1870.53	3039.3	3325.99	2240.11	2895.31	2351.53	3060.45	2004.85	2255.7	2520.38	3303.0	1909.85	1794.29	3491.39	4066.71	2303.12	2758.13	1651.0	2645.74	2400.97	1819.35	1250.98	2976.74	1457.23	2520.38
TMEM168	229.72	251.48	262.2	204.07	161.02	234.57	77.79	441.64	743.43	323.03	728.11	323.03	660.68	612.11	503.95	406.31	400.71	500.46	463.65	536.45	336.79	651.58	638.15	348.71	279.14	414.87	483.38	629.35	1001.93	438.59	536.45	361.04	197.09	223.41	688.78	575.03	579.04	429.54	521.76	329.84	409.15	325.29	483.38	486.75	454.09	199.85	406.31	262.2	483.38	244.57	339.14	454.09	547.75	392.44	356.05	525.39	483.38	532.74	529.06	291.04	454.09	1023.0	381.68	237.86	275.28	156.59	67.59
TMEM181	244.57	273.37	318.57	220.32	199.85	269.6	163.28	525.39	693.58	351.14	733.19	497.0	785.88	591.22	703.28	842.36	638.15	753.83	493.56	532.74	420.68	665.29	450.94	444.72	480.04	417.77	796.86	511.0	915.51	842.36	791.35	532.74	444.72	381.68	780.44	854.13	796.86	511.0	802.41	511.0	500.46	454.09	486.75	603.67	547.75	346.29	384.34	486.75	493.56	454.09	651.58	532.74	454.09	444.72	417.77	480.04	571.05	406.31	575.03	356.05	540.19	543.96	463.65	249.73	518.15	214.27	242.88
TMEM209	110.43	115.16	98.04	113.56	59.13	105.15	66.18	189.02	279.14	105.15	334.46	237.86	348.71	198.47	303.44	221.86	255.0	339.14	154.42	135.24	164.42	387.02	351.14	162.14	190.34	248.0	334.46	295.11	351.14	318.57	271.48	229.72	151.22	129.69	269.6	299.25	283.05	167.9	316.37	162.14	191.67	166.73	175.07	199.85	248.0	152.28	181.28	197.09	237.86	121.79	251.48	209.84	220.32	145.02	185.11	226.54	191.67	255.0	323.03	120.1	253.23	309.83	187.71	138.1	205.5	95.34	58.71
TMEM248	890.44	934.76	988.12	1135.2	748.61	974.5	728.11	1519.15	1844.76	1322.37	1806.78	1447.15	1350.18	1477.58	1561.89	2061.24	1583.71	1674.06	1437.15	1594.73	1508.65	1605.83	1651.0	1467.37	1487.87	1388.16	1709.26	1551.09	2075.59	1781.89	1529.73	1498.22	1030.12	1331.57	1936.53	1923.14	1769.57	1457.23	1709.26	1350.18	1369.04	1304.15	1498.22	1487.87	1457.23	1437.15	1001.93	1561.89	1199.98	1508.65	1427.22	1340.84	1331.57	1331.57	1277.29	1540.37	1819.35	1378.57	1757.34	1081.39	1594.73	1651.0	1397.83	1191.69	1617.0	1208.34	713.11
TMF1	148.09	145.02	193.01	151.22	113.56	226.54	35.76	327.56	620.67	194.36	591.22	260.38	679.29	373.81	547.75	503.95	551.56	571.05	400.71	406.31	287.01	603.67	559.28	309.83	180.02	358.54	473.41	825.0	563.18	483.38	656.11	195.72	206.94	180.02	480.04	665.29	493.56	248.0	543.96	241.19	289.02	255.0	275.28	497.0	395.18	180.02	309.83	204.07	463.65	244.57	414.87	409.15	460.44	293.07	320.8	426.57	559.28	633.73	514.56	185.11	447.82	698.41	236.21	178.77	264.03	127.0	441.64
TMX3	167.9	206.94	167.9	353.59	242.88	297.17	44.25	323.03	703.28	309.83	444.72	255.0	620.67	466.88	376.41	287.01	435.55	633.73	591.22	412.0	403.5	532.74	708.18	435.55	249.73	483.38	620.67	309.83	660.68	529.06	563.18	237.86	291.04	229.72	540.19	688.78	493.56	429.54	638.15	389.72	414.87	255.0	579.04	409.15	341.51	309.83	258.57	269.6	366.09	205.5	323.03	361.04	536.45	403.5	429.54	518.15	591.22	412.0	358.54	295.11	603.67	819.3	277.2	217.27	258.57	273.37	132.44
TOP1	420.68	441.64	607.87	381.68	353.59	420.68	248.0	1096.5	1519.15	708.18	1378.57	1008.9	1628.26	1096.5	1268.46	1388.16	1322.37	1519.15	928.3	947.83	785.88	1322.37	1540.37	808.0	647.07	967.76	1487.87	1857.6	1594.73	1088.92	1233.75	1008.9	753.83	688.78	1313.23	1277.29	1340.84	921.88	1883.54	780.44	785.88	728.11	743.43	1051.79	819.3	753.83	571.05	896.64	679.29	738.29	995.0	775.05	813.63	669.92	703.28	780.44	1167.14	1030.12	1233.75	616.37	884.29	819.3	693.58	473.41	909.17	529.06	466.88
TRIM33	110.43	162.14	142.01	165.57	136.19	205.5	55.49	368.65	591.22	181.28	563.18	204.07	607.87	412.0	616.37	624.99	403.5	571.05	389.72	262.2	236.21	660.68	669.92	287.01	177.53	334.46	540.19	476.71	616.37	497.0	395.18	253.23	343.89	246.28	551.56	529.06	441.64	265.87	518.15	234.57	285.03	229.72	218.79	387.02	248.0	264.03	162.14	215.77	287.01	323.03	366.09	312.0	353.59	329.84	353.59	409.15	503.95	373.81	423.61	223.41	339.14	620.67	234.57	166.73	253.23	123.5	123.5
TRIP11	119.26	122.64	156.59	125.24	80.57	127.0	19.82	139.07	400.71	124.37	420.68	157.68	543.96	264.03	412.0	318.57	332.14	379.04	218.79	248.0	154.42	480.04	438.59	145.02	127.0	180.02	366.09	450.94	447.82	332.14	336.79	175.07	136.19	150.17	323.03	353.59	379.04	169.07	323.03	143.01	205.5	165.57	173.85	343.89	208.38	130.6	112.77	130.6	193.01	142.01	271.48	265.87	237.86	209.84	161.02	244.57	241.19	242.88	316.37	156.59	291.04	301.33	204.07	135.24	175.07	116.78	75.11
TRMT10C	194.36	255.0	180.02	150.17	158.79	145.02	151.22	460.44	327.56	214.27	423.61	356.05	486.75	368.65	363.56	373.81	409.15	417.77	301.33	281.09	277.2	409.15	447.82	332.14	283.05	346.29	503.95	395.18	423.61	454.09	397.93	363.56	318.57	384.34	293.07	473.41	571.05	275.28	669.92	262.2	291.04	473.41	285.03	384.34	371.22	318.57	473.41	309.83	567.1	253.23	281.09	265.87	423.61	287.01	329.84	297.17	381.68	336.79	384.34	258.57	371.22	318.57	381.68	166.73	392.44	248.0	218.79
UBQLN1	638.15	642.59	825.0	612.11	638.15	698.41	660.68	1167.14	2061.24	981.29	1769.57	1096.5	1950.0	1359.57	1757.34	1583.71	1540.37	1757.34	1313.23	1457.23	1059.11	1697.45	1733.13	1159.07	1037.29	1096.5	1909.85	1806.78	1529.73	1605.83	1447.15	1250.98	954.43	934.76	1685.71	1651.0	1745.2	1208.34	1745.2	1088.92	1143.1	1066.48	1135.2	1508.65	1322.37	872.1	1295.13	1066.48	1388.16	1175.27	1487.87	1378.57	1088.92	1259.69	1088.92	1216.75	2018.8	1437.15	1487.87	1151.06	1388.16	1304.15	1216.75	785.88	1208.34	738.29	780.44
