	TCGA.BC.A110.01A.11R.A131.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.CH.5739.01A.11R.1580.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.CH.5764.01A.21R.1580.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5518.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7797.01A.11R.2263.07	TCGA.EJ.7784.01A.11R.2118.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5752.01A.11R.1580.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.8469.01A.11R.2403.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.J9.A52C.01A.11R.A26U.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.CH.5794.01A.11R.1580.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.KK.A59X.01A.11R.A29R.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.CH.5790.01A.11R.1580.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07
EP400	47.17	54.33	50.98	242.88	217.27	84.04	126.12	353.59	287.01	140.04	204.07	120.1	236.21	249.73	81.71	162.14	152.28	323.03	134.3	158.79	281.09	125.24	189.02	211.31	273.37	114.36	223.41	265.87	202.66	180.02	141.02	124.37	157.68	244.57	153.34	138.1	145.02	133.36	190.34	59.97	130.6	169.07	131.51	275.28	158.79	108.14	221.86	127.89	175.07	115.97	115.97	185.11	170.25	87.65	94.01	303.44	209.84	84.04	141.02	232.94	126.12	102.25	140.04	159.9	69.52	80.01	149.12	156.59	146.03	193.01	223.41	215.77	206.94	191.67	187.71	194.36	258.57	154.42	151.22	183.82	244.57	253.23	137.14	130.6	148.09	112.77	215.77	120.1	185.11	305.55	187.71	271.48	95.34	166.73	224.97	165.57	248.0	148.09	199.85	244.57	123.5	143.01	190.34	155.5	189.02	130.6	101.54	275.28	116.78	172.65	115.16	197.09	136.19	147.06	145.02	150.17	115.16	42.71	138.1	120.94	102.25
FAF2	275.28	248.0	267.73	656.11	642.59	493.56	486.75	708.18	733.19	511.0	934.76	507.46	743.43	633.73	518.15	647.07	571.05	693.58	529.06	583.07	693.58	529.06	551.56	638.15	703.28	571.05	669.92	647.07	708.18	616.37	620.67	497.0	454.09	656.11	587.13	435.55	518.15	571.05	575.03	432.53	616.37	591.22	480.04	651.58	559.28	503.95	764.36	525.39	642.59	532.74	379.04	656.11	575.03	483.38	387.02	743.43	599.49	417.77	555.41	693.58	503.95	616.37	563.18	642.59	518.15	603.67	444.72	567.1	579.04	567.1	723.08	583.07	656.11	656.11	521.76	708.18	974.5	423.61	518.15	555.41	884.29	775.05	507.46	441.64	616.37	463.65	775.05	518.15	559.28	791.35	603.67	674.59	514.56	575.03	665.29	507.46	656.11	525.39	624.99	587.13	473.41	567.1	642.59	595.34	607.87	616.37	500.46	651.58	432.53	473.41	647.07	547.75	571.05	497.0	476.71	616.37	551.56	423.61	559.28	575.03	591.22
FAM168A	77.79	157.68	129.69	438.59	500.46	221.86	307.69	575.03	525.39	289.02	371.22	323.03	532.74	551.56	191.67	361.04	194.36	591.22	303.44	368.65	529.06	279.14	414.87	351.14	460.44	234.57	392.44	361.04	486.75	307.69	295.11	277.2	314.17	429.54	327.56	323.03	309.83	366.09	334.46	301.33	312.0	341.51	283.05	748.61	406.31	256.78	389.72	358.54	483.38	229.72	237.86	397.93	376.41	133.36	182.55	723.08	348.71	157.68	307.69	525.39	239.52	275.28	371.22	493.56	239.52	223.41	224.97	371.22	228.13	409.15	379.04	409.15	392.44	366.09	299.25	503.95	400.71	457.25	297.17	291.04	603.67	457.25	265.87	277.2	325.29	236.21	480.04	211.31	470.14	540.19	320.8	426.57	185.11	323.03	441.64	220.32	303.44	295.11	476.71	470.14	231.32	325.29	420.68	309.83	470.14	414.87	283.05	476.71	279.14	307.69	277.2	312.0	289.02	256.78	244.57	339.14	262.2	132.44	358.54	314.17	237.86
FAM193A	137.14	114.36	121.79	438.59	457.25	175.07	236.21	571.05	426.57	318.57	457.25	218.79	373.81	463.65	242.88	336.79	314.17	633.73	267.73	307.69	473.41	249.73	353.59	305.55	473.41	281.09	395.18	567.1	406.31	307.69	368.65	291.04	307.69	387.02	283.05	309.83	297.17	318.57	361.04	221.86	273.37	368.65	281.09	460.44	329.84	262.2	555.41	307.69	320.8	295.11	256.78	450.94	417.77	444.72	218.79	497.0	395.18	205.5	299.25	387.02	301.33	262.2	336.79	379.04	159.9	291.04	277.2	339.14	316.37	395.18	423.61	417.77	218.79	343.89	379.04	376.41	476.71	346.29	348.71	384.34	400.71	444.72	325.29	242.88	316.37	215.77	379.04	260.38	363.56	536.45	358.54	483.38	218.79	301.33	351.14	432.53	387.02	325.29	432.53	511.0	246.28	283.05	368.65	312.0	334.46	301.33	205.5	507.46	260.38	353.59	260.38	351.14	264.03	255.0	287.01	368.65	269.6	166.73	273.37	255.0	193.01
FAM222B	127.89	106.63	126.12	435.55	332.14	251.48	307.69	463.65	500.46	299.25	356.05	336.79	486.75	368.65	212.78	285.03	387.02	633.73	241.19	293.07	616.37	356.05	346.29	483.38	890.44	368.65	463.65	571.05	406.31	260.38	273.37	305.55	336.79	400.71	346.29	271.48	303.44	368.65	486.75	211.31	387.02	299.25	343.89	651.58	332.14	223.41	432.53	348.71	371.22	293.07	260.38	426.57	409.15	167.9	251.48	426.57	603.67	251.48	293.07	493.56	466.88	277.2	316.37	249.73	201.25	297.17	325.29	525.39	327.56	457.25	603.67	417.77	591.22	669.92	493.56	265.87	295.11	376.41	366.09	406.31	414.87	497.0	320.8	336.79	341.51	336.79	473.41	223.41	395.18	438.59	507.46	688.78	262.2	483.38	521.76	400.71	387.02	318.57	376.41	470.14	293.07	295.11	412.0	289.02	327.56	417.77	323.03	532.74	307.69	426.57	271.48	358.54	299.25	381.68	480.04	314.17	144.01	124.37	224.97	195.72	256.78
FNBP1L	144.01	101.54	120.94	748.61	928.3	480.04	480.04	1066.48	941.27	551.56	928.3	529.06	981.29	674.59	376.41	656.11	642.59	878.17	836.53	536.45	967.76	642.59	684.02	703.28	1322.37	728.11	656.11	708.18	1015.93	713.11	435.55	583.07	438.59	759.08	651.58	547.75	543.96	493.56	928.3	620.67	660.68	583.07	759.08	1769.57	748.61	733.19	1457.23	842.36	1259.69	543.96	414.87	1322.37	830.75	356.05	353.59	974.5	825.0	607.87	656.11	1350.18	656.11	353.59	507.46	591.22	660.68	511.0	497.0	934.76	583.07	947.83	1388.16	738.29	1242.34	733.19	679.29	748.61	884.29	1051.79	674.59	532.74	1081.39	718.08	525.39	525.39	860.08	642.59	1135.2	356.05	633.73	1175.27	426.57	890.44	351.14	642.59	1127.35	567.1	723.08	607.87	743.43	825.0	412.0	503.95	941.27	693.58	1044.52	954.43	555.41	665.29	529.06	624.99	624.99	543.96	587.13	529.06	575.03	511.0	423.61	363.56	423.61	642.59	642.59
FOXJ3	197.09	119.26	182.55	603.67	603.67	320.8	438.59	603.67	733.19	432.53	536.45	420.68	603.67	595.34	361.04	480.04	412.0	624.99	599.49	503.95	607.87	551.56	463.65	521.76	599.49	406.31	591.22	547.75	660.68	435.55	454.09	529.06	432.53	616.37	476.71	447.82	389.72	432.53	536.45	371.22	466.88	493.56	450.94	543.96	587.13	450.94	540.19	493.56	638.15	432.53	348.71	579.04	500.46	361.04	287.01	703.28	447.82	381.68	470.14	642.59	511.0	536.45	500.46	470.14	429.54	473.41	470.14	521.76	450.94	567.1	571.05	547.75	629.35	466.88	444.72	543.96	532.74	591.22	490.14	473.41	647.07	679.29	414.87	397.93	480.04	457.25	624.99	432.53	567.1	688.78	483.38	567.1	314.17	473.41	642.59	457.25	518.15	457.25	555.41	521.76	403.5	381.68	563.18	490.14	624.99	460.44	409.15	525.39	414.87	547.75	476.71	470.14	426.57	406.31	454.09	441.64	414.87	275.28	397.93	466.88	406.31
FOXK2	260.38	258.57	127.0	647.07	483.38	339.14	392.44	543.96	583.07	483.38	503.95	444.72	575.03	591.22	486.75	503.95	563.18	540.19	460.44	423.61	543.96	476.71	447.82	525.39	543.96	423.61	551.56	571.05	511.0	376.41	447.82	384.34	454.09	518.15	334.46	356.05	490.14	381.68	470.14	376.41	435.55	483.38	429.54	698.41	435.55	361.04	540.19	348.71	500.46	444.72	450.94	406.31	373.81	381.68	429.54	669.92	447.82	307.69	438.59	518.15	358.54	379.04	483.38	435.55	441.64	409.15	373.81	392.44	444.72	551.56	457.25	563.18	384.34	435.55	473.41	521.76	525.39	460.44	414.87	521.76	703.28	532.74	366.09	363.56	444.72	265.87	559.28	438.59	486.75	555.41	423.61	521.76	457.25	426.57	470.14	412.0	507.46	403.5	447.82	583.07	470.14	435.55	476.71	460.44	507.46	457.25	343.89	497.0	356.05	507.46	423.61	470.14	387.02	389.72	395.18	395.18	379.04	226.54	376.41	361.04	373.81
GART	583.07	417.77	320.8	1073.91	928.3	669.92	583.07	866.07	902.89	753.83	1277.29	808.0	947.83	902.89	651.58	638.15	830.75	860.08	684.02	713.11	624.99	450.94	878.17	921.88	1037.29	669.92	830.75	1127.35	921.88	669.92	599.49	738.29	603.67	1008.9	848.22	684.02	532.74	432.53	854.13	543.96	723.08	642.59	688.78	1295.13	748.61	607.87	1397.83	708.18	769.69	669.92	490.14	651.58	769.69	624.99	603.67	928.3	866.07	559.28	791.35	878.17	698.41	612.11	928.3	830.75	507.46	603.67	551.56	571.05	612.11	854.13	830.75	713.11	878.17	884.29	723.08	890.44	1015.93	866.07	698.41	796.86	941.27	819.3	521.76	651.58	616.37	813.63	995.0	540.19	563.18	842.36	723.08	934.76	591.22	878.17	890.44	890.44	848.22	503.95	808.0	1001.93	486.75	490.14	974.5	595.34	743.43	660.68	435.55	825.0	555.41	518.15	733.19	420.68	497.0	660.68	624.99	656.11	647.07	642.59	444.72	543.96	518.15
GATAD2A	688.78	423.61	341.51	575.03	688.78	312.0	473.41	620.67	669.92	497.0	642.59	476.71	497.0	660.68	551.56	507.46	633.73	728.11	429.54	547.75	612.11	490.14	497.0	583.07	595.34	480.04	616.37	808.0	497.0	356.05	624.99	454.09	775.05	536.45	511.0	518.15	540.19	348.71	616.37	426.57	441.64	579.04	555.41	587.13	444.72	327.56	503.95	435.55	500.46	607.87	480.04	669.92	703.28	384.34	318.57	669.92	486.75	384.34	543.96	563.18	379.04	583.07	547.75	532.74	432.53	521.76	358.54	529.06	571.05	620.67	543.96	674.59	493.56	480.04	473.41	575.03	878.17	651.58	571.05	536.45	728.11	629.35	417.77	503.95	480.04	289.02	497.0	341.51	543.96	703.28	571.05	629.35	426.57	392.44	529.06	579.04	514.56	406.31	603.67	738.29	423.61	339.14	518.15	500.46	785.88	532.74	373.81	642.59	366.09	486.75	327.56	447.82	329.84	412.0	389.72	473.41	343.89	191.67	353.59	279.14	392.44
GEMIN5	88.88	39.22	63.89	209.84	183.82	98.73	123.5	264.03	218.79	148.09	379.04	111.21	208.38	199.85	127.0	130.6	158.79	251.48	129.69	150.17	197.09	130.6	158.79	178.77	258.57	134.3	172.65	202.66	244.57	161.02	117.6	156.59	131.51	175.07	204.07	134.3	127.0	171.45	158.79	72.52	146.03	142.01	128.79	236.21	153.34	115.97	237.86	144.01	190.34	123.5	140.04	147.06	195.72	105.15	111.99	178.77	143.01	130.6	169.07	191.67	147.06	119.26	161.02	161.02	107.38	131.51	133.36	145.02	115.16	181.28	181.28	185.11	211.31	175.07	177.53	167.9	351.14	123.5	136.19	161.02	199.85	163.28	127.89	101.54	138.1	127.89	226.54	136.19	135.24	244.57	142.01	185.11	121.79	150.17	189.02	212.78	169.07	145.02	178.77	185.11	108.14	144.01	190.34	153.34	164.42	143.01	108.14	182.55	111.21	108.9	143.01	147.06	107.38	128.79	141.02	176.29	151.22	134.3	164.42	146.03	139.07
GIGYF2	183.82	144.01	198.47	848.22	967.76	351.14	514.56	1111.82	967.76	540.19	902.89	559.28	941.27	1037.29	438.59	579.04	624.99	1044.52	595.34	679.29	934.76	521.76	738.29	684.02	1051.79	480.04	723.08	884.29	981.29	723.08	620.67	559.28	567.1	775.05	713.11	571.05	514.56	571.05	713.11	264.03	559.28	688.78	629.35	878.17	860.08	559.28	1059.11	599.49	941.27	518.15	432.53	669.92	743.43	457.25	373.81	1088.92	674.59	500.46	684.02	902.89	497.0	620.67	684.02	651.58	493.56	540.19	423.61	738.29	551.56	860.08	866.07	688.78	848.22	796.86	575.03	884.29	947.83	656.11	607.87	559.28	1073.91	780.44	567.1	500.46	624.99	607.87	1081.39	466.88	656.11	764.36	728.11	836.53	476.71	607.87	947.83	607.87	651.58	599.49	866.07	1066.48	444.72	603.67	878.17	616.37	825.0	633.73	435.55	775.05	490.14	529.06	507.46	647.07	521.76	563.18	346.29	579.04	447.82	299.25	536.45	656.11	514.56
GOLGA3	128.79	154.42	105.89	629.35	547.75	395.18	426.57	656.11	728.11	412.0	480.04	490.14	511.0	607.87	532.74	543.96	420.68	693.58	497.0	525.39	830.75	447.82	575.03	669.92	718.08	392.44	543.96	679.29	470.14	429.54	486.75	454.09	518.15	669.92	503.95	409.15	444.72	316.37	454.09	164.42	463.65	563.18	450.94	808.0	412.0	435.55	486.75	532.74	536.45	417.77	323.03	679.29	536.45	327.56	329.84	743.43	612.11	366.09	435.55	607.87	389.72	483.38	334.46	476.71	379.04	295.11	466.88	551.56	397.93	620.67	656.11	563.18	669.92	616.37	543.96	688.78	612.11	486.75	559.28	540.19	728.11	928.3	466.88	389.72	567.1	389.72	607.87	493.56	551.56	934.76	624.99	819.3	466.88	503.95	567.1	463.65	836.53	447.82	624.99	769.69	423.61	417.77	679.29	559.28	507.46	525.39	363.56	656.11	376.41	503.95	432.53	518.15	454.09	486.75	536.45	423.61	318.57	156.59	351.14	379.04	348.71
GTF3C4	45.85	26.1	47.84	223.41	228.13	92.7	120.94	248.0	279.14	120.1	244.57	127.0	255.0	217.27	96.01	150.17	143.01	273.37	120.94	131.51	226.54	118.43	167.9	180.02	249.73	109.66	204.07	265.87	291.04	131.51	127.89	146.03	123.5	206.94	157.68	129.69	118.43	144.01	166.73	112.77	154.42	152.28	140.04	264.03	144.01	111.99	275.28	156.59	208.38	116.78	97.36	142.01	237.86	90.77	78.34	226.54	173.85	87.65	136.19	264.03	127.0	103.69	149.12	133.36	101.54	126.12	110.43	127.0	120.94	194.36	215.77	178.77	273.37	183.82	153.34	198.47	332.14	134.3	140.04	136.19	194.36	271.48	119.26	111.99	149.12	146.03	279.14	111.21	145.02	285.03	148.09	239.52	82.29	134.3	237.86	170.25	232.94	122.64	205.5	267.73	100.83	127.89	202.66	138.1	139.07	161.02	99.43	190.34	116.78	108.14	127.89	155.5	88.26	113.56	118.43	145.02	123.5	102.25	138.1	145.02	121.79
HMGXB4	61.68	68.07	80.01	435.55	289.02	129.69	152.28	403.5	403.5	241.19	289.02	253.23	454.09	379.04	154.42	234.57	234.57	457.25	299.25	258.57	463.65	265.87	239.52	348.71	447.82	181.28	363.56	371.22	414.87	273.37	325.29	217.27	194.36	351.14	346.29	218.79	246.28	185.11	297.17	202.66	201.25	295.11	244.57	406.31	267.73	157.68	587.13	392.44	387.02	275.28	141.02	211.31	253.23	152.28	156.59	490.14	277.2	241.19	218.79	473.41	258.57	218.79	287.01	234.57	289.02	158.79	198.47	329.84	236.21	312.0	438.59	244.57	406.31	309.83	258.57	400.71	295.11	444.72	283.05	334.46	483.38	444.72	237.86	224.97	305.55	312.0	395.18	172.65	624.99	511.0	307.69	420.68	157.68	327.56	395.18	309.83	239.52	221.86	323.03	316.37	193.01	221.86	348.71	251.48	368.65	258.57	170.25	332.14	289.02	194.36	195.72	253.23	208.38	229.72	283.05	316.37	277.2	293.07	162.14	220.32	214.27
HN1L	532.74	500.46	748.61	4038.61	2555.58	2255.7	2485.67	2682.69	2855.44	2148.82	3081.75	3060.45	3081.75	2627.46	2417.67	2816.11	1794.29	2777.33	2502.97	2367.9	3874.05	2075.59	2609.3	3018.3	3325.99	1870.53	2855.44	2720.15	2739.08	2319.15	2255.7	2520.38	2502.97	2895.31	3124.78	2104.58	1721.16	1883.54	2895.31	1950.0	2816.11	1909.85	2796.65	3103.19	2664.15	2148.82	4836.35	2976.74	3168.41	2682.69	1407.55	2485.67	2384.37	2758.13	2075.59	3081.75	3716.2	1896.65	2777.33	3467.27	1923.14	2400.97	3018.3	2303.12	2351.53	1583.71	2485.67	2520.38	1963.57	3419.52	2816.11	2935.74	2935.74	2701.35	2047.0	3419.52	2163.77	2417.67	2739.08	3018.3	3060.45	3349.13	2485.67	2061.24	2956.17	2796.65	3303.0	2434.5	3124.78	2816.11	2855.44	3103.19	2148.82	2875.3	3190.46	3325.99	2133.97	2133.97	2664.15	2720.15	2047.0	2224.63	3303.0	2835.7	2018.8	2997.45	2090.03	2434.5	2400.97	2319.15	2976.74	1844.76	1963.57	2400.97	2335.28	2976.74	1963.57	2209.26	1896.65	1674.06	2367.9
HNRNPUL1	1023.0	775.05	1023.0	2796.65	2520.38	1617.0	2148.82	3467.27	3190.46	1896.65	2434.5	1909.85	2777.33	2645.74	1662.49	1794.29	1857.6	3955.48	1628.26	2335.28	2976.74	2075.59	2004.85	2720.15	3257.52	2193.99	2915.45	3124.78	2956.17	1936.53	1697.45	1909.85	1883.54	2720.15	2255.7	1923.14	2075.59	2485.67	2335.28	1651.0	2573.36	1977.24	1870.53	3349.13	2061.24	1369.04	2976.74	2240.11	2163.77	2075.59	1870.53	1304.15	1950.0	1498.22	1617.0	2485.67	3515.68	1674.06	2018.8	2720.15	2609.3	1697.45	2018.8	2104.58	1340.84	1923.14	1936.53	2739.08	2224.63	2434.5	3018.3	2664.15	2537.92	2758.13	2468.49	2287.2	2255.7	2351.53	1909.85	2178.83	2645.74	3280.18	1757.34	1950.0	2061.24	1819.35	2976.74	1721.16	2319.15	3103.19	2434.5	3190.46	1617.0	2271.4	2555.58	2555.58	2451.44	2271.4	2133.97	3060.45	1883.54	1936.53	2193.99	1819.35	2367.9	1950.0	1781.89	2777.33	2004.85	1857.6	1447.15	1896.65	1950.0	2018.8	2555.58	2485.67	1709.26	1151.06	2209.26	1617.0	1781.89
HNRNPUL2-BSCL2	212.78	93.35	146.03	567.1	642.59	435.55	409.15	693.58	743.43	417.77	470.14	438.59	497.0	638.15	403.5	463.65	435.55	896.64	426.57	543.96	693.58	403.5	559.28	616.37	890.44	395.18	642.59	723.08	555.41	454.09	624.99	409.15	336.79	547.75	684.02	463.65	444.72	511.0	656.11	242.88	536.45	444.72	297.17	559.28	669.92	376.41	587.13	432.53	567.1	450.94	363.56	493.56	559.28	387.02	511.0	743.43	656.11	232.94	483.38	607.87	532.74	486.75	480.04	599.49	460.44	551.56	373.81	559.28	463.65	555.41	679.29	511.0	536.45	536.45	497.0	460.44	371.22	679.29	536.45	599.49	684.02	684.02	444.72	387.02	555.41	353.59	642.59	403.5	555.41	775.05	612.11	693.58	521.76	599.49	507.46	603.67	444.72	460.44	547.75	708.18	258.57	457.25	503.95	547.75	591.22	571.05	389.72	656.11	312.0	281.09	285.03	457.25	299.25	575.03	466.88	339.14	293.07	49.56	457.25	457.25	218.79
HOMER1	13.42	17.64	18.97	33.78	129.69	30.34	36.79	83.45	67.59	35.76	105.89	110.43	111.99	72.01	22.1	76.17	85.22	69.52	29.06	34.75	70.01	27.44	31.67	30.78	127.89	46.18	68.55	87.03	71.5	29.06	24.46	53.95	32.13	54.33	76.17	38.95	27.84	25.54	55.1	65.26	41.22	55.89	32.13	211.31	38.12	33.78	204.07	65.26	94.01	58.3	55.49	146.03	31.9	11.38	15.45	119.26	94.01	41.81	45.53	90.14	25.35	12.18	38.67	38.67	37.32	40.64	17.38	23.42	43.94	96.68	32.82	27.05	55.89	40.93	27.44	159.9	41.81	77.79	53.19	20.71	96.01	70.51	39.5	42.41	16.88	32.82	65.26	18.16	59.55	57.49	33.54	92.7	44.25	26.47	50.27	72.52	46.5	45.53	69.03	33.3	21.16	27.84	49.21	59.13	99.43	89.51	24.11	46.18	26.47	25.54	17.25	28.04	20.71	25.54	22.43	35.25	20.86	24.81	33.54	39.79	27.64
HUWE1	633.73	579.04	660.68	1477.58	1685.71	1066.48	1225.22	2287.2	1883.54	1259.69	1685.71	1208.34	1733.13	1857.6	954.43	1313.23	1561.89	2148.82	1081.39	1295.13	1883.54	1340.84	1529.73	1583.71	1832.01	1096.5	1651.0	1721.16	1844.76	1540.37	1277.29	1407.55	1250.98	1781.89	1551.09	1331.57	1277.29	1437.15	1508.65	981.29	1457.23	1427.22	1216.75	1896.65	1286.18	1191.69	1508.65	1340.84	1617.0	1277.29	1191.69	1540.37	1819.35	1183.45	1096.5	2148.82	1733.13	961.07	1487.87	1551.09	1286.18	1159.07	1551.09	1487.87	854.13	1417.35	1331.57	1417.35	1242.34	1583.71	1806.78	1781.89	1594.73	1498.22	1594.73	1551.09	1551.09	1225.22	1350.18	1628.26	2004.85	1923.14	1407.55	1250.98	1685.71	954.43	1651.0	1304.15	1340.84	2075.59	1662.49	1909.85	1242.34	1437.15	1594.73	1628.26	1457.23	1313.23	1551.09	1709.26	1216.75	1477.58	1662.49	1572.76	1487.87	1350.18	1088.92	2004.85	1183.45	1322.37	1088.92	1639.59	1191.69	1427.22	1286.18	1183.45	813.63	518.15	1572.76	1242.34	1096.5
IGF1R	18.43	3.89	10.16	1044.52	830.75	271.48	129.69	1331.57	902.89	409.15	1259.69	466.88	551.56	507.46	249.73	791.35	480.04	571.05	688.78	432.53	1378.57	395.18	791.35	500.46	1015.93	529.06	796.86	638.15	1066.48	507.46	1073.91	332.14	339.14	698.41	178.77	368.65	325.29	384.34	503.95	395.18	642.59	447.82	258.57	2303.12	318.57	493.56	708.18	642.59	780.44	612.11	228.13	1151.06	693.58	361.04	242.88	854.13	679.29	221.86	406.31	896.64	429.54	848.22	460.44	473.41	171.45	224.97	599.49	693.58	152.28	638.15	1127.35	753.83	1015.93	995.0	660.68	967.76	473.41	620.67	521.76	624.99	540.19	674.59	813.63	279.14	591.22	251.48	575.03	381.68	878.17	1639.59	483.38	1127.35	400.71	373.81	995.0	961.07	420.68	497.0	514.56	599.49	376.41	473.41	669.92	651.58	947.83	406.31	190.34	612.11	228.13	363.56	497.0	603.67	587.13	679.29	638.15	463.65	299.25	189.02	473.41	329.84	351.14
