	TCGA.AK.3447.01A.01R.1766.07	TCGA.67.3770.01A.01R.0946.07	TCGA.49.4510.01A.01R.1206.07	TCGA.67.3773.01A.01R.0946.07	TCGA.75.6212.01A.11R.1755.07	TCGA.91.8496.01A.11R.2403.07	TCGA.62.8397.01A.11R.2326.07	TCGA.50.8460.01A.11R.2326.07	TCGA.97.8171.01A.11R.2287.07	GTEX.PLZ6.0426.SM.5IFK2	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.ET.A3DT.01A.11R.A19O.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A2PU.01A.12R.A19O.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A4UW.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.ET.A3BS.01A.11R.A206.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.DJ.A13L.01A.11R.A220.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.DJ.A1QQ.01A.11R.A14Y.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.J8.A3O2.01A.11R.A23N.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.KS.A4IC.01A.11R.A250.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.FY.A4B4.01A.11R.A23W.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.EL.A3H3.01A.11R.A206.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EM.A2P0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.EL.A3H4.01A.11R.A206.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.IM.A3ED.01A.11R.A206.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A1CT.01A.11R.A13Y.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.KS.A4IB.01A.11R.A250.07	TCGA.EL.A3ZN.01A.11R.A23N.07	TCGA.IM.A4EB.01A.11R.A250.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.ET.A40S.01A.11R.A23N.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.FY.A3R7.01A.11R.A220.07	TCGA.DJ.A3VA.01A.11R.A23N.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A22M.01A.11R.A32Y.07	TCGA.DJ.A3V2.01A.11R.A22U.07
TECPR2	15.56	75.11	111.99	65.26	152.28	67.12	155.5	156.59	191.67	89.51	163.28	161.02	212.78	126.12	138.1	211.31	164.42	226.54	156.59	183.82	175.07	221.86	181.28	165.57	155.5	224.97	142.01	201.25	163.28	228.13	166.73	113.56	181.28	181.28	161.02	181.28	172.65	163.28	165.57	258.57	248.0	177.53	249.73	171.45	176.29	146.03	180.02	171.45	120.94	223.41	191.67	187.71	198.47	155.5	281.09	132.44	99.43	177.53	206.94	137.14	217.27	244.57	265.87	146.03	198.47	214.27	242.88	226.54	236.21	212.78	165.57	176.29	176.29	217.27	133.36	269.6	204.07	258.57	244.57	264.03	182.55	149.12	175.07	271.48	264.03	190.34	181.28	182.55	164.42	117.6	224.97	154.42	132.44	138.1	244.57	232.94	193.01	260.38	265.87	234.57	231.32	191.67	229.72	208.38	214.27	287.01	156.59	329.84	182.55	295.11	265.87	194.36	182.55	189.02	120.1	215.77	170.25	167.9
TMF1	67.12	129.69	232.94	198.47	275.28	265.87	193.01	236.21	197.09	198.47	182.55	228.13	293.07	201.25	163.28	376.41	285.03	323.03	159.9	341.51	128.79	305.55	182.55	195.72	241.19	363.56	232.94	291.04	435.55	366.09	314.17	295.11	199.85	226.54	264.03	154.42	220.32	187.71	262.2	435.55	381.68	195.72	325.29	332.14	228.13	186.4	218.79	264.03	127.0	299.25	258.57	256.78	271.48	312.0	232.94	158.79	180.02	198.47	363.56	162.14	256.78	400.71	320.8	194.36	248.0	279.14	237.86	279.14	406.31	173.85	265.87	226.54	231.32	314.17	199.85	432.53	228.13	497.0	307.69	463.65	197.09	177.53	356.05	373.81	417.77	346.29	237.86	241.19	178.77	177.53	301.33	279.14	199.85	190.34	242.88	221.86	543.96	285.03	297.17	303.44	249.73	198.47	353.59	318.57	351.14	320.8	171.45	441.64	182.55	426.57	371.22	271.48	255.0	366.09	154.42	237.86	164.42	204.07
TNKS	26.28	66.65	99.43	93.35	114.36	95.34	55.89	139.07	223.41	100.13	197.09	208.38	241.19	178.77	144.01	299.25	197.09	255.0	175.07	299.25	154.42	327.56	170.25	191.67	193.01	287.01	202.66	244.57	301.33	320.8	234.57	223.41	172.65	170.25	206.94	167.9	177.53	177.53	221.86	368.65	283.05	224.97	258.57	264.03	149.12	197.09	215.77	224.97	148.09	242.88	204.07	217.27	255.0	204.07	185.11	163.28	183.82	211.31	318.57	166.73	258.57	309.83	277.2	165.57	215.77	231.32	212.78	224.97	323.03	205.5	193.01	171.45	199.85	242.88	194.36	332.14	224.97	339.14	283.05	343.89	177.53	171.45	229.72	277.2	312.0	258.57	236.21	183.82	169.07	156.59	271.48	228.13	175.07	178.77	246.28	212.78	363.56	244.57	231.32	239.52	221.86	190.34	241.19	241.19	226.54	277.2	177.53	325.29	195.72	318.57	353.59	175.07	195.72	283.05	103.69	145.02	181.28	186.4
TNKS2	77.79	234.57	281.09	262.2	361.04	358.54	358.54	265.87	397.93	295.11	376.41	384.34	435.55	325.29	285.03	583.07	432.53	514.56	289.02	525.39	178.77	460.44	303.44	358.54	387.02	595.34	395.18	500.46	660.68	599.49	473.41	441.64	334.46	316.37	423.61	320.8	363.56	346.29	480.04	536.45	620.67	412.0	435.55	521.76	343.89	361.04	414.87	493.56	244.57	483.38	426.57	381.68	432.53	325.29	381.68	229.72	309.83	371.22	607.87	275.28	497.0	679.29	571.05	368.65	353.59	412.0	379.04	514.56	642.59	358.54	371.22	371.22	450.94	460.44	299.25	647.07	389.72	603.67	493.56	642.59	387.02	287.01	497.0	575.03	624.99	563.18	457.25	376.41	334.46	351.14	466.88	441.64	363.56	299.25	409.15	320.8	738.29	480.04	497.0	473.41	444.72	341.51	503.95	521.76	497.0	518.15	309.83	688.78	412.0	698.41	587.13	395.18	395.18	620.67	221.86	435.55	275.28	373.81
TNRC6B	8.19	71.0	42.41	49.56	120.94	38.95	82.29	74.58	104.42	55.49	73.54	75.11	87.65	62.12	62.12	126.12	77.79	106.63	58.71	110.43	66.18	108.9	86.43	65.72	85.82	131.51	96.01	96.68	92.7	115.16	111.99	96.68	73.54	74.06	83.45	81.14	54.33	74.58	101.54	145.02	128.79	77.25	105.89	100.83	115.16	76.71	56.68	97.36	55.1	111.99	70.51	102.97	94.01	110.43	76.17	64.34	62.56	51.71	143.01	67.59	100.13	146.03	117.6	64.34	59.13	80.57	64.8	85.82	121.79	57.08	87.65	68.07	86.43	81.71	66.18	118.43	65.26	109.66	96.68	127.0	74.06	71.5	67.12	129.69	156.59	112.77	112.77	94.67	59.55	73.54	84.63	64.8	71.0	64.8	108.9	96.01	190.34	107.38	111.99	97.36	67.59	77.79	90.14	95.34	72.01	113.56	71.0	134.3	92.7	126.12	137.14	86.43	82.29	111.21	45.53	66.65	50.98	74.06
TRPS1	7.34	49.56	43.32	19.53	33.06	22.26	41.52	40.07	8.25	14.89	55.49	50.63	44.25	37.32	47.5	75.64	52.82	90.77	44.89	68.55	44.89	76.17	46.5	38.95	66.65	88.88	50.63	80.57	74.06	105.89	72.01	69.52	59.55	34.02	59.97	55.1	47.84	43.32	74.06	92.05	75.64	47.17	74.06	106.63	42.41	47.5	58.3	79.45	28.65	102.97	53.57	64.8	56.28	94.67	40.93	36.79	17.13	54.33	117.6	34.51	50.63	100.13	83.45	47.17	43.32	71.0	73.03	65.26	93.35	38.95	50.98	49.21	56.28	70.01	34.26	87.03	60.82	106.63	81.14	114.36	59.97	45.53	38.67	71.5	113.56	95.34	60.82	55.49	36.53	38.12	90.77	40.07	89.51	53.95	84.04	73.54	146.03	83.45	76.71	72.52	53.57	50.27	94.01	63.89	54.33	89.51	41.22	88.88	80.57	94.01	102.25	66.65	62.12	75.11	19.82	40.93	37.32	50.63
TTBK2	10.0	28.24	23.93	31.0	45.53	25.72	34.51	36.53	37.05	43.02	43.32	48.18	51.71	41.52	30.34	67.59	52.08	59.13	31.67	82.29	23.93	59.13	46.84	47.5	51.71	77.25	47.84	63.89	61.25	76.17	73.54	47.5	32.82	36.53	63.0	36.53	51.35	46.84	55.89	63.45	70.51	47.5	53.57	84.04	44.25	40.64	46.5	64.34	31.22	55.89	41.81	47.17	55.1	74.58	39.79	33.06	34.75	63.0	70.51	36.27	53.57	76.71	67.59	39.22	42.41	61.68	55.89	67.59	77.25	35.76	53.19	50.98	50.27	69.52	40.36	82.87	52.08	79.45	72.01	73.54	46.5	41.22	56.68	77.79	90.14	69.52	56.28	38.67	41.52	41.81	73.03	51.35	61.25	42.11	50.98	51.71	95.34	45.53	49.56	52.08	50.27	54.33	82.87	59.97	46.84	58.3	52.08	73.54	46.18	98.04	63.45	45.85	52.82	78.89	38.4	50.27	37.32	45.53
UBXN7	15.45	66.18	95.34	45.21	146.03	77.79	93.35	99.43	119.26	80.01	148.09	153.34	154.42	112.77	96.68	234.57	141.02	182.55	104.42	189.02	102.97	197.09	120.94	124.37	131.51	224.97	153.34	167.9	221.86	237.86	164.42	171.45	115.16	134.3	142.01	116.78	133.36	124.37	167.9	241.19	242.88	153.34	175.07	224.97	108.9	128.79	148.09	159.9	92.05	198.47	143.01	142.01	193.01	167.9	139.07	92.05	97.36	127.89	241.19	113.56	178.77	229.72	193.01	115.16	167.9	163.28	156.59	172.65	242.88	129.69	111.21	137.14	151.22	183.82	136.19	258.57	175.07	275.28	197.09	279.14	151.22	131.51	159.9	194.36	239.52	190.34	173.85	147.06	118.43	103.69	211.31	164.42	120.1	126.12	175.07	127.89	289.02	181.28	212.78	156.59	146.03	122.64	231.32	205.5	170.25	204.07	119.26	232.94	165.57	246.28	231.32	135.24	158.79	228.13	81.14	123.5	132.44	138.1
WDR47	19.39	66.18	62.12	83.45	105.15	122.64	69.03	69.03	74.06	111.21	68.55	74.58	81.14	54.33	91.41	102.97	84.04	95.34	58.3	112.77	51.71	100.83	71.0	67.59	85.22	132.44	64.34	77.79	122.64	124.37	88.88	94.01	55.89	78.34	95.34	58.3	77.79	81.71	77.25	85.22	99.43	75.11	78.34	112.77	70.01	64.34	62.12	96.01	50.27	90.77	84.04	56.28	82.87	103.69	87.65	53.57	57.89	87.03	111.99	59.13	74.58	132.44	109.66	68.55	69.52	81.71	88.26	96.01	108.14	63.45	87.65	85.82	82.87	81.71	60.39	96.68	72.52	154.42	100.83	102.97	77.79	59.13	94.01	80.01	121.79	107.38	87.65	77.79	56.68	67.59	107.38	62.56	76.71	67.12	68.55	72.52	144.01	78.89	92.7	83.45	78.89	82.29	114.36	101.54	90.14	107.38	62.56	103.69	67.12	129.69	101.54	111.21	81.14	116.78	96.68	72.52	60.82	81.71
XRN1	81.71	86.43	90.77	116.78	120.1	146.03	74.06	97.36	113.56	77.79	97.36	126.12	135.24	94.01	63.0	265.87	127.89	137.14	70.51	166.73	51.71	152.28	93.35	100.83	136.19	187.71	131.51	130.6	189.02	214.27	143.01	148.09	99.43	84.04	147.06	82.29	101.54	84.04	127.0	180.02	198.47	117.6	144.01	173.85	98.04	79.45	140.04	113.56	58.3	163.28	111.21	134.3	139.07	120.1	96.68	70.01	70.51	127.89	251.48	88.26	144.01	229.72	175.07	90.77	106.63	162.14	153.34	152.28	193.01	113.56	109.66	135.24	121.79	178.77	96.68	198.47	125.24	209.84	167.9	239.52	115.97	82.29	139.07	204.07	180.02	171.45	133.36	111.99	89.51	84.63	205.5	143.01	127.0	104.42	127.0	130.6	241.19	155.5	131.51	137.14	117.6	102.97	182.55	144.01	142.01	164.42	96.01	212.78	118.43	223.41	220.32	98.04	110.43	201.25	74.58	101.54	124.37	115.97
ZFP90	55.49	251.48	221.86	167.9	199.85	229.72	127.0	297.17	81.14	204.07	234.57	198.47	242.88	167.9	175.07	356.05	180.02	346.29	155.5	275.28	151.22	309.83	249.73	220.32	202.66	334.46	249.73	271.48	299.25	351.14	239.52	281.09	120.1	182.55	223.41	229.72	208.38	214.27	264.03	332.14	332.14	199.85	205.5	332.14	152.28	211.31	228.13	241.19	175.07	348.71	224.97	205.5	293.07	256.78	208.38	156.59	152.28	186.4	318.57	212.78	198.47	305.55	275.28	148.09	241.19	265.87	291.04	208.38	295.11	127.0	220.32	224.97	215.77	379.04	204.07	275.28	260.38	309.83	373.81	334.46	214.27	185.11	242.88	264.03	318.57	260.38	214.27	165.57	151.22	231.32	307.69	218.79	201.25	215.77	269.6	264.03	363.56	199.85	244.57	264.03	242.88	242.88	332.14	283.05	241.19	295.11	182.55	320.8	176.29	301.33	323.03	208.38	255.0	320.8	221.86	153.34	246.28	198.47
ZNF148	70.01	116.78	133.36	105.89	186.4	194.36	95.34	126.12	138.1	120.1	162.14	145.02	191.67	153.34	124.37	307.69	193.01	327.56	125.24	279.14	99.43	209.84	153.34	171.45	181.28	309.83	214.27	295.11	320.8	368.65	309.83	202.66	144.01	117.6	157.68	162.14	234.57	112.77	246.28	356.05	414.87	189.02	287.01	231.32	120.1	186.4	201.25	231.32	104.42	258.57	165.57	241.19	251.48	195.72	195.72	96.01	149.12	177.53	368.65	108.14	271.48	395.18	305.55	148.09	158.79	185.11	155.5	256.78	336.79	226.54	171.45	152.28	267.73	256.78	137.14	381.68	189.02	379.04	309.83	381.68	158.79	137.14	237.86	305.55	483.38	297.17	208.38	175.07	128.79	176.29	264.03	214.27	140.04	123.5	228.13	152.28	507.46	206.94	267.73	289.02	214.27	191.67	301.33	214.27	193.01	332.14	114.36	373.81	153.34	336.79	490.14	132.44	191.67	323.03	108.14	133.36	115.16	169.07
ZNF699	7.63	20.86	25.91	24.11	9.63	33.3	14.67	12.55	5.63	27.44	13.32	15.45	21.78	7.4	8.99	34.75	17.38	29.27	6.67	35.0	8.19	18.84	11.38	7.46	13.52	41.22	16.51	16.27	33.06	38.4	19.53	20.26	11.91	14.56	17.77	11.47	10.24	10.88	18.43	46.84	30.56	20.11	19.25	35.25	7.0	11.64	10.88	16.03	6.36	28.04	20.71	22.59	14.24	14.89	23.08	5.41	7.17	8.58	43.32	8.58	27.44	52.08	30.78	10.79	14.03	16.75	22.92	23.76	40.93	13.12	6.78	13.03	24.81	26.1	10.63	40.07	15.0	31.45	47.17	44.57	13.12	10.0	30.56	44.57	33.06	28.04	14.56	12.27	14.14	6.84	28.45	14.89	16.88	6.46	20.71	18.29	55.1	15.91	26.47	36.79	15.56	13.42	44.89	40.36	23.08	28.04	9.85	43.32	15.45	62.56	41.22	14.89	20.26	31.0	11.13	14.35	13.83	17.13
