	TCGA.W5.AA2I.11A.11R.A41I.07	GTEX.Y9LG.1526.SM.4WWDR	GTEX.11LCK.2026.SM.5A5MA	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.13QBU.1826.SM.5IJG3	GTEX.ZT9W.1826.SM.51MQX	GTEX.YJ8O.0326.SM.5RQJW	GTEX.13QIC.2026.SM.5N9G9	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZYFC.2226.SM.5NQ96	GTEX.11NUK.1726.SM.5A5L2	GTEX.11OF3.2326.SM.5GU73	GTEX.11UD2.1526.SM.5EQLQ	GTEX.13OW7.1926.SM.5LUB4	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	GTEX.14753.1926.SM.5NQAA	TCGA.KL.8323.01A.21R.2315.07	TCGA.KL.8335.01A.11R.2315.07	TCGA.KO.8407.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KN.8425.01A.11R.2315.07	TCGA.KL.8332.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8434.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KN.8424.01A.11R.2315.07	TCGA.KN.8436.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KL.8340.01A.11R.2315.07	TCGA.KL.8334.01A.11R.2315.07	TCGA.KL.8345.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.11GS4.2326.SM.5A5KS	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.AK.3433.01A.02R.1277.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.5P.A9KH.01A.11R.A42S.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A11B.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.12WSI.0226.SM.5GCNA	GTEX.X261.1726.SM.4PQYT	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.11NUK.1226.SM.5P9GM	GTEX.12WSM.0726.SM.5GCOW	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.XBEC.1526.SM.4AT68	GTEX.11DXY.0526.SM.5EGGQ	GTEX.145MO.2326.SM.5NQ9K	GTEX.RN64.1826.SM.48FDV	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.HU.8238.01A.11R.2343.13	TCGA.CG.5734.11A.01R.1602.13	GTEX.VJYA.1026.SM.4KL21	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A3O9.01A.11R.A220.07
HMG20A	291.04	511.0	514.56	476.71	366.09	426.57	283.05	473.41	583.07	616.37	599.49	463.65	480.04	525.39	540.19	480.04	669.92	412.0	529.06	463.65	480.04	444.72	441.64	620.67	551.56	665.29	660.68	493.56	518.15	693.58	503.95	665.29	591.22	967.76	607.87	651.58	563.18	429.54	796.86	417.77	483.38	426.57	420.68	551.56	684.02	129.69	403.5	638.15	559.28	493.56	248.0	185.11	297.17	248.0	595.34	297.17	260.38	287.01	435.55	503.95	473.41	358.54	214.27	318.57	226.54	358.54	318.57	417.77	224.97	291.04	470.14	318.57	368.65	343.89	403.5	366.09	379.04	429.54	395.18	307.69	476.71	457.25	253.23	348.71	397.93	177.53	231.32	373.81	420.68	291.04	371.22	460.44	217.27	366.09	329.84	392.44	379.04	353.59	483.38	473.41	575.03	273.37	289.02
HSP90AA1	2875.3	4095.0	4152.18	4239.45	5441.3	3690.52	4704.07	3768.09	5517.27	8901.53	5366.37	4388.98	3212.66	3820.7	5041.77	8421.31	7695.57	3349.13	14361.31	15499.21	15824.9	10225.32	19618.49	8778.97	11345.82	23820.89	11584.24	9025.81	16496.96	17437.64	18178.19	13399.51	23330.64	28525.2	31215.04	10368.08	20310.37	17078.76	39237.98	10733.74	11584.24	12676.65	25530.66	11745.96	16843.62	10659.59	3467.27	31432.17	8778.97	16269.83	9540.5	6037.61	4639.29	5995.9	13681.08	6037.61	5292.48	8421.31	8901.53	6207.38	10084.54	4328.55	4298.64	3419.52	2119.22	5329.3	4869.99	7537.18	2739.08	3665.02	4066.71	4575.41	5329.3	4123.49	3564.78	2835.7	3874.05	3081.75	3874.05	2367.9	4802.93	3395.89	2796.65	4010.71	4038.61	2796.65	3794.3	4903.87	4736.79	28923.41	12502.12	12329.98	6294.04	4239.45	3768.09	4869.99	6250.56	5441.3	5872.48	5913.33	6164.49	13872.08	4419.52
HSPA8	5791.62	10733.74	11267.44	10225.32	9673.69	8778.97	11664.82	10154.69	7280.4	16727.26	8022.41	9808.75	5711.87	3901.01	7642.41	14163.58	13586.57	8305.36	24490.61	23820.89	13872.08	12329.98	10368.08	16496.96	11827.67	13492.72	26248.46	17558.94	12160.22	20030.74	21768.19	16496.96	23986.58	16960.78	11745.96	12502.12	17197.56	22850.48	23986.58	23169.48	25005.23	36864.92	48307.85	11267.44	36106.23	13215.02	16611.71	27938.14	21172.91	33922.56	23330.64	5555.65	14561.8	22225.61	22380.2	10296.45	13123.73	13215.02	11745.96	15075.35	16383.0	10225.32	8363.13	6699.25	12076.21	14663.09	5791.62	10512.82	6561.36	9673.69	10883.59	10659.59	12076.21	12853.63	8363.13	5995.9	5791.62	5633.22	12853.63	6607.01	11424.74	7911.95	10585.95	7749.1	12415.75	4769.75	8538.88	9151.82	12160.22	9151.82	11909.94	17197.56	22225.61	17927.91	19082.0	11035.54	17317.18	29124.6	23656.34	17681.08	9945.68	17437.64	11909.94
HSPH1	389.72	473.41	616.37	543.96	571.05	486.75	674.59	688.78	802.41	796.86	890.44	571.05	693.58	587.13	1088.92	1437.15	1397.83	733.19	1331.57	1487.87	1857.6	1857.6	2645.74	571.05	1295.13	2573.36	915.51	1322.37	1594.73	1605.83	2148.82	1529.73	3395.89	4328.55	3018.3	2468.49	1594.73	1991.0	5076.84	1015.93	1322.37	1037.29	4639.29	3257.52	2163.77	802.41	490.14	5041.77	854.13	1540.37	1651.0	583.07	624.99	802.41	2104.58	791.35	1015.93	1081.39	599.49	791.35	1769.57	429.54	642.59	358.54	223.41	503.95	674.59	718.08	358.54	591.22	417.77	647.07	629.35	525.39	555.41	381.68	351.14	239.52	647.07	323.03	638.15	540.19	320.8	738.29	547.75	206.94	291.04	575.03	669.92	2935.74	1583.71	1427.22	954.43	718.08	547.75	624.99	1183.45	934.76	633.73	343.89	1397.83	1350.18	1073.91
HYAL4	0.58	0.0	1.57	1.66	4.24	0.92	0.0	0.0	0.97	0.0	0.0	0.0	0.0	2.53	0.0	0.0	0.0	1.06	265.87	23.93	59.13	0.46	0.39	65.72	19.39	346.29	61.25	1.19	7.82	38.4	65.72	63.0	147.06	10.24	41.81	0.75	12.74	37.05	684.02	0.0	18.56	4.46	6.94	183.82	0.39	52.45	18.7	25.72	3.44	4.54	0.39	0.0	0.0	0.0	24.46	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	24.63	0.91	0.0	0.0	0.88	0.0	0.0	0.0	0.91	0.0	0.0	15.68	0.0	0.0	3.17	0.0	1.04	0.0	0.0	0.0	8.06	1.36	3.32	0.0	1.11	0.0	9.41	0.0	0.0	0.0	0.0	0.0	0.0	435.55
ING3	105.15	332.14	191.67	212.78	195.72	212.78	201.25	175.07	312.0	301.33	194.36	165.57	234.57	136.19	256.78	253.23	218.79	186.4	273.37	237.86	234.57	159.9	155.5	126.12	157.68	226.54	329.84	134.3	226.54	316.37	182.55	158.79	285.03	224.97	164.42	258.57	185.11	264.03	289.02	277.2	325.29	144.01	314.17	228.13	412.0	108.14	246.28	314.17	234.57	217.27	62.56	63.0	63.89	67.59	295.11	114.36	121.79	81.14	155.5	94.67	175.07	137.14	99.43	152.28	36.53	84.04	108.9	162.14	71.0	96.01	152.28	153.34	127.89	147.06	146.03	132.44	162.14	126.12	166.73	94.67	191.67	135.24	115.97	134.3	83.45	90.77	96.68	165.57	132.44	190.34	157.68	159.9	149.12	251.48	269.6	143.01	171.45	236.21	175.07	145.02	220.32	170.25	159.9
INPP4B	7.82	88.88	63.0	73.03	105.15	50.63	111.99	66.65	117.6	175.07	97.36	133.36	127.89	62.12	130.6	81.71	82.87	301.33	967.76	607.87	395.18	624.99	363.56	23.93	112.77	503.95	343.89	167.9	688.78	703.28	647.07	420.68	854.13	323.03	332.14	289.02	384.34	629.35	836.53	151.22	208.38	60.82	48.87	444.72	164.42	275.28	255.0	363.56	108.9	165.57	32.59	26.86	18.84	14.45	1008.9	29.7	78.34	38.67	24.11	22.75	96.68	6.89	7.17	9.27	4.1	13.22	8.13	37.32	10.71	11.47	45.53	16.63	18.16	6.46	19.11	30.12	30.78	17.9	17.38	12.55	43.94	19.53	11.73	21.47	4.74	14.35	4.1	24.28	7.28	63.89	193.01	208.38	62.12	70.51	46.18	60.82	218.79	122.64	79.45	32.13	133.36	131.51	85.82
IPO11	137.14	175.07	158.79	190.34	181.28	130.6	136.19	279.14	336.79	293.07	283.05	265.87	212.78	149.12	371.22	309.83	341.51	255.0	579.04	343.89	381.68	198.47	299.25	223.41	221.86	285.03	299.25	514.56	373.81	417.77	403.5	323.03	420.68	432.53	329.84	414.87	397.93	476.71	373.81	423.61	417.77	503.95	486.75	334.46	336.79	612.11	307.69	723.08	307.69	450.94	154.42	124.37	221.86	255.0	373.81	193.01	181.28	197.09	241.19	226.54	348.71	157.68	120.94	125.24	99.43	159.9	186.4	205.5	125.24	127.89	209.84	255.0	114.36	194.36	183.82	167.9	175.07	133.36	152.28	143.01	187.71	153.34	154.42	130.6	144.01	93.35	134.3	170.25	158.79	253.23	320.8	237.86	144.01	223.41	218.79	232.94	339.14	312.0	283.05	483.38	339.14	511.0	480.04
ITGAV	115.16	226.54	172.65	234.57	295.11	220.32	181.28	642.59	813.63	728.11	616.37	555.41	438.59	860.08	633.73	540.19	764.36	595.34	1540.37	791.35	679.29	2018.8	384.34	470.14	866.07	1073.91	1135.2	2591.27	860.08	1277.29	1081.39	599.49	1757.34	967.76	753.83	909.17	1508.65	1350.18	830.75	2739.08	3639.7	1304.15	2997.45	743.43	1721.16	571.05	412.0	1096.5	1733.13	2004.85	473.41	753.83	507.46	543.96	1199.98	353.59	503.95	514.56	571.05	206.94	435.55	86.43	111.21	172.65	49.21	242.88	191.67	127.89	44.57	86.43	529.06	111.99	61.25	211.31	244.57	77.79	120.94	37.05	165.57	40.64	95.34	105.89	66.65	112.77	35.0	59.97	78.89	94.67	162.14	470.14	909.17	603.67	228.13	547.75	283.05	473.41	769.69	351.14	423.61	738.29	1183.45	723.08	325.29
ITPRIP	49.56	75.11	108.9	76.17	163.28	71.5	67.59	264.03	629.35	305.55	339.14	420.68	221.86	860.08	642.59	878.17	301.33	872.1	232.94	287.01	366.09	318.57	305.55	346.29	497.0	115.97	447.82	642.59	361.04	226.54	571.05	361.04	444.72	236.21	260.38	387.02	363.56	295.11	277.2	563.18	2468.49	100.83	1757.34	283.05	373.81	194.36	339.14	251.48	624.99	536.45	80.57	214.27	249.73	157.68	146.03	242.88	271.48	251.48	120.94	126.12	454.09	124.37	46.18	46.18	126.12	149.12	198.47	120.94	189.02	127.0	129.69	187.71	158.79	64.34	195.72	181.28	232.94	287.01	130.6	120.94	133.36	142.01	70.01	175.07	63.89	199.85	77.25	221.86	69.03	135.24	366.09	169.07	178.77	208.38	289.02	236.21	703.28	384.34	356.05	555.41	738.29	454.09	642.59
KAT5	536.45	1313.23	1427.22	1104.13	1286.18	1111.82	1159.07	1572.76	1159.07	1250.98	1081.39	1242.34	1388.16	928.3	1175.27	1030.12	1104.13	872.1	1369.04	1498.22	1733.13	1340.84	791.35	1936.53	1427.22	791.35	1709.26	1199.98	1769.57	1350.18	1617.0	1437.15	1417.35	1143.1	947.83	1437.15	1359.57	1572.76	651.58	988.12	1322.37	836.53	848.22	1769.57	1685.71	791.35	1498.22	733.19	1111.82	961.07	607.87	713.11	947.83	1135.2	1397.83	1044.52	1015.93	981.29	607.87	397.93	775.05	500.46	547.75	476.71	486.75	476.71	514.56	571.05	540.19	591.22	638.15	447.82	660.68	460.44	412.0	551.56	563.18	575.03	563.18	480.04	688.78	728.11	503.95	514.56	713.11	293.07	961.07	507.46	616.37	738.29	656.11	866.07	967.76	902.89	921.88	921.88	842.36	679.29	1685.71	1437.15	934.76	967.76	1359.57
KCNIP1	0.0	2.86	3.35	1.33	4.98	1.68	1.6	28.86	31.67	61.25	25.72	13.93	162.14	22.59	22.59	31.0	28.24	32.36	27.05	3.03	16.63	2.43	2.43	262.2	53.57	4.62	20.71	1.25	32.13	0.79	37.05	5.73	33.54	14.45	65.26	8.25	4.78	24.99	728.11	99.43	232.94	164.42	19.25	6.78	151.22	1.17	389.72	244.57	51.71	54.33	0.42	1.03	15.68	34.26	8.45	4.78	2.27	7.17	0.0	0.8	3.38	2.18	3.59	3.03	0.41	0.0	0.0	10.88	3.79	4.17	14.56	0.0	2.39	1.58	19.68	0.0	11.13	0.85	5.36	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	8.13	0.0	2.46	6.67	3.53	3.03	8.45	1.14	0.0	9.56	4.9	26.28	1.95	11.64	2.29	8.32
KCTD12	38.67	353.59	642.59	368.65	318.57	177.53	54.72	842.36	1697.45	2271.4	1225.22	1051.79	961.07	825.0	1447.15	1508.65	1857.6	842.36	1651.0	1088.92	713.11	1378.57	688.78	454.09	603.67	1159.07	2555.58	312.0	638.15	1388.16	642.59	476.71	819.3	1447.15	555.41	493.56	1183.45	563.18	708.18	780.44	2739.08	819.3	1096.5	775.05	2335.28	271.48	679.29	575.03	941.27	1359.57	246.28	173.85	381.68	435.55	1183.45	551.56	435.55	796.86	72.52	47.84	332.14	52.82	127.89	71.0	24.81	115.97	104.42	78.89	33.78	65.26	341.51	47.84	43.32	30.12	395.18	78.34	291.04	67.59	55.49	33.3	101.54	114.36	18.84	48.18	38.12	12.18	17.51	67.12	63.0	486.75	1963.57	438.59	253.23	241.19	135.24	220.32	1225.22	579.04	890.44	269.6	848.22	346.29	400.71
KIAA0355	96.68	194.36	239.52	212.78	206.94	197.09	98.04	232.94	599.49	267.73	291.04	187.71	156.59	163.28	514.56	381.68	234.57	293.07	242.88	212.78	293.07	137.14	136.19	124.37	202.66	244.57	194.36	327.56	221.86	211.31	305.55	197.09	232.94	251.48	217.27	244.57	253.23	226.54	269.6	297.17	500.46	131.51	376.41	208.38	246.28	34.75	171.45	291.04	285.03	334.46	82.87	71.0	62.12	73.03	267.73	84.04	94.67	81.14	121.79	95.34	177.53	88.88	78.89	91.41	66.18	120.94	73.03	72.52	159.9	147.06	84.04	148.09	65.26	49.91	78.89	126.12	71.5	137.14	134.3	68.55	76.17	74.06	120.1	135.24	149.12	197.09	74.06	68.55	82.87	155.5	221.86	113.56	119.26	166.73	82.29	242.88	239.52	176.29	197.09	224.97	301.33	363.56	236.21
KIAA0947	76.17	137.14	118.43	130.6	218.79	127.0	96.01	180.02	169.07	208.38	173.85	180.02	199.85	209.84	149.12	142.01	183.82	141.02	463.65	277.2	305.55	175.07	198.47	99.43	108.9	195.72	291.04	320.8	299.25	361.04	323.03	229.72	387.02	507.46	287.01	269.6	341.51	320.8	400.71	248.0	239.52	150.17	283.05	248.0	267.73	92.05	144.01	334.46	251.48	273.37	105.15	85.22	102.97	126.12	460.44	109.66	90.77	115.97	158.79	156.59	135.24	85.82	69.52	88.26	29.7	94.01	73.03	123.5	76.71	74.06	108.14	80.57	115.97	65.72	75.11	83.45	66.18	57.08	96.68	75.11	107.38	81.14	63.45	49.56	87.03	17.64	191.67	69.03	77.25	147.06	167.9	256.78	85.82	149.12	105.15	161.02	117.6	125.24	120.1	159.9	150.17	277.2	163.28
KIAA1324L	24.46	63.89	96.01	82.87	59.55	54.33	67.59	332.14	320.8	197.09	409.15	327.56	189.02	183.82	267.73	249.73	198.47	262.2	743.43	8.71	559.28	93.35	31.45	12.27	12.83	444.72	140.04	65.72	759.08	126.12	624.99	28.45	301.33	204.07	70.01	669.92	15.45	728.11	909.17	242.88	503.95	46.84	23.25	26.67	143.01	2.36	332.14	1561.89	102.25	108.14	7.0	3.56	57.49	55.1	890.44	7.63	59.55	6.31	10.88	5.63	42.11	4.46	8.0	23.93	18.97	24.81	21.63	24.46	9.27	9.93	215.77	18.03	18.84	10.39	31.45	28.65	55.49	9.56	31.45	9.78	17.77	34.02	10.88	35.5	6.16	26.1	18.7	71.0	3.89	128.79	45.21	17.13	27.44	19.97	30.56	15.0	151.22	55.1	38.95	126.12	248.0	157.68	78.89
KIT	4.62	217.27	65.72	67.59	336.79	46.5	64.8	563.18	633.73	1088.92	1096.5	514.56	764.36	543.96	2875.3	1639.59	988.12	872.1	2796.65	4575.41	2224.63	2224.63	1331.57	981.29	2271.4	5147.73	3928.15	3212.66	2915.45	3540.14	2935.74	2319.15	3190.46	8134.41	2148.82	2271.4	3280.18	4903.87	6471.02	232.94	981.29	334.46	878.17	2004.85	7589.61	669.92	2777.33	2303.12	361.04	480.04	12.27	2.53	5.06	13.52	7642.41	10.0	9.93	43.63	34.02	22.1	61.25	3.76	3.14	5.96	6.89	8.25	16.88	4.58	4.24	4.1	26.86	7.75	8.38	2.07	10.63	34.75	4.03	10.39	17.51	7.22	11.04	23.25	2.78	33.54	10.47	6.67	46.84	47.84	11.64	224.97	143.01	212.78	114.36	1135.2	420.68	567.1	135.24	361.04	1242.34	28.45	41.52	460.44	24.11
KITLG	18.56	187.71	195.72	212.78	417.77	171.45	115.16	665.29	769.69	775.05	854.13	647.07	848.22	289.02	457.25	583.07	688.78	412.0	1508.65	587.13	651.58	84.04	159.9	96.68	143.01	674.59	587.13	236.21	1832.01	567.1	1583.71	269.6	1250.98	1191.69	187.71	638.15	403.5	1378.57	1127.35	703.28	3060.45	819.3	1950.0	525.39	1674.06	301.33	351.14	1909.85	1104.13	1059.11	75.64	16.03	121.79	35.0	708.18	348.71	60.82	314.17	80.57	37.85	130.6	15.0	15.34	19.97	3.72	25.54	27.44	48.52	6.01	15.34	208.38	28.65	14.45	18.16	70.51	58.3	63.0	38.4	12.45	22.92	43.63	22.26	31.45	9.7	26.1	7.17	9.27	94.67	63.45	275.28	723.08	775.05	106.63	358.54	96.01	133.36	447.82	318.57	348.71	204.07	152.28	187.71	150.17
KLHL9	107.38	262.2	305.55	248.0	241.19	248.0	181.28	176.29	234.57	265.87	269.6	136.19	228.13	80.01	167.9	111.99	264.03	138.1	351.14	379.04	358.54	267.73	239.52	111.99	143.01	473.41	490.14	248.0	414.87	688.78	511.0	287.01	703.28	361.04	400.71	444.72	567.1	457.25	620.67	275.28	599.49	264.03	480.04	327.56	842.36	218.79	412.0	642.59	450.94	579.04	220.32	146.03	194.36	204.07	674.59	194.36	187.71	181.28	141.02	130.6	155.5	103.69	111.99	140.04	86.43	123.5	128.79	113.56	58.3	131.51	253.23	164.42	107.38	118.43	152.28	110.43	94.01	74.58	182.55	58.3	186.4	140.04	134.3	80.57	150.17	55.49	74.58	142.01	119.26	52.08	212.78	140.04	98.04	249.73	111.21	327.56	218.79	158.79	303.44	183.82	212.78	273.37	129.69
LAMB4	0.0	5.68	1.79	4.28	0.0	2.25	1.14	15.45	16.51	2.12	1.62	3.03	8.85	6.84	11.04	8.99	3.0	9.56	703.28	12.36	343.89	107.38	23.93	190.34	961.07	759.08	351.14	118.43	221.86	15.45	567.1	271.48	77.25	693.58	351.14	1950.0	161.02	753.83	2351.53	20.11	12.36	126.12	63.0	483.38	323.03	11.82	146.03	1167.14	70.01	29.27	2.46	1.51	0.39	5.41	1037.29	2.39	6.26	1.93	5.59	0.0	24.99	1.6	0.0	1.77	0.0	1.79	1.89	0.0	0.4	0.0	0.34	5.68	0.79	3.66	0.0	0.0	0.0	2.27	2.89	2.68	6.16	0.0	3.44	0.35	0.0	3.14	0.0	3.14	0.0	10.55	2.89	9.41	4.66	8.78	20.41	3.72	8.58	22.75	2.92	0.55	5.41	13.03	4.98
LARS	334.46	718.08	1096.5	785.88	1388.16	878.17	698.41	624.99	902.89	872.1	878.17	718.08	1111.82	1088.92	703.28	624.99	921.88	624.99	1437.15	1447.15	1167.14	638.15	961.07	441.64	356.05	1088.92	1104.13	974.5	1143.1	1151.06	1233.75	974.5	2004.85	2485.67	1159.07	1369.04	1313.23	1199.98	1340.84	896.64	1151.06	638.15	2061.24	1769.57	854.13	583.07	1447.15	1896.65	819.3	941.27	723.08	638.15	796.86	1088.92	1745.2	842.36	693.58	669.92	703.28	607.87	674.59	476.71	299.25	323.03	224.97	295.11	343.89	595.34	320.8	559.28	454.09	305.55	387.02	307.69	529.06	497.0	373.81	480.04	432.53	291.04	616.37	426.57	309.83	323.03	316.37	145.02	206.94	320.8	303.44	1015.93	988.12	466.88	332.14	915.51	381.68	698.41	713.11	567.1	555.41	1794.29	921.88	1127.35	1250.98
LIMCH1	70.01	82.29	75.64	91.41	130.6	79.45	27.25	460.44	595.34	381.68	536.45	473.41	260.38	194.36	379.04	368.65	583.07	486.75	1896.65	1519.15	1277.29	1551.09	1167.14	660.68	1059.11	1883.54	2451.44	5076.84	1923.14	1991.0	1819.35	775.05	2875.3	2502.97	1111.82	1628.26	1757.34	1806.78	1794.29	2682.69	3716.2	921.88	575.03	1583.71	2682.69	403.5	753.83	1427.22	896.64	1369.04	318.57	189.02	191.67	220.32	1963.57	129.69	301.33	220.32	43.02	81.71	301.33	47.84	100.83	76.71	41.22	105.15	115.16	61.68	19.39	70.51	57.49	68.55	49.56	29.48	45.85	75.11	59.55	41.81	26.86	16.51	101.54	54.72	54.33	119.26	10.79	106.63	28.04	36.53	18.7	92.7	148.09	54.72	145.02	289.02	128.79	217.27	348.71	403.5	287.01	633.73	426.57	583.07	651.58
LIMS1	205.5	376.41	271.48	400.71	591.22	314.17	206.94	423.61	679.29	591.22	532.74	507.46	417.77	575.03	785.88	728.11	579.04	511.0	1572.76	2502.97	679.29	1540.37	660.68	551.56	819.3	507.46	1127.35	3515.68	890.44	884.29	981.29	447.82	1832.01	1457.23	728.11	819.3	813.63	825.0	1175.27	511.0	1167.14	316.37	878.17	688.78	1277.29	417.77	890.44	1104.13	559.28	624.99	387.02	256.78	283.05	466.88	1111.82	387.02	620.67	543.96	392.44	212.78	547.75	176.29	176.29	241.19	82.87	307.69	236.21	202.66	88.88	131.51	460.44	297.17	106.63	171.45	318.57	237.86	366.09	106.63	191.67	178.77	182.55	122.64	152.28	163.28	146.03	220.32	273.37	191.67	246.28	583.07	708.18	775.05	305.55	624.99	571.05	476.71	842.36	785.88	769.69	339.14	493.56	387.02	420.68
LNPEP	55.1	105.15	108.9	87.65	162.14	100.83	63.0	128.79	139.07	137.14	99.43	145.02	111.99	127.89	105.89	102.97	166.73	119.26	412.0	466.88	189.02	361.04	189.02	122.64	206.94	389.72	341.51	343.89	212.78	591.22	341.51	295.11	376.41	358.54	239.52	387.02	476.71	361.04	341.51	121.79	371.22	155.5	255.0	307.69	273.37	72.01	244.57	325.29	236.21	246.28	72.01	59.55	101.54	87.03	323.03	61.25	65.26	94.01	60.39	56.28	71.5	53.95	29.91	62.56	21.47	45.85	47.17	30.56	31.9	49.91	73.03	72.01	40.93	70.51	63.45	92.05	53.95	50.63	111.21	133.36	71.5	49.56	55.89	15.22	41.81	17.9	7.63	43.02	64.34	125.24	157.68	98.04	52.08	191.67	90.77	124.37	169.07	146.03	142.01	64.8	116.78	126.12	56.28
LRP12	9.48	55.1	47.5	82.29	94.01	65.26	51.35	172.65	112.77	96.01	197.09	181.28	108.14	171.45	124.37	127.0	113.56	137.14	486.75	251.48	211.31	287.01	170.25	57.89	123.5	249.73	329.84	197.09	236.21	195.72	305.55	239.52	389.72	135.24	198.47	325.29	253.23	285.03	307.69	129.69	212.78	123.5	139.07	156.59	279.14	77.79	244.57	341.51	144.01	148.09	92.7	45.21	82.29	159.9	514.56	53.95	132.44	84.04	30.56	22.43	121.79	23.76	17.9	11.04	5.96	17.25	19.25	49.21	4.58	10.24	25.91	7.51	20.26	4.28	37.05	18.03	38.4	12.74	20.71	2.94	31.9	26.86	2.97	21.01	6.78	7.0	2.39	10.55	27.05	109.66	63.45	68.07	31.9	30.56	22.1	38.4	127.89	59.97	44.25	67.12	133.36	127.0	49.21
LRRC4	3.53	8.71	22.75	9.78	29.7	3.99	1.75	16.63	50.63	43.32	73.54	6.78	392.44	36.01	31.0	7.4	62.12	5.15	201.25	242.88	148.09	171.45	277.2	218.79	325.29	125.24	172.65	49.21	99.43	264.03	140.04	104.42	166.73	12.09	165.57	75.64	262.2	65.72	81.14	86.43	63.45	43.63	85.22	133.36	181.28	19.53	33.06	63.0	80.57	52.45	15.45	2.03	45.85	6.78	134.3	145.02	4.1	37.59	1.23	3.99	37.32	15.0	8.25	13.62	13.72	9.34	20.56	8.71	6.84	8.92	20.56	31.0	12.55	4.28	33.3	17.9	6.57	7.28	16.63	6.57	17.25	23.25	8.19	9.13	24.46	6.16	4.74	17.77	4.39	4.98	25.54	7.0	13.72	46.84	28.24	45.53	23.25	19.39	327.56	39.5	29.91	36.79	43.94
