	TCGA.FD.A43Y.01A.21R.A26T.07	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.DK.A3WW.01A.22R.A23N.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.E2.A158.11A.22R.A12D.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.A7.A0DB.11A.33R.A089.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.T6MO.0326.SM.32QOK	GTEX.S32W.2026.SM.4AD6E	GTEX.132AR.0826.SM.5EGK6	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.YJ8O.2226.SM.5IFHW	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	TCGA.EK.A2GZ.01A.11R.A180.07	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.DS.A1O9.01A.11R.A14Y.07	TCGA.VS.A8EH.01A.11R.A36F.07	GTEX.13OVG.1426.SM.5K7VP	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.5966.01A.11R.1686.07	TCGA.CV.A6K2.01A.11R.A31N.07	TCGA.CN.5364.01A.01R.1436.07	TCGA.CV.6936.01A.11R.1915.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.6994.01A.11R.1915.07	TCGA.D6.6516.01A.11R.1873.07	TCGA.T3.A92N.01A.11R.A39I.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CQ.A4CG.01A.11R.A266.07	GTEX.1399S.0526.SM.5IJG8	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.1313W.0926.SM.5EQ56	TCGA.21.5787.01A.01R.1635.07
POLR3GL	703.28	301.33	633.73	2004.85	1709.26	1259.69	1662.49	1909.85	1685.71	1540.37	1991.0	1540.37	1651.0	1950.0	1639.59	1832.01	2004.85	1844.76	1359.57	2224.63	1769.57	1806.78	1551.09	1781.89	1628.26	1991.0	2351.53	2816.11	2796.65	1322.37	1119.56	1286.18	1896.65	1639.59	1950.0	848.22	2075.59	1832.01	1662.49	1088.92	808.0	633.73	723.08	620.67	1088.92	368.65	334.46	361.04	457.25	890.44	441.64	323.03	297.17	466.88	376.41	336.79	1008.9	796.86	3146.52	780.44	463.65
PREX2	12.36	0.89	2.86	149.12	368.65	194.36	244.57	414.87	454.09	295.11	473.41	217.27	237.86	256.78	271.48	249.73	212.78	229.72	223.41	297.17	490.14	239.52	212.78	400.71	503.95	366.09	130.6	339.14	262.2	112.77	133.36	206.94	49.21	146.03	656.11	191.67	470.14	183.82	84.04	155.5	3.35	3.59	8.19	1.89	131.51	9.34	1.04	2.71	13.12	2.81	1.16	3.63	8.19	4.9	2.1	10.16	82.29	0.0	0.28	71.0	34.51
PTRF	3257.52	3491.39	1697.45	15499.21	11112.3	6935.54	15934.98	11424.74	11112.3	11909.94	13776.25	17804.06	12415.75	19214.73	13215.02	20881.4	11189.6	8479.89	20030.74	16269.83	8538.88	14361.31	9540.5	15499.21	7803.01	15607.02	11267.44	24660.96	10808.41	15285.81	13306.94	15824.9	9025.81	14971.21	31870.96	4972.34	17558.94	11909.94	9474.59	9344.14	368.65	3820.7	1883.54	470.14	4903.87	4239.45	6607.01	4836.35	2351.53	1037.29	4066.71	3716.2	5183.54	4038.61	3742.05	3103.19	5995.9	1963.57	1427.22	1487.87	1295.13
RABL3	346.29	379.04	234.57	575.03	599.49	660.68	679.29	842.36	1059.11	915.51	769.69	753.83	638.15	1059.11	543.96	909.17	769.69	665.29	723.08	915.51	679.29	813.63	780.44	995.0	775.05	802.41	447.82	1322.37	1073.91	346.29	559.28	567.1	713.11	536.45	1350.18	718.08	780.44	890.44	406.31	525.39	251.48	232.94	202.66	246.28	327.56	293.07	183.82	435.55	612.11	392.44	244.57	329.84	265.87	281.09	202.66	363.56	384.34	0.0	0.13	234.57	198.47
RBPMS2	49.21	17.77	3.56	305.55	454.09	346.29	1457.23	802.41	473.41	555.41	872.1	269.6	406.31	616.37	314.17	500.46	466.88	503.95	470.14	571.05	381.68	336.79	248.0	320.8	447.82	961.07	486.75	480.04	559.28	473.41	212.78	327.56	241.19	395.18	1135.2	493.56	571.05	514.56	165.57	182.55	173.85	24.11	14.14	44.89	395.18	7.34	17.25	7.82	11.3	17.13	2.36	24.81	4.9	4.13	13.32	14.14	161.02	0.0	0.64	37.05	87.03
RDH5	53.95	32.36	26.67	2682.69	4038.61	2319.15	3794.3	4268.94	4671.57	4038.61	5292.48	2417.67	3540.14	5329.3	2400.97	7695.57	4388.98	3564.78	3491.39	6652.97	4836.35	4388.98	3443.31	3467.27	6561.36	5147.73	5219.6	5403.7	6699.25	3039.3	1923.14	4181.07	3168.41	3639.7	5366.37	1651.0	6607.01	3303.0	490.14	2816.11	24.99	92.05	46.18	57.89	819.3	21.01	69.03	44.89	23.93	24.46	21.16	37.85	35.76	77.79	33.54	40.36	98.73	0.0	0.66	48.52	69.03
SDC2	234.57	138.1	638.15	4869.99	4388.98	2701.35	5076.84	5147.73	3515.68	6561.36	4210.15	3928.15	7642.41	5711.87	3103.19	4575.41	4481.23	2835.7	5995.9	4802.93	4152.18	3874.05	5633.22	4152.18	4419.52	3820.7	4152.18	6699.25	3212.66	1331.57	2485.67	669.92	8598.28	2591.27	12076.21	915.51	5594.3	2502.97	7695.57	3742.05	890.44	309.83	373.81	265.87	1447.15	208.38	208.38	358.54	392.44	332.14	167.9	728.11	193.01	128.79	884.29	329.84	3146.52	0.0	0.71	4095.0	426.57
SGCG	1.27	1.71	0.32	384.34	463.65	373.81	363.56	633.73	470.14	884.29	1008.9	297.17	323.03	775.05	172.65	429.54	417.77	281.09	409.15	733.19	373.81	429.54	182.55	273.37	293.07	607.87	536.45	1304.15	785.88	289.02	145.02	217.27	111.99	253.23	1059.11	109.66	941.27	423.61	22.75	220.32	0.33	1.2	4.5	0.0	9.48	5.77	9.2	0.0	23.25	0.32	3.35	5.15	1.85	0.0	3.47	0.64	11.38	0.0	0.0	96.01	0.0
SH3BGR	47.84	39.22	63.0	217.27	215.77	182.55	381.68	297.17	366.09	208.38	389.72	212.78	138.1	420.68	217.27	218.79	305.55	332.14	162.14	444.72	236.21	299.25	255.0	438.59	241.19	239.52	186.4	343.89	299.25	165.57	127.89	45.21	273.37	141.02	1015.93	115.97	320.8	93.35	264.03	297.17	64.8	51.71	136.19	130.6	194.36	43.32	27.64	73.03	83.45	77.25	90.77	26.1	34.51	95.34	144.01	87.03	115.97	0.0	0.16	71.0	58.71
SIM1	0.0	0.0	0.0	39.5	14.35	26.47	65.72	2.25	5.36	39.79	70.01	56.28	4.03	53.95	16.75	108.9	67.12	59.13	49.91	111.21	212.78	127.89	43.63	9.34	48.87	166.73	52.45	61.25	18.7	27.64	29.27	35.76	15.0	25.17	40.64	19.11	88.26	109.66	14.67	32.13	0.0	0.0	0.6	0.0	0.0	0.0	0.22	0.0	0.26	0.0	1.11	0.0	0.31	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.91
SLAIN2	612.11	470.14	444.72	896.64	1259.69	1104.13	1277.29	1529.73	1977.24	1883.54	1127.35	1208.34	1175.27	1950.0	1088.92	1806.78	1340.84	1457.23	1662.49	1572.76	1417.35	1540.37	1477.58	1594.73	1313.23	1447.15	743.43	1844.76	1477.58	583.07	1167.14	1286.18	808.0	1175.27	2682.69	1407.55	1350.18	1685.71	1081.39	1313.23	738.29	466.88	802.41	642.59	878.17	928.3	473.41	1175.27	1540.37	718.08	934.76	967.76	612.11	400.71	1088.92	878.17	450.94	0.0	0.38	854.13	738.29
SLC14A2	0.0	0.29	0.64	33.3	118.43	204.07	36.27	97.36	224.97	44.89	110.43	43.63	30.56	121.79	71.0	403.5	85.22	83.45	66.18	255.0	155.5	186.4	36.01	72.52	60.82	223.41	52.45	232.94	248.0	67.59	63.0	42.41	19.82	43.02	435.55	88.88	47.84	13.42	15.91	9.56	0.96	0.0	0.64	0.34	14.67	1.14	0.0	0.71	1.64	0.33	0.34	1.1	0.78	0.34	0.38	0.96	236.21	0.0	0.18	98.04	1.5
SNX16	98.04	148.09	109.66	343.89	316.37	265.87	275.28	295.11	503.95	540.19	356.05	334.46	239.52	414.87	224.97	351.14	366.09	384.34	368.65	341.51	341.51	346.29	444.72	612.11	371.22	314.17	186.4	493.56	397.93	190.34	373.81	295.11	363.56	242.88	559.28	236.21	215.77	204.07	242.88	231.32	106.63	105.89	170.25	228.13	199.85	201.25	44.89	267.73	178.77	190.34	202.66	262.2	152.28	167.9	136.19	167.9	123.5	0.0	0.39	72.52	115.97
SNX21	303.44	325.29	152.28	1081.39	884.29	693.58	1191.69	890.44	708.18	718.08	974.5	1030.12	995.0	1001.93	819.3	1529.73	764.36	836.53	1175.27	1183.45	764.36	854.13	698.41	665.29	775.05	909.17	981.29	1023.0	532.74	780.44	429.54	1208.34	981.29	954.43	1331.57	325.29	624.99	373.81	363.56	647.07	197.09	223.41	237.86	514.56	934.76	329.84	199.85	150.17	150.17	518.15	181.28	371.22	339.14	88.88	260.38	381.68	432.53	0.0	0.77	84.63	115.97
TEF	248.0	166.73	92.7	277.2	854.13	967.76	400.71	723.08	947.83	866.07	974.5	444.72	353.59	1225.22	854.13	521.76	848.22	693.58	713.11	961.07	432.53	441.64	412.0	674.59	1277.29	836.53	733.19	941.27	236.21	555.41	769.69	229.72	397.93	718.08	860.08	165.57	665.29	571.05	293.07	486.75	209.84	69.03	301.33	147.06	141.02	189.02	61.25	318.57	518.15	124.37	249.73	287.01	297.17	166.73	143.01	211.31	297.17	0.0	0.0	36.27	39.79
TMEM37	281.09	47.84	70.51	4123.49	2915.45	2591.27	2047.0	4704.07	3982.99	3212.66	3443.31	4181.07	4181.07	6121.9	1819.35	4704.07	3419.52	3018.3	3874.05	5831.91	2895.31	2485.67	2303.12	3212.66	3325.99	4388.98	1651.0	3515.68	2417.67	1605.83	1191.69	1369.04	7230.1	5594.3	2255.7	3742.05	1340.84	3665.02	698.41	642.59	211.31	120.1	110.43	223.41	1096.5	307.69	75.11	389.72	633.73	46.84	26.28	353.59	244.57	138.1	226.54	119.26	4575.41	0.0	0.33	138.1	71.5
TPRG1	47.84	96.01	77.79	232.94	373.81	656.11	693.58	1037.29	1081.39	353.59	947.83	555.41	273.37	1216.75	205.5	743.43	332.14	363.56	336.79	1030.12	432.53	579.04	759.08	420.68	974.5	571.05	236.21	2956.17	154.42	351.14	191.67	52.45	4607.24	316.37	2627.46	217.27	87.65	599.49	162.14	381.68	67.59	55.49	46.84	197.09	72.52	629.35	170.25	111.99	189.02	34.51	36.27	226.54	36.53	52.82	75.11	43.02	99.43	0.0	0.36	698.41	22.92
TTC7B	536.45	199.85	198.47	518.15	540.19	480.04	791.35	830.75	759.08	547.75	718.08	521.76	595.34	693.58	403.5	616.37	633.73	624.99	684.02	684.02	620.67	703.28	366.09	656.11	532.74	660.68	454.09	902.89	450.94	567.1	332.14	532.74	470.14	454.09	587.13	591.22	525.39	830.75	665.29	366.09	379.04	150.17	221.86	297.17	186.4	327.56	166.73	138.1	291.04	287.01	457.25	493.56	356.05	256.78	368.65	420.68	389.72	0.0	0.61	500.46	151.22
UTRN	26.67	22.75	96.68	571.05	1709.26	1498.22	1674.06	1498.22	2133.97	2104.58	1183.45	1857.6	1417.35	2047.0	1519.15	1936.53	1457.23	1857.6	2209.26	2502.97	1540.37	1794.29	1950.0	2271.4	1572.76	2004.85	738.29	4450.27	1963.57	486.75	934.76	1322.37	743.43	1467.37	5041.77	693.58	1359.57	1295.13	1216.75	2119.22	108.14	81.71	180.02	178.77	2417.67	42.41	50.27	63.45	329.84	102.97	66.18	277.2	141.02	63.0	60.82	224.97	1044.52	0.0	0.44	297.17	190.34
WDR7	29.7	30.56	58.71	125.24	181.28	169.07	202.66	202.66	234.57	241.19	150.17	217.27	171.45	205.5	151.22	229.72	177.53	190.34	215.77	224.97	170.25	195.72	211.31	273.37	189.02	212.78	96.68	212.78	187.71	145.02	81.71	155.5	145.02	201.25	309.83	135.24	125.24	206.94	208.38	281.09	57.08	41.52	102.25	72.01	173.85	57.08	22.1	67.59	47.84	109.66	29.48	111.21	68.07	24.46	32.59	41.81	161.02	0.0	0.29	82.29	63.89
ZCCHC24	94.67	21.01	25.72	1233.75	1225.22	902.89	1304.15	1397.83	1709.26	1216.75	1304.15	1286.18	1617.0	1572.76	1268.46	1674.06	1225.22	1104.13	1457.23	1605.83	1044.52	1359.57	1030.12	1467.37	1030.12	1605.83	934.76	2018.8	1477.58	1794.29	866.07	1427.22	3018.3	1757.34	1617.0	1427.22	1331.57	2047.0	854.13	947.83	36.27	68.55	76.71	88.88	599.49	70.01	46.18	71.5	95.34	76.71	54.33	182.55	94.67	39.5	55.1	99.43	507.46	0.0	0.61	325.29	93.35
ZFPM2	37.59	105.15	5.11	167.9	269.6	130.6	283.05	262.2	178.77	237.86	201.25	169.07	215.77	220.32	173.85	244.57	226.54	162.14	246.28	224.97	232.94	177.53	195.72	212.78	279.14	244.57	167.9	325.29	143.01	127.89	65.72	78.34	118.43	138.1	607.87	51.35	88.88	139.07	115.16	205.5	35.5	3.23	12.27	2.18	96.01	9.78	5.32	3.0	14.89	5.28	11.13	26.1	8.32	3.44	16.63	18.56	91.41	0.0	0.34	37.32	16.75
ZFYVE21	1745.2	708.18	1059.11	1697.45	2004.85	1870.53	2287.2	1540.37	1857.6	1757.34	1883.54	1806.78	1721.16	1977.24	2018.8	1733.13	2148.82	1991.0	1617.0	1870.53	2032.85	1857.6	1991.0	1936.53	1857.6	1977.24	2351.53	2119.22	1477.58	1417.35	2720.15	1457.23	1081.39	1151.06	3146.52	1183.45	1572.76	967.76	1268.46	1832.01	1151.06	928.3	1540.37	1331.57	2163.77	1340.84	713.11	1104.13	941.27	703.28	1208.34	1295.13	1143.1	802.41	2209.26	1447.15	1407.55	0.0	0.44	954.43	1081.39
ZNF541	4.78	1.46	0.66	38.12	27.25	31.0	57.89	47.17	53.57	43.32	43.94	22.1	15.56	66.18	18.97	68.55	27.44	28.65	29.48	32.82	17.64	35.0	14.03	32.36	18.7	44.25	13.83	85.22	40.07	38.67	5.11	29.06	17.64	16.75	138.1	36.01	40.93	39.5	15.45	23.93	8.38	2.53	1.85	68.07	8.65	0.93	0.43	1.22	0.47	0.79	0.8	0.52	3.69	0.47	2.76	0.46	10.88	0.0	0.0	4.9	3.08
ZNF575	36.79	15.34	10.47	57.08	59.13	58.3	48.87	63.45	55.1	75.11	63.89	32.59	63.0	61.68	40.64	71.5	46.5	40.36	61.25	46.18	64.8	38.4	35.0	32.82	55.89	61.25	55.49	76.71	40.36	38.12	18.43	43.32	42.71	34.26	105.89	32.13	55.1	35.0	17.25	19.68	33.06	28.24	19.53	21.16	98.73	14.14	11.38	40.36	18.16	10.39	20.26	25.17	11.91	17.77	23.42	17.64	40.93	0.0	0.02	29.06	30.78
ZNF704	34.02	90.77	10.31	158.79	395.18	271.48	397.93	454.09	429.54	444.72	258.57	283.05	341.51	429.54	297.17	493.56	389.72	444.72	395.18	351.14	392.44	253.23	466.88	435.55	295.11	417.77	190.34	878.17	241.19	339.14	521.76	334.46	150.17	348.71	1183.45	84.04	158.79	199.85	346.29	258.57	61.25	8.38	43.94	76.71	283.05	22.75	40.93	20.71	39.5	57.89	90.77	269.6	21.63	40.93	35.25	182.55	194.36	0.0	0.23	114.36	55.89
