	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.P4QS.1126.SM.3NMD5	GTEX.1497J.0826.SM.5NQAJ	GTEX.145MN.0326.SM.5QGQI	GTEX.Y5V6.2026.SM.5IFHO	GTEX.12WSG.0826.SM.5EQ5A	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CZ.5984.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.GL.A59R.01A.11R.A26U.07	TCGA.DW.7834.01A.11R.2139.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.REY6.1226.SM.48FDR	GTEX.N7MT.0126.SM.2D7VT	TCGA.BJ.A0ZC.01A.12R.A13Y.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.OIZI.0726.SM.2XCEI	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.117YW.0126.SM.5EGGN	GTEX.139YR.1226.SM.5IFEU	GTEX.VJYA.0426.SM.3GIJK	GTEX.ZGAY.1026.SM.4WWBR	GTEX.11LCK.0526.SM.5A5M9	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW	GTEX.VUSG.0426.SM.3GIKD
TRIP12	511.0	595.34	514.56	283.05	503.95	470.14	457.25	616.37	836.53	2047.0	2032.85	2240.11	1242.34	466.88	1111.82	638.15	674.59	1151.06	1617.0	1151.06	1551.09	1617.0	1313.23	2119.22	1259.69	698.41	775.05	129.69	2004.85	620.67	591.22	1191.69	1923.14	1674.06	1359.57	1277.29	1477.58	1583.71	1447.15	1870.53	1437.15	1151.06	1617.0	1119.56	1977.24	1583.71	1662.49	1662.49	1757.34	1369.04	954.43	1721.16	1467.37	1340.84	1467.37	1477.58	1721.16	825.0	647.07	525.39	473.41	1208.34	1088.92	1151.06	854.13	629.35	954.43	1183.45	1216.75	1135.2	1250.98	1233.75	1277.29	1191.69	1508.65	1008.9	1781.89	1233.75	1259.69	476.71	281.09	536.45	318.57	376.41	490.14	332.14	493.56	316.37	387.02	366.09	1936.53	1216.75	1286.18	1950.0	1331.57	1008.9	1457.23	1111.82	1015.93	1313.23	1519.15	1617.0	1167.14	1250.98	1322.37	1487.87	1417.35	1467.37
TTC3	934.76	381.68	642.59	500.46	616.37	703.28	536.45	808.0	813.63	1909.85	2335.28	2335.28	1322.37	642.59	974.5	698.41	1208.34	511.0	1167.14	612.11	656.11	633.73	753.83	934.76	866.07	603.67	579.04	209.84	759.08	872.1	438.59	921.88	1388.16	1208.34	1151.06	1008.9	1037.29	961.07	967.76	1216.75	1051.79	819.3	1250.98	728.11	1388.16	1388.16	1313.23	1295.13	1167.14	1073.91	941.27	1286.18	860.08	902.89	775.05	878.17	1066.48	518.15	507.46	450.94	94.01	571.05	191.67	497.0	703.28	679.29	1001.93	981.29	728.11	902.89	995.0	1233.75	934.76	825.0	954.43	988.12	961.07	1015.93	884.29	281.09	220.32	159.9	417.77	314.17	490.14	293.07	269.6	82.87	244.57	395.18	1216.75	1508.65	1529.73	1733.13	1030.12	1066.48	1407.55	1359.57	2119.22	1331.57	1143.1	1883.54	1277.29	866.07	1313.23	1388.16	1127.35	1540.37
UBE3A	423.61	314.17	387.02	400.71	406.31	269.6	265.87	476.71	341.51	1015.93	967.76	884.29	595.34	400.71	595.34	476.71	708.18	426.57	441.64	532.74	620.67	607.87	718.08	796.86	587.13	567.1	379.04	265.87	629.35	414.87	420.68	575.03	780.44	785.88	718.08	674.59	718.08	723.08	616.37	836.53	679.29	629.35	808.0	642.59	866.07	703.28	728.11	718.08	753.83	660.68	525.39	723.08	688.78	679.29	599.49	769.69	708.18	305.55	414.87	470.14	76.71	470.14	143.01	563.18	373.81	497.0	497.0	571.05	579.04	500.46	599.49	532.74	511.0	629.35	651.58	529.06	607.87	521.76	599.49	314.17	215.77	283.05	251.48	256.78	353.59	149.12	287.01	134.3	231.32	325.29	780.44	713.11	713.11	1259.69	791.35	698.41	759.08	698.41	825.0	624.99	830.75	1208.34	587.13	748.61	679.29	866.07	785.88	947.83
UBR1	237.86	72.01	100.13	110.43	147.06	48.18	52.82	109.66	85.22	329.84	346.29	336.79	218.79	82.87	165.57	111.99	120.1	127.89	112.77	155.5	162.14	185.11	165.57	217.27	186.4	100.83	100.13	53.95	214.27	99.43	70.51	170.25	201.25	223.41	187.71	178.77	194.36	201.25	185.11	248.0	177.53	157.68	204.07	125.24	244.57	206.94	223.41	198.47	228.13	180.02	167.9	209.84	194.36	175.07	206.94	211.31	229.72	90.14	114.36	99.43	23.93	185.11	71.0	490.14	95.34	106.63	150.17	185.11	151.22	143.01	186.4	152.28	154.42	157.68	198.47	152.28	206.94	148.09	177.53	51.71	37.59	42.41	51.71	42.11	69.03	61.25	47.5	39.79	68.55	77.79	236.21	218.79	201.25	299.25	228.13	195.72	189.02	182.55	209.84	312.0	258.57	341.51	232.94	237.86	242.88	277.2	198.47	316.37
UBR2	165.57	165.57	144.01	181.28	218.79	139.07	114.36	212.78	181.28	490.14	503.95	486.75	316.37	125.24	215.77	153.34	164.42	176.29	215.77	228.13	218.79	277.2	262.2	373.81	251.48	255.0	189.02	52.45	332.14	127.89	144.01	228.13	379.04	351.14	277.2	295.11	334.46	334.46	285.03	371.22	299.25	271.48	363.56	217.27	412.0	327.56	341.51	346.29	363.56	305.55	255.0	353.59	239.52	253.23	271.48	318.57	373.81	127.0	197.09	124.37	68.55	209.84	193.01	173.85	146.03	171.45	224.97	275.28	236.21	236.21	293.07	277.2	255.0	251.48	305.55	256.78	297.17	265.87	287.01	149.12	85.82	105.89	98.04	153.34	146.03	104.42	110.43	121.79	145.02	145.02	426.57	371.22	289.02	529.06	389.72	341.51	466.88	339.14	334.46	295.11	329.84	371.22	438.59	314.17	547.75	332.14	332.14	334.46
USP8	353.59	255.0	397.93	500.46	435.55	346.29	258.57	486.75	366.09	866.07	866.07	819.3	642.59	466.88	579.04	500.46	303.44	444.72	500.46	547.75	638.15	728.11	603.67	718.08	679.29	497.0	476.71	376.41	599.49	224.97	269.6	532.74	651.58	642.59	571.05	547.75	612.11	708.18	591.22	669.92	603.67	543.96	674.59	555.41	872.1	607.87	612.11	612.11	688.78	599.49	620.67	612.11	567.1	583.07	551.56	629.35	743.43	339.14	473.41	356.05	57.89	441.64	85.22	532.74	329.84	435.55	473.41	518.15	476.71	500.46	583.07	551.56	525.39	486.75	713.11	599.49	647.07	543.96	579.04	316.37	177.53	336.79	251.48	239.52	368.65	156.59	279.14	105.15	275.28	305.55	1127.35	571.05	603.67	693.58	785.88	551.56	723.08	624.99	708.18	660.68	713.11	679.29	603.67	660.68	656.11	764.36	612.11	830.75
WAC	921.88	555.41	981.29	753.83	595.34	780.44	698.41	1008.9	708.18	2720.15	2319.15	2720.15	1639.59	988.12	1498.22	1088.92	1467.37	540.19	1304.15	825.0	1037.29	1250.98	1096.5	1685.71	1498.22	1388.16	928.3	341.51	1551.09	1073.91	638.15	1447.15	1977.24	1757.34	1477.58	1617.0	1540.37	1769.57	1457.23	1662.49	1583.71	1369.04	1883.54	1286.18	1923.14	1639.59	1594.73	1757.34	1794.29	1519.15	1561.89	1572.76	1250.98	1508.65	1417.35	1583.71	1781.89	679.29	866.07	934.76	420.68	1037.29	791.35	947.83	698.41	988.12	1277.29	1628.26	1369.04	1259.69	1447.15	1340.84	1331.57	1369.04	1508.65	1331.57	1397.83	1322.37	1417.35	476.71	373.81	656.11	441.64	457.25	536.45	463.65	665.29	343.89	490.14	518.15	1685.71	1769.57	1437.15	2303.12	2032.85	2193.99	2468.49	1745.2	1909.85	1870.53	2303.12	2451.44	1572.76	1950.0	2271.4	2193.99	2032.85	2148.82
XRN2	616.37	591.22	796.86	525.39	723.08	607.87	647.07	620.67	713.11	1259.69	1216.75	1286.18	954.43	759.08	954.43	878.17	780.44	854.13	595.34	967.76	830.75	1151.06	848.22	941.27	974.5	651.58	603.67	842.36	1199.98	981.29	633.73	743.43	896.64	921.88	915.51	743.43	961.07	1167.14	878.17	941.27	915.51	872.1	961.07	836.53	1119.56	941.27	890.44	842.36	967.76	967.76	842.36	896.64	1167.14	941.27	954.43	1104.13	961.07	896.64	825.0	591.22	426.57	909.17	854.13	854.13	665.29	703.28	743.43	941.27	825.0	723.08	819.3	769.69	684.02	842.36	878.17	728.11	981.29	780.44	872.1	409.15	529.06	599.49	358.54	457.25	571.05	327.56	480.04	297.17	511.0	358.54	1088.92	1037.29	1023.0	1340.84	915.51	902.89	802.41	884.29	780.44	629.35	1073.91	1277.29	872.1	915.51	954.43	1104.13	1023.0	1250.98
YAP1	1175.27	476.71	339.14	563.18	723.08	551.56	387.02	791.35	379.04	2178.83	2739.08	2485.67	1216.75	555.41	1023.0	796.86	1073.91	466.88	909.17	981.29	878.17	1044.52	775.05	1697.45	1295.13	454.09	460.44	275.28	981.29	656.11	441.64	934.76	1250.98	1447.15	1088.92	1143.1	1225.22	1359.57	1066.48	1259.69	1088.92	860.08	1242.34	842.36	1216.75	1250.98	1167.14	1313.23	1331.57	1023.0	830.75	1111.82	1143.1	1135.2	1397.83	1135.2	1159.07	358.54	500.46	536.45	297.17	361.04	764.36	759.08	397.93	698.41	902.89	1151.06	961.07	890.44	1008.9	1044.52	981.29	860.08	1104.13	988.12	1259.69	934.76	1015.93	353.59	237.86	423.61	291.04	490.14	371.22	202.66	244.57	211.31	353.59	318.57	2303.12	1135.2	1477.58	1721.16	1135.2	1551.09	1369.04	1304.15	1259.69	928.3	1923.14	1378.57	1081.39	1151.06	854.13	1583.71	974.5	1781.89
ZNF148	156.59	76.17	90.77	161.02	146.03	108.14	88.88	119.26	165.57	540.19	454.09	551.56	314.17	171.45	239.52	193.01	265.87	142.01	157.68	120.94	226.54	287.01	258.57	470.14	297.17	153.34	140.04	70.01	214.27	217.27	124.37	262.2	376.41	366.09	301.33	305.55	368.65	406.31	293.07	417.77	271.48	248.0	381.68	289.02	400.71	389.72	368.65	417.77	358.54	341.51	307.69	348.71	423.61	332.14	297.17	353.59	379.04	122.64	140.04	130.6	29.27	163.28	90.77	197.09	190.34	146.03	253.23	289.02	208.38	231.32	281.09	249.73	239.52	221.86	299.25	251.48	361.04	241.19	264.03	91.41	63.45	80.57	64.34	41.52	74.06	68.55	41.22	34.26	68.55	65.26	703.28	414.87	825.0	674.59	285.03	384.34	373.81	567.1	435.55	514.56	802.41	1119.56	346.29	400.71	332.14	607.87	518.15	629.35
ZNF24	202.66	277.2	228.13	346.29	264.03	190.34	183.82	327.56	371.22	1225.22	1044.52	808.0	473.41	273.37	392.44	297.17	343.89	253.23	703.28	329.84	483.38	379.04	395.18	656.11	507.46	301.33	289.02	151.22	607.87	273.37	309.83	406.31	612.11	620.67	555.41	540.19	579.04	595.34	435.55	633.73	466.88	476.71	633.73	441.64	629.35	529.06	583.07	532.74	567.1	503.95	420.68	521.76	587.13	444.72	444.72	595.34	579.04	178.77	295.11	397.93	70.01	182.55	231.32	346.29	291.04	339.14	426.57	426.57	361.04	376.41	457.25	454.09	332.14	444.72	500.46	409.15	507.46	435.55	444.72	285.03	185.11	244.57	197.09	171.45	277.2	140.04	151.22	148.09	152.28	229.72	567.1	559.28	567.1	796.86	629.35	603.67	642.59	791.35	575.03	525.39	836.53	813.63	575.03	423.61	540.19	656.11	575.03	909.17
ZNF770	112.77	42.11	65.26	76.71	110.43	43.63	47.17	57.89	69.03	587.13	599.49	511.0	339.14	145.02	301.33	186.4	703.28	156.59	256.78	271.48	320.8	395.18	466.88	624.99	872.1	237.86	239.52	23.42	289.02	218.79	120.94	463.65	547.75	476.71	358.54	397.93	400.71	563.18	412.0	575.03	403.5	305.55	511.0	460.44	583.07	466.88	473.41	414.87	444.72	361.04	414.87	417.77	426.57	376.41	371.22	483.38	497.0	175.07	111.21	145.02	29.7	412.0	116.78	384.34	102.97	215.77	269.6	351.14	339.14	293.07	353.59	279.14	351.14	334.46	423.61	293.07	441.64	332.14	343.89	65.26	35.76	51.71	48.52	25.17	88.88	27.25	60.82	57.49	92.7	66.18	463.65	532.74	941.27	796.86	258.57	346.29	341.51	373.81	339.14	253.23	738.29	1519.15	463.65	368.65	320.8	518.15	555.41	878.17
