	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A902.01A.11R.A37O.07	TCGA.C5.A7CL.01A.11R.A32P.07	TCGA.LN.A49W.01A.11R.A260.31	TCGA.IG.A50L.01A.11R.A260.31	TCGA.Z6.A8JD.01A.11R.A36D.31	TCGA.L5.A4OO.01A.11R.A260.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.LN.A49O.01A.11R.A24K.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.LN.A5U6.01A.11R.A28J.31	TCGA.L5.A8NS.01A.12R.A37I.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.IG.A97I.01A.11R.A38D.31	TCGA.V5.A7RC.01B.11R.A406.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.T3.A92M.01A.31R.A39I.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.QK.A64Z.01A.11R.A30B.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.CN.A49A.01A.11R.A24H.07	TCGA.QK.A8Z9.01B.11R.A39I.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.DQ.5629.01A.01R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CR.6488.01A.12R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.XV7Q.2426.SM.4BRV8
NUTM2D	38.12	271.48	56.28	116.78	32.82	68.07	58.3	50.27	109.66	36.53	61.68	55.49	106.63	85.22	59.55	142.01	117.6	78.34	103.69	76.71	15.8	16.03	15.22	28.24	36.01	90.14	17.51	139.07	35.5	81.71	69.52	41.22	32.36	30.56	14.03	50.98	36.53	49.56	43.94	32.13	91.41	22.75	33.3	104.42	33.3	57.49	22.26	8.78	45.53	12.45	46.84	45.53	33.78	30.34	68.07	13.42	23.93	76.71	56.28	34.51	50.27	51.35	24.63	27.84	66.65	24.46	87.03	68.07	0.0	0.13	14.03
OR2A7	1233.75	77.79	44.25	229.72	114.36	45.53	52.82	139.07	138.1	162.14	60.39	52.82	253.23	138.1	149.12	599.49	305.55	52.08	80.01	40.07	10.24	35.5	75.64	32.36	31.45	31.67	25.91	154.42	116.78	30.56	73.54	33.06	15.34	139.07	62.12	87.03	28.45	50.63	68.55	13.62	58.3	120.94	38.4	92.05	55.49	25.72	81.71	60.82	50.98	150.17	1.03	62.12	105.15	105.15	15.45	45.53	36.01	72.01	49.56	7.0	117.6	96.01	71.5	18.43	86.43	106.63	59.97	190.34	0.0	0.35	2.05
PASK	206.94	343.89	466.88	260.38	178.77	187.71	392.44	237.86	595.34	86.43	450.94	111.99	279.14	135.24	303.44	551.56	183.82	429.54	156.59	287.01	40.07	43.02	114.36	63.45	65.26	57.49	36.01	91.41	71.0	181.28	84.04	57.49	82.87	44.57	100.13	96.01	85.82	94.67	88.26	56.28	55.1	159.9	171.45	57.08	69.52	76.17	82.29	89.51	130.6	96.01	62.56	55.89	80.57	88.88	32.13	49.56	55.49	51.71	78.89	31.45	63.45	104.42	63.89	73.03	66.65	36.79	974.5	327.56	0.0	0.71	43.02
PCNXL4	163.28	356.05	358.54	441.64	480.04	518.15	426.57	486.75	688.78	251.48	480.04	483.38	406.31	473.41	559.28	785.88	438.59	336.79	406.31	376.41	307.69	139.07	291.04	256.78	305.55	341.51	180.02	271.48	223.41	339.14	323.03	170.25	151.22	228.13	211.31	156.59	258.57	201.25	191.67	307.69	318.57	368.65	441.64	486.75	220.32	221.86	194.36	260.38	279.14	376.41	217.27	503.95	229.72	303.44	211.31	197.09	314.17	255.0	325.29	127.0	206.94	493.56	204.07	258.57	180.02	165.57	723.08	454.09	0.0	0.34	198.47
PILRB	583.07	902.89	748.61	1745.2	1331.57	1233.75	2956.17	1529.73	1733.13	808.0	1447.15	1216.75	2319.15	967.76	1594.73	3540.14	1467.37	2485.67	3614.55	1572.76	55.1	60.82	551.56	199.85	141.02	309.83	51.71	563.18	103.69	830.75	231.32	120.94	417.77	559.28	872.1	813.63	132.44	173.85	825.0	71.0	305.55	2701.35	669.92	251.48	215.77	559.28	211.31	163.28	176.29	301.33	170.25	218.79	96.01	995.0	94.01	348.71	295.11	842.36	157.68	106.63	269.6	514.56	248.0	426.57	183.82	80.01	3235.01	7130.55	0.0	1.31	244.57
PLAC8L1	0.0	7.94	6.21	14.67	1.27	1.89	10.88	10.39	5.5	19.97	21.01	5.28	11.82	2.73	5.06	40.64	4.06	29.91	18.7	19.68	0.0	0.0	2.36	1.41	0.0	1.36	1.53	4.1	0.0	10.79	1.66	0.0	8.99	8.38	2.61	2.16	0.0	1.66	1.79	0.0	3.2	17.13	1.75	2.92	2.43	1.87	3.86	1.27	6.94	1.6	0.0	1.5	2.12	4.43	2.73	0.0	4.13	6.06	2.46	3.29	0.0	1.33	0.0	6.06	0.0	5.68	47.84	10.47	0.0	0.26	0.0
PLGLB2	13.03	36.01	10.16	26.47	24.81	11.55	68.07	28.45	15.91	0.0	10.96	39.79	42.71	23.25	7.75	71.5	8.32	64.34	8.06	28.04	3.63	2.71	9.27	6.62	1.97	8.38	10.08	2.39	0.52	64.8	5.19	3.69	0.59	13.72	0.0	3.06	1.46	6.36	15.8	1.87	11.38	33.78	15.34	0.0	0.0	4.54	3.99	0.0	10.79	0.0	5.15	3.82	9.06	7.75	1.04	6.57	0.0	18.56	0.49	4.46	4.46	28.04	10.16	3.66	3.47	4.35	120.1	78.34	0.0	0.22	3.96
PMFBP1	23.76	17.77	53.19	37.59	39.5	34.26	57.89	138.1	191.67	255.0	97.36	21.78	84.63	65.26	51.71	186.4	50.27	69.52	61.68	29.27	9.78	43.32	51.71	52.45	25.35	48.87	26.47	109.66	11.13	22.75	35.25	16.63	28.86	40.36	65.26	7.69	8.51	48.87	19.25	41.52	33.06	141.02	64.34	48.87	37.85	30.34	17.0	6.73	18.16	2.53	28.86	15.68	5.15	84.04	45.85	32.59	31.22	76.17	9.78	61.68	9.7	135.24	23.93	104.42	29.27	8.51	99.43	202.66	0.0	0.48	12.83
PPP1R12C	728.11	1721.16	1277.29	2520.38	1037.29	1208.34	8421.31	2209.26	8421.31	988.12	2287.2	1199.98	1844.76	1008.9	3372.43	3589.58	1651.0	2133.97	3443.31	2018.8	532.74	647.07	1487.87	713.11	612.11	791.35	703.28	1208.34	723.08	1519.15	941.27	656.11	1111.82	981.29	1757.34	974.5	909.17	713.11	1096.5	884.29	1199.98	1096.5	1277.29	1066.48	961.07	1250.98	723.08	830.75	1104.13	890.44	563.18	733.19	1059.11	748.61	579.04	928.3	743.43	1369.04	540.19	753.83	785.88	1508.65	1073.91	884.29	1023.0	559.28	3716.2	3081.75	0.0	1.27	1191.69
PTBP2	44.57	156.59	223.41	579.04	277.2	281.09	607.87	351.14	890.44	138.1	872.1	159.9	423.61	191.67	559.28	753.83	327.56	420.68	480.04	162.14	55.89	27.25	84.63	59.55	58.3	68.07	49.91	111.21	35.76	122.64	73.54	18.7	82.29	109.66	68.07	87.65	42.11	52.45	71.0	50.98	78.89	262.2	167.9	86.43	111.21	87.65	54.33	42.41	73.54	49.91	72.01	45.53	42.41	71.5	36.53	64.34	100.83	82.87	55.1	42.11	84.04	142.01	76.17	143.01	56.28	42.41	435.55	470.14	133.36	532.74	45.21
QRICH2	116.78	126.12	64.34	57.49	30.78	18.56	76.17	34.26	46.5	57.49	93.35	29.27	64.8	52.82	46.84	199.85	42.71	126.12	36.53	37.32	3.35	8.45	20.86	4.62	4.39	18.03	8.32	42.41	5.41	75.64	6.89	20.11	6.46	16.51	6.89	8.51	5.96	4.43	55.49	8.78	25.54	70.01	37.59	24.28	6.41	63.45	12.09	4.1	19.11	8.06	5.68	16.15	12.64	16.51	18.56	21.32	10.79	13.62	11.38	4.62	8.85	31.22	27.84	2.03	5.11	20.71	39.22	45.85	0.0	0.38	17.0
R3HCC1L	190.34	195.72	175.07	277.2	180.02	260.38	175.07	253.23	231.32	208.38	190.34	246.28	264.03	248.0	242.88	262.2	265.87	218.79	228.13	281.09	81.71	173.85	150.17	190.34	148.09	164.42	167.9	204.07	143.01	255.0	176.29	115.16	156.59	171.45	133.36	137.14	180.02	157.68	150.17	68.07	173.85	104.42	169.07	148.09	170.25	145.02	195.72	173.85	162.14	323.03	193.01	193.01	120.1	130.6	138.1	194.36	249.73	64.34	126.12	159.9	265.87	162.14	167.9	186.4	223.41	112.77	199.85	206.94	0.0	0.43	87.03
RP11-382J12.1	2.97	6.16	6.01	13.62	5.63	5.59	18.7	4.24	5.11	2.92	3.82	2.39	20.86	2.32	12.27	14.03	2.89	4.9	7.88	2.23	0.0	1.55	0.0	1.73	0.0	0.0	1.0	1.16	0.0	5.32	1.2	1.06	0.0	0.88	0.0	1.27	0.0	1.07	0.0	2.51	0.53	2.92	5.87	1.45	1.43	0.52	0.91	0.82	6.31	1.5	0.49	0.54	2.76	1.99	0.0	1.53	0.54	2.81	0.0	2.14	0.0	2.01	2.36	1.75	1.43	0.0	36.79	74.58	0.0	0.15	1.19
RP11-444E17.6	0.0	0.68	1.71	2.66	1.23	1.04	2.68	1.55	2.58	0.4	2.73	0.66	4.21	0.0	2.14	5.96	1.27	8.13	1.81	1.85	0.0	0.0	0.95	0.49	0.52	0.85	0.54	0.79	0.43	1.69	0.82	0.0	0.0	0.47	0.57	0.87	0.0	1.06	0.0	0.48	0.51	2.18	0.47	0.0	0.53	0.0	1.28	0.8	0.57	0.43	0.47	0.0	0.0	1.22	0.51	0.79	0.0	0.85	0.4	0.0	0.0	3.08	0.84	0.0	0.54	0.0	5.45	6.84	0.0	0.0	0.0
RP11-481A20.11	0.0	8.06	2.41	17.51	0.0	8.19	6.46	3.06	23.76	2.71	36.01	7.34	21.63	5.11	6.36	20.71	10.39	5.02	11.55	10.16	0.0	3.2	0.0	0.0	5.19	2.2	7.06	6.84	2.29	7.51	9.13	0.0	0.0	6.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.65	2.58	0.0	0.0	0.0	3.41	0.0	0.0	2.97	5.5	5.28	3.56	0.0	0.0	0.0	3.26	4.35	2.14	0.0	3.44	2.16	4.94	3.5	0.0	0.0	14.45	26.67	0.0	0.09	0.0
RP4-583P15.15	41.22	72.01	72.01	189.02	62.12	80.57	215.77	107.38	60.82	148.09	78.89	61.68	204.07	102.25	121.79	152.28	102.97	140.04	114.36	111.21	2.58	5.59	67.12	11.73	13.12	29.91	7.57	56.68	8.51	96.68	21.16	8.58	41.81	31.45	36.79	21.78	3.03	17.9	15.22	10.31	19.97	64.8	52.45	15.8	17.38	31.0	19.82	11.91	31.9	10.47	23.42	9.7	16.51	14.45	8.51	11.82	19.68	65.26	14.67	12.36	25.54	53.95	34.02	31.0	15.45	11.91	149.12	176.29	0.0	0.75	21.63
RPGR	33.06	105.89	98.73	249.73	193.01	131.51	368.65	432.53	248.0	155.5	262.2	336.79	295.11	150.17	287.01	368.65	182.55	271.48	353.59	155.5	78.34	53.95	144.01	82.87	96.68	107.38	165.57	109.66	41.81	92.05	141.02	72.52	69.52	95.34	91.41	100.83	88.88	79.45	113.56	107.38	162.14	138.1	119.26	61.68	101.54	92.05	72.01	60.39	175.07	84.04	55.49	131.51	111.21	102.25	80.01	84.63	155.5	115.16	137.14	105.89	54.33	128.79	94.01	159.9	67.12	70.01	368.65	228.13	0.0	0.34	75.11
RTEL1-TNFRSF6B	13.42	217.27	110.43	262.2	127.0	185.11	470.14	158.79	267.73	127.89	241.19	115.16	842.36	92.05	191.67	341.51	198.47	154.42	228.13	121.79	11.64	8.19	54.72	16.15	15.45	34.26	14.67	81.71	36.01	94.01	33.54	7.57	32.59	26.1	47.17	24.46	22.26	27.64	54.33	13.22	29.7	127.0	92.7	48.18	22.43	43.02	18.56	26.28	36.01	17.9	14.67	16.63	31.45	40.64	7.69	24.46	16.63	62.56	21.01	9.78	24.28	57.08	53.19	35.0	14.45	6.06	289.02	199.85	0.0	1.17	13.52
RWDD3	202.66	400.71	660.68	432.53	307.69	371.22	486.75	438.59	392.44	323.03	769.69	295.11	583.07	258.57	656.11	633.73	409.15	260.38	575.03	295.11	175.07	124.37	246.28	172.65	104.42	251.48	85.22	366.09	158.79	336.79	201.25	111.21	253.23	293.07	181.28	201.25	178.77	134.3	275.28	147.06	249.73	555.41	239.52	283.05	208.38	214.27	194.36	138.1	151.22	158.79	283.05	149.12	164.42	218.79	157.68	228.13	299.25	236.21	209.84	93.35	255.0	256.78	186.4	271.48	206.94	126.12	703.28	647.07	0.0	0.0	95.34
SAPCD1	92.05	141.02	171.45	147.06	62.56	91.41	299.25	140.04	198.47	99.43	130.6	76.71	140.04	47.17	208.38	197.09	185.11	105.89	119.26	143.01	5.59	4.86	79.45	6.94	23.25	88.26	3.5	56.28	0.0	67.12	11.64	10.71	23.25	32.13	37.85	24.28	13.93	10.96	34.75	5.5	34.02	80.57	45.85	43.02	13.52	31.22	12.74	4.94	10.71	9.56	40.07	14.14	6.94	27.44	5.73	19.11	16.51	42.71	30.34	12.55	11.04	28.65	15.68	26.28	16.88	7.17	638.15	688.78	0.0	0.78	2.92
SEC31B	28.04	116.78	127.89	400.71	111.21	162.14	323.03	159.9	285.03	80.01	239.52	115.16	563.18	80.01	293.07	567.1	180.02	208.38	182.55	124.37	10.08	2.92	72.01	14.89	17.51	20.56	3.29	58.71	8.13	56.68	9.06	9.27	50.98	26.86	49.91	70.51	10.63	16.39	21.63	4.5	35.5	72.52	49.21	18.03	24.99	61.68	15.56	3.2	40.07	12.09	19.39	15.22	6.16	38.12	11.82	18.97	27.05	30.34	6.06	9.27	12.45	70.01	27.44	59.13	15.68	9.63	599.49	450.94	0.0	1.28	15.68
SFI1	255.0	713.11	525.39	780.44	420.68	567.1	878.17	620.67	921.88	376.41	1135.2	392.44	551.56	493.56	884.29	928.3	536.45	688.78	698.41	348.71	45.53	57.08	211.31	65.72	106.63	116.78	65.26	178.77	51.35	414.87	173.85	111.21	123.5	116.78	204.07	164.42	142.01	118.43	157.68	157.68	135.24	483.38	265.87	116.78	102.97	172.65	126.12	111.99	143.01	187.71	113.56	93.35	99.43	175.07	78.34	301.33	157.68	125.24	128.79	43.02	116.78	339.14	107.38	204.07	147.06	72.52	2075.59	1216.75	0.0	0.84	85.82
SLC25A34	7.75	16.15	73.03	54.33	14.03	11.3	39.22	88.26	33.3	35.76	14.78	9.7	53.95	28.86	16.88	177.53	22.75	27.64	34.75	73.54	1.28	5.59	13.32	15.22	8.51	9.56	3.08	17.64	2.73	30.34	3.59	7.75	20.41	16.63	12.18	6.73	5.54	12.83	14.89	4.31	21.94	46.18	5.59	6.46	4.31	12.09	5.41	1.48	21.16	1.45	2.36	2.61	5.15	3.35	4.1	4.17	10.24	18.29	2.56	8.71	7.75	11.47	5.82	18.84	10.55	25.72	124.37	134.3	0.0	0.58	74.06
SLC38A6	59.13	130.6	269.6	356.05	511.0	248.0	339.14	503.95	303.44	142.01	260.38	329.84	273.37	447.82	363.56	329.84	400.71	201.25	470.14	271.48	149.12	84.04	111.21	117.6	151.22	152.28	202.66	199.85	117.6	177.53	131.51	113.56	84.63	181.28	99.43	96.01	104.42	107.38	129.69	149.12	112.77	318.57	275.28	153.34	53.57	77.25	90.14	163.28	118.43	264.03	153.34	111.21	161.02	101.54	125.24	140.04	146.03	285.03	273.37	72.01	72.01	325.29	140.04	141.02	102.97	74.06	470.14	480.04	0.0	0.09	55.49
SP140L	409.15	323.03	368.65	738.29	490.14	733.19	884.29	571.05	902.89	454.09	1104.13	616.37	902.89	532.74	1119.56	1832.01	599.49	603.67	507.46	299.25	325.29	100.83	303.44	285.03	480.04	599.49	141.02	769.69	152.28	341.51	303.44	264.03	281.09	208.38	785.88	571.05	420.68	209.84	343.89	124.37	441.64	221.86	1135.2	264.03	307.69	264.03	753.83	379.04	329.84	273.37	395.18	264.03	279.14	301.33	301.33	194.36	543.96	224.97	265.87	246.28	376.41	450.94	414.87	466.88	303.44	124.37	1583.71	791.35	0.0	0.89	94.67
SPIN2A	3.11	4.54	10.31	27.64	19.39	12.74	39.5	21.94	24.99	18.43	73.03	8.25	24.99	9.85	26.1	63.89	10.88	21.78	14.45	10.63	7.46	6.62	5.45	1.19	1.23	1.58	0.0	3.0	0.0	12.0	4.31	0.82	5.32	2.43	3.47	0.0	3.92	5.59	1.17	8.58	3.56	7.22	17.64	1.04	1.28	3.03	2.51	2.27	4.5	8.65	2.89	0.77	4.46	4.03	3.53	8.38	3.63	5.77	3.47	6.41	4.74	8.51	2.39	3.03	3.66	1.35	28.45	37.85	0.0	0.54	1.3
SYNE2	1806.78	1529.73	1977.24	1159.07	1127.35	1467.37	1883.54	1963.57	2720.15	1167.14	1457.23	2384.37	1769.57	2148.82	4450.27	2335.28	3955.48	1572.76	1295.13	1051.79	301.33	848.22	1030.12	884.29	1199.98	974.5	447.82	1369.04	769.69	1081.39	1008.9	743.43	555.41	713.11	647.07	1250.98	921.88	665.29	928.3	808.0	764.36	1143.1	2209.26	1561.89	1044.52	1277.29	915.51	1135.2	896.64	1259.69	1159.07	1781.89	967.76	928.3	713.11	432.53	872.1	540.19	728.11	808.0	1313.23	1674.06	915.51	1167.14	728.11	540.19	2720.15	1073.91	248.0	318.57	1037.29
TAS2R10	0.0	4.66	6.89	0.39	0.0	0.37	2.89	1.93	1.77	0.38	9.13	0.96	16.39	0.69	13.62	12.09	3.76	6.46	4.06	0.97	0.0	0.0	0.0	0.0	0.0	1.06	0.0	4.9	0.0	1.08	0.0	0.0	1.58	1.06	0.0	2.36	1.57	2.92	0.0	0.0	0.0	4.94	4.1	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46	0.0	0.0	0.0	1.16	2.78	0.91	0.0	0.0	1.46	0.0	0.0	0.0	0.0	15.34	9.06	0.0	0.17	0.27
TAS2R14	10.47	19.25	36.27	56.68	28.24	19.39	52.08	43.02	32.82	18.56	94.01	29.06	27.64	18.7	90.77	90.14	26.47	42.71	55.49	21.16	1.66	2.97	10.55	5.68	3.59	1.58	2.27	19.39	7.82	27.64	7.88	3.47	6.67	13.22	12.74	4.17	2.58	5.11	7.28	8.65	9.93	31.0	29.48	8.06	5.19	13.22	3.41	5.41	8.65	12.74	8.85	3.66	5.32	10.16	3.56	13.32	12.93	14.45	16.88	3.11	4.78	21.01	3.23	13.22	12.27	4.62	56.28	50.63	0.0	0.35	2.25
TIAL1	1001.93	1769.57	2303.12	2434.5	1561.89	2271.4	2367.9	1437.15	1378.57	1794.29	2133.97	2537.92	3257.52	1674.06	2816.11	2485.67	2271.4	1923.14	2061.24	1991.0	1378.57	1066.48	1551.09	1397.83	1487.87	1457.23	1159.07	1794.29	1143.1	1519.15	1175.27	1388.16	1407.55	1617.0	1583.71	1745.2	1191.69	1268.46	1498.22	1030.12	1467.37	1369.04	1350.18	1417.35	1487.87	1467.37	1304.15	1233.75	1216.75	1794.29	1322.37	1044.52	1175.27	1628.26	1277.29	1242.34	1794.29	961.07	1304.15	1037.29	1378.57	1216.75	1359.57	1417.35	1359.57	1350.18	2032.85	1583.71	0.0	0.96	1081.39
TM2D1	555.41	656.11	1359.57	5711.87	890.44	642.59	796.86	764.36	854.13	503.95	825.0	656.11	1023.0	733.19	1030.12	2485.67	854.13	521.76	872.1	1023.0	759.08	379.04	400.71	441.64	358.54	438.59	332.14	1059.11	435.55	571.05	825.0	379.04	525.39	808.0	435.55	423.61	447.82	373.81	753.83	366.09	1023.0	902.89	1096.5	583.07	559.28	493.56	346.29	444.72	521.76	463.65	460.44	435.55	514.56	409.15	454.09	665.29	674.59	480.04	400.71	379.04	435.55	642.59	540.19	620.67	466.88	470.14	808.0	748.61	0.0	0.67	438.59
TMEM260	78.34	128.79	283.05	232.94	256.78	264.03	226.54	332.14	361.04	202.66	217.27	226.54	173.85	334.46	336.79	395.18	325.29	226.54	208.38	226.54	80.57	71.5	178.77	82.29	176.29	98.73	76.71	144.01	85.82	171.45	111.21	115.16	120.94	135.24	83.45	97.36	97.36	115.97	115.16	217.27	96.68	185.11	191.67	87.65	84.04	115.97	96.68	119.26	172.65	373.81	118.43	111.21	106.63	96.01	68.55	144.01	159.9	114.36	197.09	53.19	118.43	197.09	134.3	102.25	84.63	47.17	287.01	185.11	0.0	0.49	117.6
TRIM52	102.97	140.04	307.69	373.81	138.1	190.34	420.68	167.9	336.79	173.85	381.68	120.94	473.41	142.01	547.75	521.76	209.84	397.93	186.4	217.27	40.07	28.24	76.17	54.33	43.94	66.18	35.0	132.44	21.94	81.71	84.04	36.79	61.68	50.98	63.89	105.89	66.18	56.68	58.3	44.25	33.54	171.45	122.64	29.91	39.5	59.55	64.8	21.63	99.43	40.07	67.59	36.79	36.53	53.19	40.07	42.11	51.71	102.97	48.87	22.1	61.25	107.38	83.45	76.71	53.19	43.02	1111.82	909.17	0.0	0.78	28.86
UCN	15.11	860.08	50.63	133.36	40.07	17.9	79.45	74.06	76.17	26.86	11.13	11.64	167.9	35.25	17.0	205.5	55.1	32.13	51.71	20.26	7.4	2.92	17.77	3.41	4.94	8.25	4.17	43.63	5.15	77.79	24.81	3.41	5.28	5.36	3.96	10.39	4.35	5.06	5.5	3.79	20.56	33.78	19.25	21.16	3.2	13.62	17.38	3.03	1.85	4.1	2.86	11.04	1.95	1.95	0.0	11.38	17.9	49.91	3.11	5.28	5.59	6.06	14.03	13.12	4.06	2.92	58.3	57.49	0.0	0.56	7.63
USF1	713.11	2739.08	2367.9	1540.37	1044.52	1216.75	1977.24	1066.48	1340.84	1175.27	1594.73	1001.93	2335.28	947.83	1508.65	2224.63	1199.98	1286.18	2119.22	1487.87	470.14	432.53	872.1	638.15	647.07	1081.39	476.71	1388.16	466.88	1551.09	698.41	563.18	633.73	728.11	1268.46	587.13	967.76	591.22	743.43	518.15	934.76	2193.99	1191.69	1175.27	780.44	808.0	954.43	599.49	780.44	785.88	575.03	669.92	579.04	759.08	748.61	698.41	669.92	764.36	500.46	503.95	819.3	791.35	780.44	612.11	836.53	559.28	2875.3	1674.06	1331.57	29327.18	536.45
USP49	15.22	40.93	81.14	63.0	40.93	43.63	69.52	68.07	105.89	58.3	103.69	36.27	118.43	28.45	100.13	83.45	85.82	149.12	65.26	59.13	7.63	12.93	29.7	9.34	14.56	13.62	9.2	31.67	11.13	37.59	22.26	10.79	27.64	17.25	18.16	19.97	14.03	20.41	14.78	20.71	16.15	76.71	43.02	11.64	14.24	19.11	24.99	12.27	21.47	23.08	18.56	14.35	13.03	20.26	10.88	15.45	18.7	22.1	10.08	8.38	12.64	29.91	12.93	19.97	10.0	9.06	119.26	79.45	0.0	0.54	10.55
VCPKMT	99.43	150.17	314.17	201.25	283.05	305.55	343.89	314.17	251.48	173.85	336.79	262.2	341.51	493.56	295.11	571.05	309.83	223.41	232.94	307.69	107.38	110.43	251.48	102.25	151.22	84.63	63.89	185.11	96.01	251.48	97.36	128.79	199.85	194.36	182.55	152.28	110.43	110.43	123.5	161.02	127.0	201.25	264.03	275.28	144.01	144.01	191.67	89.51	126.12	197.09	178.77	195.72	102.25	170.25	115.97	205.5	114.36	131.51	105.15	118.43	136.19	180.02	105.15	242.88	206.94	182.55	241.19	132.44	0.0	0.59	191.67
ZBTB1	273.37	307.69	575.03	532.74	397.93	583.07	483.38	363.56	718.08	525.39	813.63	595.34	497.0	466.88	656.11	830.75	500.46	423.61	444.72	341.51	251.48	215.77	363.56	285.03	473.41	180.02	316.37	348.71	256.78	397.93	289.02	323.03	281.09	264.03	269.6	224.97	371.22	323.03	202.66	409.15	305.55	633.73	543.96	242.88	293.07	271.48	371.22	181.28	343.89	273.37	289.02	334.46	267.73	314.17	277.2	251.48	334.46	185.11	191.67	186.4	303.44	518.15	297.17	348.71	239.52	244.57	633.73	603.67	0.0	0.27	202.66
ZBTB17	759.08	796.86	1088.92	775.05	607.87	947.83	954.43	802.41	796.86	642.59	1340.84	507.46	748.61	775.05	738.29	1651.0	890.44	780.44	1191.69	902.89	299.25	406.31	607.87	591.22	457.25	733.19	555.41	567.1	497.0	791.35	642.59	373.81	460.44	591.22	988.12	518.15	529.06	395.18	591.22	371.22	785.88	1183.45	995.0	665.29	848.22	684.02	551.56	435.55	603.67	177.53	647.07	547.75	470.14	665.29	384.34	312.0	536.45	738.29	583.07	616.37	323.03	521.76	423.61	738.29	507.46	400.71	1662.49	954.43	0.0	0.78	693.58
ZDHHC6	483.38	723.08	493.56	713.11	599.49	571.05	1104.13	466.88	397.93	647.07	567.1	738.29	1208.34	665.29	748.61	723.08	651.58	518.15	796.86	728.11	693.58	271.48	511.0	429.54	420.68	486.75	312.0	579.04	343.89	454.09	432.53	343.89	466.88	500.46	444.72	420.68	403.5	429.54	493.56	473.41	466.88	532.74	392.44	318.57	329.84	536.45	417.77	463.65	486.75	555.41	514.56	400.71	291.04	665.29	414.87	363.56	703.28	226.54	629.35	368.65	384.34	571.05	500.46	444.72	450.94	336.79	1088.92	848.22	0.0	0.61	466.88
ZFP2	2.14	8.19	8.19	36.01	6.89	7.57	24.99	6.01	73.54	16.15	10.63	2.92	77.79	25.17	31.67	19.68	20.41	10.24	30.12	5.77	2.63	5.45	4.03	1.81	1.01	8.19	1.51	7.75	0.85	6.16	4.17	1.11	5.15	3.26	2.56	1.33	6.67	8.32	6.06	6.52	2.27	21.32	10.39	2.2	2.39	7.94	1.38	0.52	2.56	0.51	1.35	8.25	1.31	0.0	3.11	6.84	4.9	0.55	3.69	2.71	2.2	8.0	2.43	0.99	6.11	8.71	102.25	59.13	0.0	0.12	6.62
