	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.A7.A13E.11A.61R.A12P.07	TCGA.BH.A0B3.11B.21R.A089.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.BH.A0BZ.11A.61R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1F2.11A.32R.A13Q.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.11P81.1926.SM.5BC53	GTEX.Y5V5.2126.SM.4WWFO	GTEX.W5X1.2326.SM.3GIL6	GTEX.11ZTT.2326.SM.5EQLG	GTEX.WRHU.0326.SM.3MJFY	GTEX.S32W.2026.SM.4AD6E	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.ZF3C.2326.SM.5S2MZ	GTEX.YJ8O.2226.SM.5IFHW	GTEX.YB5K.1626.SM.5IFIN	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.TML8.1226.SM.32QON	GTEX.13OVG.1426.SM.5K7VP	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1
STXBP3	1175.27	713.11	629.35	1135.2	638.15	1066.48	392.44	536.45	693.58	693.58	547.75	791.35	733.19	1151.06	693.58	1477.58	836.53	476.71	1073.91	591.22	1151.06	656.11	718.08	1023.0	679.29	563.18	738.29	775.05	848.22	607.87	514.56	674.59	567.1	493.56	1350.18	1008.9	1674.06	414.87	981.29	595.34	819.3	1001.93	802.41	423.61	450.94	379.04	480.04	1407.55	860.08	153.34	473.41
SUCO	514.56	215.77	291.04	764.36	320.8	521.76	146.03	299.25	307.69	291.04	237.86	275.28	351.14	551.56	438.59	785.88	571.05	236.21	595.34	237.86	529.06	318.57	486.75	587.13	232.94	231.32	444.72	314.17	376.41	307.69	281.09	412.0	199.85	224.97	490.14	563.18	819.3	155.5	476.71	215.77	170.25	579.04	267.73	279.14	186.4	190.34	249.73	808.0	293.07	41.52	87.03
TBC1D32	170.25	28.86	34.75	90.14	55.1	107.38	31.22	33.54	38.67	40.64	24.63	68.07	63.45	123.5	79.45	183.82	142.01	31.22	124.37	46.18	99.43	53.95	56.28	148.09	37.85	31.22	48.52	63.0	83.45	35.25	41.22	62.56	21.47	48.52	97.36	128.79	120.94	21.94	90.14	33.54	29.48	78.34	74.06	66.65	25.35	13.62	58.71	151.22	27.25	3.23	6.26
TBL1XR1	995.0	563.18	775.05	1066.48	842.36	995.0	500.46	764.36	1135.2	1015.93	656.11	728.11	669.92	928.3	836.53	1127.35	785.88	728.11	1119.56	713.11	995.0	884.29	947.83	967.76	748.61	825.0	967.76	884.29	1111.82	764.36	860.08	1159.07	543.96	447.82	1295.13	836.53	1639.59	420.68	1437.15	616.37	733.19	1051.79	1250.98	525.39	348.71	567.1	571.05	1508.65	366.09	128.79	132.44
THAP6	457.25	170.25	208.38	392.44	199.85	476.71	131.51	273.37	269.6	299.25	191.67	189.02	255.0	435.55	299.25	547.75	463.65	212.78	438.59	262.2	366.09	253.23	343.89	490.14	231.32	269.6	275.28	287.01	341.51	356.05	239.52	182.55	151.22	165.57	529.06	373.81	454.09	195.72	366.09	211.31	212.78	320.8	175.07	249.73	153.34	164.42	206.94	429.54	185.11	40.64	94.01
THAP9	111.21	41.22	48.87	110.43	55.49	118.43	26.67	47.17	71.5	58.3	35.0	52.82	70.01	116.78	88.88	178.77	102.25	39.79	106.63	47.84	85.82	56.28	84.04	117.6	63.0	77.79	74.58	63.45	66.65	44.57	40.36	82.87	81.71	44.89	88.88	138.1	99.43	51.35	59.55	70.51	32.59	67.12	63.45	45.21	28.04	46.18	52.08	209.84	32.13	11.55	27.84
TLK1	813.63	316.37	483.38	878.17	511.0	791.35	194.36	420.68	547.75	503.95	346.29	497.0	599.49	830.75	583.07	967.76	674.59	426.57	748.61	426.57	733.19	429.54	616.37	733.19	450.94	384.34	536.45	559.28	728.11	460.44	358.54	518.15	329.84	228.13	698.41	723.08	1369.04	303.44	603.67	325.29	476.71	836.53	543.96	348.71	320.8	258.57	291.04	830.75	256.78	83.45	130.6
TMED8	228.13	98.04	143.01	211.31	187.71	256.78	89.51	161.02	229.72	159.9	131.51	163.28	194.36	253.23	171.45	251.48	195.72	157.68	224.97	134.3	195.72	186.4	204.07	221.86	153.34	157.68	241.19	164.42	204.07	153.34	163.28	301.33	129.69	97.36	269.6	189.02	500.46	74.06	122.64	157.68	101.54	215.77	123.5	109.66	85.82	74.58	183.82	403.5	98.73	23.93	40.93
TMEM106B	813.63	417.77	563.18	921.88	536.45	624.99	275.28	555.41	748.61	656.11	356.05	518.15	438.59	723.08	543.96	921.88	629.35	540.19	830.75	497.0	819.3	591.22	651.58	684.02	514.56	507.46	796.86	555.41	698.41	633.73	559.28	1151.06	567.1	264.03	1037.29	1427.22	1199.98	587.13	450.94	406.31	341.51	1008.9	915.51	624.99	305.55	470.14	351.14	988.12	432.53	149.12	384.34
TMEM168	612.11	253.23	339.14	629.35	417.77	525.39	234.57	351.14	397.93	426.57	285.03	379.04	392.44	543.96	412.0	703.28	563.18	438.59	571.05	368.65	607.87	376.41	438.59	591.22	327.56	373.81	426.57	426.57	429.54	435.55	334.46	397.93	299.25	206.94	595.34	503.95	796.86	291.04	500.46	312.0	208.38	420.68	400.71	351.14	384.34	318.57	363.56	728.11	299.25	77.79	56.68
TTC37	954.43	540.19	718.08	1023.0	890.44	941.27	387.02	866.07	1208.34	1073.91	713.11	748.61	808.0	941.27	872.1	1268.46	909.17	967.76	1143.1	825.0	1104.13	872.1	1023.0	967.76	872.1	896.64	988.12	934.76	1159.07	1015.93	934.76	934.76	420.68	500.46	1457.23	981.29	1639.59	466.88	1191.69	454.09	660.68	954.43	1183.45	753.83	450.94	409.15	457.25	1457.23	447.82	61.68	191.67
TYW3	607.87	500.46	426.57	612.11	476.71	555.41	293.07	463.65	511.0	486.75	420.68	423.61	447.82	575.03	460.44	825.0	457.25	403.5	629.35	384.34	547.75	447.82	529.06	543.96	371.22	341.51	532.74	497.0	466.88	497.0	353.59	348.71	420.68	223.41	518.15	555.41	2133.97	255.0	423.61	403.5	371.22	543.96	529.06	406.31	291.04	305.55	312.0	848.22	343.89	116.78	218.79
U2SURP	1572.76	595.34	884.29	1617.0	748.61	1304.15	312.0	902.89	941.27	1059.11	769.69	967.76	941.27	1605.83	1111.82	2434.5	1322.37	836.53	1447.15	802.41	1378.57	854.13	1127.35	1651.0	890.44	934.76	1030.12	981.29	1143.1	1096.5	872.1	1037.29	780.44	651.58	1407.55	1250.98	2875.3	759.08	1199.98	842.36	808.0	1487.87	1216.75	775.05	748.61	684.02	718.08	1572.76	555.41	61.25	260.38
USP49	65.72	17.51	36.79	68.55	44.57	65.72	13.93	42.71	39.5	44.89	35.76	35.0	36.01	81.14	56.68	74.06	77.25	34.51	67.12	44.25	60.82	39.22	46.5	73.54	42.71	36.53	52.82	41.81	49.56	72.01	44.57	50.27	21.47	25.35	62.12	35.5	125.24	29.06	69.52	45.53	30.12	55.89	37.59	27.64	43.32	23.93	68.55	95.34	28.45	1.91	8.45
WIPF2	518.15	246.28	336.79	642.59	351.14	423.61	197.09	309.83	420.68	414.87	283.05	325.29	426.57	466.88	381.68	518.15	540.19	341.51	426.57	406.31	493.56	299.25	348.71	441.64	381.68	309.83	343.89	332.14	392.44	327.56	395.18	872.1	239.52	260.38	543.96	595.34	651.58	244.57	444.72	412.0	260.38	341.51	366.09	348.71	211.31	295.11	307.69	514.56	368.65	92.7	112.77
YTHDC2	420.68	123.5	181.28	379.04	218.79	387.02	85.82	159.9	206.94	256.78	171.45	234.57	273.37	366.09	246.28	500.46	329.84	180.02	361.04	142.01	423.61	234.57	232.94	384.34	242.88	183.82	189.02	248.0	297.17	239.52	166.73	228.13	130.6	140.04	346.29	244.57	518.15	123.5	414.87	142.01	164.42	287.01	241.19	155.5	108.9	105.15	158.79	490.14	241.19	56.28	96.68
ZBTB41	258.57	82.87	110.43	281.09	129.69	195.72	58.3	127.0	178.77	142.01	85.22	143.01	142.01	239.52	143.01	291.04	185.11	102.25	246.28	121.79	202.66	140.04	162.14	197.09	127.89	115.16	169.07	145.02	173.85	124.37	115.16	228.13	86.43	50.27	351.14	283.05	307.69	103.69	212.78	74.06	125.24	255.0	187.71	110.43	88.88	93.35	102.97	329.84	71.5	9.56	28.45
ZFAND4	234.57	98.73	140.04	178.77	130.6	241.19	70.01	122.64	115.97	131.51	100.83	145.02	237.86	307.69	158.79	277.2	260.38	115.16	170.25	113.56	187.71	122.64	236.21	295.11	124.37	93.35	153.34	127.89	114.36	138.1	116.78	229.72	77.79	106.63	208.38	211.31	403.5	75.11	105.15	96.01	57.49	218.79	98.73	97.36	64.34	51.35	81.14	277.2	78.34	46.5	45.53
ZFP14	170.25	59.13	50.98	119.26	87.03	173.85	37.59	51.35	87.03	80.01	44.57	60.39	98.73	167.9	96.01	175.07	162.14	58.71	159.9	59.55	111.21	90.14	106.63	157.68	73.54	51.35	94.67	93.35	116.78	71.0	53.95	125.24	84.63	59.97	144.01	130.6	193.01	43.02	101.54	74.06	54.33	119.26	67.59	72.52	15.8	29.06	77.25	194.36	27.64	8.38	18.16
ZFP62	642.59	279.14	279.14	563.18	295.11	743.43	256.78	256.78	348.71	341.51	265.87	297.17	392.44	638.15	426.57	669.92	647.07	258.57	607.87	246.28	356.05	356.05	514.56	620.67	303.44	277.2	426.57	435.55	379.04	283.05	253.23	368.65	371.22	265.87	616.37	490.14	738.29	204.07	363.56	384.34	255.0	417.77	271.48	305.55	138.1	194.36	265.87	753.83	157.68	70.01	114.36
ZFP64	301.33	172.65	137.14	264.03	223.41	265.87	140.04	191.67	212.78	239.52	163.28	164.42	223.41	277.2	258.57	332.14	316.37	180.02	329.84	221.86	262.2	201.25	248.0	323.03	231.32	191.67	202.66	190.34	209.84	111.99	198.47	287.01	165.57	167.9	314.17	309.83	318.57	164.42	183.82	183.82	120.1	220.32	228.13	239.52	141.02	135.24	167.9	236.21	170.25	95.34	111.21
ZFYVE16	497.0	277.2	299.25	563.18	346.29	423.61	153.34	314.17	435.55	334.46	273.37	336.79	397.93	547.75	376.41	713.11	470.14	301.33	521.76	273.37	583.07	332.14	412.0	503.95	301.33	312.0	432.53	343.89	389.72	395.18	271.48	532.74	291.04	221.86	791.35	444.72	836.53	248.0	460.44	269.6	198.47	571.05	409.15	387.02	236.21	236.21	346.29	915.51	291.04	61.68	271.48
ZMYM1	217.27	68.07	110.43	208.38	111.99	155.5	44.57	78.89	103.69	127.0	73.54	123.5	126.12	223.41	163.28	361.04	187.71	68.07	242.88	127.89	190.34	131.51	136.19	236.21	111.21	87.65	139.07	120.1	142.01	127.89	80.57	197.09	102.97	88.26	211.31	187.71	563.18	64.34	126.12	138.1	72.52	135.24	104.42	85.82	53.57	58.71	120.1	318.57	60.82	7.28	40.07
ZNF10	312.0	69.52	114.36	267.73	141.02	218.79	38.4	100.13	111.99	118.43	71.0	134.3	144.01	297.17	206.94	346.29	309.83	72.01	279.14	83.45	258.57	100.13	127.89	332.14	102.97	92.05	119.26	146.03	111.99	96.01	122.64	113.56	95.34	97.36	265.87	201.25	371.22	72.52	256.78	72.52	78.34	178.77	198.47	106.63	49.21	56.68	86.43	409.15	111.99	16.27	35.25
ZNF134	327.56	151.22	190.34	255.0	214.27	353.59	102.97	132.44	198.47	212.78	116.78	206.94	224.97	329.84	223.41	389.72	346.29	177.53	316.37	165.57	287.01	187.71	217.27	343.89	193.01	199.85	206.94	218.79	226.54	205.5	175.07	231.32	141.02	100.83	368.65	291.04	518.15	63.89	153.34	186.4	127.89	450.94	275.28	126.12	76.71	108.14	223.41	444.72	191.67	38.95	36.27
ZNF140	698.41	316.37	299.25	571.05	343.89	651.58	212.78	275.28	307.69	323.03	221.86	334.46	368.65	540.19	351.14	728.11	547.75	248.0	591.22	239.52	454.09	291.04	387.02	595.34	242.88	253.23	363.56	351.14	409.15	295.11	246.28	432.53	258.57	234.57	587.13	616.37	842.36	166.73	476.71	265.87	224.97	547.75	297.17	241.19	156.59	186.4	269.6	769.69	253.23	77.25	100.83
ZNF182	154.42	73.03	57.49	143.01	79.45	152.28	55.89	67.59	86.43	107.38	57.89	99.43	98.73	165.57	100.13	140.04	127.0	80.01	140.04	101.54	113.56	83.45	100.13	148.09	91.41	90.14	98.73	126.12	154.42	81.71	52.82	142.01	78.89	84.04	181.28	102.97	223.41	62.12	115.97	76.71	73.03	136.19	84.63	62.56	41.22	57.08	78.34	218.79	46.5	8.71	33.3
ZNF197	339.14	170.25	211.31	299.25	217.27	312.0	110.43	183.82	223.41	241.19	208.38	217.27	187.71	353.59	277.2	371.22	320.8	180.02	309.83	220.32	281.09	224.97	242.88	332.14	199.85	201.25	251.48	260.38	264.03	214.27	215.77	211.31	145.02	114.36	325.29	271.48	753.83	228.13	202.66	246.28	172.65	373.81	246.28	202.66	147.06	140.04	215.77	368.65	157.68	30.56	70.51
ZNF248	329.84	106.63	162.14	291.04	170.25	297.17	91.41	144.01	118.43	159.9	127.89	140.04	199.85	283.05	211.31	423.61	299.25	130.6	332.14	182.55	237.86	176.29	183.82	309.83	131.51	116.78	249.73	170.25	197.09	204.07	147.06	248.0	133.36	158.79	314.17	239.52	392.44	119.26	234.57	145.02	87.65	212.78	194.36	158.79	73.54	121.79	155.5	309.83	99.43	22.43	58.3
ZNF268	366.09	170.25	175.07	336.79	275.28	379.04	97.36	164.42	199.85	223.41	151.22	217.27	271.48	325.29	258.57	463.65	366.09	201.25	371.22	170.25	320.8	246.28	260.38	392.44	178.77	183.82	224.97	211.31	187.71	206.94	191.67	221.86	256.78	55.49	420.68	368.65	470.14	108.9	305.55	142.01	122.64	339.14	343.89	166.73	129.69	139.07	195.72	753.83	115.97	30.78	98.04
ZNF280D	934.76	599.49	684.02	967.76	525.39	802.41	406.31	723.08	591.22	688.78	567.1	563.18	607.87	954.43	819.3	1331.57	878.17	486.75	1008.9	555.41	866.07	708.18	802.41	896.64	559.28	500.46	995.0	669.92	693.58	733.19	583.07	813.63	575.03	400.71	1001.93	660.68	1359.57	612.11	819.3	547.75	511.0	796.86	808.0	521.76	293.07	406.31	660.68	1437.15	432.53	148.09	336.79
ZNF283	178.77	63.45	65.72	139.07	78.89	167.9	21.94	78.89	80.57	98.04	55.49	66.18	83.45	158.79	107.38	220.32	189.02	89.51	167.9	88.88	125.24	85.82	99.43	155.5	59.55	63.89	111.21	98.73	135.24	101.54	64.34	143.01	59.55	43.63	223.41	127.89	109.66	51.71	77.79	65.26	59.55	127.0	69.03	44.57	43.32	42.41	69.03	171.45	41.52	4.94	7.22
ZNF292	384.34	82.87	162.14	397.93	163.28	358.54	60.82	157.68	167.9	191.67	146.03	199.85	190.34	409.15	285.03	543.96	346.29	180.02	371.22	155.5	285.03	165.57	256.78	403.5	176.29	141.02	239.52	178.77	226.54	183.82	169.07	194.36	113.56	114.36	358.54	234.57	603.67	108.9	281.09	126.12	156.59	309.83	241.19	128.79	86.43	87.03	148.09	395.18	129.69	6.06	46.84
ZNF329	223.41	177.53	157.68	264.03	142.01	283.05	74.06	127.0	129.69	136.19	124.37	176.29	208.38	277.2	198.47	316.37	295.11	106.63	236.21	149.12	241.19	127.0	206.94	312.0	149.12	125.24	204.07	170.25	161.02	144.01	131.51	265.87	111.99	163.28	320.8	215.77	348.71	74.06	175.07	159.9	149.12	291.04	170.25	106.63	53.57	76.17	146.03	379.04	143.01	61.68	54.33
ZNF33A	698.41	231.32	253.23	591.22	339.14	769.69	205.5	237.86	285.03	287.01	242.88	336.79	454.09	764.36	420.68	693.58	603.67	289.02	620.67	262.2	457.25	314.17	389.72	579.04	277.2	285.03	438.59	426.57	454.09	285.03	287.01	366.09	253.23	332.14	571.05	432.53	575.03	295.11	591.22	273.37	293.07	438.59	325.29	194.36	189.02	198.47	182.55	728.11	218.79	94.67	150.17
ZNF346	242.88	121.79	159.9	218.79	163.28	256.78	127.89	127.89	120.1	128.79	102.97	138.1	189.02	258.57	214.27	258.57	260.38	144.01	198.47	162.14	190.34	144.01	217.27	332.14	157.68	115.97	159.9	142.01	141.02	162.14	132.44	232.94	98.73	132.44	189.02	186.4	237.86	101.54	172.65	201.25	134.3	193.01	135.24	100.13	97.36	94.01	153.34	229.72	124.37	69.52	132.44
ZNF418	161.02	48.18	59.55	84.63	92.7	249.73	55.89	26.86	57.08	54.33	59.55	45.21	99.43	190.34	97.36	214.27	180.02	52.82	147.06	78.34	133.36	50.98	95.34	182.55	46.84	71.0	74.06	85.82	103.69	59.13	70.51	49.56	60.39	57.08	236.21	90.14	119.26	71.5	127.0	106.63	42.71	162.14	99.43	53.95	19.68	26.67	57.89	124.37	29.48	16.15	39.5
ZNF527	117.6	71.5	67.59	112.77	76.17	108.14	57.08	89.51	87.03	87.65	62.56	95.34	88.26	132.44	108.14	149.12	130.6	77.79	111.21	77.25	102.97	70.51	87.03	130.6	75.64	63.0	90.77	94.67	98.04	78.34	83.45	115.16	73.03	39.22	128.79	156.59	180.02	52.82	68.07	82.29	41.81	100.13	105.15	67.12	22.43	44.89	78.34	163.28	35.5	15.34	21.63
ZNF549	177.53	55.1	54.72	113.56	92.7	171.45	53.95	53.57	73.54	94.01	48.52	77.25	95.34	158.79	96.68	182.55	166.73	64.8	146.03	57.49	126.12	71.5	90.77	145.02	74.06	70.01	88.88	85.22	102.97	69.52	71.5	229.72	73.54	48.87	195.72	82.87	297.17	32.36	85.82	88.88	37.59	102.97	71.0	42.71	41.81	40.93	62.12	387.02	47.17	4.94	4.39
ZNF564	220.32	141.02	92.05	163.28	127.89	199.85	96.01	106.63	125.24	126.12	108.14	111.21	120.1	183.82	120.94	265.87	208.38	95.34	175.07	101.54	146.03	126.12	156.59	241.19	101.54	119.26	146.03	151.22	161.02	140.04	111.99	139.07	68.55	87.03	199.85	212.78	363.56	82.87	115.16	102.25	81.71	228.13	146.03	69.52	59.97	76.17	102.25	351.14	61.68	53.57	57.49
ZNF567	201.25	105.89	92.7	189.02	154.42	194.36	138.1	88.26	98.73	121.79	105.15	85.22	166.73	201.25	104.42	229.72	158.79	82.29	186.4	81.14	183.82	118.43	91.41	180.02	88.88	105.89	101.54	142.01	134.3	102.97	87.65	190.34	115.97	111.99	197.09	147.06	195.72	65.72	120.94	108.9	74.06	239.52	146.03	75.64	52.82	72.52	114.36	201.25	80.57	55.1	39.5
ZNF571	125.24	68.07	59.55	102.97	75.64	131.51	59.13	59.55	94.67	92.7	66.18	87.03	94.67	154.42	90.14	159.9	143.01	82.29	150.17	97.36	129.69	72.52	93.35	163.28	71.0	70.51	105.89	102.97	129.69	70.51	70.01	142.01	59.55	76.71	140.04	96.01	232.94	39.22	115.97	83.45	63.0	172.65	65.72	52.82	40.07	44.57	64.8	205.5	76.17	13.42	21.32
ZNF585B	232.94	72.52	156.59	194.36	141.02	231.32	84.63	139.07	147.06	180.02	82.29	147.06	177.53	260.38	163.28	265.87	180.02	135.24	205.5	129.69	223.41	130.6	149.12	212.78	148.09	113.56	134.3	172.65	172.65	140.04	123.5	149.12	127.0	124.37	275.28	255.0	373.81	73.54	143.01	164.42	92.05	172.65	129.69	115.97	41.81	76.71	131.51	281.09	91.41	16.63	55.49
ZNF619	96.01	43.02	45.21	99.43	73.54	144.01	35.76	40.07	59.55	72.01	33.3	56.68	80.57	118.43	70.01	111.21	100.83	54.72	88.88	57.08	70.51	65.26	74.06	106.63	63.89	47.5	63.89	71.0	76.17	52.45	50.27	64.8	55.49	31.9	176.29	100.83	119.26	34.51	44.89	75.64	24.46	118.43	71.5	23.25	28.24	31.67	42.11	120.1	47.17	20.71	18.29
ZNF678	148.09	37.05	59.55	150.17	68.07	105.89	25.91	55.89	71.5	76.17	34.02	63.89	87.03	134.3	96.01	140.04	114.36	72.01	117.6	77.25	96.01	68.07	80.01	120.1	73.54	43.94	77.79	76.17	94.67	66.18	58.3	62.56	43.32	28.86	130.6	88.88	253.23	26.28	107.38	77.25	40.93	120.1	89.51	29.06	33.78	42.11	27.05	127.89	41.52	2.03	15.22
ZNF701	169.07	64.8	81.14	176.29	99.43	151.22	57.89	76.71	102.97	92.7	67.59	100.83	109.66	173.85	130.6	232.94	183.82	92.7	165.57	91.41	149.12	71.5	117.6	206.94	90.14	63.0	90.77	107.38	113.56	93.35	75.64	75.11	111.21	78.89	271.48	159.9	173.85	59.55	80.57	84.04	74.58	103.69	86.43	66.18	46.18	81.71	63.45	255.0	64.8	3.82	29.7
ZNF713	120.1	21.94	31.45	105.89	44.25	91.41	13.32	44.57	30.34	28.86	24.63	48.52	48.18	93.35	58.3	124.37	93.35	28.65	105.89	56.28	76.17	24.46	66.65	92.7	24.63	31.67	58.71	52.82	38.4	49.56	35.5	57.89	54.33	23.93	81.14	85.22	155.5	42.71	78.34	33.78	34.02	84.04	68.55	53.19	9.78	19.53	44.89	191.67	14.67	5.63	14.78
ZNF717	217.27	94.67	92.7	149.12	88.26	194.36	92.05	84.04	110.43	85.82	96.01	64.34	111.99	166.73	155.5	231.32	115.16	112.77	165.57	107.38	111.99	82.29	104.42	166.73	113.56	84.04	92.05	147.06	146.03	147.06	68.55	139.07	40.36	61.25	251.48	121.79	423.61	62.56	79.45	56.28	71.5	223.41	88.88	100.13	44.25	29.27	39.79	336.79	43.94	78.34	28.65
ZNF737	457.25	89.51	90.14	389.72	130.6	316.37	42.71	115.16	135.24	120.94	82.87	98.04	260.38	412.0	201.25	406.31	358.54	77.79	249.73	79.45	232.94	146.03	206.94	343.89	118.43	85.22	289.02	148.09	171.45	140.04	78.34	395.18	103.69	92.05	529.06	205.5	884.29	44.89	78.89	118.43	94.67	275.28	231.32	136.19	30.56	63.0	105.15	669.92	35.5	7.46	0.8
ZNF773	205.5	102.25	113.56	111.21	135.24	211.31	56.68	80.57	102.97	108.9	115.97	96.01	121.79	199.85	127.0	158.79	202.66	135.24	214.27	109.66	150.17	110.43	105.89	190.34	120.1	133.36	125.24	135.24	156.59	116.78	134.3	121.79	54.33	55.1	171.45	183.82	186.4	96.68	151.22	142.01	73.03	152.28	144.01	72.01	103.69	70.51	194.36	206.94	60.39	11.21	20.11
ZNF782	81.71	33.3	37.05	71.0	38.12	88.88	30.34	41.81	64.8	45.53	20.71	41.81	50.98	94.67	44.89	101.54	83.45	27.44	60.82	36.79	45.21	52.82	46.18	77.25	52.82	43.02	58.71	42.11	67.12	32.36	30.34	57.89	35.0	29.7	72.01	67.59	108.9	28.04	68.55	63.45	33.06	71.0	70.01	31.9	22.43	24.46	37.05	139.07	30.12	10.55	22.1
ZNF789	341.51	94.01	152.28	262.2	173.85	423.61	95.34	118.43	128.79	126.12	112.77	182.55	159.9	312.0	215.77	320.8	336.79	127.89	293.07	105.89	297.17	158.79	145.02	373.81	149.12	158.79	137.14	167.9	171.45	148.09	115.97	112.77	125.24	167.9	265.87	187.71	339.14	102.97	332.14	180.02	85.22	198.47	176.29	127.0	89.51	92.7	125.24	432.53	194.36	47.84	96.01
ZNF823	320.8	106.63	87.03	226.54	105.15	258.57	76.17	76.17	113.56	111.99	74.58	134.3	202.66	297.17	145.02	283.05	224.97	75.11	234.57	69.52	154.42	103.69	151.22	255.0	90.14	87.03	113.56	139.07	138.1	77.25	96.68	146.03	108.9	113.56	346.29	186.4	258.57	78.34	186.4	106.63	75.11	191.67	110.43	92.7	41.22	54.72	69.03	271.48	137.14	36.01	75.64
ZNF84	540.19	303.44	275.28	536.45	346.29	587.13	193.01	262.2	356.05	429.54	256.78	325.29	384.34	642.59	384.34	808.0	507.46	279.14	599.49	325.29	460.44	343.89	373.81	607.87	279.14	260.38	381.68	420.68	426.57	353.59	309.83	363.56	325.29	316.37	595.34	493.56	775.05	232.94	457.25	260.38	256.78	486.75	246.28	289.02	143.01	156.59	231.32	543.96	159.9	44.25	125.24
ZNF844	248.0	97.36	105.15	237.86	163.28	265.87	50.27	121.79	130.6	139.07	140.04	97.36	176.29	392.44	206.94	486.75	339.14	74.06	303.44	124.37	164.42	133.36	220.32	368.65	115.16	100.83	236.21	171.45	180.02	172.65	92.7	119.26	58.71	32.82	361.04	307.69	309.83	132.44	108.14	101.54	59.97	271.48	141.02	42.41	30.34	52.82	70.01	381.68	47.5	31.0	27.64
ZZZ3	1111.82	303.44	320.8	785.88	429.54	921.88	206.94	348.71	454.09	426.57	289.02	532.74	486.75	854.13	514.56	1225.22	769.69	318.57	866.07	318.57	642.59	417.77	536.45	813.63	368.65	356.05	457.25	521.76	563.18	341.51	343.89	435.55	307.69	281.09	769.69	819.3	1216.75	244.57	511.0	332.14	329.84	591.22	426.57	435.55	279.14	221.86	281.09	860.08	239.52	88.88	90.14
