	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.AO.A0JM.01A.21R.A056.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0DH.01A.11R.A084.07	TCGA.A1.A0SQ.01A.21R.A144.07	GTEX.1313W.0826.SM.5EQ4T	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.BC.A10Y.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.BD.A3EP.11A.12R.A22L.07	TCGA.BC.A10X.11A.11R.A131.07	GTEX.Z9EW.0426.SM.5CVM9	GTEX.14753.1626.SM.5NQ9L	GTEX.RWSA.1426.SM.47JXA	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
SUPT16H	1242.34	1487.87	1350.18	1721.16	1350.18	988.12	1508.65	1175.27	1605.83	1159.07	2240.11	1199.98	1096.5	1037.29	1583.71	1794.29	748.61	441.64	476.71	647.07	406.31	420.68	575.03	493.56	507.46	204.07	486.75	0.0	0.92
TBC1D10B	660.68	708.18	1051.79	698.41	753.83	616.37	595.34	540.19	688.78	785.88	1104.13	547.75	607.87	511.0	1159.07	988.12	351.14	258.57	212.78	244.57	214.27	228.13	283.05	181.28	80.01	124.37	94.01	0.0	0.73
TBCC	518.15	954.43	334.46	414.87	540.19	669.92	432.53	638.15	454.09	603.67	688.78	420.68	351.14	366.09	796.86	529.06	206.94	163.28	181.28	265.87	170.25	169.07	206.94	205.5	193.01	74.58	90.77	0.0	0.0
TMEM179B	1127.35	3039.3	2367.9	3146.52	2627.46	4038.61	2520.38	2451.44	2997.45	1832.01	3419.52	1721.16	2240.11	1819.35	2935.74	2609.3	2104.58	1331.57	1350.18	1594.73	1250.98	1639.59	1304.15	1540.37	1540.37	1572.76	1081.39	0.0	0.73
TMEM216	325.29	420.68	470.14	647.07	497.0	555.41	529.06	780.44	307.69	376.41	356.05	412.0	403.5	389.72	555.41	251.48	320.8	98.73	65.72	120.1	94.67	63.89	82.29	71.5	59.55	22.59	40.93	0.0	0.03
TMEM251	529.06	1001.93	995.0	775.05	688.78	1127.35	934.76	854.13	647.07	532.74	1322.37	571.05	854.13	412.0	1295.13	660.68	647.07	265.87	194.36	379.04	211.31	223.41	275.28	320.8	215.77	154.42	183.82	0.0	0.0
TMEM258	3325.99	6037.61	4066.71	5954.47	6792.79	8778.97	4123.49	6983.79	5183.54	5441.3	6250.56	4769.75	4937.99	4181.07	5006.93	5147.73	4769.75	2875.3	2739.08	3168.41	2075.59	3039.3	3168.41	3018.3	3901.01	3540.14	2090.03	0.0	0.93
TRIM27	988.12	1427.22	934.76	1183.45	1073.91	1674.06	928.3	1487.87	915.51	1199.98	1088.92	1286.18	928.3	1059.11	1304.15	947.83	616.37	866.07	825.0	753.83	928.3	638.15	743.43	532.74	607.87	384.34	764.36	0.0	0.73
TRMT112	7857.29	8840.04	5076.84	7537.18	6381.92	9540.5	4836.35	4972.34	4575.41	6607.01	7382.04	3639.7	6840.04	3982.99	9606.86	6887.62	5555.65	3491.39	2664.15	4512.4	2976.74	3443.31	4095.0	3443.31	3443.31	3212.66	3540.14	7180.15	444.72
TSEN54	718.08	928.3	848.22	633.73	607.87	902.89	656.11	381.68	624.99	785.88	2367.9	432.53	759.08	457.25	579.04	1015.93	525.39	358.54	339.14	356.05	269.6	343.89	412.0	299.25	178.77	166.73	503.95	0.0	0.56
TTC9C	551.56	909.17	842.36	967.76	934.76	836.53	796.86	934.76	679.29	1015.93	830.75	476.71	679.29	571.05	830.75	728.11	214.27	232.94	221.86	426.57	242.88	291.04	323.03	395.18	208.38	205.5	171.45	0.0	0.44
WDR46	796.86	1268.46	684.02	1088.92	842.36	1628.26	1008.9	759.08	718.08	1250.98	866.07	848.22	995.0	915.51	1369.04	1059.11	332.14	575.03	529.06	595.34	591.22	543.96	660.68	587.13	518.15	316.37	642.59	0.0	0.33
XRCC3	137.14	239.52	205.5	197.09	218.79	195.72	215.77	193.01	283.05	162.14	249.73	151.22	147.06	116.78	167.9	234.57	87.03	62.12	44.57	61.68	26.1	38.95	45.53	53.95	12.0	27.05	27.84	0.0	1.0
ZBTB3	90.14	98.73	122.64	155.5	127.0	138.1	105.89	215.77	48.87	134.3	86.43	68.55	141.02	78.34	96.01	108.9	49.21	29.06	30.56	69.03	20.41	39.22	26.28	24.63	27.64	34.51	10.79	28.04	123.5
ZBTB9	224.97	234.57	186.4	197.09	291.04	189.02	229.72	197.09	153.34	186.4	291.04	190.34	108.14	140.04	366.09	275.28	118.43	51.35	40.07	62.56	49.56	48.18	56.28	39.79	63.45	11.64	19.82	108.14	129.69
ZFHX2	38.4	8.51	46.84	117.6	16.51	28.45	56.28	27.64	31.9	34.51	57.89	31.0	68.07	22.26	30.12	20.71	41.22	3.08	1.38	11.73	3.08	8.38	13.03	0.82	6.78	0.17	5.5	0.0	0.0
ZNRD1	629.35	1295.13	660.68	669.92	872.1	1008.9	713.11	764.36	595.34	753.83	921.88	616.37	909.17	583.07	1447.15	1030.12	1250.98	412.0	277.2	607.87	438.59	343.89	473.41	414.87	336.79	327.56	384.34	0.0	0.67
