	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.XF.A9T5.01A.11R.A42T.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.E7.A7XN.01A.11R.A352.07	TCGA.DK.A3WW.01A.22R.A23N.07	TCGA.VS.A9U7.01A.11R.A42T.07	TCGA.EX.A69L.01A.11R.A32P.07	TCGA.DS.A0VN.01A.21R.A10U.07	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.EK.A3GJ.01A.21R.A213.07	TCGA.VS.A958.01A.11R.A42T.07	TCGA.C5.A3HE.01A.21R.A22U.07	TCGA.DG.A2KH.01A.21R.A22U.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.C5.A1BK.01B.11R.A13Y.07	TCGA.EX.A8YF.01A.11R.A37O.07	TCGA.CM.4744.01A.01R.A32Z.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.B8.A54G.01A.11R.A266.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.ZXG5.0826.SM.5GID6	GTEX.S7SE.0926.SM.2XCD6	GTEX.Y111.1026.SM.4TT22	GTEX.P4QT.0526.SM.2I3EX	GTEX.V1D1.0826.SM.3P5ZA	GTEX.X3Y1.0626.SM.3P5YS	GTEX.131YS.0926.SM.5IJB9	GTEX.13FTY.0126.SM.5J2NZ	GTEX.12696.1026.SM.5FQUV	GTEX.11NV4.1126.SM.5HL6J	GTEX.OHPL.0526.SM.3NM8U	GTEX.13FLV.0426.SM.5KLZA	GTEX.ZAB5.0626.SM.5PNVB	GTEX.WRHU.0226.SM.3MJFV	GTEX.11NUK.0826.SM.5HL4U	GTEX.Q734.0626.SM.2I3EF	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.OXRL.0526.SM.2I3EZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.SUCS.0626.SM.32PM5	GTEX.13G51.0426.SM.5K7Z5	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
TBC1D5	72.52	193.01	127.0	214.27	136.19	139.07	201.25	62.12	111.99	163.28	163.28	108.9	221.86	244.57	142.01	301.33	124.37	133.36	325.29	343.89	500.46	0.0	0.39	348.71	262.2	423.61	656.11	389.72	703.28	536.45	830.75	426.57	373.81	500.46	1111.82	312.0	432.53	127.89	633.73	780.44	656.11	693.58	629.35	624.99	371.22	633.73	460.44	540.19	693.58	500.46	406.31	587.13	346.29	275.28	669.92	314.17
TBCEL	35.0	74.06	60.82	71.0	68.55	39.5	51.35	65.26	41.22	28.65	39.79	71.5	95.34	89.51	45.53	211.31	29.06	28.86	61.68	133.36	206.94	0.0	0.29	267.73	234.57	102.25	171.45	275.28	228.13	387.02	279.14	450.94	176.29	353.59	571.05	111.99	438.59	105.89	387.02	197.09	215.77	638.15	301.33	204.07	299.25	493.56	228.13	309.83	529.06	221.86	441.64	149.12	571.05	202.66	202.66	166.73
THSD7A	0.0	4.62	1.31	2.86	1.62	7.34	5.23	3.06	1.91	1.1	1.95	4.7	1.48	0.88	2.94	5.77	2.89	8.85	40.64	13.62	68.07	6.11	30.56	21.01	5.45	10.0	101.54	71.0	209.84	12.74	32.82	35.25	16.63	18.43	159.9	17.64	206.94	3.79	59.13	41.52	69.52	55.89	37.05	18.29	9.41	131.51	25.17	31.67	43.32	90.77	10.24	81.71	35.0	12.09	25.54	25.72
TMEM169	1.17	6.52	0.97	0.96	3.79	3.66	5.77	2.23	3.69	1.08	2.16	4.86	9.56	6.11	3.03	1.93	0.48	2.51	31.9	17.25	18.16	0.0	0.0	38.95	9.78	3.38	17.0	8.13	21.47	29.7	44.57	16.27	26.28	35.5	18.03	1.36	25.72	6.36	5.41	1.43	43.94	4.62	5.73	31.22	6.62	42.71	7.46	21.47	18.03	19.97	9.78	4.35	16.03	1.79	6.94	3.63
TMEM47	15.91	36.53	18.43	9.93	395.18	10.79	122.64	59.97	9.27	2.81	16.39	56.68	454.09	14.67	56.68	48.18	24.46	39.5	195.72	120.1	848.22	0.0	0.35	279.14	432.53	206.94	1127.35	1127.35	2303.12	713.11	1295.13	373.81	264.03	409.15	2351.53	791.35	860.08	532.74	363.56	1167.14	1295.13	1350.18	638.15	358.54	400.71	470.14	616.37	890.44	348.71	412.0	260.38	1819.35	289.02	629.35	961.07	753.83
TMEM59L	2.03	5.87	0.34	1.27	1.91	0.4	2.78	4.66	0.64	0.38	0.0	1.43	1.27	0.0	2.01	3.72	1.57	1.31	2.07	0.0	16.51	0.0	0.51	13.83	14.35	8.25	0.0	651.58	3.41	82.87	17.38	9.56	37.59	99.43	3.38	116.78	191.67	0.16	19.25	11.55	6.57	78.89	10.0	61.25	64.8	16.03	13.72	39.22	12.09	9.85	356.05	5.68	39.79	0.0	3.79	275.28
TMOD2	90.14	13.22	24.81	26.28	32.59	67.12	61.25	30.78	17.77	58.71	74.06	14.89	62.56	11.38	76.17	31.45	4.78	38.95	37.85	42.71	119.26	0.0	0.33	154.42	67.12	146.03	172.65	98.73	334.46	264.03	265.87	66.18	135.24	139.07	157.68	105.15	156.59	18.97	95.34	126.12	204.07	269.6	269.6	205.5	91.41	194.36	194.36	124.37	75.11	51.35	66.65	96.68	78.34	87.65	148.09	171.45
TSPAN2	49.56	40.07	15.45	41.52	32.13	13.42	26.47	98.73	4.28	3.53	12.27	14.89	15.56	110.43	23.59	18.84	34.02	15.11	37.59	13.32	389.72	0.0	0.22	63.89	108.14	12.93	426.57	414.87	1119.56	228.13	500.46	124.37	249.73	198.47	665.29	198.47	279.14	113.56	147.06	246.28	426.57	336.79	133.36	255.0	95.34	384.34	65.26	587.13	287.01	149.12	40.36	136.19	45.53	85.22	400.71	353.59
TSPYL4	69.52	242.88	91.41	85.82	95.34	73.03	99.43	96.01	40.64	47.5	88.26	92.7	136.19	63.45	55.49	97.36	36.79	60.39	181.28	150.17	327.56	0.0	0.49	309.83	246.28	85.22	490.14	109.66	325.29	351.14	241.19	205.5	228.13	490.14	299.25	256.78	237.86	85.82	211.31	267.73	356.05	409.15	303.44	599.49	368.65	289.02	183.82	273.37	316.37	185.11	231.32	253.23	165.57	204.07	229.72	241.19
TTC28	31.67	25.35	10.63	2.89	4.54	16.39	34.26	15.56	7.06	9.41	5.63	17.51	37.59	35.5	17.0	20.86	3.32	9.56	260.38	107.38	291.04	0.0	0.43	336.79	161.02	72.01	441.64	114.36	336.79	435.55	947.83	376.41	237.86	183.82	718.08	265.87	320.8	149.12	134.3	283.05	473.41	660.68	293.07	356.05	185.11	327.56	265.87	346.29	708.18	199.85	120.1	361.04	239.52	176.29	293.07	473.41
TUBA1A	454.09	1551.09	890.44	547.75	547.75	753.83	909.17	1498.22	656.11	1340.84	848.22	638.15	490.14	400.71	638.15	305.55	1143.1	1037.29	3124.78	1378.57	4575.41	0.0	0.42	11745.96	9025.81	3928.15	4736.79	6037.61	4704.07	8191.0	5633.22	8305.36	14461.21	18431.96	11112.3	4268.94	5711.87	8363.13	12853.63	8134.41	8363.13	6037.61	11112.3	9344.14	14867.79	9215.48	7280.4	8022.41	13776.25	31870.96	6745.86	12244.81	1350.18	6294.04	10154.69	2627.46
UBE2G2	432.53	521.76	420.68	454.09	733.19	988.12	473.41	723.08	511.0	660.68	825.0	780.44	1037.29	1015.93	633.73	684.02	409.15	688.78	723.08	981.29	902.89	878.17	1059.11	1447.15	780.44	1322.37	921.88	941.27	1127.35	1806.78	878.17	928.3	1151.06	1628.26	1167.14	1135.2	1015.93	301.33	1322.37	896.64	1467.37	1498.22	1015.93	1225.22	1369.04	1044.52	878.17	1151.06	854.13	1119.56	1457.23	902.89	1008.9	1104.13	1127.35	934.76
UBXN7	121.79	77.25	120.1	71.5	104.42	159.9	191.67	133.36	285.03	107.38	126.12	122.64	151.22	108.14	199.85	128.79	56.28	108.14	115.16	175.07	157.68	116.78	187.71	142.01	153.34	195.72	149.12	182.55	269.6	281.09	226.54	186.4	91.41	316.37	293.07	299.25	167.9	92.05	126.12	287.01	191.67	703.28	301.33	199.85	167.9	314.17	269.6	111.21	186.4	57.89	120.94	170.25	211.31	177.53	258.57	163.28
USHBP1	0.91	37.59	8.0	9.13	7.0	22.43	17.64	15.34	13.42	3.32	8.99	14.89	3.82	5.96	10.24	20.41	8.25	15.34	62.56	59.13	78.34	0.0	0.26	400.71	154.42	54.33	197.09	46.5	318.57	256.78	819.3	339.14	575.03	279.14	703.28	126.12	503.95	86.43	158.79	41.52	403.5	267.73	193.01	217.27	19.39	287.01	100.83	599.49	277.2	173.85	169.07	116.78	106.63	256.78	67.59	110.43
UTRN	18.7	90.14	55.49	181.28	96.68	73.03	169.07	128.79	54.72	37.59	78.89	77.79	98.04	176.29	76.71	237.86	12.45	107.38	417.77	381.68	1183.45	0.0	0.44	909.17	435.55	297.17	2502.97	514.56	3257.52	872.1	1923.14	1685.71	363.56	1015.93	2875.3	1628.26	1487.87	532.74	1322.37	1397.83	2537.92	2075.59	1286.18	1225.22	1233.75	2148.82	642.59	1870.53	2835.7	551.56	813.63	2451.44	941.27	1340.84	1268.46	1015.93
WNT9B	0.0	0.33	0.0	0.0	0.0	0.22	1.35	0.26	0.19	0.0	0.24	0.25	0.0	0.23	0.55	0.26	0.0	0.0	2.25	0.59	4.9	0.0	0.01	5.5	0.0	0.0	2.53	3.03	17.0	0.59	3.66	4.17	0.93	8.38	2.81	0.91	7.17	1.14	4.78	8.45	1.17	1.99	0.0	2.78	1.45	3.96	0.89	0.35	8.65	2.01	1.69	2.36	0.99	3.41	0.96	1.25
WWP2	358.54	420.68	521.76	718.08	511.0	423.61	748.61	473.41	438.59	521.76	507.46	368.65	403.5	376.41	373.81	343.89	356.05	395.18	703.28	791.35	785.88	0.0	0.57	1427.22	860.08	536.45	1594.73	543.96	1583.71	1313.23	1378.57	1259.69	1572.76	1081.39	1844.76	555.41	1277.29	275.28	733.19	473.41	1498.22	567.1	1127.35	1594.73	961.07	1151.06	633.73	1674.06	1369.04	1286.18	1037.29	567.1	532.74	540.19	392.44	463.65
ZBTB22	264.03	301.33	343.89	256.78	170.25	279.14	271.48	185.11	223.41	381.68	145.02	172.65	126.12	208.38	215.77	190.34	161.02	191.67	301.33	329.84	392.44	0.0	0.25	579.04	775.05	417.77	470.14	327.56	444.72	480.04	616.37	842.36	563.18	703.28	493.56	309.83	493.56	325.29	409.15	497.0	480.04	579.04	616.37	575.03	543.96	412.0	483.38	587.13	743.43	684.02	638.15	363.56	420.68	486.75	384.34	423.61
ZDBF2	8.06	9.78	3.86	18.56	22.59	2.01	16.51	3.99	45.53	24.11	15.68	22.1	14.24	34.75	7.22	46.84	2.01	21.32	6.31	6.67	32.13	0.0	0.3	31.9	37.85	31.67	71.0	27.25	92.7	57.08	41.52	27.05	15.22	82.29	102.25	53.19	59.97	32.59	30.34	56.28	56.28	84.63	72.52	67.59	71.5	64.34	31.45	37.59	28.04	18.84	12.55	76.71	24.11	23.25	86.43	91.41
ZDHHC15	0.0	0.35	0.0	0.96	0.0	0.46	1.08	0.84	0.0	0.43	0.0	0.83	0.0	0.0	1.14	0.84	1.16	0.0	5.96	0.97	6.84	0.0	0.16	58.3	39.79	11.13	59.13	54.72	514.56	127.89	186.4	50.27	47.84	63.89	275.28	8.45	171.45	6.41	30.34	20.11	84.04	143.01	112.77	140.04	22.75	115.97	26.86	115.97	175.07	18.03	16.51	223.41	13.83	38.4	56.68	50.98
ZER1	579.04	376.41	258.57	368.65	180.02	476.71	514.56	307.69	684.02	353.59	483.38	441.64	309.83	368.65	503.95	514.56	223.41	264.03	595.34	490.14	624.99	0.0	0.39	723.08	961.07	318.57	620.67	819.3	759.08	802.41	769.69	1350.18	703.28	1030.12	698.41	693.58	1015.93	248.0	693.58	620.67	890.44	988.12	769.69	961.07	647.07	536.45	514.56	748.61	1594.73	521.76	934.76	400.71	708.18	571.05	441.64	708.18
ZFHX3	29.06	33.3	32.13	13.93	43.32	18.43	25.72	40.64	9.2	30.34	22.75	73.54	44.89	62.56	15.45	35.76	33.78	50.98	63.0	62.56	121.79	28.24	47.5	85.82	137.14	57.49	150.17	85.22	239.52	94.67	249.73	206.94	82.29	178.77	325.29	100.83	236.21	41.81	190.34	223.41	256.78	183.82	163.28	144.01	87.03	127.89	90.14	169.07	423.61	70.51	115.16	95.34	171.45	80.57	220.32	251.48
ZMIZ1	131.51	563.18	157.68	287.01	208.38	291.04	514.56	429.54	262.2	209.84	518.15	265.87	232.94	289.02	371.22	358.54	170.25	368.65	603.67	511.0	860.08	224.97	114.36	674.59	1073.91	486.75	808.0	242.88	1781.89	733.19	1909.85	1674.06	802.41	1088.92	1870.53	748.61	2384.37	429.54	1286.18	1487.87	1457.23	1322.37	1199.98	890.44	656.11	616.37	934.76	769.69	3901.01	679.29	1191.69	660.68	769.69	1023.0	1467.37	1175.27
ZNF25	24.28	55.49	33.06	41.81	43.94	45.53	52.08	38.12	30.56	47.17	61.25	26.86	27.64	31.67	55.1	38.95	21.63	45.21	117.6	153.34	199.85	0.0	0.39	151.22	162.14	141.02	149.12	214.27	343.89	334.46	371.22	88.26	133.36	211.31	547.75	58.71	262.2	58.3	185.11	152.28	182.55	175.07	208.38	103.69	132.44	202.66	201.25	212.78	170.25	267.73	194.36	136.19	130.6	130.6	140.04	156.59
ZNF358	713.11	267.73	848.22	226.54	403.5	1111.82	334.46	181.28	332.14	432.53	521.76	289.02	583.07	503.95	1135.2	454.09	1051.79	134.3	1457.23	954.43	1066.48	0.0	0.67	1051.79	1015.93	503.95	830.75	1359.57	1487.87	842.36	1540.37	2271.4	1250.98	1378.57	1023.0	743.43	1572.76	1059.11	802.41	842.36	1639.59	866.07	775.05	941.27	426.57	825.0	848.22	1233.75	1583.71	884.29	1709.26	595.34	1044.52	759.08	591.22	995.0
ZNF366	0.31	5.54	1.3	3.14	0.66	1.89	6.67	5.28	1.38	0.82	4.74	2.39	2.14	2.56	3.72	9.78	1.69	7.11	26.67	20.56	65.26	0.0	0.09	102.25	19.25	12.64	43.94	10.55	173.85	85.82	197.09	54.33	65.26	63.0	153.34	39.5	167.9	30.56	78.89	21.01	204.07	115.16	43.32	116.78	5.5	66.18	16.51	64.34	85.22	28.86	40.93	28.45	13.12	49.56	46.84	14.03
ZNF521	4.1	17.0	5.15	11.64	3.53	13.42	22.43	15.34	2.34	2.71	10.08	8.32	2.23	7.75	7.46	11.82	11.13	23.59	31.22	79.45	94.01	0.0	0.31	521.76	224.97	45.85	198.47	248.0	808.0	836.53	1135.2	68.55	117.6	329.84	638.15	75.64	866.07	48.52	128.79	96.01	316.37	167.9	665.29	229.72	24.81	291.04	201.25	420.68	140.04	208.38	104.42	80.01	42.41	104.42	149.12	75.11
ZSCAN30	23.25	59.13	61.25	50.98	66.65	130.6	137.14	86.43	73.03	81.71	59.97	71.0	125.24	107.38	93.35	125.24	41.52	72.52	104.42	223.41	193.01	0.0	0.59	373.81	120.1	96.68	277.2	178.77	293.07	323.03	320.8	155.5	248.0	376.41	305.55	90.77	169.07	29.48	194.36	77.25	295.11	189.02	212.78	395.18	63.89	463.65	105.15	262.2	332.14	117.6	218.79	127.89	177.53	68.55	127.0	80.01
