	TCGA.W5.AA2X.11A.11R.A41I.07	TCGA.W5.AA2Q.11A.11R.A41I.07	GTEX.14BMV.2426.SM.5S2PP	GTEX.XBEW.1926.SM.4SOJO	GTEX.117YW.2026.SM.5N9BH	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.BP.5009.01A.01R.1334.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.B0.5697.11A.01R.1541.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A11B.11A.11R.A131.07	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.11NUK.1226.SM.5P9GM	GTEX.SJXC.1226.SM.4DM78	GTEX.1269C.0626.SM.5FQSS	GTEX.XBEC.1526.SM.4AT68	GTEX.13QJC.0726.SM.5RQJK	GTEX.11DXY.0526.SM.5EGGQ	GTEX.RN64.1826.SM.48FDV	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	GTEX.111VG.0526.SM.5N9BW
SLC35A5	353.59	366.09	941.27	299.25	429.54	693.58	353.59	532.74	587.13	532.74	961.07	1001.93	1167.14	607.87	503.95	616.37	743.43	836.53	780.44	860.08	830.75	713.11	878.17	802.41	796.86	713.11	1127.35	1051.79	638.15	412.0	638.15	651.58	289.02	232.94	389.72	175.07	343.89	258.57	204.07	199.85	414.87	305.55	242.88	265.87	226.54	297.17	197.09	299.25	264.03	242.88	111.99	307.69	384.34	480.04	460.44	854.13
SMEK2	693.58	571.05	796.86	503.95	423.61	713.11	463.65	264.03	363.56	279.14	1167.14	1111.82	1397.83	947.83	1175.27	679.29	1143.1	915.51	934.76	1088.92	830.75	872.1	1081.39	1088.92	1127.35	1044.52	1175.27	1073.91	693.58	500.46	438.59	713.11	438.59	171.45	559.28	381.68	571.05	825.0	406.31	490.14	595.34	607.87	595.34	665.29	656.11	656.11	536.45	633.73	466.88	567.1	271.48	708.18	872.1	759.08	651.58	860.08
SNAP23	808.0	764.36	1605.83	1437.15	890.44	647.07	718.08	1340.84	1286.18	1037.29	1225.22	1030.12	981.29	1286.18	1378.57	1313.23	1191.69	1151.06	1572.76	1437.15	1268.46	1225.22	1359.57	1427.22	1572.76	1088.92	1857.6	1519.15	1183.45	1066.48	934.76	995.0	518.15	417.77	759.08	460.44	599.49	848.22	525.39	470.14	769.69	836.53	684.02	567.1	591.22	791.35	511.0	728.11	733.19	599.49	348.71	748.61	780.44	1331.57	1286.18	1183.45
SNX16	54.33	55.49	249.73	78.89	181.28	241.19	109.66	113.56	164.42	79.45	155.5	314.17	265.87	107.38	142.01	159.9	201.25	164.42	176.29	134.3	130.6	133.36	189.02	189.02	198.47	133.36	209.84	224.97	101.54	143.01	64.34	102.25	57.49	17.51	72.01	14.67	65.72	92.05	43.02	41.52	65.72	66.65	73.03	57.49	37.05	126.12	72.01	85.82	29.06	11.64	42.11	92.7	48.87	237.86	136.19	177.53
SOCS4	82.29	55.1	125.24	110.43	157.68	93.35	155.5	158.79	176.29	164.42	187.71	320.8	171.45	106.63	429.54	122.64	198.47	241.19	221.86	265.87	186.4	193.01	218.79	229.72	265.87	218.79	260.38	211.31	129.69	100.83	93.35	132.44	39.79	13.83	38.4	33.78	49.56	43.32	38.95	29.27	85.82	38.4	50.27	29.27	28.04	97.36	54.33	59.97	35.5	72.01	76.17	33.3	60.82	117.6	120.1	181.28
SPOPL	144.01	102.97	277.2	138.1	218.79	251.48	185.11	265.87	166.73	152.28	269.6	339.14	320.8	221.86	277.2	191.67	325.29	273.37	318.57	277.2	195.72	244.57	305.55	287.01	218.79	264.03	361.04	327.56	131.51	103.69	143.01	199.85	78.34	50.63	102.97	51.71	147.06	114.36	92.05	82.87	151.22	89.51	164.42	111.21	57.89	242.88	78.34	137.14	75.11	37.59	52.45	108.9	173.85	253.23	149.12	275.28
STAM	135.24	87.03	376.41	206.94	226.54	327.56	242.88	176.29	301.33	208.38	381.68	454.09	387.02	279.14	209.84	223.41	412.0	392.44	336.79	356.05	356.05	297.17	429.54	409.15	373.81	339.14	447.82	470.14	279.14	239.52	249.73	339.14	83.45	97.36	118.43	65.26	99.43	125.24	98.73	57.49	85.82	59.13	96.68	80.01	94.01	204.07	59.97	100.13	95.34	36.27	73.03	85.82	98.73	303.44	279.14	633.73
STARD3NL	234.57	269.6	1008.9	339.14	698.41	674.59	348.71	785.88	713.11	688.78	1059.11	1225.22	884.29	733.19	848.22	1662.49	775.05	872.1	842.36	854.13	954.43	753.83	830.75	928.3	1286.18	718.08	1378.57	1159.07	775.05	954.43	1250.98	665.29	131.51	136.19	265.87	68.55	159.9	242.88	92.05	102.97	251.48	191.67	131.51	100.13	111.99	318.57	152.28	123.5	142.01	112.77	95.34	90.77	226.54	743.43	293.07	785.88
SYNCRIP	684.02	575.03	902.89	688.78	543.96	1015.93	314.17	536.45	518.15	438.59	802.41	1378.57	848.22	633.73	995.0	921.88	1322.37	1369.04	1051.79	1304.15	1111.82	1119.56	1340.84	1350.18	884.29	1304.15	1135.2	1477.58	872.1	713.11	896.64	860.08	511.0	438.59	490.14	320.8	460.44	423.61	423.61	444.72	514.56	414.87	414.87	429.54	381.68	753.83	423.61	511.0	493.56	426.57	718.08	514.56	500.46	748.61	665.29	1001.93
TAF1B	77.79	62.56	156.59	66.65	88.88	153.34	115.16	76.71	100.83	79.45	429.54	208.38	244.57	305.55	224.97	190.34	299.25	271.48	231.32	165.57	260.38	224.97	249.73	329.84	303.44	224.97	316.37	348.71	183.82	195.72	116.78	154.42	46.84	22.43	57.08	30.34	42.41	62.56	32.82	40.93	36.27	43.32	64.8	39.79	36.01	99.43	64.8	46.18	40.07	50.27	105.15	31.22	54.33	115.97	130.6	187.71
TAF9B	171.45	181.28	341.51	147.06	320.8	126.12	85.82	173.85	285.03	214.27	785.88	698.41	713.11	525.39	320.8	579.04	473.41	567.1	543.96	612.11	438.59	426.57	540.19	525.39	674.59	444.72	703.28	583.07	444.72	234.57	162.14	438.59	175.07	81.14	155.5	63.45	106.63	158.79	113.56	76.71	120.1	151.22	105.89	151.22	77.79	293.07	84.63	64.8	158.79	136.19	79.45	127.89	186.4	417.77	214.27	334.46
TBC1D15	529.06	460.44	769.69	397.93	612.11	698.41	358.54	555.41	866.07	543.96	769.69	748.61	713.11	497.0	813.63	647.07	753.83	642.59	674.59	780.44	688.78	638.15	842.36	796.86	813.63	603.67	909.17	934.76	454.09	381.68	536.45	480.04	363.56	180.02	414.87	231.32	480.04	647.07	318.57	318.57	490.14	490.14	447.82	412.0	392.44	603.67	447.82	373.81	277.2	323.03	688.78	447.82	329.84	555.41	511.0	780.44
THAP1	186.4	125.24	218.79	112.77	125.24	126.12	142.01	80.57	127.89	60.82	242.88	183.82	229.72	202.66	220.32	166.73	186.4	164.42	147.06	204.07	242.88	223.41	201.25	208.38	193.01	177.53	223.41	239.52	177.53	129.69	85.82	183.82	114.36	30.12	135.24	144.01	177.53	59.13	105.89	133.36	206.94	107.38	121.79	101.54	67.12	185.11	132.44	183.82	123.5	82.29	119.26	126.12	212.78	234.57	248.0	161.02
THUMPD1	341.51	269.6	551.56	483.38	387.02	346.29	493.56	441.64	497.0	587.13	624.99	638.15	748.61	503.95	587.13	518.15	878.17	665.29	693.58	753.83	665.29	748.61	753.83	753.83	612.11	665.29	723.08	802.41	616.37	299.25	483.38	665.29	209.84	101.54	211.31	181.28	325.29	381.68	262.2	226.54	301.33	417.77	273.37	343.89	187.71	346.29	255.0	206.94	244.57	327.56	120.1	231.32	264.03	490.14	420.68	466.88
TMA16	249.73	277.2	400.71	246.28	193.01	169.07	159.9	271.48	229.72	220.32	293.07	283.05	395.18	279.14	285.03	314.17	271.48	336.79	283.05	283.05	223.41	267.73	285.03	371.22	336.79	265.87	343.89	320.8	241.19	281.09	348.71	241.19	228.13	140.04	229.72	113.56	134.3	156.59	108.14	175.07	161.02	143.01	106.63	103.69	153.34	265.87	100.13	131.51	157.68	197.09	218.79	120.94	237.86	249.73	183.82	341.51
TMEM167A	791.35	728.11	1008.9	642.59	629.35	819.3	1023.0	981.29	1369.04	1127.35	961.07	902.89	1378.57	1127.35	825.0	1175.27	1037.29	1242.34	1127.35	1277.29	1457.23	967.76	1277.29	1159.07	1487.87	947.83	1467.37	1447.15	1066.48	733.19	967.76	825.0	848.22	674.59	679.29	486.75	674.59	603.67	571.05	403.5	825.0	529.06	575.03	387.02	529.06	1096.5	493.56	1037.29	620.67	423.61	490.14	529.06	808.0	884.29	579.04	642.59
TMEM167B	346.29	371.22	514.56	409.15	454.09	764.36	438.59	387.02	417.77	332.14	651.58	974.5	954.43	587.13	684.02	684.02	753.83	728.11	723.08	830.75	743.43	728.11	928.3	884.29	660.68	575.03	819.3	854.13	638.15	432.53	438.59	674.59	212.78	195.72	307.69	316.37	327.56	212.78	275.28	212.78	379.04	271.48	251.48	218.79	171.45	318.57	175.07	318.57	214.27	205.5	218.79	260.38	223.41	540.19	511.0	525.39
TNFSF15	4.35	2.92	58.71	16.75	9.34	68.07	194.36	119.26	88.26	52.45	20.56	52.08	90.14	31.45	118.43	38.12	61.25	35.0	82.29	43.63	58.71	53.19	77.79	57.08	48.87	95.34	94.01	84.63	62.12	65.72	50.27	29.48	3.26	0.52	4.24	3.17	1.73	4.46	3.59	4.7	10.71	10.71	8.38	3.69	8.51	3.47	3.53	1.48	0.92	0.13	2.41	31.0	7.46	65.72	15.8	49.56
TNPO1	237.86	163.28	511.0	226.54	343.89	642.59	269.6	323.03	423.61	358.54	507.46	836.53	769.69	348.71	297.17	332.14	1066.48	791.35	674.59	909.17	848.22	693.58	1051.79	909.17	733.19	842.36	1059.11	909.17	432.53	271.48	275.28	638.15	144.01	116.78	239.52	130.6	199.85	157.68	146.03	110.43	204.07	135.24	163.28	112.77	133.36	241.19	133.36	155.5	169.07	132.44	248.0	162.14	176.29	493.56	441.64	435.55
TRAF6	100.13	73.54	226.54	106.63	181.28	177.53	117.6	69.03	127.89	134.3	86.43	214.27	154.42	85.82	277.2	137.14	253.23	146.03	155.5	175.07	193.01	165.57	212.78	169.07	134.3	183.82	152.28	199.85	153.34	71.5	105.15	146.03	67.59	60.82	73.54	46.84	110.43	171.45	87.65	79.45	105.15	120.1	111.99	116.78	77.79	128.79	156.59	105.15	64.34	76.17	52.45	76.71	66.65	166.73	122.64	249.73
UBE2J1	397.93	336.79	872.1	638.15	320.8	412.0	197.09	176.29	348.71	202.66	525.39	928.3	713.11	420.68	1015.93	1044.52	507.46	612.11	656.11	647.07	647.07	559.28	624.99	624.99	607.87	579.04	890.44	748.61	620.67	521.76	511.0	476.71	305.55	151.22	291.04	205.5	223.41	267.73	318.57	262.2	414.87	220.32	190.34	163.28	175.07	511.0	264.03	339.14	223.41	193.01	356.05	226.54	332.14	693.58	954.43	616.37
UEVLD	104.42	83.45	260.38	267.73	185.11	435.55	190.34	119.26	275.28	246.28	314.17	423.61	406.31	249.73	327.56	194.36	397.93	307.69	289.02	314.17	351.14	305.55	392.44	397.93	320.8	305.55	406.31	361.04	234.57	145.02	170.25	267.73	92.7	52.45	140.04	64.34	79.45	100.83	72.52	63.45	108.9	86.43	100.13	55.49	55.1	135.24	50.63	101.54	57.89	96.68	67.59	88.88	108.14	195.72	197.09	231.32
UFL1	341.51	293.07	320.8	275.28	224.97	423.61	125.24	223.41	289.02	175.07	379.04	470.14	470.14	264.03	262.2	409.15	466.88	441.64	384.34	432.53	423.61	381.68	547.75	486.75	412.0	457.25	543.96	521.76	316.37	271.48	198.47	314.17	316.37	68.07	289.02	212.78	255.0	262.2	384.34	262.2	384.34	327.56	325.29	234.57	277.2	579.04	164.42	301.33	208.38	307.69	181.28	379.04	460.44	303.44	353.59	493.56
USP27X	35.0	12.09	43.32	28.65	41.81	42.11	42.11	27.05	44.89	24.11	33.3	85.82	92.7	57.89	44.25	65.72	136.19	84.04	87.03	92.7	78.89	93.35	83.45	101.54	74.58	95.34	79.45	87.65	116.78	69.03	40.36	84.63	37.85	12.45	15.45	17.0	28.45	9.48	28.04	6.46	21.32	7.46	14.24	12.93	12.45	9.56	13.22	15.68	18.56	9.48	9.93	15.91	11.47	47.17	46.18	50.63
UTP18	327.56	339.14	733.19	603.67	356.05	392.44	137.14	346.29	371.22	291.04	470.14	543.96	507.46	457.25	529.06	470.14	591.22	651.58	521.76	563.18	587.13	547.75	463.65	563.18	656.11	500.46	633.73	718.08	486.75	813.63	642.59	503.95	295.11	273.37	325.29	262.2	269.6	397.93	242.88	237.86	336.79	373.81	463.65	190.34	251.48	283.05	217.27	275.28	248.0	119.26	759.08	327.56	307.69	297.17	376.41	503.95
VCPIP1	88.26	66.18	92.7	76.17	54.72	94.67	91.41	108.14	108.14	46.18	87.65	102.97	90.14	69.03	141.02	133.36	159.9	112.77	115.97	140.04	117.6	116.78	141.02	128.79	108.14	133.36	143.01	144.01	102.97	119.26	82.29	81.71	75.11	30.56	74.58	56.28	93.35	77.25	87.65	47.5	103.69	68.07	103.69	80.57	63.89	138.1	53.95	86.43	59.97	67.59	115.16	92.7	87.03	80.01	71.0	91.41
VPS26A	473.41	400.71	1175.27	571.05	583.07	909.17	414.87	316.37	470.14	363.56	896.64	1242.34	909.17	802.41	1111.82	684.02	1008.9	981.29	928.3	1030.12	1008.9	884.29	954.43	1008.9	974.5	915.51	1159.07	1216.75	825.0	599.49	540.19	651.58	307.69	220.32	387.02	231.32	397.93	486.75	220.32	205.5	466.88	277.2	376.41	297.17	316.37	529.06	341.51	444.72	318.57	223.41	503.95	387.02	395.18	866.07	684.02	642.59
VPS35	346.29	314.17	967.76	684.02	607.87	1096.5	860.08	872.1	1151.06	842.36	915.51	1331.57	995.0	872.1	638.15	708.18	1167.14	1216.75	1001.93	1277.29	1199.98	1044.52	1167.14	1242.34	941.27	1191.69	1477.58	1340.84	1066.48	1286.18	1143.1	872.1	258.57	277.2	316.37	158.79	258.57	241.19	122.64	197.09	285.03	248.0	236.21	237.86	260.38	336.79	187.71	186.4	220.32	183.82	163.28	291.04	256.78	1015.93	723.08	679.29
XRN2	473.41	476.71	551.56	571.05	507.46	1350.18	555.41	1096.5	1167.14	1008.9	559.28	890.44	684.02	587.13	915.51	941.27	896.64	915.51	743.43	961.07	941.27	775.05	941.27	961.07	836.53	896.64	1167.14	1104.13	718.08	497.0	490.14	651.58	289.02	297.17	423.61	309.83	334.46	221.86	256.78	295.11	343.89	341.51	334.46	307.69	435.55	432.53	329.84	343.89	299.25	346.29	785.88	403.5	329.84	514.56	591.22	579.04
YES1	493.56	447.82	447.82	244.57	262.2	497.0	363.56	212.78	400.71	277.2	642.59	1151.06	698.41	403.5	1199.98	480.04	764.36	612.11	599.49	733.19	624.99	587.13	728.11	723.08	599.49	642.59	802.41	780.44	400.71	532.74	470.14	466.88	262.2	193.01	571.05	329.84	353.59	435.55	299.25	307.69	264.03	253.23	409.15	332.14	323.03	497.0	202.66	343.89	463.65	220.32	470.14	490.14	647.07	323.03	373.81	289.02
YTHDF3	529.06	363.56	633.73	476.71	497.0	647.07	547.75	684.02	638.15	242.88	575.03	1104.13	547.75	447.82	848.22	454.09	769.69	748.61	679.29	738.29	612.11	728.11	791.35	698.41	764.36	688.78	988.12	785.88	457.25	341.51	258.57	551.56	341.51	275.28	423.61	384.34	497.0	389.72	540.19	392.44	748.61	392.44	466.88	285.03	336.79	860.08	295.11	708.18	395.18	327.56	435.55	409.15	775.05	669.92	470.14	493.56
YWHAQ	1721.16	1605.83	4903.87	3146.52	2701.35	3982.99	2133.97	1277.29	1883.54	1331.57	3280.18	4639.29	5555.65	4181.07	2351.53	4239.45	3982.99	5403.7	4450.27	5112.16	5183.54	4512.4	4268.94	4512.4	4869.99	4123.49	5751.61	5441.3	4328.55	3443.31	3639.7	4607.24	1268.46	1322.37	1651.0	934.76	1008.9	1159.07	738.29	915.51	1331.57	921.88	1143.1	941.27	1073.91	1883.54	860.08	1457.23	1059.11	967.76	1407.55	1191.69	1388.16	4358.66	4388.98	2682.69
ZBTB38	253.23	144.01	409.15	381.68	444.72	616.37	295.11	825.0	563.18	723.08	603.67	842.36	928.3	312.0	376.41	651.58	1073.91	780.44	769.69	954.43	713.11	775.05	1037.29	941.27	748.61	909.17	954.43	947.83	423.61	253.23	358.54	612.11	157.68	92.7	297.17	49.91	293.07	291.04	78.89	126.12	265.87	165.57	273.37	73.54	128.79	713.11	153.34	178.77	98.04	66.65	153.34	159.9	197.09	599.49	483.38	466.88
ZBTB41	62.12	52.45	113.56	48.52	87.65	127.0	62.12	62.12	59.97	42.11	114.36	183.82	180.02	95.34	98.73	102.97	153.34	133.36	150.17	144.01	126.12	120.1	176.29	152.28	127.89	144.01	211.31	181.28	74.06	65.26	67.59	109.66	40.36	9.56	36.79	20.56	64.8	43.32	42.11	24.11	100.13	67.12	79.45	56.68	38.12	99.43	34.26	84.04	36.79	46.5	16.27	56.28	67.12	96.01	57.49	127.89
ZDHHC20	67.12	85.22	343.89	199.85	130.6	186.4	74.06	63.0	115.16	74.06	185.11	231.32	417.77	121.79	100.13	237.86	283.05	260.38	232.94	248.0	187.71	182.55	295.11	299.25	237.86	236.21	400.71	356.05	105.89	98.73	39.22	194.36	36.79	30.56	127.0	33.06	108.14	93.35	48.18	22.75	46.18	49.21	80.01	45.85	24.99	53.95	198.47	19.97	33.06	40.07	5.19	56.28	42.41	307.69	281.09	72.52
ZMYND11	493.56	409.15	954.43	579.04	802.41	921.88	802.41	660.68	651.58	529.06	1259.69	1477.58	2209.26	1023.0	1088.92	796.86	1487.87	1199.98	1277.29	1359.57	1340.84	1407.55	1457.23	1519.15	941.27	1313.23	1119.56	1277.29	1023.0	571.05	540.19	1216.75	368.65	220.32	470.14	251.48	450.94	387.02	291.04	403.5	579.04	395.18	476.71	271.48	432.53	595.34	239.52	211.31	332.14	303.44	189.02	497.0	583.07	974.5	693.58	934.76
ZNF24	373.81	327.56	395.18	273.37	361.04	312.0	346.29	336.79	470.14	351.14	420.68	651.58	525.39	318.57	1059.11	400.71	612.11	555.41	540.19	579.04	555.41	536.45	633.73	633.73	441.64	521.76	587.13	595.34	435.55	237.86	215.77	435.55	320.8	148.09	271.48	289.02	406.31	327.56	363.56	218.79	414.87	435.55	327.56	361.04	309.83	392.44	366.09	379.04	194.36	423.61	264.03	379.04	339.14	441.64	457.25	486.75
ZNF35	46.84	47.5	87.03	60.39	62.56	32.82	102.97	84.63	95.34	94.01	53.19	111.21	98.04	63.45	194.36	72.52	73.54	99.43	69.52	88.88	92.05	94.67	77.25	116.78	102.25	86.43	72.52	108.9	93.35	42.11	56.68	87.65	22.59	16.39	20.71	16.75	21.32	38.95	36.79	53.57	27.05	47.17	40.36	13.42	21.47	54.72	22.1	55.1	24.46	29.48	25.91	18.84	42.71	83.45	88.88	60.82
ZW10	148.09	130.6	198.47	170.25	96.01	189.02	143.01	88.88	202.66	185.11	131.51	190.34	249.73	166.73	172.65	129.69	244.57	251.48	186.4	221.86	214.27	186.4	223.41	226.54	176.29	218.79	234.57	237.86	169.07	106.63	130.6	172.65	108.9	114.36	154.42	114.36	121.79	115.16	115.16	130.6	138.1	119.26	107.38	94.01	95.34	132.44	106.63	103.69	111.99	103.69	120.94	133.36	126.12	121.79	217.27	140.04
