	TCGA.AN.A0AT.01A.11R.A034.07	TCGA.A2.A0D0.01A.11R.A00Z.07	TCGA.A1.A0SP.01A.11R.A084.07	GTEX.Y5V5.2126.SM.4WWFO	GTEX.132AR.0826.SM.5EGK6	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.3X.AAVE.01A.11R.A41I.07	TCGA.W5.AA2U.01A.11R.A41I.07	TCGA.D5.5541.01A.01R.1653.07	TCGA.5M.AAT6.01A.11R.A41B.07	TCGA.CA.6718.01A.11R.1839.07	TCGA.2H.A9GN.01A.11R.A37I.31	TCGA.KL.8330.01A.11R.2315.07	GTEX.QDVN.1626.SM.48TZC	GTEX.1497J.0826.SM.5NQAJ	TCGA.B8.A54E.01A.11R.A266.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.B9.7268.01A.11R.A32Z.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.AL.3466.01A.02R.1351.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.J7.8537.01A.11R.2404.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.G7.6797.01A.11R.1965.07	TCGA.DZ.6134.01A.11R.1965.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.A4.8517.01A.11R.2404.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.5888.11A.01R.1592.07	TCGA.55.8616.01A.11R.2403.07	TCGA.49.AAQV.01A.11R.A39D.07	TCGA.95.7944.01A.11R.2187.07	TCGA.97.8176.01A.11R.2403.07	TCGA.MP.A4T8.01A.11R.A24X.07	TCGA.63.5128.01A.01R.1443.07	TCGA.63.7023.01A.11R.1949.07	TCGA.DC.6682.01A.11R.1830.07	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	TCGA.CD.5799.01A.11R.1602.13	TCGA.F1.6177.01A.11R.1802.13	TCGA.R5.A7ZF.01A.11R.A354.31	TCGA.BR.7715.01A.11R.2055.13	TCGA.F1.6875.01A.11R.2055.13	TCGA.KB.A6F7.01A.12R.A32D.31	TCGA.CG.5726.01A.11R.1602.13	TCGA.CD.5800.01A.11R.1602.13	TCGA.BR.6566.01A.11R.1802.13	TCGA.R5.A7ZR.01A.11R.A354.31	TCGA.D7.6528.01A.11R.1802.13	GTEX.1399T.0126.SM.5KM15	TCGA.FI.A3PX.01A.11R.A22K.07	TCGA.EY.A549.01A.11R.A27V.07	TCGA.EY.A2ON.01A.21R.A18M.07
HAT1	1721.16	1268.46	1457.23	1030.12	967.76	988.12	679.29	872.1	1191.69	1191.69	1427.22	1757.34	275.28	543.96	540.19	728.11	669.92	1001.93	733.19	450.94	551.56	490.14	563.18	616.37	483.38	457.25	457.25	293.07	595.34	503.95	723.08	486.75	551.56	647.07	836.53	1059.11	698.41	567.1	620.67	457.25	1008.9	463.65	518.15	624.99	1883.54	642.59	688.78	743.43	629.35	221.86	723.08	988.12	511.0	463.65	417.77	698.41	497.0	432.53	591.22	941.27	759.08	718.08	543.96	583.07	466.88	450.94	743.43	595.34	728.11	842.36	909.17	647.07	872.1	1583.71	1487.87	738.29	934.76	961.07	860.08	842.36	1111.82	1119.56	947.83	1059.11	915.51	872.1	872.1	813.63	1250.98	785.88	1111.82	660.68	748.61
HEATR1	536.45	587.13	366.09	309.83	384.34	318.57	260.38	194.36	297.17	301.33	293.07	753.83	91.41	106.63	127.0	146.03	172.65	100.83	137.14	111.21	94.67	94.67	79.45	90.77	58.3	150.17	92.7	58.71	165.57	126.12	126.12	77.25	90.77	420.68	43.94	88.88	145.02	148.09	80.57	85.22	152.28	112.77	193.01	146.03	144.01	124.37	71.0	86.43	81.71	43.32	129.69	320.8	96.01	72.01	67.59	139.07	202.66	162.14	159.9	99.43	186.4	115.97	138.1	121.79	85.22	91.41	96.68	253.23	273.37	400.71	323.03	303.44	351.14	483.38	450.94	143.01	157.68	96.68	187.71	239.52	575.03	346.29	358.54	540.19	258.57	291.04	152.28	279.14	336.79	94.01	189.02	171.45	231.32
HMMR	318.57	447.82	309.83	41.81	28.65	11.73	351.14	150.17	234.57	147.06	400.71	376.41	14.67	14.45	24.46	19.11	19.53	7.11	12.0	15.56	20.71	3.86	6.01	23.25	10.79	26.67	6.89	26.47	50.27	13.42	5.96	4.66	23.76	860.08	25.54	21.63	21.01	67.59	9.06	12.45	49.91	7.22	16.88	10.88	17.77	15.11	31.67	40.93	13.93	2.23	16.15	128.79	11.55	15.8	9.34	18.29	19.11	17.13	11.91	16.51	7.34	28.45	13.12	15.11	10.79	19.53	9.41	37.59	221.86	147.06	307.69	140.04	123.5	642.59	190.34	55.89	115.16	71.5	215.77	275.28	540.19	293.07	50.27	255.0	107.38	267.73	147.06	329.84	591.22	22.59	202.66	87.03	157.68
HYLS1	159.9	361.04	195.72	54.33	84.63	83.45	64.8	47.17	77.79	130.6	142.01	115.16	44.89	67.59	87.65	115.97	94.01	108.14	44.25	35.5	105.89	41.52	54.72	59.97	36.79	98.73	17.77	59.55	141.02	24.81	28.65	27.44	65.72	76.71	100.83	47.5	37.32	60.39	117.6	32.82	77.25	54.33	40.93	38.67	75.11	61.68	102.97	77.25	70.01	40.64	70.01	90.77	63.89	85.82	59.55	106.63	59.55	63.45	32.13	62.56	128.79	30.34	55.49	47.84	43.94	32.36	84.04	108.9	83.45	117.6	125.24	69.52	94.67	173.85	48.87	66.65	65.72	90.14	105.89	98.73	204.07	176.29	141.02	108.14	94.01	171.45	84.04	142.01	260.38	42.11	249.73	242.88	152.28
IL17D	599.49	351.14	195.72	149.12	74.06	204.07	158.79	90.77	435.55	381.68	271.48	336.79	85.82	19.82	69.52	44.57	49.91	18.56	31.45	44.89	29.27	8.78	23.93	11.73	24.46	0.0	18.56	13.62	127.89	11.3	17.9	24.28	50.27	124.37	46.18	24.11	32.59	24.28	6.94	19.82	51.35	70.01	72.52	14.03	152.28	13.83	72.52	28.45	31.0	16.88	19.53	24.11	31.45	80.57	19.68	47.84	108.9	14.56	11.55	8.32	58.3	19.68	43.63	9.85	127.0	16.51	87.65	37.59	102.97	99.43	129.69	316.37	175.07	406.31	651.58	417.77	429.54	7589.61	198.47	90.77	473.41	303.44	195.72	323.03	96.68	224.97	297.17	356.05	381.68	119.26	100.13	204.07	94.67
IMP4	2935.74	8718.32	3742.05	1242.34	1781.89	1923.14	2335.28	2119.22	2417.67	3303.0	3419.52	3212.66	915.51	1477.58	1417.35	1487.87	1551.09	1991.0	3325.99	1883.54	1963.57	1794.29	1561.89	1519.15	1991.0	1572.76	2119.22	1745.2	2502.97	1388.16	3515.68	1407.55	1447.15	1936.53	1277.29	1487.87	1331.57	2417.67	2148.82	1857.6	1819.35	2417.67	1427.22	1794.29	2816.11	2367.9	2178.83	1628.26	1950.0	2720.15	1745.2	2720.15	2400.97	2609.3	2468.49	1662.49	2645.74	1313.23	1685.71	2451.44	1037.29	1628.26	2855.44	1697.45	2485.67	1250.98	1477.58	2956.17	3168.41	2720.15	2520.38	1963.57	2240.11	2758.13	1529.73	2664.15	2573.36	1870.53	3168.41	2777.33	4010.71	2384.37	2591.27	2255.7	2976.74	2255.7	3540.14	3955.48	3303.0	890.44	3124.78	1733.13	2895.31
IPO5	1977.24	1697.45	1104.13	1977.24	1529.73	1286.18	995.0	928.3	2240.11	2758.13	1508.65	1991.0	500.46	748.61	638.15	454.09	1015.93	718.08	480.04	866.07	656.11	525.39	486.75	583.07	616.37	571.05	497.0	476.71	1151.06	656.11	733.19	358.54	624.99	1259.69	743.43	1088.92	860.08	656.11	358.54	403.5	884.29	559.28	1001.93	624.99	713.11	775.05	748.61	785.88	647.07	297.17	633.73	500.46	500.46	525.39	423.61	830.75	521.76	890.44	848.22	551.56	928.3	567.1	651.58	579.04	753.83	457.25	860.08	1674.06	486.75	1662.49	967.76	1259.69	1199.98	2319.15	2816.11	2090.03	1977.24	1111.82	1044.52	1427.22	2502.97	2451.44	1832.01	2032.85	1551.09	1745.2	1059.11	1044.52	1697.45	642.59	656.11	866.07	813.63
KIF11	384.34	514.56	246.28	64.8	42.11	15.56	144.01	112.77	153.34	190.34	579.04	748.61	10.47	19.39	18.16	19.11	33.3	19.53	17.38	9.27	20.71	9.27	10.16	13.03	12.27	19.97	14.45	37.32	78.89	16.39	16.15	9.85	24.28	127.0	28.04	27.64	11.73	44.89	35.25	12.27	54.72	8.45	13.03	11.82	26.28	17.38	34.75	36.79	21.63	2.18	11.91	84.04	15.34	16.03	17.25	13.72	24.63	27.64	19.82	14.67	14.14	21.16	18.7	14.14	12.83	12.83	18.56	87.03	143.01	159.9	264.03	205.5	242.88	674.59	432.53	65.72	105.89	102.25	158.79	248.0	258.57	466.88	249.73	341.51	256.78	236.21	223.41	197.09	231.32	29.91	532.74	120.1	191.67
KIF15	743.43	332.14	158.79	21.01	35.0	8.45	65.72	33.54	273.37	114.36	249.73	368.65	7.88	4.35	2.51	21.63	11.73	6.52	7.17	4.5	16.15	12.18	5.02	9.27	9.48	13.93	6.06	12.55	25.72	8.06	14.03	1.57	11.55	106.63	8.0	11.73	8.51	42.11	9.34	9.56	19.68	1.38	8.0	7.0	14.35	6.57	14.78	12.64	9.06	0.0	13.93	53.19	4.82	7.22	4.13	5.15	6.16	7.46	12.64	14.56	5.02	16.51	7.34	10.55	5.23	17.38	11.55	30.78	34.75	119.26	153.34	52.08	114.36	397.93	166.73	16.63	74.58	30.78	77.25	185.11	108.9	178.77	115.16	132.44	124.37	150.17	68.55	127.0	131.51	22.75	323.03	82.29	92.7
KIF18A	242.88	143.01	147.06	25.17	11.64	6.41	50.63	59.55	66.18	115.16	246.28	187.71	4.46	2.63	4.21	9.2	9.93	9.85	5.28	2.46	9.85	5.92	7.94	7.06	3.92	13.42	8.58	12.45	18.84	5.77	6.31	2.71	6.84	87.65	14.03	12.74	7.11	16.27	27.25	11.13	28.65	4.06	5.5	4.66	7.17	3.96	14.67	17.77	5.5	0.39	8.78	80.57	3.99	7.63	2.63	7.34	3.63	5.82	6.73	12.18	8.65	3.86	7.63	6.41	5.59	6.62	10.08	39.79	51.35	100.83	75.11	29.91	107.38	289.02	281.09	10.47	25.91	30.78	40.07	75.64	147.06	170.25	51.35	175.07	70.01	83.45	62.56	128.79	115.16	41.52	232.94	36.53	85.82
KIF4A	559.28	555.41	329.84	19.97	27.64	14.45	145.02	102.97	265.87	152.28	318.57	480.04	16.39	4.06	5.87	8.13	11.21	5.54	4.5	5.32	15.68	2.78	1.33	7.34	7.17	8.25	1.73	15.0	26.47	7.06	7.69	4.62	16.51	131.51	14.35	10.63	4.74	44.89	9.34	6.67	30.12	4.06	7.63	8.51	11.82	7.51	14.03	17.25	10.31	3.66	12.09	102.25	11.91	15.68	8.19	9.13	20.56	8.71	11.47	6.62	2.01	10.39	9.13	9.41	11.13	6.31	4.54	63.89	186.4	201.25	244.57	170.25	289.02	559.28	660.68	26.86	82.87	64.34	206.94	165.57	155.5	277.2	202.66	173.85	206.94	273.37	127.0	144.01	305.55	8.13	356.05	80.01	162.14
LRPPRC	4095.0	2537.92	1437.15	961.07	753.83	928.3	1066.48	1322.37	1963.57	1709.26	1397.83	2664.15	928.3	1286.18	1286.18	1457.23	1104.13	1119.56	1233.75	1081.39	884.29	665.29	915.51	753.83	954.43	1023.0	796.86	988.12	1447.15	808.0	1322.37	629.35	1127.35	2018.8	775.05	1369.04	780.44	1127.35	928.3	1037.29	1167.14	796.86	1340.84	1051.79	1250.98	1259.69	688.78	748.61	708.18	234.57	902.89	1073.91	1104.13	775.05	775.05	718.08	521.76	967.76	947.83	909.17	947.83	1119.56	1044.52	1008.9	1340.84	819.3	728.11	909.17	915.51	1467.37	1023.0	1378.57	1250.98	2004.85	2485.67	1304.15	915.51	1674.06	1143.1	1304.15	2609.3	1540.37	1225.22	1936.53	1745.2	1096.5	1572.76	1540.37	1208.34	591.22	3372.43	1143.1	1191.69
LRR1	493.56	358.54	275.28	205.5	176.29	283.05	151.22	114.36	353.59	473.41	457.25	287.01	97.36	107.38	78.89	251.48	163.28	126.12	120.94	106.63	82.29	80.57	104.42	73.03	73.54	48.18	55.1	108.14	144.01	75.11	84.63	93.35	67.59	151.22	81.71	108.14	42.41	127.0	56.68	97.36	134.3	159.9	58.3	92.05	103.69	59.13	103.69	74.58	68.07	108.14	109.66	224.97	150.17	145.02	51.35	111.21	153.34	153.34	97.36	96.68	173.85	83.45	124.37	120.94	96.01	65.72	72.01	162.14	258.57	231.32	234.57	237.86	143.01	395.18	490.14	185.11	106.63	159.9	273.37	281.09	624.99	194.36	137.14	301.33	237.86	256.78	305.55	500.46	525.39	81.71	251.48	176.29	199.85
LTV1	1023.0	2271.4	1208.34	490.14	928.3	769.69	463.65	236.21	974.5	660.68	1417.35	902.89	180.02	281.09	334.46	563.18	460.44	241.19	361.04	228.13	336.79	277.2	231.32	287.01	198.47	169.07	241.19	327.56	511.0	275.28	265.87	181.28	237.86	620.67	316.37	368.65	339.14	358.54	175.07	232.94	332.14	258.57	325.29	323.03	339.14	269.6	332.14	309.83	262.2	83.45	397.93	420.68	264.03	307.69	157.68	363.56	339.14	204.07	291.04	325.29	366.09	264.03	387.02	295.11	316.37	218.79	283.05	547.75	748.61	583.07	371.22	629.35	400.71	1081.39	878.17	866.07	567.1	543.96	466.88	547.75	872.1	995.0	503.95	435.55	444.72	616.37	392.44	379.04	612.11	397.93	1037.29	511.0	624.99
LYAR	665.29	1233.75	775.05	444.72	483.38	387.02	295.11	336.79	961.07	995.0	1059.11	1119.56	129.69	76.17	120.1	209.84	201.25	126.12	182.55	106.63	186.4	176.29	134.3	153.34	153.34	102.97	117.6	204.07	470.14	170.25	128.79	108.9	134.3	403.5	224.97	137.14	120.94	183.82	115.16	136.19	177.53	136.19	127.0	118.43	155.5	149.12	214.27	194.36	180.02	90.77	185.11	575.03	145.02	173.85	133.36	129.69	220.32	166.73	170.25	171.45	93.35	71.5	137.14	232.94	224.97	116.78	131.51	271.48	486.75	460.44	503.95	525.39	299.25	647.07	1896.65	507.46	679.29	713.11	981.29	441.64	1350.18	1397.83	503.95	403.5	376.41	775.05	688.78	624.99	563.18	194.36	647.07	511.0	329.84
MCM6	708.18	775.05	1806.78	376.41	221.86	476.71	438.59	441.64	796.86	775.05	1322.37	928.3	89.51	167.9	239.52	232.94	208.38	201.25	212.78	157.68	299.25	146.03	119.26	112.77	112.77	208.38	73.03	135.24	353.59	189.02	218.79	96.68	165.57	426.57	262.2	198.47	88.88	297.17	293.07	103.69	258.57	134.3	146.03	148.09	303.44	98.73	253.23	267.73	155.5	132.44	144.01	579.04	175.07	100.83	144.01	120.94	149.12	152.28	162.14	226.54	131.51	181.28	129.69	191.67	173.85	105.15	223.41	457.25	616.37	629.35	624.99	371.22	718.08	1111.82	836.53	381.68	400.71	473.41	470.14	603.67	878.17	633.73	660.68	514.56	638.15	620.67	575.03	493.56	679.29	121.79	988.12	371.22	414.87
METTL5	2627.46	2224.63	1721.16	1477.58	1437.15	1685.71	1208.34	1295.13	2682.69	1662.49	2104.58	1651.0	607.87	629.35	934.76	1639.59	1417.35	2271.4	1151.06	866.07	1059.11	708.18	651.58	872.1	802.41	1477.58	693.58	1216.75	1844.76	607.87	819.3	915.51	941.27	2104.58	1819.35	1313.23	854.13	866.07	1457.23	808.0	1857.6	836.53	638.15	836.53	3467.27	785.88	1745.2	1143.1	1250.98	536.45	1127.35	1331.57	1111.82	1151.06	743.43	866.07	974.5	836.53	713.11	1191.69	848.22	866.07	1977.24	738.29	1508.65	764.36	995.0	1242.34	1378.57	1674.06	967.76	819.3	1417.35	1519.15	2935.74	1437.15	1250.98	2061.24	1794.29	1167.14	3847.29	1977.24	1498.22	1111.82	1268.46	1605.83	3039.3	1437.15	2855.44	1037.29	1923.14	1427.22	1477.58
MKI67IP	2400.97	10585.95	1662.49	1059.11	902.89	1313.23	1216.75	1159.07	2739.08	2061.24	2119.22	2645.74	395.18	493.56	555.41	684.02	961.07	743.43	769.69	327.56	1001.93	379.04	543.96	651.58	579.04	995.0	603.67	665.29	974.5	460.44	733.19	400.71	412.0	3419.52	591.22	450.94	423.61	540.19	808.0	733.19	599.49	400.71	476.71	466.88	941.27	1111.82	1159.07	514.56	669.92	262.2	638.15	1745.2	647.07	612.11	409.15	718.08	769.69	429.54	417.77	947.83	403.5	305.55	1051.79	351.14	769.69	559.28	693.58	1709.26	1794.29	2148.82	1498.22	1551.09	1870.53	2796.65	3349.13	1350.18	1359.57	928.3	1745.2	1135.2	3564.78	2193.99	1883.54	1844.76	1467.37	1733.13	2178.83	2148.82	2997.45	642.59	2417.67	1199.98	1781.89
MRPS17	759.08	961.07	563.18	323.03	438.59	607.87	511.0	444.72	775.05	848.22	563.18	1175.27	395.18	403.5	417.77	559.28	376.41	305.55	376.41	244.57	500.46	307.69	353.59	551.56	463.65	316.37	307.69	273.37	273.37	318.57	316.37	239.52	309.83	638.15	503.95	269.6	325.29	460.44	414.87	532.74	246.28	307.69	336.79	343.89	334.46	412.0	400.71	271.48	325.29	277.2	371.22	567.1	536.45	237.86	277.2	339.14	753.83	277.2	170.25	379.04	366.09	316.37	412.0	309.83	551.56	305.55	406.31	473.41	1233.75	842.36	483.38	713.11	476.71	466.88	909.17	1151.06	381.68	733.19	620.67	529.06	1378.57	785.88	540.19	860.08	555.41	660.68	866.07	669.92	934.76	173.85	1051.79	718.08	603.67
MTHFD1L	1313.23	1508.65	1806.78	161.02	414.87	387.02	551.56	329.84	934.76	1936.53	1594.73	860.08	127.89	143.01	164.42	150.17	599.49	191.67	403.5	277.2	599.49	460.44	346.29	435.55	339.14	327.56	688.78	157.68	483.38	373.81	314.17	248.0	551.56	466.88	435.55	307.69	412.0	684.02	256.78	205.5	587.13	387.02	246.28	295.11	500.46	201.25	902.89	473.41	511.0	490.14	255.0	303.44	457.25	387.02	256.78	395.18	555.41	397.93	332.14	417.77	361.04	224.97	208.38	460.44	620.67	336.79	624.99	759.08	638.15	890.44	738.29	902.89	587.13	2224.63	1331.57	169.07	212.78	191.67	521.76	480.04	1857.6	866.07	651.58	759.08	480.04	500.46	403.5	361.04	848.22	376.41	1572.76	178.77	1721.16
MTIF2	1498.22	1066.48	802.41	674.59	688.78	466.88	665.29	1066.48	1037.29	713.11	878.17	708.18	438.59	521.76	642.59	780.44	616.37	536.45	633.73	429.54	432.53	395.18	466.88	493.56	392.44	688.78	373.81	285.03	567.1	441.64	669.92	251.48	688.78	954.43	457.25	713.11	525.39	591.22	521.76	379.04	540.19	381.68	575.03	563.18	551.56	759.08	497.0	497.0	447.82	177.53	518.15	713.11	540.19	371.22	429.54	435.55	343.89	480.04	466.88	432.53	392.44	529.06	409.15	521.76	351.14	397.93	480.04	483.38	555.41	688.78	392.44	500.46	603.67	1199.98	1242.34	540.19	429.54	665.29	503.95	441.64	974.5	1023.0	476.71	463.65	642.59	441.64	723.08	438.59	563.18	483.38	1030.12	480.04	559.28
MYBBP1A	921.88	1540.37	860.08	674.59	379.04	713.11	679.29	1088.92	878.17	2163.77	1561.89	1487.87	325.29	336.79	301.33	400.71	624.99	368.65	1008.9	713.11	934.76	748.61	503.95	791.35	571.05	599.49	616.37	295.11	1081.39	624.99	941.27	547.75	454.09	518.15	366.09	392.44	651.58	836.53	507.46	842.36	384.34	1175.27	934.76	708.18	961.07	780.44	638.15	607.87	559.28	791.35	629.35	884.29	825.0	525.39	688.78	536.45	392.44	412.0	743.43	575.03	379.04	397.93	884.29	688.78	808.0	497.0	571.05	1551.09	947.83	1135.2	1467.37	1295.13	1143.1	2061.24	866.07	921.88	733.19	860.08	902.89	1909.85	1073.91	1216.75	1151.06	1359.57	1233.75	1037.29	764.36	802.41	1037.29	571.05	679.29	1081.39	1605.83
MYC	3955.48	2163.77	3395.89	5076.84	1991.0	4066.71	1896.65	1883.54	14163.58	7433.4	1467.37	4095.0	305.55	1143.1	591.22	29.06	1286.18	785.88	2119.22	1175.27	96.01	1151.06	384.34	785.88	529.06	128.79	1119.56	1127.35	3589.58	191.67	2004.85	791.35	974.5	1757.34	536.45	785.88	1242.34	1127.35	579.04	1286.18	2645.74	1066.48	1857.6	1923.14	2319.15	2351.53	854.13	728.11	1001.93	1159.07	1709.26	3039.3	967.76	780.44	988.12	1143.1	808.0	237.86	1313.23	909.17	206.94	1662.49	1950.0	915.51	2240.11	1331.57	583.07	1216.75	223.41	967.76	848.22	3491.39	3039.3	5517.27	8078.22	2997.45	4388.98	2645.74	1135.2	3716.2	5831.91	3060.45	2434.5	2835.7	3901.01	1508.65	1977.24	1397.83	2537.92	397.93	559.28	642.59	2075.59
NAE1	2075.59	2133.97	1540.37	954.43	642.59	713.11	607.87	909.17	1447.15	1397.83	1322.37	1259.69	571.05	384.34	563.18	1331.57	1322.37	733.19	679.29	603.67	743.43	529.06	665.29	638.15	563.18	759.08	476.71	547.75	1044.52	651.58	476.71	753.83	651.58	2104.58	896.64	769.69	616.37	743.43	802.41	575.03	769.69	674.59	728.11	591.22	796.86	312.0	769.69	808.0	543.96	264.03	934.76	769.69	842.36	669.92	543.96	624.99	679.29	708.18	579.04	669.92	612.11	713.11	665.29	607.87	995.0	665.29	684.02	743.43	934.76	1066.48	825.0	1295.13	860.08	934.76	1104.13	579.04	397.93	629.35	775.05	954.43	1936.53	1104.13	802.41	796.86	836.53	733.19	967.76	738.29	1191.69	842.36	1397.83	1008.9	1001.93
NAT10	1806.78	1135.2	934.76	607.87	616.37	642.59	603.67	669.92	1225.22	1427.22	1088.92	1572.76	693.58	454.09	518.15	563.18	583.07	529.06	490.14	325.29	595.34	473.41	397.93	454.09	332.14	514.56	514.56	532.74	836.53	400.71	493.56	368.65	363.56	616.37	361.04	348.71	420.68	514.56	693.58	463.65	444.72	450.94	543.96	447.82	460.44	441.64	559.28	376.41	406.31	246.28	503.95	934.76	490.14	466.88	444.72	536.45	563.18	366.09	518.15	480.04	409.15	332.14	583.07	432.53	483.38	497.0	483.38	651.58	981.29	825.0	860.08	651.58	872.1	1819.35	1757.34	738.29	583.07	587.13	591.22	842.36	830.75	1030.12	603.67	988.12	974.5	842.36	647.07	842.36	825.0	435.55	1407.55	638.15	819.3
NCAPG	555.41	660.68	379.04	41.81	37.05	7.94	183.82	93.35	206.94	265.87	220.32	373.81	18.84	5.63	5.96	14.14	14.35	5.59	8.25	9.85	20.71	2.78	7.34	8.32	11.13	3.76	2.61	24.63	33.3	7.06	8.78	4.66	14.03	234.57	14.45	12.45	4.1	51.35	10.31	10.55	53.19	5.87	11.04	9.34	15.22	8.19	20.86	23.59	17.51	2.58	15.11	94.01	13.12	15.8	8.58	13.93	17.0	10.39	9.93	5.63	5.68	13.83	13.83	10.24	7.88	9.85	11.55	40.07	136.19	170.25	291.04	138.1	169.07	420.68	669.92	48.52	105.15	100.83	98.73	155.5	679.29	136.19	117.6	195.72	301.33	341.51	181.28	239.52	226.54	27.25	314.17	78.34	169.07
NCAPG2	503.95	1066.48	733.19	376.41	123.5	44.25	253.23	212.78	463.65	256.78	273.37	1015.93	76.71	62.56	73.03	60.39	63.45	56.68	87.03	47.84	86.43	108.9	72.52	106.63	81.14	76.17	57.49	76.71	90.14	104.42	120.1	46.5	92.05	206.94	116.78	107.38	92.05	177.53	83.45	72.01	120.1	45.53	96.01	132.44	96.01	87.65	74.58	86.43	75.64	35.5	51.35	164.42	98.04	59.55	87.65	47.17	58.71	112.77	122.64	87.65	56.68	119.26	62.56	108.14	64.8	108.14	65.26	156.59	376.41	206.94	473.41	353.59	414.87	620.67	291.04	669.92	117.6	128.79	289.02	476.71	759.08	547.75	392.44	476.71	463.65	336.79	253.23	363.56	684.02	98.73	320.8	181.28	171.45
NDC1	571.05	703.28	764.36	281.09	234.57	237.86	334.46	258.57	387.02	327.56	518.15	988.12	104.42	147.06	151.22	113.56	102.25	109.66	114.36	135.24	120.94	110.43	120.1	129.69	101.54	67.12	102.97	76.17	72.01	198.47	148.09	85.82	120.1	376.41	75.11	211.31	147.06	186.4	76.71	80.57	181.28	137.14	206.94	143.01	121.79	134.3	88.26	105.89	84.04	99.43	108.14	279.14	108.14	70.51	96.01	96.68	104.42	116.78	194.36	133.36	195.72	111.21	144.01	133.36	114.36	114.36	158.79	191.67	177.53	476.71	285.03	289.02	269.6	371.22	684.02	234.57	111.21	167.9	343.89	540.19	928.3	759.08	387.02	921.88	860.08	279.14	295.11	406.31	470.14	136.19	358.54	215.77	432.53
NOC3L	246.28	182.55	187.71	212.78	229.72	253.23	167.9	305.55	309.83	400.71	343.89	454.09	60.82	141.02	149.12	214.27	212.78	136.19	169.07	85.22	102.25	153.34	113.56	143.01	103.69	136.19	138.1	108.9	395.18	137.14	151.22	67.12	154.42	205.5	154.42	289.02	175.07	190.34	185.11	96.68	183.82	99.43	215.77	191.67	180.02	162.14	187.71	228.13	146.03	25.35	204.07	223.41	145.02	116.78	102.25	154.42	115.16	204.07	166.73	151.22	167.9	138.1	147.06	191.67	130.6	109.66	142.01	197.09	269.6	231.32	122.64	209.84	171.45	381.68	457.25	153.34	204.07	201.25	135.24	185.11	198.47	339.14	348.71	197.09	190.34	172.65	139.07	146.03	145.02	180.02	267.73	177.53	187.71
NOL9	166.73	205.5	186.4	131.51	141.02	124.37	85.82	130.6	139.07	258.57	128.79	264.03	71.5	87.03	166.73	90.14	75.64	96.68	81.71	37.32	92.05	121.79	105.15	111.21	88.26	176.29	70.01	42.11	46.84	70.51	85.22	48.87	70.51	183.82	50.63	93.35	87.03	108.9	81.71	103.69	58.71	80.57	117.6	102.25	94.67	98.73	54.33	60.39	66.18	76.17	78.34	84.63	74.06	55.49	60.82	130.6	92.05	72.52	70.01	125.24	115.97	51.35	57.89	72.01	35.25	104.42	115.16	170.25	139.07	115.16	108.9	150.17	92.7	120.1	201.25	134.3	88.88	109.66	329.84	224.97	490.14	285.03	264.03	473.41	301.33	136.19	118.43	126.12	353.59	98.04	141.02	137.14	204.07
