	GTEX.S32W.1126.SM.4AD5V	GTEX.U4B1.1226.SM.4DXT7	GTEX.TMMY.1526.SM.4DXST	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.XF.AAN7.01A.11R.A42T.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.CU.A0YR.11A.13R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AR.A24W.01A.11R.A169.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AC.A2FK.01A.12R.A180.07	TCGA.B6.A0RE.01A.11R.A056.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.A2.A0D0.01A.11R.A00Z.07	TCGA.AR.A1AP.01A.11R.A12P.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.BH.A18J.01A.11R.A12D.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0DO.01B.11R.A12D.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.EW.A1P8.01A.11R.A144.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A0H7.11A.13R.A089.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A0DO.11A.22R.A12D.07	TCGA.BH.A0C3.11A.23R.A12P.07	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.E2.A1L7.11A.33R.A144.07	TCGA.AC.A2FB.11A.13R.A17B.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.BH.A0C0.11A.21R.A089.07	TCGA.BH.A0AY.11A.23R.A089.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.BH.A0BQ.11A.33R.A115.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A0BM.11A.12R.A089.07	TCGA.BH.A1FR.11B.42R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A0AZ.11A.22R.A12P.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DH.11A.31R.A089.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.BH.A1FB.11A.33R.A13Q.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A0AU.11A.11R.A12P.07	TCGA.BH.A0DK.11A.13R.A089.07	TCGA.E2.A15M.11A.22R.A12D.07	TCGA.GI.A2C9.11A.22R.A21T.07	TCGA.BH.A0DV.11A.22R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	TCGA.E9.A1NA.11A.33R.A144.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.13N11.1726.SM.5J1OJ	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.ZVT4.1026.SM.57WC4	GTEX.1269C.2426.SM.5FQSN	GTEX.1399U.1826.SM.5PNZ1	GTEX.R3RS.0626.SM.48FE1	GTEX.XMD2.0926.SM.4WWEF	GTEX.YFC4.1426.SM.5IFJG	GTEX.131YS.0626.SM.5EGKL	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.1313W.0826.SM.5EQ4T	GTEX.Q2AG.0326.SM.48U1O	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.ZXES.0826.SM.5E43C	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13NZ8.0126.SM.5IJCT	GTEX.13D11.1026.SM.5IJFB	GTEX.13FTY.2226.SM.5J1ND	GTEX.13PL6.2926.SM.5L3I2	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.RU72.0626.SM.46MUI	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	TCGA.HM.A3JJ.11A.12R.A21T.07	GTEX.WFG7.1626.SM.4LVMF	TCGA.IG.A7DP.01A.31R.A336.31	GTEX.12WSJ.0826.SM.5PNWV	GTEX.132NY.2026.SM.5L3FM	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.ZYW4.1526.SM.5SIBA	GTEX.117YW.0526.SM.5H11C	TCGA.BR.A453.01A.11R.A24K.31	GTEX.ZE7O.3026.SM.51MS4	GTEX.13O61.1126.SM.5L3FI	GTEX.ZV6S.0926.SM.57WGB	GTEX.OIZH.1526.SM.3NB1J	GTEX.UPK5.2126.SM.4JBJK	TCGA.AX.A0IZ.11A.11R.A27V.07	TCGA.AX.A2HC.11A.11R.A32Y.07	TCGA.BG.A2AD.11A.11R.A16F.07	TCGA.BG.A3EW.11A.22R.A22K.07	TCGA.N5.A4RF.01A.11R.A28V.07	GTEX.13N11.1126.SM.5KM41	GTEX.S4UY.1226.SM.4AD51	GTEX.1117F.2426.SM.5EGGH	GTEX.PWOO.1526.SM.48TCK
FAM83B	2.97	15.0	6.41	8.13	3.5	1.19	0.0	0.45	0.45	19.11	0.44	0.0	0.0	8.06	0.0	30.78	15.91	6.94	6.84	212.78	55.49	36.53	10.88	55.1	30.78	23.42	26.67	33.78	31.22	57.89	55.89	0.65	96.01	9.27	38.95	97.36	127.89	48.18	20.56	19.68	32.13	59.97	0.0	16.03	12.0	53.57	20.26	36.01	3.08	941.27	54.33	52.82	60.39	28.86	33.06	9.48	45.21	38.67	35.25	35.0	13.03	49.91	10.24	0.32	30.12	74.58	0.38	35.76	58.3	29.91	88.88	63.0	22.75	25.54	0.0	108.9	22.1	63.45	30.12	59.55	9.41	66.65	109.66	46.5	78.34	98.73	90.77	104.42	96.68	87.03	52.45	53.95	80.01	124.37	81.14	62.56	23.76	82.29	120.94	42.41	72.01	86.43	54.33	62.12	67.59	43.63	61.25	37.59	62.12	40.93	19.82	43.94	64.8	98.04	158.79	64.34	30.34	86.43	64.8	17.64	15.22	236.21	26.1	94.67	63.89	189.02	57.49	41.81	66.18	51.71	43.32	94.67	51.35	44.25	52.82	41.22	47.84	88.88	72.01	35.5	68.55	34.26	12.74	97.36	132.44	39.22	44.25	85.82	27.44	150.17	0.3	0.0	4.7	0.0	1.36	0.0	0.32	3.47	0.54	0.48	16.63	0.0	0.0	0.0	0.0	8.65	0.0	0.0	1.0	1.01	3.53	0.0	0.0	0.0	15.8
FGF1	35.0	19.25	23.42	9.27	1.19	69.03	26.1	16.15	33.3	62.56	12.55	35.5	21.47	289.02	70.01	129.69	40.36	91.41	69.52	497.0	77.79	55.49	105.89	138.1	301.33	97.36	320.8	299.25	173.85	237.86	46.18	55.1	316.37	35.5	260.38	703.28	94.67	50.63	194.36	258.57	22.75	178.77	78.34	92.7	180.02	66.65	99.43	108.9	251.48	76.17	915.51	181.28	162.14	43.63	651.58	536.45	518.15	314.17	143.01	351.14	71.5	34.51	156.59	37.32	32.36	830.75	336.79	563.18	612.11	555.41	1159.07	967.76	460.44	642.59	253.23	1313.23	514.56	738.29	819.3	796.86	379.04	412.0	1051.79	718.08	1008.9	796.86	928.3	995.0	988.12	1551.09	529.06	836.53	836.53	1277.29	1378.57	743.43	1059.11	1175.27	1066.48	660.68	669.92	825.0	633.73	954.43	909.17	629.35	595.34	503.95	941.27	543.96	769.69	429.54	703.28	2163.77	1208.34	830.75	848.22	1857.6	713.11	1313.23	511.0	1001.93	255.0	1059.11	656.11	2739.08	1191.69	555.41	1001.93	155.5	429.54	693.58	967.76	1119.56	1127.35	753.83	381.68	2133.97	764.36	1369.04	890.44	414.87	356.05	1883.54	1896.65	460.44	703.28	1378.57	1030.12	1175.27	47.17	1.27	44.57	53.19	43.63	0.0	0.0	97.36	285.03	234.57	69.03	193.01	58.71	57.08	37.05	100.83	73.54	64.8	101.54	54.72	19.82	239.52	133.36	152.28	36.01
FKSG62	0.0	0.0	0.0	0.0	9.78	0.0	0.0	0.0	0.0	4.03	0.0	0.0	0.0	11.04	2.51	5.45	6.94	20.41	2.56	7.06	0.0	1.87	0.0	2.16	7.88	1.99	25.35	3.5	3.53	6.11	1.06	2.66	5.63	2.32	2.86	24.99	17.51	7.88	6.26	0.0	18.43	0.0	0.0	6.01	5.87	3.63	3.5	0.0	3.23	0.0	5.28	81.71	50.63	6.46	29.06	23.76	4.5	19.97	3.23	0.0	0.0	7.11	7.69	0.0	2.05	0.0	37.85	50.98	30.12	6.21	37.05	22.92	26.28	11.3	1.87	55.1	15.45	24.46	17.38	6.62	60.82	45.21	2.29	0.0	24.46	45.53	31.9	24.11	17.0	74.06	27.05	9.48	2.43	37.85	34.26	49.21	39.5	43.94	24.99	7.75	36.53	18.84	16.51	10.63	52.08	3.2	3.59	43.94	23.76	0.0	8.65	14.24	19.39	30.56	41.81	21.32	9.06	25.54	36.79	14.67	24.46	29.91	40.64	9.48	18.97	19.82	62.56	6.94	9.06	13.83	11.04	13.72	16.15	44.57	57.89	18.84	10.63	39.79	12.93	24.81	0.0	22.26	14.14	26.1	54.33	18.56	30.12	24.28	17.64	30.12	3.38	0.0	0.0	0.0	0.0	0.0	0.14	6.26	8.65	4.94	0.96	10.47	0.0	0.0	0.0	2.51	3.96	1.97	0.0	3.56	0.0	5.23	0.0	7.82	2.29
FSIP2	1.0	3.96	2.53	7.63	0.0	1.97	8.99	1.35	7.11	5.73	3.5	0.91	1.36	5.77	0.67	8.38	2.43	9.2	8.85	0.37	1.16	26.1	12.09	7.34	1.68	2.29	15.11	0.0	21.32	1.66	5.36	0.71	15.56	0.69	42.41	30.12	0.37	0.73	2.32	11.47	0.37	2.73	1.35	7.75	3.44	8.85	17.77	0.0	1.11	2.07	13.03	0.73	1.33	46.5	8.99	4.13	29.06	0.41	0.84	2.18	22.59	3.99	7.51	0.37	2.36	31.45	1.55	11.55	15.34	12.55	14.45	22.26	1.97	6.52	0.79	24.28	2.63	12.0	3.2	5.02	4.1	20.41	15.45	4.21	28.86	21.94	42.41	8.65	26.28	7.75	23.25	10.63	13.72	38.12	28.86	2.97	2.76	2.89	16.39	21.47	1.64	24.81	12.55	8.45	12.74	24.28	10.08	8.19	26.1	13.52	7.17	7.82	15.22	48.18	14.67	16.88	40.93	82.29	20.56	6.62	1.83	16.88	9.93	14.45	14.03	106.63	24.63	41.22	16.03	9.7	34.51	5.77	2.43	5.5	13.62	30.56	16.03	14.67	48.52	0.0	18.43	6.21	6.46	57.49	4.58	4.62	3.17	15.56	12.45	39.79	11.82	5.36	0.73	1.36	4.58	0.0	0.3	0.74	4.03	6.84	5.15	10.16	3.26	1.07	3.5	5.06	13.93	2.36	3.69	2.46	0.0	6.46	10.79	4.58	3.32
GALNT3	31.22	79.45	53.57	42.41	44.89	35.76	9.41	2.23	14.24	107.38	15.68	11.47	4.46	698.41	63.45	941.27	140.04	708.18	473.41	567.1	1044.52	995.0	217.27	234.57	201.25	775.05	848.22	890.44	104.42	339.14	733.19	189.02	2319.15	164.42	444.72	1208.34	896.64	713.11	297.17	599.49	525.39	358.54	16.51	1167.14	1023.0	759.08	629.35	387.02	102.25	2400.97	1857.6	2627.46	318.57	1331.57	1467.37	909.17	2193.99	444.72	1628.26	7695.57	285.03	500.46	1167.14	287.01	921.88	1135.2	24.46	808.0	738.29	591.22	974.5	902.89	679.29	543.96	38.67	1030.12	511.0	995.0	583.07	753.83	221.86	753.83	1369.04	748.61	1183.45	954.43	1044.52	1023.0	848.22	1104.13	1081.39	802.41	575.03	1313.23	1151.06	961.07	507.46	1286.18	1457.23	791.35	642.59	1313.23	1304.15	1088.92	1378.57	1477.58	669.92	775.05	1561.89	1096.5	738.29	346.29	1721.16	1794.29	2319.15	796.86	633.73	1794.29	1561.89	287.01	146.03	1350.18	536.45	2384.37	698.41	836.53	890.44	947.83	1991.0	1191.69	890.44	603.67	748.61	967.76	1066.48	1208.34	785.88	1437.15	825.0	1015.93	1697.45	532.74	265.87	1313.23	1639.59	1417.35	341.51	1417.35	995.0	1268.46	7.0	144.01	10.55	10.08	59.97	0.0	0.27	172.65	96.01	260.38	41.81	92.7	64.8	22.92	36.79	74.06	12.64	5.54	78.34	106.63	68.55	49.21	22.92	150.17	45.21
GLP1R	2.16	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.88	0.41	1.71	0.44	0.0	14.89	1.69	7.69	0.3	1.89	0.97	37.85	3.69	77.79	2.53	0.96	5.92	0.27	15.0	4.06	0.95	2.94	0.92	0.89	13.42	2.07	1.85	55.89	0.57	0.29	0.58	2.27	39.5	2.46	0.28	0.27	1.55	2.29	1.57	5.96	1.62	6.16	2.56	37.32	1.46	14.24	47.5	4.39	15.68	8.85	108.14	8.13	1.75	0.55	1.73	0.87	0.6	6.78	0.35	7.17	15.56	6.06	23.08	23.59	4.24	9.06	0.35	14.67	8.78	11.82	5.82	9.56	4.46	8.13	25.91	4.58	17.64	31.9	59.13	15.68	11.47	13.22	13.72	23.42	37.59	42.41	12.45	5.11	1.45	35.0	16.27	11.73	12.55	19.97	44.25	16.75	16.75	23.25	2.58	23.42	9.13	2.1	15.11	4.86	5.96	8.45	12.74	6.06	14.56	29.91	8.13	8.85	2.58	6.36	12.18	15.68	7.11	25.72	96.01	5.5	1.0	5.54	10.88	13.42	13.22	24.46	4.86	56.68	4.74	17.77	4.1	7.88	5.36	10.24	2.36	18.84	25.91	6.57	4.21	30.34	5.02	94.01	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	4.1	9.06	3.99	0.0	1.01	11.3	4.82	0.0	1.03	0.39	0.75	0.0	0.0	0.0	0.27	5.41	4.24
GPR39	1.43	15.22	9.2	2.81	4.98	8.58	16.51	4.43	3.56	33.06	6.11	2.23	0.0	140.04	15.22	258.57	92.05	229.72	32.59	39.22	45.53	249.73	234.57	21.16	111.21	111.21	164.42	185.11	134.3	89.51	172.65	71.0	63.45	39.79	291.04	108.14	57.49	77.25	144.01	108.14	36.53	397.93	8.58	249.73	176.29	123.5	89.51	94.01	97.36	172.65	110.43	74.06	14.67	29.7	84.04	121.79	121.79	13.62	47.5	109.66	189.02	14.67	156.59	231.32	121.79	78.89	6.94	152.28	87.65	70.01	61.25	72.01	57.49	76.17	5.15	114.36	71.5	125.24	48.87	79.45	42.41	83.45	120.94	60.39	108.14	62.56	84.63	112.77	39.5	77.79	85.82	51.71	51.71	135.24	71.0	68.55	78.34	198.47	76.17	83.45	44.25	159.9	95.34	156.59	76.71	167.9	65.26	34.51	111.21	38.95	113.56	52.08	111.99	169.07	104.42	56.28	209.84	438.59	150.17	51.35	27.84	82.29	84.04	43.02	46.5	177.53	223.41	218.79	40.36	28.04	71.5	38.4	59.55	114.36	226.54	218.79	7.88	206.94	129.69	62.56	137.14	35.76	43.02	258.57	113.56	137.14	38.67	91.41	49.91	87.65	1.77	31.0	14.89	17.9	12.83	0.0	0.21	11.91	31.22	12.64	26.67	7.4	12.0	11.13	25.17	15.22	4.58	1.81	17.25	13.42	4.62	20.11	47.17	0.0	38.67
GPR75	15.0	4.58	23.76	15.91	3.44	5.06	1.89	11.38	8.85	11.38	9.56	11.82	7.94	14.35	3.69	19.82	6.41	35.76	3.23	17.13	15.91	10.31	8.71	18.43	22.92	11.55	26.1	4.78	24.63	25.72	21.32	14.24	48.18	42.71	40.36	64.34	12.0	9.27	16.27	17.0	3.47	13.62	6.41	9.48	10.24	6.31	22.1	14.56	8.65	18.29	46.18	21.47	9.63	9.85	47.84	10.63	77.79	11.3	38.12	38.67	35.0	10.47	4.39	1.62	11.64	73.03	4.5	16.27	28.65	35.5	96.68	77.79	42.11	35.0	2.27	130.6	23.59	71.0	41.52	38.95	7.69	29.48	94.67	39.79	76.71	77.79	90.77	92.05	111.21	57.89	52.45	56.68	61.68	96.68	70.01	76.17	40.93	107.38	78.89	53.95	57.89	72.01	84.04	76.17	102.97	48.87	43.02	64.34	98.04	60.39	33.78	35.5	69.03	76.17	59.97	63.45	19.39	82.29	55.89	28.65	56.28	62.12	60.39	39.22	5.06	100.13	22.1	62.56	71.5	15.0	113.56	18.56	20.86	46.84	29.27	26.47	22.26	65.72	151.22	15.22	27.84	15.45	47.17	88.88	44.25	47.84	63.89	57.08	34.51	98.04	17.64	11.64	19.39	0.0	7.4	0.0	0.25	3.56	18.7	7.4	16.39	9.85	13.83	19.39	21.47	2.81	2.94	4.78	8.25	6.67	4.98	10.31	11.82	8.85	9.93
GPR98	4.1	6.94	3.38	3.17	3.86	1.58	18.29	0.0	0.0	31.22	0.0	0.46	0.0	61.68	48.18	17.13	40.93	3.79	17.77	1.31	147.06	22.59	78.89	110.43	143.01	91.41	141.02	92.7	6.21	8.71	126.12	2.97	242.88	126.12	9.85	149.12	15.45	0.72	130.6	5.96	6.89	42.41	14.89	48.87	660.68	9.85	143.01	17.25	63.0	0.73	163.28	12.27	2.27	1.06	92.05	55.49	271.48	6.84	5.87	256.78	8.45	20.26	2.56	143.01	303.44	70.01	1.53	197.09	132.44	59.97	204.07	221.86	43.63	86.43	0.41	224.97	38.12	122.64	64.34	130.6	36.79	48.87	198.47	90.14	187.71	305.55	127.89	164.42	126.12	102.25	96.01	83.45	87.03	295.11	220.32	120.94	84.04	163.28	248.0	138.1	85.82	144.01	111.21	106.63	301.33	106.63	87.65	81.14	96.01	64.34	88.26	74.58	285.03	616.37	299.25	110.43	166.73	414.87	95.34	26.86	22.92	22.59	29.7	134.3	39.22	287.01	217.27	221.86	52.82	21.47	301.33	130.6	97.36	312.0	137.14	229.72	53.19	197.09	285.03	81.14	59.97	156.59	27.64	480.04	98.73	117.6	57.49	251.48	37.85	137.14	0.75	1.45	3.56	0.0	8.85	0.0	0.16	64.8	5.28	7.4	1.04	0.93	0.18	0.0	0.0	0.91	1.73	0.77	0.79	1.17	10.24	0.72	0.26	19.53	4.7
GRAMD1C	28.04	23.08	14.89	22.26	14.45	17.9	35.5	28.86	7.11	38.95	17.38	11.38	8.38	273.37	27.84	167.9	104.42	115.97	101.54	13.42	52.82	94.67	62.56	109.66	194.36	131.51	191.67	100.83	145.02	80.01	109.66	368.65	208.38	148.09	154.42	373.81	10.24	22.26	197.09	50.98	35.5	58.71	241.19	111.99	39.79	36.79	133.36	106.63	75.64	17.0	356.05	60.82	37.59	42.41	223.41	181.28	297.17	26.67	101.54	173.85	152.28	11.38	94.01	80.01	128.79	361.04	18.84	135.24	163.28	224.97	389.72	361.04	264.03	224.97	42.11	567.1	127.0	285.03	185.11	242.88	44.25	193.01	412.0	218.79	314.17	353.59	229.72	346.29	463.65	358.54	318.57	248.0	176.29	518.15	669.92	275.28	172.65	435.55	441.64	260.38	163.28	417.77	426.57	417.77	435.55	239.52	246.28	291.04	366.09	332.14	183.82	141.02	447.82	447.82	389.72	239.52	220.32	412.0	381.68	167.9	114.36	366.09	195.72	301.33	173.85	265.87	249.73	303.44	287.01	265.87	336.79	217.27	97.36	256.78	301.33	318.57	98.04	376.41	314.17	221.86	269.6	171.45	139.07	514.56	373.81	175.07	177.53	532.74	303.44	329.84	20.26	23.42	56.28	7.69	22.59	0.0	0.21	143.01	74.06	81.71	18.97	30.56	17.25	13.42	6.26	32.82	31.45	18.16	41.52	42.41	12.27	57.89	87.03	138.1	38.4
GRHL1	46.5	100.13	60.82	47.17	34.51	27.05	10.71	9.34	45.85	53.95	22.75	73.54	26.67	612.11	231.32	684.02	500.46	444.72	447.82	633.73	327.56	503.95	353.59	253.23	1001.93	387.02	642.59	575.03	463.65	493.56	332.14	105.89	693.58	127.89	551.56	1073.91	2004.85	674.59	540.19	368.65	194.36	624.99	197.09	486.75	403.5	463.65	532.74	563.18	189.02	599.49	884.29	708.18	934.76	587.13	802.41	460.44	612.11	551.56	616.37	836.53	775.05	476.71	429.54	73.03	241.19	872.1	46.18	595.34	656.11	521.76	1143.1	1498.22	497.0	457.25	13.93	981.29	521.76	669.92	486.75	791.35	258.57	665.29	941.27	603.67	808.0	1427.22	872.1	878.17	896.64	830.75	688.78	785.88	466.88	842.36	1313.23	1023.0	303.44	708.18	1313.23	698.41	802.41	896.64	995.0	860.08	1572.76	633.73	503.95	748.61	769.69	651.58	444.72	551.56	802.41	1066.48	854.13	603.67	303.44	825.0	1208.34	348.71	215.77	808.0	500.46	981.29	503.95	764.36	780.44	748.61	1059.11	460.44	796.86	848.22	579.04	872.1	587.13	713.11	450.94	688.78	1135.2	521.76	866.07	420.68	334.46	1044.52	733.19	651.58	547.75	733.19	583.07	748.61	6.73	18.03	3.59	13.83	23.08	0.0	0.35	62.12	121.79	214.27	21.94	6.89	5.73	15.91	12.27	19.53	1.43	4.03	8.45	4.9	32.59	13.32	15.8	9.7	12.27
GRIA4	0.15	1.3	0.88	0.48	0.0	0.39	2.76	1.31	4.82	0.0	1.73	0.0	0.88	26.67	0.0	18.03	0.95	31.67	9.93	0.27	1.69	2.25	3.69	31.22	36.53	3.59	106.63	21.16	21.16	5.19	2.18	0.0	19.53	1.79	8.92	151.22	0.27	2.81	46.84	0.97	0.57	15.45	0.0	8.13	1.89	0.0	0.0	0.28	0.3	1.57	299.25	0.61	5.59	1.87	291.04	71.0	262.2	19.97	1.08	84.04	2.34	1.69	5.28	0.57	3.38	237.86	0.36	115.16	139.07	101.54	221.86	253.23	102.25	99.43	0.35	414.87	145.02	258.57	48.52	141.02	52.08	154.42	108.9	103.69	358.54	150.17	450.94	368.65	208.38	325.29	123.5	92.05	105.89	438.59	312.0	176.29	154.42	279.14	307.69	84.04	139.07	214.27	130.6	258.57	193.01	285.03	198.47	176.29	218.79	134.3	218.79	82.87	202.66	511.0	277.2	279.14	154.42	59.55	208.38	199.85	71.5	262.2	86.43	102.25	75.64	638.15	198.47	176.29	366.09	78.34	323.03	136.19	17.25	384.34	283.05	279.14	91.41	426.57	260.38	55.89	277.2	74.06	53.57	400.71	156.59	78.89	170.25	158.79	339.14	571.05	0.39	30.12	0.0	6.57	59.55	0.0	0.0	1.85	5.45	1.62	8.78	6.62	2.2	1.89	1.87	3.11	0.0	0.75	14.67	24.28	49.21	3.69	6.89	18.29	1.06
GRID2IP	0.09	1.89	1.53	0.0	0.36	0.4	0.0	0.0	0.0	1.23	0.88	0.0	0.45	8.0	53.95	3.66	13.22	5.82	18.43	7.51	1.45	10.55	6.06	2.1	7.69	9.85	8.71	1.35	2.76	2.39	15.68	9.7	14.35	5.77	5.15	13.62	7.51	6.36	8.99	3.14	1.57	8.99	7.4	4.03	4.35	3.53	3.72	7.75	2.78	3.0	9.63	7.34	5.68	4.31	17.64	7.11	8.06	1.43	5.06	9.93	8.19	1.2	6.89	0.93	8.58	11.73	1.08	5.92	12.45	5.68	10.63	14.89	4.46	5.68	0.36	16.15	5.77	7.4	6.16	4.9	1.81	7.22	12.18	10.47	9.2	8.25	15.34	10.39	7.94	6.52	6.84	3.79	3.89	10.63	9.63	10.08	7.17	10.39	6.62	9.7	5.77	11.64	10.39	9.41	10.96	5.19	4.62	8.13	6.26	5.11	5.96	5.15	11.21	10.63	8.65	6.84	8.71	10.16	10.31	4.94	2.68	13.12	9.93	6.26	4.7	11.13	10.39	7.88	10.79	4.39	9.63	4.82	3.03	7.69	11.82	9.27	3.89	10.96	13.93	8.25	4.28	3.79	6.26	12.09	10.63	7.75	5.5	8.78	9.63	7.82	0.75	0.0	3.72	0.0	1.0	0.0	0.02	4.9	2.56	0.35	2.1	0.0	0.84	0.0	2.16	2.51	0.0	2.18	0.78	1.16	0.96	5.11	2.63	3.08	0.14
