	TCGA.G4.6321.01A.11R.1723.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.6651.01A.21R.1839.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.ZY6K.1226.SM.5GZYL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.QDVJ.1326.SM.48U1X	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.YJ8A.1726.SM.5P9IQ	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.XBEW.1926.SM.4SOJO	GTEX.UPIC.1726.SM.4IHKG	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.ZY6K.1326.SM.5GZWP	GTEX.12BJ1.2126.SM.5BC5O	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.1122O.1526.SM.5N9CL	GTEX.W5WG.2426.SM.4LMI6	GTEX.Y8E4.2426.SM.4WWDN	GTEX.ZPIC.2226.SM.57WDX	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.WOFM.2026.SM.4OOSQ	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.14DAR.1526.SM.5RQIX	GTEX.ZTSS.1126.SM.5985O	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	GTEX.11DXX.1226.SM.5GICD	GTEX.144GM.1626.SM.5O9AG	GTEX.QLQ7.1026.SM.447BB
NOM1	91.41	244.57	301.33	129.69	159.9	166.73	132.44	87.65	103.69	143.01	133.36	133.36	185.11	201.25	173.85	163.28	128.79	80.57	209.84	167.9	136.19	206.94	194.36	208.38	99.43	226.54	52.45	162.14	197.09	201.25	217.27	90.77	182.55	141.02	208.38	136.19	114.36	226.54	162.14	106.63	189.02	111.99	144.01	155.5	152.28	134.3	154.42	193.01	163.28	101.54	151.22	248.0	148.09	132.44	94.01	123.5	171.45	205.5	95.34	141.02	175.07	96.01	189.02	159.9	187.71	186.4	117.6	193.01	149.12	176.29	150.17	65.26	144.01	224.97	177.53	162.14	190.34	128.79	136.19	246.28	239.52	145.02	189.02	197.09	149.12	89.51	312.0	267.73	223.41	307.69	237.86
NPTXR	6.62	363.56	329.84	14.45	17.9	50.63	30.78	7.17	6.31	10.88	30.78	29.06	53.57	53.19	100.13	43.63	27.64	3.76	9.13	17.25	23.59	22.1	40.36	45.21	27.84	67.12	4.86	10.55	49.21	99.43	145.02	9.41	136.19	12.64	125.24	59.13	6.06	143.01	8.85	37.32	5.59	15.22	14.67	80.57	6.11	9.41	143.01	40.36	25.54	20.26	59.55	109.66	7.51	10.16	8.51	3.14	17.0	34.75	6.73	19.82	83.45	7.17	10.08	21.01	54.33	87.65	15.8	74.58	7.0	14.14	52.45	7.34	4.78	94.67	102.25	7.34	48.87	7.22	25.91	96.68	123.5	53.19	62.12	107.38	10.88	4.06	256.78	395.18	329.84	223.41	251.48
NRIP3	6.57	58.3	94.67	7.46	12.09	8.51	8.71	4.5	2.61	2.23	9.06	17.64	6.41	9.85	10.08	16.63	5.96	3.29	10.55	5.77	7.34	9.13	14.24	23.93	7.57	22.43	1.68	5.73	12.36	10.0	17.77	3.72	36.27	8.19	22.92	6.41	3.63	32.36	7.0	5.63	7.11	5.96	4.7	10.55	7.17	5.77	23.08	10.39	13.12	7.0	7.63	18.03	4.82	2.94	2.41	1.97	3.59	15.56	3.79	5.87	17.64	4.21	12.55	11.38	7.28	15.45	7.46	15.0	2.86	4.9	13.03	8.19	4.46	12.74	13.93	5.23	13.72	3.76	9.93	18.97	44.89	15.0	6.36	36.27	7.94	4.54	22.1	23.42	19.82	63.0	47.84
NT5M	12.64	84.04	131.51	36.01	24.46	33.06	31.0	11.55	19.82	17.51	45.53	42.41	41.22	45.21	52.08	27.44	54.72	16.15	18.97	50.27	43.02	38.12	24.28	71.5	22.26	75.64	13.32	22.59	37.59	60.82	85.22	46.18	84.04	19.25	41.81	39.22	23.42	72.52	40.36	60.82	19.82	29.7	25.54	67.12	21.16	30.12	80.01	28.24	49.56	23.25	40.93	123.5	17.13	41.52	12.18	29.91	17.0	36.27	16.15	30.78	55.89	36.01	20.26	31.0	32.13	55.49	16.88	92.05	25.54	30.56	47.5	34.26	18.03	50.98	61.68	29.91	42.71	40.93	65.26	99.43	90.14	73.03	37.85	94.01	26.67	15.34	107.38	92.05	89.51	88.26	66.65
PBX3	44.89	1628.26	1487.87	103.69	151.22	289.02	226.54	120.1	67.59	90.14	256.78	226.54	249.73	291.04	368.65	255.0	170.25	80.57	98.04	118.43	178.77	141.02	236.21	256.78	175.07	356.05	73.54	105.15	239.52	441.64	583.07	96.01	629.35	76.71	389.72	237.86	87.65	665.29	119.26	212.78	80.01	182.55	153.34	387.02	90.14	88.88	514.56	187.71	215.77	151.22	323.03	698.41	102.97	94.01	98.04	88.88	115.97	201.25	73.54	166.73	381.68	98.73	113.56	140.04	248.0	518.15	105.15	414.87	84.63	134.3	305.55	89.51	85.82	435.55	423.61	98.04	256.78	96.68	217.27	438.59	540.19	353.59	351.14	483.38	130.6	56.68	1191.69	1167.14	866.07	896.64	1073.91
PHGR1	783730.52	819.3	19.11	472513.8	269512.87	180294.02	386469.83	313910.86	492579.5	329517.51	260332.24	273275.14	273275.14	253213.41	233003.78	149521.18	338781.54	348306.01	355624.68	307450.64	301123.38	271387.49	248002.34	174152.51	288856.81	175363.84	509950.32	271387.49	262143.0	126606.21	138544.47	320506.81	208544.12	299043.36	137587.47	229795.93	253213.41	28328.16	437825.58	414208.18	311742.51	341137.96	267651.2	228208.61	279017.26	301123.38	119776.72	226632.25	256748.15	290865.98	239554.43	1427.22	249727.34	249727.34	279017.26	313910.86	338781.54	311742.51	307450.64	256748.15	140478.49	204252.32	284880.02	303217.87	248002.34	148488.36	378516.38	244588.0	370726.6	322736.12	389157.95	209994.66	400098.69	117311.73	114103.8	290865.98	184082.4	244588.0	419990.32	135693.24	81244.48	249727.34	253213.41	134755.94	288856.81	294926.33	0.0	0.0	35.25	12.27	5633.22
PKIG	336.79	8022.41	4607.24	2335.28	1359.57	1397.83	1417.35	1183.45	909.17	909.17	2193.99	1427.22	1216.75	1697.45	2018.8	1540.37	1651.0	1044.52	1111.82	1104.13	796.86	1073.91	1340.84	4239.45	1001.93	1857.6	764.36	848.22	1896.65	2555.58	2032.85	884.29	2777.33	775.05	2119.22	1498.22	961.07	3540.14	928.3	1529.73	934.76	1208.34	1487.87	1769.57	1167.14	1259.69	3257.52	1594.73	1225.22	1159.07	1378.57	4210.15	1096.5	974.5	981.29	718.08	1322.37	1561.89	813.63	1119.56	3874.05	830.75	1277.29	1167.14	1769.57	2319.15	1119.56	2018.8	947.83	1051.79	1388.16	1088.92	947.83	2417.67	2351.53	1001.93	1769.57	941.27	2351.53	2777.33	4607.24	3372.43	1388.16	2133.97	1191.69	1183.45	14971.21	10808.41	3235.01	7749.1	3639.7
PPRC1	260.38	791.35	1175.27	229.72	363.56	392.44	223.41	220.32	351.14	329.84	387.02	332.14	271.48	358.54	325.29	629.35	289.02	229.72	264.03	358.54	361.04	387.02	486.75	698.41	229.72	536.45	144.01	248.0	579.04	379.04	429.54	262.2	336.79	395.18	718.08	287.01	228.13	693.58	334.46	444.72	441.64	279.14	299.25	406.31	271.48	264.03	540.19	460.44	309.83	327.56	285.03	836.53	277.2	343.89	180.02	190.34	283.05	633.73	180.02	297.17	447.82	242.88	271.48	450.94	318.57	518.15	234.57	420.68	289.02	366.09	348.71	197.09	406.31	395.18	384.34	244.57	559.28	232.94	253.23	409.15	397.93	620.67	327.56	409.15	214.27	323.03	988.12	872.1	551.56	2976.74	902.89
PRICKLE2	12.83	376.41	301.33	37.32	46.18	101.54	74.06	24.46	19.11	36.53	65.72	62.12	76.17	123.5	120.1	127.0	67.59	26.67	32.13	45.85	43.02	45.21	57.08	187.71	56.28	187.71	12.83	26.28	73.54	208.38	241.19	23.59	193.01	24.63	165.57	83.45	27.44	287.01	22.43	68.07	31.9	45.21	37.59	96.01	22.75	32.36	295.11	91.41	57.49	31.0	124.37	387.02	31.45	19.53	29.06	24.63	42.41	82.87	18.43	44.89	239.52	26.86	24.63	58.71	85.82	267.73	36.53	197.09	22.1	32.82	110.43	30.78	45.53	279.14	191.67	27.64	123.5	28.24	49.91	187.71	202.66	90.14	91.41	197.09	48.87	18.84	813.63	1159.07	403.5	343.89	414.87
PRSS50	0.0	5.11	5.06	0.0	0.84	1.77	1.28	0.39	0.0	0.09	0.23	2.61	5.92	1.66	6.26	3.69	2.16	0.8	0.0	0.13	1.14	3.66	0.83	16.03	1.39	6.62	0.0	0.4	1.11	7.94	2.56	0.95	3.59	1.46	3.26	1.71	0.0	3.82	0.0	3.08	0.0	0.0	0.68	4.58	1.39	0.59	5.19	2.58	2.94	1.03	1.51	21.01	0.75	0.35	0.0	0.0	0.0	2.23	1.58	0.65	4.94	0.0	0.75	0.16	2.76	4.46	2.27	13.42	1.17	1.87	3.63	0.09	0.83	7.11	2.66	0.62	7.69	5.06	4.06	9.06	6.11	2.63	6.01	3.47	0.89	0.0	22.92	31.0	11.13	7.63	6.78
PXDC1	199.85	1119.56	1378.57	206.94	176.29	246.28	244.57	154.42	103.69	136.19	262.2	244.57	171.45	283.05	251.48	206.94	183.82	187.71	110.43	248.0	119.26	208.38	206.94	1127.35	142.01	480.04	98.04	150.17	339.14	679.29	466.88	190.34	521.76	109.66	743.43	244.57	123.5	624.99	111.99	353.59	114.36	142.01	157.68	366.09	144.01	236.21	616.37	277.2	167.9	215.77	246.28	866.07	182.55	115.16	119.26	61.25	136.19	334.46	117.6	116.78	638.15	96.68	110.43	251.48	309.83	603.67	122.64	297.17	147.06	173.85	236.21	167.9	148.09	500.46	444.72	110.43	470.14	205.5	265.87	287.01	733.19	406.31	309.83	460.44	205.5	114.36	1388.16	2061.24	1286.18	1388.16	1250.98
PYGO1	1.55	96.68	88.88	7.4	5.82	18.43	11.64	3.38	2.51	4.62	11.21	7.75	14.35	13.83	19.53	13.93	7.46	3.56	4.24	3.99	7.4	8.0	10.31	29.7	9.63	17.38	2.78	3.2	12.36	31.67	33.06	2.68	31.45	2.1	33.3	11.21	4.28	47.17	3.26	10.31	2.51	6.31	5.77	17.9	4.03	5.19	34.26	13.83	8.58	5.92	20.26	42.71	5.77	2.41	4.13	2.14	6.06	10.71	2.78	7.17	30.34	2.78	4.03	8.51	14.78	32.59	4.5	22.1	3.14	5.06	13.52	1.3	2.05	32.82	28.45	2.86	18.7	4.17	7.4	26.67	33.78	18.97	23.93	28.65	5.5	2.2	79.45	131.51	87.65	55.89	48.18
RASSF8	8.99	325.29	277.2	24.99	27.84	68.55	69.03	15.22	5.82	19.68	40.36	26.47	68.55	87.03	111.21	65.26	38.67	13.03	13.52	31.9	17.9	30.78	38.4	134.3	30.34	100.83	7.88	19.39	110.43	130.6	175.07	19.39	104.42	12.36	128.79	48.87	19.68	234.57	19.97	42.71	11.64	39.5	31.67	89.51	9.7	22.1	169.07	56.28	52.08	25.91	106.63	253.23	17.38	10.24	17.38	8.06	26.67	70.01	12.83	28.45	198.47	11.55	14.45	38.67	71.5	234.57	16.03	128.79	14.24	27.64	88.88	8.06	14.03	199.85	182.55	10.71	81.14	12.93	60.82	136.19	132.44	104.42	94.67	148.09	17.13	8.0	387.02	616.37	511.0	400.71	271.48
RUFY3	175.07	579.04	529.06	353.59	334.46	356.05	332.14	232.94	218.79	287.01	348.71	289.02	366.09	457.25	363.56	371.22	316.37	260.38	376.41	297.17	258.57	346.29	351.14	934.76	332.14	387.02	283.05	329.84	303.44	460.44	381.68	251.48	334.46	258.57	358.54	265.87	363.56	503.95	368.65	323.03	242.88	285.03	376.41	339.14	299.25	318.57	400.71	435.55	387.02	320.8	332.14	748.61	329.84	299.25	217.27	273.37	387.02	291.04	287.01	325.29	414.87	269.6	301.33	320.8	316.37	381.68	197.09	473.41	197.09	329.84	441.64	291.04	251.48	457.25	356.05	397.93	426.57	318.57	293.07	447.82	603.67	291.04	500.46	454.09	397.93	244.57	738.29	1023.0	543.96	884.29	896.64
RUSC2	50.27	866.07	616.37	59.97	77.79	133.36	100.13	49.56	41.52	49.91	115.97	110.43	134.3	159.9	201.25	137.14	92.7	52.82	41.52	55.49	75.64	96.01	105.15	171.45	80.57	271.48	33.78	49.21	154.42	283.05	236.21	46.5	231.32	51.35	164.42	139.07	37.59	285.03	51.71	98.73	34.51	59.97	60.39	146.03	52.08	65.72	312.0	130.6	94.01	75.64	153.34	373.81	52.82	48.18	54.33	27.05	67.12	115.97	38.67	64.34	316.37	32.59	59.55	88.88	121.79	208.38	59.97	187.71	52.45	60.39	161.02	37.05	35.76	281.09	194.36	43.02	139.07	54.72	101.54	237.86	320.8	119.26	204.07	253.23	71.5	41.81	1175.27	1487.87	525.39	287.01	493.56
RYR2	6.89	486.75	130.6	7.88	12.45	17.64	11.91	1.22	2.2	4.74	7.57	11.13	10.79	30.78	14.89	27.44	17.25	3.11	5.28	3.14	6.31	4.06	9.78	76.17	10.47	71.0	1.25	6.52	19.53	40.07	34.02	2.23	35.0	3.66	92.05	15.45	4.62	57.49	2.36	15.22	3.5	6.84	7.63	12.0	1.68	4.43	73.54	16.27	6.01	7.28	15.45	30.56	5.06	1.5	2.76	3.26	3.32	22.75	1.64	3.66	36.53	2.36	6.11	5.82	30.34	32.36	10.71	38.67	1.11	3.59	22.1	0.8	1.87	25.54	27.05	3.32	19.53	7.57	12.27	66.65	68.55	19.25	23.76	27.64	8.06	2.81	2591.27	555.41	191.67	551.56	140.04
SACS	26.1	339.14	170.25	16.03	14.56	38.95	22.75	11.82	14.14	19.82	29.7	30.56	36.27	36.27	40.36	40.07	19.25	14.35	14.24	20.71	21.32	17.64	27.25	106.63	21.01	54.33	11.04	18.29	38.95	48.87	62.12	13.72	50.63	13.32	76.71	20.41	14.24	105.89	12.45	33.54	13.03	17.51	17.0	50.63	16.27	20.11	55.1	32.59	17.64	19.82	46.84	127.0	16.03	14.56	11.73	10.0	23.25	41.22	15.56	17.77	80.01	15.68	23.25	27.25	40.64	52.82	12.55	73.54	15.22	14.24	34.75	15.22	11.21	92.05	42.11	10.88	51.71	22.1	22.43	44.89	64.34	56.28	43.02	41.81	21.47	13.83	825.0	684.02	392.44	902.89	183.82
SDC3	117.6	3874.05	3235.01	291.04	275.28	486.75	426.57	262.2	146.03	173.85	420.68	486.75	329.84	651.58	603.67	525.39	366.09	175.07	181.28	193.01	312.0	234.57	429.54	872.1	256.78	1467.37	56.68	190.34	595.34	802.41	1008.9	187.71	1081.39	182.55	825.0	420.68	195.72	1540.37	169.07	297.17	149.12	208.38	291.04	688.78	185.11	231.32	1378.57	429.54	289.02	239.52	473.41	1268.46	164.42	202.66	177.53	83.45	241.19	423.61	134.3	293.07	878.17	129.69	273.37	264.03	559.28	684.02	214.27	684.02	162.14	181.28	559.28	140.04	138.1	651.58	738.29	123.5	540.19	187.71	379.04	1015.93	1208.34	698.41	381.68	723.08	228.13	133.36	1909.85	3235.01	1088.92	1697.45	1709.26
SELP	55.1	423.61	384.34	38.12	70.01	163.28	55.49	63.89	136.19	29.91	61.25	57.08	120.94	75.64	81.14	64.8	37.85	42.41	48.18	35.76	46.84	48.18	158.79	287.01	31.22	96.01	33.06	19.82	132.44	66.18	31.9	14.45	49.91	15.8	139.07	44.57	25.54	633.73	44.89	120.94	32.13	46.84	22.1	42.71	35.0	65.72	267.73	101.54	44.89	50.27	37.05	237.86	86.43	49.56	40.64	9.63	27.05	144.01	8.51	9.56	253.23	74.06	24.63	65.26	76.71	123.5	29.06	195.72	32.59	20.86	47.5	36.53	69.52	197.09	95.34	31.67	94.67	73.54	153.34	88.26	209.84	153.34	108.9	158.79	27.44	19.53	332.14	432.53	232.94	660.68	414.87
SLC25A32	173.85	371.22	368.65	137.14	148.09	149.12	153.34	116.78	116.78	121.79	171.45	146.03	134.3	172.65	165.57	228.13	152.28	132.44	194.36	152.28	141.02	165.57	187.71	237.86	129.69	191.67	71.0	154.42	178.77	223.41	218.79	130.6	183.82	127.89	248.0	127.0	120.1	339.14	139.07	170.25	178.77	127.0	154.42	223.41	106.63	127.0	239.52	221.86	150.17	147.06	208.38	297.17	172.65	108.9	80.57	122.64	140.04	209.84	100.83	164.42	253.23	150.17	113.56	182.55	161.02	255.0	119.26	182.55	158.79	127.0	149.12	102.97	163.28	204.07	205.5	151.22	221.86	144.01	150.17	194.36	228.13	242.88	175.07	206.94	144.01	120.94	371.22	358.54	332.14	320.8	283.05
SMARCA1	26.1	567.1	435.55	55.49	53.95	124.37	81.14	39.5	26.28	37.59	97.36	102.25	116.78	118.43	155.5	133.36	94.01	28.24	42.41	40.36	53.19	49.21	85.82	164.42	57.08	143.01	13.32	40.93	108.14	217.27	267.73	34.26	193.01	26.67	228.13	89.51	32.82	384.34	31.67	75.11	36.79	63.0	49.91	171.45	27.25	39.79	265.87	102.25	68.07	58.3	145.02	376.41	33.3	27.84	31.9	21.47	43.63	90.77	19.11	52.45	223.41	29.7	31.9	65.26	101.54	253.23	36.27	183.82	25.35	48.52	122.64	33.06	30.34	251.48	215.77	32.13	117.6	28.04	85.22	194.36	215.77	172.65	131.51	209.84	39.22	19.11	759.08	1059.11	647.07	941.27	447.82
SOGA1	33.06	305.55	518.15	55.49	45.53	78.34	56.68	34.75	35.5	43.32	61.68	66.18	74.58	73.54	80.57	80.57	61.25	20.86	42.41	35.76	55.1	59.55	60.82	111.21	54.33	140.04	18.97	40.36	76.17	159.9	159.9	48.87	137.14	30.56	126.12	71.5	36.27	146.03	38.95	63.0	26.47	35.5	53.57	94.01	43.94	44.25	165.57	81.14	61.25	46.18	72.52	194.36	25.54	42.71	32.13	30.78	44.57	78.89	32.36	42.71	157.68	29.27	41.22	50.27	71.5	133.36	35.0	113.56	32.82	41.81	91.41	35.76	32.36	165.57	127.0	37.05	108.14	35.0	50.63	114.36	154.42	85.82	93.35	142.01	52.82	27.05	379.04	444.72	273.37	264.03	387.02
SYDE1	35.5	872.1	603.67	120.1	102.25	129.69	111.99	70.01	47.5	67.59	132.44	146.03	124.37	169.07	242.88	146.03	147.06	58.71	63.89	68.07	94.01	108.9	99.43	177.53	88.88	351.14	28.86	53.57	251.48	320.8	301.33	65.26	351.14	52.82	211.31	120.1	41.22	363.56	48.87	136.19	46.5	70.51	60.82	223.41	68.07	71.5	392.44	152.28	102.97	73.54	164.42	397.93	51.71	60.82	63.45	42.71	65.26	108.9	49.91	63.0	277.2	41.22	64.34	87.03	137.14	271.48	84.63	171.45	51.71	73.03	146.03	49.21	41.81	208.38	318.57	59.55	169.07	67.12	94.67	231.32	343.89	291.04	169.07	289.02	77.25	50.63	1561.89	2682.69	713.11	511.0	718.08
SYNE1	104.42	1096.5	785.88	187.71	147.06	281.09	258.57	146.03	66.18	101.54	285.03	175.07	223.41	275.28	334.46	208.38	190.34	113.56	122.64	140.04	126.12	143.01	212.78	607.87	130.6	299.25	47.17	147.06	279.14	567.1	473.41	101.54	607.87	82.87	366.09	277.2	127.0	366.09	136.19	215.77	79.45	138.1	147.06	295.11	107.38	139.07	647.07	220.32	258.57	140.04	291.04	587.13	88.88	137.14	100.13	127.89	171.45	206.94	97.36	154.42	684.02	130.6	139.07	187.71	325.29	406.31	108.9	323.03	127.89	108.14	318.57	111.99	109.66	575.03	426.57	105.89	299.25	177.53	246.28	563.18	941.27	514.56	325.29	438.59	127.89	68.07	1037.29	1909.85	1259.69	1378.57	1304.15
TGFB3	34.75	2720.15	1096.5	100.83	80.57	105.15	65.72	36.79	33.54	23.59	127.89	75.11	61.25	107.38	115.97	64.34	70.01	38.67	37.85	40.07	52.45	35.0	102.97	334.46	54.72	181.28	42.71	46.18	141.02	141.02	111.99	26.67	255.0	29.06	262.2	58.3	42.11	457.25	35.76	80.01	29.27	55.49	57.08	197.09	35.76	48.87	470.14	78.89	64.34	68.07	73.03	547.75	28.86	43.63	39.5	33.3	28.65	131.51	44.57	26.67	193.01	22.26	41.81	52.08	97.36	234.57	40.36	224.97	35.0	42.11	133.36	49.21	18.7	154.42	175.07	34.51	218.79	55.49	57.89	182.55	567.1	164.42	75.11	111.21	41.81	19.11	420.68	441.64	579.04	1397.83	412.0
TMCC2	7.0	181.28	128.79	17.13	13.62	25.54	15.22	19.25	14.56	10.39	22.43	13.62	21.78	18.03	29.06	17.13	18.03	10.79	6.52	8.13	9.56	8.92	20.56	78.34	7.88	21.63	2.66	6.94	20.71	19.25	32.13	5.45	38.67	5.77	26.28	20.86	6.41	48.87	9.27	24.81	4.24	16.27	14.14	21.94	8.19	10.88	46.5	16.15	16.88	11.47	15.45	38.67	6.78	9.85	12.18	12.36	11.82	9.7	8.45	5.77	31.9	5.82	10.71	11.55	15.22	21.01	10.31	17.13	6.06	10.55	32.36	4.39	4.62	37.05	24.63	11.82	17.13	12.64	16.88	37.59	62.12	16.63	32.13	29.27	9.56	4.58	96.01	59.13	93.35	114.36	54.33
TMOD1	110.43	872.1	348.71	85.82	96.68	144.01	120.94	62.56	38.95	57.08	134.3	88.88	140.04	159.9	218.79	154.42	138.1	65.72	55.49	90.14	60.82	93.35	78.89	633.73	90.77	181.28	42.11	63.89	102.97	314.17	336.79	98.04	224.97	58.71	190.34	176.29	42.11	423.61	62.56	206.94	42.11	73.54	52.82	170.25	35.5	67.12	323.03	173.85	84.04	83.45	194.36	743.43	90.77	53.95	96.01	26.86	56.68	175.07	62.12	86.43	299.25	39.5	62.12	94.67	146.03	299.25	65.72	221.86	42.71	73.54	177.53	37.32	51.35	312.0	323.03	63.0	189.02	63.89	108.14	275.28	307.69	231.32	181.28	329.84	85.82	43.94	2224.63	2816.11	1119.56	1427.22	954.43
TP53RK	161.02	232.94	500.46	183.82	112.77	136.19	138.1	84.63	165.57	95.34	131.51	126.12	159.9	95.34	187.71	236.21	123.5	60.39	167.9	125.24	127.89	170.25	220.32	332.14	122.64	206.94	81.14	111.21	189.02	171.45	212.78	96.68	171.45	129.69	209.84	112.77	120.1	285.03	166.73	132.44	119.26	91.41	87.65	164.42	77.79	99.43	271.48	113.56	124.37	153.34	175.07	348.71	128.79	140.04	99.43	67.59	140.04	202.66	138.1	122.64	244.57	118.43	141.02	175.07	121.79	208.38	108.14	157.68	106.63	152.28	157.68	104.42	126.12	208.38	208.38	127.89	180.02	124.37	145.02	167.9	167.9	332.14	121.79	234.57	117.6	92.05	209.84	217.27	244.57	239.52	206.94
TSHZ3	8.13	376.41	228.13	36.01	39.22	86.43	62.12	26.28	15.11	26.1	72.01	51.35	68.07	73.03	102.25	88.88	54.72	20.56	23.25	29.91	40.64	37.05	63.45	124.37	38.12	134.3	9.63	29.27	84.63	111.21	171.45	23.59	173.85	21.16	99.43	63.45	24.11	199.85	17.0	55.1	24.99	33.06	29.27	103.69	25.35	30.56	158.79	76.17	51.35	32.13	98.04	271.48	20.56	27.05	22.75	14.03	36.01	51.35	18.03	33.06	88.26	17.77	32.13	38.95	73.03	151.22	28.45	108.14	22.1	31.0	96.68	19.39	28.65	108.9	139.07	24.11	88.88	28.45	49.91	130.6	154.42	105.89	98.73	148.09	40.64	19.11	514.56	728.11	343.89	281.09	312.0
TTC7B	36.01	842.36	830.75	121.79	87.65	152.28	142.01	78.34	43.63	51.71	144.01	115.97	142.01	197.09	162.14	133.36	98.04	55.49	38.95	72.01	80.57	113.56	111.21	197.09	115.16	221.86	37.32	68.07	145.02	336.79	295.11	49.91	262.2	72.52	231.32	138.1	46.84	287.01	52.82	152.28	50.63	97.36	48.18	190.34	40.93	60.82	356.05	136.19	136.19	88.88	170.25	400.71	63.45	32.13	38.95	38.95	80.01	120.94	26.86	73.03	258.57	47.5	59.13	95.34	119.26	323.03	58.71	224.97	43.94	105.15	170.25	51.35	49.21	271.48	249.73	49.56	167.9	79.45	112.77	241.19	249.73	231.32	181.28	316.37	58.71	36.79	1023.0	738.29	665.29	1088.92	698.41
ZCCHC24	38.12	2367.9	1359.57	180.02	148.09	273.37	215.77	82.87	63.0	69.03	206.94	154.42	221.86	387.02	420.68	239.52	186.4	70.01	79.45	78.34	202.66	156.59	161.02	563.18	158.79	486.75	38.67	96.01	356.05	450.94	693.58	86.43	624.99	73.03	500.46	211.31	68.55	915.51	77.79	277.2	77.79	143.01	95.34	450.94	76.71	115.97	674.59	248.0	145.02	121.79	299.25	1127.35	85.82	85.82	91.41	49.21	115.16	220.32	68.55	131.51	441.64	72.01	79.45	156.59	251.48	532.74	109.66	332.14	78.34	120.94	301.33	58.3	75.11	429.54	521.76	67.12	358.54	95.34	136.19	395.18	493.56	518.15	309.83	575.03	111.21	50.98	3847.29	4010.71	1159.07	3212.66	2163.77
