	TCGA.AC.A2FK.01A.12R.A180.07	TCGA.BH.A1FU.11A.23R.A14D.07	GTEX.ZF2S.2026.SM.5E461	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DE.A0Y2.01A.11R.A10U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.E8.A414.01A.11R.A23N.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.DJ.A3UQ.01A.11R.A22L.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.DJ.A1QE.01A.21R.A14Y.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.DE.A0Y3.01B.11R.A10U.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.BJ.A18Z.01A.21R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.EL.A3CM.01A.11R.A19O.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.EL.A3T9.01A.21R.A22L.07	TCGA.EL.A4KG.01A.11R.A250.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A3SZ.01A.11R.A22U.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.R55C.0626.SM.2TF4Q
ZNF124	137.14	108.14	102.25	51.71	51.35	65.72	66.18	72.52	72.01	41.22	78.34	65.72	72.01	62.56	46.84	78.89	35.5	81.14	57.49	30.78	65.26	30.12	76.71	59.55	94.67	49.91	53.19	51.35	59.13	56.28	28.45	80.57	60.82	61.25	58.3	32.82	43.94	80.57	41.22	32.82	67.59	35.0	34.75	48.87	88.26	40.36	37.59	77.79	81.14	81.14	52.82	43.94	57.08	40.36	53.57	79.45	81.71	33.54	59.13	54.33	70.51	79.45	77.25	97.36	29.48	82.29	60.82	60.82	90.77	124.37
ZNF26	155.5	197.09	193.01	167.9	147.06	118.43	133.36	164.42	177.53	96.01	156.59	147.06	151.22	153.34	146.03	187.71	78.89	248.0	132.44	136.19	114.36	81.71	117.6	123.5	145.02	123.5	163.28	151.22	256.78	112.77	114.36	163.28	190.34	117.6	153.34	120.1	130.6	167.9	114.36	90.14	113.56	105.89	136.19	153.34	182.55	127.89	143.01	156.59	159.9	153.34	164.42	118.43	138.1	110.43	153.34	177.53	152.28	134.3	153.34	157.68	145.02	199.85	170.25	202.66	108.9	125.24	150.17	154.42	142.01	166.73
ZNF281	289.02	287.01	555.41	69.52	78.89	69.03	89.51	78.89	76.17	55.49	95.34	67.59	97.36	60.39	40.36	116.78	24.11	56.68	67.59	33.54	92.05	35.5	82.87	63.89	108.14	77.25	63.45	87.65	119.26	59.13	43.02	57.89	96.01	79.45	62.12	40.07	67.12	84.63	43.63	54.33	49.21	34.26	41.81	65.72	92.7	47.5	51.71	92.7	70.01	91.41	95.34	54.33	50.63	51.35	52.82	61.25	77.25	55.1	79.45	60.39	93.35	118.43	87.03	133.36	47.17	79.45	55.89	59.97	141.02	126.12
ZNF398	171.45	193.01	231.32	80.01	84.63	96.68	98.73	82.29	81.14	94.67	102.25	76.71	113.56	65.72	71.0	99.43	63.0	133.36	84.63	50.98	100.83	59.55	91.41	68.55	103.69	77.79	74.58	108.9	105.15	73.03	68.55	91.41	122.64	85.82	96.01	72.01	72.52	130.6	62.56	55.89	58.3	55.49	58.71	90.77	95.34	90.14	90.14	101.54	76.17	110.43	90.14	73.03	55.89	75.64	73.54	59.13	88.26	71.0	104.42	77.79	96.01	100.83	117.6	125.24	73.03	81.14	61.68	83.45	129.69	123.5
ZNF445	156.59	218.79	232.94	89.51	64.34	77.79	54.72	81.14	78.89	43.94	75.11	63.89	106.63	53.95	39.79	114.36	33.06	72.52	76.71	35.0	82.29	48.18	73.03	61.25	103.69	66.65	60.82	80.57	131.51	75.11	35.5	73.03	94.67	71.0	81.14	48.18	42.11	102.25	63.89	52.08	52.08	36.79	46.18	70.01	85.22	56.28	65.26	81.71	59.97	121.79	86.43	37.32	46.18	49.21	55.1	60.39	71.5	46.5	100.13	68.07	76.17	95.34	95.34	80.01	51.71	63.89	53.57	55.89	139.07	111.99
ZNF45	291.04	295.11	435.55	151.22	80.57	138.1	100.13	120.1	126.12	78.34	112.77	99.43	157.68	88.26	59.97	172.65	51.35	140.04	152.28	63.0	142.01	84.04	147.06	112.77	127.89	91.41	101.54	136.19	209.84	116.78	61.25	130.6	148.09	123.5	120.1	77.79	53.19	176.29	118.43	76.17	66.65	45.53	77.25	125.24	120.1	98.73	82.87	121.79	115.16	209.84	108.14	60.39	77.25	101.54	75.11	90.14	123.5	80.01	138.1	115.97	128.79	157.68	150.17	127.89	77.79	105.15	95.34	112.77	229.72	209.84
ZNF557	113.56	98.73	139.07	34.26	29.27	34.51	43.94	40.93	36.01	33.54	49.56	31.45	63.89	31.45	18.03	66.18	14.89	47.5	35.25	21.32	46.5	20.26	46.5	28.86	52.82	27.05	36.53	46.18	59.97	41.81	31.45	29.27	55.1	36.53	37.85	23.93	40.36	43.32	25.35	27.84	23.93	23.25	27.05	37.32	43.32	34.26	35.76	67.12	36.27	59.13	43.32	37.59	21.78	34.51	19.68	18.56	45.53	36.01	43.32	25.91	55.49	58.3	60.39	72.01	26.28	46.5	33.78	35.5	74.06	68.07
ZNF623	309.83	320.8	426.57	157.68	108.9	102.25	124.37	161.02	143.01	91.41	162.14	121.79	215.77	116.78	81.71	212.78	85.82	117.6	137.14	84.63	157.68	97.36	162.14	113.56	176.29	127.0	133.36	175.07	253.23	136.19	73.54	153.34	234.57	185.11	190.34	75.11	76.71	226.54	127.0	90.14	68.55	70.51	89.51	155.5	170.25	149.12	120.94	175.07	125.24	232.94	164.42	80.01	80.01	102.25	127.89	125.24	148.09	97.36	182.55	135.24	183.82	193.01	189.02	253.23	96.68	115.16	105.89	128.79	236.21	205.5
ZNF629	237.86	226.54	273.37	140.04	80.57	197.09	110.43	90.77	92.05	74.58	103.69	77.25	136.19	63.89	65.72	129.69	64.8	92.7	115.97	45.53	121.79	111.99	124.37	92.05	129.69	93.35	96.68	122.64	175.07	100.13	47.17	84.04	155.5	116.78	137.14	76.71	54.72	172.65	120.94	79.45	55.1	40.07	72.01	109.66	118.43	93.35	127.0	127.89	94.67	157.68	116.78	59.55	58.71	89.51	65.26	92.05	78.89	69.52	145.02	120.1	120.1	153.34	113.56	177.53	64.34	78.34	71.5	85.82	154.42	142.01
ZNF630	74.06	70.01	90.14	71.0	43.94	76.17	44.57	61.25	58.3	36.27	62.12	45.85	69.03	66.18	35.5	56.28	39.5	54.72	52.82	46.5	50.63	62.12	52.82	53.19	37.59	37.59	63.89	47.17	90.14	88.26	46.84	71.5	87.03	50.98	75.11	47.17	33.54	53.95	44.89	47.17	46.5	29.27	45.53	69.03	59.55	40.07	55.49	50.27	73.03	66.65	52.82	33.06	43.02	45.21	27.25	40.07	44.57	48.18	63.45	50.98	59.97	56.28	63.89	56.28	29.7	35.5	53.57	72.01	90.77	78.89
ZNF646	249.73	281.09	316.37	162.14	128.79	153.34	127.89	169.07	150.17	108.9	130.6	92.7	178.77	88.26	85.22	221.86	86.43	76.71	141.02	71.0	153.34	91.41	194.36	98.73	223.41	135.24	84.63	135.24	239.52	115.97	76.17	111.99	208.38	166.73	153.34	99.43	94.01	244.57	128.79	57.08	91.41	74.58	111.99	138.1	164.42	122.64	109.66	132.44	123.5	195.72	142.01	104.42	78.34	110.43	69.52	105.15	125.24	103.69	130.6	148.09	142.01	167.9	148.09	231.32	114.36	116.78	100.83	113.56	220.32	150.17
ZNF780B	239.52	239.52	297.17	218.79	154.42	132.44	172.65	169.07	136.19	85.22	175.07	165.57	204.07	138.1	149.12	228.13	72.01	241.19	118.43	102.25	176.29	172.65	118.43	197.09	170.25	115.16	106.63	143.01	293.07	119.26	90.14	220.32	152.28	154.42	194.36	84.04	161.02	177.53	117.6	79.45	114.36	115.97	137.14	127.0	187.71	121.79	81.14	146.03	163.28	215.77	136.19	109.66	88.88	90.77	156.59	155.5	175.07	119.26	176.29	120.94	165.57	195.72	211.31	156.59	84.63	153.34	123.5	115.16	237.86	273.37
ZNF800	426.57	406.31	371.22	147.06	132.44	275.28	190.34	162.14	152.28	111.21	194.36	147.06	217.27	148.09	114.36	244.57	79.45	224.97	169.07	88.26	181.28	144.01	193.01	129.69	206.94	120.94	170.25	163.28	291.04	186.4	78.34	153.34	201.25	186.4	194.36	115.16	116.78	217.27	155.5	102.97	126.12	119.26	110.43	167.9	194.36	131.51	189.02	201.25	166.73	232.94	153.34	129.69	123.5	147.06	146.03	147.06	175.07	105.89	161.02	183.82	208.38	260.38	217.27	325.29	131.51	132.44	139.07	133.36	279.14	297.17
ZSCAN22	55.49	66.65	78.89	34.75	39.5	30.34	33.06	40.07	30.12	27.44	35.5	23.42	45.21	25.35	21.47	44.25	24.63	31.45	27.64	19.68	31.67	15.56	26.1	34.26	40.07	35.25	35.76	41.52	44.89	25.91	27.64	33.3	46.5	42.41	36.53	22.43	23.93	38.95	23.42	20.26	20.26	25.54	25.17	29.06	49.21	28.24	29.27	39.22	26.47	33.06	40.36	21.47	19.97	17.25	27.25	25.72	30.78	23.76	43.32	24.99	47.17	34.75	34.51	32.59	27.25	39.5	24.81	32.82	55.1	46.84
ZSCAN25	256.78	327.56	289.02	114.36	118.43	148.09	115.97	137.14	93.35	94.01	118.43	77.79	129.69	92.05	74.58	152.28	58.71	197.09	115.16	71.5	103.69	85.82	149.12	97.36	123.5	102.25	101.54	102.97	178.77	125.24	70.51	122.64	166.73	97.36	104.42	108.14	72.01	127.0	108.14	59.13	77.79	81.14	82.87	120.1	115.97	85.82	117.6	121.79	140.04	142.01	96.68	63.45	90.77	70.01	70.01	81.71	101.54	78.34	169.07	97.36	120.94	161.02	142.01	186.4	85.22	93.35	82.29	81.71	228.13	244.57
