	GTEX.P4PP.0526.SM.2HMKE	GTEX.YF7O.0626.SM.4W21R	GTEX.O5YW.0526.SM.2YUMX	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.WFJO.0326.SM.3GIL3	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.14E7W.1326.SM.5RQIV	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.13FTY.0126.SM.5J2NZ	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.U3ZN.0626.SM.3DB7U	GTEX.ZDXO.1326.SM.57WBS	GTEX.YEC3.0226.SM.5IFJO	GTEX.13S86.0626.SM.5Q5E7	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.PX3G.0526.SM.2I3EM	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13O21.3026.SM.5J2NI	GTEX.13QJC.0526.SM.5RQKB	GTEX.13N2G.0826.SM.5IJE6	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.QESD.0626.SM.2I5G4	GTEX.Q2AH.0426.SM.2I3EP	GTEX.11NUK.0826.SM.5HL4U	GTEX.XQ3S.0926.SM.4BOPI	GTEX.OIZI.1026.SM.3NB1K	GTEX.Y3IK.0626.SM.4WWE4	GTEX.UPIC.0826.SM.3GADQ	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.SIU8.0926.SM.5SI87	GTEX.PLZ6.0426.SM.5IFK2	GTEX.Q2AG.1026.SM.33HBW	GTEX.XQ8I.1126.SM.4BOO2	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.SUCS.0626.SM.32PM5	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.13NYB.0626.SM.5MR47	GTEX.11LCK.0426.SM.5A5M8	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.QMRM.0826.SM.3NB33	GTEX.13OVG.0326.SM.5KM57	GTEX.131XH.0426.SM.5DUWU
RAVER1	759.08	638.15	708.18	718.08	547.75	285.03	607.87	457.25	191.67	665.29	318.57	256.78	387.02	412.0	260.38	460.44	547.75	395.18	287.01	575.03	579.04	283.05	723.08	547.75	199.85	384.34	327.56	665.29	403.5	466.88	351.14	397.93	647.07	1135.2	305.55	291.04	1594.73	819.3	195.72	281.09	291.04	511.0	343.89	616.37	1167.14	559.28	147.06	214.27	170.25	211.31	341.51	493.56	503.95	426.57	595.34	525.39	204.07	358.54	273.37	253.23	620.67	293.07	429.54
RBBP5	215.77	204.07	205.5	171.45	197.09	90.14	228.13	189.02	175.07	191.67	94.01	242.88	142.01	221.86	78.89	148.09	209.84	76.17	165.57	190.34	267.73	92.7	185.11	258.57	50.98	94.01	223.41	218.79	141.02	226.54	100.13	114.36	220.32	234.57	88.88	121.79	260.38	248.0	102.97	67.12	120.94	173.85	215.77	173.85	204.07	201.25	103.69	163.28	112.77	111.21	129.69	309.83	177.53	273.37	209.84	215.77	125.24	223.41	111.21	101.54	256.78	124.37	81.71
RBM23	1806.78	1378.57	1844.76	1322.37	1487.87	638.15	1594.73	1322.37	1059.11	1685.71	921.88	1467.37	1313.23	1651.0	603.67	1151.06	1397.83	713.11	1151.06	1066.48	1781.89	866.07	1519.15	2240.11	616.37	693.58	1259.69	1628.26	1073.91	1350.18	703.28	860.08	1794.29	1508.65	1199.98	866.07	1781.89	1540.37	1127.35	854.13	967.76	1350.18	1572.76	1322.37	1286.18	1417.35	679.29	1073.91	1081.39	1191.69	1127.35	2090.03	1250.98	1457.23	1870.53	1417.35	540.19	1322.37	718.08	830.75	1617.0	1369.04	713.11
RBM28	320.8	126.12	169.07	169.07	204.07	281.09	287.01	209.84	289.02	175.07	255.0	204.07	146.03	178.77	135.24	208.38	193.01	262.2	237.86	258.57	529.06	141.02	314.17	373.81	102.97	109.66	435.55	289.02	186.4	253.23	157.68	175.07	332.14	258.57	204.07	178.77	583.07	287.01	164.42	125.24	97.36	346.29	236.21	215.77	232.94	239.52	193.01	128.79	158.79	120.94	110.43	193.01	231.32	248.0	232.94	232.94	156.59	356.05	140.04	198.47	256.78	127.89	84.63
RFT1	281.09	361.04	361.04	295.11	249.73	206.94	336.79	307.69	291.04	316.37	142.01	336.79	318.57	353.59	193.01	287.01	336.79	162.14	332.14	316.37	476.71	182.55	429.54	429.54	95.34	271.48	379.04	447.82	277.2	387.02	159.9	237.86	392.44	381.68	332.14	181.28	438.59	379.04	285.03	237.86	277.2	441.64	403.5	265.87	358.54	318.57	199.85	460.44	158.79	264.03	297.17	400.71	358.54	346.29	403.5	299.25	231.32	532.74	260.38	211.31	339.14	220.32	205.5
RGP1	343.89	193.01	674.59	325.29	202.66	194.36	423.61	493.56	204.07	638.15	248.0	423.61	187.71	387.02	180.02	395.18	480.04	204.07	291.04	420.68	397.93	96.01	507.46	441.64	151.22	234.57	395.18	387.02	191.67	291.04	125.24	307.69	389.72	295.11	260.38	438.59	674.59	563.18	137.14	139.07	205.5	281.09	329.84	346.29	438.59	291.04	98.04	178.77	236.21	211.31	191.67	497.0	291.04	514.56	486.75	429.54	97.36	529.06	87.65	180.02	656.11	169.07	158.79
RNF20	384.34	470.14	718.08	444.72	423.61	183.82	684.02	497.0	514.56	493.56	258.57	674.59	426.57	660.68	232.94	426.57	563.18	181.28	521.76	493.56	728.11	320.8	529.06	723.08	105.15	206.94	638.15	595.34	397.93	551.56	253.23	395.18	612.11	693.58	271.48	392.44	514.56	656.11	363.56	201.25	454.09	466.88	529.06	457.25	529.06	575.03	215.77	444.72	327.56	397.93	381.68	995.0	490.14	684.02	559.28	624.99	248.0	656.11	309.83	267.73	708.18	301.33	258.57
RPAP3	361.04	285.03	157.68	277.2	297.17	122.64	293.07	218.79	237.86	199.85	332.14	260.38	273.37	175.07	191.67	217.27	325.29	229.72	293.07	214.27	679.29	165.57	339.14	426.57	201.25	193.01	490.14	346.29	176.29	295.11	241.19	185.11	607.87	366.09	176.29	314.17	466.88	262.2	323.03	147.06	273.37	368.65	249.73	281.09	256.78	277.2	183.82	248.0	217.27	162.14	262.2	204.07	242.88	414.87	248.0	236.21	149.12	351.14	155.5	249.73	392.44	229.72	134.3
RPL7L1	1467.37	1127.35	961.07	878.17	1051.79	587.13	1015.93	1015.93	1008.9	1073.91	536.45	1151.06	890.44	1268.46	518.15	954.43	1191.69	454.09	1023.0	988.12	1457.23	525.39	1081.39	1313.23	392.44	708.18	1073.91	1088.92	759.08	1111.82	373.81	587.13	1295.13	1259.69	836.53	728.11	2163.77	1378.57	703.28	595.34	796.86	902.89	1015.93	1151.06	1216.75	1001.93	412.0	988.12	575.03	647.07	890.44	1183.45	848.22	1487.87	1066.48	1088.92	540.19	1135.2	511.0	660.68	1331.57	713.11	511.0
RRP1B	389.72	239.52	231.32	206.94	190.34	198.47	246.28	267.73	185.11	224.97	133.36	217.27	226.54	249.73	120.1	194.36	287.01	98.73	239.52	248.0	351.14	145.02	267.73	283.05	92.05	149.12	265.87	273.37	180.02	223.41	126.12	153.34	226.54	256.78	154.42	128.79	579.04	327.56	117.6	155.5	185.11	189.02	260.38	199.85	334.46	285.03	108.9	182.55	114.36	151.22	201.25	334.46	262.2	341.51	281.09	256.78	86.43	295.11	126.12	129.69	281.09	167.9	103.69
RUNDC1	229.72	221.86	283.05	223.41	287.01	89.51	387.02	255.0	167.9	327.56	251.48	253.23	193.01	316.37	119.26	191.67	361.04	185.11	150.17	189.02	287.01	120.1	273.37	466.88	169.07	100.83	277.2	228.13	109.66	234.57	197.09	215.77	379.04	307.69	111.99	265.87	332.14	318.57	132.44	115.97	131.51	246.28	249.73	228.13	384.34	255.0	137.14	170.25	162.14	181.28	169.07	314.17	217.27	323.03	353.59	212.78	171.45	273.37	145.02	170.25	297.17	122.64	197.09
SDR42E1	73.03	135.24	122.64	105.89	101.54	15.91	260.38	77.25	156.59	104.42	43.94	166.73	82.29	130.6	11.13	52.45	181.28	15.0	70.51	66.18	356.05	5.63	120.94	500.46	1.41	21.32	269.6	195.72	71.5	170.25	24.28	195.72	172.65	275.28	59.97	35.76	341.51	193.01	27.05	17.38	125.24	150.17	98.04	90.77	211.31	153.34	23.42	80.01	14.24	58.71	109.66	305.55	145.02	151.22	181.28	107.38	24.99	236.21	11.13	17.25	169.07	41.81	19.82
SEC23B	1594.73	1651.0	1340.84	1313.23	1369.04	775.05	1331.57	1304.15	974.5	1225.22	540.19	1498.22	1073.91	995.0	575.03	1023.0	1359.57	457.25	1111.82	1286.18	1651.0	603.67	1437.15	1950.0	381.68	1135.2	1397.83	1135.2	785.88	1322.37	620.67	1250.98	1397.83	1628.26	1250.98	909.17	1721.16	1572.76	647.07	890.44	934.76	1059.11	981.29	1096.5	1111.82	1350.18	674.59	1225.22	674.59	1199.98	1167.14	1359.57	1233.75	1143.1	1242.34	1277.29	616.37	1427.22	988.12	759.08	947.83	819.3	688.78
SFTPC	2.880867455E7	5.882801313E7	7.92550749E7	4.811555286E7	3.174442598E7	5650706.18	3.003205688E7	2.706640506E7	4.188702152E7	3.130739107E7	7665772.81	2.880867455E7	1.587221249E7	2.542950323E7	469249.9	1.161913937E7	2.260282772E7	77934.88	2.339991475E7	1.501602794E7	8624442.87	456418.21	5.761735011E7	1.712973997E7	84694.64	1.36273329E7	3.801327429E7	1.609378033E7	6673442.71	2.260282772E7	4433454.0	4.878722096E7	1.194579786E7	1.848689914E7	3.72309724E7	2.405777593E7	1.194579786E7	1.887534821E7	6956835.58	1.430483875E7	2.276004283E7	2.138357795E7	1.501602794E7	2.706640506E7	2.525384881E7	5.228884881E7	19482.97	2.198475218E7	6014443.23	1.0826562323E8	2.037080884E7	2.560637942E7	3.109113511E7	9906883.49	6.17527469E7	2.578448588E7	851707.37	9116191.76	2.009035788E7	2654482.97	1.391367215E7	1.391367215E7	1956711.0
SLC25A17	414.87	470.14	532.74	395.18	500.46	241.19	387.02	470.14	356.05	403.5	231.32	536.45	441.64	412.0	116.78	314.17	395.18	154.42	409.15	435.55	536.45	193.01	351.14	353.59	118.43	187.71	674.59	500.46	320.8	368.65	185.11	242.88	521.76	466.88	206.94	217.27	656.11	441.64	214.27	202.66	329.84	363.56	483.38	438.59	540.19	327.56	185.11	507.46	214.27	271.48	379.04	473.41	447.82	423.61	351.14	536.45	180.02	376.41	202.66	255.0	400.71	293.07	127.0
SLC35C1	583.07	532.74	490.14	490.14	480.04	279.14	507.46	525.39	540.19	669.92	185.11	507.46	688.78	476.71	121.79	551.56	693.58	112.77	363.56	656.11	555.41	117.6	633.73	1015.93	63.45	348.71	339.14	543.96	255.0	438.59	167.9	256.78	529.06	521.76	379.04	248.0	967.76	679.29	182.55	341.51	314.17	417.77	470.14	493.56	660.68	579.04	181.28	490.14	158.79	303.44	543.96	665.29	607.87	536.45	536.45	507.46	115.16	490.14	212.78	218.79	525.39	384.34	165.57
SMU1	1605.83	1447.15	1233.75	1096.5	1104.13	780.44	1159.07	967.76	909.17	1208.34	748.61	1487.87	743.43	1250.98	785.88	1135.2	1208.34	665.29	1119.56	1143.1	1572.76	753.83	1378.57	1304.15	723.08	780.44	1963.57	1378.57	1250.98	1151.06	476.71	764.36	1551.09	1295.13	775.05	785.88	2018.8	1437.15	813.63	579.04	1143.1	1359.57	967.76	1023.0	1096.5	1259.69	591.22	1175.27	836.53	884.29	796.86	1508.65	884.29	1487.87	1191.69	1250.98	764.36	1331.57	890.44	947.83	1369.04	791.35	934.76
SPG20	1721.16	1208.34	713.11	1268.46	1437.15	483.38	1175.27	1088.92	1023.0	723.08	981.29	1508.65	555.41	836.53	860.08	995.0	1467.37	842.36	1225.22	819.3	1651.0	540.19	1583.71	2451.44	466.88	733.19	1242.34	392.44	995.0	1066.48	397.93	1268.46	1015.93	1088.92	332.14	660.68	2163.77	1277.29	612.11	172.65	728.11	896.64	497.0	890.44	1199.98	802.41	738.29	1119.56	1199.98	612.11	941.27	1340.84	928.3	1340.84	591.22	1519.15	1037.29	1745.2	397.93	764.36	1331.57	775.05	1127.35
SUPT16H	1286.18	1208.34	791.35	854.13	1001.93	713.11	866.07	1143.1	1119.56	1044.52	503.95	1583.71	934.76	1015.93	607.87	1008.9	1143.1	387.02	1242.34	1331.57	1639.59	629.35	1104.13	961.07	497.0	529.06	2090.03	1977.24	909.17	988.12	759.08	633.73	1551.09	1175.27	941.27	819.3	2287.2	1127.35	954.43	1015.93	1369.04	995.0	1447.15	1268.46	1259.69	1059.11	536.45	1030.12	607.87	409.15	947.83	1304.15	1059.11	1477.58	878.17	1216.75	629.35	1216.75	647.07	759.08	1096.5	1073.91	629.35
SYNCRIP	2287.2	1685.71	1286.18	1277.29	764.36	476.71	1151.06	796.86	808.0	934.76	796.86	1594.73	796.86	1151.06	624.99	941.27	1359.57	476.71	1051.79	1199.98	2609.3	563.18	1378.57	1757.34	358.54	579.04	1572.76	1233.75	921.88	825.0	426.57	629.35	1572.76	1313.23	866.07	928.3	3212.66	1519.15	684.02	473.41	808.0	1088.92	1167.14	988.12	1037.29	1208.34	503.95	928.3	981.29	738.29	902.89	1909.85	759.08	1857.6	1008.9	1208.34	500.46	1733.13	412.0	647.07	1721.16	688.78	624.99
TADA2A	246.28	127.0	189.02	217.27	171.45	131.51	166.73	178.77	220.32	228.13	164.42	269.6	178.77	336.79	193.01	256.78	217.27	82.29	312.0	248.0	334.46	169.07	215.77	314.17	43.63	120.1	336.79	262.2	150.17	211.31	239.52	148.09	332.14	193.01	186.4	195.72	403.5	209.84	180.02	194.36	181.28	242.88	236.21	224.97	242.88	195.72	119.26	128.79	148.09	132.44	232.94	265.87	242.88	371.22	211.31	269.6	92.05	264.03	183.82	115.97	301.33	176.29	166.73
TAF13	1769.57	1388.16	890.44	830.75	780.44	603.67	890.44	698.41	915.51	808.0	497.0	1119.56	642.59	1331.57	559.28	616.37	1059.11	656.11	674.59	764.36	1651.0	525.39	1119.56	1331.57	551.56	890.44	1044.52	660.68	674.59	595.34	351.14	303.44	1073.91	866.07	532.74	595.34	2178.83	1073.91	358.54	348.71	473.41	1030.12	791.35	733.19	974.5	813.63	660.68	688.78	708.18	503.95	674.59	1359.57	684.02	1295.13	1143.1	830.75	559.28	1143.1	507.46	483.38	974.5	444.72	947.83
TAF1A	65.72	78.89	72.01	62.56	78.89	48.18	172.65	62.12	75.11	55.1	54.72	75.11	55.49	62.12	48.18	45.21	76.71	39.5	72.01	82.87	157.68	40.36	101.54	237.86	15.34	53.19	156.59	81.14	43.63	102.97	63.0	77.25	145.02	97.36	46.5	61.68	88.26	98.73	47.5	23.42	44.25	106.63	117.6	58.71	59.13	81.71	60.39	58.71	54.72	35.5	42.41	133.36	64.8	104.42	95.34	69.03	64.8	89.51	38.95	32.13	115.16	50.27	24.63
TAF1B	348.71	211.31	140.04	226.54	135.24	161.02	299.25	185.11	111.99	142.01	151.22	258.57	111.99	153.34	113.56	163.28	231.32	158.79	100.13	215.77	423.61	100.83	143.01	397.93	130.6	81.71	323.03	220.32	100.83	118.43	79.45	88.88	303.44	180.02	88.26	122.64	187.71	158.79	156.59	120.94	154.42	206.94	205.5	131.51	131.51	122.64	181.28	169.07	154.42	69.52	146.03	239.52	137.14	281.09	228.13	164.42	137.14	220.32	53.57	214.27	249.73	120.1	173.85
TAF2	325.29	193.01	211.31	214.27	214.27	145.02	183.82	205.5	209.84	143.01	121.79	185.11	204.07	237.86	127.0	198.47	258.57	57.49	241.19	232.94	353.59	157.68	297.17	209.84	70.01	125.24	255.0	193.01	148.09	201.25	107.38	87.65	285.03	215.77	172.65	148.09	339.14	239.52	224.97	142.01	258.57	152.28	191.67	241.19	256.78	194.36	166.73	239.52	148.09	82.29	224.97	260.38	176.29	307.69	182.55	236.21	81.71	242.88	123.5	135.24	264.03	265.87	105.89
TECPR2	228.13	114.36	226.54	194.36	111.99	80.01	121.79	129.69	109.66	397.93	141.02	199.85	169.07	223.41	50.63	249.73	141.02	55.1	102.97	173.85	155.5	81.71	159.9	147.06	30.34	99.43	126.12	190.34	140.04	162.14	101.54	118.43	318.57	242.88	195.72	124.37	287.01	234.57	141.02	117.6	170.25	231.32	236.21	171.45	242.88	136.19	84.04	89.51	90.14	105.15	139.07	214.27	167.9	214.27	256.78	155.5	58.3	149.12	82.87	88.26	209.84	151.22	102.25
TEX261	1378.57	1322.37	1350.18	1135.2	934.76	490.14	1350.18	1104.13	836.53	1340.84	575.03	1397.83	915.51	1594.73	603.67	1216.75	1498.22	414.87	1073.91	1304.15	1605.83	764.36	1369.04	1617.0	435.55	540.19	1208.34	1487.87	1119.56	1143.1	708.18	769.69	1304.15	1277.29	967.76	629.35	1519.15	1519.15	1015.93	759.08	1059.11	1051.79	1208.34	1119.56	1457.23	1529.73	620.67	1183.45	490.14	1044.52	902.89	1388.16	1073.91	1685.71	1059.11	1397.83	518.15	1191.69	642.59	651.58	1457.23	1059.11	525.39
TM9SF1	1447.15	1662.49	1639.59	1369.04	1617.0	688.78	1378.57	1015.93	842.36	1322.37	669.92	1561.89	848.22	1295.13	620.67	1322.37	1628.26	748.61	860.08	1259.69	1583.71	669.92	1651.0	2384.37	647.07	915.51	1388.16	1427.22	954.43	1250.98	587.13	1001.93	1594.73	1662.49	1340.84	848.22	2434.5	1963.57	808.0	860.08	785.88	1487.87	1096.5	1051.79	1709.26	1388.16	647.07	1540.37	780.44	921.88	967.76	1896.65	1286.18	1304.15	1066.48	1073.91	723.08	1378.57	738.29	860.08	1487.87	728.11	718.08
TMEM127	1208.34	1322.37	1457.23	988.12	1127.35	414.87	1322.37	1088.92	656.11	1639.59	583.07	1081.39	1037.29	1225.22	679.29	1561.89	1369.04	540.19	860.08	1127.35	1304.15	603.67	1001.93	1437.15	688.78	638.15	1066.48	1572.76	988.12	934.76	470.14	587.13	1561.89	1175.27	825.0	713.11	1896.65	1259.69	988.12	651.58	1044.52	1167.14	1096.5	1340.84	1175.27	1651.0	660.68	842.36	351.14	703.28	780.44	1378.57	890.44	1350.18	1369.04	1286.18	423.61	1277.29	563.18	836.53	1331.57	842.36	480.04
TOR1B	432.53	447.82	366.09	454.09	381.68	309.83	417.77	403.5	260.38	429.54	271.48	503.95	363.56	323.03	159.9	329.84	507.46	392.44	248.0	397.93	470.14	187.71	376.41	540.19	185.11	329.84	289.02	450.94	224.97	466.88	244.57	341.51	417.77	291.04	223.41	353.59	490.14	466.88	271.48	255.0	373.81	329.84	450.94	384.34	500.46	392.44	264.03	301.33	281.09	267.73	279.14	500.46	358.54	693.58	409.15	341.51	264.03	389.72	253.23	309.83	551.56	265.87	242.88
TOX4	2047.0	1096.5	1487.87	1183.45	1008.9	813.63	1322.37	1191.69	656.11	988.12	665.29	1023.0	796.86	1135.2	728.11	1081.39	1059.11	830.75	1044.52	988.12	1417.35	470.14	995.0	1191.69	1167.14	974.5	1286.18	1096.5	967.76	1044.52	529.06	1088.92	1111.82	961.07	583.07	703.28	1923.14	1104.13	624.99	555.41	866.07	1151.06	1059.11	669.92	1030.12	1175.27	612.11	928.3	791.35	713.11	802.41	1572.76	688.78	1059.11	1208.34	981.29	511.0	1259.69	656.11	981.29	1088.92	642.59	928.3
TRIM26	1037.29	947.83	1313.23	915.51	878.17	470.14	1051.79	830.75	703.28	1104.13	493.56	902.89	836.53	1073.91	547.75	866.07	1044.52	651.58	866.07	854.13	934.76	540.19	947.83	1015.93	679.29	599.49	660.68	1044.52	693.58	791.35	426.57	583.07	988.12	1073.91	660.68	684.02	1250.98	988.12	796.86	521.76	842.36	728.11	872.1	961.07	947.83	1037.29	397.93	988.12	583.07	819.3	842.36	1225.22	928.3	796.86	988.12	1111.82	629.35	909.17	629.35	638.15	836.53	791.35	738.29
TRIM35	297.17	334.46	279.14	265.87	264.03	118.43	334.46	251.48	295.11	343.89	190.34	212.78	175.07	295.11	81.71	226.54	379.04	90.77	217.27	293.07	260.38	76.17	277.2	329.84	38.95	100.83	191.67	258.57	246.28	237.86	134.3	182.55	289.02	314.17	134.3	162.14	341.51	379.04	136.19	96.68	346.29	181.28	275.28	387.02	277.2	356.05	97.36	204.07	82.87	267.73	248.0	329.84	264.03	432.53	221.86	301.33	94.01	258.57	150.17	165.57	353.59	217.27	113.56
TRMT5	155.5	126.12	61.25	122.64	149.12	73.54	162.14	136.19	132.44	111.21	36.79	241.19	108.14	153.34	65.72	155.5	154.42	37.59	161.02	147.06	171.45	71.0	159.9	119.26	30.34	98.04	167.9	182.55	127.89	123.5	57.08	67.12	151.22	162.14	73.03	62.12	214.27	163.28	97.36	61.68	117.6	102.25	178.77	159.9	127.89	143.01	56.28	132.44	47.84	55.1	68.07	140.04	186.4	206.94	109.66	88.26	60.82	144.01	74.58	58.3	169.07	106.63	50.63
TSPYL5	389.72	395.18	412.0	139.07	218.79	26.47	441.64	151.22	301.33	629.35	59.13	438.59	202.66	723.08	47.5	231.32	785.88	18.16	255.0	234.57	376.41	57.89	253.23	264.03	14.56	46.84	514.56	674.59	157.68	220.32	31.45	60.39	738.29	518.15	38.12	37.32	591.22	327.56	128.79	76.71	309.83	155.5	348.71	262.2	529.06	217.27	80.57	420.68	22.43	72.01	140.04	543.96	149.12	400.71	536.45	463.65	32.36	414.87	57.89	73.03	480.04	182.55	36.79
TTC27	244.57	206.94	218.79	169.07	226.54	120.1	211.31	144.01	244.57	164.42	116.78	264.03	201.25	237.86	93.35	161.02	197.09	59.13	199.85	220.32	348.71	139.07	211.31	283.05	41.22	120.94	241.19	239.52	201.25	262.2	123.5	130.6	262.2	265.87	172.65	105.15	305.55	194.36	153.34	108.9	194.36	239.52	161.02	199.85	211.31	237.86	76.71	237.86	132.44	198.47	152.28	283.05	211.31	277.2	223.41	186.4	147.06	215.77	116.78	87.03	204.07	171.45	127.89
TTI1	190.34	301.33	297.17	260.38	202.66	182.55	273.37	267.73	264.03	195.72	131.51	237.86	206.94	265.87	105.15	153.34	221.86	115.97	314.17	231.32	384.34	140.04	242.88	316.37	61.68	154.42	320.8	273.37	251.48	275.28	166.73	154.42	244.57	264.03	88.88	136.19	366.09	299.25	218.79	103.69	182.55	223.41	231.32	215.77	224.97	221.86	103.69	239.52	121.79	177.53	182.55	397.93	260.38	312.0	269.6	271.48	137.14	314.17	159.9	108.9	277.2	138.1	102.97
TTLL11	121.79	63.45	129.69	85.22	97.36	36.27	142.01	87.65	60.82	102.97	129.69	110.43	82.29	121.79	28.24	87.03	152.28	120.1	56.68	105.15	129.69	43.32	161.02	165.57	23.59	64.34	70.01	112.77	78.34	122.64	63.45	76.17	169.07	158.79	52.08	128.79	175.07	208.38	69.52	55.1	89.51	108.9	114.36	102.25	147.06	107.38	51.35	64.8	70.51	121.79	85.82	175.07	102.25	125.24	90.14	127.89	45.85	154.42	38.4	50.63	116.78	78.34	54.72
UBE4A	497.0	275.28	384.34	363.56	305.55	142.01	441.64	414.87	287.01	368.65	189.02	463.65	249.73	406.31	144.01	400.71	466.88	127.0	432.53	476.71	532.74	163.28	441.64	384.34	113.56	156.59	480.04	255.0	231.32	392.44	226.54	267.73	480.04	412.0	175.07	339.14	441.64	454.09	214.27	100.13	312.0	309.83	466.88	441.64	412.0	376.41	162.14	201.25	215.77	156.59	295.11	559.28	327.56	759.08	454.09	417.77	82.87	395.18	211.31	178.77	543.96	255.0	147.06
UBQLN2	902.89	647.07	775.05	620.67	796.86	246.28	780.44	454.09	420.68	476.71	336.79	543.96	438.59	769.69	518.15	490.14	629.35	265.87	629.35	521.76	1340.84	291.04	540.19	915.51	356.05	497.0	860.08	620.67	503.95	642.59	346.29	633.73	743.43	616.37	309.83	497.0	866.07	633.73	432.53	334.46	473.41	713.11	753.83	379.04	521.76	500.46	358.54	444.72	603.67	400.71	373.81	1437.15	511.0	1191.69	780.44	521.76	376.41	708.18	403.5	497.0	941.27	403.5	454.09
UCHL5	595.34	438.59	303.44	400.71	341.51	221.86	406.31	420.68	397.93	409.15	287.01	555.41	363.56	336.79	234.57	297.17	486.75	163.28	361.04	371.22	764.36	239.52	463.65	460.44	128.79	318.57	638.15	435.55	381.68	373.81	332.14	256.78	457.25	412.0	403.5	339.14	633.73	426.57	346.29	244.57	361.04	353.59	392.44	392.44	403.5	363.56	260.38	414.87	301.33	279.14	358.54	395.18	299.25	466.88	320.8	493.56	336.79	638.15	237.86	343.89	447.82	289.02	248.0
UEVLD	316.37	253.23	202.66	258.57	164.42	134.3	305.55	221.86	181.28	251.48	194.36	346.29	82.87	209.84	253.23	218.79	403.5	100.83	208.38	198.47	403.5	177.53	223.41	285.03	102.97	156.59	287.01	236.21	195.72	193.01	209.84	212.78	381.68	293.07	299.25	248.0	373.81	289.02	173.85	161.02	212.78	224.97	320.8	178.77	173.85	178.77	197.09	279.14	265.87	107.38	271.48	323.03	178.77	470.14	248.0	309.83	132.44	305.55	128.79	157.68	389.72	212.78	129.69
USO1	1757.34	1369.04	1225.22	1313.23	733.19	674.59	1378.57	1322.37	1242.34	872.1	947.83	1477.58	1008.9	1111.82	518.15	1119.56	1397.83	633.73	1457.23	1268.46	2224.63	733.19	1529.73	1991.0	253.23	1151.06	1540.37	802.41	785.88	1159.07	830.75	1096.5	1081.39	1508.65	1015.93	1331.57	1096.5	1561.89	1037.29	624.99	1225.22	1073.91	1151.06	1167.14	1044.52	1008.9	775.05	1340.84	1111.82	921.88	1721.16	1909.85	902.89	1427.22	1051.79	1340.84	813.63	1832.01	1127.35	698.41	1369.04	764.36	785.88
UTP14C	273.37	341.51	332.14	239.52	291.04	84.04	329.84	255.0	232.94	265.87	131.51	356.05	209.84	314.17	98.73	223.41	426.57	78.34	251.48	236.21	423.61	94.01	329.84	358.54	67.12	111.21	351.14	232.94	169.07	301.33	96.01	145.02	339.14	305.55	126.12	177.53	379.04	366.09	117.6	92.05	206.94	246.28	281.09	258.57	285.03	262.2	92.05	251.48	149.12	163.28	220.32	387.02	244.57	441.64	242.88	265.87	106.63	329.84	95.34	122.64	473.41	147.06	82.29
WDR3	346.29	189.02	229.72	162.14	183.82	142.01	182.55	218.79	139.07	193.01	66.18	224.97	103.69	164.42	105.89	195.72	241.19	72.01	151.22	181.28	334.46	63.89	281.09	316.37	28.04	126.12	206.94	223.41	147.06	173.85	66.18	120.1	244.57	249.73	140.04	100.83	718.08	281.09	109.66	75.11	153.34	197.09	126.12	175.07	209.84	343.89	50.63	139.07	53.95	84.63	170.25	256.78	171.45	256.78	178.77	206.94	46.84	341.51	60.82	118.43	204.07	91.41	88.88
WDR35	119.26	118.43	108.14	111.99	127.89	45.21	143.01	114.36	105.15	96.01	49.91	123.5	82.29	148.09	44.25	81.71	114.36	35.25	127.0	93.35	226.54	56.28	146.03	105.15	18.43	38.12	191.67	102.97	109.66	177.53	53.57	92.05	208.38	181.28	84.63	70.01	181.28	198.47	90.77	42.11	105.89	169.07	125.24	110.43	141.02	100.13	32.13	112.77	46.5	84.63	92.7	120.94	103.69	166.73	88.88	115.16	57.89	125.24	42.71	46.5	182.55	84.04	48.87
