	TCGA.JY.A93D.01A.11R.A38D.31	TCGA.B0.5096.01A.01R.1420.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.55.1592.01A.01R.0946.07	TCGA.05.4410.01A.21R.1858.07	TCGA.55.7727.01A.11R.2170.07	TCGA.55.7724.01A.11R.2170.07	TCGA.44.6778.01A.11R.1858.07	TCGA.66.2742.01A.01R.0980.07	TCGA.66.2773.01A.01R.1201.07	TCGA.21.1071.01A.01R.0692.07	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.EM.A22L.01A.11R.A180.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.BJ.A4O9.01A.11R.A250.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.L6.A4EQ.01A.11R.A250.07	TCGA.ET.A25L.01A.11R.A16R.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V6.01A.11R.A22U.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EL.A3H4.01A.11R.A206.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.BJ.A18Z.01A.21R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.BJ.A28S.01A.11R.A19O.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.EL.A3CM.01A.11R.A19O.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A3SZ.01A.11R.A22U.07	GTEX.WHPG.0226.SM.3NMB9	GTEX.Y5V6.0526.SM.4VBRV	GTEX.WHSE.0626.SM.4RGNF	GTEX.139YR.1226.SM.5IFEU	GTEX.R55C.0626.SM.2TF4Q	GTEX.V955.0426.SM.3GAEL	GTEX.QLQ7.0726.SM.2I5G2
PPP4R2	518.15	848.22	100.83	136.19	529.06	703.28	796.86	759.08	679.29	529.06	591.22	921.88	414.87	500.46	463.65	444.72	356.05	420.68	624.99	346.29	511.0	417.77	371.22	358.54	332.14	242.88	381.68	361.04	305.55	384.34	543.96	368.65	447.82	432.53	395.18	591.22	336.79	269.6	403.5	373.81	400.71	400.71	303.44	392.44	441.64	518.15	483.38	376.41	336.79	309.83	381.68	497.0	361.04	463.65	397.93	320.8	514.56	376.41	414.87	575.03	486.75	309.83	346.29	438.59	563.18	463.65	521.76	403.5	420.68	316.37	351.14	466.88	470.14	708.18	473.41	381.68	447.82	423.61	454.09	287.01	406.31	435.55	567.1	420.68	332.14	384.34	438.59	595.34	603.67	981.29	753.83	688.78	575.03	791.35
PRKAA1	1096.5	813.63	108.14	149.12	1250.98	1023.0	1757.34	1119.56	981.29	854.13	684.02	842.36	497.0	457.25	547.75	381.68	305.55	591.22	842.36	289.02	518.15	454.09	400.71	267.73	318.57	215.77	599.49	395.18	312.0	555.41	514.56	412.0	389.72	563.18	450.94	483.38	575.03	208.38	470.14	376.41	551.56	503.95	251.48	371.22	547.75	708.18	555.41	332.14	450.94	353.59	438.59	470.14	389.72	486.75	379.04	341.51	647.07	470.14	536.45	995.0	389.72	248.0	450.94	444.72	595.34	511.0	583.07	447.82	444.72	334.46	316.37	507.46	647.07	759.08	583.07	414.87	493.56	599.49	497.0	293.07	718.08	500.46	629.35	441.64	356.05	473.41	420.68	743.43	723.08	607.87	896.64	1304.15	764.36	981.29
RAB3GAP2	432.53	612.11	36.01	46.84	381.68	309.83	423.61	379.04	420.68	334.46	312.0	376.41	251.48	293.07	212.78	185.11	186.4	223.41	253.23	144.01	256.78	234.57	208.38	204.07	176.29	124.37	273.37	182.55	167.9	251.48	248.0	189.02	187.71	279.14	218.79	232.94	224.97	127.0	209.84	195.72	285.03	226.54	163.28	181.28	249.73	277.2	234.57	172.65	175.07	164.42	190.34	251.48	223.41	232.94	169.07	136.19	262.2	189.02	231.32	334.46	249.73	161.02	187.71	229.72	248.0	258.57	312.0	206.94	223.41	164.42	199.85	239.52	224.97	376.41	329.84	198.47	199.85	262.2	287.01	156.59	223.41	249.73	287.01	258.57	199.85	197.09	221.86	262.2	299.25	366.09	295.11	356.05	339.14	323.03
RABL3	283.05	473.41	126.12	131.51	269.6	473.41	463.65	518.15	358.54	518.15	450.94	633.73	228.13	260.38	202.66	256.78	264.03	255.0	457.25	211.31	224.97	224.97	189.02	178.77	185.11	166.73	232.94	242.88	185.11	363.56	281.09	212.78	156.59	214.27	217.27	316.37	221.86	178.77	204.07	175.07	389.72	289.02	214.27	220.32	237.86	289.02	241.19	215.77	141.02	128.79	218.79	275.28	175.07	256.78	198.47	218.79	204.07	224.97	197.09	305.55	293.07	198.47	182.55	198.47	273.37	232.94	253.23	164.42	231.32	147.06	185.11	249.73	255.0	403.5	224.97	201.25	197.09	234.57	265.87	138.1	297.17	209.84	293.07	204.07	215.77	205.5	224.97	595.34	629.35	368.65	500.46	728.11	500.46	486.75
RBM12	728.11	775.05	146.03	246.28	616.37	928.3	802.41	780.44	995.0	909.17	651.58	813.63	397.93	267.73	320.8	334.46	291.04	463.65	507.46	285.03	435.55	363.56	281.09	277.2	229.72	190.34	232.94	303.44	151.22	312.0	563.18	232.94	267.73	559.28	414.87	258.57	493.56	195.72	429.54	204.07	269.6	403.5	236.21	368.65	473.41	753.83	285.03	220.32	205.5	193.01	297.17	441.64	320.8	406.31	264.03	255.0	320.8	381.68	249.73	579.04	353.59	301.33	255.0	361.04	486.75	414.87	303.44	271.48	387.02	197.09	226.54	343.89	327.56	612.11	387.02	318.57	303.44	392.44	441.64	186.4	493.56	423.61	688.78	295.11	169.07	373.81	403.5	647.07	454.09	457.25	612.11	854.13	583.07	1350.18
RBM12B	285.03	220.32	29.48	50.27	205.5	181.28	332.14	267.73	368.65	198.47	181.28	209.84	137.14	94.01	98.04	107.38	81.71	112.77	154.42	56.68	116.78	100.13	76.17	83.45	47.84	39.5	89.51	67.12	58.3	101.54	144.01	93.35	80.57	170.25	99.43	88.88	115.97	57.08	115.97	79.45	93.35	166.73	59.97	88.88	119.26	163.28	97.36	55.49	61.68	51.35	87.65	131.51	90.77	119.26	73.03	74.06	139.07	105.15	89.51	120.1	101.54	71.5	70.51	92.05	145.02	104.42	127.0	94.67	105.89	54.33	59.97	90.14	92.7	264.03	123.5	88.26	105.15	123.5	120.94	61.25	144.01	99.43	145.02	92.05	53.19	101.54	96.68	273.37	195.72	181.28	332.14	334.46	314.17	215.77
RIF1	295.11	215.77	8.51	34.75	234.57	193.01	251.48	269.6	318.57	201.25	217.27	312.0	104.42	84.63	96.68	118.43	79.45	109.66	190.34	70.01	127.0	92.7	90.77	94.67	67.12	37.32	127.0	116.78	62.12	123.5	133.36	75.64	84.63	152.28	102.97	137.14	130.6	72.52	102.97	87.65	147.06	138.1	74.06	84.04	127.89	182.55	97.36	57.49	82.29	62.56	102.25	138.1	96.01	109.66	80.57	79.45	122.64	87.65	58.71	193.01	95.34	67.59	88.88	105.15	147.06	124.37	111.99	92.7	107.38	73.03	75.64	104.42	108.9	239.52	100.13	92.7	111.21	111.99	136.19	74.06	105.15	137.14	163.28	98.04	51.35	88.26	92.05	142.01	141.02	232.94	218.79	241.19	151.22	234.57
SCYL3	229.72	376.41	54.72	96.01	212.78	226.54	289.02	197.09	197.09	336.79	185.11	182.55	162.14	114.36	143.01	159.9	87.03	178.77	154.42	142.01	170.25	161.02	158.79	163.28	132.44	97.36	105.89	137.14	140.04	129.69	176.29	134.3	169.07	198.47	157.68	118.43	193.01	151.22	161.02	166.73	127.89	211.31	137.14	132.44	147.06	156.59	126.12	93.35	118.43	116.78	139.07	189.02	175.07	173.85	157.68	137.14	197.09	186.4	75.64	130.6	159.9	116.78	175.07	139.07	180.02	217.27	102.25	147.06	154.42	102.97	135.24	159.9	111.99	264.03	204.07	180.02	161.02	209.84	178.77	115.97	170.25	164.42	151.22	190.34	66.18	143.01	151.22	236.21	212.78	113.56	273.37	260.38	384.34	186.4
SDE2	289.02	559.28	103.69	82.29	387.02	406.31	426.57	389.72	607.87	483.38	334.46	381.68	221.86	193.01	187.71	182.55	150.17	246.28	223.41	111.99	201.25	161.02	193.01	163.28	108.9	66.65	183.82	148.09	140.04	211.31	273.37	158.79	170.25	229.72	176.29	226.54	145.02	111.21	181.28	166.73	205.5	218.79	118.43	154.42	209.84	208.38	211.31	128.79	120.94	115.16	172.65	209.84	193.01	202.66	166.73	129.69	241.19	165.57	171.45	212.78	198.47	109.66	163.28	178.77	211.31	221.86	218.79	149.12	167.9	133.36	156.59	171.45	195.72	217.27	303.44	191.67	159.9	237.86	226.54	98.04	206.94	226.54	293.07	246.28	144.01	189.02	176.29	277.2	275.28	371.22	336.79	309.83	258.57	363.56
SEC23IP	420.68	633.73	185.11	217.27	507.46	403.5	703.28	693.58	616.37	769.69	395.18	514.56	332.14	376.41	373.81	348.71	293.07	387.02	559.28	323.03	423.61	387.02	307.69	305.55	275.28	267.73	397.93	387.02	241.19	358.54	429.54	273.37	283.05	389.72	395.18	341.51	343.89	231.32	387.02	295.11	336.79	358.54	273.37	309.83	400.71	447.82	334.46	358.54	242.88	209.84	343.89	379.04	299.25	389.72	291.04	258.57	429.54	318.57	279.14	529.06	305.55	258.57	307.69	336.79	409.15	363.56	511.0	301.33	334.46	258.57	277.2	373.81	414.87	466.88	384.34	307.69	336.79	381.68	361.04	265.87	432.53	389.72	444.72	307.69	199.85	356.05	392.44	457.25	435.55	525.39	457.25	624.99	493.56	669.92
SNX6	1216.75	2485.67	450.94	674.59	1322.37	1605.83	2976.74	2591.27	1572.76	1936.53	1277.29	1417.35	775.05	884.29	896.64	764.36	1427.22	967.76	825.0	878.17	947.83	896.64	819.3	764.36	764.36	583.07	854.13	872.1	723.08	842.36	878.17	599.49	733.19	915.51	915.51	884.29	733.19	688.78	764.36	679.29	902.89	981.29	769.69	780.44	842.36	1104.13	808.0	624.99	780.44	780.44	753.83	941.27	902.89	860.08	718.08	733.19	836.53	890.44	775.05	1096.5	961.07	909.17	759.08	928.3	954.43	1015.93	684.02	775.05	819.3	723.08	759.08	1151.06	1044.52	1175.27	995.0	825.0	665.29	947.83	759.08	665.29	836.53	947.83	961.07	884.29	915.51	813.63	947.83	1111.82	1015.93	830.75	1662.49	921.88	1286.18	1199.98
SP3	1127.35	1135.2	135.24	297.17	1044.52	1167.14	1331.57	1286.18	1119.56	1001.93	928.3	1233.75	674.59	624.99	665.29	638.15	571.05	698.41	718.08	435.55	718.08	620.67	629.35	651.58	470.14	309.83	551.56	571.05	463.65	591.22	723.08	529.06	633.73	638.15	540.19	629.35	616.37	483.38	599.49	595.34	669.92	764.36	547.75	507.46	583.07	669.92	651.58	426.57	463.65	406.31	629.35	802.41	599.49	723.08	571.05	493.56	780.44	511.0	420.68	703.28	748.61	493.56	551.56	698.41	688.78	775.05	543.96	607.87	603.67	476.71	543.96	647.07	693.58	866.07	708.18	559.28	780.44	660.68	688.78	417.77	688.78	723.08	775.05	575.03	392.44	575.03	583.07	1066.48	947.83	854.13	1417.35	1135.2	1159.07	981.29
SPOPL	262.2	269.6	31.22	73.03	209.84	332.14	363.56	255.0	285.03	176.29	191.67	246.28	166.73	97.36	141.02	128.79	100.83	156.59	172.65	107.38	170.25	145.02	146.03	163.28	82.29	55.49	98.04	138.1	92.05	129.69	198.47	108.9	135.24	190.34	115.97	175.07	140.04	91.41	172.65	133.36	139.07	141.02	104.42	119.26	157.68	189.02	127.0	92.7	84.04	85.82	118.43	185.11	144.01	172.65	127.0	87.03	181.28	122.64	85.22	226.54	169.07	84.04	126.12	166.73	182.55	176.29	118.43	126.12	148.09	108.14	125.24	153.34	141.02	255.0	151.22	132.44	106.63	180.02	180.02	88.26	138.1	182.55	218.79	148.09	84.04	147.06	134.3	144.01	177.53	214.27	191.67	185.11	180.02	158.79
SPTY2D1	215.77	363.56	39.5	102.25	325.29	217.27	283.05	262.2	356.05	171.45	152.28	177.53	139.07	172.65	137.14	146.03	98.04	167.9	211.31	105.89	165.57	138.1	114.36	114.36	84.63	64.34	133.36	108.14	85.82	126.12	178.77	101.54	122.64	165.57	133.36	156.59	120.94	69.03	141.02	102.25	137.14	139.07	93.35	129.69	181.28	195.72	144.01	122.64	102.25	84.04	121.79	144.01	115.16	128.79	102.97	80.01	158.79	115.16	126.12	248.0	147.06	99.43	103.69	133.36	165.57	150.17	99.43	111.21	151.22	83.45	100.13	151.22	129.69	269.6	120.1	122.64	116.78	148.09	158.79	78.89	154.42	143.01	248.0	125.24	102.25	116.78	132.44	320.8	291.04	208.38	343.89	289.02	220.32	466.88
STAM2	305.55	454.09	39.5	73.54	703.28	307.69	371.22	463.65	351.14	332.14	339.14	320.8	178.77	187.71	239.52	197.09	165.57	251.48	291.04	163.28	255.0	209.84	189.02	186.4	154.42	117.6	202.66	186.4	183.82	248.0	271.48	183.82	206.94	241.19	214.27	232.94	221.86	147.06	194.36	166.73	249.73	293.07	162.14	191.67	231.32	269.6	231.32	151.22	185.11	153.34	199.85	236.21	187.71	239.52	178.77	166.73	211.31	178.77	140.04	361.04	241.19	148.09	181.28	206.94	275.28	246.28	189.02	229.72	244.57	176.29	178.77	211.31	281.09	381.68	244.57	172.65	198.47	283.05	237.86	149.12	242.88	241.19	277.2	215.77	139.07	191.67	202.66	351.14	368.65	239.52	348.71	417.77	339.14	660.68
STAU2	612.11	728.11	205.5	281.09	878.17	599.49	974.5	1081.39	854.13	575.03	759.08	928.3	460.44	356.05	500.46	334.46	447.82	486.75	444.72	341.51	559.28	438.59	426.57	438.59	316.37	281.09	444.72	376.41	403.5	403.5	559.28	318.57	336.79	414.87	432.53	426.57	532.74	343.89	397.93	460.44	511.0	466.88	400.71	395.18	429.54	532.74	373.81	244.57	329.84	309.83	343.89	547.75	447.82	450.94	329.84	249.73	518.15	417.77	389.72	796.86	490.14	381.68	348.71	503.95	476.71	733.19	426.57	486.75	366.09	318.57	373.81	463.65	480.04	713.11	511.0	466.88	312.0	500.46	460.44	329.84	318.57	559.28	563.18	460.44	309.83	403.5	435.55	493.56	476.71	295.11	629.35	460.44	555.41	551.56
STRN3	373.81	334.46	71.0	124.37	460.44	466.88	1216.75	567.1	441.64	346.29	287.01	426.57	267.73	299.25	248.0	218.79	237.86	289.02	400.71	187.71	255.0	236.21	197.09	204.07	175.07	115.16	289.02	220.32	165.57	287.01	309.83	232.94	249.73	251.48	242.88	334.46	205.5	171.45	246.28	242.88	323.03	275.28	173.85	212.78	279.14	295.11	283.05	191.67	205.5	151.22	248.0	275.28	262.2	275.28	269.6	194.36	303.44	229.72	279.14	325.29	277.2	163.28	190.34	260.38	271.48	262.2	414.87	249.73	264.03	206.94	191.67	264.03	323.03	397.93	248.0	197.09	262.2	244.57	301.33	121.79	281.09	232.94	379.04	251.48	209.84	256.78	242.88	325.29	353.59	395.18	356.05	420.68	392.44	435.55
SUCO	307.69	854.13	58.71	120.94	629.35	607.87	703.28	395.18	713.11	679.29	356.05	511.0	212.78	287.01	293.07	248.0	191.67	305.55	412.0	236.21	305.55	267.73	265.87	221.86	239.52	142.01	269.6	231.32	190.34	248.0	363.56	217.27	190.34	387.02	291.04	283.05	215.77	143.01	305.55	209.84	256.78	248.0	186.4	244.57	316.37	287.01	249.73	232.94	194.36	228.13	293.07	269.6	260.38	279.14	195.72	176.29	287.01	204.07	236.21	381.68	255.0	166.73	226.54	275.28	346.29	279.14	312.0	260.38	301.33	224.97	176.29	329.84	351.14	376.41	435.55	223.41	241.19	303.44	265.87	153.34	231.32	232.94	392.44	400.71	175.07	246.28	299.25	351.14	480.04	323.03	371.22	529.06	366.09	463.65
TAF1A	157.68	197.09	12.83	27.05	134.3	141.02	140.04	156.59	220.32	241.19	237.86	323.03	70.51	47.84	69.03	76.71	37.05	90.14	96.68	71.5	75.64	81.14	59.13	57.89	48.52	32.36	52.82	52.08	45.85	65.72	118.43	60.39	41.52	114.36	73.03	67.59	78.34	57.08	74.06	63.45	69.52	117.6	56.28	84.63	83.45	103.69	66.18	51.71	38.4	35.76	79.45	87.65	76.17	71.0	45.53	50.98	88.26	65.26	52.08	111.99	75.11	51.71	76.17	70.01	92.7	85.82	85.22	51.35	66.65	36.79	45.85	90.14	59.97	144.01	119.26	67.59	68.07	84.04	66.65	45.53	56.28	82.29	92.05	103.69	46.5	67.59	91.41	144.01	197.09	115.16	287.01	265.87	84.04	138.1
TAF2	476.71	336.79	36.53	50.98	379.04	343.89	503.95	412.0	480.04	420.68	400.71	403.5	212.78	190.34	156.59	143.01	177.53	218.79	255.0	120.1	186.4	171.45	156.59	140.04	100.83	114.36	221.86	169.07	109.66	199.85	236.21	163.28	134.3	189.02	173.85	202.66	221.86	105.15	172.65	144.01	199.85	220.32	116.78	147.06	204.07	242.88	183.82	117.6	135.24	105.15	180.02	202.66	159.9	178.77	140.04	124.37	194.36	189.02	185.11	305.55	176.29	120.94	170.25	182.55	202.66	205.5	226.54	181.28	158.79	119.26	143.01	185.11	157.68	251.48	186.4	173.85	177.53	209.84	185.11	129.69	183.82	208.38	226.54	143.01	161.02	187.71	194.36	277.2	202.66	244.57	249.73	361.04	201.25	332.14
TNPO1	896.64	921.88	193.01	158.79	555.41	525.39	830.75	819.3	961.07	616.37	1572.76	1674.06	476.71	567.1	376.41	363.56	327.56	518.15	785.88	305.55	490.14	438.59	346.29	309.83	279.14	267.73	547.75	403.5	309.83	457.25	591.22	351.14	303.44	511.0	412.0	532.74	518.15	206.94	490.14	334.46	629.35	432.53	305.55	387.02	525.39	620.67	583.07	299.25	285.03	267.73	361.04	507.46	368.65	493.56	334.46	265.87	563.18	412.0	366.09	796.86	493.56	341.51	351.14	432.53	559.28	417.77	607.87	312.0	473.41	256.78	293.07	500.46	486.75	866.07	490.14	435.55	387.02	470.14	497.0	297.17	507.46	480.04	633.73	435.55	314.17	417.77	412.0	934.76	866.07	1030.12	1551.09	1096.5	1111.82	1030.12
TROVE2	316.37	759.08	29.7	39.79	260.38	406.31	376.41	525.39	624.99	511.0	260.38	450.94	142.01	181.28	140.04	127.0	155.5	153.34	223.41	100.13	166.73	136.19	111.99	115.16	86.43	74.58	162.14	128.79	82.29	132.44	155.5	105.89	139.07	220.32	130.6	181.28	138.1	68.07	180.02	108.14	187.71	138.1	108.9	115.16	175.07	197.09	161.02	108.9	98.04	84.04	108.9	162.14	133.36	125.24	76.17	89.51	151.22	103.69	155.5	223.41	166.73	92.05	98.04	140.04	154.42	130.6	211.31	113.56	129.69	79.45	107.38	155.5	137.14	206.94	164.42	109.66	139.07	123.5	172.65	100.83	149.12	176.29	218.79	193.01	143.01	102.97	106.63	242.88	226.54	297.17	356.05	327.56	387.02	320.8
TWISTNB	269.6	341.51	37.05	82.29	209.84	271.48	305.55	334.46	226.54	403.5	241.19	285.03	119.26	220.32	142.01	151.22	105.15	153.34	151.22	105.15	170.25	135.24	119.26	130.6	94.01	73.03	249.73	111.99	59.55	109.66	137.14	105.89	145.02	114.36	121.79	146.03	123.5	74.06	153.34	102.25	123.5	130.6	106.63	113.56	140.04	144.01	125.24	116.78	95.34	92.05	110.43	162.14	113.56	133.36	125.24	92.05	148.09	126.12	170.25	152.28	162.14	94.67	100.13	135.24	166.73	169.07	183.82	121.79	133.36	98.73	110.43	129.69	124.37	205.5	107.38	126.12	105.15	152.28	134.3	75.64	142.01	146.03	208.38	127.0	165.57	115.16	139.07	214.27	185.11	149.12	176.29	191.67	169.07	212.78
UBE2W	334.46	525.39	150.17	206.94	463.65	387.02	629.35	575.03	435.55	400.71	500.46	444.72	211.31	170.25	256.78	190.34	209.84	312.0	316.37	260.38	301.33	255.0	244.57	165.57	220.32	163.28	161.02	221.86	224.97	246.28	295.11	175.07	198.47	220.32	256.78	307.69	208.38	123.5	253.23	202.66	242.88	242.88	186.4	190.34	307.69	241.19	242.88	224.97	204.07	201.25	241.19	248.0	265.87	224.97	208.38	171.45	277.2	214.27	218.79	351.14	281.09	117.6	232.94	189.02	312.0	279.14	176.29	242.88	215.77	182.55	198.47	327.56	346.29	323.03	327.56	202.66	177.53	273.37	217.27	173.85	206.94	269.6	305.55	253.23	148.09	234.57	279.14	251.48	307.69	346.29	368.65	309.83	327.56	303.44
UEVLD	327.56	409.15	38.4	71.0	373.81	299.25	241.19	305.55	297.17	229.72	193.01	265.87	161.02	218.79	157.68	154.42	127.89	181.28	205.5	131.51	178.77	169.07	133.36	133.36	107.38	81.71	237.86	143.01	111.21	208.38	170.25	137.14	149.12	172.65	145.02	201.25	144.01	102.97	151.22	113.56	185.11	178.77	127.0	133.36	182.55	189.02	175.07	126.12	133.36	113.56	165.57	163.28	141.02	152.28	123.5	124.37	157.68	131.51	136.19	202.66	209.84	100.83	163.28	159.9	178.77	151.22	146.03	109.66	140.04	113.56	150.17	191.67	167.9	258.57	166.73	154.42	144.01	181.28	158.79	119.26	162.14	149.12	201.25	139.07	187.71	147.06	163.28	244.57	287.01	105.15	318.57	336.79	281.09	229.72
VBP1	947.83	1519.15	289.02	312.0	1870.53	872.1	1313.23	1313.23	1662.49	1467.37	1250.98	2351.53	738.29	1088.92	748.61	775.05	902.89	791.35	854.13	819.3	693.58	669.92	866.07	656.11	728.11	567.1	708.18	995.0	713.11	723.08	723.08	599.49	629.35	493.56	708.18	921.88	450.94	571.05	708.18	698.41	753.83	813.63	660.68	579.04	713.11	551.56	753.83	620.67	563.18	579.04	679.29	743.43	674.59	759.08	785.88	651.58	693.58	723.08	656.11	872.1	884.29	591.22	656.11	703.28	802.41	872.1	884.29	599.49	651.58	599.49	723.08	848.22	896.64	941.27	764.36	665.29	642.59	854.13	624.99	647.07	743.43	718.08	796.86	674.59	921.88	775.05	802.41	785.88	830.75	890.44	896.64	921.88	808.0	878.17
YME1L1	1350.18	1883.54	500.46	493.56	1467.37	1963.57	2193.99	1883.54	1397.83	1397.83	1519.15	1628.26	1111.82	1259.69	1015.93	974.5	1008.9	1250.98	1457.23	947.83	1143.1	1030.12	981.29	1119.56	854.13	813.63	1044.52	1127.35	802.41	1322.37	1268.46	941.27	854.13	1088.92	1111.82	1322.37	988.12	813.63	1111.82	819.3	1242.34	1023.0	909.17	1015.93	1295.13	1350.18	1175.27	1059.11	830.75	688.78	902.89	1135.2	967.76	1059.11	836.53	813.63	1104.13	988.12	830.75	1572.76	1322.37	995.0	872.1	1096.5	1242.34	1096.5	1467.37	934.76	1030.12	802.41	890.44	1159.07	1175.27	1498.22	1127.35	1008.9	915.51	1051.79	1051.79	785.88	1167.14	1111.82	1407.55	1111.82	633.73	1096.5	1151.06	1388.16	1540.37	1594.73	1572.76	1508.65	1378.57	1733.13
YTHDF3	547.75	1135.2	180.02	249.73	743.43	447.82	624.99	785.88	647.07	607.87	723.08	595.34	334.46	258.57	397.93	351.14	295.11	392.44	466.88	316.37	435.55	314.17	307.69	351.14	231.32	143.01	323.03	314.17	242.88	295.11	426.57	287.01	327.56	435.55	348.71	426.57	356.05	229.72	358.54	323.03	332.14	361.04	275.28	289.02	423.61	575.03	358.54	343.89	256.78	221.86	291.04	417.77	348.71	389.72	323.03	220.32	423.61	256.78	379.04	480.04	387.02	264.03	297.17	351.14	444.72	397.93	368.65	353.59	381.68	269.6	279.14	400.71	376.41	575.03	334.46	273.37	316.37	426.57	381.68	201.25	435.55	379.04	518.15	351.14	223.41	316.37	356.05	525.39	563.18	447.82	559.28	718.08	579.04	713.11
ZNF562	307.69	183.82	53.57	71.0	316.37	204.07	426.57	356.05	275.28	265.87	218.79	212.78	119.26	163.28	126.12	132.44	135.24	115.97	202.66	134.3	151.22	131.51	96.01	111.21	92.05	66.65	134.3	84.04	82.29	102.97	146.03	94.67	92.05	181.28	114.36	138.1	129.69	85.82	126.12	88.26	122.64	134.3	76.17	105.89	153.34	218.79	97.36	100.83	115.97	90.77	115.97	131.51	103.69	130.6	120.94	86.43	121.79	120.94	117.6	130.6	175.07	93.35	96.01	147.06	189.02	115.16	197.09	97.36	181.28	79.45	95.34	115.16	127.89	260.38	127.89	120.94	110.43	127.89	105.89	83.45	152.28	116.78	204.07	111.21	143.01	107.38	141.02	193.01	172.65	152.28	202.66	287.01	127.89	309.83
ZNF678	92.05	154.42	8.0	9.63	88.26	87.03	88.26	54.33	114.36	72.52	50.27	53.57	57.49	55.89	50.27	51.35	35.5	45.21	80.01	25.17	56.28	48.52	31.0	33.06	33.78	15.22	37.59	40.93	22.59	41.52	55.89	34.02	42.71	65.72	47.17	39.22	36.79	27.05	52.45	43.63	35.5	43.94	36.01	41.81	67.59	70.51	47.84	35.25	30.34	32.13	43.94	48.87	48.18	57.08	37.59	32.82	57.89	40.07	23.93	72.01	45.53	28.04	36.01	39.22	61.68	43.02	31.9	44.57	52.82	23.76	23.42	48.87	50.63	94.67	78.89	38.4	59.13	48.87	52.08	33.3	67.12	44.25	46.18	42.71	26.1	29.06	35.25	80.57	98.04	41.22	115.97	124.37	113.56	80.01
