	GTEX.WFON.1426.SM.4LVMT	GTEX.147F3.1926.SM.5SIB9	GTEX.X15G.1326.SM.4PQZJ	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.TML8.1326.SM.4DXTO	GTEX.13D11.0826.SM.5KLZJ	GTEX.R55D.1826.SM.48FEF	GTEX.13PL7.2526.SM.5IFGR	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XMK1.1726.SM.4B64Z	GTEX.WOFM.2026.SM.4OOSQ	GTEX.Y3IK.1826.SM.4WWDS	GTEX.Q2AH.1226.SM.48TZL	GTEX.12C56.0626.SM.5EGGC	GTEX.132NY.1226.SM.5PNVF	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.147JS.1226.SM.5RQK4	GTEX.V1D1.0826.SM.3P5ZA	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.12696.1026.SM.5FQUV	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.OHPL.0526.SM.3NM8U	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13FLV.0426.SM.5KLZA	GTEX.T6MN.0826.SM.32PM4	GTEX.P78B.0926.SM.2I5FA	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.OXRL.0526.SM.2I3EZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.SUCS.0626.SM.32PM5	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU	GTEX.QCQG.0526.SM.48U2A	GTEX.WHPG.0426.SM.4M1XW	GTEX.13U4I.2526.SM.5SI8Z	GTEX.POMQ.0826.SM.3P61H
NUDT6	339.14	387.02	249.73	224.97	185.11	255.0	191.67	283.05	341.51	301.33	303.44	444.72	205.5	341.51	42.71	128.79	125.24	87.03	77.79	53.19	89.51	170.25	94.01	72.01	59.97	136.19	181.28	29.48	26.1	38.67	171.45	87.03	14.89	146.03	166.73	41.22	33.78	136.19	136.19	139.07	43.63	75.64	156.59	155.5	199.85	151.22	41.22	32.59	23.59	98.73	44.25	69.03	44.25	157.68	121.79	201.25	43.32
PAFAH2	665.29	607.87	521.76	599.49	718.08	780.44	830.75	698.41	769.69	693.58	674.59	693.58	693.58	563.18	99.43	346.29	193.01	215.77	279.14	221.86	212.78	295.11	348.71	133.36	173.85	356.05	346.29	99.43	58.71	191.67	283.05	98.04	73.54	265.87	314.17	138.1	172.65	406.31	389.72	320.8	277.2	102.97	529.06	368.65	376.41	423.61	141.02	115.97	47.17	178.77	123.5	96.68	76.17	511.0	381.68	348.71	366.09
PANK1	363.56	559.28	299.25	368.65	525.39	493.56	563.18	616.37	457.25	314.17	318.57	463.65	450.94	486.75	23.08	92.7	28.04	37.85	56.68	42.11	61.68	54.72	92.05	58.71	60.39	35.0	74.58	7.06	19.97	10.39	72.01	17.38	6.73	115.16	48.52	14.89	23.59	102.25	127.89	25.91	17.51	20.11	61.25	71.5	89.51	100.83	41.22	12.36	9.56	48.18	32.82	10.88	15.0	336.79	111.99	102.25	151.22
PARS2	163.28	135.24	146.03	146.03	156.59	108.9	195.72	146.03	173.85	161.02	165.57	194.36	167.9	133.36	13.32	46.18	44.25	42.71	35.0	30.34	43.02	52.45	62.56	30.78	31.22	68.55	86.43	14.14	17.0	24.46	61.25	13.03	13.03	77.25	31.9	28.24	25.35	56.68	72.52	40.36	38.67	19.68	60.39	86.43	71.0	70.51	12.93	19.82	19.11	28.65	19.97	24.28	16.51	92.05	70.01	108.9	95.34
PBLD	1923.14	2255.7	1529.73	1923.14	2178.83	2271.4	2367.9	2468.49	2417.67	2104.58	2400.97	1896.65	2018.8	1950.0	18.84	162.14	126.12	52.45	94.67	121.79	78.89	109.66	94.01	96.01	55.1	123.5	209.84	94.01	60.82	113.56	361.04	75.11	33.06	68.07	193.01	120.94	65.72	74.58	417.77	170.25	211.31	63.0	145.02	176.29	73.54	61.68	101.54	105.15	41.81	122.64	103.69	126.12	206.94	1259.69	708.18	884.29	866.07
PDE4C	2739.08	967.76	3820.7	1259.69	4123.49	1331.57	3280.18	248.0	1832.01	1883.54	2664.15	2701.35	6745.86	1259.69	62.56	1407.55	100.83	73.03	334.46	361.04	228.13	389.72	480.04	185.11	49.21	208.38	209.84	69.52	81.14	81.71	29.48	214.27	35.25	43.02	46.18	60.39	158.79	1605.83	346.29	223.41	117.6	56.28	264.03	159.9	68.55	1870.53	133.36	30.78	15.68	316.37	10.71	117.6	155.5	5441.3	4358.66	759.08	4481.23
PDZD3	2573.36	1923.14	1832.01	2287.2	2271.4	2520.38	3146.52	2758.13	2835.7	1286.18	2400.97	1977.24	1870.53	1617.0	3.03	4.62	7.28	12.45	2.32	5.82	1.2	11.13	8.32	3.99	1.0	7.75	16.15	6.06	1.38	2.46	32.59	1.33	0.0	0.0	1.95	3.76	10.31	2.25	7.63	19.53	7.63	1.6	4.7	6.46	15.34	5.96	3.66	1.08	0.55	6.21	1.55	0.05	1.77	205.5	151.22	51.35	220.32
PLS1	6983.79	4736.79	6079.61	6037.61	6607.01	7966.99	8247.98	7485.11	7966.99	6207.38	6935.54	5147.73	7485.11	4358.66	220.32	256.78	325.29	201.25	366.09	166.73	112.77	339.14	514.56	258.57	80.57	141.02	255.0	120.94	193.01	74.58	128.79	33.3	48.87	341.51	63.45	71.0	74.06	397.93	743.43	185.11	1304.15	27.44	426.57	693.58	518.15	432.53	128.79	323.03	193.01	175.07	186.4	120.1	412.0	1322.37	1685.71	624.99	1001.93
PNKD	3768.09	2555.58	2664.15	3665.02	4095.0	3395.89	3372.43	3081.75	3794.3	3146.52	4358.66	5076.84	3190.46	2777.33	1467.37	2555.58	1950.0	1467.37	1819.35	1617.0	3103.19	1551.09	3212.66	1745.2	1407.55	2240.11	2351.53	1159.07	1651.0	1066.48	1388.16	1378.57	915.51	2627.46	1477.58	1467.37	1359.57	2875.3	3665.02	1857.6	2047.0	1508.65	1977.24	4066.71	2520.38	3955.48	1159.07	1044.52	607.87	2417.67	1216.75	1208.34	1359.57	3768.09	2555.58	2400.97	3212.66
PRR15L	7433.4	6745.86	8901.53	6699.25	8658.09	6983.79	10014.87	8078.22	12589.08	8022.41	9025.81	8421.31	8022.41	5913.33	146.03	603.67	271.48	221.86	1977.24	353.59	406.31	239.52	3146.52	381.68	738.29	612.11	848.22	61.25	110.43	3.76	507.46	9.48	0.0	2591.27	115.97	98.73	46.18	1175.27	5791.62	406.31	371.22	44.89	518.15	4095.0	2609.3	2956.17	65.72	248.0	21.78	902.89	486.75	273.37	122.64	1540.37	1322.37	1259.69	1388.16
PRR26	180.02	122.64	214.27	171.45	139.07	101.54	134.3	123.5	110.43	142.01	146.03	119.26	61.25	102.25	12.36	12.93	35.25	1.14	1.97	190.34	118.43	2.32	8.78	3.92	0.0	4.9	15.68	4.94	2.16	32.13	33.06	2.05	3.17	37.32	16.63	15.56	5.5	0.8	29.91	10.47	24.63	3.82	6.62	17.38	22.1	2.76	2.58	4.54	0.67	1.99	0.64	23.76	28.86	124.37	125.24	146.03	52.08
QARS	9088.59	7857.29	6381.92	7537.18	7230.1	7180.15	8421.31	7331.05	8363.13	7911.95	9540.5	8022.41	6792.79	8963.45	1936.53	5147.73	5006.93	3614.55	2502.97	3515.68	5672.41	5329.3	4639.29	2739.08	3146.52	5672.41	5913.33	2645.74	1909.85	1963.57	5479.15	3103.19	2664.15	4607.24	4575.41	2935.74	2468.49	4181.07	4937.99	6207.38	3515.68	4736.79	3955.48	4671.57	3928.15	5711.87	2758.13	1819.35	1175.27	4869.99	2915.45	2816.11	2976.74	4671.57	4298.64	5633.22	4802.93
RAP1GAP	1340.84	1529.73	738.29	1037.29	2555.58	995.0	947.83	796.86	1008.9	1104.13	1359.57	1208.34	447.82	1233.75	384.34	1119.56	890.44	575.03	753.83	269.6	854.13	275.28	1628.26	463.65	381.68	361.04	693.58	429.54	226.54	133.36	291.04	121.79	106.63	1081.39	186.4	239.52	78.89	1023.0	3928.15	1111.82	1096.5	163.28	154.42	1697.45	1340.84	2047.0	323.03	217.27	64.8	1467.37	660.68	387.02	872.1	1044.52	457.25	902.89	988.12
RBBP8NL	148.09	115.97	137.14	154.42	218.79	175.07	182.55	101.54	201.25	135.24	159.9	255.0	148.09	108.9	3.08	37.59	9.48	3.89	14.03	18.56	17.38	11.3	17.0	3.89	3.76	17.51	50.27	6.16	8.13	2.41	11.64	3.86	0.0	3.14	3.03	0.0	2.36	41.22	29.27	11.13	6.84	2.39	25.35	29.91	11.91	15.91	2.39	0.0	0.0	2.48	0.0	2.46	3.29	105.15	39.22	163.28	122.64
RBM47	3168.41	2835.7	3168.41	2609.3	3614.55	4010.71	4239.45	3982.99	3589.58	3716.2	3794.3	3060.45	3589.58	2627.46	559.28	974.5	842.36	1819.35	830.75	514.56	656.11	595.34	1023.0	389.72	642.59	860.08	802.41	351.14	674.59	587.13	514.56	265.87	339.14	1096.5	341.51	460.44	366.09	1417.35	2018.8	633.73	1709.26	743.43	651.58	1208.34	1322.37	1427.22	563.18	511.0	599.49	466.88	698.41	656.11	878.17	1844.76	1883.54	1277.29	1594.73
REG4	2075.59	4095.0	2915.45	2367.9	37379.55	1066.48	1857.6	1721.16	2400.97	15499.21	1467.37	3467.27	4671.57	1844.76	0.0	6.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.86	0.0	31.22	4.58	2.76	2.81	0.0	8.19	0.0	1.43	0.0	0.0	0.0	0.0	24.99	12.09	0.0	0.0	2.63	6.78	1.3	0.0	0.0	2.71	10.63	0.0	2.58	0.0	0.0	81809.59	6294.04	1781.89	10225.32
RNF128	1104.13	988.12	674.59	830.75	1268.46	1340.84	1143.1	1001.93	1313.23	1030.12	1378.57	1286.18	1015.93	974.5	155.5	351.14	206.94	204.07	785.88	94.67	37.85	373.81	802.41	551.56	177.53	19.25	149.12	237.86	231.32	47.17	84.04	26.28	93.35	591.22	73.54	54.33	169.07	775.05	2875.3	444.72	476.71	172.65	1407.55	1135.2	1551.09	796.86	248.0	1066.48	323.03	100.83	511.0	111.21	62.12	738.29	529.06	343.89	426.57
RNF183	16.03	17.77	78.34	12.55	21.78	25.54	41.81	31.45	35.76	96.01	21.01	17.77	42.41	42.11	5.92	7.17	24.11	3.0	5.02	18.7	8.45	32.36	3.35	8.25	1.33	277.2	7.4	9.7	35.0	1.36	5.73	3.17	1.25	3.92	0.0	3.47	0.0	3.92	7.82	2.05	97.36	3.86	24.63	10.47	1.79	6.31	0.01	1.04	0.0	9.85	1.19	1.55	59.97	55.49	486.75	353.59	507.46
RP11-407N17.3	9.06	16.39	13.83	57.49	55.49	35.25	102.97	135.24	35.0	30.56	68.07	21.32	19.11	0.0	0.0	38.4	0.0	0.0	15.91	0.0	15.8	0.0	26.86	33.3	0.0	0.0	11.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.32	15.8	0.0	32.59	72.52	35.25	71.5	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.03	0.0	0.0	0.0	28.45	39.79	40.36	40.36
RPP25L	1378.57	1199.98	1378.57	1427.22	1769.57	1397.83	1313.23	1151.06	1407.55	1191.69	1427.22	1745.2	1313.23	1104.13	389.72	733.19	346.29	346.29	379.04	389.72	450.94	444.72	555.41	190.34	361.04	796.86	808.0	165.57	139.07	211.31	579.04	260.38	84.04	674.59	275.28	198.47	218.79	679.29	733.19	329.84	379.04	186.4	616.37	836.53	813.63	775.05	212.78	148.09	101.54	303.44	190.34	158.79	202.66	1051.79	860.08	802.41	802.41
SCAMP2	5913.33	4450.27	4607.24	5183.54	5183.54	6164.49	5292.48	5006.93	5633.22	5366.37	6337.83	4639.29	5672.41	4769.75	2573.36	2335.28	2061.24	1551.09	3665.02	2075.59	1991.0	2163.77	3768.09	1583.71	2384.37	2224.63	3168.41	1477.58	1529.73	1832.01	2520.38	1183.45	1628.26	3614.55	1733.13	1605.83	1605.83	2351.53	3794.3	1923.14	1857.6	1605.83	2645.74	3794.3	4095.0	3901.01	1467.37	1923.14	1216.75	2573.36	1950.0	1757.34	1369.04	5112.16	5041.77	3614.55	5076.84
SEMA4G	2090.03	1883.54	1936.53	1909.85	2090.03	2004.85	2351.53	2451.44	2627.46	1806.78	2573.36	2163.77	1709.26	1806.78	11.91	540.19	211.31	57.89	126.12	133.36	100.13	356.05	241.19	234.57	48.87	88.88	264.03	73.54	239.52	47.5	62.56	62.12	48.18	99.43	49.56	35.25	153.34	371.22	218.79	325.29	115.16	166.73	500.46	241.19	119.26	341.51	176.29	95.34	41.81	57.89	229.72	87.03	111.21	1001.93	780.44	595.34	813.63
SH3BGRL2	1794.29	1769.57	1216.75	1628.26	1896.65	2163.77	1721.16	1721.16	1733.13	1594.73	1977.24	1529.73	1709.26	1617.0	87.65	151.22	403.5	71.5	389.72	194.36	215.77	403.5	587.13	447.82	105.89	114.36	1259.69	45.21	215.77	51.71	1870.53	90.14	41.52	764.36	87.65	146.03	194.36	231.32	860.08	275.28	426.57	96.01	432.53	967.76	595.34	361.04	55.49	120.1	198.47	303.44	91.41	890.44	334.46	1806.78	1457.23	1104.13	1259.69
SHPK	226.54	242.88	231.32	309.83	307.69	273.37	348.71	305.55	361.04	325.29	283.05	307.69	249.73	277.2	100.13	193.01	150.17	82.87	116.78	144.01	190.34	249.73	195.72	110.43	122.64	209.84	166.73	80.57	71.0	60.82	241.19	98.73	52.82	178.77	106.63	64.34	80.01	140.04	182.55	141.02	115.97	121.79	111.99	206.94	183.82	260.38	94.67	48.87	47.5	117.6	81.71	93.35	99.43	483.38	256.78	314.17	285.03
SIGMAR1	1594.73	1295.13	2271.4	1519.15	1617.0	1378.57	1359.57	1191.69	1407.55	1857.6	1008.9	1857.6	1685.71	1295.13	1088.92	669.92	441.64	698.41	775.05	728.11	902.89	808.0	890.44	483.38	733.19	921.88	928.3	392.44	381.68	599.49	1167.14	603.67	199.85	1277.29	633.73	511.0	587.13	791.35	1008.9	688.78	507.46	400.71	808.0	1051.79	1233.75	1044.52	466.88	400.71	217.27	551.56	470.14	511.0	400.71	2502.97	2075.59	1551.09	2133.97
SLC25A10	2163.77	1651.0	1769.57	1628.26	2400.97	2133.97	2193.99	1806.78	1896.65	1950.0	1870.53	2502.97	1721.16	1819.35	117.6	190.34	265.87	86.43	111.21	291.04	178.77	197.09	260.38	67.59	114.36	229.72	366.09	75.64	126.12	102.97	229.72	89.51	58.3	228.13	87.03	77.79	77.79	231.32	420.68	163.28	417.77	62.12	208.38	275.28	223.41	305.55	74.58	37.85	40.93	106.63	66.18	40.36	151.22	842.36	718.08	796.86	775.05
SLC26A6	2627.46	1936.53	1794.29	2193.99	2303.12	2303.12	2178.83	2384.37	2573.36	1322.37	2417.67	1819.35	2061.24	1950.0	147.06	211.31	194.36	253.23	217.27	189.02	289.02	332.14	156.59	363.56	384.34	218.79	256.78	170.25	591.22	178.77	244.57	406.31	599.49	136.19	215.77	165.57	267.73	217.27	194.36	197.09	96.68	406.31	199.85	132.44	90.14	208.38	450.94	144.01	406.31	178.77	217.27	271.48	140.04	521.76	269.6	647.07	503.95
SLC29A2	529.06	463.65	547.75	389.72	454.09	417.77	595.34	441.64	521.76	521.76	403.5	497.0	466.88	525.39	149.12	363.56	112.77	105.15	226.54	157.68	82.87	161.02	234.57	223.41	72.01	120.94	211.31	58.71	178.77	45.21	75.11	58.71	55.49	285.03	141.02	56.28	76.17	316.37	368.65	139.07	126.12	94.67	111.21	217.27	281.09	441.64	111.21	54.33	48.52	109.66	90.77	66.18	100.13	363.56	269.6	232.94	323.03
SLC37A1	1477.58	1216.75	1378.57	1551.09	1183.45	1639.59	2163.77	2119.22	1350.18	1617.0	1757.34	954.43	1572.76	1447.15	150.17	698.41	1183.45	503.95	387.02	836.53	204.07	381.68	981.29	587.13	295.11	279.14	603.67	269.6	915.51	389.72	343.89	432.53	285.03	273.37	204.07	273.37	423.61	486.75	825.0	595.34	1233.75	356.05	536.45	988.12	688.78	629.35	381.68	500.46	100.13	583.07	435.55	176.29	599.49	1427.22	2193.99	1119.56	2090.03
SLC37A4	1909.85	1498.22	1225.22	1628.26	1304.15	1359.57	1268.46	1286.18	1540.37	1331.57	1819.35	1529.73	1487.87	1745.2	256.78	679.29	293.07	312.0	414.87	351.14	426.57	563.18	460.44	348.71	376.41	571.05	607.87	208.38	241.19	131.51	447.82	329.84	135.24	389.72	387.02	161.02	318.57	579.04	480.04	429.54	269.6	379.04	514.56	414.87	684.02	559.28	232.94	195.72	92.05	318.57	316.37	177.53	185.11	669.92	547.75	651.58	764.36
SLC44A3	1896.65	1769.57	1037.29	1340.84	1651.0	1359.57	1427.22	1487.87	1745.2	1697.45	1551.09	2018.8	1359.57	1561.89	162.14	163.28	332.14	454.09	400.71	85.82	143.01	438.59	599.49	441.64	305.55	105.15	244.57	251.48	483.38	142.01	59.97	91.41	84.04	275.28	162.14	189.02	339.14	417.77	429.54	878.17	872.1	171.45	579.04	660.68	780.44	305.55	463.65	603.67	182.55	470.14	318.57	189.02	237.86	591.22	358.54	406.31	426.57
SLC44A4	22535.88	16496.96	22225.61	19348.38	17558.94	21768.19	25179.16	22692.63	21468.49	21320.18	19348.38	16727.26	21919.61	18431.96	457.25	1059.11	11112.3	387.02	255.0	4543.8	1883.54	4268.94	1519.15	368.65	55.89	3589.58	10225.32	723.08	7857.29	753.83	1651.0	115.16	88.88	361.04	85.82	1135.2	36.53	1059.11	4450.27	1119.56	44145.15	171.45	3395.89	1529.73	412.0	2178.83	73.54	126.12	37.05	1015.93	137.14	77.25	11664.82	3103.19	3467.27	2018.8	2997.45
SLC5A1	1295.13	651.58	1199.98	941.27	529.06	1427.22	1583.71	1397.83	624.99	1030.12	638.15	450.94	669.92	819.3	147.06	109.66	167.9	29.91	384.34	69.03	2.41	92.7	351.14	122.64	69.52	4.1	37.32	92.7	53.19	85.82	37.32	15.22	93.35	65.72	15.34	4.39	237.86	26.67	392.44	236.21	738.29	16.39	775.05	358.54	878.17	55.49	30.34	974.5	55.89	13.72	143.01	100.83	713.11	314.17	1844.76	2976.74	1487.87
SPHK2	718.08	684.02	733.19	718.08	947.83	599.49	1304.15	941.27	1001.93	738.29	884.29	1030.12	743.43	642.59	121.79	244.57	133.36	95.34	258.57	228.13	195.72	199.85	353.59	133.36	137.14	325.29	420.68	77.79	95.34	88.88	334.46	120.94	51.71	351.14	166.73	102.25	147.06	246.28	454.09	150.17	124.37	124.37	228.13	486.75	242.88	454.09	118.43	60.82	77.79	144.01	101.54	100.83	102.97	860.08	373.81	332.14	444.72
ST6GALNAC1	16843.62	13306.94	6337.83	10585.95	16611.71	9409.14	11345.82	9606.86	12160.22	10733.74	14461.21	13399.51	8840.04	10368.08	140.04	173.85	1159.07	39.22	129.69	1167.14	260.38	1242.34	403.5	61.68	65.72	267.73	1378.57	55.49	323.03	85.22	796.86	94.67	54.33	397.93	68.55	197.09	41.81	497.0	2255.7	237.86	7032.37	49.21	1044.52	239.52	229.72	934.76	28.45	19.25	6.62	10.71	17.64	7.57	1081.39	2796.65	2400.97	1529.73	2287.2
TACO1	884.29	769.69	791.35	866.07	1030.12	813.63	884.29	934.76	928.3	860.08	981.29	1096.5	769.69	708.18	199.85	381.68	299.25	223.41	258.57	339.14	299.25	384.34	397.93	129.69	325.29	447.82	373.81	124.37	95.34	182.55	389.72	131.51	94.01	368.65	312.0	175.07	157.68	409.15	447.82	256.78	262.2	150.17	409.15	389.72	457.25	403.5	128.79	118.43	85.22	209.84	211.31	117.6	127.0	579.04	490.14	450.94	457.25
TEX264	2485.67	2047.0	2075.59	2367.9	2148.82	2133.97	2209.26	1857.6	2351.53	2018.8	2682.69	2758.13	1909.85	2032.85	1023.0	1896.65	1617.0	909.17	1119.56	1388.16	1508.65	1508.65	1950.0	890.44	1104.13	1923.14	2451.44	775.05	543.96	1015.93	2287.2	791.35	591.22	2004.85	1359.57	764.36	1066.48	2061.24	2119.22	1427.22	1073.91	1037.29	1697.45	2148.82	2485.67	2451.44	723.08	738.29	438.59	1378.57	961.07	915.51	674.59	1572.76	1286.18	1457.23	1437.15
TJP3	6935.54	5633.22	7130.55	6516.03	7803.01	8134.41	7803.01	8479.89	7695.57	6250.56	8078.22	7130.55	7230.1	6079.61	201.25	902.89	1572.76	73.03	466.88	1044.52	395.18	629.35	1359.57	759.08	125.24	928.3	1963.57	135.24	2997.45	66.18	543.96	52.45	115.16	291.04	42.11	109.66	84.04	1051.79	2193.99	854.13	3515.68	287.01	915.51	1322.37	339.14	2193.99	204.07	115.97	64.8	170.25	246.28	175.07	656.11	2104.58	2335.28	1519.15	2367.9
TMEM144	384.34	412.0	275.28	351.14	426.57	435.55	376.41	409.15	444.72	392.44	532.74	341.51	279.14	318.57	63.89	248.0	69.52	149.12	143.01	127.89	215.77	176.29	163.28	91.41	183.82	309.83	161.02	39.79	40.93	76.71	169.07	97.36	31.45	353.59	82.87	68.07	51.35	244.57	368.65	103.69	253.23	98.73	139.07	201.25	287.01	279.14	71.0	124.37	48.52	161.02	52.45	111.21	47.17	379.04	366.09	185.11	214.27
TMEM238	830.75	708.18	733.19	878.17	872.1	775.05	902.89	624.99	738.29	1008.9	915.51	1001.93	785.88	1023.0	47.84	145.02	82.29	98.73	115.16	68.55	60.39	44.89	217.27	65.26	29.91	62.56	119.26	42.71	69.03	55.1	62.56	15.45	51.71	104.42	15.11	35.5	65.26	152.28	171.45	97.36	126.12	32.36	107.38	237.86	41.52	126.12	42.11	35.25	43.63	147.06	99.43	86.43	119.26	934.76	339.14	669.92	738.29
TMEM53	1088.92	674.59	902.89	954.43	995.0	819.3	941.27	884.29	1030.12	988.12	872.1	995.0	974.5	764.36	251.48	514.56	775.05	547.75	336.79	343.89	358.54	381.68	733.19	178.77	373.81	457.25	490.14	194.36	197.09	291.04	591.22	181.28	155.5	571.05	275.28	224.97	212.78	612.11	1044.52	555.41	441.64	323.03	493.56	825.0	718.08	890.44	166.73	120.94	69.03	329.84	239.52	267.73	248.0	802.41	988.12	316.37	660.68
TMEM62	595.34	693.58	718.08	529.06	679.29	518.15	679.29	647.07	743.43	802.41	703.28	688.78	514.56	656.11	201.25	665.29	500.46	392.44	426.57	769.69	356.05	1096.5	412.0	193.01	366.09	457.25	693.58	237.86	120.94	173.85	660.68	194.36	80.57	559.28	769.69	432.53	234.57	629.35	819.3	1015.93	583.07	607.87	738.29	269.6	988.12	660.68	205.5	159.9	41.52	571.05	269.6	275.28	214.27	420.68	738.29	392.44	379.04
TOX3	547.75	629.35	518.15	532.74	603.67	660.68	603.67	616.37	629.35	624.99	665.29	575.03	563.18	497.0	27.44	176.29	150.17	32.36	2.78	43.94	85.22	438.59	312.0	38.95	12.93	36.01	57.49	11.38	75.11	15.22	37.59	2.39	2.39	20.41	0.0	12.27	0.25	214.27	228.13	5.41	543.96	8.58	153.34	15.0	255.0	128.79	46.18	0.0	2.92	1.89	19.25	2.32	186.4	241.19	392.44	412.0	392.44
TSPAN3	17927.91	15607.02	14163.58	16611.71	16611.71	18560.17	16045.82	18052.61	19214.73	15180.22	18689.27	15934.98	14971.21	13872.08	7230.1	5479.15	8901.53	8479.89	5255.91	7081.29	8078.22	5006.93	11504.21	5403.7	5329.3	3564.78	7180.15	4972.34	6426.31	4869.99	5672.41	4239.45	4704.07	13872.08	3540.14	6037.61	5711.87	5751.61	12853.63	5255.91	15392.14	4450.27	7180.15	9215.48	13399.51	11267.44	5076.84	5517.27	6079.61	7589.61	6607.01	7537.18	7642.41	10368.08	20451.65	4607.24	14262.1
TST	17558.94	12589.08	15285.81	15499.21	19892.37	18052.61	18950.18	17437.64	20170.07	18052.61	19618.49	24321.43	16727.26	13399.51	389.72	2090.03	1340.84	802.41	995.0	759.08	995.0	500.46	2777.33	775.05	738.29	1639.59	1923.14	460.44	312.0	373.81	954.43	297.17	299.25	1651.0	500.46	473.41	426.57	1832.01	2720.15	1175.27	1369.04	525.39	1216.75	2303.12	1936.53	2835.7	356.05	246.28	142.01	1225.22	595.34	376.41	693.58	7130.55	6294.04	4239.45	5219.6
TTC38	2976.74	2335.28	2664.15	2485.67	4419.52	2591.27	3124.78	3280.18	4328.55	2835.7	3515.68	3540.14	2627.46	2451.44	194.36	438.59	460.44	208.38	435.55	343.89	417.77	406.31	791.35	260.38	211.31	551.56	802.41	208.38	180.02	226.54	743.43	201.25	256.78	638.15	651.58	262.2	414.87	379.04	693.58	325.29	211.31	208.38	620.67	723.08	420.68	780.44	223.41	283.05	110.43	819.3	366.09	194.36	476.71	1030.12	599.49	1059.11	954.43
TTC39A	1572.76	1167.14	1268.46	896.64	2287.2	954.43	1447.15	1295.13	1477.58	1674.06	1605.83	1498.22	1427.22	1044.52	228.13	332.14	248.0	241.19	305.55	256.78	242.88	297.17	813.63	239.52	106.63	297.17	289.02	136.19	146.03	62.56	112.77	65.72	105.15	599.49	61.25	94.67	90.14	500.46	819.3	164.42	1119.56	87.65	159.9	848.22	872.1	921.88	90.14	90.77	67.12	246.28	141.02	137.14	202.66	842.36	1008.9	426.57	785.88
ULK3	1617.0	1651.0	1487.87	1819.35	1427.22	1757.34	2119.22	2061.24	1909.85	1225.22	2004.85	1388.16	1233.75	1477.58	239.52	633.73	381.68	253.23	532.74	647.07	325.29	718.08	620.67	197.09	406.31	759.08	738.29	189.02	249.73	269.6	563.18	299.25	198.47	629.35	713.11	371.22	432.53	591.22	603.67	409.15	329.84	346.29	543.96	642.59	486.75	830.75	275.28	211.31	143.01	312.0	281.09	255.0	208.38	860.08	1457.23	1030.12	1286.18
UQCRC1	15715.58	12764.83	12853.63	13776.25	14163.58	13399.51	14867.79	12943.04	13776.25	13033.07	12943.04	15392.14	12676.65	12329.98	3372.43	2591.27	3540.14	2163.77	2555.58	3039.3	4607.24	3039.3	3982.99	2335.28	3280.18	4298.64	3168.41	1617.0	2032.85	3820.7	4298.64	2520.38	3280.18	3540.14	2537.92	2119.22	2075.59	3103.19	6079.61	3257.52	2502.97	2976.74	3124.78	3443.31	5672.41	4388.98	1883.54	2271.4	1397.83	3395.89	2417.67	3018.3	1923.14	8538.88	6337.83	5711.87	7280.4
VIL1	10883.59	8191.0	10883.59	9540.5	11035.54	10368.08	12244.81	11504.21	13681.08	11035.54	9606.86	11267.44	10296.45	8658.09	47.17	45.21	7.75	11.3	23.25	49.56	31.67	51.71	28.65	20.56	22.43	33.54	12.36	5.15	24.11	88.26	12.27	82.29	39.79	4.1	8.13	14.78	81.14	43.63	7.94	1.35	1.97	55.1	58.71	55.1	42.41	14.78	10.63	11.73	22.43	2.61	37.85	5.23	5.77	1639.59	27174.14	376.41	8840.04
