	TCGA.W5.AA34.11A.11R.A41I.07	TCGA.W5.AA2I.11A.11R.A41I.07	GTEX.XBEW.1926.SM.4SOJO	TCGA.CV.6939.11A.01R.1915.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	GTEX.Y5V6.2026.SM.5IFHO	TCGA.B0.5117.01A.01R.1420.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.2Z.A9JO.01A.11R.A42S.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.MR.A520.01A.11R.A266.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.G3.A3CI.01A.11R.A213.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.13N2G.0926.SM.5IFGJ	GTEX.11DXY.0526.SM.5EGGQ	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.D7.8578.01A.21R.2343.13	TCGA.R5.A805.01A.11R.A36D.31	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.HU.A4H6.01A.11R.A251.31	TCGA.D7.A4Z0.01A.22R.A251.31	TCGA.D7.A6F2.01A.12R.A31P.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HU.A4G9.01A.11R.A24K.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.IN.8462.01A.11R.2343.13	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.CG.4304.01A.01R.1157.13	TCGA.CD.8534.01A.11R.2343.13	TCGA.VQ.A8PM.01A.21R.A414.31	TCGA.3M.AB47.01A.22R.A414.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.D7.8579.01A.11R.2343.13	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.HU.8244.01A.11R.2343.13	TCGA.HU.8238.01A.11R.2343.13	TCGA.CG.5721.11A.01R.1602.13	GTEX.13113.0726.SM.5LZUF	GTEX.VJYA.1026.SM.4KL21	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.ZVP2.1626.SM.5GU5D	GTEX.ZF2S.1426.SM.57WET	GTEX.1122O.1926.SM.5EGIQ	GTEX.ZXES.1426.SM.5NQ8S	GTEX.Y5V6.1326.SM.4VDTF	GTEX.13FH7.1026.SM.5IJGF	GTEX.Y8LW.0826.SM.4WWDO	GTEX.S4UY.1626.SM.4AD55	GTEX.V1D1.1726.SM.4JBHB	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.BJ.A45E.01A.11R.A32Y.07	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.EM.A2CM.01A.11R.A180.07
KDM2B	152.28	142.01	287.01	182.55	325.29	253.23	187.71	323.03	301.33	153.34	293.07	351.14	150.17	212.78	234.57	52.45	325.29	283.05	277.2	181.28	140.04	136.19	166.73	198.47	242.88	187.71	236.21	128.79	96.68	130.6	177.53	193.01	165.57	131.51	191.67	182.55	163.28	134.3	183.82	185.11	182.55	180.02	166.73	180.02	325.29	151.22	260.38	265.87	236.21	327.56	133.36	295.11	199.85	543.96	356.05	289.02	633.73	255.0	371.22	316.37	466.88	273.37	327.56	269.6	214.27	262.2	460.44	473.41	253.23	241.19	447.82	470.14	205.5	318.57	189.02	379.04	441.64	242.88	152.28	244.57	318.57	684.02	332.14	336.79	152.28	224.97	295.11	353.59	441.64	327.56	336.79	351.14	215.77	193.01	283.05	262.2	167.9	209.84	334.46	283.05	265.87	226.54	246.28
KDM5B	74.06	87.03	309.83	199.85	105.15	161.02	99.43	131.51	224.97	185.11	134.3	108.14	69.52	199.85	343.89	61.68	242.88	193.01	146.03	171.45	265.87	217.27	120.1	147.06	283.05	191.67	212.78	92.05	77.79	158.79	36.27	98.04	71.0	114.36	90.77	45.85	72.01	85.82	136.19	47.5	116.78	107.38	67.12	92.05	76.71	24.99	113.56	59.13	84.63	90.14	28.65	90.77	48.18	547.75	620.67	379.04	460.44	376.41	435.55	532.74	395.18	285.03	229.72	353.59	473.41	176.29	603.67	583.07	368.65	137.14	423.61	483.38	780.44	346.29	211.31	400.71	336.79	327.56	212.78	323.03	361.04	480.04	201.25	466.88	242.88	301.33	414.87	314.17	373.81	220.32	181.28	189.02	202.66	226.54	191.67	246.28	463.65	189.02	149.12	236.21	202.66	165.57	253.23
KIAA1217	307.69	161.02	373.81	819.3	595.34	204.07	616.37	409.15	320.8	414.87	381.68	267.73	87.65	633.73	395.18	185.11	403.5	118.43	154.42	249.73	242.88	202.66	237.86	122.64	543.96	208.38	429.54	131.51	32.13	309.83	19.82	153.34	176.29	232.94	193.01	107.38	176.29	193.01	371.22	400.71	358.54	466.88	307.69	320.8	447.82	204.07	351.14	215.77	412.0	182.55	163.28	454.09	159.9	995.0	1127.35	713.11	447.82	521.76	713.11	612.11	633.73	1199.98	567.1	860.08	457.25	884.29	1037.29	616.37	713.11	1088.92	708.18	780.44	438.59	941.27	271.48	547.75	616.37	587.13	265.87	432.53	551.56	651.58	532.74	733.19	199.85	384.34	493.56	540.19	563.18	412.0	325.29	356.05	981.29	397.93	343.89	473.41	1909.85	412.0	616.37	579.04	420.68	348.71	579.04
KIAA1468	150.17	136.19	373.81	108.9	198.47	151.22	108.9	224.97	237.86	191.67	287.01	185.11	69.03	271.48	305.55	49.21	204.07	142.01	143.01	201.25	167.9	149.12	117.6	158.79	320.8	172.65	142.01	147.06	125.24	118.43	132.44	144.01	81.71	106.63	128.79	84.63	95.34	100.13	120.1	83.45	109.66	76.71	104.42	180.02	172.65	92.05	105.89	128.79	155.5	170.25	90.14	142.01	98.04	395.18	299.25	309.83	480.04	269.6	384.34	318.57	551.56	361.04	206.94	373.81	339.14	348.71	242.88	599.49	287.01	231.32	429.54	620.67	336.79	339.14	262.2	395.18	457.25	441.64	295.11	403.5	507.46	483.38	287.01	688.78	142.01	303.44	540.19	551.56	267.73	172.65	166.73	249.73	305.55	275.28	277.2	295.11	281.09	185.11	151.22	237.86	197.09	189.02	297.17
KLF16	255.0	162.14	312.0	64.34	162.14	275.28	208.38	140.04	191.67	73.54	112.77	119.26	35.5	140.04	248.0	260.38	158.79	148.09	228.13	334.46	237.86	234.57	275.28	194.36	251.48	244.57	217.27	95.34	84.63	303.44	84.04	166.73	182.55	201.25	121.79	170.25	131.51	236.21	248.0	98.04	152.28	156.59	295.11	258.57	180.02	157.68	214.27	193.01	95.34	269.6	265.87	195.72	194.36	341.51	532.74	403.5	389.72	507.46	567.1	551.56	379.04	854.13	403.5	708.18	603.67	191.67	334.46	473.41	559.28	753.83	518.15	438.59	633.73	884.29	332.14	493.56	759.08	166.73	583.07	334.46	305.55	432.53	318.57	275.28	148.09	299.25	289.02	669.92	341.51	125.24	107.38	126.12	77.25	111.99	229.72	114.36	163.28	107.38	70.51	164.42	108.14	159.9	129.69
KLF3	703.28	463.65	825.0	409.15	283.05	171.45	204.07	356.05	435.55	316.37	251.48	194.36	137.14	540.19	381.68	163.28	438.59	242.88	190.34	232.94	361.04	237.86	183.82	161.02	277.2	277.2	476.71	303.44	220.32	336.79	226.54	275.28	417.77	460.44	529.06	269.6	426.57	441.64	802.41	363.56	728.11	551.56	753.83	785.88	529.06	595.34	511.0	571.05	698.41	514.56	595.34	848.22	878.17	1051.79	1191.69	1378.57	669.92	796.86	1250.98	1167.14	1216.75	1397.83	780.44	1183.45	1340.84	1540.37	947.83	1388.16	759.08	703.28	878.17	1175.27	954.43	967.76	759.08	902.89	921.88	981.29	728.11	896.64	1806.78	988.12	579.04	780.44	571.05	693.58	934.76	656.11	791.35	336.79	277.2	483.38	303.44	371.22	325.29	551.56	423.61	384.34	220.32	551.56	387.02	237.86	373.81
KLF4	61.68	52.82	3847.29	323.03	239.52	41.22	140.04	141.02	65.72	132.44	101.54	77.25	42.11	271.48	392.44	132.44	890.44	110.43	223.41	148.09	144.01	334.46	94.67	104.42	371.22	497.0	239.52	28.04	36.79	65.72	78.89	103.69	88.88	91.41	80.57	128.79	156.59	141.02	139.07	60.39	54.72	44.89	73.54	201.25	75.64	43.02	23.08	139.07	125.24	88.88	158.79	125.24	41.52	1119.56	1583.71	2090.03	441.64	1167.14	1697.45	2018.8	1685.71	3443.31	1378.57	3235.01	1030.12	206.94	486.75	915.51	974.5	473.41	587.13	1605.83	1340.84	1477.58	2047.0	1674.06	3419.52	1923.14	2758.13	1832.01	6516.03	2417.67	1191.69	1674.06	1498.22	1583.71	2193.99	2935.74	1096.5	273.37	497.0	127.0	511.0	281.09	221.86	234.57	616.37	432.53	119.26	392.44	293.07	571.05	633.73
KLF5	24.63	13.22	5403.7	674.59	122.64	56.68	21.01	164.42	199.85	132.44	78.34	112.77	36.53	157.68	599.49	94.67	205.5	98.04	55.1	90.77	476.71	44.25	84.63	17.0	403.5	209.84	34.02	66.65	3.2	68.07	1.85	228.13	14.03	24.46	26.47	11.3	22.43	152.28	15.11	20.26	12.09	24.63	75.64	152.28	53.19	15.34	44.57	38.4	66.18	60.82	6.67	93.35	42.41	2627.46	2255.7	3419.52	1721.16	1909.85	3665.02	4512.4	1685.71	3614.55	3212.66	4972.34	6079.61	6792.79	5255.91	3639.7	1519.15	1605.83	2434.5	3325.99	4388.98	3901.01	1757.34	1844.76	2271.4	2451.44	1844.76	1819.35	3349.13	2119.22	1662.49	2104.58	890.44	961.07	2104.58	1769.57	1561.89	19.25	23.42	30.78	154.42	166.73	246.28	470.14	518.15	87.65	74.06	102.25	190.34	35.25	441.64
KMT2B	49.56	41.81	136.19	68.55	46.84	40.93	70.51	66.65	67.12	70.51	63.89	42.11	3.96	70.51	137.14	24.99	80.01	42.71	42.11	50.63	46.84	39.79	32.59	29.06	64.34	32.13	70.51	34.51	18.7	57.08	45.21	43.02	28.65	37.85	40.93	32.59	22.26	29.27	21.78	18.03	29.48	47.17	27.84	26.47	59.55	39.22	53.57	26.67	54.72	32.82	43.32	24.99	28.04	239.52	183.82	157.68	218.79	289.02	163.28	169.07	165.57	129.69	223.41	133.36	167.9	143.01	180.02	269.6	146.03	223.41	163.28	264.03	295.11	165.57	144.01	159.9	132.44	131.51	76.17	107.38	201.25	101.54	120.1	237.86	59.13	139.07	129.69	141.02	118.43	85.82	62.12	94.01	85.82	85.22	115.97	75.64	59.13	70.01	94.67	120.94	69.03	64.34	77.79
KMT2D	236.21	117.6	603.67	420.68	406.31	299.25	348.71	500.46	387.02	260.38	575.03	249.73	31.22	426.57	384.34	166.73	406.31	161.02	297.17	226.54	256.78	173.85	191.67	166.73	373.81	253.23	420.68	205.5	132.44	303.44	191.67	241.19	142.01	143.01	189.02	120.94	84.04	133.36	84.63	115.97	119.26	283.05	108.9	178.77	318.57	187.71	139.07	149.12	205.5	182.55	173.85	128.79	121.79	988.12	1066.48	941.27	884.29	493.56	748.61	764.36	896.64	656.11	1369.04	457.25	738.29	698.41	941.27	872.1	414.87	426.57	947.83	967.76	660.68	842.36	412.0	638.15	708.18	392.44	303.44	551.56	656.11	525.39	708.18	1159.07	426.57	764.36	483.38	842.36	497.0	366.09	325.29	435.55	476.71	603.67	688.78	563.18	356.05	476.71	353.59	595.34	473.41	283.05	454.09
LARP4B	281.09	177.53	764.36	438.59	371.22	371.22	463.65	249.73	490.14	291.04	251.48	540.19	163.28	543.96	567.1	231.32	466.88	334.46	318.57	366.09	348.71	327.56	307.69	291.04	579.04	329.84	457.25	251.48	147.06	403.5	180.02	234.57	151.22	205.5	164.42	137.14	170.25	190.34	193.01	169.07	305.55	146.03	172.65	208.38	170.25	148.09	182.55	119.26	171.45	121.79	166.73	164.42	150.17	1331.57	1088.92	764.36	819.3	1015.93	884.29	1437.15	866.07	1639.59	591.22	748.61	633.73	647.07	1044.52	830.75	547.75	813.63	866.07	1001.93	1037.29	1437.15	647.07	703.28	674.59	624.99	555.41	769.69	1183.45	679.29	723.08	1023.0	457.25	723.08	780.44	743.43	872.1	567.1	387.02	503.95	607.87	500.46	450.94	583.07	293.07	525.39	547.75	785.88	514.56	283.05	660.68
MAML1	117.6	82.29	305.55	205.5	120.94	137.14	127.89	177.53	195.72	141.02	173.85	98.73	16.88	275.28	178.77	91.41	228.13	87.03	116.78	113.56	111.21	102.25	119.26	135.24	176.29	97.36	161.02	94.01	67.59	241.19	98.04	102.97	93.35	92.05	100.83	60.39	82.87	100.13	155.5	96.01	113.56	172.65	117.6	224.97	193.01	92.05	135.24	106.63	161.02	135.24	98.04	178.77	118.43	642.59	679.29	563.18	493.56	329.84	414.87	607.87	423.61	381.68	447.82	358.54	518.15	679.29	947.83	514.56	483.38	373.81	575.03	444.72	486.75	351.14	397.93	371.22	348.71	371.22	221.86	285.03	406.31	466.88	339.14	441.64	356.05	420.68	389.72	432.53	454.09	239.52	201.25	218.79	215.77	249.73	291.04	309.83	346.29	231.32	201.25	239.52	224.97	180.02	267.73
MAP4K5	146.03	93.35	273.37	241.19	155.5	136.19	211.31	332.14	358.54	217.27	246.28	166.73	28.65	307.69	356.05	154.42	260.38	246.28	100.83	165.57	231.32	143.01	155.5	150.17	232.94	190.34	217.27	79.45	116.78	236.21	96.68	121.79	104.42	120.1	100.13	40.93	118.43	137.14	126.12	72.01	105.89	94.67	128.79	145.02	109.66	66.18	94.01	66.18	153.34	121.79	107.38	109.66	163.28	470.14	928.3	647.07	525.39	285.03	511.0	525.39	684.02	642.59	412.0	802.41	420.68	466.88	389.72	476.71	473.41	414.87	718.08	473.41	336.79	384.34	215.77	397.93	444.72	301.33	277.2	447.82	392.44	373.81	273.37	470.14	264.03	329.84	392.44	490.14	366.09	293.07	249.73	373.81	339.14	258.57	258.57	395.18	483.38	303.44	195.72	336.79	234.57	214.27	255.0
MAPKBP1	41.81	39.22	120.94	70.51	123.5	96.68	248.0	195.72	122.64	85.22	185.11	124.37	27.05	148.09	172.65	44.25	133.36	76.71	79.45	50.98	75.64	58.3	68.07	63.89	74.58	84.63	77.79	31.9	36.79	124.37	38.95	70.01	38.67	32.36	59.13	29.7	27.05	29.48	31.22	20.11	52.08	52.08	26.86	55.1	54.33	50.98	33.78	28.24	47.84	37.05	40.64	31.9	25.72	256.78	265.87	152.28	289.02	180.02	197.09	251.48	239.52	176.29	208.38	334.46	195.72	275.28	341.51	314.17	140.04	215.77	291.04	312.0	239.52	173.85	195.72	239.52	299.25	223.41	269.6	376.41	285.03	277.2	285.03	368.65	209.84	224.97	332.14	638.15	348.71	105.89	136.19	104.42	129.69	206.94	166.73	147.06	164.42	116.78	107.38	146.03	147.06	77.79	202.66
MARK2	217.27	126.12	819.3	348.71	579.04	325.29	748.61	379.04	444.72	387.02	447.82	356.05	78.89	323.03	417.77	271.48	318.57	236.21	318.57	384.34	314.17	305.55	289.02	258.57	426.57	249.73	197.09	128.79	93.35	239.52	148.09	144.01	132.44	142.01	130.6	125.24	108.9	127.89	120.1	197.09	163.28	169.07	92.05	218.79	151.22	149.12	133.36	116.78	103.69	262.2	115.16	159.9	134.3	688.78	525.39	764.36	525.39	638.15	718.08	1081.39	473.41	629.35	397.93	819.3	612.11	775.05	669.92	450.94	409.15	454.09	684.02	698.41	660.68	728.11	579.04	669.92	802.41	532.74	612.11	708.18	909.17	748.61	591.22	583.07	532.74	476.71	603.67	708.18	718.08	511.0	332.14	387.02	470.14	384.34	392.44	473.41	307.69	392.44	454.09	327.56	460.44	291.04	466.88
MECP2	217.27	202.66	291.04	426.57	785.88	599.49	728.11	878.17	525.39	231.32	728.11	206.94	341.51	395.18	275.28	249.73	303.44	211.31	283.05	218.79	209.84	214.27	269.6	309.83	379.04	231.32	224.97	221.86	283.05	397.93	185.11	260.38	297.17	281.09	287.01	271.48	281.09	264.03	177.53	297.17	283.05	156.59	185.11	351.14	267.73	277.2	236.21	248.0	318.57	305.55	361.04	260.38	211.31	497.0	599.49	438.59	688.78	525.39	493.56	638.15	555.41	309.83	454.09	518.15	447.82	314.17	514.56	476.71	547.75	660.68	587.13	511.0	356.05	329.84	454.09	392.44	366.09	323.03	356.05	336.79	426.57	483.38	473.41	559.28	426.57	575.03	420.68	583.07	397.93	769.69	339.14	392.44	406.31	483.38	503.95	447.82	314.17	518.15	353.59	595.34	521.76	532.74	529.06
MED12	121.79	119.26	406.31	381.68	189.02	353.59	223.41	329.84	412.0	239.52	334.46	180.02	20.56	353.59	412.0	341.51	327.56	356.05	289.02	264.03	279.14	199.85	237.86	223.41	341.51	212.78	228.13	150.17	105.89	211.31	121.79	226.54	98.04	183.82	99.43	105.89	108.9	119.26	92.05	63.0	180.02	162.14	85.82	144.01	221.86	104.42	88.88	93.35	214.27	116.78	105.89	165.57	54.72	733.19	890.44	575.03	651.58	473.41	525.39	486.75	603.67	473.41	563.18	480.04	529.06	642.59	708.18	796.86	703.28	450.94	555.41	967.76	642.59	460.44	327.56	723.08	389.72	463.65	275.28	460.44	753.83	748.61	525.39	669.92	441.64	426.57	638.15	414.87	529.06	323.03	395.18	334.46	406.31	514.56	642.59	575.03	438.59	346.29	239.52	429.54	466.88	283.05	529.06
MED26	96.68	83.45	122.64	109.66	84.04	162.14	120.1	105.89	105.15	65.72	109.66	73.03	35.0	80.57	105.15	53.57	102.97	82.87	68.07	78.34	88.88	79.45	89.51	70.51	94.01	76.71	94.67	73.03	81.14	115.16	74.06	85.82	79.45	87.65	64.8	66.18	82.87	78.34	61.68	135.24	56.68	134.3	88.26	121.79	84.63	66.18	122.64	103.69	96.01	105.89	72.52	64.8	74.58	150.17	143.01	130.6	182.55	134.3	148.09	121.79	153.34	135.24	169.07	178.77	155.5	117.6	178.77	136.19	171.45	151.22	163.28	147.06	165.57	152.28	107.38	155.5	102.97	107.38	110.43	105.15	139.07	171.45	161.02	131.51	125.24	124.37	135.24	125.24	141.02	93.35	98.73	118.43	82.29	129.69	163.28	118.43	115.97	87.65	94.01	136.19	118.43	131.51	143.01
MESDC1	136.19	94.67	281.09	133.36	87.03	111.99	165.57	158.79	132.44	118.43	105.15	61.25	37.59	215.77	115.16	177.53	194.36	62.12	161.02	94.01	126.12	118.43	258.57	124.37	145.02	145.02	145.02	122.64	98.73	307.69	197.09	325.29	103.69	88.26	85.22	131.51	148.09	135.24	139.07	518.15	193.01	323.03	206.94	214.27	124.37	75.11	466.88	120.94	234.57	185.11	102.97	162.14	134.3	651.58	567.1	684.02	480.04	493.56	728.11	633.73	447.82	339.14	738.29	743.43	438.59	193.01	713.11	616.37	503.95	470.14	483.38	633.73	438.59	540.19	403.5	403.5	511.0	287.01	283.05	432.53	348.71	457.25	500.46	264.03	325.29	387.02	279.14	447.82	384.34	138.1	145.02	78.89	101.54	206.94	318.57	206.94	231.32	149.12	94.67	208.38	190.34	147.06	177.53
MEX3D	111.99	110.43	111.99	75.11	176.29	96.68	293.07	108.14	90.14	60.82	108.9	37.59	13.62	85.22	166.73	90.14	134.3	120.1	81.14	248.0	152.28	201.25	172.65	87.65	205.5	155.5	159.9	68.55	69.52	199.85	51.35	73.54	83.45	99.43	67.59	79.45	94.01	78.89	125.24	156.59	80.57	72.01	118.43	223.41	134.3	93.35	197.09	118.43	77.25	120.94	132.44	183.82	109.66	258.57	796.86	248.0	332.14	397.93	329.84	346.29	271.48	540.19	423.61	318.57	275.28	163.28	334.46	204.07	363.56	674.59	547.75	199.85	336.79	353.59	195.72	669.92	309.83	152.28	271.48	273.37	140.04	361.04	339.14	130.6	262.2	327.56	239.52	307.69	748.61	139.07	141.02	122.64	75.11	113.56	180.02	162.14	303.44	108.14	94.67	171.45	140.04	176.29	241.19
MIDN	234.57	258.57	1225.22	684.02	629.35	444.72	1104.13	571.05	483.38	507.46	688.78	239.52	229.72	902.89	2255.7	1030.12	1519.15	1008.9	503.95	1001.93	1135.2	1088.92	759.08	256.78	1572.76	1417.35	486.75	432.53	400.71	1508.65	100.13	414.87	612.11	571.05	228.13	358.54	376.41	629.35	307.69	320.8	392.44	358.54	241.19	559.28	796.86	287.01	181.28	387.02	260.38	703.28	1023.0	463.65	316.37	1508.65	2537.92	1605.83	878.17	1487.87	2287.2	1044.52	1304.15	1322.37	1769.57	5329.3	1015.93	1037.29	1051.79	1639.59	848.22	1594.73	1340.84	1427.22	1437.15	2400.97	759.08	1331.57	1350.18	769.69	981.29	1015.93	1407.55	1104.13	1143.1	1051.79	878.17	1259.69	1322.37	1508.65	1447.15	312.0	603.67	275.28	412.0	529.06	941.27	669.92	743.43	429.54	400.71	511.0	447.82	688.78	848.22
MT-CO1	2171106.91	1556634.79	2845004.48	2493947.08	3551506.25	3007221.12	4282434.24	2786455.11	3290783.22	2825352.59	3383299.76	3551506.25	1229805.58	2786455.11	2805836.45	5420519.65	2654482.97	3113270.58	3200796.55	2884719.27	2279047.19	2201414.44	3526974.2	2141216.62	3028138.0	4342214.81	2216726.5	1851161.35	1800541.22	3454390.1	2025714.3	1943195.01	1727194.55	1763486.6	1763486.6	1877002.62	1622738.51	1970321.01	2039804.27	2805836.45	2375828.71	2247670.86	2845004.48	2425749.94	2247670.86	1364554.84	1984025.69	2216726.5	1997825.68	2359417.65	1825675.85	2053992.24	2025714.3	1355129.16	1462493.73	2392353.91	3049200.37	2375828.71	2786455.11	2011721.67	1825675.85	2294899.22	3651352.71	1656835.72	2493947.08	2186208.16	2011721.67	1813064.98	2691538.19	2408994.05	1956711.0	1851161.35	2025714.3	2375828.71	2710259.32	2493947.08	2025714.3	3091765.64	2654482.97	2924988.47	2111737.85	2442622.37	2511293.86	2359417.65	3995652.37	2156109.97	2442622.37	1775752.63	2805836.45	3832885.91	7202167.89	4885245.74	2904784.09	3676749.88	2476720.12	2511293.86	6956835.58	2884719.27	5308966.95	3676749.88	3526974.2	9307742.35	2864793.06
MTA2	486.75	447.82	1447.15	555.41	967.76	884.29	1208.34	785.88	698.41	647.07	941.27	571.05	187.71	703.28	941.27	638.15	728.11	518.15	698.41	633.73	693.58	624.99	603.67	738.29	738.29	633.73	656.11	486.75	409.15	941.27	381.68	563.18	567.1	507.46	412.0	356.05	583.07	497.0	389.72	381.68	476.71	551.56	400.71	532.74	521.76	511.0	441.64	371.22	381.68	595.34	514.56	547.75	395.18	1143.1	1175.27	1044.52	1268.46	1096.5	1183.45	1498.22	1233.75	1378.57	902.89	1159.07	1407.55	1487.87	1427.22	802.41	988.12	941.27	1551.09	1313.23	1208.34	1340.84	813.63	1030.12	934.76	830.75	934.76	1119.56	1331.57	1111.82	1073.91	1508.65	791.35	1159.07	860.08	1127.35	915.51	825.0	688.78	633.73	616.37	1015.93	1498.22	1199.98	1498.22	769.69	679.29	612.11	872.1	703.28	872.1
MTF1	30.56	24.63	67.12	72.01	35.76	55.89	39.79	35.76	94.67	123.5	31.45	51.35	5.82	108.14	69.52	25.54	59.55	49.91	34.02	43.32	51.71	47.84	39.79	39.79	96.01	52.45	21.01	36.79	43.02	59.13	37.59	28.24	32.13	28.04	37.32	13.62	26.67	34.26	26.47	24.63	21.47	36.79	30.78	44.57	39.79	32.82	32.59	18.03	30.34	50.63	26.1	25.35	35.0	139.07	102.97	142.01	99.43	89.51	126.12	94.01	115.97	114.36	74.58	147.06	96.01	131.51	118.43	89.51	73.54	81.71	130.6	118.43	85.82	94.01	112.77	100.13	93.35	64.34	72.52	95.34	121.79	88.26	101.54	92.7	83.45	105.15	87.65	100.83	73.03	75.11	54.33	58.71	49.91	52.82	55.89	61.68	45.53	55.1	53.19	77.25	49.56	46.18	53.95
MTMR1	153.34	111.99	206.94	332.14	234.57	239.52	248.0	320.8	291.04	190.34	305.55	147.06	65.72	224.97	244.57	93.35	190.34	163.28	189.02	221.86	197.09	166.73	134.3	161.02	287.01	167.9	229.72	154.42	70.51	129.69	107.38	133.36	94.01	130.6	136.19	116.78	88.88	98.04	115.97	132.44	111.21	120.94	75.11	97.36	129.69	110.43	165.57	73.03	110.43	130.6	101.54	96.68	105.15	323.03	293.07	303.44	435.55	253.23	267.73	256.78	384.34	312.0	172.65	273.37	279.14	403.5	271.48	271.48	323.03	133.36	305.55	466.88	258.57	186.4	208.38	234.57	285.03	232.94	169.07	223.41	309.83	269.6	320.8	389.72	123.5	287.01	217.27	246.28	198.47	423.61	279.14	334.46	236.21	255.0	265.87	389.72	163.28	279.14	281.09	273.37	232.94	255.0	346.29
MTMR3	170.25	120.1	447.82	417.77	164.42	334.46	327.56	264.03	346.29	267.73	314.17	226.54	60.39	414.87	438.59	144.01	389.72	226.54	172.65	204.07	92.7	211.31	145.02	186.4	366.09	255.0	231.32	142.01	123.5	231.32	177.53	189.02	164.42	141.02	127.0	114.36	167.9	177.53	149.12	127.89	307.69	127.89	126.12	136.19	253.23	73.54	98.04	167.9	148.09	158.79	136.19	182.55	119.26	591.22	373.81	476.71	450.94	260.38	571.05	376.41	521.76	384.34	327.56	395.18	460.44	447.82	316.37	376.41	343.89	373.81	429.54	423.61	316.37	275.28	267.73	532.74	426.57	507.46	432.53	529.06	612.11	435.55	395.18	974.5	305.55	438.59	708.18	417.77	536.45	265.87	336.79	221.86	346.29	450.94	426.57	248.0	316.37	307.69	289.02	480.04	389.72	217.27	287.01
