	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.LN.A49N.01A.11R.A24K.31	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.XP.A8T6.01A.11R.A36D.31	TCGA.IG.A3Y9.01A.12R.A24K.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.13OVL.2726.SM.5J2MP	GTEX.S341.0426.SM.4AD5L	TCGA.CV.5442.01A.01R.1514.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
PPP1R14A	10.16	214.27	3874.05	412.0	29327.18	3768.09	264.03	7537.18	115.16	878.17	5555.65	2400.97	1572.76	647.07	32540.65	68318.04	1457.23	13492.72	10225.32	12.55	31.67	0.0	0.75	29.48	229.72	53.19	35.76
PRPH2	0.0	8.78	18.56	6.41	22.43	11.3	2.32	16.39	3.53	6.78	4.06	13.83	3.69	1.87	17.77	25.72	4.78	49.91	22.92	1.87	0.96	0.0	0.4	3.79	5.02	6.57	3.53
PRUNE2	0.71	15.8	2976.74	205.5	4239.45	547.75	21.47	830.75	29.06	587.13	1572.76	656.11	301.33	78.89	9279.58	19082.0	896.64	3665.02	8022.41	5.06	21.32	0.0	0.43	16.63	59.55	82.87	22.75
RADIL	1.57	6.94	77.79	32.59	78.89	52.08	4.54	20.41	21.47	33.78	54.33	91.41	10.24	8.38	155.5	212.78	23.59	253.23	98.04	14.14	16.88	0.0	0.35	49.56	4.35	15.8	16.51
RASL12	16.39	54.33	1733.13	135.24	7485.11	638.15	43.32	775.05	156.59	187.71	1685.71	1037.29	221.86	241.19	13215.02	19348.38	334.46	2609.3	2047.0	6.26	35.76	0.0	0.56	68.07	104.42	26.47	42.71
RBPMS2	0.0	9.27	1159.07	44.25	2520.38	351.14	14.24	341.51	25.72	122.64	497.0	287.01	82.29	52.08	6471.02	11504.21	140.04	3257.52	3303.0	1.81	3.06	0.0	0.64	19.53	32.36	10.31	10.55
RNF150	0.0	14.24	137.14	26.1	161.02	57.08	6.01	102.97	9.06	47.84	72.01	42.41	24.81	4.98	409.15	854.13	62.12	224.97	361.04	0.55	3.03	0.0	0.26	11.91	14.24	12.45	8.19
RSPO2	3.29	11.55	74.06	19.39	40.93	32.59	0.0	49.21	0.0	28.45	43.63	76.17	6.31	1.69	293.07	56.28	59.13	115.16	69.52	0.0	0.39	0.0	0.12	0.83	0.0	13.42	0.0
RSPO3	0.0	24.81	454.09	48.87	1081.39	371.22	38.67	117.6	52.08	253.23	400.71	392.44	44.25	6.62	1540.37	1216.75	73.54	146.03	1662.49	0.0	5.63	0.0	0.29	16.03	22.92	6.06	16.75
RXRG	31.45	137.14	58.3	4.62	113.56	34.02	0.0	107.38	3.29	19.53	33.06	35.25	13.22	1.87	314.17	532.74	18.84	271.48	81.71	0.0	2.25	0.0	0.0	44.25	25.17	14.56	8.58
S100A9	4.94682652E7	1.689390977E7	220434.95	5345893.74	706337.4	6490957.04	9372482.82	4312220.94	4165330.83	3576208.94	1412675.8	1482909.4	9503317.82	7353500.77	4268.94	8363.13	1.047175463E7	376.41	607.87	535303.41	2111737.85	0.0	1.48	6956835.58	6956835.58	5972898.43	8805660.77
SGCA	6.67	34.51	1059.11	89.51	4181.07	493.56	38.67	579.04	38.4	171.45	595.34	703.28	232.94	26.1	2367.9	7032.37	381.68	3081.75	1745.2	2.03	6.57	0.0	0.61	144.01	148.09	127.89	40.07
STON1	35.25	83.45	1304.15	131.51	674.59	195.72	40.36	242.88	50.98	181.28	283.05	217.27	91.41	64.8	2591.27	3146.52	161.02	995.0	1159.07	5.63	21.47	0.0	0.57	44.25	26.67	14.45	37.59
TAGLN	351.14	2400.97	200048.85	9673.69	527933.71	93325.55	6983.79	118949.35	2119.22	24660.96	124000.67	83528.61	18178.19	1685.71	857631.47	1703415.74	38966.94	208544.12	225066.78	267.73	571.05	0.0	1.16	896.64	3768.09	1594.73	334.46
TCEAL2	0.0	1.51	279.14	141.02	366.09	83.45	8.06	100.13	4.74	41.81	137.14	260.38	34.02	4.03	1104.13	2319.15	54.33	1561.89	1259.69	1.16	9.93	0.0	0.27	2.89	11.21	23.76	3.96
TGFB1I1	56.68	318.57	6121.9	258.57	23656.34	2061.24	334.46	3768.09	209.84	728.11	2816.11	4575.41	599.49	713.11	20310.37	42346.82	1313.23	8078.22	6607.01	92.05	58.3	0.0	0.89	162.14	99.43	98.04	84.63
TPM2	318.57	1313.23	91404.92	3018.3	241220.67	30999.42	5711.87	46986.85	1111.82	8718.32	52497.92	27553.49	6337.83	866.07	706337.4	2392353.91	18178.19	108699.57	93325.55	733.19	138.1	0.0	1.2	2018.8	3039.3	2609.3	802.41
WBSCR17	0.0	0.43	281.09	58.71	206.94	249.73	12.55	353.59	13.62	75.11	159.9	77.79	67.59	21.01	460.44	1561.89	228.13	500.46	612.11	0.0	4.43	0.0	0.59	3.2	4.46	5.23	3.89
ZCCHC24	4.5	47.5	866.07	79.45	2351.53	314.17	146.03	438.59	50.98	234.57	713.11	480.04	143.01	85.22	3847.29	4736.79	208.38	1001.93	1088.92	80.57	32.13	0.0	0.61	77.79	72.01	59.97	69.52
