	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7059.01A.11R.1965.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.BW.A5NP.01A.11R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.Q734.0326.SM.48U15	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.ZTTD.1126.SM.51MRP	GTEX.V1D1.0826.SM.3P5ZA	GTEX.139YR.0926.SM.5LZYB	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13FLV.0426.SM.5KLZA	GTEX.PWOO.0726.SM.2I3EB	GTEX.WVJS.0826.SM.4MVNR	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	TCGA.77.8007.11A.01R.2187.07
ITGAL	444.72	271.48	866.07	248.0	248.0	329.84	902.89	295.11	607.87	441.64	376.41	587.13	265.87	387.02	285.03	208.38	320.8	318.57	61.25	94.01	312.0	186.4	878.17	379.04	332.14	271.48	175.07	460.44	223.41	246.28	64.8	161.02	273.37	80.01	43.32	181.28	95.34	145.02	166.73	307.69	361.04	275.28	432.53	599.49	223.41	438.59	127.0	287.01	351.14	616.37	441.64	2915.45	934.76	629.35	1088.92	599.49	1551.09	1313.23	642.59	420.68
ITK	52.45	63.89	90.14	22.1	24.46	56.68	60.39	45.21	41.52	23.25	36.27	18.84	8.45	31.67	10.31	43.02	18.7	22.26	4.78	4.82	1.69	1.0	72.52	4.94	10.88	7.46	6.26	20.11	10.71	17.13	1.87	3.63	6.01	6.01	5.87	10.39	13.83	37.32	9.13	38.67	40.93	9.41	16.51	33.06	8.85	96.68	12.45	115.16	218.79	94.01	206.94	176.29	139.07	334.46	473.41	67.12	314.17	139.07	591.22	143.01
KLHL6	348.71	277.2	389.72	77.79	78.89	214.27	169.07	107.38	221.86	135.24	64.8	35.25	11.55	29.7	22.43	35.0	4.66	9.48	3.44	6.01	2.63	7.22	40.93	8.99	5.5	4.31	5.54	16.03	5.59	15.68	2.16	6.16	8.32	5.23	5.87	8.85	26.47	10.55	22.59	19.11	25.35	8.32	27.05	61.25	7.34	353.59	25.72	172.65	447.82	279.14	620.67	218.79	260.38	285.03	921.88	218.79	244.57	409.15	928.3	175.07
KLRC4-KLRK1	9.13	9.2	26.47	0.0	27.25	1.46	2.2	10.0	8.06	6.36	0.0	3.14	0.0	7.11	4.54	0.0	3.35	2.27	0.0	0.0	0.0	0.0	2.56	2.92	0.0	1.03	0.0	0.0	6.01	0.0	0.0	0.0	4.98	0.0	4.13	3.32	7.94	23.76	4.86	0.0	5.36	0.0	10.47	4.43	3.32	20.71	0.56	32.36	46.5	3.96	12.74	98.04	34.26	69.52	105.15	8.19	43.32	37.32	34.26	55.89
KLRD1	61.25	96.01	77.79	23.08	24.28	16.88	30.78	17.13	16.63	56.68	18.03	13.42	8.51	15.68	6.67	44.25	4.03	22.75	11.21	8.06	1.62	4.54	69.52	7.88	15.56	10.88	9.13	7.46	15.45	14.35	3.59	10.63	8.0	3.96	8.99	10.39	21.16	107.38	60.39	39.79	49.21	23.59	39.79	89.51	83.45	65.72	24.46	281.09	112.77	217.27	44.89	392.44	147.06	303.44	497.0	42.41	387.02	109.66	66.18	115.16
KLRK1	136.19	153.34	153.34	19.25	30.78	27.64	96.68	51.71	90.14	57.89	19.68	36.27	15.0	31.0	25.91	84.04	24.63	53.95	7.63	10.88	8.38	9.06	136.19	10.24	25.54	16.51	17.77	64.34	23.42	40.93	7.4	14.45	15.34	6.52	11.91	18.7	63.0	201.25	24.28	150.17	180.02	27.64	48.52	64.34	28.24	221.86	31.45	264.03	309.83	186.4	262.2	567.1	202.66	493.56	647.07	157.68	836.53	301.33	175.07	199.85
LCK	194.36	155.5	444.72	79.45	139.07	198.47	400.71	194.36	214.27	198.47	116.78	74.58	28.24	127.89	55.89	130.6	52.45	88.88	6.46	26.1	15.8	8.38	217.27	22.75	37.59	29.06	48.87	96.01	20.71	27.64	18.7	20.86	32.82	16.51	25.91	39.5	37.85	46.84	33.06	158.79	244.57	34.75	59.13	189.02	45.21	265.87	55.89	343.89	327.56	297.17	356.05	629.35	289.02	470.14	299.25	194.36	759.08	316.37	363.56	476.71
LCP2	1135.2	785.88	1487.87	525.39	420.68	854.13	1467.37	629.35	1023.0	848.22	348.71	197.09	232.94	351.14	178.77	438.59	127.89	155.5	52.45	57.08	40.07	31.45	514.56	120.94	81.71	77.79	68.07	172.65	71.5	144.01	54.33	144.01	126.12	47.84	63.89	118.43	854.13	320.8	603.67	198.47	239.52	185.11	497.0	551.56	224.97	1286.18	151.22	1540.37	2004.85	1757.34	981.29	2796.65	2915.45	1617.0	4903.87	2032.85	2758.13	738.29	2104.58	1540.37
LILRB1	336.79	205.5	500.46	97.36	108.14	94.67	373.81	125.24	307.69	172.65	127.89	46.84	56.28	76.71	31.9	154.42	30.56	38.95	4.74	14.45	2.86	11.91	291.04	28.24	20.11	6.52	24.99	45.53	31.22	23.59	12.83	49.56	56.68	16.75	21.78	43.63	109.66	34.26	244.57	34.26	90.77	84.63	112.77	264.03	60.39	473.41	38.67	361.04	438.59	651.58	669.92	1225.22	607.87	320.8	417.77	551.56	429.54	256.78	87.65	447.82
MYO1F	1066.48	633.73	1208.34	309.83	447.82	723.08	780.44	514.56	759.08	890.44	343.89	137.14	124.37	190.34	128.79	231.32	90.77	118.43	59.97	60.39	25.17	20.26	373.81	83.45	66.18	59.97	64.34	167.9	55.1	73.03	40.93	98.04	81.14	25.72	98.73	99.43	441.64	181.28	178.77	92.05	305.55	197.09	204.07	518.15	111.21	1199.98	146.03	679.29	525.39	1030.12	708.18	2682.69	1397.83	713.11	1030.12	1437.15	2335.28	961.07	483.38	813.63
MYO1G	291.04	151.22	511.0	73.54	147.06	356.05	199.85	146.03	152.28	150.17	92.7	44.25	48.87	59.55	40.64	137.14	45.53	51.71	5.19	18.03	9.48	6.06	112.77	16.27	16.88	24.28	40.36	56.28	17.25	24.11	14.03	20.56	14.35	15.22	31.67	29.06	51.71	29.91	40.07	33.3	46.84	19.11	31.45	54.72	15.11	759.08	36.27	518.15	830.75	1119.56	358.54	2335.28	1023.0	571.05	2468.49	2367.9	616.37	866.07	343.89	1233.75
NCF1	1104.13	967.76	1909.85	457.25	902.89	1119.56	902.89	656.11	679.29	1583.71	525.39	118.43	85.82	289.02	46.18	409.15	58.71	74.58	4.78	18.03	9.78	15.56	299.25	55.89	25.91	41.52	30.12	64.34	17.51	32.82	27.25	85.82	34.75	17.25	49.21	24.11	111.99	119.26	33.3	62.56	295.11	165.57	204.07	178.77	80.01	775.05	55.49	708.18	4972.34	426.57	2701.35	2209.26	1757.34	563.18	2451.44	1286.18	1977.24	1059.11	429.54	303.44
NCKAP1L	842.36	447.82	1081.39	256.78	373.81	587.13	884.29	392.44	738.29	571.05	173.85	94.01	63.0	124.37	81.71	190.34	40.07	60.82	6.01	15.0	6.26	5.68	361.04	36.01	24.28	26.47	28.45	83.45	30.78	37.05	19.11	65.72	59.97	16.63	23.76	35.76	60.82	43.94	231.32	49.91	68.07	136.19	246.28	202.66	74.58	974.5	45.21	928.3	1551.09	1135.2	529.06	1844.76	2104.58	1594.73	2004.85	3690.52	547.75	1340.84	2855.44	842.36
NKG7	733.19	559.28	2537.92	246.28	329.84	507.46	1721.16	620.67	409.15	620.67	127.89	189.02	109.66	336.79	197.09	1030.12	195.72	283.05	53.57	82.87	33.06	86.43	1268.46	287.01	145.02	100.13	143.01	312.0	171.45	185.11	78.89	165.57	92.05	108.14	108.14	142.01	493.56	325.29	264.03	470.14	624.99	329.84	536.45	332.14	400.71	587.13	258.57	1628.26	2224.63	1059.11	1277.29	2400.97	2018.8	1250.98	2664.15	2915.45	4512.4	872.1	575.03	1233.75
NLRP3	241.19	102.97	241.19	75.11	77.79	149.12	120.1	122.64	156.59	154.42	22.43	8.06	11.13	18.29	10.08	11.13	6.62	18.56	2.1	4.24	1.41	2.29	31.22	4.35	3.17	12.0	1.43	11.13	3.63	5.96	5.5	7.69	15.56	2.71	4.74	3.29	60.82	58.3	16.27	9.56	20.11	24.81	36.01	39.79	19.53	81.71	15.45	138.1	447.82	53.19	103.69	211.31	281.09	187.71	486.75	363.56	127.0	123.5	2004.85	143.01
NRROS	376.41	214.27	603.67	149.12	182.55	435.55	406.31	155.5	387.02	368.65	110.43	69.52	26.67	84.63	44.25	208.38	40.93	52.82	36.79	24.63	20.56	13.22	217.27	32.82	18.84	26.28	29.7	59.97	35.5	30.12	12.83	59.13	40.07	13.72	15.11	45.85	29.7	25.91	104.42	31.0	44.25	34.75	105.89	116.78	70.01	483.38	28.24	400.71	167.9	490.14	417.77	629.35	463.65	356.05	105.15	169.07	258.57	366.09	351.14	283.05
P2RY10	29.27	22.59	84.04	9.13	29.48	14.14	35.76	21.63	47.17	9.93	25.72	16.88	15.34	9.93	5.5	11.21	4.31	11.91	0.0	1.16	0.0	0.0	57.49	0.0	3.96	1.14	0.73	7.63	2.76	5.32	0.0	2.68	183.82	2.1	6.89	2.27	13.42	4.5	16.88	8.85	40.07	1.14	11.38	5.59	2.16	48.52	9.93	96.68	146.03	39.79	71.5	57.89	55.89	226.54	86.43	17.25	158.79	54.72	189.02	81.14
P2RY8	63.0	68.55	131.51	39.22	43.32	103.69	77.25	43.63	67.59	66.65	20.71	71.5	8.45	34.02	22.43	51.35	54.72	24.99	20.41	9.48	15.22	2.16	24.63	10.31	8.25	16.27	9.93	26.67	7.22	10.31	4.62	9.78	15.45	6.26	6.84	12.64	2.94	3.08	5.28	1.27	14.24	4.58	19.97	21.78	6.89	40.64	12.74	33.3	59.13	20.41	70.51	96.68	149.12	104.42	83.45	10.47	56.28	52.45	307.69	42.11
PARVG	1508.65	1199.98	1745.2	463.65	503.95	941.27	819.3	769.69	1191.69	1378.57	423.61	173.85	154.42	260.38	162.14	397.93	102.25	161.02	16.51	63.0	17.0	33.54	497.0	90.77	59.13	69.03	66.18	194.36	41.81	88.88	70.01	111.99	118.43	34.26	87.03	111.99	139.07	120.94	307.69	74.06	264.03	93.35	269.6	503.95	108.14	1977.24	63.0	947.83	842.36	1477.58	2664.15	5594.3	1477.58	1407.55	1561.89	2075.59	4639.29	4010.71	1639.59	1407.55
PDCD1	57.08	40.93	87.03	14.89	22.75	96.68	107.38	42.41	37.59	21.78	10.0	16.51	7.11	23.25	8.71	75.11	5.15	28.65	0.0	2.56	1.99	9.2	53.95	7.51	9.34	2.89	11.55	19.97	1.3	12.74	9.78	3.0	1.83	10.16	6.26	6.67	3.14	1.6	2.73	11.38	39.22	0.65	9.56	49.91	1.08	45.53	9.48	53.57	205.5	23.59	30.78	212.78	48.52	307.69	429.54	78.89	57.49	68.07	312.0	57.89
PIK3CG	40.93	12.45	96.68	11.04	30.12	23.76	70.01	17.51	54.72	26.28	15.34	12.64	5.02	9.56	5.28	7.94	2.53	3.35	4.94	1.08	2.84	0.66	22.75	2.89	1.77	3.47	1.97	3.23	4.86	3.06	1.1	6.78	6.84	1.68	1.45	3.23	5.11	1.73	3.99	5.63	4.54	6.16	18.7	25.91	12.0	47.17	7.82	53.95	24.11	161.02	64.8	92.05	41.81	256.78	267.73	42.71	47.5	80.57	363.56	68.55
PIK3R6	218.79	75.11	173.85	31.45	43.32	53.57	92.7	56.28	103.69	102.25	28.45	14.78	12.55	11.73	13.52	36.01	7.63	11.55	0.69	3.63	1.69	6.26	55.49	11.64	6.01	6.01	14.03	18.29	2.23	13.93	16.88	10.96	11.73	18.29	5.96	11.91	1.68	1.06	10.63	1.91	14.03	4.98	17.9	23.42	2.89	226.54	15.68	120.94	31.67	162.14	223.41	231.32	47.84	80.57	22.26	96.01	142.01	76.17	42.71	92.05
PREX1	785.88	429.54	947.83	312.0	309.83	813.63	802.41	476.71	733.19	651.58	262.2	189.02	64.8	234.57	105.15	246.28	260.38	237.86	72.52	62.56	234.57	314.17	236.21	253.23	119.26	141.02	52.08	182.55	95.34	112.77	36.27	63.45	105.15	56.68	44.25	92.05	195.72	76.71	151.22	34.02	112.77	72.01	165.57	206.94	78.34	743.43	103.69	703.28	297.17	389.72	769.69	1073.91	1096.5	591.22	1639.59	595.34	599.49	896.64	902.89	698.41
PRF1	269.6	182.55	215.77	87.65	74.06	194.36	599.49	145.02	181.28	142.01	62.12	54.33	26.47	88.26	56.68	180.02	58.3	69.52	27.44	28.24	13.62	17.9	246.28	18.43	36.53	28.45	77.79	75.64	70.51	34.51	17.25	76.71	25.54	26.28	27.84	33.06	171.45	96.01	78.89	86.43	157.68	100.83	226.54	109.66	80.57	211.31	31.22	493.56	409.15	532.74	348.71	1304.15	1008.9	599.49	3955.48	723.08	1388.16	463.65	397.93	438.59
PTPN22	72.52	43.94	80.01	10.08	17.77	18.16	21.78	22.75	43.94	10.47	37.85	17.51	12.0	20.86	9.2	18.03	10.39	11.13	1.69	4.94	2.73	1.06	43.02	9.93	13.72	7.63	4.17	9.85	3.86	6.41	6.94	5.19	10.08	3.86	3.69	8.19	11.3	33.06	21.94	16.63	26.28	4.9	9.2	23.42	3.35	148.09	24.11	92.05	119.26	109.66	135.24	170.25	79.45	417.77	684.02	165.57	190.34	90.14	432.53	133.36
PTPN7	183.82	121.79	279.14	48.87	127.89	122.64	249.73	132.44	208.38	133.36	113.56	73.03	53.95	122.64	41.81	119.26	34.02	63.45	3.96	27.44	8.51	10.31	134.3	33.06	21.47	20.71	39.22	60.39	9.06	25.54	25.17	27.25	25.54	9.85	15.91	38.4	31.9	29.91	20.26	82.29	102.97	18.7	22.59	84.63	7.51	297.17	45.53	143.01	198.47	236.21	389.72	860.08	130.6	246.28	406.31	226.54	156.59	146.03	318.57	323.03
PTPRC	651.58	336.79	866.07	199.85	239.52	111.99	525.39	248.0	583.07	212.78	271.48	131.51	69.03	173.85	106.63	146.03	62.12	88.26	17.38	22.59	17.13	6.36	571.05	37.32	48.18	46.5	37.85	80.57	73.03	59.97	14.45	59.13	87.03	42.11	35.76	55.49	486.75	99.43	165.57	156.59	221.86	80.01	228.13	334.46	87.03	954.43	103.69	1322.37	988.12	563.18	688.78	1583.71	2796.65	2075.59	6207.38	470.14	1781.89	785.88	2609.3	1313.23
PYHIN1	55.49	56.68	86.43	17.9	22.75	12.64	63.89	40.93	37.85	21.32	26.1	17.51	6.31	29.27	11.47	48.87	14.24	18.03	1.14	8.13	1.68	4.39	108.14	8.32	11.21	4.78	8.25	18.84	8.71	17.13	1.83	8.13	10.79	11.38	13.42	8.25	19.11	18.29	21.78	30.34	82.29	6.11	28.04	31.22	18.16	53.19	16.03	70.51	138.1	148.09	144.01	95.34	53.95	114.36	154.42	24.46	325.29	32.82	109.66	79.45
RAB33A	23.93	19.53	49.56	9.7	24.11	35.76	22.92	19.97	17.77	7.4	13.52	12.55	7.34	18.56	7.82	13.32	6.52	8.0	1.01	5.54	1.04	0.85	20.41	9.06	1.73	3.79	16.75	12.36	2.03	8.0	2.32	2.73	5.28	2.43	4.46	4.74	3.59	15.8	2.07	5.77	5.77	4.13	4.58	11.47	0.92	35.5	9.2	46.5	40.64	28.45	58.3	34.75	71.0	68.55	21.32	20.26	42.41	14.24	47.5	58.3
RAC2	1519.15	941.27	2133.97	444.72	967.76	1143.1	1467.37	1135.2	1540.37	1096.5	830.75	358.54	256.78	587.13	231.32	878.17	246.28	656.11	39.79	85.82	31.22	28.04	1088.92	1159.07	100.13	127.89	186.4	334.46	94.67	149.12	80.01	208.38	224.97	62.12	109.66	182.55	400.71	206.94	651.58	198.47	759.08	265.87	536.45	1242.34	341.51	1268.46	571.05	1709.26	1857.6	1674.06	2485.67	8538.88	4639.29	2400.97	5479.15	2367.9	5147.73	2133.97	1088.92	1639.59
RASSF2	255.0	273.37	595.34	85.22	120.1	182.55	218.79	201.25	400.71	182.55	74.58	74.06	23.42	63.0	21.63	64.8	37.32	34.26	8.51	11.38	6.52	7.46	80.01	34.51	27.84	35.25	15.91	52.08	18.97	26.28	13.93	24.81	21.16	20.11	10.88	21.63	65.72	50.98	35.25	11.3	46.18	35.0	57.49	52.82	23.25	620.67	69.03	591.22	323.03	223.41	435.55	412.0	234.57	642.59	1081.39	417.77	624.99	239.52	384.34	674.59
RCSD1	406.31	289.02	651.58	137.14	195.72	312.0	412.0	285.03	395.18	366.09	123.5	87.65	48.87	90.77	53.95	113.56	34.51	54.72	29.06	23.59	18.03	11.47	214.27	50.63	29.06	33.54	23.42	65.72	40.07	52.82	17.77	57.89	52.45	23.08	25.54	42.11	25.54	58.3	117.6	33.78	108.14	46.5	137.14	137.14	59.55	327.56	60.82	470.14	417.77	232.94	559.28	896.64	204.07	457.25	438.59	137.14	241.19	351.14	1794.29	381.68
RGL4	33.06	36.79	57.49	16.88	13.32	22.43	33.06	31.67	28.04	21.16	30.56	19.53	2.48	23.08	4.9	19.53	8.45	19.25	0.59	4.17	1.07	1.25	42.71	13.52	2.14	7.88	5.23	19.11	3.86	12.18	6.78	0.0	5.41	3.5	4.31	6.52	32.13	4.9	9.56	14.78	15.91	17.25	7.34	8.32	24.63	37.05	9.06	72.01	31.9	31.9	18.7	103.69	94.01	38.4	135.24	90.77	52.82	38.95	32.82	120.1
RUNX3	161.02	177.53	299.25	55.49	115.97	183.82	212.78	126.12	190.34	120.1	76.71	33.54	25.72	66.65	30.56	69.52	24.46	42.41	5.11	12.27	5.77	3.56	87.03	24.28	13.93	13.93	18.03	51.71	16.51	24.46	12.93	17.38	16.88	5.87	14.78	20.86	50.27	49.91	21.47	46.18	64.8	40.07	74.58	52.82	33.06	195.72	40.64	244.57	309.83	384.34	158.79	395.18	295.11	341.51	1794.29	100.13	571.05	312.0	723.08	316.37
SASH3	813.63	595.34	1286.18	341.51	441.64	679.29	1044.52	493.56	896.64	842.36	175.07	128.79	65.26	158.79	111.21	182.55	60.82	79.45	8.0	40.07	12.0	19.39	262.2	38.95	34.26	40.64	47.84	103.69	26.1	52.08	34.26	44.57	71.0	21.16	27.05	52.45	53.95	52.45	186.4	46.18	79.45	70.51	211.31	325.29	59.13	921.88	74.58	872.1	718.08	1417.35	1407.55	4512.4	1037.29	679.29	1313.23	3146.52	1378.57	1487.87	1096.5	961.07
SCIMP	318.57	218.79	490.14	117.6	166.73	249.73	483.38	187.71	466.88	320.8	130.6	42.71	21.47	64.34	17.25	47.84	18.03	18.56	5.19	5.36	8.25	2.84	181.28	15.0	13.22	4.35	6.67	23.25	16.27	15.56	6.94	27.64	29.27	7.34	11.38	16.63	43.02	8.06	144.01	45.85	52.45	99.43	217.27	105.15	81.71	183.82	20.56	214.27	1167.14	435.55	616.37	1242.34	444.72	603.67	244.57	954.43	389.72	1295.13	387.02	229.72
SELPLG	1277.29	802.41	1977.24	540.19	536.45	1304.15	1001.93	902.89	1175.27	1883.54	256.78	113.56	59.55	236.21	93.35	285.03	87.65	138.1	13.62	35.5	14.14	14.35	363.56	64.34	49.56	56.68	47.17	169.07	42.41	43.32	59.55	72.52	65.72	30.12	47.17	63.0	103.69	65.72	220.32	70.51	120.94	146.03	559.28	497.0	151.22	1191.69	84.04	1233.75	1350.18	2090.03	748.61	4704.07	5076.84	3039.3	2627.46	3060.45	2875.3	2555.58	1950.0	1199.98
SH2D1A	45.85	48.18	76.71	11.82	21.47	12.74	47.5	43.94	35.25	24.46	23.42	20.11	5.41	29.06	11.64	38.4	7.34	15.11	0.49	5.92	2.23	2.43	87.65	3.86	10.96	5.15	5.45	17.51	2.86	12.27	2.1	3.08	6.67	5.87	4.54	6.36	10.39	13.62	10.63	30.56	28.45	15.11	22.92	26.28	27.05	48.52	21.32	114.36	142.01	53.95	80.57	79.45	75.11	255.0	229.72	10.79	157.68	57.49	143.01	74.58
SIGLEC10	191.67	141.02	476.71	94.01	129.69	351.14	140.04	150.17	186.4	265.87	91.41	43.63	29.91	52.08	11.82	98.04	20.71	25.72	2.29	8.13	7.88	5.15	83.45	22.43	7.57	20.86	11.47	47.84	21.16	30.78	15.34	12.36	34.26	5.73	11.38	18.97	31.22	10.31	287.01	16.88	59.13	32.13	61.68	57.08	36.79	136.19	32.82	169.07	1225.22	190.34	152.28	507.46	454.09	198.47	95.34	1331.57	108.9	293.07	135.24	201.25
SIGLEC14	114.36	173.85	217.27	101.54	99.43	237.86	279.14	102.97	114.36	221.86	36.79	20.26	5.36	48.87	11.47	43.63	12.83	19.82	3.06	1.04	0.78	1.89	105.89	6.36	8.78	1.71	3.82	12.18	5.77	6.26	0.0	0.0	9.06	4.21	10.71	13.72	24.46	8.38	0.0	1.35	21.63	53.57	151.22	93.35	65.26	88.26	7.34	341.51	429.54	483.38	136.19	299.25	490.14	291.04	201.25	497.0	316.37	224.97	181.28	158.79
SIRPG	58.71	46.84	136.19	18.43	30.56	63.45	169.07	53.19	52.82	60.39	45.53	22.43	13.03	76.71	21.16	72.52	28.04	40.36	0.0	14.56	1.57	4.06	86.43	10.55	14.24	13.32	26.47	42.41	4.21	18.84	11.55	5.11	12.74	17.13	17.64	9.34	3.69	29.48	25.72	25.91	26.86	17.13	18.03	59.97	11.64	53.57	10.08	91.41	62.56	69.03	64.8	100.13	46.84	62.12	34.26	67.59	96.01	71.0	39.79	59.55
SIT1	71.5	87.03	253.23	58.3	91.41	90.77	229.72	89.51	99.43	97.36	60.82	28.45	12.18	63.89	20.41	70.51	35.5	55.49	0.0	11.64	2.39	5.5	67.59	14.45	14.24	16.39	24.46	47.5	7.22	7.57	11.82	8.45	13.83	6.94	6.52	19.68	12.83	8.71	16.15	10.16	29.06	12.55	45.53	115.16	11.38	119.26	17.9	120.94	309.83	170.25	241.19	514.56	147.06	397.93	131.51	63.0	115.16	121.79	191.67	158.79
SLA	884.29	718.08	759.08	490.14	273.37	1008.9	507.46	486.75	660.68	460.44	167.9	96.01	62.56	118.43	61.25	249.73	35.0	80.01	10.79	26.1	10.24	9.34	224.97	32.13	38.12	33.54	25.35	91.41	24.63	40.64	21.78	67.12	45.85	23.25	42.11	36.27	514.56	61.25	176.29	30.78	90.14	68.55	236.21	167.9	50.98	656.11	36.79	693.58	1697.45	974.5	612.11	1909.85	1127.35	1923.14	1819.35	3395.89	1628.26	1001.93	6935.54	587.13
SLA2	43.63	47.5	89.51	13.93	25.35	35.0	66.65	53.19	46.5	31.9	22.26	19.97	7.22	29.7	17.64	31.0	11.21	26.86	1.93	8.19	3.32	2.68	42.41	7.57	11.21	12.27	12.45	26.67	4.86	12.09	8.0	9.34	10.39	2.76	5.77	10.08	22.26	12.36	14.78	31.22	12.93	7.94	20.71	21.63	6.67	55.1	13.22	115.16	171.45	65.26	58.3	90.77	49.21	190.34	420.68	31.45	172.65	46.18	163.28	119.26
SLAMF6	79.45	82.87	234.57	56.28	48.52	154.42	133.36	52.08	94.01	58.3	30.78	21.16	6.01	27.64	12.74	67.12	10.55	15.8	3.17	4.78	1.08	1.95	59.97	11.38	10.96	5.77	6.73	22.59	10.08	13.22	2.86	6.94	6.11	6.46	7.4	7.69	18.03	35.0	18.03	23.42	55.89	13.12	85.82	41.81	17.38	137.14	31.22	186.4	291.04	147.06	182.55	316.37	134.3	111.21	115.97	141.02	158.79	698.41	151.22	139.07
SLFN12L	21.01	22.92	16.75	1.57	5.45	0.75	8.85	1.36	10.0	2.03	18.7	3.96	7.4	4.39	3.38	23.42	7.88	6.01	0.85	4.06	1.95	0.75	30.12	3.69	5.32	1.73	3.76	14.89	0.77	1.97	2.14	5.73	4.94	0.77	4.43	3.17	3.89	10.31	6.26	0.05	23.08	2.81	3.99	14.45	5.19	45.21	13.12	6.67	42.41	72.52	38.4	70.51	19.25	60.39	60.39	15.11	54.72	27.44	56.28	58.3
SNX20	214.27	134.3	392.44	69.03	122.64	102.25	190.34	125.24	212.78	155.5	105.15	43.94	18.84	75.64	28.04	74.06	20.11	32.82	1.83	10.88	4.39	2.2	92.7	18.29	11.38	14.35	16.75	38.4	10.47	14.67	10.24	15.0	27.25	8.58	10.0	16.39	20.26	7.94	44.89	9.27	39.22	25.54	45.21	132.44	30.34	258.57	25.35	218.79	454.09	341.51	253.23	1870.53	269.6	249.73	373.81	497.0	551.56	260.38	180.02	293.07
SPN	356.05	325.29	507.46	144.01	201.25	169.07	521.76	209.84	426.57	363.56	195.72	50.27	23.08	78.89	34.02	68.55	31.45	33.3	5.23	17.13	7.46	3.99	99.43	18.16	16.15	15.56	18.29	42.11	17.9	23.08	7.94	20.71	18.56	10.55	11.47	18.7	14.45	31.9	59.55	18.7	47.5	37.59	74.58	95.34	61.25	358.54	35.5	237.86	339.14	1030.12	356.05	2119.22	575.03	934.76	1066.48	988.12	2090.03	1628.26	860.08	312.0
STK17B	166.73	169.07	241.19	48.87	63.45	49.56	104.42	88.26	138.1	60.82	76.71	66.65	69.52	58.71	18.03	63.0	29.91	40.36	4.24	14.14	14.24	9.41	115.16	32.82	25.91	48.18	25.17	40.93	62.12	41.81	17.9	16.39	34.02	18.97	17.64	22.92	64.8	52.82	36.01	33.78	134.3	21.78	41.52	85.82	10.0	332.14	287.01	669.92	1216.75	536.45	563.18	555.41	624.99	909.17	1594.73	651.58	684.02	1023.0	2739.08	830.75
TAGAP	384.34	171.45	334.46	66.65	135.24	107.38	180.02	96.68	320.8	157.68	50.27	21.94	11.47	29.91	17.77	33.06	16.75	14.67	1.81	5.77	2.73	1.16	98.04	5.92	15.11	8.92	6.31	19.25	7.4	17.64	2.76	7.51	11.38	4.03	8.78	7.69	223.41	43.94	12.18	61.68	88.88	14.67	42.71	43.02	11.55	293.07	22.43	223.41	327.56	351.14	332.14	507.46	698.41	1331.57	301.33	147.06	813.63	295.11	361.04	187.71
