	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.KK.A6E1.01A.11R.A311.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
PPP1R3F	0.0	0.43	95.34	53.95	171.45	88.26	94.67	57.08	106.63	116.78	95.34	135.24	111.21	90.14	41.22	137.14	63.45	163.28	110.43	80.57	149.12	58.71	101.54	167.9	69.52	152.28	59.55	152.28	55.89	116.78	76.71	133.36	102.97	105.15	115.16	81.71	64.34	70.01	128.79	99.43	62.56	211.31	162.14	71.0	131.51	107.38	121.79	45.85	78.89	96.68	67.59	116.78	64.8	134.3	72.01	35.25	119.26	154.42	41.52	94.01	187.71	83.45	52.08	45.21	156.59	140.04	124.37	86.43	99.43	142.01	135.24	164.42	134.3	131.51	115.16	142.01
PXMP2	0.0	0.06	642.59	500.46	981.29	567.1	571.05	563.18	967.76	842.36	679.29	808.0	674.59	775.05	356.05	698.41	521.76	769.69	1023.0	708.18	769.69	503.95	1081.39	555.41	733.19	830.75	503.95	954.43	291.04	860.08	718.08	934.76	624.99	753.83	373.81	961.07	723.08	785.88	1044.52	1199.98	633.73	1369.04	967.76	902.89	813.63	241.19	583.07	379.04	620.67	536.45	848.22	941.27	490.14	679.29	607.87	603.67	1233.75	748.61	642.59	967.76	1151.06	638.15	493.56	629.35	830.75	1135.2	1350.18	698.41	1119.56	1242.34	738.29	854.13	921.88	1037.29	669.92	791.35
RAB11B	2148.82	536.45	2255.7	2739.08	2997.45	2701.35	2835.7	2319.15	4010.71	3564.78	2319.15	3665.02	3018.3	3325.99	1733.13	2855.44	2287.2	2956.17	2835.7	2956.17	2573.36	2209.26	3190.46	3614.55	2537.92	3901.01	2855.44	3280.18	2148.82	2485.67	2417.67	2997.45	2287.2	2573.36	2777.33	2335.28	2090.03	2855.44	3540.14	3639.7	2075.59	3395.89	4066.71	2701.35	3212.66	3257.52	2855.44	2047.0	2351.53	2609.3	3235.01	3190.46	2555.58	2627.46	2485.67	1883.54	4704.07	2816.11	2935.74	2835.7	3639.7	2502.97	1923.14	2895.31	3060.45	3847.29	2434.5	2520.38	3639.7	3280.18	3716.2	3419.52	3467.27	2777.33	2645.74	3168.41
RBBP7	2739.08	264.03	2997.45	2075.59	2682.69	2384.37	1896.65	1757.34	2835.7	2119.22	1909.85	2240.11	2271.4	2468.49	1870.53	2351.53	1639.59	3103.19	2004.85	2591.27	1870.53	1286.18	3257.52	1844.76	2319.15	3081.75	1794.29	2335.28	2119.22	2163.77	2537.92	1950.0	1745.2	2835.7	1685.71	2119.22	2384.37	2777.33	2351.53	2004.85	2018.8	2645.74	3349.13	2075.59	2018.8	2875.3	2956.17	2104.58	1794.29	1447.15	2209.26	2468.49	1950.0	2018.8	2193.99	2032.85	2573.36	2796.65	1769.57	2004.85	2502.97	2591.27	2417.67	1832.01	3146.52	3235.01	2178.83	2032.85	2271.4	2664.15	2367.9	2645.74	2193.99	2997.45	2875.3	3060.45
RSPH9	0.0	0.0	12.83	7.75	25.54	9.7	8.45	8.78	17.77	19.68	9.27	20.56	14.03	15.45	13.93	16.63	9.63	12.83	16.75	14.89	9.06	12.45	18.03	15.11	11.3	21.47	10.63	13.93	12.09	14.67	16.03	11.13	17.13	10.88	27.84	9.63	14.14	26.67	18.84	23.25	12.09	18.7	15.45	9.34	15.34	23.08	35.25	8.92	10.88	12.09	15.0	14.45	6.57	14.45	12.45	19.39	18.16	18.84	22.92	6.46	14.89	7.82	8.0	13.32	19.39	20.11	16.63	13.52	17.77	24.99	32.82	21.32	14.03	17.64	28.24	28.45
SEPW1	0.0	0.99	8247.98	8421.31	16383.0	11267.44	6983.79	9740.98	15824.9	9474.59	10512.82	9151.82	13306.94	12589.08	9876.98	11909.94	6037.61	10225.32	6840.04	8134.41	12943.04	7749.1	12589.08	8901.53	6250.56	17197.56	7589.61	11909.94	3349.13	10733.74	5555.65	9673.69	5672.41	12502.12	11424.74	10959.3	8901.53	9474.59	13399.51	10808.41	5255.91	12160.22	17437.64	10585.95	8421.31	10440.2	9215.48	6381.92	5517.27	10512.82	12076.21	17317.18	5006.93	7230.1	8247.98	5872.48	12076.21	12502.12	7642.41	8479.89	10296.45	7857.29	6745.86	9088.59	12853.63	15715.58	13492.72	9279.58	11664.82	17437.64	11189.6	16960.78	10733.74	17317.18	13776.25	13215.02
SFTPD	0.0	0.0	54.33	38.95	125.24	73.54	52.45	18.29	108.9	77.79	52.82	69.03	66.18	76.71	42.11	68.07	38.95	87.65	39.5	60.39	44.57	22.1	71.0	27.25	42.71	107.38	18.97	43.02	38.4	75.11	32.59	64.34	15.0	27.84	40.07	59.13	48.87	45.53	46.18	95.34	34.75	84.63	131.51	58.3	64.34	51.35	57.49	48.52	65.26	9.56	64.8	102.25	51.35	29.06	8.58	18.97	117.6	48.18	23.59	67.12	84.63	60.39	52.82	68.07	85.22	137.14	58.3	75.64	126.12	112.77	85.82	88.26	74.06	94.01	72.01	74.58
SIVA1	3443.31	121.79	1225.22	1844.76	2796.65	2148.82	1977.24	1487.87	2335.28	2835.7	1191.69	2319.15	2537.92	2061.24	1051.79	2384.37	1467.37	2816.11	1794.29	1685.71	1883.54	1583.71	2240.11	2777.33	1551.09	2555.58	2485.67	2367.9	1388.16	1572.76	1388.16	2224.63	1081.39	1883.54	2319.15	1757.34	1369.04	1350.18	3419.52	1963.57	1151.06	4152.18	2935.74	1605.83	2047.0	2417.67	2502.97	1350.18	1467.37	1487.87	1936.53	1909.85	1369.04	2090.03	1216.75	896.64	3190.46	1977.24	2367.9	2018.8	2664.15	2178.83	1304.15	2061.24	2417.67	2627.46	2875.3	2351.53	2319.15	3060.45	2976.74	2895.31	2777.33	3039.3	2335.28	2417.67
SNAI3	0.0	0.22	17.25	6.67	23.93	11.13	6.67	7.94	16.75	34.02	6.89	15.8	16.75	21.32	11.3	27.64	13.52	33.54	13.03	19.82	19.53	4.43	17.0	11.21	14.14	15.0	7.17	23.93	6.21	11.47	22.59	22.59	14.14	44.57	17.77	16.63	9.78	19.53	12.18	17.51	15.45	43.32	26.47	11.13	17.51	21.63	27.64	13.22	9.85	9.93	17.25	20.56	9.13	16.75	5.32	13.12	22.1	19.11	10.88	20.56	20.56	11.3	10.71	8.65	17.25	28.65	25.17	16.75	26.86	17.13	25.72	21.78	15.91	26.1	34.51	36.53
SRRM3	0.0	0.57	27.84	19.68	37.32	29.7	17.38	14.78	69.52	77.79	7.69	89.51	42.41	44.89	35.76	23.76	32.13	61.25	31.0	29.91	36.01	12.83	69.03	33.06	34.02	63.45	9.2	39.22	18.43	25.35	31.67	35.0	35.76	29.91	54.72	23.93	34.26	36.53	48.18	36.79	27.84	172.65	50.63	33.3	37.85	59.13	50.27	19.97	31.9	14.78	36.01	35.0	22.59	13.52	8.0	18.56	78.34	64.8	26.28	21.16	35.0	5.77	34.75	12.64	54.33	49.91	26.67	19.25	54.33	72.52	134.3	72.01	40.93	80.01	75.64	64.34
SSNA1	0.0	0.26	1350.18	1870.53	2573.36	2271.4	1605.83	1697.45	3039.3	2417.67	1674.06	2520.38	2956.17	2075.59	1127.35	2739.08	1561.89	2537.92	2004.85	1857.6	2255.7	1397.83	2956.17	2351.53	1697.45	3235.01	2004.85	2335.28	1832.01	2271.4	1572.76	1857.6	1923.14	1909.85	1977.24	1977.24	1477.58	1819.35	3515.68	2555.58	1304.15	4095.0	3039.3	1923.14	2104.58	1923.14	2956.17	1832.01	1832.01	1268.46	2287.2	2240.11	1322.37	1950.0	1896.65	1073.91	2997.45	1909.85	2417.67	2193.99	3540.14	2384.37	1369.04	2816.11	2758.13	2796.65	3515.68	2240.11	2434.5	2664.15	2119.22	2895.31	2351.53	3349.13	1923.14	1909.85
SYS1	0.0	0.16	525.39	563.18	1096.5	629.35	540.19	514.56	854.13	785.88	612.11	718.08	842.36	728.11	486.75	791.35	473.41	842.36	616.37	551.56	665.29	493.56	633.73	551.56	571.05	1044.52	624.99	723.08	551.56	642.59	514.56	679.29	543.96	575.03	947.83	688.78	559.28	647.07	674.59	599.49	432.53	361.04	878.17	624.99	679.29	764.36	532.74	476.71	961.07	624.99	842.36	603.67	559.28	543.96	583.07	438.59	718.08	718.08	703.28	536.45	684.02	525.39	463.65	529.06	660.68	791.35	693.58	583.07	813.63	934.76	616.37	1023.0	780.44	921.88	802.41	775.05
SYTL1	0.0	0.77	2796.65	3146.52	4328.55	1757.34	1674.06	2240.11	3190.46	2997.45	4481.23	4543.8	2573.36	3955.48	748.61	3190.46	1769.57	2502.97	2758.13	2875.3	2255.7	1191.69	3235.01	2417.67	2701.35	3372.43	2758.13	2758.13	656.11	2271.4	2133.97	3039.3	2104.58	2400.97	1594.73	4181.07	1286.18	2178.83	2915.45	2777.33	1781.89	2720.15	4298.64	2119.22	2645.74	1378.57	2701.35	1594.73	2537.92	2047.0	3491.39	4210.15	1662.49	2090.03	273.37	1322.37	5366.37	2209.26	3955.48	4450.27	4419.52	3146.52	1977.24	1757.34	4152.18	5292.48	5441.3	2417.67	5006.93	5672.41	4123.49	2816.11	2739.08	2816.11	2468.49	2240.11
TECR	0.0	0.58	2591.27	3639.7	5366.37	3874.05	2468.49	2664.15	8022.41	5041.77	3982.99	4704.07	5517.27	4358.66	2573.36	3982.99	2417.67	5255.91	2758.13	3257.52	3928.15	2287.2	4769.75	4575.41	3303.0	7280.4	3515.68	4268.94	1572.76	3146.52	3018.3	3257.52	2240.11	3081.75	3690.52	2956.17	3039.3	3820.7	4152.18	4239.45	2417.67	7589.61	7032.37	3515.68	3081.75	3235.01	4268.94	2720.15	3081.75	3325.99	5913.33	3589.58	3395.89	2895.31	2976.74	2119.22	5219.6	3124.78	3982.99	3742.05	5791.62	2956.17	2758.13	2956.17	4704.07	6745.86	3928.15	3212.66	6699.25	5441.3	4903.87	7642.41	4607.24	6699.25	4298.64	4152.18
TMEM203	0.0	0.09	785.88	802.41	915.51	848.22	679.29	679.29	1066.48	1023.0	796.86	866.07	1059.11	679.29	607.87	947.83	616.37	1001.93	830.75	693.58	967.76	759.08	1001.93	1001.93	830.75	1081.39	759.08	921.88	708.18	974.5	819.3	928.3	684.02	748.61	1127.35	896.64	819.3	872.1	1081.39	872.1	679.29	1233.75	1119.56	703.28	988.12	1127.35	928.3	941.27	1001.93	514.56	802.41	854.13	759.08	854.13	1015.93	599.49	1066.48	928.3	1001.93	759.08	1023.0	830.75	688.78	1030.12	947.83	954.43	1059.11	848.22	974.5	981.29	796.86	1111.82	1023.0	1295.13	896.64	1037.29
TMEM222	0.0	0.39	1073.91	1498.22	2104.58	1508.65	1015.93	1313.23	2335.28	1832.01	1417.35	1883.54	1697.45	1923.14	909.17	1674.06	1073.91	2319.15	1388.16	1447.15	1369.04	830.75	2004.85	1697.45	1159.07	1977.24	1340.84	1697.45	988.12	1467.37	1143.1	1477.58	1119.56	1143.1	1583.71	1304.15	1088.92	1104.13	1583.71	1991.0	842.36	2555.58	2645.74	1044.52	1721.16	1745.2	1617.0	967.76	1427.22	1651.0	1857.6	1806.78	1143.1	1397.83	1268.46	802.41	1936.53	1388.16	1651.0	1540.37	2133.97	1340.84	974.5	1242.34	1844.76	2287.2	2400.97	1191.69	2018.8	2047.0	1572.76	2104.58	1832.01	2240.11	1447.15	1498.22
TMEM39B	0.0	0.38	229.72	197.09	299.25	275.28	209.84	206.94	353.59	358.54	153.34	332.14	265.87	256.78	191.67	246.28	211.31	273.37	255.0	231.32	251.48	198.47	323.03	251.48	244.57	363.56	224.97	293.07	182.55	246.28	258.57	239.52	204.07	242.88	287.01	249.73	159.9	237.86	293.07	217.27	164.42	389.72	318.57	279.14	271.48	293.07	229.72	201.25	199.85	187.71	281.09	217.27	178.77	279.14	169.07	208.38	320.8	264.03	215.77	236.21	289.02	229.72	226.54	258.57	312.0	303.44	316.37	248.0	358.54	334.46	361.04	351.14	283.05	346.29	323.03	343.89
TMEM53	0.0	0.0	217.27	381.68	444.72	223.41	244.57	183.82	297.17	303.44	361.04	246.28	323.03	348.71	142.01	334.46	236.21	409.15	307.69	244.57	249.73	133.36	366.09	248.0	205.5	351.14	159.9	441.64	171.45	307.69	256.78	277.2	190.34	289.02	305.55	265.87	236.21	323.03	395.18	358.54	176.29	325.29	371.22	228.13	373.81	325.29	341.51	185.11	198.47	309.83	260.38	400.71	253.23	223.41	209.84	150.17	409.15	295.11	289.02	299.25	384.34	218.79	220.32	146.03	271.48	381.68	438.59	205.5	341.51	305.55	265.87	312.0	371.22	379.04	255.0	316.37
TMEM61	0.0	0.14	68.07	67.12	60.39	135.24	11.64	31.9	90.14	118.43	30.12	217.27	96.01	67.59	48.87	74.58	34.51	159.9	28.45	116.78	33.54	39.5	83.45	121.79	55.49	163.28	38.95	122.64	9.7	54.72	59.55	40.64	73.54	60.39	65.72	57.89	61.25	65.72	88.26	94.67	53.19	223.41	293.07	34.51	150.17	133.36	51.71	43.02	40.07	19.39	185.11	144.01	24.11	58.3	13.32	34.26	152.28	102.25	107.38	114.36	106.63	90.14	47.5	35.5	218.79	173.85	130.6	59.97	117.6	92.7	100.83	332.14	162.14	118.43	132.44	120.94
TMEM91	0.0	0.62	115.16	106.63	323.03	198.47	135.24	60.82	218.79	223.41	120.1	341.51	186.4	251.48	88.88	169.07	95.34	229.72	242.88	183.82	185.11	76.17	255.0	177.53	176.29	137.14	77.25	242.88	93.35	177.53	214.27	132.44	76.17	149.12	199.85	129.69	93.35	136.19	220.32	148.09	109.66	208.38	299.25	142.01	191.67	248.0	237.86	84.63	164.42	82.29	173.85	137.14	83.45	117.6	97.36	77.25	327.56	103.69	251.48	209.84	312.0	150.17	138.1	193.01	212.78	291.04	234.57	185.11	138.1	532.74	417.77	295.11	204.07	183.82	228.13	206.94
TNK1	0.0	0.27	325.29	395.18	376.41	303.44	205.5	224.97	371.22	483.38	363.56	395.18	332.14	409.15	177.53	409.15	293.07	368.65	242.88	244.57	269.6	100.13	275.28	246.28	309.83	417.77	161.02	397.93	289.02	325.29	307.69	376.41	107.38	329.84	273.37	329.84	223.41	314.17	170.25	356.05	171.45	346.29	366.09	253.23	281.09	299.25	312.0	189.02	303.44	135.24	348.71	426.57	329.84	217.27	241.19	226.54	420.68	376.41	208.38	275.28	325.29	291.04	242.88	209.84	400.71	423.61	361.04	262.2	476.71	426.57	420.68	343.89	358.54	417.77	301.33	303.44
TNKS1BP1	0.0	1.17	3124.78	4010.71	2915.45	3491.39	1721.16	3515.68	4010.71	4239.45	2915.45	3690.52	3639.7	4152.18	2739.08	3540.14	3124.78	5112.16	2468.49	3280.18	4066.71	2193.99	3874.05	3349.13	3257.52	4419.52	2997.45	3515.68	2816.11	2895.31	3168.41	3280.18	2104.58	3060.45	3982.99	3039.3	3280.18	3540.14	4038.61	3146.52	2816.11	3742.05	4152.18	2701.35	3768.09	2384.37	2976.74	2895.31	3146.52	3146.52	3257.52	3690.52	2417.67	2835.7	2224.63	2956.17	4268.94	3847.29	4268.94	4298.64	3742.05	3303.0	2720.15	2935.74	3515.68	4268.94	4038.61	3081.75	3847.29	3564.78	3768.09	4181.07	3467.27	3372.43	2956.17	3039.3
TRIP6	0.0	1.14	518.15	371.22	466.88	500.46	283.05	173.85	1096.5	1104.13	199.85	1295.13	559.28	579.04	356.05	796.86	454.09	669.92	579.04	698.41	438.59	215.77	656.11	371.22	567.1	1143.1	260.38	620.67	258.57	397.93	480.04	423.61	287.01	460.44	698.41	293.07	406.31	371.22	825.0	854.13	379.04	764.36	1111.82	409.15	525.39	567.1	693.58	348.71	376.41	258.57	518.15	454.09	267.73	511.0	143.01	318.57	1088.92	836.53	432.53	457.25	518.15	368.65	381.68	234.57	921.88	909.17	599.49	409.15	1111.82	1216.75	1896.65	1119.56	915.51	902.89	1044.52	1208.34
TSEN34	0.0	0.71	1313.23	1551.09	1781.89	1651.0	1487.87	1175.27	1870.53	1733.13	1674.06	1529.73	1832.01	1498.22	1191.69	1651.0	1268.46	1628.26	1572.76	1340.84	1437.15	1331.57	1794.29	1467.37	1540.37	1896.65	1745.2	1896.65	1023.0	1950.0	1477.58	1572.76	1295.13	1350.18	1605.83	1685.71	1313.23	1628.26	1923.14	1487.87	1151.06	2400.97	1991.0	1467.37	1844.76	1781.89	1519.15	1369.04	1529.73	1286.18	1757.34	1617.0	1242.34	1487.87	1519.15	1088.92	1950.0	1427.22	1685.71	1487.87	1709.26	1662.49	1216.75	1594.73	1769.57	1745.2	1551.09	1572.76	1605.83	1709.26	1350.18	1733.13	1857.6	1936.53	1388.16	1508.65
UNC45A	0.0	0.69	1529.73	1378.57	1508.65	1427.22	1508.65	1437.15	1794.29	1794.29	1295.13	1883.54	1519.15	1487.87	698.41	1685.71	1457.23	1697.45	1709.26	1617.0	1457.23	1369.04	1733.13	1583.71	1407.55	1909.85	1242.34	1745.2	954.43	1651.0	1233.75	1437.15	1498.22	1477.58	1651.0	1437.15	1242.34	1407.55	1857.6	1551.09	1111.82	1757.34	1757.34	1551.09	1757.34	1583.71	1457.23	1322.37	1477.58	1322.37	1594.73	1977.24	1111.82	1561.89	1331.57	1304.15	1781.89	1794.29	1651.0	1628.26	1709.26	1519.15	1175.27	1350.18	1745.2	1896.65	1605.83	1583.71	1909.85	1628.26	1781.89	1883.54	1561.89	1617.0	1745.2	1781.89
URM1	0.0	0.33	1088.92	1151.06	1561.89	1477.58	1175.27	1199.98	1923.14	1794.29	1313.23	1697.45	1781.89	1583.71	1111.82	1427.22	1127.35	1551.09	1350.18	1233.75	1540.37	1059.11	1781.89	1457.23	1457.23	2018.8	1159.07	1721.16	1583.71	1551.09	1088.92	1397.83	1199.98	1498.22	1561.89	1331.57	1175.27	1417.35	1709.26	1551.09	1127.35	1883.54	2018.8	1417.35	1583.71	1359.57	1259.69	1457.23	1277.29	947.83	1628.26	1733.13	1023.0	1457.23	1286.18	1183.45	2032.85	1407.55	1304.15	1286.18	1639.59	1313.23	1277.29	1662.49	1397.83	1870.53	1498.22	1397.83	1594.73	1651.0	1369.04	1936.53	1617.0	1883.54	1572.76	1617.0
UROD	0.0	0.51	1151.06	1350.18	1651.0	1498.22	1135.2	1073.91	1806.78	1685.71	1359.57	1870.53	1639.59	1407.55	1111.82	1745.2	1044.52	1662.49	1417.35	1295.13	1268.46	854.13	1757.34	1487.87	1427.22	1794.29	1322.37	1617.0	1015.93	1529.73	1397.83	1437.15	1268.46	1572.76	1498.22	1467.37	1397.83	1457.23	2061.24	1477.58	995.0	2434.5	1844.76	1628.26	1617.0	1963.57	1467.37	1104.13	1594.73	1225.22	1487.87	1662.49	1143.1	1519.15	1628.26	1030.12	1963.57	1322.37	1467.37	1313.23	1745.2	1685.71	1167.14	1639.59	1745.2	1896.65	1883.54	1594.73	1583.71	1923.14	1519.15	1709.26	1551.09	1909.85	1857.6	1519.15
WBP2	0.0	0.87	3325.99	5076.84	4328.55	3690.52	3564.78	2645.74	4607.24	4181.07	4123.49	3614.55	4512.4	3955.48	3564.78	3768.09	3190.46	5041.77	3060.45	3589.58	3564.78	2816.11	3794.3	4038.61	2915.45	5041.77	3491.39	3614.55	2915.45	3515.68	2591.27	3491.39	3039.3	2645.74	3419.52	2796.65	2976.74	3395.89	2384.37	5441.3	2720.15	4298.64	5006.93	3639.7	3820.7	3768.09	3540.14	3212.66	3280.18	2520.38	4328.55	4152.18	4704.07	3081.75	3794.3	2537.92	3690.52	3419.52	4328.55	3589.58	3443.31	2976.74	2855.44	3280.18	3690.52	5076.84	2935.74	3280.18	4481.23	4903.87	3491.39	4639.29	3847.29	3955.48	3820.7	3794.3
WIPI2	1268.46	287.01	1233.75	1313.23	1331.57	1388.16	1322.37	1051.79	1437.15	1388.16	1397.83	1340.84	1295.13	1487.87	1037.29	1225.22	1088.92	1378.57	830.75	1350.18	1277.29	1242.34	1427.22	1733.13	1175.27	1437.15	1151.06	1487.87	1167.14	1477.58	1151.06	1233.75	1037.29	1457.23	1167.14	1331.57	1066.48	1208.34	1407.55	1487.87	1015.93	1417.35	1733.13	1250.98	1561.89	1447.15	1313.23	1127.35	1427.22	1167.14	1477.58	1733.13	1388.16	1167.14	1081.39	1242.34	1583.71	1340.84	1340.84	1191.69	1388.16	1183.45	1167.14	1175.27	1359.57	1605.83	1594.73	1216.75	1397.83	1427.22	1268.46	1350.18	1286.18	1583.71	1322.37	1216.75
ZNF574	0.0	0.28	255.0	435.55	301.33	323.03	438.59	224.97	376.41	392.44	258.57	299.25	343.89	389.72	187.71	353.59	271.48	429.54	307.69	314.17	361.04	323.03	307.69	309.83	285.03	395.18	279.14	358.54	198.47	336.79	223.41	403.5	244.57	231.32	329.84	291.04	178.77	228.13	387.02	289.02	251.48	438.59	417.77	253.23	417.77	379.04	289.02	258.57	258.57	275.28	332.14	318.57	361.04	271.48	214.27	206.94	316.37	293.07	371.22	318.57	312.0	314.17	242.88	320.8	318.57	356.05	316.37	260.38	400.71	332.14	297.17	361.04	332.14	327.56	293.07	325.29
ZNF777	211.31	115.16	273.37	320.8	249.73	285.03	316.37	256.78	305.55	327.56	241.19	325.29	287.01	316.37	198.47	267.73	285.03	318.57	309.83	264.03	312.0	339.14	291.04	295.11	228.13	358.54	299.25	299.25	253.23	249.73	249.73	281.09	171.45	190.34	299.25	234.57	191.67	234.57	325.29	297.17	221.86	351.14	368.65	275.28	312.0	316.37	215.77	244.57	251.48	269.6	297.17	309.83	255.0	299.25	176.29	234.57	343.89	325.29	318.57	303.44	297.17	242.88	229.72	269.6	312.0	318.57	273.37	277.2	387.02	299.25	312.0	332.14	305.55	236.21	256.78	287.01
