	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.UTHO.2426.SM.4JBHD	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.RU72.1426.SM.46MUF	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12696.0826.SM.5EGGE	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.11WQC.0726.SM.5EQMR	GTEX.NFK9.2226.SM.3MJGP	TCGA.EM.A3FR.01A.11R.A220.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.EL.A3CW.01A.11R.A19O.07	TCGA.EL.A3CY.01A.11R.A19O.07	TCGA.E8.A2JQ.11A.11R.A180.07	TCGA.BJ.A28R.11A.11R.A16R.07	TCGA.EL.A3ZL.11A.11R.A23N.07	TCGA.FY.A3TY.11A.12R.A22U.07	TCGA.EL.A3MW.11A.11R.A20F.07	TCGA.KS.A41I.11A.11R.A23N.07	TCGA.EL.A3GZ.11A.11R.A20F.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.GE.A2C6.11A.11R.A16R.07	TCGA.EL.A3N3.11A.11R.A20F.07	TCGA.BJ.A2N9.11A.11R.A18C.07	TCGA.EL.A3T2.11A.11R.A22L.07	TCGA.BJ.A2N7.11A.11R.A18C.07	GTEX.S7SF.0226.SM.5SI7H	GTEX.WOFL.0726.SM.3MJG4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.13NZ9.1126.SM.5MR37	GTEX.YB5K.0526.SM.5LUAS	GTEX.XUJ4.0726.SM.4BOOP	GTEX.13OVI.0826.SM.5KLZ8
JAG2	96.01	52.45	21.16	10.08	18.84	36.27	19.53	20.41	27.44	115.16	47.5	22.75	45.85	9.93	17.38	33.06	14.78	15.34	17.9	43.32	325.29	6.78	13.62	7.06	53.57	30.12	41.22	16.51	33.78	45.53	26.47	13.72	46.18	8.92	98.04	7.46	78.89	12.18	13.03	64.8	71.0	8.51	59.97	21.16	8.85	39.79	33.06	34.26	72.52	684.02	208.38	866.07	299.25	603.67	199.85	164.42	145.02	309.83	163.28	269.6	248.0	182.55	122.64	185.11	152.28	334.46	169.07	237.86	373.81	242.88	176.29	234.57	152.28	169.07	307.69
KANK3	154.42	108.14	50.98	55.49	24.63	107.38	81.14	36.79	38.4	172.65	85.82	69.52	64.34	93.35	31.67	74.06	48.18	108.9	68.55	64.34	358.54	57.08	68.07	47.84	52.82	99.43	69.03	56.28	54.72	64.34	57.08	86.43	90.14	129.69	269.6	59.55	178.77	31.0	88.88	75.64	159.9	112.77	78.89	32.59	29.91	90.14	117.6	64.8	80.57	169.07	159.9	332.14	265.87	312.0	162.14	229.72	159.9	205.5	182.55	387.02	212.78	159.9	201.25	147.06	275.28	181.28	186.4	253.23	299.25	156.59	146.03	320.8	195.72	162.14	248.0
KCNE3	37.85	122.64	76.71	54.33	16.63	88.26	24.99	78.89	159.9	239.52	49.91	104.42	23.93	41.81	59.97	69.03	70.51	51.71	81.71	10.47	249.73	108.9	99.43	18.43	37.59	80.57	63.45	42.71	121.79	38.67	69.03	24.46	45.85	72.52	91.41	24.81	195.72	12.93	14.89	50.63	52.82	60.82	116.78	60.82	17.38	61.68	120.94	33.3	88.88	72.01	412.0	583.07	171.45	249.73	146.03	156.59	77.79	120.1	189.02	118.43	198.47	153.34	81.71	84.63	149.12	87.65	112.77	90.77	50.63	36.79	77.25	89.51	104.42	134.3	44.57
KCNN4	55.89	13.72	7.11	17.25	9.41	17.0	7.88	12.0	38.67	43.94	13.72	11.82	24.63	9.85	21.32	12.64	0.22	7.46	9.63	7.75	164.42	7.82	24.46	5.68	67.59	28.45	47.17	8.78	12.74	11.04	22.43	18.16	17.9	9.78	35.25	5.63	218.79	3.11	8.45	7.11	20.11	37.85	43.63	3.08	6.62	4.43	17.51	2.97	9.93	1378.57	28.86	733.19	395.18	860.08	226.54	100.13	28.45	27.05	29.06	236.21	24.46	30.78	148.09	214.27	237.86	19.97	32.82	26.1	48.52	283.05	49.56	7230.1	205.5	24.11	42.71
KIAA1045	18.16	1.87	1.25	3.29	0.0	6.46	0.0	3.03	1.99	3.69	2.16	4.78	1.13	0.58	1.38	1.03	3.23	2.78	0.56	2.34	13.83	0.58	0.67	2.05	4.46	4.21	3.47	1.57	0.18	2.97	3.2	13.03	0.21	0.93	3.66	0.56	10.96	1.55	4.21	2.41	1.35	0.16	3.38	0.54	0.0	1.08	1.45	0.58	4.21	1.48	3.35	6.16	9.13	6.41	10.24	17.0	6.31	7.46	6.67	13.32	4.74	3.56	10.08	7.0	14.67	3.03	13.42	6.84	3.89	12.64	7.22	25.17	4.7	5.32	9.78
KIAA1211L	30.78	19.25	6.01	4.21	3.14	17.51	6.52	4.66	6.52	11.91	34.02	4.78	14.45	12.27	5.82	3.66	13.42	16.27	16.27	16.75	37.59	2.84	4.1	7.51	3.99	13.42	8.0	9.63	12.55	15.56	2.61	6.67	28.86	11.21	7.46	5.23	24.99	3.76	8.71	2.78	18.03	46.18	26.28	4.28	4.21	13.93	4.39	14.45	18.56	111.21	151.22	151.22	159.9	223.41	127.0	127.0	105.89	89.51	140.04	150.17	80.01	140.04	100.13	85.82	104.42	105.89	167.9	114.36	71.0	140.04	92.05	85.22	126.12	110.43	197.09
LHFP	503.95	231.32	83.45	158.79	55.49	220.32	153.34	135.24	163.28	1066.48	289.02	87.65	194.36	226.54	87.65	95.34	147.06	191.67	138.1	173.85	842.36	103.69	176.29	47.84	173.85	209.84	135.24	71.0	154.42	201.25	128.79	104.42	229.72	127.0	316.37	148.09	307.69	131.51	74.06	138.1	358.54	100.83	460.44	75.64	54.33	183.82	150.17	118.43	460.44	106.63	638.15	1977.24	884.29	2032.85	775.05	1073.91	941.27	941.27	1059.11	1378.57	764.36	612.11	981.29	738.29	890.44	785.88	660.68	1216.75	1030.12	830.75	961.07	1388.16	1135.2	896.64	1096.5
LMO4	647.07	981.29	473.41	529.06	441.64	748.61	500.46	507.46	420.68	884.29	1628.26	988.12	748.61	813.63	295.11	521.76	974.5	872.1	878.17	559.28	1745.2	1457.23	1015.93	356.05	295.11	836.53	1477.58	674.59	279.14	454.09	559.28	1059.11	769.69	571.05	224.97	743.43	417.77	353.59	486.75	603.67	995.0	684.02	733.19	412.0	208.38	733.19	718.08	1023.0	647.07	698.41	934.76	2119.22	1407.55	1487.87	1286.18	1104.13	1208.34	1044.52	1044.52	1199.98	1199.98	890.44	1378.57	1167.14	1119.56	1313.23	1175.27	1651.0	1037.29	928.3	1001.93	1208.34	1857.6	1208.34	1030.12
LMOD1	353.59	102.25	19.39	18.03	18.29	88.88	30.34	47.5	23.59	170.25	607.87	9.78	87.03	135.24	34.75	18.7	90.14	31.45	44.57	92.05	417.77	25.54	15.11	14.67	28.86	34.75	40.36	10.63	92.7	150.17	23.42	41.52	78.34	10.88	159.9	19.25	131.51	126.12	13.32	34.26	127.0	26.67	100.83	5.19	77.25	74.58	26.1	92.7	68.07	1427.22	114.36	186.4	674.59	283.05	854.13	759.08	1819.35	1268.46	1487.87	1427.22	1015.93	540.19	647.07	1857.6	842.36	1081.39	764.36	4481.23	1832.01	1883.54	1447.15	547.75	1540.37	1519.15	2835.7
LZTS2	305.55	223.41	176.29	172.65	151.22	366.09	145.02	178.77	167.9	603.67	279.14	151.22	183.82	133.36	182.55	232.94	88.88	105.15	215.77	158.79	1369.04	105.89	208.38	112.77	177.53	223.41	208.38	76.71	215.77	297.17	229.72	127.0	109.66	133.36	518.15	127.89	260.38	141.02	202.66	218.79	438.59	90.14	454.09	66.18	105.89	177.53	177.53	127.89	316.37	698.41	1697.45	2224.63	1498.22	1313.23	1350.18	1104.13	1551.09	1216.75	1183.45	1447.15	1295.13	1143.1	1199.98	1008.9	1030.12	1437.15	1008.9	1427.22	1417.35	1001.93	988.12	1250.98	1096.5	1088.92	1883.54
MAP1B	75.64	28.65	20.56	22.75	3.06	24.99	22.1	26.86	20.41	42.11	131.51	9.7	29.27	37.05	4.98	3.17	22.26	36.53	10.31	41.52	193.01	7.94	4.9	12.27	15.68	24.11	16.75	12.36	16.39	43.32	10.0	9.7	27.25	24.99	72.52	27.64	108.9	56.28	5.82	21.32	55.1	24.81	51.71	7.06	26.47	23.93	8.45	40.36	13.03	142.01	50.63	166.73	98.04	392.44	89.51	135.24	92.7	111.21	145.02	69.03	94.01	76.71	182.55	102.25	55.1	100.13	99.43	117.6	267.73	195.72	74.58	61.68	67.12	157.68	205.5
MAP3K12	113.56	34.51	39.22	17.13	20.26	68.07	22.43	49.21	41.52	138.1	89.51	18.56	55.1	12.45	34.26	47.84	28.04	20.26	72.01	19.68	334.46	13.03	36.27	12.18	48.52	98.04	87.03	38.4	58.71	47.84	38.67	43.02	59.55	19.11	135.24	33.54	82.87	38.67	24.46	52.45	143.01	22.59	143.01	31.0	18.43	32.59	48.18	31.67	84.04	114.36	236.21	529.06	297.17	493.56	279.14	271.48	323.03	463.65	226.54	373.81	214.27	150.17	307.69	255.0	217.27	312.0	224.97	312.0	483.38	194.36	320.8	457.25	271.48	242.88	314.17
MAP7D1	854.13	559.28	373.81	432.53	246.28	476.71	392.44	400.71	295.11	1104.13	785.88	395.18	490.14	327.56	265.87	579.04	299.25	262.2	332.14	423.61	1529.73	346.29	476.71	309.83	490.14	703.28	688.78	264.03	429.54	486.75	480.04	309.83	366.09	289.02	483.38	358.54	1175.27	289.02	204.07	540.19	547.75	244.57	603.67	242.88	221.86	368.65	511.0	450.94	426.57	1662.49	1721.16	2090.03	1923.14	2796.65	2240.11	1457.23	3124.78	1151.06	2133.97	2573.36	1369.04	1216.75	1781.89	2451.44	1909.85	1023.0	1001.93	1819.35	2417.67	1617.0	1051.79	1769.57	1151.06	1417.35	1508.65
MED19	271.48	275.28	208.38	199.85	211.31	312.0	162.14	148.09	215.77	314.17	255.0	241.19	209.84	193.01	173.85	271.48	289.02	202.66	262.2	264.03	403.5	164.42	242.88	100.83	199.85	521.76	320.8	116.78	239.52	231.32	265.87	226.54	248.0	281.09	170.25	237.86	307.69	169.07	185.11	301.33	299.25	275.28	248.0	220.32	80.57	214.27	277.2	314.17	314.17	483.38	684.02	341.51	381.68	256.78	363.56	473.41	497.0	432.53	420.68	486.75	395.18	395.18	441.64	403.5	486.75	536.45	450.94	718.08	426.57	591.22	638.15	567.1	514.56	607.87	417.77
METTL23	813.63	988.12	872.1	603.67	909.17	988.12	733.19	848.22	813.63	842.36	836.53	753.83	473.41	934.76	579.04	575.03	620.67	738.29	1183.45	733.19	1883.54	934.76	684.02	555.41	753.83	1135.2	1044.52	616.37	1119.56	660.68	1313.23	450.94	444.72	525.39	1242.34	785.88	575.03	878.17	813.63	860.08	1259.69	928.3	866.07	629.35	579.04	775.05	1088.92	764.36	909.17	1135.2	1844.76	1081.39	1467.37	967.76	1175.27	1295.13	1159.07	1407.55	1295.13	1508.65	1427.22	1143.1	1304.15	1359.57	1437.15	1143.1	1208.34	1519.15	1286.18	1242.34	1628.26	1594.73	1896.65	1059.11	1378.57
MFGE8	1104.13	366.09	180.02	82.29	117.6	432.53	145.02	181.28	180.02	780.44	1183.45	85.82	493.56	651.58	129.69	138.1	191.67	460.44	206.94	497.0	1407.55	86.43	134.3	124.37	177.53	232.94	191.67	343.89	551.56	497.0	162.14	603.67	915.51	81.71	647.07	518.15	547.75	214.27	72.01	253.23	379.04	511.0	651.58	55.1	529.06	679.29	191.67	713.11	140.04	1127.35	1883.54	10084.54	3901.01	6792.79	2255.7	1662.49	2434.5	2224.63	1950.0	2451.44	1369.04	1628.26	2209.26	1242.34	2148.82	2434.5	1685.71	3395.89	7966.99	5147.73	1498.22	1857.6	2075.59	6079.61	1950.0
MIER2	183.82	108.9	88.88	77.25	41.81	142.01	94.67	109.66	76.71	135.24	187.71	57.49	130.6	61.25	95.34	50.27	39.22	30.56	66.18	80.57	343.89	45.85	59.13	111.99	98.04	217.27	128.79	87.65	68.55	88.88	55.49	75.11	40.64	62.56	143.01	70.01	185.11	112.77	69.52	96.01	126.12	30.12	109.66	97.36	43.94	100.13	68.07	146.03	57.49	307.69	265.87	518.15	339.14	511.0	291.04	297.17	265.87	293.07	211.31	329.84	271.48	244.57	429.54	224.97	291.04	314.17	339.14	309.83	255.0	348.71	273.37	303.44	291.04	339.14	307.69
MITD1	454.09	457.25	244.57	246.28	277.2	454.09	287.01	332.14	332.14	368.65	262.2	305.55	246.28	161.02	279.14	209.84	303.44	206.94	325.29	244.57	647.07	389.72	242.88	209.84	466.88	412.0	312.0	177.53	275.28	217.27	348.71	260.38	327.56	309.83	518.15	137.14	403.5	301.33	217.27	450.94	314.17	172.65	400.71	264.03	162.14	208.38	412.0	205.5	412.0	332.14	791.35	813.63	733.19	769.69	974.5	819.3	796.86	836.53	785.88	1111.82	651.58	480.04	780.44	819.3	848.22	698.41	728.11	759.08	860.08	563.18	825.0	1167.14	860.08	567.1	791.35
MYL6B	813.63	547.75	400.71	406.31	395.18	503.95	373.81	339.14	444.72	607.87	265.87	316.37	563.18	202.66	435.55	688.78	205.5	262.2	587.13	974.5	1359.57	497.0	432.53	540.19	688.78	796.86	620.67	229.72	450.94	713.11	884.29	713.11	400.71	361.04	571.05	124.37	358.54	281.09	277.2	490.14	928.3	121.79	693.58	281.09	339.14	571.05	497.0	612.11	417.77	2451.44	3124.78	1794.29	2148.82	1277.29	1437.15	1832.01	1977.24	2133.97	1923.14	2384.37	2335.28	2193.99	1781.89	1870.53	3018.3	2209.26	2240.11	2319.15	1359.57	1781.89	2047.0	2935.74	2303.12	4066.71	2004.85
NCKIPSD	320.8	295.11	215.77	163.28	181.28	373.81	194.36	173.85	177.53	361.04	305.55	175.07	206.94	180.02	255.0	175.07	114.36	228.13	255.0	255.0	753.83	144.01	320.8	68.55	155.5	202.66	170.25	172.65	262.2	316.37	202.66	301.33	239.52	220.32	285.03	202.66	120.1	297.17	231.32	205.5	249.73	258.57	277.2	189.02	177.53	195.72	176.29	275.28	283.05	450.94	409.15	532.74	336.79	348.71	281.09	351.14	329.84	381.68	249.73	389.72	376.41	316.37	346.29	309.83	346.29	389.72	305.55	314.17	493.56	281.09	403.5	406.31	366.09	287.01	348.71
NFKBIL1	420.68	511.0	279.14	279.14	343.89	595.34	318.57	220.32	309.83	438.59	297.17	241.19	303.44	171.45	397.93	351.14	124.37	187.71	320.8	218.79	961.07	211.31	232.94	275.28	493.56	514.56	279.14	223.41	397.93	205.5	336.79	303.44	232.94	287.01	764.36	220.32	325.29	417.77	381.68	629.35	473.41	206.94	420.68	387.02	466.88	332.14	429.54	309.83	305.55	595.34	909.17	780.44	738.29	473.41	567.1	698.41	764.36	595.34	579.04	684.02	679.29	708.18	775.05	490.14	723.08	884.29	764.36	909.17	693.58	559.28	624.99	563.18	808.0	693.58	785.88
NOD1	72.52	43.32	34.75	60.82	18.29	52.45	53.19	31.67	29.48	76.71	68.55	39.79	28.24	19.53	31.22	49.91	23.08	16.39	34.75	23.08	145.02	32.82	37.05	20.86	31.9	37.05	31.45	29.7	30.78	29.7	57.49	20.56	40.07	31.9	103.69	26.47	122.64	21.32	10.39	26.47	82.87	27.25	46.84	35.76	7.88	33.06	47.17	32.36	44.89	87.03	255.0	2796.65	463.65	1037.29	392.44	256.78	591.22	197.09	249.73	303.44	201.25	242.88	325.29	271.48	191.67	339.14	283.05	647.07	1407.55	180.02	264.03	387.02	153.34	146.03	473.41
NOTCH4	426.57	187.71	155.5	141.02	54.72	231.32	189.02	193.01	189.02	412.0	173.85	202.66	208.38	177.53	78.34	234.57	141.02	178.77	236.21	177.53	866.07	135.24	195.72	138.1	75.64	236.21	234.57	136.19	148.09	166.73	159.9	158.79	211.31	244.57	450.94	123.5	314.17	85.82	153.34	224.97	457.25	151.22	220.32	127.0	80.57	279.14	264.03	214.27	205.5	493.56	563.18	1104.13	341.51	934.76	303.44	307.69	353.59	403.5	264.03	412.0	414.87	368.65	432.53	334.46	314.17	555.41	490.14	521.76	995.0	202.66	318.57	444.72	251.48	279.14	514.56
NOV	108.9	16.39	9.56	6.84	4.5	20.86	12.93	9.27	15.68	14.24	71.5	2.81	11.3	31.22	12.09	34.26	15.45	40.64	16.27	14.35	101.54	3.96	5.68	10.08	15.45	25.17	12.93	7.28	36.53	26.67	6.26	10.31	24.28	7.69	20.71	7.69	65.72	19.25	5.28	72.01	20.26	9.56	27.05	0.96	7.63	67.59	24.99	30.56	10.47	981.29	144.01	173.85	363.56	255.0	325.29	450.94	341.51	591.22	603.67	332.14	450.94	343.89	305.55	343.89	214.27	325.29	287.01	325.29	217.27	334.46	285.03	420.68	571.05	318.57	133.36
NOVA2	33.3	26.47	7.51	12.74	2.84	14.56	15.91	16.03	8.85	38.67	15.0	11.82	13.42	13.32	7.63	6.41	12.09	8.25	15.11	9.48	76.17	8.19	15.0	11.91	4.86	13.52	21.01	4.1	11.21	11.64	17.64	8.92	13.22	22.92	32.59	11.64	53.57	7.34	10.71	10.71	46.5	14.45	25.17	10.16	6.46	15.22	21.32	15.34	17.51	37.32	100.13	131.51	77.25	97.36	65.72	77.79	26.1	55.1	39.22	56.28	53.57	57.89	57.89	32.82	38.95	42.71	57.08	75.64	105.89	24.63	25.17	84.04	24.99	37.05	54.33
NRGN	239.52	55.1	32.36	27.25	34.02	119.26	38.4	120.94	73.03	258.57	76.17	59.13	63.45	73.54	90.14	48.18	66.65	62.56	48.18	46.5	265.87	37.59	91.41	91.41	61.68	45.53	15.0	26.28	90.77	29.48	102.25	21.16	38.67	7.82	156.59	32.13	269.6	37.32	12.93	63.45	223.41	29.48	64.8	15.56	91.41	67.12	70.01	16.88	69.52	120.1	237.86	587.13	346.29	329.84	211.31	191.67	215.77	236.21	246.28	265.87	205.5	193.01	167.9	256.78	190.34	381.68	318.57	417.77	599.49	115.16	267.73	327.56	157.68	269.6	180.02
NRM	248.0	122.64	100.13	93.35	59.97	185.11	117.6	77.25	92.7	348.71	147.06	140.04	231.32	35.5	96.68	147.06	47.17	53.57	50.98	265.87	384.34	106.63	87.65	94.67	231.32	142.01	126.12	72.52	94.67	246.28	172.65	163.28	63.89	105.15	153.34	31.0	178.77	38.95	43.02	265.87	532.74	31.45	246.28	90.14	14.89	115.16	117.6	154.42	249.73	236.21	341.51	361.04	289.02	361.04	414.87	273.37	289.02	275.28	267.73	387.02	277.2	312.0	277.2	334.46	366.09	264.03	361.04	275.28	633.73	237.86	226.54	547.75	287.01	253.23	202.66
NT5C3B	1250.98	842.36	1088.92	743.43	854.13	1096.5	1044.52	995.0	684.02	785.88	518.15	1104.13	1225.22	511.0	909.17	728.11	1151.06	409.15	1487.87	647.07	3820.7	796.86	954.43	1250.98	1417.35	1651.0	902.89	521.76	1104.13	543.96	1008.9	1096.5	884.29	1001.93	591.22	775.05	733.19	547.75	941.27	1388.16	1208.34	693.58	921.88	860.08	698.41	1151.06	928.3	1143.1	1437.15	2835.7	3280.18	1417.35	2303.12	1268.46	2119.22	2591.27	2537.92	3103.19	2682.69	2240.11	3257.52	2835.7	2537.92	2502.97	2451.44	2451.44	2627.46	3349.13	2004.85	2287.2	2193.99	2701.35	3614.55	2047.0	2701.35
NT5DC2	265.87	139.07	49.91	53.95	66.65	177.53	38.4	87.65	109.66	414.87	599.49	126.12	551.56	76.17	50.27	128.79	29.27	133.36	86.43	124.37	1059.11	54.33	37.32	118.43	69.03	157.68	224.97	60.82	72.01	351.14	100.13	61.68	171.45	95.34	211.31	79.45	295.11	50.98	57.89	208.38	113.56	47.5	197.09	8.0	24.99	165.57	100.13	201.25	177.53	1977.24	454.09	1769.57	813.63	1081.39	612.11	723.08	607.87	860.08	753.83	764.36	802.41	1104.13	688.78	591.22	842.36	791.35	941.27	830.75	1819.35	1111.82	616.37	1350.18	769.69	1051.79	981.29
NUP188	242.88	139.07	157.68	163.28	92.05	217.27	138.1	176.29	111.99	236.21	236.21	91.41	101.54	158.79	115.16	82.87	151.22	103.69	153.34	165.57	497.0	120.94	91.41	176.29	165.57	127.0	366.09	241.19	97.36	171.45	100.13	163.28	142.01	140.04	173.85	111.99	244.57	108.14	166.73	246.28	165.57	154.42	150.17	97.36	44.57	194.36	162.14	223.41	150.17	423.61	341.51	647.07	521.76	616.37	603.67	432.53	463.65	511.0	480.04	497.0	466.88	470.14	511.0	616.37	460.44	507.46	444.72	476.71	575.03	417.77	490.14	825.0	423.61	363.56	723.08
OBSCN	29.7	7.11	10.55	13.72	11.3	27.44	6.46	15.11	16.63	94.01	22.43	0.0	24.28	4.74	12.09	9.78	6.46	9.34	24.28	5.87	988.12	2.84	9.27	6.01	55.89	25.54	21.63	8.25	19.82	13.62	52.45	2.46	13.52	0.0	248.0	4.24	42.41	13.52	8.85	41.22	93.35	1.46	63.45	5.02	3.47	18.7	17.0	5.41	40.07	525.39	264.03	733.19	603.67	473.41	312.0	450.94	728.11	728.11	426.57	447.82	563.18	358.54	444.72	444.72	460.44	733.19	403.5	536.45	363.56	201.25	507.46	748.61	476.71	1295.13	366.09
ORM1	875652.15	938500.81	1864037.21	469249.9	1264380.15	1524599.69	1155430.26	1916442.45	1890058.21	2156109.97	4136558.78	3676749.88	3070409.25	2691538.19	1656835.72	3156730.23	2748093.15	3576208.94	2767207.65	2748093.15	348306.01	3313672.43	3780117.42	4165330.83	1956711.0	2986448.72	2082664.91	3313672.43	2617937.91	2654482.97	1374046.07	5572911.22	8505707.6	2825352.59	524287.0	4051429.61	2965819.8	4282434.24	3028138.0	1656835.72	1514068.5	6183532.28	751804.53	4433454.0	4433454.0	3832885.91	3859545.74	2767207.65	900270.11	3223059.86	1.89	8.78	6.52	27.44	27.84	34.02	7.69	3.5	21.78	1.85	7.34	11.13	35.0	13.72	32.82	0.88	43.94	7.57	62.56	35.0	0.0	5.77	24.99	0.0	3.79
OSBPL7	43.02	36.27	14.45	12.18	18.97	44.57	8.0	18.97	26.67	76.17	45.53	13.52	30.78	9.93	19.39	16.75	12.64	11.13	45.21	12.93	283.05	9.2	25.54	10.39	28.24	15.0	63.89	13.62	26.86	15.8	44.57	11.21	36.53	6.36	103.69	6.89	101.54	25.35	8.85	23.25	41.22	12.45	82.87	9.85	5.54	12.18	33.78	16.88	42.41	249.73	224.97	353.59	255.0	285.03	267.73	283.05	246.28	295.11	220.32	346.29	232.94	251.48	269.6	305.55	343.89	400.71	358.54	275.28	450.94	191.67	327.56	587.13	194.36	301.33	194.36
OXCT1	44.25	15.45	17.0	10.39	2.48	20.86	11.04	22.1	29.27	167.9	120.94	30.34	68.55	14.56	24.63	7.57	76.71	15.56	39.5	8.92	87.03	16.39	32.13	3.76	4.62	87.65	10.96	15.56	25.35	31.67	7.82	8.99	8.65	9.06	52.45	19.25	111.99	13.42	40.07	10.08	40.93	3.29	60.82	1.93	2.34	22.75	14.78	62.12	17.13	497.0	255.0	253.23	536.45	264.03	435.55	551.56	348.71	563.18	571.05	444.72	575.03	647.07	525.39	571.05	400.71	395.18	447.82	426.57	376.41	620.67	764.36	309.83	665.29	612.11	234.57
P4HTM	486.75	265.87	271.48	258.57	414.87	454.09	417.77	366.09	186.4	493.56	567.1	121.79	180.02	109.66	651.58	229.72	93.35	120.94	262.2	109.66	1225.22	136.19	450.94	151.22	493.56	256.78	476.71	103.69	441.64	242.88	444.72	122.64	153.34	141.02	447.82	140.04	599.49	848.22	283.05	361.04	476.71	201.25	583.07	780.44	105.89	104.42	334.46	147.06	480.04	1259.69	1745.2	1757.34	1242.34	866.07	988.12	1127.35	1331.57	1359.57	1096.5	1407.55	1259.69	1519.15	1191.69	1143.1	1359.57	1286.18	1407.55	1313.23	1529.73	1051.79	1467.37	1369.04	1350.18	1378.57	1397.83
PCBP4	376.41	381.68	111.21	127.89	155.5	423.61	122.64	120.1	124.37	389.72	145.02	144.01	186.4	171.45	157.68	234.57	111.21	126.12	166.73	226.54	836.53	66.65	114.36	198.47	307.69	217.27	215.77	125.24	187.71	258.57	208.38	195.72	157.68	145.02	373.81	154.42	161.02	124.37	132.44	318.57	529.06	112.77	403.5	147.06	98.04	167.9	201.25	201.25	214.27	890.44	651.58	813.63	540.19	698.41	511.0	490.14	466.88	660.68	490.14	713.11	511.0	392.44	514.56	490.14	665.29	521.76	563.18	587.13	1233.75	406.31	547.75	808.0	571.05	693.58	684.02
PCGF2	376.41	161.02	123.5	96.01	98.04	231.32	189.02	132.44	246.28	320.8	226.54	132.44	198.47	123.5	170.25	80.57	98.04	112.77	111.99	279.14	759.08	42.11	148.09	56.68	132.44	234.57	275.28	92.7	120.1	215.77	239.52	149.12	163.28	166.73	674.59	84.04	265.87	183.82	132.44	158.79	353.59	173.85	256.78	71.0	118.43	204.07	131.51	132.44	283.05	896.64	1350.18	1605.83	1015.93	1015.93	909.17	713.11	1119.56	1322.37	1037.29	921.88	1037.29	1001.93	780.44	915.51	1081.39	1167.14	1059.11	928.3	961.07	819.3	947.83	909.17	988.12	860.08	1216.75
PGF	133.36	154.42	59.13	48.18	59.97	120.94	37.59	65.26	104.42	211.31	63.89	71.0	138.1	53.95	48.87	77.25	22.43	105.89	98.73	127.0	497.0	53.19	50.27	10.16	71.0	285.03	66.65	81.71	68.07	84.04	90.77	45.21	237.86	44.25	147.06	94.67	242.88	76.71	27.25	170.25	178.77	61.25	142.01	33.78	21.94	96.68	101.54	111.99	170.25	231.32	1651.0	1023.0	1583.71	791.35	1259.69	1208.34	536.45	2104.58	1745.2	1015.93	2573.36	2090.03	1457.23	1572.76	2573.36	1477.58	2645.74	1407.55	1208.34	1551.09	1757.34	1015.93	3190.46	3081.75	314.17
