	TCGA.5N.A9KM.01A.11R.A42T.07	TCGA.XF.AAN3.01A.11R.A42T.07	TCGA.GC.A3WC.01A.31R.A22U.07	TCGA.GV.A3QF.01A.31R.A22U.07	TCGA.DK.A1AE.01A.11R.A13Y.07	TCGA.GU.A42Q.01A.11R.A23W.07	TCGA.DK.AA6Q.01A.11R.A39I.07	TCGA.K4.A5RI.01A.11R.A28M.07	TCGA.GU.AATQ.01A.11R.A39I.07	TCGA.EK.A2RM.01A.21R.A18M.07	TCGA.CM.5862.01A.01R.1653.07	TCGA.MZ.A7D7.01A.21R.A34R.07	TCGA.CN.6992.01A.11R.1915.07	TCGA.CV.6935.01A.11R.1915.07	TCGA.CN.6010.01A.11R.1686.07	TCGA.CV.7254.01A.11R.2016.07	TCGA.QK.A6VB.01A.12R.A34R.07	TCGA.CQ.A4CI.01A.11R.A266.07	TCGA.CN.6023.01A.11R.1686.07	TCGA.QK.A8Z8.01A.11R.A39I.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.CC.A5UD.01A.11R.A28V.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.2Y.A9GS.01A.12R.A38B.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A10R.01A.11R.A131.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.CC.A5UE.01A.11R.A28V.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.13NZ9.1326.SM.5MR3V	TCGA.93.8067.01A.11R.2287.07	TCGA.64.1678.01A.01R.0946.07	TCGA.35.3615.01A.01R.0946.07	TCGA.44.3917.01A.01R.A278.07	TCGA.35.5375.01A.01R.1628.07	TCGA.49.4486.01A.01R.1206.07	TCGA.67.3771.01A.01R.0946.07	TCGA.38.4631.01A.01R.1755.07	TCGA.50.5066.01A.01R.1628.07	TCGA.78.7154.01A.11R.2039.07	GTEX.OOBJ.0526.SM.48TDK	GTEX.YB5E.0726.SM.4VDSH	TCGA.22.5485.01A.01R.1635.07	TCGA.18.3415.01A.01R.0980.07	TCGA.33.4589.01A.01R.1443.07	TCGA.66.2766.01A.01R.0851.07	TCGA.37.4133.01A.01R.1100.07	TCGA.18.4086.01A.01R.1100.07	TCGA.79.5596.01A.31R.1949.07	TCGA.46.3768.01A.01R.0980.07	TCGA.66.2758.01A.02R.0851.07	TCGA.33.4538.01A.01R.1201.07	TCGA.18.3411.01A.01R.0980.07	TCGA.O2.A52S.01A.11R.A262.07	TCGA.18.5592.01A.01R.1635.07	TCGA.39.5016.01A.01R.1443.07	TCGA.21.1075.01A.01R.0692.07	TCGA.37.4133.01A.01R.1100.07.1	TCGA.39.5036.01A.01R.1443.07	TCGA.66.2727.01A.01R.0980.07	TCGA.37.4130.01A.01R.1100.07	TCGA.94.7557.01A.11R.2125.07	TCGA.66.2795.01A.02R.0980.07	TCGA.85.7698.01A.11R.2125.07	TCGA.94.A5I6.01A.21R.A27Q.07	TCGA.77.6843.01A.11R.1949.07	TCGA.56.A4BX.01A.11R.A24H.07	TCGA.22.5473.01A.01R.1635.07	TCGA.98.A53I.01A.31R.A262.07	TCGA.43.3394.01A.01R.0980.07	TCGA.22.5477.01A.01R.1635.07	TCGA.18.3408.01A.01R.0980.07	TCGA.BR.6802.11A.01R.1884.13
TENM4	8.71	30.56	148.09	3.89	125.24	47.84	73.03	5.73	3.14	8.13	3.35	23.42	318.57	102.25	381.68	158.79	28.65	72.01	49.91	94.67	0.0	0.38	2.03	0.27	1.5	0.96	0.0	0.0	0.37	0.38	0.74	2.29	0.34	0.0	0.28	0.0	0.41	10.47	6.78	14.89	260.38	21.01	1.69	52.45	3.17	10.0	24.63	15.91	0.47	126.12	115.97	9.41	38.4	91.41	102.25	120.1	75.64	24.99	111.21	176.29	381.68	51.35	89.51	97.36	91.41	81.71	143.01	2.68	52.82	31.22	190.34	158.79	279.14	140.04	57.08	90.77	73.54	172.65	177.53	5.19
TET3	81.14	100.83	162.14	193.01	146.03	133.36	165.57	75.11	82.87	69.03	67.59	39.22	571.05	275.28	423.61	129.69	287.01	202.66	253.23	242.88	1.2	26.28	41.22	58.3	21.78	70.01	34.26	63.0	57.89	17.9	31.22	43.94	17.64	90.14	56.68	35.0	15.56	105.15	40.36	65.72	74.58	32.82	27.44	135.24	50.98	23.08	98.04	35.25	94.67	197.09	125.24	24.11	80.01	47.5	140.04	253.23	244.57	137.14	217.27	65.26	329.84	214.27	177.53	145.02	47.5	100.13	127.89	44.25	218.79	100.13	297.17	392.44	281.09	329.84	167.9	373.81	180.02	409.15	129.69	16.39
TGFBRAP1	157.68	152.28	234.57	167.9	182.55	131.51	114.36	176.29	169.07	124.37	163.28	48.18	229.72	177.53	231.32	181.28	214.27	139.07	314.17	201.25	15.45	50.98	83.45	101.54	59.55	102.25	92.05	80.57	37.32	47.17	56.68	122.64	23.08	87.03	63.0	41.22	42.41	195.72	60.82	112.77	88.26	61.25	69.03	186.4	85.82	54.72	204.07	198.47	217.27	173.85	136.19	30.12	141.02	44.57	155.5	228.13	341.51	153.34	253.23	96.01	198.47	191.67	253.23	96.68	44.57	151.22	178.77	41.52	239.52	151.22	209.84	264.03	253.23	231.32	163.28	231.32	140.04	256.78	128.79	109.66
TNPO3	262.2	490.14	438.59	414.87	336.79	583.07	348.71	269.6	232.94	159.9	387.02	283.05	753.83	656.11	748.61	432.53	480.04	518.15	713.11	638.15	42.71	151.22	253.23	152.28	138.1	486.75	217.27	135.24	297.17	154.42	157.68	381.68	198.47	231.32	320.8	193.01	251.48	348.71	100.13	285.03	463.65	229.72	139.07	314.17	392.44	158.79	420.68	301.33	299.25	629.35	346.29	112.77	409.15	215.77	447.82	555.41	651.58	642.59	647.07	435.55	718.08	559.28	551.56	483.38	215.77	371.22	525.39	127.89	543.96	426.57	642.59	647.07	392.44	454.09	563.18	470.14	507.46	684.02	371.22	185.11
TRIM56	68.55	135.24	441.64	98.04	237.86	332.14	126.12	102.25	50.98	18.84	80.01	32.59	262.2	150.17	438.59	269.6	201.25	108.14	426.57	277.2	4.24	65.72	65.26	38.12	38.67	214.27	116.78	47.5	100.83	49.21	74.58	115.97	43.32	49.56	102.97	96.01	121.79	139.07	13.52	159.9	158.79	48.87	55.89	164.42	182.55	25.72	212.78	94.01	57.08	120.94	95.34	52.45	108.14	22.59	67.59	211.31	244.57	183.82	199.85	75.64	297.17	190.34	223.41	107.38	22.59	71.5	135.24	36.79	307.69	85.22	239.52	265.87	189.02	100.13	119.26	186.4	164.42	361.04	64.8	53.57
TRRAP	115.97	209.84	228.13	262.2	279.14	197.09	144.01	215.77	112.77	72.52	176.29	56.28	325.29	198.47	420.68	334.46	215.77	202.66	368.65	182.55	20.26	64.34	114.36	77.25	76.17	193.01	116.78	73.03	118.43	70.01	83.45	136.19	57.89	63.45	93.35	61.68	119.26	211.31	53.19	94.67	460.44	78.89	90.14	165.57	170.25	48.87	1508.65	106.63	80.01	246.28	83.45	26.1	115.97	46.84	153.34	249.73	209.84	197.09	226.54	105.15	387.02	273.37	281.09	134.3	46.84	111.21	187.71	66.18	307.69	140.04	303.44	277.2	285.03	223.41	223.41	255.0	148.09	389.72	81.14	38.12
UBE2O	187.71	521.76	503.95	738.29	764.36	521.76	229.72	473.41	583.07	246.28	165.57	80.57	567.1	320.8	591.22	358.54	555.41	265.87	753.83	733.19	14.45	117.6	166.73	204.07	109.66	343.89	211.31	194.36	152.28	92.05	180.02	90.77	94.67	305.55	351.14	229.72	142.01	376.41	103.69	242.88	297.17	136.19	149.12	332.14	170.25	91.41	493.56	267.73	147.06	490.14	412.0	70.01	241.19	152.28	376.41	638.15	395.18	400.71	392.44	239.52	884.29	642.59	473.41	363.56	152.28	379.04	423.61	116.78	466.88	435.55	486.75	417.77	514.56	547.75	403.5	616.37	316.37	633.73	255.0	51.71
VPRBP	265.87	312.0	312.0	356.05	629.35	339.14	166.73	149.12	256.78	237.86	146.03	119.26	460.44	281.09	476.71	361.04	371.22	258.57	563.18	323.03	81.71	132.44	178.77	163.28	143.01	363.56	202.66	164.42	166.73	110.43	131.51	198.47	120.94	248.0	186.4	289.02	153.34	368.65	133.36	273.37	271.48	90.77	180.02	299.25	226.54	110.43	457.25	265.87	228.13	293.07	205.5	81.14	264.03	144.01	262.2	314.17	363.56	325.29	334.46	269.6	409.15	441.64	346.29	264.03	144.01	194.36	289.02	165.57	358.54	314.17	441.64	450.94	336.79	332.14	275.28	281.09	246.28	473.41	215.77	163.28
ZBTB39	17.51	61.25	69.03	45.85	74.06	60.39	76.17	50.27	36.79	31.9	49.21	16.51	100.83	48.52	84.04	44.25	86.43	88.26	164.42	107.38	3.89	16.27	26.86	33.54	11.47	65.26	47.5	31.0	31.9	15.91	18.84	26.28	12.64	54.72	32.36	32.82	28.24	48.87	43.94	75.64	55.49	18.43	17.51	75.11	33.78	19.39	64.34	76.17	62.56	73.54	35.5	9.34	41.52	24.46	59.97	120.94	95.34	74.58	92.05	47.5	167.9	96.68	76.71	59.97	24.46	63.89	71.5	23.93	96.01	69.03	94.01	76.71	133.36	69.03	62.12	74.06	84.04	299.25	72.52	17.0
ZNF142	84.04	112.77	149.12	100.83	194.36	220.32	201.25	154.42	170.25	58.3	149.12	46.18	341.51	223.41	351.14	107.38	267.73	130.6	373.81	269.6	6.26	64.34	96.68	130.6	33.78	144.01	137.14	73.03	62.56	40.93	72.01	90.14	37.05	81.14	86.43	61.68	47.17	264.03	43.02	122.64	122.64	75.64	90.77	361.04	78.34	31.67	176.29	152.28	143.01	283.05	95.34	17.77	96.68	46.5	117.6	262.2	258.57	187.71	140.04	106.63	339.14	341.51	223.41	72.52	46.5	87.03	85.82	71.5	392.44	142.01	167.9	221.86	289.02	191.67	171.45	253.23	127.0	285.03	98.73	58.71
ZNF282	267.73	417.77	414.87	493.56	438.59	607.87	563.18	343.89	307.69	162.14	358.54	157.68	500.46	332.14	521.76	480.04	312.0	543.96	417.77	466.88	43.02	194.36	273.37	780.44	181.28	366.09	423.61	379.04	258.57	199.85	242.88	208.38	206.94	163.28	353.59	205.5	220.32	241.19	67.59	194.36	133.36	132.44	161.02	256.78	189.02	90.77	209.84	547.75	389.72	373.81	246.28	116.78	470.14	165.57	312.0	507.46	346.29	423.61	511.0	316.37	595.34	457.25	327.56	293.07	165.57	339.14	358.54	85.82	381.68	241.19	435.55	441.64	265.87	438.59	346.29	403.5	387.02	579.04	74.06	154.42
ZNF398	132.44	105.89	109.66	145.02	163.28	94.01	115.97	66.18	68.55	61.68	101.54	88.88	217.27	88.26	195.72	189.02	130.6	190.34	156.59	147.06	18.16	39.79	66.18	111.21	46.18	99.43	81.14	36.79	57.08	42.41	56.68	75.64	45.53	37.59	63.0	80.01	37.59	54.72	78.89	115.16	130.6	94.67	63.0	126.12	59.97	47.17	80.57	128.79	87.03	132.44	92.05	33.78	104.42	97.36	111.21	204.07	162.14	102.97	195.72	155.5	175.07	205.5	100.83	152.28	97.36	98.73	117.6	35.76	133.36	146.03	154.42	166.73	90.14	125.24	113.56	120.1	220.32	209.84	110.43	76.17
ZNF609	64.8	291.04	195.72	94.01	260.38	234.57	264.03	115.16	141.02	158.79	87.65	37.32	327.56	249.73	409.15	242.88	193.01	139.07	255.0	279.14	12.83	43.63	94.67	73.03	77.79	232.94	158.79	112.77	116.78	68.07	74.58	139.07	80.57	52.08	86.43	86.43	47.17	246.28	44.25	140.04	191.67	29.06	75.64	195.72	59.55	35.0	295.11	195.72	124.37	209.84	162.14	19.53	127.0	44.57	148.09	246.28	162.14	176.29	217.27	90.14	473.41	251.48	153.34	156.59	44.57	100.83	175.07	31.45	579.04	157.68	262.2	220.32	309.83	204.07	198.47	191.67	199.85	346.29	131.51	59.55
ZNF746	122.64	273.37	470.14	248.0	575.03	607.87	647.07	279.14	175.07	177.53	255.0	149.12	287.01	251.48	642.59	432.53	220.32	441.64	567.1	201.25	35.0	96.68	303.44	161.02	128.79	356.05	429.54	110.43	171.45	108.9	144.01	229.72	89.51	283.05	183.82	507.46	190.34	172.65	124.37	206.94	161.02	171.45	151.22	406.31	163.28	88.88	211.31	307.69	297.17	607.87	379.04	62.56	409.15	181.28	379.04	332.14	567.1	466.88	629.35	587.13	796.86	559.28	384.34	450.94	181.28	356.05	363.56	126.12	651.58	368.65	417.77	624.99	348.71	303.44	397.93	503.95	299.25	878.17	182.55	119.26
ZNF777	142.01	220.32	248.0	283.05	348.71	255.0	521.76	180.02	191.67	175.07	135.24	59.97	334.46	186.4	269.6	269.6	195.72	318.57	251.48	244.57	24.81	96.68	236.21	146.03	96.01	228.13	171.45	153.34	202.66	92.7	133.36	226.54	138.1	127.89	194.36	209.84	102.97	136.19	54.33	118.43	35.76	88.88	133.36	159.9	67.12	52.08	178.77	289.02	187.71	334.46	111.21	21.94	241.19	105.89	185.11	271.48	221.86	255.0	236.21	208.38	429.54	366.09	236.21	217.27	105.89	231.32	217.27	48.18	267.73	191.67	281.09	271.48	194.36	287.01	224.97	264.03	193.01	551.56	92.05	93.35
ZNF786	80.01	115.16	133.36	66.18	170.25	101.54	171.45	48.52	59.13	50.63	76.17	45.21	214.27	36.79	155.5	173.85	181.28	165.57	142.01	147.06	3.86	32.82	57.89	42.11	45.85	108.14	98.04	20.56	61.68	42.71	44.25	57.89	43.94	36.27	87.65	41.52	56.28	68.55	37.85	76.71	68.55	76.71	29.7	102.97	67.12	18.97	52.08	90.77	67.12	106.63	43.94	22.26	82.87	31.67	57.89	217.27	91.41	111.99	182.55	137.14	211.31	130.6	81.14	81.14	31.67	98.73	65.26	21.01	149.12	108.9	151.22	183.82	109.66	100.13	75.11	166.73	177.53	239.52	31.67	21.32
ZSCAN29	96.68	234.57	353.59	131.51	325.29	218.79	265.87	119.26	142.01	147.06	187.71	136.19	466.88	167.9	307.69	157.68	217.27	224.97	325.29	323.03	15.45	77.79	140.04	84.04	72.52	221.86	125.24	87.65	127.89	58.71	79.45	96.01	50.27	72.52	111.99	87.03	91.41	181.28	77.25	212.78	241.19	51.71	68.07	166.73	105.89	60.39	260.38	206.94	177.53	229.72	98.04	25.91	98.04	48.52	165.57	293.07	144.01	202.66	251.48	106.63	262.2	229.72	120.94	152.28	48.52	108.14	155.5	85.82	265.87	273.37	314.17	249.73	237.86	271.48	176.29	351.14	226.54	271.48	136.19	82.87
ZZEF1	78.34	113.56	289.02	148.09	190.34	142.01	86.43	99.43	162.14	57.08	105.15	75.64	255.0	206.94	281.09	120.1	236.21	173.85	395.18	134.3	14.03	55.49	62.56	94.67	56.28	121.79	74.06	103.69	90.77	87.03	63.0	93.35	53.57	106.63	58.71	72.01	77.25	135.24	57.89	145.02	305.55	61.68	74.06	187.71	92.05	45.21	136.19	186.4	186.4	189.02	77.79	24.63	80.01	34.02	155.5	285.03	166.73	134.3	204.07	63.45	202.66	318.57	100.13	77.79	34.02	91.41	114.36	96.68	454.09	87.65	265.87	190.34	253.23	135.24	107.38	241.19	107.38	291.04	132.44	65.26
