	TCGA.E9.A1RB.11A.33R.A157.07	GTEX.S32W.1626.SM.4AD6G	TCGA.EK.A2GZ.01A.11R.A180.07	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.13O3O.0726.SM.5J1N7	GTEX.13OVJ.0726.SM.5KM1W	GTEX.12584.1426.SM.5EGJ9	GTEX.13FTZ.0526.SM.5IJCW	GTEX.13OVH.1026.SM.5J2NP	GTEX.POYW.1226.SM.2XCEP	GTEX.13JUV.0526.SM.5K7XE	GTEX.ZYY3.0926.SM.5E454	GTEX.13OW5.0726.SM.5KLZK	GTEX.Y111.1026.SM.4TT22	GTEX.147F4.0926.SM.5Q5EO	GTEX.12WSE.0826.SM.5S2VL	GTEX.13O3P.1026.SM.5N9E7	GTEX.111FC.1126.SM.5GZWU	GTEX.S33H.0626.SM.2XCBJ	GTEX.14E7W.1326.SM.5RQIV	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.1477Z.0626.SM.5NQB7	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.1128S.0726.SM.5N9D6	GTEX.ZE7O.0826.SM.57WCP	GTEX.13VXU.2726.SM.5LU4N	GTEX.13O3Q.0526.SM.5KM18	GTEX.13JVG.1426.SM.5MR4W	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.X261.1026.SM.3NMDL	GTEX.111VG.0726.SM.5GIDC	GTEX.11O72.1326.SM.5BC5A	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYVF.1726.SM.5E443	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.NL3G.0526.SM.4RTWW	GTEX.QEG4.0526.SM.48TZD	GTEX.XOT4.1426.SM.4B65T	GTEX.X4EP.0526.SM.3P5YW	GTEX.13FHO.1026.SM.5KM1Q	GTEX.131XH.0426.SM.5DUWU	GTEX.NPJ8.2526.SM.2HML8
TIMM21	543.96	713.11	616.37	181.28	309.83	151.22	708.18	76.71	373.81	152.28	450.94	444.72	194.36	358.54	444.72	103.69	412.0	318.57	575.03	647.07	118.43	529.06	82.87	432.53	68.55	140.04	214.27	595.34	108.9	99.43	318.57	120.94	241.19	450.94	186.4	264.03	389.72	470.14	384.34	202.66	241.19	145.02	387.02	295.11	142.01	764.36
TIRAP	197.09	148.09	47.17	35.76	87.03	55.89	87.65	38.95	100.83	64.8	118.43	204.07	77.25	123.5	251.48	30.12	141.02	98.04	143.01	209.84	48.18	183.82	47.5	166.73	40.36	83.45	102.97	172.65	36.01	60.82	69.52	97.36	92.05	180.02	29.06	70.51	162.14	90.14	175.07	92.7	100.13	68.55	197.09	103.69	57.49	111.99
TMEM186	299.25	267.73	387.02	76.17	165.57	71.0	221.86	54.72	186.4	114.36	161.02	197.09	109.66	149.12	223.41	88.26	170.25	171.45	183.82	232.94	86.43	180.02	66.18	169.07	55.89	123.5	120.94	218.79	62.12	51.35	170.25	122.64	115.97	204.07	82.87	108.9	151.22	155.5	205.5	132.44	140.04	69.03	244.57	151.22	87.03	232.94
TMEM203	928.3	928.3	733.19	297.17	642.59	295.11	842.36	194.36	713.11	389.72	819.3	738.29	567.1	656.11	928.3	291.04	775.05	599.49	813.63	988.12	262.2	947.83	281.09	802.41	303.44	466.88	511.0	974.5	249.73	316.37	723.08	387.02	536.45	808.0	273.37	444.72	616.37	728.11	775.05	540.19	595.34	318.57	718.08	629.35	351.14	860.08
TMEM209	346.29	208.38	285.03	65.72	125.24	96.68	204.07	73.54	248.0	79.45	283.05	195.72	126.12	126.12	248.0	87.65	202.66	154.42	197.09	269.6	128.79	269.6	53.95	205.5	34.51	127.89	124.37	249.73	84.04	87.03	116.78	76.71	111.99	232.94	98.73	138.1	201.25	208.38	173.85	112.77	138.1	108.14	241.19	176.29	102.97	127.0
TMEM5	368.65	426.57	351.14	129.69	148.09	186.4	397.93	111.21	236.21	120.94	414.87	426.57	164.42	253.23	414.87	75.64	320.8	175.07	307.69	529.06	139.07	293.07	61.68	358.54	74.58	156.59	205.5	432.53	102.97	120.1	158.79	108.14	149.12	336.79	244.57	167.9	224.97	332.14	260.38	144.01	166.73	87.03	287.01	248.0	109.66	397.93
TMEM79	171.45	95.34	2255.7	19.11	59.97	21.16	108.14	11.47	84.63	18.03	102.97	131.51	22.1	128.79	140.04	3.38	139.07	133.36	152.28	187.71	12.83	169.07	14.45	151.22	7.4	19.97	84.04	228.13	22.92	16.15	40.07	21.32	57.49	113.56	21.94	32.82	89.51	105.89	181.28	36.27	40.07	35.5	85.82	90.77	17.64	214.27
TPRKB	928.3	1896.65	1662.49	320.8	532.74	301.33	1313.23	241.19	1159.07	285.03	1498.22	802.41	525.39	713.11	954.43	314.17	860.08	536.45	1111.82	1104.13	289.02	872.1	251.48	995.0	178.77	414.87	376.41	934.76	353.59	392.44	688.78	314.17	551.56	1037.29	329.84	595.34	414.87	733.19	819.3	373.81	435.55	228.13	813.63	902.89	406.31	921.88
TRAM1L1	67.12	161.02	1.71	9.06	10.79	4.66	50.27	3.2	101.54	4.66	36.01	24.28	4.03	20.86	64.34	7.28	63.45	16.75	58.3	59.97	8.06	98.73	5.5	59.13	0.0	5.92	6.26	74.06	8.58	0.0	13.42	4.54	11.82	52.08	5.41	7.11	31.45	31.67	76.71	8.19	32.82	11.55	27.25	23.93	9.2	63.45
TRIM32	249.73	279.14	99.43	105.15	89.51	61.25	137.14	65.72	139.07	79.45	241.19	197.09	139.07	112.77	231.32	180.02	197.09	108.14	183.82	258.57	63.45	205.5	79.45	117.6	48.87	50.98	161.02	223.41	58.71	65.26	120.94	93.35	134.3	251.48	150.17	145.02	159.9	143.01	191.67	82.87	120.1	64.34	111.99	95.34	88.26	140.04
TRIM61	12.93	11.55	0.51	0.0	16.15	0.0	40.93	2.36	35.0	2.61	40.64	21.78	4.54	5.45	16.88	2.23	33.54	10.16	45.21	63.45	8.51	31.0	3.14	7.63	1.14	5.32	13.93	45.21	0.72	2.94	8.13	8.99	12.64	50.63	8.71	4.24	14.67	16.03	25.54	5.41	10.0	2.56	30.12	15.45	2.84	42.71
TRMT12	217.27	429.54	120.94	95.34	178.77	95.34	162.14	46.18	241.19	96.68	320.8	275.28	128.79	156.59	212.78	85.82	198.47	114.36	191.67	279.14	59.13	208.38	72.52	142.01	94.67	98.73	166.73	177.53	52.45	62.12	139.07	122.64	116.78	204.07	100.13	145.02	161.02	140.04	201.25	96.01	101.54	84.63	193.01	165.57	104.42	205.5
TSEN15	599.49	808.0	2193.99	161.02	638.15	262.2	616.37	387.02	723.08	194.36	1806.78	796.86	293.07	500.46	693.58	140.04	493.56	599.49	616.37	1119.56	217.27	361.04	126.12	620.67	123.5	348.71	269.6	642.59	251.48	281.09	387.02	178.77	454.09	1059.11	379.04	633.73	420.68	796.86	438.59	305.55	336.79	341.51	921.88	490.14	277.2	417.77
TSN	1225.22	1135.2	802.41	476.71	616.37	389.72	988.12	215.77	802.41	287.01	1340.84	909.17	466.88	674.59	878.17	260.38	921.88	567.1	872.1	1295.13	343.89	1096.5	221.86	928.3	204.07	514.56	514.56	848.22	281.09	281.09	503.95	423.61	500.46	1044.52	358.54	536.45	738.29	743.43	796.86	567.1	497.0	368.65	775.05	718.08	314.17	723.08
TSR3	842.36	1508.65	1378.57	483.38	1015.93	295.11	1359.57	567.1	842.36	559.28	642.59	1135.2	723.08	1127.35	1175.27	358.54	1242.34	759.08	1151.06	1350.18	669.92	1304.15	669.92	1359.57	497.0	595.34	579.04	1605.83	426.57	551.56	1073.91	688.78	866.07	1551.09	764.36	743.43	1051.79	1551.09	1175.27	748.61	769.69	802.41	909.17	1250.98	579.04	1250.98
TTLL11	109.66	190.34	82.87	87.03	84.63	47.84	178.77	18.84	119.26	36.27	77.25	211.31	72.52	194.36	197.09	47.84	194.36	147.06	260.38	182.55	28.24	241.19	120.1	138.1	23.59	64.34	102.97	176.29	40.07	80.01	75.11	78.89	134.3	314.17	94.67	96.01	189.02	209.84	242.88	147.06	145.02	89.51	167.9	108.14	54.72	128.79
TXNDC15	1286.18	2758.13	543.96	759.08	1135.2	511.0	1685.71	521.76	2739.08	764.36	3540.14	2075.59	954.43	1388.16	1883.54	1081.39	1081.39	2104.58	2573.36	3955.48	348.71	1477.58	599.49	1909.85	316.37	748.61	1167.14	1088.92	507.46	796.86	1508.65	928.3	1081.39	2434.5	808.0	1340.84	1662.49	2193.99	1437.15	1388.16	1191.69	684.02	1950.0	1519.15	748.61	1883.54
UNC50	1135.2	1159.07	1233.75	447.82	961.07	460.44	947.83	409.15	1151.06	500.46	1331.57	1081.39	660.68	860.08	1277.29	518.15	1151.06	995.0	1081.39	1233.75	460.44	1277.29	435.55	1313.23	384.34	915.51	708.18	1199.98	277.2	579.04	684.02	571.05	738.29	954.43	587.13	713.11	988.12	1088.92	1159.07	688.78	836.53	460.44	1250.98	825.0	620.67	1259.69
USO1	1769.57	2090.03	896.64	785.88	1030.12	620.67	1111.82	679.29	1143.1	674.59	2367.9	1286.18	884.29	1286.18	934.76	872.1	1088.92	1407.55	1175.27	2090.03	518.15	1407.55	633.73	1216.75	253.23	1151.06	1143.1	1268.46	808.0	591.22	1037.29	842.36	1073.91	1529.73	830.75	1769.57	1242.34	1594.73	1066.48	848.22	688.78	796.86	1250.98	872.1	785.88	1023.0
VWA9	616.37	591.22	529.06	255.0	334.46	289.02	579.04	185.11	563.18	264.03	547.75	567.1	392.44	309.83	591.22	244.57	603.67	376.41	612.11	693.58	356.05	647.07	145.02	500.46	126.12	381.68	334.46	616.37	275.28	211.31	341.51	262.2	309.83	575.03	224.97	336.79	463.65	503.95	555.41	334.46	323.03	258.57	514.56	400.71	291.04	547.75
WDR53	229.72	260.38	1250.98	103.69	218.79	51.35	212.78	33.78	223.41	79.45	258.57	251.48	108.14	115.16	332.14	88.88	161.02	102.25	348.71	291.04	150.17	255.0	64.8	229.72	93.35	77.25	75.11	279.14	53.19	75.64	157.68	116.78	180.02	157.68	85.22	96.68	220.32	71.0	256.78	262.2	78.89	33.78	320.8	191.67	48.52	295.11
XKR8	112.77	172.65	117.6	60.39	85.82	131.51	169.07	69.52	198.47	92.7	204.07	148.09	61.68	182.55	293.07	45.53	264.03	167.9	223.41	178.77	35.76	242.88	61.68	215.77	91.41	100.83	177.53	239.52	46.18	78.34	137.14	50.27	96.68	199.85	56.68	79.45	90.14	201.25	244.57	127.0	151.22	63.0	113.56	167.9	51.71	271.48
ZC3HC1	277.2	429.54	287.01	105.15	145.02	96.01	242.88	78.34	255.0	118.43	267.73	262.2	114.36	175.07	253.23	65.72	256.78	144.01	234.57	339.14	103.69	314.17	69.52	226.54	68.55	104.42	147.06	260.38	110.43	85.22	149.12	109.66	157.68	256.78	94.01	140.04	204.07	170.25	244.57	183.82	121.79	92.7	249.73	155.5	105.15	211.31
ZCCHC9	511.0	540.19	728.11	161.02	343.89	172.65	607.87	84.63	551.56	183.82	679.29	521.76	242.88	470.14	688.78	177.53	579.04	429.54	629.35	660.68	199.85	642.59	191.67	595.34	93.35	255.0	289.02	679.29	205.5	334.46	507.46	236.21	371.22	514.56	221.86	332.14	379.04	395.18	575.03	356.05	299.25	220.32	647.07	409.15	279.14	583.07
ZNF197	269.6	307.69	105.89	68.55	139.07	81.14	156.59	57.49	202.66	87.03	351.14	239.52	114.36	98.73	236.21	83.45	197.09	89.51	190.34	209.84	72.52	236.21	44.57	139.07	68.07	150.17	172.65	273.37	105.89	111.99	135.24	125.24	171.45	223.41	93.35	115.16	181.28	94.67	201.25	131.51	123.5	72.52	183.82	187.71	130.6	190.34
ZNF2	94.67	98.04	34.51	27.25	38.67	22.43	48.52	13.62	52.08	19.25	55.49	58.71	29.7	42.11	80.57	18.16	53.19	35.0	67.12	72.52	11.13	71.0	12.93	49.56	10.79	14.35	35.5	71.0	15.91	23.08	33.3	32.13	37.32	61.25	21.78	30.78	48.18	43.94	57.89	36.53	34.51	20.11	52.82	40.36	21.94	82.29
ZNF202	146.03	221.86	50.27	63.0	70.01	47.17	134.3	43.63	127.0	59.13	180.02	197.09	83.45	69.52	127.0	42.11	162.14	98.04	135.24	190.34	55.49	177.53	32.13	105.89	67.12	45.53	69.52	199.85	57.49	43.94	80.57	73.54	77.25	191.67	57.08	96.68	91.41	96.01	84.63	111.21	57.49	75.11	165.57	68.55	38.95	202.66
ZNF320	325.29	147.06	88.26	16.63	56.68	52.82	148.09	37.59	237.86	86.43	316.37	529.06	133.36	205.5	299.25	45.53	309.83	329.84	271.48	503.95	28.45	624.99	47.5	173.85	3.2	83.45	129.69	309.83	29.06	55.1	223.41	129.69	134.3	249.73	34.26	197.09	277.2	303.44	409.15	68.55	205.5	62.56	265.87	299.25	35.5	267.73
ZNF485	75.11	71.0	26.86	11.13	23.76	6.46	38.67	7.0	32.59	23.25	93.35	37.85	28.24	29.91	31.22	9.93	30.78	38.4	43.32	62.56	9.13	51.35	6.11	41.52	2.68	13.83	31.22	52.08	10.47	18.29	34.26	19.82	22.1	39.5	17.13	16.51	26.28	46.5	25.91	49.56	17.9	9.7	46.84	15.34	2.92	63.45
ZNF502	110.43	77.79	24.28	7.88	6.21	15.22	128.79	7.4	113.56	16.63	164.42	138.1	32.59	37.32	146.03	9.34	120.94	35.25	186.4	130.6	8.85	149.12	4.62	43.63	3.56	20.86	16.51	187.71	16.15	19.11	44.89	36.53	50.98	105.89	8.65	34.26	55.49	34.02	83.45	82.29	40.64	6.21	104.42	43.02	8.25	127.0
ZNF527	88.88	140.04	47.17	53.57	47.17	9.93	52.45	22.26	132.44	31.22	145.02	126.12	49.91	88.26	161.02	22.1	125.24	56.28	153.34	109.66	37.32	142.01	17.77	76.17	30.56	33.78	77.25	147.06	33.78	43.63	100.13	42.11	72.01	120.94	32.59	71.5	79.45	57.08	65.72	55.49	51.35	26.67	115.16	74.58	35.76	120.94
ZNF576	309.83	587.13	460.44	142.01	226.54	108.9	412.0	112.77	312.0	157.68	332.14	500.46	165.57	291.04	348.71	66.18	356.05	289.02	371.22	438.59	59.13	403.5	100.83	295.11	78.34	131.51	215.77	503.95	164.42	103.69	239.52	153.34	198.47	432.53	127.89	228.13	305.55	363.56	285.03	208.38	153.34	132.44	490.14	312.0	164.42	384.34
ZNF623	314.17	283.05	163.28	73.54	131.51	58.71	122.64	29.91	159.9	79.45	148.09	236.21	99.43	98.04	251.48	66.65	197.09	111.99	220.32	226.54	40.93	226.54	85.82	206.94	49.56	75.64	148.09	144.01	42.71	86.43	108.14	138.1	118.43	249.73	57.08	92.05	137.14	115.97	201.25	102.25	209.84	56.28	147.06	123.5	50.63	273.37
ZNF646	194.36	139.07	118.43	52.45	94.67	47.17	131.51	37.05	111.99	94.67	121.79	163.28	56.28	114.36	248.0	44.89	217.27	115.16	154.42	162.14	50.27	224.97	71.5	136.19	65.26	79.45	127.0	178.77	53.19	53.95	127.89	69.03	105.15	201.25	66.18	55.1	108.9	102.97	120.1	66.65	76.17	71.5	155.5	157.68	80.57	217.27
ZNF696	64.34	107.38	41.81	25.17	19.68	23.08	54.33	11.13	66.65	16.63	45.85	64.8	29.48	48.52	96.01	9.34	84.04	51.71	65.26	73.03	14.89	102.97	9.06	71.5	7.22	26.47	29.7	70.51	16.51	14.14	32.59	21.94	34.26	92.7	13.93	21.16	42.71	50.63	57.49	31.22	35.25	22.92	57.49	55.1	8.71	62.56
ZNF70	44.89	42.71	16.63	15.45	11.82	4.86	24.81	13.52	45.21	10.0	61.68	63.89	17.25	26.28	65.72	9.85	71.0	43.94	48.87	79.45	10.08	59.55	12.83	38.4	4.7	11.3	28.24	50.63	10.55	17.13	40.64	18.97	18.56	69.03	16.88	29.27	46.18	33.78	48.18	18.16	26.1	20.11	73.03	26.67	9.48	57.89
ZNF768	579.04	934.76	1135.2	264.03	387.02	121.79	373.81	132.44	466.88	198.47	336.79	563.18	329.84	470.14	796.86	132.44	571.05	507.46	503.95	915.51	223.41	660.68	214.27	575.03	237.86	218.79	318.57	902.89	307.69	246.28	287.01	301.33	379.04	669.92	309.83	299.25	536.45	547.75	607.87	371.22	368.65	242.88	624.99	454.09	249.73	884.29
ZNF77	68.55	234.57	72.01	34.75	58.71	27.64	84.04	19.68	63.89	35.5	136.19	130.6	40.93	46.18	105.15	30.56	114.36	45.85	115.16	64.8	39.5	105.89	33.78	71.5	35.5	35.0	49.56	85.22	56.68	99.43	53.57	82.29	58.71	100.13	14.89	48.18	62.56	44.89	55.89	51.71	52.82	38.12	122.64	53.19	19.68	70.51
ZNF786	81.71	142.01	151.22	18.84	47.5	15.22	59.97	21.32	81.14	17.0	73.54	44.25	28.04	59.13	94.01	15.56	64.34	43.94	76.17	82.87	11.73	82.87	17.13	65.26	10.79	17.25	39.22	82.29	15.91	17.38	27.05	20.56	31.9	92.7	27.05	40.07	55.1	52.82	55.1	36.79	32.36	25.54	82.87	42.71	19.53	129.69
ZNF79	108.9	98.04	92.7	44.89	52.45	32.13	63.45	22.59	75.64	25.35	36.01	99.43	50.27	55.1	100.13	37.85	58.71	50.27	63.45	100.83	18.29	80.01	26.47	50.98	32.36	36.79	71.0	76.71	30.78	29.48	64.8	45.53	71.0	96.01	35.76	56.68	46.84	43.32	68.55	47.17	42.41	30.56	105.15	48.87	37.32	90.77
ZNF830	392.44	414.87	323.03	279.14	309.83	172.65	414.87	140.04	373.81	150.17	463.65	500.46	314.17	314.17	543.96	166.73	339.14	301.33	511.0	420.68	146.03	518.15	154.42	403.5	187.71	246.28	220.32	450.94	236.21	167.9	277.2	218.79	309.83	397.93	228.13	348.71	392.44	314.17	414.87	329.84	215.77	162.14	493.56	291.04	186.4	412.0
ZNF845	202.66	100.13	61.25	46.84	117.6	34.51	77.79	18.16	81.71	30.34	133.36	114.36	58.3	94.01	123.5	32.59	90.77	76.71	88.26	123.5	20.56	91.41	34.51	92.05	17.38	62.12	85.22	152.28	47.17	37.59	85.82	77.79	122.64	135.24	59.55	67.12	45.85	62.56	90.14	52.45	32.59	31.45	86.43	94.01	32.59	156.59
ZSCAN12	85.22	127.0	1.81	21.78	30.34	12.55	52.08	9.78	88.26	18.84	115.97	79.45	32.36	34.75	144.01	12.45	84.63	35.0	98.73	70.51	18.16	111.21	16.39	50.98	7.69	30.78	53.57	88.88	17.13	17.77	35.0	32.82	53.57	73.03	16.88	26.1	55.1	41.22	77.79	28.45	42.71	16.15	66.18	47.17	17.51	65.72
ZSCAN22	42.71	71.5	36.01	32.82	25.35	14.14	28.45	13.32	43.02	20.56	47.84	61.68	28.04	29.91	49.56	18.56	34.51	31.9	42.71	54.72	12.09	56.68	21.94	53.19	17.77	14.35	21.16	44.89	19.25	12.64	25.91	29.06	33.3	57.49	23.25	30.56	27.05	21.32	42.41	52.08	32.36	22.92	39.22	24.63	17.38	49.91
ZSWIM1	153.34	163.28	171.45	68.07	82.87	50.27	69.03	28.86	92.05	66.65	100.83	123.5	51.35	81.14	142.01	50.63	98.04	102.97	113.56	144.01	44.89	127.0	74.06	102.97	41.52	73.54	75.64	142.01	59.55	60.82	98.73	73.03	86.43	113.56	42.71	62.12	85.82	78.89	113.56	96.01	85.22	44.89	127.0	94.67	60.39	158.79
